,ticker,content
0,TMK,torchmark tmk see welcome improvement relative strength rs rating tuesday rise ibd proprietary rs rating track market leadership show stock price movement last week measure other stock database decade market research show stock go make biggest gain tend have rs rating early stage move see torchmark continue show renew price strength hit benchmark look winning stock try simple be now consider extend buy range clear buy point second stage flat base see stock form new pattern follow buy opportunity week tight pullback day week move average company show ep growth last quarter sale growth come torchmark earn rank peer insurance life industry group primerica pri prudential puk reinsurance group america rga be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,TMK,market have be relatively quiet late let take quick look story day get file be someone kid headline not be clearer flash crash charge be file wsj mystery trader arm algorithms rewrite flash crash history bloomberg fed endanger space time continuum arrest future trader
2,TMK,credit rating giant best have revise outlook torchmark corporation tmk free report unit rating agency have affirm long term issuer credit rating long term icr long short term issue credit rating long term ir short term ir torchmark simultaneously best revise outlook abovemention rating stable negative concurrently rating agency affirm financial strength rating fsr superior long term icr aa torchmark key life health unit outlook rating have be revise stable negative categorize best company strong balance sheet impressive operational performance favorable business portfolio appropriate enterprise risk management be reflect life insurance unit credit rating outlook revision aforementioned rating denote balance sheet wane past few year include decrease risk adjust capitalization consolidated entity level basis be important mention here rating agency have point few core unit torchmark remain target level mainly due average level national association insurance commissioner naic class security pertain general account investment portfolio also thank long duration class security rise unrealized loss occur advent continue increase interest rate widening credit spread torchmark subsidiary have consistently deliver favorable operate earning statutory well gaap basis substantially higher profit margin industry average life insurer adjust gaap financial leverage currently stand decrease extent recent year interest coverage stay very strong time earning ratio remain well best guideline company current rating rating outlook affirmation upgrade credit rating agency play important role retain investor confidence well maintain credit worthiness stock downgrade not only damage business also increase cost future debt issuance zack rank share price torchmark hold zack rank buy share torchmark have gain year time industry decline expect solid operational performance niche market focus robust capital position drive share higher term other stock interested other top rank stock insurance industry also consider first american financial corporation faf free report national general holding corp nghc free report american equity investment life hold company ael free report hold zack rank buy see complete list today zack strong buy rank stock here first american provide financial service company deliver positive surprise last quarters average beat national general holding offer various insurance product service unite state company pull positive surprise trail quarters average positive surprise american equity investment provide life insurance product service unite state company come positive surprise precede quarters average earning surprise hottest tech mega trend year generate global revenue predict blast roof fame investor mark cuban say produce world first trillionaire still leave plenty money regular investor make right trade early see zack best stock play trend
3,TMK,primerica inc pri free report report first quarter operate income share miss zack consensus estimate nearly however bottom line improve year year lower effective tax rate legislation tax cut job act also ongoing share buyback offer additional upside bottom line primerica inc price consensus ep surprise primerica inc price consensus ep surprise primerica inc quote moreover quarter witness solid result term life insurance investment saving product operational updateoperate revenue grow year year higher net premium investment income commission fee well other net term life insurance revenue increase year year investment saving product revenue improve meanwhile corporate other distribute product dip year quarter quarter witness increase size life insurance sale force growth life insurance policy issue increase investment saving product sale total benefit expense be year year due higher benefit claim amortization defer policy acquisition cost sale commission insurance expense well insurance commission other operate expense adjust operate income taxe increase year year higher operate income term life insurance growth investment saving product financial updatecash cash equivalent be mar level dec total investment be figure dec note payable be remain flat level end adjust stockholder equity totale level dec primerica life insurance company statutory risk base capital rbc ratio be mar return equity stand first quarter dividend share repurchase updatedure first quarter company approve dividend cent share payable jun shareholder record quarter review primerica spend buy back share company plan repurchase share worth approximately zack rankprimerica carry zack rank sell see complete list today zack rank strong buy stock here performance other life insurersamong other player life insurance industry have already report first quarter earning bottom line lincoln national corporation lnc free report torchmark corporation tmk free report beat respective zack consensus estimate reinsurance group america incorporate rga free report miss mark wall street next amazon zack evp kevin matra believe familiar stock have only just begin climb become greatest investment time once generation opportunity invest pure genius click detail
4,TMK,american international group inc aig free report report first quarter operate earning share miss zack consensus estimate year quarter company have report earning share stem impact huge catastrophe loss low premium general insurance well life retirement segment share company be dismal result american international group inc price consensus ep surprise american international group inc price consensus ep surprise american international group inc quoteweak segment insurance suffer catastrophe lossthe segment be saddle loss primarily related california mudslide winter storm papua new guinea earthquake well severe loss lead underwriting loss compare underwriting income year quarter net premium written be also year year due net impact company reinsurance program strategic portfolio action casualty property combine ratio deteriorate massive basis point year year primarily due increase loss ratio be due huge catastrophe loss disappointing life retirement unit resultspremium fee decrease year year lead decline contribution institutional market sub segment pre tax income be also prior year quarter share repurchasein first quarter aig repurchase common share warrant approximately remain share repurchase authorization financial positionat end first quarter insurer adjust book value share exclude aoci be year dec level core adjust return equity roe be basis point year year company dismal result reflect continue pain be reflect decline revenue past many year company have be suffering decline premium due discipline underwriting competitive market condition reduction business due numerous divestiture take challenge property casualty market continue business disposition continue keep top line pressure come quarters zack rank stock consideraig carry zack rank strong sell see complete list today zack rank stock here other insurer have report first quarter earning so far bottom line torchmark corp tmk free report aflac inc afl free report genworth financial inc gnw free report beat respective first quarter estimate medical stock buy nowzack name company poise ride medical breakthrough be target cure leukemia aids muscular dystrophy hemophilia other condition new product field be already generate substantial revenue even more wondrous treatment be pipeline early investor realize exceptional profit click here see stock
5,TMK,reinsurance group america incorporate rga free report report first quarter adjust operate income share miss zack consensus estimate also bottom line decline year quarter figure reinsurance group america incorporate price consensus ep surprise reinsurance group america incorporate price consensus ep surprise reinsurance group america incorporate quote company weak performance traditional business asia pacific unite state latin america region report quarter be primarily responsible downside nonetheless highlight quarter review show strong performance emea canada segment primarily drive favorable individual mortality experience reinsurance group operate revenue improve year year moreover top line beat zack consensus estimate net premium rise year year investment income inched prior year quarter average investment yield be basis point bps represent higher variable investment income total benefit expense reinsurance group increase year year higher claim other policy benefit other operate expense well collateral finance securitization expense result overall escalation cost quarterly segment updateu latin america total pre tax income plunge nearly quarter discussion traditional segment report pre tax adjust operate income plummet year year downside be attributable elevated claim experience individual mortality segment sluggish performance group net premium dip year quarter due modification health treaty occur fourth quarter lower individual health premium asset intensive segment pre tax adjust operate income decline lower prepayment income impact lower equity market be responsible downside financial reinsurance business report pre tax adjust operate income improve prior year quarter owing strong business volume latter half canada total pre tax income rise traditional segment pre tax adjust operate income surge drive line individual mortality experience net premium increase upside be attributable new transaction positive impact net foreign currency fluctuation financial solution segment pre tax adjust operate income decrease year year asia pacific total pre tax income be plunge prior year quarter pre tax adjust operate income traditional segment fall report quarter unfavorable underwriting experience asia moderate loss australia lead downside nonetheless premium improve year year sturdy growth asia mainly owing new exist treaty region financial solution segment report pre tax adjust operate income pre tax operate loss year quarter europe middle east africa emea total pre tax income be prior year quarter traditional segment report pre tax operate income nearly year quarter upside be attributable favorable underwriting result region partially offset unfavorable underwriting performance net foreign currency fluctuation also impact result premium improve owing growth new exist treaty upside be also drive favorable forex impact financial solution segment pre tax adjust operate income surge owing underlie business growth positive forex impact favorable longevity experience corporate other pre tax adjust operate loss be wider loss incur prior year period due higher project expense well incentive base compensation expense financial updatea mar reinsurance group have asset worth end mar reinsurance group book value share exclude accumulate other comprehensive income grow year year dividend board director approve dividend cent share payable shareholder record zack rank reinsurance group carry zack rank hold see complete list today zack rank strong buy stock here performance other insurersamong other player insurance industry have report first quarter earning so far bottom line progressive corporation pgr free report mgic investment corporation mtg free report torchmark corporation tmk free report beat respective zack consensus estimate look stock skyrocket upside zack have just release special report boom investment opportunity legal marijuana ignited new referendum legislation industry be expect blast already robust early investor stand make kill have be ready act know just look see pot trade re target
6,TMK,axis capital holding limit axs free report report first quarter operate profit cent share surpass zack consensus estimate bottom line also sky-rocket year year axis capital holding limit price consensus ep surprise axis capital holding limit price consensus ep surprise axis capital holding limit quote premium improve substantially report period quarterly performance reflect benefit portfolio optimization initiative earning potential underwriting profitability improve company segment operational updateoperate revenue miss zack consensus estimate however top line rise nearly year year gross premium written improve year year drive higher premium written reinsurance segment insurance segment net investment income increase year year total expense quarter review increase nearly year year due higher net loss loss expense acquisition cost general administrative expense higher foreign exchange loss well higher interest expense financing cost period also incur transaction reorganization expense amortization value business acquire amortization intangible be absent prior year quarter axis capital report underwriting income increase nearly ninefold year year combine ratio deteriorate basis point bps axis capital expect deliver saving year end leverage novae integration transformation effort segment gross premium written increase year year owing better perform property professional line marine line associate novae buyout well accident health professional line liability line drive new business aviation line associate aviabel acquisition net premium earn increase year year underwriting income be increase more fivefold year year combine ratio improve bps reinsurance gross premium written first quarter jump year year largely back premium catastrophe marine aviation line associate novae acquisition well increase premium motor accident health credit surety catastrophe liability professional line partially offset decrease marine line net premium earn increase year year underwriting income soar year quarter combine ratio improve bps year year financial updateaxis capital exit quarter cash cash equivalent level end note payable debt be almost flat end level net cash flow used operation be include payment associate ritc reinsurance close transaction mar book value share be year year dividend company announce dividend cent share report quarter zack rankaxis capital carry zack rank hold see complete list today zack rank strong buy stock here performance other bottom line torchmark corporation tmk free report progressive corporation pgr free report rli corp rli free report surpass respective zack consensus estimate first quarter more stock news be bigger iphone become mother technological revolution apple sell mere iphone year new breakthrough be expect generate more device just year create market zack have just release special report spotlight fast emerge phenomenon ticker take advantage don buy now kick click here trade
7,TMK,everest re group ltd re free report deliver first quarter operate earning share surpass zack consensus estimate bottom line decline year quarter everest re group ltd price consensus ep surprise everest re group ltd price consensus ep surprise everest re group ltd quarter witness increase premium net investment income return equity improve double digit claim expense also escalate quarter include tax net realize capital loss cent foreign exchange income cent net income come share prior year quarter operational updateeverest re group total operate revenue increase nearly year year moreover top line beat zack consensus estimate gross written premium grow year year company worldwide reinsurance premium surge direct insurance premium improve quarter net investment income come quarter year year total claim expense increase attributable higher incur loss loss adjustment expense increase commission brokerage taxe fee higher other underwriting expense well corporate expense combine ratio deteriorate basis point bps year quarter exclude catastrophe loss net operate income improve underwriting income be more combine ratio be financial updateeverest re group exit quarter total asset decrease end shareholder equity end report quarter dip level end total cash balance end quarter review increase end book value share come mar end level return equity be everest re group cash flow operation be plunge nearly year year zack rankeverest re group carry zack rank hold see complete list today zack rank strong buy stock here performance other bottom line torchmark corporation tmk free report progressive corporation pgr free report rli corp rli free report surpass respective zack consensus estimate first quarter more stock news be bigger iphone become mother technological revolution apple sell mere iphone year new breakthrough be expect generate more device just year create market zack have just release special report spotlight fast emerge phenomenon ticker take advantage don buy now kick click here trade
8,TMK,chubb limit cb free report report first quarter core operate income share surpass zack consensus estimate however bottom line decline prior year quarter higher catastrophe loss chubb limit price consensus ep surprise chubb limit price consensus ep surprise chubb limit quote company register better expect earning suffer due catastrophe loss exclude core operate income share increase nonetheless net investment income be solid premium revenue commercial pricing improve many business line include time integration merger related expense cent amortization fair value adjustment acquire invest asset long term debt cent net realize loss cent net income share dip year quarter quarter detailnet premium written improve year year quarter review net premium earn increase adjust net investment income be prior year property casualty underwriting income be decline year quarter downside be attributable cat loss incur report quarter chubb report catastrophe loss cent report quarter compare cent year quarter combine ratio deteriorate basis point bps merger related expense be first quarter company project merger related expense segment updatenorth america commercial insurance net premium written increase year year benefit higher premium middle market division small commercial division combine ratio deteriorate bps north america personal insurance net premium written increase year year combine ratio deteriorate bps overseas general insurance net premium written rise year year combine ratio improve bps north america agricultural insurance net premium written soar year year higher crop premium combine ratio improve bps global reinsurance net premium written decrease year year combine ratio improve bps year earlier quarter life insurance net premium written improve year year financial updatecash balance be mar surge end total shareholder equity nudge mar book value share be mar year end fall be attributable realize unrealized loss company investment portfolio drive rise interest rate however favorable foreign currency movement limit downside core operate roe be quarter operate cash flow be zack rankchubb carry zack rank sell see complete list today zack rank strong buy stock here performance other bottom line torchmark corporation tmk free report progressive corporation pgr free report rli corp rli free report surpass respective zack consensus estimate first quarter investor alert breakthrough pendinga medical advance be now flashpoint theory realization billion dollar research have pour company be already generate substantial revenue even more wondrous product be pipeline cure variety deadly disease be sight so be big potential profit early investor zack name stock buy now click here see
9,TMK,finance sector be set kick earning season week major bank report quarterly result improve rate environment tax cut continue drive sector performance earning outlook earning sector be expect increase higher revenue insurer important component finance sector be shortly go release financial number earning insurance industry be envision grow second quarter give slew tailwind favore operate environment progress rate second quarter marked second rate hike federal reserve year reflect robust economy rate now stand regulatory body intention more raise follow well couple benign cat second quarter escap harsh lash mother nature few cat event rain storm unite state canada still plague period morgan stanley analyst estimate global insure cat loss quarter discussion analyst also note count be much lower general tally insurer have suffer natural calamity give second quarter however price hike prudent underwriting practice portfolio repositioning adherence reinsurance cover help insurer withstand deficit also lower cat loss mean lower claim turn strengthen reserve insurance industry be already boast time sturdy capital position surplus capital be lend cushion more capital deployment growth initiative merger acquisition shareholder value addition same be also responsible restrict desire pricing morgan stanley analyst note jun renewal witness average increase be lower expect tax reform capital deploymentper implementation new tax rate effective first quarter tax incidence have be lower not only aid margin expansion also increase dividend payout owing rise net profit available shareholder berkley corporation approve raise dividend well special cash dividend cent share chubb limit announce hike quarterly dividend cent share unum group too enhance quarterly dividend approve new share buyback program promising economic numbersjob growth have be solid second quarter average nearly unemployment rate june be trading economic global macro model analyst expectation gdp growth rate quarter be estimate price insurance industry have underperform index second quarter industry have decrease elite index have gain high tailwind insurer enjoy favorable operational backdrop generate improve result help zack stock screener identify stock poise outshine zack consensus estimate second quarter proven model conclusively state ideal combination ingredient positive earning esp favorable zack rank follow stock be likely surpass expectation earning announcement see complete list today zack rank strong buy stock here also stock impressive vgm score boast encourage earning history show estimate beat last quarters reflect operational excellence progressive corporation pgr free report provide personal commercial auto insurance residential property insurance other specialty property casualty insurance related service primarily unite state zack rank earning esp average quarter positive surprise zack consensus estimate be estimate grow year year value score allstate corporation free report engage property casualty insurance well life insurance business unite state canada zack rank hold earning esp average quarter positive surprise consensus estimate earning be project jump year year value score traveler company inc trv free report provide range commercial personal property well casualty insurance product service business government unit association individual unite state internationally zack rank earning esp average quarter earning surprise consensus mark be expect rise year year vgm score btorchmark corporation tmk free report provide various life health insurance product annuity unite state canada new zack rank buy earning esp average quarter positive surprise zack consensus estimate be likely increase year year vgm score bcno financial group inc cno free report develop market administer health insurance annuity individual life insurance other insurance product senior well middle income market unite state rank stockearning esp average quarter beat zack consensus estimate cent improve year year vgm score bmanulife financial corp mfc free report provide financial advice insurance wealth asset management solution individual group institution asia canada unite state zack rank stockearning esp average quarter beat zack consensus estimate cent current year earning witness forecast year year growth vgm score asun life financial inc slf free report provide insurance wealth asset management solution individual corporate client high net worth individual family well zack rank earning esp average quarter beat zack consensus estimate cent be predict grow year year vgm score bmore stock news be bigger iphone become mother technological revolution apple sell mere iphone year new breakthrough be expect generate more device just year create market zack have just release special report spotlight fast emerge phenomenon ticker take advantage don buy now kick click here trade
