,ticker,content
0,UA,armour ua see welcome improvement relative strength rs rating monday increase re research best stock buy watch keep close eye relative price strength ibd proprietary rating track share price action worst best score score show stock price performance last week hold other stock database year market history show stock go make biggest gain often have rs rating least early stage move look best stock buy watch start hereunder armour have moved more past entry first stage cup handle meaning now proper buy range look stock create new chance get week tight pullback day week line armour see earning sale growth rise last quarter earning share increase revenue rise company hold rank peer apparel clothing manufacturing industry group canada goose goos columbia sportswear colm oxford industry oxm be top highly rate stock group get newsletter deliver inbox more info product service privacy policy term also ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
1,UA,sportswear behemoth nike nke stock have explode new high dow jone athletic apparel shoe giant crushed earning revenue estimate late thursday announce stock buyback mix fresh product increase demand home abroad accelerate digital innovation drive nike stock price even higher accord wedbush security footwear analyst christopher svezia indeed be so impressed dow jone firm result claim be shape be year nike improve design technology sufficient quantity be be bring market better speed boost express lane react expand more sportswear now well air max platform vapor max more nba svezia say research note jordan also return global growth year woman be material opportunity well nike express lane initiative be part overall consumer direct offense strategy aim make offering more appeal accessible consumer get newsletter deliver inbox more info product service privacy policy term ceo mark parker say express lane cut time product design appearance shelve month few week wider consumer direct offense strategy aim make nike leader innovation speed market direct connection customer digital system membership personalization nike stock vault stock market today old rival adida addyy rise new pretender armour uaa sank other footwear stock skecher skx climb decker outdoor deck sank nike continue innovation be lead even more growth further bolster profit digital be also accelerate aid snkrs app more help drive margin svezia say nike be certainly continue pursue space aggressively april nike acquire body scanning software firm invertex continue beef digital technology include artificial intelligence capability march buy consumer datum analytic company zodiac undisclosed sum parker cite nike earning harbinger good thing come prove strategy be work new innovation be winning consumer drive significant momentum international geography return growth north america parker say press release fuel complete digital transformation company end end year set foundation nike next wave long term sustainable growth profitability meanwhile svezia believe nike be underplay hand outlook see great opportunity foreign market well home north american sale grow most recent quarter follow straight quarters decline be opportunity china europe addition accelerate growth north america greater product availability favorable comparison gross margin be supportive say nike be footwear market leader china cowen manage director john kernan have say current boom popularity nba benefit nike other brand sunny picture be stark contrast tough year footwear industry north america be collective sale more accord euromonitor top brand include nike armour struggle retailer have own wo due heavy price promotion sport authority gander mountain be declare bankruptcy get instant access more trading idea exclusive stock list ibd proprietary rating only also be interested sportswear giant nike stock leap strong earning north america sale recoverynike score china basketball boom competition rise homewhich company be now outperform stock
2,UA,stock action be restrain friday not bad development consider market goal now be stay line former resistance nasdaq slip less inched dow jone industrial average rise small cap russell add volume fall major
3,UA,dow future lead premarket trading back narrow decline tuesday market generally hunker ahead apple aapl fiscal second quarter result later day fed interest rate decision wednesday april payroll report due friday dow future give brief gain slip less fair value apple lead index merck mrk pfizer pfe post heaviest decline nasdaq future also dip narrow loss akamai technology akam citrix system ctxs top nasdaq seagate technology stx post heaviest loss big benchmark score nominal gain april dow nasdaq struggle fractional gain still month be noteworthy stop month slide have send nasdaq february march get newsletter deliver inbox more info product service privacy policy term usemarket continue hold breath tuesday president trump delay june tariff be set take effect today steel aluminum import european union mexico canada agreement avoid tariff be place australia brazil argentina white house say march tariff go effect china russia japan foreign steel stock trading show little reaction premarket trading share steel drop more steel stock general have be pull back consolidate february factor investor radar federal open market committee begin day meeting morning washington meeting be expect wrap rate policy decision wednesday afternoon be press conference follow announcement addition several key piece economic news be expect today manufacturing purchasing manger index april be due researcher markit et institute supply management et march construction spending number commerce department be expect et automaker be report april sale total session apple most notable earning report stock market today add premarket trade analyst have raise concern company outlook wall street see jump earning revenue gain first quarter mark company best result fourth quarter apple share have decline past month have be stall day move average late april dow pfizer drop merck tumble drugmaker top analyst quarterly earning expectation revenue growth stop short target haynesbrand hbi nutrisystem ntri allison transmission alsn be other lead name motion follow earning report early tuesday tenet healthcare thc skip nearly deliver strong result monday close premarket gain position stock narrowly clear flat base buy point not premarket move carry regular trade seagate technology tumble nearly just report fiscal third quarter result earning revenue growth appear top expectation management raise company quarterly dividend cent armour uaa reversed early gain drop premarket trading athletic wear maker first quarter sale profit score easy beat company reaffirm full year revenue expectation guide general weakness market sale surge overseas armour share end monday buy point month long base aerospace component maker transdigm tdg pop report fiscal second quarter result open result soar past analyst target management give full year guidance significant boost cite transdigm recent acquisition stock close monday less handle buy point ibd stock bofi hold bofi pop premarket action monday close bell bofi be not quite flat base buy point medical product maker inogen ingn spiked clobber analyst expectation first quarter report late monday maker portable oxygen concentrator end monday top buy range buy point flat base be interested big picture anxious market shift attention fedlooking best stock buy watch check alibaba casa big squeeze stock market bull run face biggest threat yearsapple grubhub shopify earning facebook investing action planamazon ibd stock share winning growth trait
4,UA,stock market end mixed monday recover late session lows apple stock give back rise early nasdaq composite close loss reverse intraday gain dow jone industrial average end mostly flat preliminary datum show volume nyse nasdaq come lower friday level share alphabet googl turn lower hour trading better expect earning share td ameritrade amtd be indicated lower monday hour session also earning best perform industry group ibd database monday be apparel clothing manufacturing top gainer group be hanesbrand hbi armour ua michael kor kor armour michael kor benefit positive analyst chatter micron technology mu netflix nflx western digital wdc underperform nasdaq loss share netflix weaken news tap bond market additional funding year treasury yield edge basis point apple aapl have bad week last week ahead earning report cautious note morgan stanley weak sale outlook taiwan semiconductor manufacturing tsm weigh tsm be big apple supplier cite weak smartphone demand related news european union monday say take closer look apple plan acquisition music identification service shazam heavy volume gainer stock market today include tcf financial tcf share soar strong earning minnesota base regional bank be still well buy range entry security software maker okta okta also joined rank share jump heavy volume still buy range cup shape base entry stock be also featured ibd stock buy zone column meanwhile share lululemon athletica lulu be weak early hurt needham downgrade hold buy athletic apparel retailer re-cover well session lows reversed slightly higher lululemon have be top leaderboard performer elsewhere halliburton hal edge higher mixed result toymaker hasbro have reversed higher sale miss share jump get newsletter deliver inbox more info product service privacy policy term usetop gainer ibd include stamp com stmp bofi holding bofi svb financial sivb stamp com be still buy range buy point cup handle low volume related winning stock be already strong price performer big price movestd ameritrade headline top stock buy point ahead earningsoption trading earning deck lockheed martin tech giant intel amazon microsoftonline poker giant break bet sport latest investor cornerwhich way be stock market head read column day
5,UA,nike nke be already footwear market leader china be uncertainty passion communist country follow nba basketball chinese citizen stream nba final mobile phone erased doubt nba be china most popular sport league be
6,UA,nike nke growth prospect have snag attention bill ackman persh square capital management have build stake sportswear giant hedge fund billionaire tell investor event thursday evening position initiate last year already have earn return accord reuter other report size stake nike have not be disclose ackman widely follow activist investor do not plan push change nike reportedly see investment passive bet buy dow apparel giant share be trading nike share rise stock market today hold time high set thursday session share have advanced breaking first stage cup handle buy point week adida addyy have make strong comeback rise multimonth consolidation early friday eye entry armour uaa have struggle recently edge amazon amzn commerce giant nike adida have start partner gain new high ibd take amazon be move traditional retail turf more way smart move commerce giant be give apparel company run money ackman persh square roughly client money have suffer year loss high profile defeat ackman plan spend more time investment idea leave marketing other oregon base nike top forecast december soft north american market intense competition adida armour emerge rival puma nike plan focus technological innovation international market direct consumer sale target goal high single digit revenue growth midteen profit growth next year footwear clothing giant stock be year date follow gain be interested adida boss talk amazon retail strategy kanye real private label be amazon target next cash cowthese be top stock millennial investor be hold say robinhoodmeet fast grow texas fracker crack shale code
7,UA,stock index post solid gain midday friday republican scramble make final adjustment tax cut bill volume be run higher major exchange small cap russell lead way pop strike new high nasdaq advanced respectively blue chip trail leader dow jone industrial average rise volume stock market today be likely be higher expiration friday be quadruple witching day involve expiration stock index future stock index option stock option single stock future republican wrap tax cut bill today vote come early next week give president trump chance sign bill law christmas new york time report stock market tax cut legislation be driver jpmorgan top strategist marko kolanovic say note upcoming reduction corporate tax rate be biggest positive catalyst equity cycle kolanovic be convince little be price market big question now be sector rotation be several way scan sector rise fall thorough check involve look sector be provide most new high industry group table sector ranking ibd stock table breakout blue chip be ibm ibm fall strong volume dow jone industrial average leader include drugmaker pfizer pfe insurer traveler trv money center jpmorgan chase jpm apparel stock class share armour ua gap reclaim day line stock be laggard remain high street expect earning decline then rebound armour pretax margin have narrow past year apparel industry group have rise week stock group advance issue ibd lead decline issue roughly ratio innovator ibd fund ffty exchange trade fund mirror ibd rise fund break august be buy point etf have return day area have not yet be able establish support related advisory see bullish driver stock marketthe top retailer find great stock begin simple routineeven kid get rich stock here be valuable tipsin stock market today hold sell bitcoin etf
8,UA,major stock index open higher tuesday busy morning headline see qualcomm qcom pressure share alibaba baba edge higher ahead earning later week stock news share qualcomm slump open report surface apple aapl drop qualcomm component next year iphone ipad company be lock legal battle regard qualcomm licensing term apple earning apple be due thursday close dow jone industrial average be nasdaq open higher russell small cap index lag badly more last trading day october see nasdaq composite poise monthly price gain past month day fed meeting start today conclude wednesday policy statement due et market isn expect rate hike be expect december meeting related news president trump thursday be expect name current fed governor jerome powell new head federal reserve key economic datum due rest week include ism manufacturing index wednesday job report friday pfizer pfe be early leader dow report earning share fall open pfizer slide day move average be just buy point earlier elsewhere news wasn good armour ua share tank early trading earning beat be offset sale miss share armour be year date deteriorate fundamental longtime leaderboard hold alibaba baba be ahead earning report thursday open stock be just entry rare ascend base pattern be candidate call option trade ahead earning late monday share be trading weekly call option strike price nov expiration come premium offer trade reasonable downside risk contract give holder right buy not obligation buy share alibaba cost exclude commission keep mind take premium paid account alibaba have rally north trade start make money alibaba fall earning most be lose option trade be amount paid contract case learn more ibd earning option strategy here share facebook fb be fraction result be due wednesday close meanwhile aetna aet fall open report earning share soar nearly last week news cvs health cvs be interested buy insurer share related armour slash full year estimate sale unexpectedly fallpfizer top earning forecast raise full year ep targetsaetna top earning view revenue soft cvs health buzzbest stock buy watch
9,UA,armour uaa popularity be fading teenage boy say piper jaffray monday new research show not just be teen be cool baltimore base athletic apparel brand google search trend have be relatively flat so far first few month year say fbr tuesday note course february pr kerfuffle armour ceo kevin plank make ill receive comment president trump more notably armour stephen curry related search traffic growth have flattened mid say firm mark complete reversal past year consistent search growth increase google golden state warrior mvp nba season believe show continue decline armour resonance consumer pressure ua least term write fbr analyst susan anderson reiterate underperform rating search result be consistent view ua be lag innovation deep sponsorship roster drife web traffic appear echo piper jaffray finding amour isn cool even athleisure be still hot athletic brand account top apparel choice today versus last year armour be not see incremental benefit still share less upper income group write piper jaffray analyst erinn murphy monday be see however be nike nke continue maintain apparel dominance adida significantly accelerate share category armour share fall stock market today nike share rise cent list share adida addyy dip fbr anderson also point again intensify price war armour nike firm finding armour shoe aren popular consumer used be ibd take nike be longer top new brand boy say piper jaffray be google trend be additionally concern armour sale prospect line curry brand footwear significant portion ua growth past year have come curry shoe estimate contribution growth footwear curry be still popular believe shoe have plateau now say anderson curry be recently trend sport circle twitter however new curry lux oxblood leather shoe be subject mockery internet steph be selling pt cruiser foot pic twitter com qcfateb zach harper talkhoop april chance steph curry armour get last laugh not be cool popular much malign plain white chef curry sneaker last year reportedly wound selling well most account related be armour ceo alienate star peddler trump
10,UA,armour uaa have stronger brand year person still love wear activewear be main take away jeffery upgrade nike nke rival be send share early friday bottom have form declare report headline jeffery analyst randal konik upgrade stock buy hold up price target also add armour firm franchise pick list thing athleisure be trend get stamina research firm survey consumer find more poll be wear activewear time week almost third be buy more athletic apparel quarter more be purchasing more such apparel kid nike mixed result tuesday have street point competition armour particular resurgent adida addyy jeffery poll agree adida eat armour market share gain be moderate kevin plank helmed company make inroad child find more popularity ibd take armour get buy rating jeffery stock be long downtrend hit year low recently wednesday sale growth have slow wall street expect company post loss first half year focus attention top rate company strong even accelerate growth stock be set bullish basis be guard ua give adida ua ep stock be respectively mo predominantly due share transfer write konik street estimate aren take account stabilization north america market flatten gross margin expansion international market category extension say konik say research indicate inflection have form buy opportunity be now armour share rise stock market today wednesday amour fall intraday lowest level september nike share rise regain day line tumble wednesday follow weak sale margin adida edge lower skecher skx be upgrade outperform cowen co climb mall base athletic shoe retailer finish line finl report dismal earning guidance early friday tumble worst level august related nike tank result fan flame adida beast mode comebacknike vow halve product cycle week not month stock fall sale marginsnike rival adida turf war pay price pastfoot locker sprint earning growth continue accelerate
11,UA,stock ease early high friday congress loom obamacare replacement vote stay focus chip stock boost nasdaq composite nike nke again lift dow jone industrial average nasdaq composite rally rise dow jone industrial average add small cap russell be volume be mixed tracking lower nyse higher nasdaq vs same time thursday datum storage semiconductor hospital issue be top gainer today stock market action foreign bank gold department store stock underperform nike lead dow jump retake day move average active trade stock be work recover loss wednesday athletic shoe apparel giant quarterly sale miss rival armour ua be nearly well boost upgrade buy hold jeffery micron technology mu gap pop rapid turnover best level year share be well extend recent bounce day line memory chip maker late thursday report better expect fiscal earning share revenue line view midpoint current quarter outlook ep sale be well street forecast kb home kbh reversed slip heavy volume stock remain buy range flat base entry clear feb close thursday homebuilder report fiscal result top view top bottom line builder stock get lift thursday session rise new home sale annual rate downside finish line finl gap topple fast trade report fiscal result miss view top bottom line share be lowest level more year also earning result be gamestop gme plunge huge volume profit meet revenue fall more estimate economic news durable good order rise february vs january economist forecast gain related memory chipmaker micron technology jump earning guidance beat builder rally new home sale rise kb home earning topfinish line dismal earning guidance follow nike retail warning
12,UA,stock open higher friday buoy economic datum overseas trade ahead session chock full bank report fed commentary dow industrial scale nasdaq advanced earning report rolled jpmorgan jpm citigroup well fargo wfc pnc financial pnc early friday boston federal reserve bank president eric rosengren speak et loretta mester president cleveland federal reserve speak just fed chairwoman janet yellen address boston fed economic conference europe market stick early gain rebound thursday difficult session mining telecom play lead gain cac paris be afternoon trade frankfurt dax leap london ftse show gain financial hold top dow goldman sachs gs jpmorgan notch gain jpmorgan report broad third quarter beat revenue earning line boost record result investment bank citigroup swung open third quarter earning revenue slip less expect well fargo muster advance report third quarter earning also slip less expect revenue rise edge analyst expectation armour ua claw nearly upgrade overweight piper jaffray armour share have be struggle resistance week move average april momo momo ibd climb open stock have have volatile week trip profit take rule follow august downside india infosys infy slice lower report result line lower guidance then lower full year revenue guidance due uncertain business outlook price paid producer rise september labor department report flat performance august forecast increase core price food energy rise august gain projection rise retail sale surge expect september reverse dip report august commerce department auto sale rise also line projection august business inventory commerce preliminary consumer sentiment read october university michigan be set release baker hughe bhi serve weekly rig count et treasury budget wrapped friday economic calendar et oil price bounce nearly send west texas intermediate barrel gold slip fraction ounce dollar gain ground bond slip send year yield basis point
13,UA,analyst start nike nke neutral rating chipmaker nvidia nvda buy rating wednesday shale oil company anadarko apc be upgrade earning earlier week coverage nike be initiate neutral rating price target wedbush athletic gear giant be face step competition armour ua resurgent adida lately last week armour top quarterly forecast lower growth projection nike share rise end trading stock market today related shoe sale slow nike retro design help start coverage nvidia buy rating price target chipmaker announce quarterly earning nov competitor qorvo qrvo qualcomm qcom skywork solution swks report week qualcomm today qualcomm be upgrade monday expectation acquisition nxp semiconductor nxpi boost earning nvidia share slip qualcomm share end day ibd take be several way look stock few be more important trend profit margin nvidia have see straight quarterly margin increase find other top stock big margin increase ibd big cap gilead gild be upgrade outperform bmo capital rbc capital lower gilead price target late tuesday biotech report drop profit hiv drug top expectation rise gilead share sank bp bp be downgrade hold societe generale oil major lower capital expenditure outlook year tuesday be cautious investment guidance well bp share fall wednesday credit suisse upgrade anadarko outperform price target late monday exploration production company report earning revenue result miss wall street expectation anadarko share add end trading wednesday shale bellwether continental resource clr report result close wednesday related amazon price target bump chevron twilio get analyst loveanalyst bullish acacia qualcomm nike downgrade
