,ticker,content
0,VIAB,struggle power spot potentially combine company be muddy merger talk cbs cbs viacom viab accord cnbc cite source cbs coo joe ianniello viacom ceo bob bakish want job say outlet also report source say current cbs chief moonfe be merged medium company least year special committee cbs board member formally submit market value bid viacom call cbs management include iannello lead merged company source tell bloomberg final decision merger be make soon month say wall street journal cite person familiar matter outlet also say year old sumner redstone national amusement control cbs viacom have only vote board control company mental capacity come increase scrutiny national amusement have sign merger reportedly have director total include sumner daughter shari redstone be say be driver current cbs viacom merger discussion elder redstone be say communicate ipad preload recording voice be link yes verbal command accord journal cite person have speak cbs share finished higher stock market today viacom lose fox news owner st century fox foxa have floated possible sale sky news walt disney part set remedy regulator seek limit rupert murdoch control medium market address concern surround editorial independence sky news fox offer new ring fencing policy establish sky news distinct company parent sky group equip sky news manage independent board year guarantee funding fox competition market authority have provisionally find january fox sky deal be not public interest due medium plurality concern give murdoch family too much control news provider medium platform therefore too much influence public opinion political agenda option disney have expressed interest acquire sky news view add disney exist portfolio television channel not disney propose acquisition st century fox proceed say fox release disney say december acquire fox studio entertainment asset fox announce back december acquire portion sky doesn already own euro share cash february comcast cmcsa tossed own bid ring cash bid move weigh share fox say then remain commit original cash offer company disney share close fox share end flat be interested netflix take medium giant video stream war go globalcomcast sky bid send cable tv firm stock fox be disney highest priority fox deal transform medium sectorchart read basic buy point mark time real stock make list fastest grow company
1,VIAB,stock bolt premarket trading early gain tuesday chipmaker lead early tech stock rebound nasdaq composite surge jump dow jone industrial average climb leader include taiwan semiconductor tsm nvidia nvda micron tgechnology mu chalk early rebound amazon com amzn bounce more netflix nflx tesla tsla rebound more overseas action be relatively tame asia stock market feel only modest pressure monday selling shanghai composite drop hong kong hang seng index gain reopen day holiday market europe open pressure day break frankfurt dax pare early loss cac paris be london ftse flattened afternoon trade economic news be fairly light tuesday automaker be report march sale total session general motor gm reportedly announce final monthly sale figure automaker plan end year tradition report monthly sale dow industrial unitedhealth group unh power ahead more tesla open trading higher maker luxury electric automobile announce total production rise first quarter vehicle tweet late tuesday elon musk say tesla founder chief executive be back sleeping factory order oversee model production tesla share be september high well critical level support chipmaker be hammer early bounce philadelphia semiconductor index drop monday taiwan semiconductor micron jump more apiece taiwan semi be battle retake week line month consolidation ibd list graphic chip developer nvidia spiked open share drop almost fast trade monday put further day move average stock be also retesting buy point early january viacom viab sunk bottom nasdaq tumble nearly report cbs cbs be prepare low ball bid cable competitor stock bid long discuss merger value viacom current market cap report say come next few day cbs share gain recent ipos suffer steep premarket loss datum center manager switch swch tank report fourth quarter result late monday financial technology provider longfin lfin topple lower company have emphasize blockchain base technology reportedly announce security exchange commission investigation well weakness financial report stock end tuesday start year most loss follow march announcement company be drop russell index be interested big picture low stock go just don do top stock key lesson market correction tech stock sector continue show strength facebook crisis deepen public turn social network ibd tipp poll
2,VIAB,wake comcast cmcsa make higher cash bid st century fox foxa disney be expect add cash offer entertainment conglomerate accord cnbc meanwhile pivotal research group downgrade disney stock sell hold cite risk pay more fox disney agree late acquire fox entertainment studio asset comcast cash bid represent premium disney bid comcast be more confident deal pass antitrust muster get federal judge last week close time warner acquisition disney share finished lower stock market today disney stock remain day day average retake line recent week comcast stock sank testing day still well day line fox stock dip comcast be separate spar match fox europe base broadcaster sky comcast april offer sky fox hold stake fox have late bid euro share remain part sky do not already own battle fox asset include movie tv studio certain tv network such fx national geographic fox regional sport network certain international property well fox current stake sky hulu disney comcast see need more content compete netflix other disney plan launch stream channel take netflix nflx meanwhile disney comcast hold majority share hulu fox purchase fox say december spin remain news sport network include fox news fox business fox sport fox broadcasting company new fox analyst pivotal research group downgrade disney fox negotiation fox purchase price rise due disney comcast bidding war then disney value be negatively impact reduce incremental value company be able generate synergy associate acquisition write pivotal brian wieser note acquire fast company elsewhere medium realm viacom viab share advanced cbs cbs rise netflix dip be interested biggest way disney fox merger affect big be time warner ruling even stock be rallyingsell take profit hold here be several guideline followchart read basic buy point mark time real opportunity
3,VIAB,here investing action plan wednesday need know investor come day latest fed rate hike take spotlight oil datum push energy stock exxon mobil xom chevron cvx further buy zone hinder progress telecom medium stock feel aftereffect judge ruling approve ticker
4,VIAB,stock market swung wildly investor mulled president trump trade tariff vs china beij swift retaliation hope settlement dow jone nasdaq composite close weekly loss friday sell meanwhile trump also continue slam amazon amzn tesla tsla model production miss target less fear spotify spot launch direct list lennar len lgi home lgih signale homebuilder be rise again stock market average sell monday china signale aggressively respond trump tariff even detailed tariff chinese import follow beij retaliation dow jone nasdaq composite rally tuesday thursday lighter volume stock sell again friday end week lower trump threaten ratchet china tariff tesla tsla rocket year low retail energy stock break extend gain lgi home lgih break apple aapl netflix nflx reclaim day move average thursday fall back friday add just job march smallest gain month average hourly earning rise vs year earlier tick february jobless rate hold meanwhile institute supply management manufacturing survey index ease year high march remain lofty level tesla tsla have topsy turvy week share plunge year low monday china trade war fear then shot next session production delivery figure model production miss company target yet again less many fear tesla once again claim be build momentum output say win need equity debt raise year apart standard credit line tesla rise week get newsletter deliver inbox more info product service privacy policy term usepresident donald trump continue tweet tirade amazon amzn tax status use postal service latest tweet binge be precede report axio say trump be obsessed amazon have wonder aloud be way go company antitrust competition law trump thursday tell reporter ll take very serious look amazon amazon fall week facebook fb say far more person be expose cambridge analytica scandal first thought ceo mark zuckerberg say most user have have datum tap third party zuckerberg testify congress april deny scandal impact ad revenue user coo sheryl sandberg say advertiser have halter facebook ad spotify spot begin trading nyse tuesday share open close spotify end te week be first time high profile company used direct list eliminate need wall street bank broker public offer thus save spotify costly service fee spotify have monthly active user premium subscriber twice apple music walmart wmt heel last week report be talk acquire major insurer humana hum be say also be actively discuss acquisition online pharmacy startup pillpack company bill full service pharmacy sort prescription dose ship medication customer free possible report acquisition point walmart apparent seriousness become health care contender follow month speculation amazon possible entry pharmacy space humana quest diagnostic dgx unitedhealth unh be work together blockchain project improve patient datum quality management well cut administrative cost auto sale boom march redesign suvs crossover win shopper flush tax refund general motor gm fiat chrysler fcau see blowout sale gain year year fleet sale incentive help boost result ford toyota motor tm honda hmc also grow sale more line estimate annualize pace march sale be new car suvs truck forecast february lennar len wednesday report first quarter earning share growth revenue jump much better expect new home order rise big builder be bullish housing demand ibd stock lgi home lgih break buy zone thursday report jump home closing analyst say result underline high demand entry level home lennar lgi several other builder surge rebound sharp sell earlier year macau china only legal casino hub see gaming revenue shoot patacas easily top view growth wynn resort wynn other big casino stock fail get lift monday news wynn rally friday report mgm resort mgm bid rival steve wynn picture share delta air line dal american airline aal unite airline ual fall week china trade fear do get boost tuesday delta forecast first quarter unit revenue high end expectation cite solid global travel demand st century fox foxa bid acquire sky group offer new ring fencing policy design keep subsidiary sky news independent fox owner rupert murdoch family medium empire remedy disney say acquire sky news meanwhile disney say espn stream service debut thursday month year viacom viab reject market takeover bid cbs cbs redstone family national amusement push medium giant merge wall street journal say viacom be expect counter offer week cloudera cldr report earning revenue view guide lower revenue current quarter share plunge week undercut april ipo price general electric ge sell health software asset private equity firm initial step target asset sale tuesday analyst call trouble industrial giant current investment grade credit rating unjustified cut ep estimate ge restate ep april carmax kmx earn cent share miss forecast cent revenue also miss nearly new suvs crossover lease be have flooded market push price new used vehicle apple aapl reportedly be plan switch own chip design mac computer soon replace current supplier intel intc intel share fall news bounce back analyst say impact company be minimal micron technology mu stock tumble thursday ub initiate coverage sell rating ub predict current memory chip cycle be start ebb micron fall friday crude supply unexpectedly fall last week government say oil price slip china trade threat tariff score import good ollie bargain outlet olli logged ep growth revenue gain top consensus view closeout retailer full year revenue estimate be light share plunge intraday thursday close stock fall week
5,VIAB,viacom viab surge regular session chatter be look merge cbs cbs be now slide late further report suggest negotiation be not ongoing cbs share rise stock market today then moved late trading viacom share settle higher most gain come just close viacom retreat late shari redstone vice chair board cbs executive vice chair board viacom be reportedly look reunite medium giant accord initial report entertainment outlet thewrap cite multiple source soon cnbc say medium company be not active merger talk cite multiple report update viacom cbs be not active merger talk report say viab share now hour follow spike close initial report https co akzuhihq pic twitter com tdhd cnbc cnbc january not have be first time redstone have push cbs viacom merger split decade sumner redstone national amusement daughter shari be president send viacom letter ask stock merger cbs national amusement control viacom cbs voting share viacom shut talk later year younger redstone pull plug proposal support then new viacom chief bob bakish tell recode last year be better value cbs viacom remain separate be walt disney agree acquire st century fox foxa entertainment asset thewrap say redstone believe company need have bigger footprint succeed viacom own comedy central mtv nickelodeon more child programming heavily expose netflix nflx other stream option cbs be most watch broadcast network cater older audience be most likely watch traditional tv opposed netflix mobile view key person move merge be cbs head moonfe past have be reluctant combine network entertainment entity be interested biggest way disney fox merger affect be disney highest priority fox deal transform medium sectordisney fox deal negative netflix positive roku analyst
6,VIAB,stock backed early mixed trade thursday nasdaq follow dow industrial moderate loss year federal budget deal move possible vote thursday have generate early optimism investor earning report tesla tsla twitter twtr other be factor morning trade nasdaq composite pop open quickly begin trimming gain viacom viab lead nasdaq almost report fiscal first quarter result dow jone industrial average slip be verizon vz general electric ge weigh dow more hanesbrand hbi take worst loss fall more report morning lead economic release show first time unemployment claim decline week end feb accord labor department be application prior week be far economist consensus estimate increase claim decline issue lead riser more dow just open merck mrk take early lead apple aapl inched fang stock tech leader lose ground share continue struggle hold support day move average chip stock be pressure just open take steep loss wednesday nvidia nvda manage gain early trade move stock buy range buy point open tesla slip report generally better forecast fourth quarter result wednesday close tesla be technically consolidation handle buy point relative strength line be lag stock have have trouble gain altitude week move average twitter spiked report fourth quarter revenue earning growth analyst target stock be extend clear cup handle base december january rebound week support fast move ipo canada goose holding goos faltered follow fiscal third quarter report apparel maker earning revenue easily surpass analyst projection company announce chief financial officer john black be replace later year sinclair cfo shoe retailer jimmy choo loss send canada goose share test support week move average stock remain extend november most china base stock be quietly mixed online gaming leader netease nte slump mixed fourth quarter performance report late wednesday dollar bounce highest mark week buoy optimism federal budget deal bond reversed early rebound move lower lift year yield basis point oil price lead factor wednesday high volume selling reversed course edge higher shake pressure datum show production level more barrel day report energy information administration wednesday stock europe fall hard morning trade take back ground bank england hold interest rate steady hint increase be work ftse london dip frankfurt dax be afternoon trade asia stock market be mostly positive tokyo nikkei punch advance china hong kong hang seng index rise shanghai composite dive be interested big picture techs hit nasdaq stock repeat bear sell stock future point more loss techs fall spot next major stock market peak here be easy waydow jone suffer worst point drop ever percentage loss be not historictime review stock selling smartsanatomy chart breaking buy sell zonesis time get stock market
7,VIAB,here weekly investing action plan need know investor come week earning season grind result due tesla tsla nvidia nvda grubhub grub disney match group mtch more social medium company restaurant cybersecurity firm chip sector company report well meanwhile
8,VIAB,amazon amzn verizon communication vz possibly reunite cbs cbs viacom viab be active talk acquire lionsgate lgfa accord deadline report thursday news come flurry studio news most recently shari redstone national amusement control cbs viacom be reportedly look merge company split decade wall street journal say late wednesday be move replace member cbs board director cbs chief moonfe have not be keen possibility cbs viacom reunion recent year bloomberg be report be now open idea recent swift change medium landscape be change mind studio level digital player such netflix nflx amazon plow deeper hollywood walt disney take possession st century fox foxa tv film asset lionsgate class share shot stock market today hit highest level more year amazon shed verizon dip cbs gain viacom jump disney slip ibd take want understand state market pay attention major average lead stock read ibd stock market today column market day end day big picture take free trial timely market analysis highlighted growth stock breaking proper basis lionsgate capture domestic box office gross putt sixth place other major studio accord box office mojo disney have lion share box office revenue last year now almost certainly widen lead fox umbrella be interested be cbs viacom look reunite bitcoin cryptocurrency news trendsverizon get expand right nfl game new biggest way disney fox merger affect
9,VIAB,disney ceo bob iger stress thursday addition beef already vast library tv movie deal buy st century fox foxa entertainment asset provide opportunity expand globally ramp direct consumer stream deal include century fox movie tv studio fx network national geographic fox regional sport network fox network group international star india well fox stake hulu sky tata sky endemol shine group come disney plan launch espn stream service disney brand family friendly stream service use hulu more adult oriented stream service most exciting aspect fox acquisition be allow greatly accelerate direct consumer strategy enable better serve consumer world say iger be extend contract part agreement thursday conference call ve say believe create direct consumer relationship be vital future medium business highest priority cord cut trend person shedding cable subscription have broadly push medium company offset cable subscriber loss more stream option disney brand stream service already have original content form powerful star war brand well pixar disney animation movie position platform formidable competitor netflix nflx amazon amzn now fox movie fantastic deadpool man series round disney marvel property major franchise such alien planet apes further padding rich trove content disney pay stock assume debt deal work share fox share equal disney wednesday close transaction be expect close june be see provide least cost synergy transaction doesn go disney be hook breakup fee share disney be stock market today week speculation deal be imminent fox surge comcast cmcsa abandon own bid fox earlier week rise viacom viab gain cbs cbs rally time warner twx have deal be buy be netflix rise amazon picked ibd take search even more stock actionable trading opportunity check stock list page find stock buy zone stock hit new high sector leader tech leader ipo leader more iger tell abc good morning america thursday doesn expect reach scale netflix quickly see be top competitor analyst be already bullish prospect view home run deal disney aggressive acquisition high price tag opinion be right move right time marriage asset create much more formidable disney content stream front come year primary goal invade netflix golden stream sandbox launch competitive service write gbh insight analyst daniel ife thursday deal also bring disney stake hulu comcast nbcuniversal own time warner have stake stream platform have control interest hulu help make management company more clear efficient say iger call supersizing library intellectual property annex more hulu disney be able more easily brush concern surround subscriber loss medium network unit particular premium sport cable network espn rely be part traditional cable bundle iger be firm believer espn power sport medium brand now be point plan take international addition fox global sport platform include regional sport network here unite state well rich portfolio sport right property europe india latin america nicely complement espn exist business create exciting new avenue grow brand far unite state say iger call fox spin fox broadcasting network station fox news channel fox business network fs fs big network separately trade firm disney takeover disney lease fox studio lot century city neighborhood los angele year part deal report variety cite insider attend fox town hall meeting thursday unclear regulator judge disney fox deal even antitrust official approve merger still impose significant concession justice department recently moved fight time warner deal court key question remain be be next line fill shoe iger be do see integration fox asset good morning america iger say fox ceo james murdoch assist transition chief also discuss come month be role not company accord cnbc related fox like mouse better comcast reportdisney park chief emerge contender succeed igercomcast verizon reportedly eyee st century fox asset believe be serious do disney fox deal make sense key fact disney rogue move mean netflix subscriber
