,ticker,content
0,VNO,stock stumble mixed close average trade tuesday earning news concern misstep lawmaker washington keep session balance dow jone industrial average slip struggle goldman sachs gs decline follow goldman second quarter result start bell manage point gain fraction nasdaq composite turn netflix nflx hold index head water assist jd com jd paypal pypl tesla tsla senate find effort health care reform roadblock internal gop resistance monday night plan simply repeal affordable care act start scratch run resistance own later day stock have generally show sensitivity indication trump administration not enact pledge item such health care tax banking reform stock future have slump overnight remain weak earning report begin hit wire early tuesday be also weak economic news real estate sector national association home builder report builder confidence survey slump july june read lowest tally november netflix score gap report mixed second quarter result late monday company report add new subscriber quarter far consensus view stock open be extend standard flat base buy point wide gap move enabled technical buy range begin roughly stock open price left share top buy range end session paypal rise more quiet trade price hike keybanc capital market paypal be extend clear flat base buy pointjd com keep recent volatility punch more light trade stock have be trading wide loose hung resistance early june solar stock be day best performer sunpower spwr beam news utility oklahoma gas electric energy have commit megawatt solar facility covington okla gain put sunpower march low other solar play also respond china jinkosolar jks daqo new energy dq apiece first solar fslr notch gain solar energy group have outperformed other industry last week period office retail reit vornado realty trust vno clock worst loss spin portion new york asset combination washington base asset privately hold jbg new issue jbg property jbgs dip tuesday also bottom harley davidson hog drop report mixed result chipotle grill cmg also take dunk upgrade standpoint maxim group investor flinch fresh report customer fall ill eating chipotle restaurant sterling va close unite airline ual drop report second quarter result railroad csx csx skid lower ibm ibm shed more related electronic payment sector swipe ahead get price hikestop large cap growth company big cap find top quality stock buy zone
1,VNO,donald trump didn look very far search infrastructure advisor turn manhattan real estate developer have know decade richard lefrak steven roth lefrak billionaire new york root mirror trump own roth chairman vornado realty trust vno city largest landlord spearhead committee dedicate new administration signature campaign pledge trump relationship man lead council builder engineer monitor spending crisscross new york web personal professional ty extent power risk conflict aren clear vornado be biggest property owner area surround manhattan pennsylvania station benefit increase infrastructure spending trump tell wall street journal council reject project expand other usually province local official hasn articulate plan broad statement promising much spending include private investment improve road bridge other public work interview last month cnbc lefrak say anticipate tug war republican congress concern deficit be more reasonable estimate part assignment be advise best merit different thing lefrak say simple answer lefrak isn discuss council further hasn be form yet accord spokesman steve solomon spokeswoman roth decline comment white house spokesman say couldn provide detail council role rep bill shuster pa chairman house transportation infrastructure committee say feb infrastructure package win be release house wrapped proposal taxe repeal replace affordable care act be honor have ask roth say trump feb conference call analyst infrastructure matter be not political citizen america want infrastructure be robust be good state repair so be competitive have right quality life lefrak trump be scion family make fortune own apartment building outskirt manhattan lefrak real estate dynasty trace origin richard lefrak grandfather harry emigrate palestine family business grow become largest residential landlord new york new jersey best know build eponymous apartment complex queen year lefrak have have cameo trump life serve miss universe judge appear episode apprentice trump book art comeback praise richard lefrak disparage father sam lefrak have tussle trump younger lefrak have be frequent guest mar lago trump resort palm beach fla accord profile new york time roth relationship trump go back least early man acquire stake alx takeover battle department store chain roth prevailed seize value company real estate include be now manhattan headquarters bloomberg turn real estate empire trump lose stake citibank bankruptcy court roth be trump partner deal tie loose end future president fail attempt turn acre tract land west side manhattan have be new york biggest development rockefeller center publicly feud mayor ed koch spurn offer developer william zeckendorf jr buy undeveloped plot trump be force banker cede control site group hong kong investor proceed sale be eventually used acquire avenue americas new york california st san francisco leave trump minority stake office building vornado buy control partner trump sue assume potential liability lawsuit roth reference long standing friendship trump explain deal annual letter shareholder lawsuit be eventually dismiss trump stake tower be now worth accord bloomberg billionaire index make most valuable asset more recently vornado swoop jared kushner trump son law now senior white house advisor be fight hold fifth ave manhattan tower acquire height property bubble kushner be verge default loan vornado inject story build part deal stave kushner creditor kushner married ivanka trump recently sell stake fifth ave family trust isn beneficiary comply conflict interest rule roth lefrak have own history together developer jointly own parcel land west street central park leveled prewar building past year plan build describe star hotel relationship roth lefrak help decision make come infrastructure spending accord steven manhattan developer have know trump roth lefrak year know speak re regard savvy steward real estate empire say risk management be go be order day say trump be not just appoint slot billionaire have show unique ability manage risk exception such project federal land state local entity typically control infrastructure decide work proceed say jim tymon chief operate officer american association state highway transportation official trump council help review high profile project possibly decide get additional funding financing say not unheard developer have seat table infrastructure plan many skill require put together large real estate project be transferable such navigate regulatory process gain public support arrange financing accord scott rechler ceo rxr realty company own real estate new york new jersey connecticut real estate be seed be plant infrastructure rechler spend year board port authority new york new jersey say interview vornado have be involved attempt redevelop penn station nearby structure more decade parallel project call gateway program expand railroad network hudson river be high list proposal local official say need additional funding roth holding penn station busiest transportation hub north america be more asset liability accord goldfarb real estate analyst sandler neil partner roth familiarity area addition experience work government entity give insight logistical issue such best way alleviate traffic jam goldfarb say lefrak be partner florida developer turnberry associate sole mia project transform former miami superfund site community residential office retail property roth lefrak be skilled raise capital diverse source be crucial get program ground accord be able show private investor predictable return be challenge infrastructure project guy be expert financial structuring say understand incentive debt equity come together go take get person interested infrastructure more real estate homebuyer break even point just get little more distantsurvey find most affordable major housing market be americatrending home improvement project housing cheaper rent most long
2,VNO,investing real estate help build strong foundation investment portfolio security diversify portfolio generate income hold potential capital growth trifecta benefit etf investor several reit exchange trade fund be poise sizable rally have find support day move average recent pullback include vanguard reit vnq ishare real estate iyr real estate select sector spdr xlre be largest fund sector real estate debut sector monday command roughly weighting large cap index timely move give performance popularity reit exchange trade fund investor stand alone sector reit gain add visibility serve further increase asset flow asset class say adam pattus ceo indexiq firm iq real estate small cap etf roof active manager many underweight real estate be part financial sector be force adjust demand real estate security hold strong ahead industry elevation new sector investor pour real estate etfs august follow july accord morningstar datum popularity reit etfs persist last month even other yield focuse etfs such rate sensitive telecom service utility see significant outflow todd rosenbluth director etf research global market intelligence write stock market today vnq show bullish momentum extend wednesday gain federal reserve decision leave interest rate unchanged september fed left door open hike later year several other reit etfs show similar action investor reit monitor interest rate closely lower rate typically make easier buy sell refinance property boost demand real estate conversely sector tend sell rate trend ibd take recent change widely used classification system equity significantly impact fund investor allocate resource real estate etfs vanguard vnq dominate term net inflow so far year rake august etf hold traditional real estate such self storage company public storage psa health care reit welltower hcn comparison ishare rival iyr also hold newer specialty reit focuse timber communication other area include american tower amt crown castle cci former telecom have restructure reit rosenbluth note young xlre invest exclusively component etf launch late anticipation landmark change global industry classification standard gic taxonomy equity carved real estate financial stand alone sector xlre swell few asset gic change take effect month largest real estate etfs skew big reit simon property group spg vornado realty vno indexiq describe roof only way investor gain access small cap segment reit real estate hold company invest commercial residential specialize reit sector etf be relatively small asset thinly trade have vault largest fund so far roof jump stock market year date comparison vnq gain same period xlre etfs tracking index iq pattus think reit still have room run get hit fairly hard fund hold smaller reit offer especially attractive opportunity investor small cap group provide higher dividend yield large cap accord pattus roof currently have month yield vnq former invest bottom domestic reit market term market capitalization filter smallest most illiquid name pattus describe roof stock holding hide gem be underowned offer attractive relative value include first industrial fr add flow money real estate new sector further extend valuation large cap reduce dividend yield accord pattus dividend income be big reason investor seek reit first place real estate investment trust generate yield distribute earning dividend reality be re investing reit yield diversification look small cap pattus say suggest investor carve overall reit exposure small cap roof related first new sector be big deal yield high real estate fund drum asset appealkey debut real estate be big opportunity etf investorsmeet first new sector spdr etfs year
3,VNO,toy world largest toy chain plan leave flagship store new york time square face expect rent hike
4,VNO,square foot store broadway indoor ferris wheel mechanical tyrannosaurus rex dinosaur be too big single tenant say bradley mendelson vice chairman cushman wakefield be handle lease build owner bow tie partner landlord plan break space mendelson say configuration space be just too expensive tenant mendelson say market rate have change substantially have nothing do toy ability toy have be very good tenant last year move reflect rapid rent growth time square bow tie block immediately surround area broadway seventh avenue cross often call crossroad world retailer clamore access square tourist traffic have be drive rent higher rate ground floor retail space bow tie area averaged square foot late higher anywhere manhattan fifth avenue street accord report real estate board new york year earlier average be square foot proud resident toy have be proud resident time square international flagship store open linda connor spokeswoman company say email statement lease store time square expire previously note have be review lease renewal option have not sign lease agreement new location rumor regard ongoing process be just ground floor square foot be be market square foot second floor space square foot lower level square foot say be other retail tenant square foot build foot locker fl swatch store starbucks sbux coffee shop bond restaurant lease expire february same time toy say toy relocate retail storefront square marriott marquis hotel vornado realty trust vno control retail portion property accord commercial observer report retailer move vornado own stake toy retailer have install time square largest digital advertising sign store square foot retail space be immediately available hotel accord vornado wendi kopsick vornado spokeswoman say company have comment model dinosaur ferris wheel be toy property be used new store be mendelson say have be discussion toy take less space nothing ongoing right now retailer say time square store be stage area marketing company have struggle competition like wal mart wmt amazon com amzn
5,VNO,etf investor willing take higher risk higher return very well be little miffed dividend low volatility exchange trade fund outperformed robust stock market momentum high beta fund lag comparison stock lower risk characteristic defensive characteristic generally post strongest return nick kalivas senior equity strategist powershare
6,VNO,achieve optimal diversification portfolio take more just bond stock form etfs mutual fund individual security
7,VNO,be many more asset class subsector provide valuable diversification such real asset exposure various industry commodity well internationally
8,VNO,diversify own group asset appreciate value different time protect portfolio violent downswing single asset class have time time
9,VNO,northern trust flexshare have collaborate several index provider give investor etf choice diversification
