,ticker,content
0,WAT,tuesday water reach important technical milestone relative strength rs rating jump percentile upgrade rise day ibd unique rs rating track market leadership show stock price movement last week compare other stock major index history reveal stock go make biggest gain tend have better rs rating launch biggest price move see ibd help make more money stockswater be now consider extend buy range clear buy point first stage flat base see stock form new pattern follow buy opportunity week tight pullback day week move average top bottom line growth moved higher company most recent quarter earning be compare prior report revenue increase keep eye company next round number jan company hold rank peer electronic scientific measure industry group ipg photonic ipgp coherent cohr novanta novt be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,WAT,welcome move water see relative strength rating rise friday ibd unique rating measure price movement worst best score grade show stock price performance trail week compare other stock database year market history show best perform stock typically have rs rating begin biggest run see water continue rebound clear threshold see ibd help make more stockswater be work flat base entry see stock break volume least higher normal water report ep growth most recent report sale growth come company be expect report latest performance number oct water hold rank peer electronic scientific measure industry group cognex cgnx coherent cohr ipg photonic ipgp be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
2,WAT,water have relative strength rs rating upgrade tuesday welcome improvement still better score prefer see ibd proprietary rating track market leadership worst best score rating show stock price performance trail week hold other stock database decade market research reveal best perform stock tend have better rs rating launch largest run see water continue show renew price strength clear threshold look winning stock try simple routinewater break earlier have fall back prior entry flat base stock re tracking clear buy point then retreat more original entry price consider fail base stock set new base entry price also understand most recent pattern be later stage base involve more risk water post ep growth last quarter sale growth come keep eye company next round number oct company earn rank peer electronic scientific measure industry group coherent cohr ipg photonic ipgp cognex cgnx be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
3,WAT,third quarter earning be good enough spark even more upside major stock index time tell now nasdaq composite be hold high limit sign distribution good scenario bull market lead growth stock particularly fang name be start act sluggish
4,WAT,yum china yumc yum brand yum spinoff charge kfc taco bell pizza hut location china jump late thursday company report strong same store sale growth expand shareholder return xestimate ep cent revenue yum china begin trading november same store sale be expect increase accord consensus metrix result flat ep cent revenue same store sale jump comp kfc presence china be largest chain rise view gain pizza hut have be weak spot company same store sale be flat better forecast dip company say have increase buyback plan aggregate yum china board have also regularly quarterly cash dividend declare initial cash dividend cent share stock share pop hour stock market today close entry yum brand edge slightly company also say plan set take hold march ceo micky pant transition vice chairman board senior adviser current coo joey replace ceo ibd take mcdonald be cling key day support level domino pizza have rebound want understand state market pay attention major average lead stock read ibd stock market today column market day big picture take free trial day end timely market analysis highlighted growth stock breaking proper basis yum china have be bullish delivery mobile payment other digital effort company say have agree acquire control interest online food delivery service daojia thursday yum china say more restautant china offer delivery service comprise more company sale mobile payment account more company sale quarter quarter strategic initiative digital delivery continue show encourage development believe enable long term growth pant say statement connection loyalty member be get stronger add growth mobile payment cashless settlement method sale continue outperform previous quarters yum china last month say have launch new restaurant call kpro kfc hangzhou china concept intend draw nation burgeon population urban professional have call greenhouse layout seasonal menu restaurant also have digital kiosk mobile order pay facial recognition payment technology alipay related restaurant stock watch winner emerge investing action planmcdonald stock be buy zone again sale fear easemcdonald clear key benchmark hit rs rating
5,WAT,welcome move water see relative strength rating rise wednesday ibd proprietary rating identify market leadership worst best score score show stock price movement last week stack other stock database history reveal best stock typically have rs rating launch largest run see water continue show renew price strength clear threshold stock be work flat base buy point see stock break heavy volume company report ep growth latest quarterly report sale growth come company hold rank peer electronic scientific measure industry group coherent cohr ipg photonic ipgp novanta novt be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
6,WAT,here investing action plan thursday need know investor come day lull just earning season begin next week make quiet calendar be several stock near buy point include broadcom avgo thermo fisher tmo stryker syk deutsche bank db also be address major
7,WAT,yum china yumc share fall close bell company first quarter same store sale come short expectation weigh weak performance pizza hut xestimate wall street expect company run kfc pizza hut taco bell location china report earning share cent system wide same store sale be expect rise gain kfc dip pizza hut accord consensus metrix result same store sale rise ep come cent same store sale rise kfc fall pizza hut total revenue rise stock share tumble hour stock market today yum brand yum parent company fast food chain spun yum china be unchanged hour yum brand report wednesday get newsletter deliver inbox more info product service privacy policy term company have be try expand digital delivery order option turn pizza hut company note difficulty chain tuesday february company also warn result be compete very successful chinese new year promotion past yum china february say have also be add new product menu kfc pizza hut add kfc chinese consumer be continually upgrading choice hence be increase need more premium ingredient first quarter mobile payment make roughly yum china sale well year earlier yum china say tuesday online delivery make company sale year ceo joey say statement tuesday company focus food innovation customer experience together execution strategic priority digital delivery have enabled continue enable build stronger yum china yum china quarter also take extra stake wuxi kfc affiliate operate kfc location wuxi china move bump yum china stake wuxi meanwhile yum brand be report wake departure brian niccol help turn taco bell chipotle grill cmg share chipotle domino pizza dpz jump company report earning last week chipotle edge mcdonald mcd report monday fall be interested way play dow stock do cash mcdonald big gain taco bell template work chipotle new ceo domino pizza just begin delivery park beach thousand hot spot
8,WAT,important metric look stock be higher relative strength rating water just hit mark jump thursday unique rating measure market leadership show stock price action last week compare other stock database decade market research show stock go make biggest gain often have rs rating least begin biggest run look winning stock try simple routinewhile water be not ideal buy range right now see be able form break proper consolidation earning grow last quarter prior report revenue also increase company hold rank peer electronic scientific measure industry group ipg photonic ipgp coherent cohr cognex cgnx be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
9,WAT,water have relative strength rs rating upgrade thursday ibd proprietary rs rating track technical performance show stock price action last week measure other stock database decade market research reveal best stock typically have rs rating north early stage move look best stock buy watch start herewater break earlier have fall back prior entry flat base case stock break then fall more entry price consider fail happen best new base take shape also keep mind most recent consolidation be later stage base involve more risk top bottom line growth moved higher last quarter earning be compare prior report revenue increase water hold rank peer electronic scientific measure industry group cognex cgnx coherent cohr ipg photonic ipgp be top highly rate stock group related stock be show improve technical action use ibd relative strength rating relative strength line help judge stock
10,WAT,major stock index rally exceptionally broad participation monday slog august become more distant make record close high make jump close session high nasdaq composite also rise other index make stride more dow jone industrial average
11,WAT,world increasingly focuse microscopic circuit light speed communication biotech drug treatment demand high precision maker equipment able automate quantify process hyperspeed tapestry depend be comparatively short supply imbalance have send stock collect ibd electronic scientific measure industry group collectively month
12,WAT,index weaken afternoon trading tuesday earning report cause tumble general motor gm home improvement stock nasdaq be dow jone industrial average do little better component procter gamble pg merck mrk rise follow earning report volume be run higher nasdaq nyse build product industry other home improvement stock be rattle combination weak earning report poor outlook major appliance maker air conditioning heating construction product wood product paint appliance be industry group masco mas plunge nearly heavy trading fall long term day move average stock have be form base base pattern be now seriously damage masco miss third quarter profit expectation sale growth continue trend flat low single digit gain date back masco make door window plumbing fixture other construction product be exit lower margin cabinet business bmc stock holding bmch fall rapid trade supplier lumber other build product have be trading day move average week be day line whirlpool whr gap loss more highest volume least april be similar earning related sell appliance manufacturer miss profit sale estimate cut full year earning outlook whirlpool expect earn share earlier forecast high company cite soft demand weaken british pound general motor skid heavy volume stock dip day move average share remain long sideway pattern automaker beat profit sale expectation forecast full year earning high end analyst consensus gm warn miss european profit target due brexit also see softening auto market water gap loss nearly huge volume report profit meet consensus estimate maker product drug development report adjust earning share sale increase water have be lead stock mount gain buy point be form new base tuesday crash have roil pattern metal stock be lead market high rate part sector make ternium tx jump nearly top buy point cup handle base volume be run time average leave little doubt stampede institutional investor be buy share luxembourg base steel producer be talk acquire steel plant brazil germany thyssenkrupp accord report related gm sink europe warning unite tech up view cat guide lowapple earning close expectlockheed martin soar outlook contract talk drag
