,ticker,content
0,WEC,wec energy wec have relative strength rs rating upgrade friday welcome improvement still higher score prefer see ibd proprietary rating track share price performance worst best score score show stock price movement last week hold other stock database decade market research reveal best stock typically have higher rs rating begin biggest price move see wec energy continue show renew price strength hit benchmark look winning stock try simple routinewec energy be buy zone move past entry flat base once stock move higher original entry consider extend buy range company report negative growth top bottom line last quarter wec energy earn rank peer utility diversify industry group chesapeake utility cpk fortis ft avangrid agr be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
1,WEC,stock market close mixed thursday dow jone industrial average again take lead dow industrial climb add month outperformance major index nasdaq fall rise russell rise bell dow utility edge dow transport be stand out rally trucking logistic railroad be top industry group today market volume be sightly lower board accord early datum advancer decliner be even earning report stream copious pace many stock moved sharply celgene celg top list stock move plummet lowest level july biotech miss sale expectation be biggest factor biotech industry group loss nearly thursday other drug group hospital medical software maker also be sharply tal education tal ultra clean holding uctt nutrisystem ntri charter communication chtr be stock sell earning report utility regional bank make good chunk thursday breakout also many announce earning wec energy group wec moved buy point flat base volume be third less normal spire sr climb past entry flat base volume be half usual amount natural gas utility report earning nov columbia banking system colb top buy point cup handle base connectone bancorp cnob clear buy point long pattern first commonwealth financial fcf break past entry cup handle beat profit expectation health care icon iclr surge nearly triple average volume vaulting past buy point flat base provider outsource service pharmaceutical company top estimate sale earning related top rate stock break strong earning
2,WEC,wec energy wec have relative strength rs rating upgrade wednesday welcome improvement still higher score look exclusive rating investor business daily identify market leadership worst best score score show stock price performance trail week hold other stock database year market history reveal market biggest winner tend have better rs rating begin biggest price move see wec energy continue show renew price strength clear threshold wec energy be still buy zone breaking past entry flat base once stock move higher original entry consider extend buy range earning growth picked last quarter revenue gain fall wec energy hold rank peer utility diversify industry group fortis ft avangrid agr vectren vvc be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
3,WEC,relative strength rs rating wec energy wec moved higher percentile friday get lift unique rating identify market leadership used worst best score show stock price action trail week compare rest market history reveal best stock often have rs rating least begin biggest climb see wec energy continue show renew price strength hit benchmark wec energy be trading buy range move past buy point flat base proper buy range extend initial entry once stock move range best set buy opportunity earning growth rise company latest report top line fall company earn rank peer utility diversify industry group fortis ft vectren vvc sempra energy sre be top highly rate stock group related stock be show improve price performance use ibd relative strength rating relative strength line help judge stock
4,WEC,wednesday wec energy wec receive upgrade relative strength rs rating unique rating identify technical performance used worst best score identify stock price action last week match other stock year market history reveal top perform stock often have better rs rating begin largest run see wec energy continue rebound clear threshold now be not ideal time invest see stock manage form consolidation break earning growth rise company most recent report top line fall company earn rank peer utility diversify industry group centerpoint energy cnp fortis ft sempra energy sre be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
5,WEC,wec energy wec have relative strength rs rating upgrade monday welcome improvement still better score look ibd proprietary rating track share price performance worst best score rating show stock price performance last week hold other stock database decade market research reveal best perform stock tend have higher rs rating launch biggest price move see wec energy continue show renew price strength clear threshold now be not ideal time jump isn proper buy zone see stock go offer clear appropriate buy point earning growth rise last quarter top line fall company hold rank peer utility diversify industry group fortis ft centerpoint energy cnp sempra energy sre be top highly rate stock group related stock rise relative strength ratingswhy use ibd relative strength rating relative strength line help judge stock
6,WEC,wec energy wec see positive improvement relative strength rs rating friday rise ibd proprietary rating track price performance worst best score score show stock price performance last week compare other stock database year market history show stock go make biggest gain typically have rs rating early stage move see wec energy continue rebound hit benchmark wec energy break earlier have fall back prior entry flat base stock re tracking break past buy point then retreat more original entry price consider fail base best stock form new base also keep mind latest consolidation be later stage base make riskier establish new position add share exist earning growth increase company most recent report revenue fall wec energy hold rank peer utility diversify industry group centerpoint energy cnp fortis ft vectren vvc be top highly rate stock group related ibd stock rating upgrade rise relative strengthwhy use ibd relative strength rating relative strength line help judge stock
7,WEC,mid early wec energy group wec be not exciting company term cash payout shareholder quarterly payment hover cent cent share year then payment shrank big time plunge cent share december remain level more year
8,WEC,importance timing buy stock be perhaps nearly important steady eddie income play be turbocharge growth company take xcel energy xel column already featured xcel member ibd diversify utility industry group time year march april former day right side
9,WEC,slumping month utility stock rally end february move have more do politic industry fundamental spdr utility etf xlu climb past week much be perhaps tax change be further road many initially thought say jay rhame
10,WEC,defensive stock be picture serenity friday number real estate investment trust utility defy market sell rise new high many stock list ibd stock store capital stor erased early loss rise new high owner commercial real estate property rise nearly
11,WEC,be defensive market be more same monday institutional investor continue rotate real estate investment trust utility know robust dividend yield new high prospect be scant early monday session interestingly screen get bigger session wear weak close
