,ticker,content
0,WFC,well fargo wfc pay settle probe mistreatment consumer largest sanction bank president donald trump firm try resolve year half scandal operation bank pay penalty consumer financial protection bureau office comptroller currency accord cfpb statement friday well fargo warn shareholder last week soon face fine size plan book retroactively first quarter bank remain federal reserve penalty ban growth total asset settlement cover issue well fargo auto lend mortgage unit bank reveal last year have force unwanted insurance customer take car loan prompt investigation california regulator be also accuse impose inappropriate charge locking interest rate new home loan have say enforce law mick mulvaney act director cfpb say statement be do here get newsletter deliver inbox more info product service privacy policy term usechief executive officer tim sloan take helm scandal begin erupt shuffle management promise overhaul bank culture control rebuild public trust ensue scrutiny initiate bank expose more misconduct have fester year company even catch ire trump tweet december face heighten penalty bad act customer well fargo announce preliminary result first quarter april say net income come better expect share be second straight quarter legal cost hurt result fourth quarter well fargo book record charge related regulatory investigation sale practice other matter recognize take time put challenge sloan say april statement latest settlement match biggest ever occ be also record cfpb hasn announce new enforcement case mick mulvaney start run bureau november mulvaney former gop congressman once call bureau sad sick joke have face criticism democratic lawmaker go easy company slow walking investigation well fargo trouble begin mount september authority fine firm open million account customer permission then ceo john stumpf resign executive forfeit ten million dollar compensation time much board be replace february fed cite pattern abus lapse impose unprecedented sanction get special permission bank boost total asset level end address shortcoming nation third largest lender asset still face scrutiny department justice security exchange commission examine wealth management unit person familiar probe have say chief financial officer john shrewsberry tell journalist april investigation division be midway well farog rise soon open bell stock market today share well fargo have decline year thursday worst performance company kbw bank index
1,WFC,big bank have tax cut good economy higher interest rate also dump whole bunch extra return shareholder last month jpmorgan chase jpm citigroup well fargo wfc prepare report second quarter earning friday big bank stock have be mass slide lower xdread flatten yield curve potential foreshadow recession have bank stock year lend have picked remain slow overall business be still skittish borrow money expand trump administration be fling tariff china criticize nafta add business ambivalence deposit cost be rise crimp profit have benefit corporate tax reform be good lot company isn lot evidence ve invest very much business edward jone analyst james say say bank earning month likely be more defined management outlook rest year bank large small client assess strong economy stomach trade war keefe bruyette wood forecast median second quarter loan growth jpmorgan citigroup well fargo bank america bac year kbw expect median loan growth bank nonetheless kbw say expect bank put solid result firm say fundamental support further outperformance once geopolitical risk dissipate low expectation also work bank advantage believe investor expectation loan growth have come
2,WFC,start year so loan growth come better expect second quarter
3,WFC,earning then stock react positively kbw analyst brian kleinhanzl say research note tuesday get newsletter deliver inbox more info product service privacy policy term jpmorgan wall street expect jump earning share analyst see revenue also expect ceo jamie dimon miss jpmorgan first quarter earning call april be attendance dimon often used bank quarterly earning weigh economy washington reflection economy earning release annual shareholder letter have feel warren buffet esque fireside chat remark earning call not always so much have potential create firework here say dimon kind look forward have say trump policy relate corporate taxe tariff trade war arguably re now dimon return reunite more measure counterpart cfo marianne lake tend do most talk call lake bank first quarter result april say be too early tell business be borrow more due tax cut earlier month dimon say annual letter shareholder anything start resemble trade war create risk uncertainty global economic system trump administration week say plan impose tariff worth chinese product duty come top tariff hit chinese product last week take hold august follow review period jpmorgan stock twitch lower stock market today essentially stock be begin year core investor anxiety bank be yield curve measure difference rate short term long term government debt yield curve be also reflection investor longer term expectation inflation strength economy able get away higher price short term rate influence rate bank borrow money depositor long end influence rate set money lend other bank margin depend gap fed have bump short term rate turn push bank charge thing credit card auto loan long end have waver reflect dimmer view economy further citigroup be expect report increase ep revenue increase bank be most internationally expose big bank draw only half revenue north america last year accord keefe bruyette wood percent come latin america citigroup have be bullish business prospect mexico say april expect continue revenue growth nation citi time also note momentum card retail banking business mexico however month elect president andre manuel lopez obrador staunch leftist ride populist establishment wave victory have call trump erratic arrogant election say aim friendly relation obrador have also say want mexico stay nafta kbw last month also note citigroup recent conference say economy mexico slow back nafta renegotiate nafta outcome presidential election july bank still remain bullish growth citigroup dip wednesday share be year date zack forecast increase well fargo earning share revenue be see slip well fargo be still try recover follow revelation create unauthorized customer account attempt boost sale then suspicion have grow other area business federal reserve february restrict well fargo growth say be respond widespread consumer abus compliance breakdown management feel comfortable scandal be past believe only time tell kbw analyst say company investor day share lose wednesday get instant access more trading idea exclusive stock list ibd proprietary rating only be interested dow future stock market rally be miss key element earning hot trump trade war guidance economy add job jobless rate rise goldilock returnsbank financial stock latest news analysis
4,WFC,here be investing action plan friday need know investor come day jpmorgan chase jpm citigroup well fargo wfc report second quarter earning conference call follow earning give investor clarity exactly be economy concern global trade friction growth lend
5,WFC,here weekly investing action plan need know investor come week earning season start kick jpmorgan chase jpm citigroup well fargo wfc strong earning be expect bank index component generally investor focus continue especially trump trade
6,WFC,stock suffer heavy early loss monday open chapter sell begin thursday nasdaq dow jone industrial average dive start bell visa home depot hd boee ba post widest early decline nasdaq composite drop faltered open action nvidia nvda notch largest early loss nasdaq listing well fargo wfc lead decline stock dollar be mixed early day vs euro weaker yen bond remain pressure year yield inch commodity be also mixed oil natural gas gold silver copper post moderate early gain global stock market tokyo nikkei japan be deepest dife nikkei tank roughly equal dow drop friday nikkei biggest day drop november china lead market be sharply mixed shanghai composite hong kong hang seng market europe remain weak afternoon trade london ftse tumble frankfurt dax be cac paris waterline economic news earning calendar be light monday markit institute supply management release january service index et et respectively handful familiar name report quarterly result regular trade monday pick busy hour session include report cirrus logic crus oclaro oclr skywork solution swks fortinet ftnt dow visa collapse lead list heavy early decline home depot boee shed apiece well fargo lower worst early move listing early loss trigger sanction announce federal reserve friday regulator be require shakeup bank board member be limit asset higher end level bank improve management issue link account lend misconduct bank have agree replace board member year accord fed announcement statement well fargo say fed consent order be not related new matter prior issue have already make significant progress monday gap move send well fargo share sharply week move average bristol myer squibb bmy jump nearly early action new york base drugmaker report fourth quarter revenue earning gain analyst target offer guidance line consensus view say checkmate treatment show positive result phase trial lung cancer patient stock be trading just buy point month flat base lead china name feel harsh early pressure alibaba group holding baba com wuba take dive yy inc yy tumble social networking site have be trading jan high be testing week move average yy remain well extend apple aapl slough loss fang stock tech leader post heavy early decline alphabetgoogl feel hardet continuation decline friday meanwhile amazon com amzn jump nomura instinet raise price target chip giant broadcom avgo open fraction boost bid take qualcomm qcom more total share broadcom say pay cash qualcomm share remainder broadcom share qualcomm be early trade week decline have left broadcom share week move average other chipmaker be clear early pressure micron technology mu stumble advanced micro device amd more ibd name nvidia unwound loss give gain jan putt share back technical buy range buy point other important market news monday tesla nvidia disney report spacex launch investing action plan future fall sell continue broadcom hike qualcomm bid stock fall broadly be true correction anatomy chart breaking buy sell zonesapple share flash sell signal week
7,WFC,federal reserve just devise harsh new punishment well fargo wfc land scandal scandal haunt big bank san francisco base lender be ban late friday grow convince authority address shortcoming action cost profit year untested be cap total asset affect firm long term hand largest competitor advantage pursue new business even trump administration signal loosen regulation industry include wall street fed move set scary tone industry public scorn seem shift few year colossal firm necessarily hamper growth year well fargo next year know fed just put fear god bank boardroom country capital alpha partner llc analyst ian katz say sunday note financial crisis bank board have gradually become more serious less rubber stampy well scandal indicate board still aren vigilant enough share company tumble nearly soon open stock market today well fargo be move rectify regulator concern say spokesman oscar suris friday consent order acknowledge well fargo have make progress enhance board governance compliance risk management work continue consent order process ongoing action such recent key outside hire addition board suris say sunday email statement company be confident chair betsy duke ceo tim sloan move swiftly address issue jpmorgan chase jpm agree more legal regulatory settlement bank seek resolve probe area include energy trading oversight service ponzi scheme operator bernard madoff mortgage link dealing bank firm acquire next year asset grow late mount fine liability bank america bac role housing collapse push stock price still bank be able add more asset follow year well fargo sanction call unprecedented fed official arguably mark apex central bank enforcement action have be ratchete recent year fed have time put bank growth check such tell citigroup be expect not undertake significant expansion address issue give rise numerous compliance failure financial crisis fed wasn know punish lender former chair janet yellen tenure change course routinely ban banker industry have be accuse misconduct join other regulator impose billion dollar fine wall street firm unclear be well fargo sanction reflect fed do business go forward capstone more aggressive enforcement posture now start recede president donald trump have repeatedly say want loosen constraint financial industry be increasingly putt stamp central bank pick jay powell succeed yellen former carlyle group lp executive randal quarle be now responsible fed oversight large bank last month trump appointee layer road map ease aspect dodd frank act other rule quarle say plan include alter regulation have force lender hold bigger capital cushion revise volcker rule trading restriction make annual stress test examine firm endure economic meltdown less burdensome quarle become fed vice chair supervision october have involvement well fargo case family ty have prompt recuse matter tie lender representative maxine water california top democrat house financial service committee say fed action show regulator be vigilant industry need more regulator be willing use regulatory tool disposal deal bad actor well fargo say fed move present opportunity other banking giant accord betsy graseck analyst morgan stanley well fargo be come year loan fall first time bank grapple fallout scandal pull back auto lend reliance consumer business growth come bank be shrink branch network think competitor be look say well be go be back foot full year so let go market share graseck say friday analyst grilled sloan well fargo conference call very small number well fargo exist customer be affected bank need dial back activity sloan say call be other bank have park money well fargo say chief financial officer john shrewsberry ditch high cost deposit end boost well fargo net interest margin shrewsberry say sloan bank chief executive october isn imminent danger say charle peabody analyst compass point research trading sloan stay long be additional scandal peabody say ve get have shareholder board change management don sense have yet still sunday note jeffery analyst ken usdin sum concern potential more sanction nervous investor dump share ask fed action be end begin begin end
8,WFC,congress be set give bunch bank more want be say fewer regulator life legislation make way senate week senate tuesday vote begin debate bill free bank take stress test draft plan show wind crisis be too big fail legislation have back gop democrat pass chamber week actually affect biggest bank dow jone industrial average component jpmorgan chase jpm goldman sachs gs well bank america bac citigroup other very limit way keefe bruyette wood analyst brian gardner say bill be gear smaller bank bank asset later add ll see rhetoric go back bad old day be say giveaway big bank not biggest bank not use ibd marketsmith free march
9,WFC,see stock buy point get chart pattern recognition run custom screen start nowa bill stand now language change big bank lobbying effort be successful largest bank still be subject federal reserve stress test dividend buyback bonanza come bank typically pass test be unlikely be affected rule make easier big bank buy municipal bond wall street journal note gardner say not needle mover however analyst say smaller bank have be reluctant expand fear regulatory cost be encourage get bigger merger acquisition bill be pass fed annual evaluation financial system longer apply bank less asset month requirement longer apply bank asset range bill also raise amount asset bank have have be deem systemically important financial system huge hike current let say be regional bank have asset cfra analyst ken leon say now sudden look tactically acquisition bank add be year delay banking industry smaller bank bb bbt suntrust sti person unite pbct signature bank sbny east west bank ewbc be benefit gardner say senate debate come wall street await next big boost bank stock follow tax legislation president trump sign law december stock have be try find support day line republican have argue capital restraint bank be unnecessary democrat have raise concern ease restraint encourage behavior land country financial crisis occur decade jpmorgan citigroup have seek squeeze other benefit bill meet resistance washington current form bill appear relax be know supplementary leverage ratio custodian bank financial institution protect asset stock bond financial firm doesn do retail banking supplementary leverage ratio gauge big bank capital cushion need be relation asset bill be debate senate bank not have factor deposit hold central bank calculate ratio custodian bank bank new york mellon bny state street stt northern trust ntrs be likeliest benefit jpmorgan citi also handle similar deposit argue provision apply well lobbyist bank have pressed legislator modify law accordingly congressional budget office monday say odd bank get way stand accord report rule also relieve many bank responsibility putt together so call live will plan detail bank dissolve need drag economy share jpmorgan close stock market today bank america dip citigroup lose goldman sachs rise morgan stanley gain well fargo wfc fall be interested bank financial stock latest news analysisamazon look way offer brand check accountjpmorgan forecast trading rebound sluggish
