,ticker,content
0,WHR,vacuum home appliance giant electrolux eluxy halter investment due fear effect trump aluminum steel tariff president trump say friday trade war be good day announce ll impose tariff steel import aluminum final announcement detail next week sweden electrolux friday say be now delay plan investment tennessee due concern measure cause spike metal price world second biggest home appliance maker buy american steel make product be putt hold believe tariff cause pretty significant increase price steel market electrolux spokesman daniel frykholm say be not possibility tariff directly impact cost rather impact have market damage overall competitiveness operation sign free ibd newsletter market prep tech reporthowever also hold olive branch say electrolux not make final decision plan investment tariff plan be finalize plan expand modernize plant springfield tennessee be only announce january share tumble stock market today hit month low electrolux stock plunge day move average line thursday last month trump impose huge tariff washing machine give share electrolux rival whirlpool whr boost few day whirlpool be world biggest appliance maker have be selling late january stock sank friday hit worst level november whirlpool fall more week prospect higher steel cost trade war president trump have stand firm issue tariff take favore twitter medium share thought pan early friday country usa be lose many billion dollar trade virtually country do business trade war be good easy example be certain country get cute don trade anymore big easy trump tweet lash actor alec baldwin saturday night live impersonation then turn attention back tariff protect country worker steel industry be bad shape don have steel don have country president write however criticism have come world canada biggest supplier steel aluminum say retaliate hit duty european union be world second largest economy count bloc also say take countermeasure china urge trump show restraint mexico brazil also consider take retaliatory step also be interested trump say trade war be good send dow jone tariff sell trigger new stock market find next stock market bottom
1,WHR,newell brand nwl appoint director picked billionaire investor carl icahn board consumer good company announce monday newell portfolio span include rubbermaid container sunbeam toaster also speed plan revamp trouble new jersey base company be look slim focus brand attractive margin growth potential icahn own newell share agree vote favor newell nominee director upcoming annual meeting help newell fend activist investor starboard value be engage proxy war newell propose own director slate starboard tell shareholder earlier march newell be poorly run icahn say monday new board create significant value shareholder also note icahn enterprise have previously play similar role company such ebay ebay paypal holding pypl take interactive software get newsletter deliver inbox more info product service privacy policy term use streamline consumer face portfolio help company focus most important business reignite performance core business icahn say statement share newell brand pop premarket trade reversed shortly open stock market today close investor believe icahn deal ease pressure newell make more radical change have nearly halved value past year loss accelerate newell miss profit sale expectation november cut guidance tupperware brand tup drop icahn director include son brett icahn patrick campbell former chief financial officer mmm company andrew langham general counsel icahn enterprise courtney mather portfolio manager icahn capital monday news come just day icahn disclose buy minority stake newell brand say seek board seat be interested facebook furor hit future set break key supportthese stock have dip buy point don give themq earning join netflix twitter list stock expect growth new look base pattern count baseswhy count basis be crucial skill play long winning stock ralliescan great stock lead again form multiple basis sometimes yes
2,WHR,dow future rise ahead tuesday open lag nasdaq market gather face double dose resistance caterpillar cat verizon vz unite technology utx stir dow future early crude oil price gain investor dig session long list earning result dow future rise caterpillar forge strong early lead premarket loss traveler trv mmm limit gain future advanced nasdaq future narrow early gain paccar pcar lead heavy loss incyte incy biogen biib temper advance dow have logged straight decline nasdaq have slip past session past result left index back resistance day move average decline also push dow negative territory year dow industrial end monday year carry decline nasdaq hold gain dow push past day line well positive territory year order put market struggle uptrend back track get newsletter deliver inbox more info product service privacy policy term usecrude oil price edge higher benchmark crude just barrel put price just thursday month high global oil supply continue tighten bloomberg report earlier month organization petroleum export country be target crude oil price europe brent benchmark busy day economic news be bury weighty earning calendar stock market today february case shiller home price index march new home sale national association realtor april consumer confidence estimate conference board richmond federal reserve regional manufacturing index be due et monday hour report session include result alphabet googl barrick gold abx chicago bridge iron cbi name trade narrow range early tuesday hold move less generally strong first quarter report google parent alphabet whirlpool whr be standout early tuesday miss first quarter analyst target company announce plan sell brazilian compressor unit early report tuesday stir more activity germany base software giant sap sap marshaled advance drugmaker eli lilly lly hustle higher oilfield equipment leader weatherford international wft scramble gain dow future caterpillar easily lead crank gain immediately follow earning report verizon be next line also earning counter early gain be traveler drop respectively follow quarterly result caterpillar report strong double digit sale increase north america asia pacific region first quarter drive earning revenue well expectation low end earning guidance be full consensus number caterpillar share consolidate late january end monday early april low back support day move average verizon jump adjust first quarter result top target report much larger anticipate drop subscriber quarter verizon share have be consolidate week line support mid march also dow unite technology muscle more destroy analyst first quarter sale earning target management increase range full year earning guidance shift mid point consensus view unite technology share have be trading tight week bottom month consolidation lockheed martin lmt angled report first quarter result earning revenue easily top expectation quarter company hoist full year earning outlook well consensus target lockheed share end monday bit more buy point week cup base software designer cadence system cdns bang premarket gain san jose calif company report strong first quarter beat broad increase second quarter full year guidance stock be january high monday close bell new oriental education technology edu chalk gain ahead tuesday open chain language test preparation center report earning gain rise revenue fiscal fourth quarter stock have be consolidate mid january end monday january high new oriental peer tal education tal jump tuesday premarket session lead ibd list premarket trading tal report fourth quarter result thursday stock be work sixth week possible cup base pattern earning news ibd stock casa system casa drop nearly premarket action company late monday announce share stock offer stock be sixth week consolidation mid march high trading december ipo price be interested big picture stock index struggle cross key levelwill stock market rally continue watch lockheed wynn buy point earning due action plan
3,WHR,major index strengthen premarket trading monday mixed early earning news europe market trim loss merck mrk caterpillar cat receive bullish upgrade future dow jone industrial average firm fair value merck caterpillar pull higher premarket trading nasdaq future claw gain toymaker hasbro have mattel mat post heaviest early loss nasdaq fall hasbro report broad first quarter earning miss earning season accelerate week get fairly slow start monday morning top roster alaska air group alk edge halliburton hal hasbro fall follow quarterly result thing pick close google parent alphabet googl lead report docket include barrick gold abx chicago bridge iron cbi whirlpool whr td ameritrade amtd get newsletter deliver inbox more info product service privacy policy term market young uptrend face challenge prepare enter third week dow have book straight loss nasdaq have book index open day move average nasdaq picked distribution day thursday friday decline overseas asian stock market book uneven loss monday hong kong hang seng index drop nikkei tokyo slough european market narrow early loss turn mixed afternoon trade frankfurt dax cac paris inched higher london ftse wrestle fractional decline crude oil be tight focus week price attempt hold year high benchmark crude slip early monday drop back barrel mark march exist home sale due et national association realtor be top item monday economic calendar researcher markit release preliminary april composite purchasing manager index estimate et merck caterpillar be early riser dow respectively nike carry largest early loss caterpillar receive upgrade buy neutral citigroup citigroup cite rebound construction activity china project rebound china metal price caterpillar share be attempt start right side month consolidation earning due tuesday merck receive goldman sachs upgrade buy neutral earn place brokerage americas conviction list note say merck keytruda drug be possible asset drive company specialty biopharma status away large primary care merck share be struggle retake support week move average climb right side possible bottom base apple aapl rise fang stock tech leader gain ground premarket trading facebook fb report wednesday close amazon com amzn report late thursday netflix nflx share rise company announce deal tap high yield bond market medical supply distributor henry schein hsic run ahead nasdaq more medical product distributor say spin animal health unit merge vet first choice new company trade name vet first corp have combine sale schein say receive tax free basis netapp ntap climb more premarket trading datum storage leader have be hammer new high big november have not pause shape valid base end friday november buy point hasbro dive nearly bottom report first quarter sale earning far analyst target company say remain track generate free cash flow year term challenge associate major customer liquidation mattel have earning due thursday fall nearly amazon swung head ibd leaderboardlist premarket trading commerce giant be buy point ahead first quarter report due thursday close ibd stock casa system casa power forward ahead open december ipo form week consolidation pattern be deep too deep qualify flat base pattern mean require week mature valid cup base stock end friday pattern left side high stock december ipo price be interested stock market answer big question weeknot just apple other big reason friday market sell big picture come week turn market aroundstock chart internet giant buy point earning duestock watch td ameritrade green dot stock add ibd listfacebook amazon alphabet lead tech earning bonanza investing action plan
4,WHR,stock index keep narrow range midday tuesday stock advanced president trump decision slap tariff import washing machine solar cell nasdaq rise inched nearly dow jone industrial average fall volume stock market today increase modestly major exchange trump follow monday campaign promise use tariff oppose trade practice hurt company trade representative robert lighthizer announce decision news release monday cnn report tuesday china reaction china call step abuse anything china plan do be not clear meanwhile south korea say plan file complaint world trade organization south korea call trump step clear violation wto rule mexico say respond legal resource much impact dispute have stock market isn clear market initially take situation stride tuesday however other country respond kind uncertainty result stock market hate uncertainty appliance maker whirlpool whr gap tuesday open then reversed gain whirlpool release result close wednesday street expect earning fall vs year quarter annual earning be see slip analyst expect earning rebound solar module maker first solar fslr advanced first minute trade then reversed gain elsewhere several stock approach possible buy point bank ozark ozrk edge buy point cup handle pattern southeast bank be expect grow earning earning increase last year marriott vacation worldwide vac rise move buy point stock then reversed entry oil gas field service provider core laboratory clb crawl clear buy point then slip back buy point core report result open feb street consensus view earning be share be increase earning growth be expect pick highly rate stock netflix nflx gap heavy volume netflix report company add international subscriber more expect related now be time brush sell ruleswhen sell great stockknow hold rule
5,WHR,stock rolled choppy open tuesday start mixed then slip moderate loss
6,WHR,nasdaq open higher then drop dow jone industrial average be
7,WHR,volume be mixed trade nyse nasdaq compare action same time monday
8,WHR,stock market today receive mixed economic news case shiller city composite home price index rise february be increase january well consensus projection gain
9,WHR,consumer confidence ease bit april conference board report consumer confidence index slip march far forecast uptick
