,ticker,content
0,XOM,be handle important part key chart pattern cup handle double bottom nutshell visual pattern represent final significant decline stock set stage possible surge new high final shakeout weak shareholder act verification selling be do stock be ready advance come institutional investor start buy be tomorrow surge volume power stock larger gain here be basic characteristic handle related chart action help know re proper not first handle be moderate decline last least day most handle require least couple week form handle length be generally proportionate base mean longer cup longer expect handle be get newsletter deliver inbox more info product service privacy policy term useeffective handle drift downward price decline trade light volume handle show final shakeout weak shareholder be different intense institutional selling handle decline be contain normal market condition handle area drop more midpoint handle also form midpoint highest lowest price precede base figure midpoint add high low point entire base then divide perform same calculation handle result handle midpoint fall base handle be too low maybe not deal killer add risk handle also form stock week move average research show handle form base midpoint breakout handle form week line be failure prone lows handle not drift upward such action be call wedge usually lead fail breakout xto energy now own exxon mobil xom build complex handle end september time houston base energy producer be transition have be shift focus oil natural gas past several year have just change name cross timber oil year earlier share correct week double bottom pattern begin share pressed briefly buy point aug reversed end lower be day become week handle share drift lower next week not quite settle action see pressed just buy point strong trade be break point handle settle picture perfect action edge lower soft volume next week volume soar follow twice average volume oct patient investor buy buy point hold february have make gain stay put june gain have be editor note version column be originally publish july edition ibd related determine market primary direction read column basic smart profitable investing cup handle invest paycom software build flaw cup handle invest find advanced buy pointsstock buy zone
1,XOM,stock pare gain tuesday afternoon downward reversal small cap energy stock contribute softening session wall street russell make record high open erased gain be afternoon trading small cap financial health care stock be lower cause much russell lag performance still russell have emerge market leader hit new high other major index still have climb do reach fresh peak dow jone industrial average lead nearly increase be less higher nasdaq composite however fall almost be much rally day move average last week nasdaq appear be cool get newsletter deliver inbox more info product service privacy policy term usevolume be tracking lower nasdaq higher nyse compare same time monday update story other market coverage check stock market today crude future be cent day high crude oil future sharply pare gain secretary state mike pompeo say extend sanction relief oil buyer be still import iran swing oil market cause number energy stock hit new high then reverse dow component exxon mobil xom diamondback energy fang conocophillip cop transocean rig sm energy sm marathon oil mro poke buy point slide entry afternoon dealing exxon mobil have couple other problem bid volume be run well average relative strength line have not make new high cactus whd break monday fall buy point bounce soon touch day move average suncor energy su hold proper buy point volume be flat related stitch fix stock jump coverage initiate online apparel retailerthese oil stock hit buy point crude price rise supply stock just enter exit ibd top growth screen check here
2,XOM,stock rolled strong open tuesday short trading session oil price european market climb market prepared mid week holiday shutdown ibd stock be active tuesday early trade wildhorse resource development wrd jump early lead copart cprt rise debut dow jone industrial average open higher exxon mobil xom chevron cvx stake early lead climb acuity brand ayi apache apa netflix nflx post strongest open gain nasdaq composite struggle remain positive heavy loss american airline aal tesla tsla facebook fb drag early trade stock market close tuesday remain close wednesday july holiday bond market close tuesday be close wednesday major global market operate regular schedule week get newsletter deliver inbox more info product service privacy policy term useoil price advanced more pressured higher pullback dollar libya national oil corp also shut export terminal lead producer halt production benchmark west texas intermediate rise edge just barrel overtake friday high marked month high stock oil price rise spur exxon chevron gain exxon share be trading buy point cup handle base ibd issue wildhorse resource buck stock be trading buy point double bottom base automaker be set report june sale tuesday session auto industry stock have feel pressure past couple week auto import export have become bargaining chip trade brawl china ford general motor gm rise less early trade ford report car sale june sale truck rise unit fiat chrysler fcau jump tesla tsla toyota motor tm honda motor hmc trade less ibd list auto auction leader copart pare gain less jump almost open dalla base outfit first day stock replace dr pepper snapple group dps copart share be so far year have rebound multiple time week move average have not pause form base september netease gain upgrade overweight underweight jpmorgan note also lift online gaming leader price target netease have be struggle retake hold support week move average form bottom month consolidation light manufacturer acuity brand spiked report fiscal third quarter revenue earning well analyst expectation management project industry demand improve second half year several weak quarters acuity share be august high china hong kong hang seng index drop re open holiday weekend shanghai composite dive early trade china yuan tumble vs dollar bloomberg cite unnamed source say major chinese bank begin selling dollar point lift yuan back mark shanghai stock respond composite climb close central bank official say china be closely watch yuan dollar buy action generate optimism central bank be prepared have not already step support currency yuan have fall vs dollar mid june be important strength china currency stock market determine large portion country negotiating strength trade war vs trade war tariff go effect china make import friday leader strongest stock financial market be likely enjoy broader support standing firm trade policy strategy europe market hold early gain germany lead chancellor angela merkel forge immigration agreement head collapse country govern coalition frankfurt dax be afternoon trade cac paris gain also london ftse climb get instant access more trading idea exclusive stock list ibd proprietary rating only related dow jone future rise oil china facebook probe expand tesla investing lessonsthe big picture bull run closetrump china tariff decision be yuuuge stocksibd stock day near buy point earning growth accelerate
3,XOM,stock index stage negative reversal tuesday market wrapped half session stock market be close wednesday july holiday nasdaq fall dow jone industrial average ease smallcap advanced volume be major exchange vs same time monday eventually fall shorten session gold mining stock post day best gain royal gold rgld break strong volume clear consolidation begin september royal gold be expect grow earning year president trump trade war continue weigh stock market politico report traditional republican ally corporate america be resist trump protectionism saturday leak outlined china strategy china digital time publish leak document say china plan involve splitting apart different domestic economic group get newsletter deliver inbox more info product service privacy policy term propaganda notice state controlled medium china advise report president trump comment call calm rationality urge war insult order emphasis economic bright spot call play correlation stock market trade conflict correlation stock index trade war be fairly clear trump fire first shot trade war jan announce tariff solar panel washing machine additional measure follow peaked jan then turn choppy intensify decline early february shanghai composite peaked jan then slide much reach bear market level shanghai composite rise tuesday blue chip dow jone industrial average tuesday oil stock exxon mobil xom chevron cvx lead early session then turn negative west texas intermediate crude oil rise barrel then reversed light sweet crude oil be find resistance price level oil explorer apache apa score index lead gain then give back pop ibd list best stock fundamental technical electronic part maker kemet kem clear buy point cup handle base then fall back buy point base be deep be far ideal deep basis be problematic stock exhaust climb overhead supply overhead supply refer share purchase occur chart left side other word stock drag many investment break even line stock hit old buy level many investor sell break even trade create resistance ibd economic optimism index rise july index have be positive month row read signal optimism factory order rolled growth vs prior month consensus view get instant access more trading idea exclusive stock list ibd proprietary rating only related chip serve artificial intelligence investor buy second time play state strong economy
4,XOM,marathon oil mro be ibd stock day oil gas exploration production company be near buy point marathon oil stock climb stock market today stock be near buy point flat base part base base pattern base base pattern be extremely powerful struggle market marathon oil stock be ibd stock day many way be energy stock year many peer marathon didn fall much crude price retreat late mid june now prime position new crude price rise marathon oil stock find support fast rise day line sign strength hit buy point marathon relative strength line track stock performance vs index be near new high marathon oil engage frac permian basin texas bakken north dakota company isn just focuse also have operation europe africa crude price rebound late marathon oil have be profitable past quarters revenue surge latest period marathon oil be expect earn cent share end year string annual loss exxon mobil xom jump chevron cvx be exxon mobil chevron be dow jone stock marathon oil lead oil gas integrate industry group eog resource eog recent ibd stock day rise be poise make own flat base eog stock buy point be energy stock be rise oil price crude future have rally opec russia agree vague modest production increase allay concern big output increase oil price have keep rise supply concern canada loom loss iranian export trump administration reimpose sanction friday crude rally highest level november oil price retreat energy stock struggle hold recent level let alone advance get instant access more trading idea exclusive stock list ibd proprietary rating only be interested ibd stock day apple oil near new buy point bullish patternenergy stock industry newsbest growth stock buy watch see update ibd stock rank oil stock be prime new
5,XOM,oil price plunge wednesday shocking drop domestic crude stockpile president trump escalate china trade war libya resumption export hammer oil market energy information administration say inventory plunge barrel last week gasoline supply drop analyst poll expect barrel drop crude inventory barrel drop gasoline stockpile late tuesday american petroleum institute say crude inventory fall barrel gasoline stockpile fall crude production remain barrel day fifth consecutive week crude dive settle barrel president trump threaten impose tariff chinese good brent crude lose finish exxon mobil xom share fall close stock market today dow jone component be form cup handle base entry point marathon oil mro share fall stock be add ibd leaderboard tuesday be just base base buy point eog resource eog recent ibd stock day fall parsley energy pe close stock be form cup base buy point get newsletter deliver inbox more info product service privacy policy term useearlier wednesday opec say see global oil demand surpass barrel day first time next year group warn trade tension weigh demand monthly report opec say expect demand grow bpd next year current trade dispute be solve quickly trade issue canada china escalate hit demand hence trade tension rise further give other uncertainty weigh business consumer sentiment opec say then start negatively impact investment capital flow consumer spending subsequent negative effect global oil market cartel see production outside opec rise bpd next year lead shale opec expect growth slow next year due take away constraint permian basin also report saudi arabia say output nearly hit bpd june bpd independent source report say kingdom only produce just bpd highest level late iraq raise production bpd bpd increase come cartel agree biannual meeting last month boost output not member be happy agreement total opec production be bpd last month bpd part big boost come congo become member cartel last month get instant access more trading idea exclusive stock list ibd proprietary rating only be interested energy stock industry newswhy next oil bonanza be deep water
6,XOM,crude future retreat thursday domestic oil inventory unexpectedly rise latest week oil price be still multiyear high global supply worry president donald trump push opec lower price energy stock such exxon mobil xom marathon oil mro be try move buy point crude inventory rise barrel energy information administration report thursday gasoline supply fall barrel analyst poll platt global expect eia report decline crude stockpile barrel drop gasoline stockpile american petroleum institute report barrel drop crude supply tuesday america crude production hold barrel day third straight week crude future fall barrel lowest settlement week brent crude future also retreat tuesday crude briefly top barrel first time pare gain wednesday president trump continue attack opec tweeting cartel help lower gasoline price supply military defense many member country opec monopoly remember gas price be be do little help anything be drive price higher unite state defend many member very little be way street reduce pricing now donald trump realdonaldtrump july trump foreign policy action iran be add supply squeeze plunge production venezuela close port libya not mention president trump goal reduce iranian export november not be enough oil globe left meet grow demand phil flynn senior market analyst price future group write daily energy market report get newsletter deliver inbox more info product service privacy policy term useiran have push back trump wednesday iranian revolutionary guard commander say tehran block oil shipment strait hormuz reuter report flynn also blame chronic underinvestment oil major grow supply worry notable energy stock exxon stock rise stock market today chevron cvx slide exxon mobil chevron be dow jone stock exxon stock chevron stock be work cup handle basis eog resource eog rise eog resource stock have cup base buy point part base base formation marathon oil sank marathon oil stock have flat base buy point eog resource marathon oil be recent selection ibd stock be interested ibd stock day hot energy stock be new buy pointibd stock day apple oil near new buy point bullish patternenergy stock industry newsbest growth stock buy watch see update ibd stock list
7,XOM,oil price surge higher wednesday crude output remain unchanged week stockpile plummet xoil production be flat barrel day last week accord energy information administration oil stockpile fall barrel gasoline supply be barrel analyst poll global forecast barrel decline crude stockpile analyst poll reuter expect barrel drop american petroleum institute report late tuesday barrel drop crude supply industry group say gasoline stockpile rise barrel oil price continue strengthen crude rise settle barrel highest november brent climb barrel exxon mobil xom share close stock market today chevron cvx rally bp bp add royal dutch shell rdsa rise get newsletter deliver inbox more info product service privacy policy term useoil price be already enjoy tailwind worry supply constraint trump administration warn ally need stop import iranian crude november state department official tell reuter tuesday almost stand iran eu hope keep iranian nuclear deal intact phil flynn senior market analyst price future group write daily energy market report oil company many country not want face possibility wrath pressure iran come opec agree friday boost oil production next month come opec partner overshoot earlier agreement reduce production barrel day analyst estimate reduction be bpd output venezuela iraq fall sharper forecast meanwhile supply remain tighter north america next month shutdown key oil sand facility canada keep barrel day offline least august be interested energy stock industry newsibd stock day
8,XOM,stock index patch part previous session loss volume be lighter stock market today small cap russell rise tuesday erase roughly half monday loss nasdaq add dow jone industrial average chip gain volume be lower major exchange world market china shanghai composite fall shanghai be bear market composite fall almost high rise bit get newsletter deliver inbox more info product service privacy policy term usepresident trump keep trade talk tuesday trump tweet end even win take very long such outcome be very good news wall street innovator ibd fund ffty break session lose streak exchange trade fund rise bounce day line quality stock netflix nflx advanced heavy volume apple aapl add rise day move average apple have begin build iphone phone india accord economic time move be expect lower apple cost ibd industry group fiber optic oil explorer lead gainer mortgage service stock fall most blue chip be mostly include dow component shape early stage cup handle pattern stock be retailer home depot hd oil stock chevron cvx exxon mobil xom stock be watch possible breakout update story other market coverage check ibd stock market news today related trump threaten harley davidsonis stock market relive stock be show relative strength marketsmith week
9,XOM,stock vault higher friday open dow aim snap session lose streak oil price surge report opec minister have agree moderate boost oil supply early trade receive lift early news report white house official be press negotiation china ahead july launch tariff chinese good chevron cvx exxon mobil xom stake big early lead dow respectively dow jone industrial average climb start gate take gain open nasdaq composite hold advance adobe system adbe autodesk adsk drag early trade carmax kmx spiked top oil related stock hold index top gain dow start trade friday week session decline index end thursday day line support little more mark dow have not post consecutive decline least red hat rht tumble carmax commercial metal cmc spiked report quarterly result carmax surge nearly first quarter sale earning comfortably top expectation comparable store sale decline much less forecast gain lift stock buy point month cup handle base red hat dive early trade developer open source operate system report forecast fiscal first quarter result late thursday earning revenue outlook second quarter fall short consensus view stock end thursday week back flat base buy point testing support week move average get newsletter deliver inbox more info product service privacy policy term usesmart global sgh collapse open computer memory component supplier top analyst expectation fiscal third quarter result just meet fourth quarter earning target computer memory datum storage subsystem leader be more week thursday close bell commercial metal vault higher miss analyst earning revenue estimate fiscal third quarter report late thursday stock trigger automatic sell rule clear cup handle buy point organization petroleum export country reportedly agree barrel day production increase meeting vienna include russia other opec partner increase be well possible barrel day target floated earlier saudi oil minister just bpd level analyst consider bullish oil market brent crude vault west texas intermediate swung higher early friday gain push brent barrel wti trade well related internet tax decision opec worry spur selling time sell growth stock stock future rise dow break year record bank clear stress test big name payout plan risk
