,ticker,content
0,ADSK,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. Autodesk (ADSK) just hit that mark, with a jump from 80 to 83 Tuesday. X As you try to find the best stocks to buy and watch, be sure to pay attention to relative price strength.This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the trailing 52 weeks stacks up against all the other stocks in our database. Decades of market research reveals that the best-performing stocks typically have an 80 or better RS Rating as they launch their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereAutodesk broke out earlier, but has fallen back below the prior 141.36 entry from a flat base. In the scenario where a stock breaks out then falls 7% or more below the entry price, it's considered a failed breakout. If that happens, it's best to wait for a new base to form. Also understand that the latest pattern is a later-stage base, and such bases are more prone to failure. Earnings growth rose in the company's latest report from 0% to 137%, but the top line fell from 16% to 15%. The company earns the No. 5 rank among its peers in the Computer Software-Design industry group. Ansys (ANSS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,ADSK,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Autodesk (ADSK), which had its Relative Strength (RS) Rating upgraded from 77 to 81 Monday. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's proprietary rating identifies share price movement with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the trailing 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the best-performing stocks tend to have an 80 or better RS Rating in the early stages of their moves.Looking For Winning Stocks? Try This Simple RoutineAutodesk is building a flat base with a 141.36 entry. See if it can break out in volume at least 40% above average. Earnings growth increased in the company's most recent report from 0% to 137%, but the top line fell from 16% to 15%. Autodesk holds the No. 5 rank among its peers in the Computer Software-Design industry group. Ansys (ANSS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,ADSK,"Autodesk (ADSK) late Thursday reported adjusted first-quarter earnings that topped views, with revenue that met expectations, while its July quarter earnings forecast missed estimates, sending shares down in late trades.Autodesk said earnings were 6 cents a share, swinging to a profit from a year-earlier loss, with revenue rising 15% to $560 million. A year earlier, Autodesk reported a 16-cent per-share loss on sales of $486 million.Analysts expected Autodesk to report earnings of 3 cents on sales of $560 million for the period ended April 30.For the July quarter, Autodesk forecast profit in a range of 13 cents to 16 cents versus estimates of 19 cents. Autodesk said it expects revenue of $600 million, just above expectations of $599 million.Analysts have focused on the company's annualized recurring revenue (ARR), a key metric as it shifts to a cloud computing-based subscription model from licensed software.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Once again, our focus on driving growth in ARR has yielded strong results, which we believe will accelerate as we move through the year,"" Chief Executive Andrew Anagnost said in a news release. ""We've now seen approximately half a million maintenance subscriptions convert to product subscriptions in less than a year and we expect that number to grow significantly in the coming quarters.""Shares in the maker of computer-aided design software fell 4.3% to 132.91 in after-hours trading in the stock market today.YOU MAY ALSO BE INTERESTED IN:Okta Stock Rising; Security Firm Adds Facebook, VMware As PartnersSplunk Earnings Beat Estimates, As Does Revenue OutlookThe Basics: How To Analyze A Stock's Cup With HandleHow To Find Great Growth Stocks: Learn To Spot The Flat Base, A Bullish Chart PatternHow The 3-Weeks-Tight Pattern Gives You An Extra Buy Point
"
3,ADSK,"Tech stocks have faced challenges recently. But the world continues its migration to cloud computing. And software providers are still converting en masse to the cloud-based distribution model labeled SaaS, or ""software as a service.""This conversion has helped software hold steady at the No. 1 position among the 33 economic sectors tracked by Investor's Business Daily. Among the more interesting names in that sector, Autodesk (ADSK) is holding beneath a 141.36 buy point in a tight, nine-week flat base.In addition, analyst consensus projects the company is about to turn its first profit in seven quarters when it reports on May 24. Sales growth turned positive in the December quarter following nine quarters of declines. Consensus views expect sales growth to hold just about steady, at 15%, for the company's fiscal first quarter.Autodesk is a pioneer in the field of computer-aided design. Its tools are used extensively by engineers and designers in manufacturing, architecture, engineering and construction. But the company has struggled in its transition from a traditional, license-based model to a more streamlined subscription/cloud-based operation.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAutodesk's revenue peaked in 2015. It posted annual per-share losses over the past two fiscal years. (The company's fiscal year ends in January.)Revenue rose only 1% in fiscal 2018. But Autodesk reported that subscriptions accounted for 43% of the total for the year vs. 22% in 2017. Oppenheimer forecasts subscription revenue at $318.3 million in Q1 – 57% of the company's total.For fiscal 2019, Oppenheimer expects subscription revenue to grow to 65% of overall sales.The company named Andrew Anagnost as its new CEO in June last year. Anagnost is an aeronautics and computer science engineer with experience at Lockheed and NASA. He worked his way up through the ranks at Autodesk beginning in 1997.Autodesk's prior chief, Carl Bass, announced in February 2017 he would step down.Based in San Rafael, Calif., Autodesk saw about 36% of its 2018 revenue from sales in the U.S. Some 40% of total sales came from Europe, the Middle East and Africa. The Asia-Pacific region accounted for 18% of sales.For fiscal 2019, analysts project earnings of 90 cents a share, followed by a 256% advance in fiscal 2020. Sales are expected to rise 21%, which would mark the biggest advance since 2006.The company listed long-term liabilities at $2.25 billion at the end of the fiscal year, up nearly 20% vs. the end of 2017. Cash and equivalents were listed at $1.01 billion, down 11% year over year.Autodesk's base is a first-stage pattern. That means a breakout from that base is less freighted with risk than a move out of a later-stage base. But investors should still be cautious because the company is a turnaround story and has not yet built up a steady track record of earnings growth.Autodesk shares soared 15% after reporting its Q4 results in March. Its prior quarterly report, during November's lull in stock market action, sent the stock to a one-day loss of 16%.Underlying that uncertainty, the stock's relative strength line is edging to new highs but has essentially been consolidating — like the stock's price — since the company's prior quarterly report. A move to new highs with or before the breakout signals strength.Autodesk's Accumulation/Distribution Rating is a passing B-. It's Up/Down Volume Ratio stands at a very solid 1.4. Combined, the two measures suggest that institutional investors are holding their positions.KeyBanc has the stock at overweight. Oppenheimer and Credit Suisse both show outperform ratings. All three have price targets set at 150.RELATED:These Top Tech Providers Are Cashing In On Cloud Capital Spending Cloud Computing: Find Top Cloud Stocks And Track Industry TrendsTV Industry Tests Limits Of Consumer Demand 
"
4,ADSK,"Stocks remained lower Monday afternoon, when the Dow Jones industrial average tumbled, but indexes in general continued to pare losses.Indexes have been recovering since a steep drop at the open of nearly 1%. (For updates on this story and other market coverage, check Stock Market Today.)The Dow was off 0.5% in late afternoon trading. Intel (INTC) fell below its 50-day moving average after Northland Securities downgraded the chipmaker to underperform from market perform. It is not the first serious break of that line for Intel this year, but it threatens to snuff a good uptrend that the chipmaker was making.At Monday's lows, the Dow was only about 100 points above its starting level for the year. The Dow also is struggling with the 25,000 mark. Just a couple of weeks ago, the average was looking like it was going to beat resistance at that level.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseExxon Mobil (XOM) and Chevron (CVX) rose 0.5% and 2% to cushion the Dow's fall.The S&P 500 was down 0.3%, cutting a loss that was 0.8% at the start of trading. The tech-heavy Nasdaq composite was flat as it faced weakness in semiconductor and biotech shares.But small caps led, with the Russell 2000 up 0.4% in late trading. Market volume was lower, which is almost a given following Friday's quarterly ""witching,"" the options and futures expirations that tend to swell stock trading.Although the market was lower, much of the selling was concentrated in defensive industry groups. Drugstores, tobacco, soaps and generic drugs were in the bottom 10 industry groups for the day.The energy sector was strongest, as the price of crude bounced slightly to $65.25 a barrel. As a trade row continues, China retaliated by imposing duties on U.S. imports, including crude oil.OPEC meets Friday on production targets, and the bloc is split over a production increase that could result in a rare public stalemate. OPEC has an agreement with nonmembers like Russia to cut production by 1.8 million barrels a day. But Saudi Arabia and Russia want to boost output, while other OPEC members are balking.As stocks recovered, a few top-rated companies broke out of bases, including a couple in health care.Surface Oncology (SURF), a new issue in biotech, broke out of its first base, surging 12% and clearing the 15.29 buy point of a base in heavy trading.Myriad Genetics (MYGN) rose past the 40 buy point of a cup-with-handle base in big volume. The relative strength line is not quite at a new high, which deducts some significance from the breakout.Myriad announced this morning that it won FDA priority review for BRACAnalysis CDx for use as a companion diagnostic with a Pfizer (PFE) product in metastatic breast cancer. Pfizer shares were slightly lower as they continue work on a consolidation.In the software sector, Autodesk (ADSK) climbed above the 141.36 buy point of a flat base in active trading. The RS line is edging to a new high. The design software company is turning itself around, narrowing losses and posting a profit in the April-ended quarter. Sales performance also is rebounding.RELATED:OPEC Faces Crumbling Consensus As Output Hike Creates Sharp SplitJD.com Up On Google Investment, Retail Infrastructure PlansWhen To Sell Stocks: Big Break Below 50-Day Line Can Mark End Of A Huge Run
"
5,ADSK,"Advanced Micro Devices (AMD) has been on a tear lately. After putting in the bottom to its latest base in early April, the veteran chip stock has posted 10 up weeks in a row. It's hitting price levels not seen since January 2007.Judging from Monday's action, the buyers aren't tired yet.While the stock is now extended sharply past a 13.95 buy point in a large, deep double-bottom base, it may be worth keeping the stock on the watch list. Here are two reasons.One, a stock that rises that many weeks in a row is showing something special. Fund managers are serious about accumulating the stock. No wonder that AMD's Accumulation/Distribution Rating has also shot up to an A+ as seen in IBD Stock Checkup.Two, fundamentals are getting white-hot at the Intel (INTC) rival in CPUs.Advanced Micro, which incorporated in 1969, ended two years of red ink by earning 13 cents a share last year. The Street sees earnings soaring 246% to 45 cents a share this year and rising another 33% to 60 cents in 2019.What's powering that solid profitability? Big sales. In the first quarter, Advanced Micro posted a 40% jump in revenue to $1.65 billion. That increase topped growth of 19%, 26% and 21% in the prior three quarters.Q1 gross margin jumped 400 basis points vs. the year-ago quarter to 36%, and the Santa Clara, Calif., company cut its operating expense as a ratio of sales from 33% to 29%.""PC, gaming and datacenter adoption of our new, high-performance products continues to accelerate,"" CEO Lisa Su said in a news release. Advanced Micro is clearly gaining traction in the area of GPUs, or graphics processors. The firm's computing and graphics segment vaulted 95% to $1.12 billion, offsetting a 12% slide in sales in the enterprise, embedded and semi-custom business unit.At this point, it would make sense to watch for the stock to take a rest and flash a follow-on entry point. Wait for the stock's first pullback to the 10-week moving average. This could take a while. The 10-week moving average is rising rapidly. But at 13.40, it's sharply below the current share price.A three-weeks-tight pattern would offer another potential follow-on buy point. But so far, there's no such formation.Elsewhere in stocks today, Estee Lauder (EL) cooled off on Monday after gaining more than 3% in each of the prior two weeks. Those gains enabled the cosmetics giant to rise past a 151.85 buy point in a nicely symmetrical cup with handle.The 5% buy zone goes up to 159.44.Autodesk (ADSK) muscled past a 141.36 buy point in a 14-week flat base that showed a mild correction of 14% from head to toe. The expert in computer-aided design software for manufacturers snapped a six-quarter streak of losses by earning 6 cents a share in the fiscal first quarter ended in April. Sales picked up 15% to $556 million.Autodesk's latest flat base is part of a base on base. The first base: a three-month double bottom that featured a 119.34 buy point.FleetCor Technologies (FLT), also featured in IBD's Stock of the Day column, gapped up powerfully at the open and rose as much as 6.3%. Shares are still in buy range after clearing a 213.84 proper entry in a long flat base.The fuel card provider has expanded into business transactions markets outside the fuel market via new acquisitions. Key new markets include tolls, corporate payments and lodging. FleetCor has delivered decent to solid double-digit profit and sales growth for six quarters in a row.RELATED:Inside The IBD 50: To Gain An Edge On The S&P 500, Use This TechniqueWhat Is The 3-Weeks-Tight Chart Pattern, And How It Helps Make Money In StocksThe Latest Inside Investor's Corner
"
6,ADSK,"Autodesk (ADSK), a maker of computer-aided design software, saw its stock rocket to an all-time high on Wednesday as the company's move to a cloud-computing subscription model paid off with better-than-expected fiscal fourth-quarter results.X Autodesk shares surged 14.9% to close at 137.70 on the stock market today, finishing near its intraday high of 137.90, a new record. The stock broke out of a 15-week consolidation period with a buy point of 131.20.Analysts were most impressed by the company's strong growth in annualized recurring revenue, a key metric as it shifts to a cloud computing-based subscription model from licensed software. Autodesk is taking a near-term hit to earnings from the transition, which is expected to result in more predictable and profitable results longer term.Autodesk's annualized recurring revenue reached $2.05 billion in the quarter, an increase of 25% year over year.""We continue to execute well on our business model transition and are poised to further accelerate ARR growth next year,"" Autodesk Chief Executive Andrew Anagnost said in a news release. ""We were pleased to see a meaningful increase in total annualized revenue per subscription (ARPS) and a better-than-expected conversion rate with the maintenance to subscription program.""More customers shifted from individual products to software suites called Industry Collections last quarter, Anagnost said.Use IBD's MarketSmith For Free Until March 11
"
7,ADSK,"See stocks near a buy point, get chart pattern recognition and run custom screens. Start Now""Autodesk's long-awaited inflection in ARPS growth should give investors renewed confidence in the model transition,"" Guggenheim analyst Nate Cunningham said in a report. He reiterated his buy rating on Autodesk and upped his price target to 150 from 140.Autodesk stock received price-target increases from at least seven Wall Street analysts, all of whom rated it as a buy. The most bullish of the bunch was RBC Capital Markets analyst Matthew Hedberg, who upped his target to 156 from 140.San Rafael, Calif.-based Autodesk lost an adjusted 9 cents a share, vs. a year-earlier loss of 28 cents a share, in its quarter ended Jan. 31. Revenue rose 16% year over year to $554 million. Analysts expected Autodesk to lose 11 cents a share on sales of $545 million.RELATED:Autodesk Nose-Dives On Subscriber Miss, Restructuring Plan
"
8,ADSK,"Autodesk (ADSK) saw a positive improvement to its Relative Strength (RS) Rating on Thursday, with an upgrade from 80 to 90. X When looking for the best stocks to buy and watch, keep a close on eye on relative price strength. IBD's unique rating measures market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the last 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the top-performing stocks often have an 80 or higher RS Rating at the beginning of a new run.Looking For Winning Stocks? Try This Simple RoutineAutodesk is still within a buy range after breaking past a 131.20 buy point in a consolidation. The proper buying range extends to 5% above the initial entry. Once a stock moves above that range, it's best to wait for it to set up another buying opportunity.. In terms of top and bottom line numbers, the company has posted two quarters of increasing earnings growth. Top line growth has also increased during the same period. Autodesk holds the No. 4 rank among its peers in the Computer Software-Design industry group. P T C (PTC) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
9,ADSK,"Please pretend for a moment that you never look at the news. X You get up in the morning, take a quick look at the Nasdaq composite, check the stocks in your portfolio, then shut your computer. You keep the TV off. You refuse to scroll through any headlines on your smartphone. You avoid listening to anyone…
"
