,ticker,content
0,AIV,"Interest-rate-sensitive real estate investment trusts have been rallying with utilities in recent days, but a quick scan through the REIT Leaders screen still shows plenty of damaged charts. Many names are still far off highs amid recent signs of institutional selling. Don't dismiss the group entirely, though. Apartment REITS have been standout performers, thanks to strong industry fundamentals. Low supply…
"
1,AIV,"Rising renter demand is filling apartment buildings around the U.S., in defiance of the economic malaise. Vacancy rates are shrinking all over, in tight markets such as Minneapolis and loose ones like Phoenix. It's an unusual situation. Job creation typically drives apartment demand. But this time the tenant top-up is largely about a lack of new supply — in the…
"
2,AIV,"While the market fell on Friday, filling in the gap from Thursday's powerful move, a number of stocks still made progress to new highs. Quintiles (Q) saw a nice gain of 1.28 to close at 79.41. Volume came in just 15% above average but that was one of the heaviest volume days of the last…
"
3,AIV,"Despite the Brexit volatility, sparked by the U.K.'s June 24 vote to withdraw from the European Union, U.S. diversified stock mutual funds eked out a 1.79% gain on average in the second quarter, even as they lost 0.52% in June alone, according to Lipper Inc.The S&P 500 tacked on 2.46% in Q2, after inching up 0.26% in June.That's it for the good news. Stock fund managers are seeking durable-growth stocks as a hedge against the uncertainty, volatility and slowdown in corporate earnings that several told IBD they see in the months -- or longer -- ahead.Click Here To See A List Mutual Fund Quarterly Leaders""Before Brexit, the (investment) world was almost back to normal,"" said Matthew Ward, co-manager of Schroder U.S. Large Cap Equity strategy, which is run as a separate account. The Federal Reserve was edging toward an interest rate increase. First-quarter panic over the pace and sustainability of China's growth was subsiding. U.S. economic indicators were OK, with jobs and wages growing, home values inching up and consumers feeling confidence.""Then, Brexit,"" Ward said. ""We're back to uncertainty, and the market hates uncertainty.""As a result, going forward Ward says the stocks he wants are in a narrow group that have shown an ability to grow earnings regardless of the macro environment.Click Here To See A List Of Mutual Fund Six-Month Leaders""Our biggest overweight is in consumer discretionary,"" he said. ""It reflects our confidence in consumers. And in some durable secular trends. Amazon (AMZN) is at the top of our list.""Similarly, James Abate, sole manager of $156 million Centre American Select Equity (DHAMX) and of $53 million Multi-Asset Real Return (DHMUX), sees the best prospects for growth increasingly concentrated within an elite group. ""We're concentrating in names that somehow can buck the trend in terms of economic malaise,"" said Abate, who is also Centre's chief investment officer. ""The names in the new Nifty 50 bucket include Amazon, Johnson & Johnson (JNJ), Merck (MRK), Nvidia (NVDA) and General Mills (GIS).""Jim Swanson, lead manager of $3.4 billion MFS Diversified Income (DIFAX) and chief investment strategist of MFS Investment Management, was already bearish on stocks pre-Brexit.Click Here To See A List Of Mutual Fund Category Performance The outlook was already dim for corporate earnings growth, he said. He added that companies globally had already lost purchasing power. U.S. selling and general administrative costs, as well as labor costs, are rising. Productivity here, in Europe and in China is falling.Post-Brexit, the dollar is up vs. the Chinese yuan, which will hurt U.S. exports and U.S. multinationals' earnings, he said. A global movement toward trade protectionism, if realized, would also hurt earnings.""Brexit or not, we need to see excess capacity come out of the world manufacturing system and the return of some inflation so that companies can pass along price increases,"" Swanson said.Despite the threats to U.S. corporate earnings, Swanson is overweight in U.S. stocks vs. their Japanese and European peers, which have growth outlooks that look even dimmer to him. And he is underweight in stocks vs. bonds and cash.""U.S. corporate bonds are the place to be,"" he said. He's favoring a mix of high-grade and high-yield debt.Small-cap growth funds led market-capitalization and style groups among U.S. diversified stock funds in Q2, gaining 3.85%.World equity mutual funds barely advanced in Q2, edging up 0.27% while losing 0.64% in June. Latin American funds led all foreign regions, advancing 8.72% in Q2 and 10.72% in June.Up 26.16% year to date, Latin American funds have benefited primarily from a rebound from an excessive sell-off last year, as well as a rebound in the Brazilian real vs. the U.S. dollar and a bounce for oil and other commodities, according to Peter Taylor, a manager of $7.4 billion Aberdeen Emerging Markets (ABEAX) and $3.5 million Latin American Equity Fund (ALEAX). Brazilian stocks have also benefited from the ouster, at least temporarily, of President Dilma Rousseff and in market-friendly fiscal reforms, he says.The quarter's volatility enabled precious metals funds to lead sectors by soaring 40.63% in Q2, more than half of that in June.Going forward, Swanson feels best about the technology sector among U.S. stocks. ""Its free cash flow is the highest of all 11 S&P 500 sectors,"" he said. ""Despite talk of bubbles, the sector is trading cheaper than utilities in Ohio. Yet tech companies change the world.""Software is due to benefit from an overdue upgrade cycle, he says.His second-favorite sector is health care. ""Health care spending keeps rising as a portion of U.S. GDP,"" he said. ""It's priced fairly, not cheaply. It has the best profit outlook after tech.""Consumer discretionary is his third-favorite sector. ""Forward price-earnings ratios are high, but we're seeing year-over-year profit growth that's almost as good as tech's,"" he said.Among tech stocks, Facebook (FB) is one that Ward likes. ""They have exceptional top-line growth,"" he said. ""And they're growing their opportunities."" For one, viewers are tolerating a tripling of videos being shown by advertisers, which allows Facebook to triple the number of ads it inserts among videos.In health care, Ward says share prices have been beaten down, largely by investor concerns that drug pricing will draw additional regulatory scrutiny. But he still likes individual stocks in the sector, including Amgen (AMGN).""It is the cheapest with pharmaceuticals,"" he said. And it is creating market opportunities with a number of biosimilars, which are harder than previous generation treatments for rivals to replicate.Among consumer discretionary stocks, Ward likes Amazon because of top-line growth and its use of Prime to draw new site users. He also likes Amazon's use of its warehouse for storing inventory without the expense of purchasing it.Tractor Supply (TSCO) is another consumer discretionary name he likes. It caters to customers whose income is double the national average and who pursue a rural lifestyle, he says. Its sales are triple its next six competitors combined. Its scale enables Tractor Supply to customize inventory for different regions.In staples, he likes Monster Beverage (MNST). Its new carbonated drink, Mutant, and its distribution arrangement with partner Coca-Cola (KO) should keep growth in the high single digits or low double digits, he says. Wall Street expects low single digits, which makes the stock attractively valued, he says.David Harden, president of Summit Global Investments and lead manager of two of its funds -- $125 million U.S. Low Volatility Equity (LVOLX) and $11 million Small Cap Low Volatility (LVSMX) -- says that amid volatility he likes stocks with stability of revenue and earnings. ""These companies offer downside protection,"" he said.One trait shared by stocks he likes is stability of revenue and earnings. ""These companies offer downside protection,"" he said.Another trait is low two-year beta. Each one's beta is below 1.0, which means each is less volatile than the overall stock market.
"
4,AIV,"Apartment rental rate growth continued to slow on a national level in February, but many U.S. metro areas logged annual growth rates of more than 6%, with areas in Florida, Texas and California showing the biggest gains. Apartment researcher Axiometrics said that rent growth nationwide in February was still positive at 2.8% but below the 3.5% a year earlier, continuing…
"
5,AIV,"Shares of clothing retailer Francesca's (FRAN) fell hard early Wednesday after fourth-quarter earnings growth slowed more than expected and revenue was down compared to the same quarter the prior year. The operator of young women's clothing boutiques blamed bad weather and issued a weak forecast, saying storms in January will affect Q1 results as well. Q4 earnings per share fell…
"
6,AIV,"Apartment Investment & Management Co. (AIV  -  Free Report), better known as Aimco, has received support from a broad coalition in the company’s appeal of the California court decision for its case against Airbnb. Particularly, the group backs Aimco’s measures to hold Airbnb legally responsible for engaging in brokering and endorsing illegal short-term rentals.Going by facts, per a December 2017 U.S. District Court ruling, Airbnb was provided ""immunity"" from liability for illegal short-term rentals brokering at Aimco’s apartment communities. This was granted on the basis of the federal Communications Decency Act (CDA) which protects online-service providers from the responsibility for the content users post.However, last month, Aimco filed its Ninth Circuit brief in the company’s appeal of the December 2017 ruling. And now the coalition has filed amicus briefs in support of Aimco’s appeal that the CDA does not offer such broad immunity to Airbnb.Among the members in the coalition, are names like National Multifamily Housing Council and the National Apartment Association; the California Apartment Association and Avalon Bay Communities; the League of California Cities, International Municipal Lawyers Association and California State Association of Counties; the American Hotel and Lodging Association; and others. All these strengthen Aimco’s appeal and raise hopes for the reconsideration of the ruling.Moreover, an amicus brief, pointing out the troubles created by Airbnb to affordable housing and stable communities, has been filed with the court by a group of New York neighborhood associations.According to Aimco's legal representative Mike Williams, ""Airbnb is a full-fledged real estate broker of illegal short-term rentals and should be held to the same level of scrutiny and accountability as a 'brick-and-mortar' broker engaged in comparable unauthorized activities.""According to Aimco and the parties supporting its appeal, rather than focusing on Airbnb’s act of publishing of property listings, the company should be held legally accountable for illegal short-term rental activities, as such doings pose a threat to the safety and quality of life of full-time residents. In fact, per the company, though prospective Aimco residents go through criminal background checks, several Airbnb customers are not thoroughly examined and are unknown trespassers. These customers not only pose a risk to safety but have also triggered disruption and damaged property at Aimco’s apartment premises.Such a support from the broader fraternity is a positive for the company. Moreover, Aimco is making diligent efforts to reposition its portfolio by shedding non-strategic properties and investing the proceeds in opportunistic acquisitions. The company’s portfolio is diversified in terms of geography and price point, and its revamping efforts have the capability to drive long-term growth.However, the dilutive impact on earnings from such asset dispositions cannot be bypassed in the near term. Also, new supply in various markets, which is affecting other residential REITs like AvalonBay Communities, Inc. (AVB  -  Free Report), Equity Residential (EQR  -  Free Report) and Essex Property Trust, Inc. (ESS  -  Free Report), is also anticipated to dampen the company’s rent growth and new-lease pricing ability. Hike in interest rate adds to its woes.Aimco currently carries a Zacks Rank #3 (Hold). You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.In the past three months, shares of the company have underperformed the industry. While the stock has inched up 1.8%, the industry has rallied 4.6% during this period. Looking for Stocks with Skyrocketing Upside?Zacks has just released a Special Report on the booming investment opportunities of legal marijuana.Ignited by new referendums and legislation, this industry is expected to blast from an already robust $6.7 billion to $20.2 billion in 2021. Early investors stand to make a killing, but you have to be ready to act and know just where to look.See the pot trades we're targeting>>
"
7,AIV,"If stellar job growth in recent months indicates more household formations and raises expectations for a robust revival of the apartment market fundamentals, then we should, perhaps, think twice.This is because per the latest report from the real estate technology and analytics firm RealPage, Inc. (RP  -  Free Report), with several markets experiencing flat rents, U.S. apartment rents have increased at an annual pace of just 2.3% as of mid-2018 — marking the slowest pace in eight years. While a mid-2018 occupancy level of 95.0% is still healthy, the deceleration in rent growth suggests that a competitive leasing environment is building up fast, and curbing landlords’ pricing power.While there was a moderation in the first quarter too, but the January-March quarter usually has a sluggish leasing period due to the cold weather that inhibits shift of households and limits growth in demand. Therefore, achieving a solid pricing power in the second quarter is significant, as otherwise, landlords find it difficult to recoup the same later in the year. This is because prior to the onset of the seasonal slowdown in leasing, pressure of filling units is more prevalent in the market than pushing rent levels north.However, during Q2 this year, the market recorded a pricing increase of 1.8%. In fact, rent growth was slower than the pace experienced during the same period in the earlier years. In the 2014-2017 period, rent growth in the April-June quarter averaged 2.3%.Furthermore, this turbulent environment is unlikely to end any time soon and offer respite, as the struggle to lure renters will definitely continue into the upcoming quarters as well, when much of new supply is expected to come on course.According to the RealPage report, the “annual pace of completions” climbed above the 300,000-unit level for four consecutive quarters. Additionally, through mid-2019, annual deliveries will keep adding on to the flow with around 300,000 units.Therefore, landlords’ ability to command more rents will most likely remain stunted and concessions might be rampant in the near term. This, again, is feared to cast a pall on residential REIT stocks like Apartment Investment & Management Co. (AIV  -  Free Report), better known as Aimco, American Homes 4 Rent (AMH  -  Free Report), AvalonBay Communities, Inc. (AVB  -  Free Report) and Equity Residential (EQR  -  Free Report).While AvalonBay and Equity Residential currently have a Zacks Rank #3 (Hold), Aimco and American Homes 4 Rent carry a Zacks Rank of 4 (Sell), underlining downward revisions of the 2018 funds from operations (FFO) per share estimate in recent months.(You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.)Note: Anything related to earnings presented in this write-up represents funds from operations (FFO) — a widely used metric to gauge the performance of REITs.Today's Stocks from Zacks' Hottest StrategiesIt's hard to believe, even for us at Zacks. But while the market gained +21.9% in 2017, our top stock-picking screens have returned +115.0%, +109.3%, +104.9%, +98.6%, and +67.1%.And this outperformance has not just been a recent phenomenon. Over the years it has been remarkably consistent. From 2000 - 2017, the composite yearly average gain for these strategies has beaten the market more than 19X over. Maybe even more remarkable is the fact that we're willing to share their latest stocks with you without cost or obligation.See Them Free>>
"
8,AIV,"The U.S. residential REIT industry’s growth in rent is slowing and there is no near-term respite in sight.Per the latest report from the real estate technology and analytics firm RealPage, with several markets experiencing flat rents, U.S. apartment rents increased at an annual pace of just 2.3% as of mid-2018, denoting its slowest pace in eight years. While a mid-2018 occupancy level of 95.0% is still healthy, the deceleration in rent growth suggests that a competitive leasing environment is fast building up, and curbing landlords’ pricing power.Even though solid job growth in recent months indicates more household formations and raises expectations of a revival of the U.S. residential real estate market fundamentals, the struggle to lure renters will quite obviously continue in the upcoming quarters, when much of new supply is likely to come on course.According to the RealPage report, the “annual pace of completions” has climbed above the 300,000-unit level for four consecutive quarters. Further, through mid-2019, annual deliveries will keep adding on to the flow with around 300,000 units. So the stressed environment is anticipated to continue in the near term and curtail residential landlords' ability to command more rents and affect concession levels.Moreover, the student housing sector, which is part of the residential REIT industry, is lately experiencing a slowdown in leasing velocity and compression in rent growth amid demand supply imbalances. Specifically, properties away from campus are feeling the brunt.Industry Lags in Terms of Shareholder ReturnsLooking at shareholder returns over the past year, it appears that the broader economic recovery wasn’t enough for enhancing investors’ confidence in the industry’s growth prospect. Elevated supply affected the performance of residential REITs over the past several quarters.The REIT and Equity Trust - Residential Industry, which is a group within the broader Zacks Finance Sector, has underperformed both the S&P 500 and its own sector over the past year.While the stocks in this industry have collectively lost 3.9%, the Zacks S&P 500 Composite and Zacks Finance Sector have rallied 12.1% and 4.0%, respectively.One-Year Price PerformanceResidential REIT Stocks Trading CheapFor REITs, price-to-FFO (funds from operations) multiple is a common measure for valuation. This is because FFO is a widely used metric to gauge the performance of REITs rather than net income as it indicates cash flow from their operations.FFO is obtained after adding depreciation and amortization to earnings and subtracting the gains on sales. This is done because although per GAAP accounting norms, REITs are required to depreciate their investment properties over time, in reality many properties experience value appreciation over time.So, to offset that impact, depreciation and amortization are added back. Moreover, gains on sales of property are subtracted since such sales are considered nonrecurring in nature.Thanks to the underperformance of the industry over the past year, the valuation looks really cheap. The industry currently has a trailing 12-month P/FFO of 18.31. When compared with the highest level of 20.63 and median level of 19.18 over the past year, there is plenty of upside left.The space also looks inexpensive when compared with the market at large as the trailing 12-month P/E ratio for the S&P 500 is 20.08 and the median level is 20.17.Price-to-FFO (TTM)Underperformance May Continue Due to Bleak FFO per Share OutlookSolid job growth in recent months indicates more household formations and raises expectations of still-healthy apartment market occupancy despite high deliveries in the near term. Also, shortage in construction labor and rising expenses might somewhat impede the growth momentum of supply.But what really matters to investors is whether this group has the potential to perform better than the broader market in the quarters ahead. While the earlier valuation discussion shows that there is a solid value-oriented path ahead, one should not really consider the current price levels as good entry points unless there are convincing reasons to predict a rebound in the near term.One reliable measure that can help investors understand the industry’s prospects for a solid price performance going forward is the industry's FFO per share outlook. FFO per share revisions trend for the constituent companies usually influences their stock market performance.The Price & Consensus chart for the industry shows the market's evolving bottom-up FFO per share expectations and the industry's aggregate stock market performance. The red line in the chart represents the Zacks measure of consensus FFO per share expectations for 2019, while the light blue line represents the same for 2018.Price and Consensus: Zacks REIT-Equity Trust – Residential industry This becomes even clearer if we focus on the aggregate bottom-up FFO per share revisions trend. The chart below shows the evolution of aggregate consensus expectations for 2018.Please note that the $2.71 FFO per share estimate for the industry for 2018 is not the actual bottom-up dollar FFO per share estimate for every company in the REIT - Equity Trust - Residential industry, but rather an illustrative aggregate created by our proprietary analytics model. The key factor to keep in mind is not the FFO per share of the industry for 2018, but how this value has evolved recently.   Current Fiscal Year FFO Per Share Estimate RevisionsAs you can see here, the $2.71 FFO per share estimate for 2018 is down from $2.73 at the end of May and $2.75 at the end of the month prior to that and $2.94 this time last year. Looking at the aggregate FFO per share estimate revisions, it appears that analysts are losing confidence in this group’s FFO per share potential.Zacks Industry Rank Indicates Cloudy ProspectsThe group’s Zacks Industry Rank, which is basically the average of the Zacks Rank of all the member stocks, indicates continued underperformance in the near term.The Zacks REIT and Equity Trust – Residential industry currently carries a Zacks Industry Rank #183, which places it at the bottom 28% of more than 250 Zacks industries. Our research shows that the top 50% of the Zacks-ranked industries outperforms the bottom 50% by a factor of more than 2 to 1.Revenue Trend of Residential REITs Shows Some PromiseWhile the near-term prospects look unwelcoming for investors, the uptrend in revenues over the past years appears promising. This might support long-term growth in FFO per share. Bottom LineFinally, in the present demand-supply scenario, a deceleration of fundamentals is anticipated. Therefore, pressure on new lease rates, occupancy as well as retention would persist, while concession activity to lure renters is expected to remain high.Moreover, for REITs, rate hike remains the biggest near-term challenge as the use of leverage for REIT business makes the returns from this industry susceptible to interest rate movements. Also, the dividend payout itself might become less attractive than the yields on fixed income and money-market accounts. Although, the short-term nature of lease for residential REITs usually helps in adjusting rents quickly to any rate hike, the current lower pricing power is likely to erode some of that benefit.Now it’s time for investors to consider portfolio reshuffling and stay away from some stocks from the said industry, which are unlikely to bounce back in the near term. Among these are:(You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.)Apartment Investment & Management Co. (AIV  -  Free Report): The stock of this Denver, CO-based residential REIT, which is better known as Aimco, has lost 4.2% of its value over the past six months. The Zacks Consensus Estimate for the current-year FFO per share has been revised 1.6% downward over the last 60 days.Price and Consensus: AIVAmerican Campus Communities Inc. (ACC  -  Free Report): The consensus FFO per share estimate for this Austin, TX-based student housing REIT has moved 1.7% lower for the current year, over the last 90 days. The stock has declined 11% over the past year.Price and Consensus: ACCAmerican Homes 4 Rent (AMH  -  Free Report): The stock of this Agoura Hills, CA-residential REIT has declined 1.2% over the past year. The consensus FFO per share estimate for the current year has been revised 3.5% downward over the last 90 days.Price and Consensus: AMH 5 Medical Stocks to Buy NowZacks names 5 companies poised to ride a medical breakthrough that is targeting cures for leukemia, AIDS, muscular dystrophy, hemophilia and other conditions.New products in this field are already generating substantial revenue and even more wondrous treatments are in the pipeline. Early investors could realize exceptional profits.Click here to see the 5 stocks >>
"
9,AIV,"A month has gone by since the last earnings report for Apartment Investment and Management Company (AIV  -  Free Report). Shares have added about 1% in that time frame.Will the recent positive trend continue leading up to its next earnings release, or is AIV due for a pullback? Before we dive into how investors and analysts have reacted as of late, let's take a quick look at its most recent earnings report in order to get a better handle on the important drivers.Aimco’s Q1 FFO In Line With Estimates, Revenues BeatAimco reported first-quarter 2018 pro forma FFO of 60 cents per share, in line with the Zacks Consensus Estimate. The figure indicates a 3% increase from the year-ago quarter tally of 58 cents.Results displayed growth in property NOI, supported by same-store properties, and lease-up of redevelopment and acquisition communities. However, these positives were partially offset by lower NOI from apartment sales in 2017 and 2018.In the reported quarter, total revenues of $247.7 million comfortably outpaced the Zacks Consensus Estimate of $243.7 million. In addition, the reported figure came in marginally higher than the prior-year quarter tally of $246.5 million.Quarter in DetailSame-store revenues (before utility reimbursements) increased 2.6% year over year to $144.9 million while expenses (net of utility reimbursements) increased 2.1% from the prior-year quarter to $38.9 million. Consequently, same-store NOI climbed 2.7% to $106 million on a year-over-year basis.Same-store average daily occupancy expanded 30 basis point (bps) year over year to 96.3%. Rental rates on new leases were up 0.4% whereas rental rates on renewal leases increased 4.9% from the expiring lease rates.As of Mar 31, 2018, Aimco had cash and restricted cash on hand of $91 million. Moreover, the estimated fair market value of the company’s unencumbered apartment communities was around $2 billion.Further, at the end of the quarter under review, Aimco’s outstanding borrowings on its revolving credit facility were $79 million and available capacity was $509 million, after considering $12 million of letters of credit, backed by the facility.Portfolio ActivityDuring the reported quarter, Aimco invested $47 million in redevelopment and development.In addition, Aimco is revamping its portfolio through property sales and reinvesting the proceeds in select apartment homes with higher rents, superior margins and higher-than-expected growth.Through these efforts, the company increased its revenues per apartment home by 7% to $2,052. Additionally, it enhanced the quality and expected growth rate of its portfolio. Specifically, the percentage of A, B and C+ home was 49%, 35% and 16%, respectively, in first-quarter 2018.GuidanceFor full-year 2018, the company updated its pro forma FFO per share guidance to $2.39-$2.49 from $2.42-$2.52 provided earlier.The company projects same-store NOI growth to be in the range of 1.70-3.10% and revenue growth to be in the range of 2.10-3.10%.For second-quarter 2018, Aimco provided pro forma FFO per share guidance of 57-61 cents.How Have Estimates Been Moving Since Then?In the past month, investors have witnessed a downward trend in fresh estimates. There has been one revision higher for the current quarter compared to three lower.Apartment Investment and Management Company Price and Consensus Apartment Investment and Management Company Price and Consensus | Apartment Investment and Management Company QuoteVGM ScoresAt this time, AIV has a subpar Growth Score of D, a grade with the same score on the momentum front. Following the exact same course, the stock was also allocated a grade of D on the value side, putting it in the bottom 40% for this investment strategy.Overall, the stock has an aggregate VGM Score of F. If you aren't focused on one strategy, this score is the one you should be interested in.Our style scores indicate investors will probably be better served looking elsewhere.OutlookEstimates have been broadly trending downward for the stock and the magnitude of these revisions indicates a downward shift. Interestingly, AIV has a Zacks Rank #3 (Hold). We expect an in-line return from the stock in the next few months.
"
