,ticker,content
0,AKAM,"Stocks grabbed quick gains at Tuesday's open, as global action reflected some resilience after trade war fears spurred broad losses on Monday.Lennar (LEN) led an early rally among homebuilders and Netflix rose on new analyst coverage. General Electric (GE) topped the S&P 500, and several IBD 50 stocks showed strong early action. Meanwhile, Intel (INTC) deepened its recent losses.The Nasdaq Composite led, up 0.2% as MercadoLibre (MELI), Take-Two Interactive (TTWO) and Activision-Blizzard (ATVI) hauled the the Nasdaq 100 higher.The  Dow industrials and S&P 500 quickly narrowed their early gains to less than 0.1%. Intel weighed on the Dow. Akamai Technologies (AKAM) and Incyte (INCY) posted the heaviest losses among S&P 500 stocks.The dollar was mixed, bonds inched higher with the 10-year yield down 1 basis point to 2.87%. Oil prices leaned higher, with West Texas Intermediate trading above $68 per barrel and Brent crude above $75.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseMonday's session showed markets beginning to grapple with the bite of the Trump administration's street-fight method of restructuring international trade. The session sent some troublesome indicators for the market, but the major indexes remain only mildly mixed for June.The Dow is now down 0.7% in June and testing its 200-day line of support for the third time since April. Notably, Monday marked the Dow's first close below that line since 2016. If the index cannot regain its 200-day line, the consolidation could be set to move into deeper, more extended territory.The S&P 500 is still on positive ground for the month, up 0.4%. It is just below its 50-day line, still well above the 200-day level, and 5.4% below its high set in January.The Nasdaq is also positive, up 1.2% in June. It was down 3.5% since chalking up a new high on Wednesday. The index is still holding above its 50-day moving average.Markets in Asia tapped the brakes after their heavy sell-off on Monday. China's markets closed with nominal losses on Tuesday. Hong Kong's Hang Seng index slumped 0.3%. The Shanghai Composite stepped back another 0.3%.In Japan, Tokyo's Nikkei 225 managed a flat finish, after recovering from an early 1% dive.Europe's markets held their early gains in afternoon trade. London's FTSE 100 advanced 0.7%, Frankfurt's DAX rose 0.2%, and the CAC-40 in Paris battled to a 0.4% gain.General Electric was a big early leader, up 6.9% after adding its healthcare division and its stake in oilfield services giant Baker Hughes (BHGE) to its accelerating divestment scheme. The company lost its place on the Dow industrials list last week. Baker Hughes shares rose 0.8%.Homebuilder Lennar spiked nearly 8% after reporting a better-than-expected 78% earnings surge and a 67% rise in revenue for its fiscal second quarter. Deliveries leapt 57% and new orders rumbled ahead 62%, while the company's backlog expanded 92%, to 19,622 homes. Lennar shares dropped 3.9% in heavy trade Monday. The stock is down 32% from a January high.Other homebuilders also rose, with Pulte Homes (PHM) up 1.7%, D.R. Horton (DHI) jumping 3.3% and KB Home (KBH) notching a 3% rise ahead of its fiscal second-quarter report, due late Thursday.Netflix clocked an early 2% gain, rising after Imperial Capital initiated coverage on the stock with an outperform rating and a 503 price target.  The IBD Leaderboard stock dropped 6.5% in heavy trade on Monday. The stock broke some short-term levels of technical support, but remains extended from a breakout in May.Chip leader Intel dropped 1.4%, the deepest early loss among Dow industrials. Benchmark initiated coverage on the stock with a hold rating, as the company continues to deal with fallout from last week's sudden ouster of Chief Executive Brian Krzanich.Akamai Technologies dropped 3.4% after trimming its earnings and revenue guidance for the second quarter. Earnings guidance remained within the range of expectations, but the lowered mid-point of the updated revenue guidance was below the consensus target.  Akamai dropped 3% in heavy trade Monday, stopping short of triggering an automatic sell rule below a cup-with-handle buy point at 77.69.Among IBD 50 stocks, China's ZTO Express (ZTO) rebounded 1.8% in opening trade. The stock ended 0.6% lower Monday, trimming its early loss aggressively after finding support at its 10-week moving average. The move stopped short of a retest of an 18.18 buy point in a cup base.China's Momo (MOMO) led early declines among IBD 50 stocks. Momo dropped 5.1% after the company announced it would offer $650 million in debt. Shares fell 5% in modest trade Monday, leaving the stock 11% off its June 11 high, and still extended after a breakout in May.Tuesday's economic calendar is fairly light. S&P Case Shiller's April Housing price index slowed to a 0.2% increase in April. That was down March's 0.5% growth, undercutting expectations for another 0.5% gain.The Conference Board reports June consumer confidence at 10 a.m. ET. Atlanta Federal Reserve Bank President Raphael Bostic speaks at 1 p.m. Dallas Federal Reserve President Robert Kaplan speaks at 1:45 p.m. ET.YOU MIGHT ALSO LIKE:The Big Picture: Trump Bull Gets Bloody Nose; Eye This Sell SignalIs Trump About To Blink In China Trade War?Bears Take Control, Slap Down All But Two IBD 50 StocksIBD Stock Of The Day: This China Internet Gives Back All Its GainsThis Stock Market Divergence Is A Worrisome Sign
"
1,AKAM,"The Dow Jones, S&P 500 index and Nasdaq composite retreated in a volatile market as Trump trade war fears waxed and waned, with Nike (NKE) and bank stocks fueling a Friday rebound. Crude oil prices hit multiyear highs. General Electric (GE), kicked out of the Dow Jones, announced a partial breakup. Amazon.com (AMZN) moves disrupted the pharmacy and shipping industries. Harley-Davidson (HOG) said it would shift some production to Europe due to tariffs, angering President Donald Trump.The Dow Jones, S&P 500 index and Nasdaq composite sold off on Monday and Wednesday, breaking or testing key support levels, amid concerns about Trump trade war moves against China investment. All three fell for the week, even with gains on Thursday and Friday. So far in 2018, the Dow Jones is down 1.8%, while the S&P 500 has gained 1.7% and the Nasdaq 8.8%. The Treasury yield curve continued to flatten, signaling concerns about Fed rate hikes down the road. Bank stocks, under pressure for weeks on the flattening yield curve, rebounded Friday after the Fed cleared most to raise dividends and buybacks. Energy stocks rallied as crude prices soared. GE popped on its restructuring plan. Nike sprinted on a U.S. sales revival and a big stock buyback.Oil futures jumped more than 8% to $74.15 a barrel to their highest levels since 2014 over supply issues from North America and Iran. The Trump Administration warned allies that they needed to stop importing Iranian crude by November, according to reports. Meanwhile, a key oil-sands facility in Canada will be shut down until August. U.S. crude stockpiles fell by 9.9 million barrels, more than expected, while gasoline supplies rose by 1.2 million barrels, according to weekly Energy Information Administration data. Domestic production was flat last week at 10.9 million barrels per day.General Electric (GE) ended a century-plus run on the Dow Jones industrial average and said it plans to shrink even further. The industrial giant, seeking to pare debt and simplify, will spin off GE Healthcare and divest its majority stake in oilfield services company Baker Hughes (BHGE). After prior, smaller divestitures, GE will now focus on aviation, power and renewable energy. The decisions followed a year-long ""deep dive"" by new CEO John Flannery, a period over which GE stock crumbled in half. Analysts warned of another dividend cut, the second since both the payout and earnings outlook were sliced last year. GE stock rebounded after falling to multiyear lows.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseNike profit grew 15% to 69 cents a share on 13% revenue growth to $9.79 billion, easily quashing analyst views for 64 cents EPS and $9.39 billion in sales. North America sales rose 3%, bucking three straight quarters of year-over-year declines. The world's largest athletic apparel brand also announced a $15 billion share buyback program. Shares of Nike leapt 11% Friday, hitting a new high.Harley-Davidson faced a double-whammy in the past week, first getting hit with a 25% tariff from the European Union, then getting slammed by President Trump for waving the ""white flag."" The iconic motorcycle maker said the EU tax — retaliation for Trump's steel and aluminum tariffs — would cost it roughly $100 million a year. After announcing a plan to shift production for Europe overseas to avoid the hit, Harley took fire from Trump's tweets. Analysts see some risk that Harley-Davidson could suffer a long-term reputation hit. Harley stock retreated.Amazon turned to small fry to disrupt two major industries on Thursday. Its deal to buy online pharmacy PillPack, with $100 million in 2017 revenue, gave Amazon just a toehold in a $300 billion industry. But it roiled many health care stocks. New Dow Jones stock Walgreens Boots Alliance (WBA) tumbled 9.9% on Thursday. CVS Health (CVS), which is buying insurer Aetna (AET) partly in anticipation of Amazon entering the pharmacy space, fell 6.1%. Drug distributor McKesson (MCK) fell 6.1%. Amazon also said it would help entrepreneurs launch local businesses delivering Amazon packages with fleets of up 40 vehicles. That plan helped send shares of UPS down 2.3% and FedEx 1.3% on Thursday.The Federal Reserve released the second and final round of its annual stress tests, clearing most shareholder payout plans for the nation's largest financial firms. Wells Fargo (WFC) rallied Friday on its buyback and dividend plan. But JPMorgan Chase (JPM) and many other bank stocks slashed gains or closed lower. But the Fed restricted the payout plans of Morgan Stanley (MS) and Goldman Sachs (GS) and failed the U.S. division of the embattled Deutsche Bank (DB). The Fed said Morgan and Goldman would ""maintain their capital distributions at the levels they paid in recent years"" after their capital ratios fell below the Fed's minimum — the result of a one-time reduction due to tax reform. Goldman and Morgan came close to missing the Fed's minimum on a key leverage ratio in the first round of the tests.This past week 11 IPOs raised about $2.8 billion. Several IPOs showed double-digit gains on the first day of trading. Among biotech new issues, Neuronetics (STIM) rallied 63% in its debut and Tricida (TCDA) rose 37%. The largest IPO was BJ's Wholesale Club (BJ), which raised $637.5 million, as shares rose 29% on the first day. Furniture retailer Lovesac (LOVE) jumped 50% on its first day of trading.Canadian marijuana producer Canopy Growth Corp. (CGC) reported its first quarterly earnings as a U.S.-listed company. Canopy turned in a steeper loss than a year ago as it spent more on investments ahead of Canada's recreational legalization. Beer-and-wine giant Constellation Brands (STZ), which has taken a stake in Canopy, reported fiscal Q1 earnings per share that missed estimates, with sales roughly in line. Shares of Constellation tumbled Friday.Sonic earnings rose 21% to 52 cents a share, better than consensus for 49 cents EPS, but sales slid more than expected, declining nearly 5% to $118 million vs. analyst views for $120 million in revenue. The fast-food drive-in chain now projects full-year earnings of $1.45-$1.49, vs. prior guidance for $1.43-$1.50. The narrower guidance implies below-consensus Q4 EPS. Shares retreated.Lennar (LEN) stock popped after it demolished earnings estimates on Tuesday, though the largest U.S. homebuilder fell back later in the week. Meanwhile KB Home (KBH) rose Friday after the builder scored a double beat late Thursday.Carnival (CCL) shares sank to their lowest level in more than a year after the cruise line pared its full-year EPS outlook from $4.20-$4.40 to $4.15-4.25. Norwegian Cruise Line (NCLH) and Royal Caribbean (RCL) shares also dropped as Carnival warned on fuel costs and exchange rates.Paychex (PAYX) retreated from a potential 73.20 buy point after quarterly earnings met and revenue edged past estimates. The payroll and HR services provider expects revenue to grow 6% to 7% in fiscal 2019 and EPS to rise 11%, as it fends off existing and new rivals, such as cloud-based Paycom Software (PAYC).Walgreens Boots Alliance announced a $10 billion buyback and quarterly dividend hike to 44 cents. The drugstore company also topped earnings views and guided modestly higher. Same-store sales fell though. Shares plunged to their lowest level in three years on Amazon's deal to buy PillPack.Akamai Technologies (AKAM) cut its revenue guidance on currency headwinds but raised its EPS outlook on greater-than-expected operating efficiencies.Accenture (ACN) delivered a fiscal third-quarter earnings beat. The global IT services firm has been making acquisitions to push into digital, cloud and cybersecurity products.GW Pharmaceuticals (GWPH) rose as the FDA approved its cannabis-based drug, Epidiolex, to treat two seizure disorders.WWE (WWE) stock exploded after it pinned down bigger-than-expected deals with 21st Century Fox (FOX) and Comcast (CMCSA) to broadcast its shows.Boeing (BA) stock flashed a sell signal after China ""firmed up"" commitments to purchase jets from European rival Airbus (EADSY) amid ongoing trade tensions with the U.S. Boeing went on to seesaw throughout the week, and remained marooned below its 50-day moving average.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:IBD Stock Of The DayBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsHow To Invest In The Stock Market: Start With A Simple Routine
"
2,AKAM,"PayPal Holdings (PYPL) is the IBD Stock of the Day. The digital payment processor has broken out, joining many of its peers, but may offer a better buying oppounity. Its relative strength line is at new highs, a bullish sign.PayPal stock cleared a double-bottom base with a 84.09 entry point on Monday. But volume was low. Investors could look for a more powerful move above the left side of its base, offering an 86.42 entry.Shares rose 0.6% to 85.05 on the stock market today. The relative strength line, which tracks a stock's performance vs. the S&P 500 index, is confirming the stock's breakout.Earnings and sales recently snapped a string of accelerating growth, but remain robust. PayPal stock has a 97 Composite Rating. This means that the company is now outperforming 97% of all stocks in key fundamental and technical terms.PayPal is ranked No.3 in IBD's Finance-Credit Card/Payment Processor group. Several payment stocks have broken out in recent weeks. Mastercard (MA), which leads the group, is slightly extended from a buy range. So is Visa (V), Square (SQ) and previous IBD Stock of the Day Green Dot (GDOT).PayPal's Venmo app is popular among millennials but faces rivals like Square's Cash App and Zelle, which is owned by big banks including JPMorgan Chase (JPM), Capital One (COF) and Wells Fargo (WFC).PayPal isn't standing still. Last week, it agreed to buy Jetlore, an artificial-intelligence startup. Harshal Deo, vice president of commerce solutions, said that Jetlore will ""enhance and accelerate"" PayPal's products.Last month, PayPal bought iZettle, a European rival to Square.Akamai Technologies (AKAM), Monday's IBD Stock of the Day, rose 2.5% to 78.97 Tuesday, retaking a 77.69 buy point.YOU MIGHT BE INTERESTED IN: IBD Stock Of The Day: This Amazon Web Services Rival Is Just Below A Buy PointIBD Stock Of The Day: Chinese Internet Giant Powers Into Buy ZoneThese Five IBD 50 Stocks Are In Buy Range NowIBD Stock Of The Day: This Robot Surgery Pioneer Sets Up In Bullish BaseRelative Strength Line Has Clues About Stock's Health
"
3,AKAM,"While software, semiconductor and internet stocks have enjoyed a productive 2018, cloud computing has had its share of success, too, making First Trust Cloud Computing (SKYY) a leading ETF.Cloud computing is a field that crosses into various industry groups. Companies in IBD's data storage, networking, online retail, enterprise software and other groups are part of the First Trust Cloud Computing portfolio. The ETF breaks down its holdings by software (nearly 39%), internet software and services (14.8%), communications equipment (14.2%) and a few other industries.Only some of the fund's holdings are pure-play cloud companies. First Trust says the holdings are divided among three classes. One is pure plays, another is companies that support cloud providers, and a third type is large companies with broad operations that indirectly use or support cloud computing. That last segment's weight in the portfolio is capped at 10%.With many of the technology giants among its 30 holdings, First Trust Cloud Computing is predominantly a large-cap ETF. The median market capitalization is $40.38 billion. It excludes stocks with less than $100 million in market cap.The largest component is Netflix (NFLX), with more than 7% of the portfolio. Netflix, which started as a DVD rent-by-mail service, is now predominantly a streaming video service. The stock is up more than 70% from a breakout to new highs at the start of the year.Amazon.com (AMZN), the No. 2 holding, may be best known for online retail, but it has a bustling cloud business. In its Q1 earnings report, Amazon said its cloud-computing unit, Amazon Web Services, had revenue of $5.44 billion. That was up 49% and above estimates of about $5.3 billion.Other holdings are Akamai Technologies (AKAM), whose technology improves streaming content; network optimization expert F5 Networks (FFIV); Salesforce.com (CRM), a leader in customer management software on demand; and Zynga (ZNGA), whose games are played on social networks and mobile devices.The ETF on May 7 cleared the 51.26 buy point of a cup-with-handle base and remains in buy range. The relative strength line is trending higher and near new highs, which can be read as a positive sign.Long term, the ETF has been a solid investment. Shares have climbed about 65% since they broke out to new highs nearly two years ago. That July 2016 breakout was important because the ETF beat resistance around 31 that had dogged shares for more than a year.Most of First Trust Cloud Computing's ascent in that time has been smooth, partly because the broad market saw little volatility in 2017. This year, the ETF has been more volatile, reflecting the general market. Shares have slid 12% and 11% in two corrections this year.RELATED:Active Asset Allocation Made Easy With IBD ETF Leaders IndexAmazon Stock Jumps As Earnings Slaughter Views, Prime Fee RaisedSalesforce.com Price Target Hiked; MuleSoft To Spur Cloud Computing 
"
4,AKAM,"Stocks were higher Monday afternoon after the market extended gains, bearing fruit for a few breakouts.X The Nasdaq composite, S&P 500 and the Dow Jones industrial average were up 1% and at session highs. Small caps tried to keep up, as the Russell 2000 added 0.8%. The Russell's outperformance Friday was one element that made the day's rebound look like a possible low for the market.Volume was tracking lower on the Nasdaq compared with the same time Friday. NYSE volume was unavailable. Breadth was strong, with winners over losers 12-to-5 on the NYSE and 7-to-3 on the Nasdaq.Wall Street seemed to like reports that House Speaker Paul Ryan and others in Congress are pushing back on President Trump's plan to set tariffs on steel and aluminum imports. It was news of those new tariffs that sent stocks reeling last week. Trump said he won't back down and doesn't believe his decision will trigger a trade war.Energy and telecom industry groups were among the top performers in today's market.Use IBD's MarketSmith For Free Until March 11
"
5,AKAM,"See stocks near a buy point, get chart pattern recognition and run custom screens. Start NowCrude prices rose $1.31 to $62.56 a barrel after oil ministers gathering in Houston said producers are complying with self-imposed output cuts and Venezuela's crumbing oil machinery is contributing to tighter supply. But officials also say U.S. shale production will continue to be a huge source of supply.Software stocks were notable because several broke out past buy points.Upland Software (UPLD) broke out past a 25.10 buy point in huge volume. The pattern could be interpreted as an odd cup-type base or as the handle of a much longer pattern. Either way, the breakout looks strong. The business software company is reporting results Thursday after the market's close.Guidewire Software (GWRE) topped the 83.62 buy point of lopsided base. Volume was lackluster, however. The maker of software for the insurance industry announces earnings Tuesday after the close. has a 92 Composite Rating but posted a loss in the latest quarter.Akamai Technologies (AKAM) edged above a 69.66 buy point, but volume was weak. The base itself was erratic, with a period of volatility that shadowed the market's gyrations in February. It can be interpreted as the handle of a base that goes back to January 2017.The IBD 50 was higher. One stock contributing to the IBD 50's gain was Casa Systems (CASA), a new issue that's been volatile for several weeks. Shares jumped 12% to a new high in heavy trading.RELATED:Upland Software Jumps Into Buy Zone Ahead Of EarningsChip Stocks To Watch And Semiconductor Industry NewsOPEC, Russia May Be Trapped By Flood Of Oil From U.S. Shale ProducersCiena Earnings Due, Optical Gear Maker Up 12% In 2018 
"
6,AKAM,"Despite some volatility, tech stocks are trouncing the broader market this year as top-performing tech funds score double-digit gains.ETFMG Prime Cyber Security (HACK) leads the pack with a 19.8% year-to-date gain through May 9, according to Morningstar Direct. That's far ahead of the S&P 500's 1.5% advance. The ETF lost 2% Friday, but remains just below its all-time highs.The $1.5 billion fund tracks the Prime Cyber Defense Index, which is composed of companies providing hardware, software, consulting and services to defend against cybercrime. Stocks in the index are screened for liquidity. HACK counts CommVault Systems (CVLT), Carbonite (CARB), CyberArk Software (CYBR) and Palo Alto Networks (PANW) among top holdings in the 46-stock portfolio.First Trust Dow Jones Internet (FDN) is next with a 19.6% YTD gain. The $7.8 billion fund comprises companies that generate at least half their revenue from internet commerce or services. The fund was last featured in this ETF Leaders column May 4, as FDN tested its 50-day moving average. Shares have since rebounded strongly and are extended from the line. But they are still in buy range from later entries at a handle (127.75) 132.09 (left-side high of base). Amazon, Facebook and Netflix were its top three holdings as of May 10.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn third place: iShares North American Tech-Software (IGV) with an 18.8% YTD return. IGV closed Friday at 183.30, above a 179.35 entry. U.S. software makers accounted for 98% of the $1.7 billion fund, while Canada-based companies made up the rest. Its top five holdings: Adobe Systems (ADBE), Salesforce.com (CRM), Microsoft (MSFT), Oracle (ORCL) and Activision Blizzard (ATVI) represented 40% of the 59-stock portfolio.Another cybersecurity ETF, First Trust Nasdaq Cybersecurity (CIBR), came in fourth with a 17.1% gain. The $621.7 million fund is 2% off its Thursday peak. Its top holdings include Palo Alto, Akamai Technologies (AKAM) and Symantec (SYMC). Companies making the underlying Nasdaq CTA Cybersecurity Index must meet market cap, dollar trading volume and free float minimums.The rest of the ETFs making the list yielded YTD gains between about 10% and 16%.YOU MAY ALSO BE INTERESTED IN:Which Technology And Oil Stock Plays Are Performing The Best?How To Get Your Own Blockchain, AI Or Hot New ETF Idea To MarketHow To Invest In The Fast-Growing Cybersecurity Industry
"
7,AKAM,"Dow futures led premarket trading back into a narrow decline Tuesday, as the market generally hunkered down ahead of Apple's (AAPL) fiscal second-quarter results later in the day, a Fed interest-rate decision on Wednesday and the April payrolls report due Friday.Dow futures gave up brief gains and slipped less than 0.1% below fair value. Apple led the index while Merck (MRK) and Pfizer (PFE) posted its heaviest declines. Nasdaq 100 and S&P 500 futures also dipped to a narrow losses. Akamai Technologies (AKAM) and Citrix Systems (CTXS) topped the Nasdaq 100. Seagate Technologies (STX) posted its heaviest loss.The three big benchmarks scored nominal gains for April — the Dow and S&P 500 each up 0.3%, and the Nasdaq struggling to a fractional gain. Still, the month was noteworthy in that it stopped a two-month slide that had sent the Nasdaq down 1.9% in February and 2.9% in March.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseMarkets continued to hold their breath on Tuesday, after President Trump delayed until June tariffs that were set to take effect on today against steel and aluminum imported from the European Union, Mexico and Canada. Agreements to avoid tariffs were in place with Australia, Brazil and Argentina, the White House said. In March, tariffs went into effect against China, Russia and Japan. Foreign steel stocks trading in the U.S. showed little reaction in premarket trading. Shares of U.S. Steel (X) dropped more than 1%. Steel stocks in general have been pulling back, consolidating since February.Another factor on investors radar: the Federal Open Market Committee begins its two-day meeting this morning in Washington, D.C. The meeting is expected to wrap up with a rate policy decision Wednesday afternoon. There will be no press conference following the announcement.In addition, several key pieces of economic news are expected today. Manufacturing purchasing mangers indexes for April are due from researcher Markit at 9:45 a.m. ET, and from the Institute For Supply Management at 10 a.m. ET. March construction spending numbers from the Commerce Department are expected at 10 a.m. ET.Automakers will be reporting April sales totals throughout the session.Apple, the most notable earnings report on the stock market today, added 0.6% in premarket trade. Analysts have raised concerns about the company's outlook, but Wall Street sees a 28% jump in earnings and a 15.5% revenue gain for the first quarter. That would mark the company's best results since the fourth quarter of 2015. Apple shares have declined for the past two months, and have been stalled below their 200-day moving average since late April.On the Dow, Pfizer dropped 1.3%, Merck tumbled 1.4%. Both drugmakers topped analyst's quarterly earnings expectations, but revenue growth stopped short of targets.HaynesBrands (HBI), NutriSystems (NTRI) and Allison Transmission (ALSN) were some other leading names in motion following earnings reports early Tuesday.Tenet Healthcare (THC) skipped up nearly 6% after delivering strong results after Monday's close. The premarket gain positioned the stock to narrowly clear a flat-base buy point at 25.24. Not all premarket moves carry over into regular trade.Seagate Technologies tumbled nearly 5% just after reporting fiscal third-quarter results. Earnings and revenue growth appeared to top expectations, and management raised the company's quarterly dividend to 63 cents.Under Armour (UAA) reversed an early gain and dropped 3% in premarket trading. The athletic wear maker's first-quarter sales and profit scored an easy beat, and the company reaffirmed full-year revenue expectations, guiding to general weakness in U.S. markets and a 25% sales surge overseas. Under Armour shares ended Monday 6% below an 18.85 buy point in a two-month-long base.Aerospace components maker TransDigm (TDG) popped 1.4% after reporting fiscal second-quarter results before the open. Results soared past analyst targets, and management gave full-year guidance a significant boost, citing TransDigm's two recent acquisitions. The stock closed Monday less than 2% above a handle buy point at 314.03.Among IBD 50 stocks, BofI Holding (BOFI) popped 5.6% in premarket action. At Monday's closing bell, BofI was not quite 6% below a flat base buy point at 42.69.Medical products maker Inogen (INGN) spiked 24% after clobbering analyst expectations in its first-quarter report late Monday. The maker of portable oxygen concentrators ended Monday near the top of a buy range, above a 135.07 buy point in a flat base.YOU MIGHT BE INTERESTED IN:The Big Picture: Anxious Market Shifts Attention To FedLooking For The Best Stocks To Buy And Watch? Check Out Alibaba, Casa SystemsThe Big Squeeze: Why The Stock Market's Bull Run Faces Its Biggest Threat In YearsApple, Grubhub, Shopify Earnings; Facebook's F8: Investing Action PlanAmazon, These 5 IBD 50 Stocks Share This Winning Growth Trait
"
8,AKAM,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. More tech darlings report earnings in the coming week; this time Apple (AAPL), Tesla (TSLA) and Alibaba (BABA) are due. McDonald's (MCD) also reports along with top shale companies, while Facebook (FB) will hold its annual F8 Developer Conference. And Spotify (SPOT)…
"
9,AKAM,"Key stock index funds slipped into the red Monday as the tech-heavy QQQs reversed along with Dow Jones industrial components Apple (AAPL) and Intel (INTC).PowerShares QQQ Trust (QQQ) slid 0.3%, while SPDR S&P 500 (SPY) and SPDR Dow Jones Industrial Average (DIA) closed fractionally lower. Emerging markets lagged as iShares MSCI Emerging Markets (EEM) tumbled 0.8%.Goldman Sachs (GS), down 2%, was the Dow's biggest loser. Apple reversed from a 0.7% gain to a 0.3% loss to slide below its 200-day moving average. It fell to the line on Friday amid a price target cut from Morgan Stanley, which cited weaker iPhone sales. Apple had been approaching the top of a flat base before it started heading south on Wednesday.Metals miners, semiconductors and telecom led the downside among sector funds in the stock market today. SPDR S&P Metals & Mining (XME) lost 2.5% to test its 50-day line. The ETF is tracing a possible double-bottom base with a 38.81 buy point for now.VanEck Vectors Semiconductor (SMH) slid 1.3% to breach its 200-day line for the first time in nearly two years. Chip stocks had a tough last week, sparked by Taiwan Semiconductor's (TSM) 6% plunge Wednesday following the chipmaker's disappointing outlook. Taiwan Semi fell 0.5% Monday; Intel reversed to a 0.9% loss.Retail, banks and energy outperformed. SPDR S&P Regional Banking (KRE) and SPDR S&P Bank (KBE) gained a respective 0.9% and 0.8%. KRE is trying to retake its 50-day moving average as it shapes a shallow base with a 65.43 potential buy point.Gold plays fell along with gold futures, which declined 1% to $1,325.30 an ounce.But Bitcoin climbed 1% to $8,851.96, according to CoinDesk, after opening near $9,000. Bitcoin Investment Trust (GBTC) rose 3% to pad its gains above the 50-day line, which it recovered Friday for the first time in three months.Cybersecurity is hot as technology focused ETFs continue to dominate among this year's top-performing sector funds. But biotech has weakened a bit.Top honors go to ETFMG Prime Cyber Security (HACK), which scored a 16.7% year-to-date gain through Tuesday, according to Morningstar Direct. It was featured in this ETF Leaders column on April 12, while it was in buy range from a rebound off its 50-day moving average. Shares marked a new record high on Wednesday, and are now extended from the entry.The $1.4 billion fund, which tracks the Prime Cyber Defense Index, invests in companies that provide hardware, software, consulting and services to defend against cybercrime. Top five holdings included Commvault Systems (CVLT), Japan's Trend Micro, Fortinet (FTNT) and Palo Alto Networks (PANW). The top five accounted for nearly 23% of the 47-stock portfolio.In second place: iShares North American Tech-Software (IGV) with a 15.1% year-to-date return. The ETF is working on the right side of a shallow base with a potential buy point at 183.33. It pulled back Friday with the broader market, but the pattern remains intact. The $1.5 billion fund tracks the S&P North American Technology Software Index.Top holdings in the 59-stock portfolio included Adobe Systems (ADBE), Microsoft (MSFT), Salesforce.com (CRM), Oracle (ORCL) and Activision Blizzard (ATVI).Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFirst Trust Dow Jones Internet (FDN), featured in this week's ETF Leaders column, tied for second with a 15.1% return. The $7.3 billion fund, which tracks the Dow Jones Internet Composite Index, holds the FANG stocks (Facebook (FB), Netflix (NFLX), Amazon (AMZN), Alphabet (GOOGL)) among its top names. Of those, Amazon and Netflix are near record highs. FDN is building a shallow base with a potential 132.09 entry.First Trust NASDAQ Cybersecurity (CIBR) is next with a 14.3% year-to-date gain. Like HACK, the cybersecurity play is extended from a bounce off its 50-day line. But it is near a 26.23 buy point of a five-week flat base first cleared on Tuesday. The $542.8 million fund tracks the Nasdaq CTA Cybersecurity Index. Its top holdings included Palo Alto Networks, Akamai Technologies (AKAM), Symantec (SYMC) and VMware (VWM).Two biotech-related funds, ARK Genomic Revolution Multi-Sector (ARKG) and First Trust NYSE Arca Biotech (FBT), moved down the list from much higher rankings a month ago. They now have year-to-date gains of 10.5% and 10.4%, respectively.YOU MAY ALSO BE INTERESTED IN:These 4 Top Software Stocks Are Near Buy Points, This 1 Is Breaking OutDow Tests Support As GE Stock Jumps But Apple Drops Below 50-DayDow, S&P 500 Breach 50-Day Line As Apple Tests Support AgainCould Blockchain Be A Bigger Disrupter Than The Internet?
"
