,ticker,content
0,BBY,"Stock indexes closed lower Thursday after battling back from sharp losses that came after President Trump called off a summit with North Korea's leader, Kim Jong Un.The Nasdaq composite, down as much as 0.9%, closed a fraction lower. The S&P 500, which lost nearly 1% at session lows, ended 0.2% lower. The Dow Jones industrial average lost 0.3%. All three indexes closed near session highs.Oil companies Chevron (CVX) and Exxon Mobil (XOM) were the weakest Dow components amid broad weakness in the energy sector. The SPDR Energy ETF (XLE) fell 1.7%. The sector suffered from a drop in crude oil. Late Thursday, U.S. crude futures were quoted at $70.65, down 1.7% from the prior day.Small caps outperformed somewhat, as the Russell 2000 closed flat. Volume rose from Wednesday's levels, according to unconfirmed data. Decliners led advancers by small margins across the board.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWhile the reversals were positive, indexes remain stuck in a horizontal trend that is now nearly two weeks old. The market seems to be trying to find direction. While dovish Fed comments encouraged investors Wednesday, geopolitical worries resurfaced Thursday.Trump confirmed Thursday he will not meet with North Korean leader Kim. The news followed several days of acrimonious remarks from officials in both countries. Trump left open the possibility of reviving the meeting, however. The iShares MSCI South Korea ETF (EWY) fell 1.3% and is 7% below a prior high.On the foreign trade front, U.S. officials said they've started an investigation into auto imports, which could lead to duties on foreign-made cars. General Motors (GM) and Ford Motor (F) climbed 1.4% and 1.6%, respectively. Tesla (TSLA) was down 0.4%.Electronics retail was Thursday's worst-performing industry group after Best Buy (BBY) gapped below its 50-day moving average in heavy volume. The chain beat profit expectations but gave a weak outlook. The stock tried to break out from a faulty base but failed.Qiagen (QGEN) rose above the 36.44 buy point of a saucer base in heavy trading. But the stock closed below the entry. The Netherlands-based diagnostics and medical research company is not a leader in its industry group, although the medical products group has climbed to the top five of 197 industries.RELATED:These Stocks Rally After Trump Cancels North Korea SummitTrump Says U.S.-China Trade Deal Could Be 'Too Hard To Get Done'Stocks With Rising Relative Strength: Qiagen
"
1,BBY,"On Friday, Best Buy (BBY) got an upgrade for its IBD SmartSelect Composite Rating from 88 to 96. X The new score means the company is now outperforming 96% of all stocks in terms of the most important fundamental and technical stock-picking criteria. Best Buy has now climbed above a proper buy zone after clearing the 63.42 entry in a consolidation. Looking For Winning Stocks? Try This Simple RoutineThe stock sports a 90 EPS Rating, meaning its recent quarterly and longer-term annual earnings growth tops 90% of all stocks. Its Accumulation/Distribution Rating of B- shows moderate buying by institutional investors over the last 13 weeks. The company posted a 25% EPS gain for Q4. Sales growth increased 14%, up from 4% in the prior quarter. That marks one quarter of rising revenue increases. Best Buy earns the No. 1 rank among its peers in the Retail-Consumer Electronics industry group. Aaron's (AAN) and Conns (CONN) are also among the group's highest-rated stocks.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
2,BBY,"New highs Wednesday left much to be desired. Reversals from new highs and low volume were commonplace. In some cases, a bold thrust lacked a valid buy point.February initial public offering Cactus (WHD) provided the bold thrust to a new high with no valid buy point nearby. The stock popped 6% and then reversed to essentially break even.The oil-equipment maker has had good timing with its IPO. The stock debuted on the Nasdaq on Feb. 8, just a day before the low of crude oil's pullback. Since then, oil has rallied about 23% off its low and Cactus about 90%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYet, bulls have a hard time finding a buy point in Cactus. An uneven March-April consolidation could offer an argument, but the argument seems stretched. There's been no conventional base since the IPO.Cactus is expected to grow earnings 90% this year and 25% next year. The stock's Composite Rating is 96, putting it in the top 4% among all the stocks in IBD's database.Meanwhile, IBD-style investors can wait patiently for a conventional base to form.Recently, consumer electronics retailer Best Buy (BBY) has been trying to clear a 78.69 buy point. The stock hit 79.90 in the first 10 minutes of trade, marking a new high in roughly average volume. But then Best Buy reversed to close under the buy point.Earnings were reported in early March. EPS grew 25% on a 14% revenue gain.The revenue gain was the best in at least 19 quarters. Quarterly same-store sales jumped 9%, trouncing analysts' views for 2.9%.Best Buy has a respectable 88 Composite Rating.Financial advisory firm T. Rowe Price Group (TROW) broke out past a 120.17 buy point. The stock closed at 120.75. Volume was only 14% above average.RELATED:This Stock Screen Is Smashing The S&P 500Is $90 Oil In The Cards? Ugg Boots Maker StirsMacy's Crushes ForecastWhat Oil Gives, It Can Take Away: Time To Sell?
"
3,BBY,"The Dow Jones, S&P 500 and Nasdaq composite initially rallied on a China trade truce, but President Donald Trump signaled that he was not happy with current talks, then announced a probe into auto imports and pulled out of a planned North Korea summit. The major averages rose but stayed within a recent range. Big-box retailers such as Target (TGT), Kohl's (KSS), Best Buy (BBY) and J.C. Penney (JCP) tumbled on earnings reports, but several specialty chains such as Tiffany (TIF), Williams-Sonoma (WSM) and Foot Locker (FL) shined. Micron Technology (MU) soared on raised guidance and a big buyback. Hot data-storage stocks retreated amid earnings while software stocks were mixed. Crude oil retreated from multiyear highs while Treasury yields pulled back.For a second straight week, the Dow Jones, S&P 500 index and Nasdaq composite rallied on Monday but then pared gains. This time, the major averages rose for the week, with the Nasdaq up 1.1%, the S&P 500 0.3% and the Dow Jones 0.2%. Oil stocks retreated as crude oil tumbled below $70. Treasury yields sank, with the 10-year rate below 3%, amid a dovish Fed and safe-haven flows over Italy and other geopolitical issues. The House OK'd Dodd-Frank regulatory relief, but bank stocks reacted more to the falling yields. Some retailers were hot while others tumbled on earnings. Micron Technology surged.Micron Technology popped after the memory-chip maker announced a $10 billion stock-buyback program that will start in September, exceeding expectations, and played up long-term demand trends at its analyst day. Micron also increased earnings and revenue guidance for its fiscal third quarter, which ends May 31. Micron told analysts that it expects strong pricing for DRAM and flash memory devices to continue this year and long-term demand from artificial intelligence and autonomous driving.U.S. crude prices tumbled below $70 a barrel, falling 4.9% to $67.88 a barrel amid strong U.S. supplies and OPEC buzz. Most of the decline came Friday. OPEC could raise its oil production at its June meeting over supply worries from Iran and Venezuela, according to a Reuters report. Russian Oil Minister Alexander Novak said he would talk to OPEC about the possibility of a ""gradual output recovery."" The Energy Information Administration said U.S. stockpiles rose by 5.8 million barrels last week vs. the 1.7 million barrel decrease analysts expected. The EIA said domestic production edged up to 10.725 million barrels per day. Energy stocks pulled back with crude prices.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseKohl's reported first-quarter earnings that were much better expected. But the stock tumbled after the department store chain said a friends and family promotion pulled forward more sales into Q1 than expected, indicating weaker same-store sales in Q2. Meanwhile, shares of J.C. Penney fell as CEO Marvin Ellison bailed to become CEO of Lowe's (LOW).Shares sank as the big-box retailer missed some first-quarter estimates. E-commerce investments hit gross margins, while Target also blamed bad weather for hurting ""temperature-sensitive categories."" But the discounter cited momentum in other areas like home goods, food and beverages. Target also said that its traffic has ""accelerated"" in the second quarter.Jewelry giant Tiffany reported a 54% EPS gain on sales of $1 billion, sending shares blasting through a buy area. Meanwhile fashion apparel giant Ralph Lauren (RL) soared back above and beyond a buy zone as EPS unexpectedly rose. Williams-Sonoma leapt after the upscale housewares retailer beat on EPS and revenue.Several top-rated software stocks reported earnings last week with mixed results.Nutanix (NTNX) lost an adjusted 21 cents a share, missing fiscal Q3 estimates by a penny, and forecast a larger-than-expected loss for the July quarter. The ""hyperconvergence"" network has been shifting to a software business model from selling hardware appliances and has hiked investments as it pursues revenue growth. Shares fell 5.2% on Friday.Splunk (SPLK) lost 7 cents a share, topping views as revenue rose 37% to $311.6 million, beating estimates of $298 million. Billings of $288 million decelerated to 18% growth from 44% the previous quarter. Shares of the data analytics software maker fell 5.2% on Friday.Autodesk (ADSK) fell 4.4% after the maker of computer-aided design software reported adjusted Q1 earnings that topped views, with revenue that met expectations, while its July quarter earnings forecast missed estimates. Subscriber growth was below previous quarters. The company is shifting to a cloud computing-based subscription model from licensed software.Synopsys (SNPS) met fiscal Q2 EPS views while revenue edged past views. The maker of electronic design automation software forecast Q3 revenue significantly above the analyst consensus. Shares fell 1% for the week.Veeva Systems (VEEV) on Thursday reported adjusted income of 33 cents per share on $195.5 million in sales, rising a respective 43.5% and 22% vs. the year-earlier period. Both metrics topped the consensus for 30 cents and $189 million, respectively. Veeva guided slightly higher for the current quarter. Veeva closed down 0.2% on Friday.General Electric (GE) stock tanked after CEO John Flannery warned Wednesday that there will be no profit growth at its power business this year. Meanwhile the ailing Dow component will merge its GE Transportation unit with rail equipment giant Wabtec (WAB) in an $11.1 billion deal. GE shareholders will have a majority stake.Shares of Bilibili (BILI) jumped 11% Thursday after the Chinese online entertainment company doubled revenue with strong mobile growth and a sharp drop in net losses in its first earnings report since its late March IPO. Bilibili provides an online entertainment platform, including live video and mobile games. Chinese online classifieds service 58.com (WUBA) beat quarterly views, but shares fell 4.2% Thursday.Pure Storage (PSTG) received several price-target hikes after reporting strong earnings, but the stock tumbled 10% due to in-line guidance. The company makes solid-state storage arrays, using flash chips that offer big performance gains over storage systems using disk drives. Data storage giant NetApp (NTAP) also topped views but guided low. Shares recovered to close higher on Thursday, but still fell 2.8% for the week.Comcast (CMCSA) said it's close to trumping the $50 billion Disney (DIS) bid for the entertainment assets of 21st Century Fox (FOXA). Meanwhile, Fox will pay $1 billion for rights to World Wrestling Entertainment (WWE) TV show ""Smackdown,"" which had aired on the USA Network, owned by Comcast's NBCUniversal. NBCUniversal is expected to renew its rights to WWE's ""Raw."" WWE stock soared. Netflix (NFLX) passed Comcast's market cap and just eclipsed Disney's valuation.Bill Ackman's Pershing Square reportedly acquired a $1 billion stake in home improvement retailer Lowe's (LOW). Ackman is said to support incoming CEO Marvin Ellison, who announced this week that he is leaving J.C. Penney to head Lowe's. Ellison previously worked as a top Home Depot (HD) executive.T.J. Maxx parent TJX (TJX) grew profit 38% to $1.13 a share as revenue rose 12% to $8.69 billion, though guidance came in light. Off-price rival Ross Stores (ROST) also topped forecasts with 35% EPS growth to $1.11 and revenue gains of 9% to $3.59 billion. Same-store sales rose 3%, also beating. But it guided low for the current quarter. TJX stock rose to a record high during the week. Ross Stores fell sharply Friday.Urban Outfitters (URBN) beat Q1 earnings and sales beat analyst expectations. Same-store sales also beat estimates. Gap (GPS) reported Q1 EPS below analyst expectations, but sales beat. Still the retailer reported a steeper-than-expected drop in same-store sales at its namesake stores. Ugg boots maker Deckers Outdoor (DECK) reported Q4 results well above forecasts, but its guidance was mixed. Urban Outfitters was little changed for the week while Gap dived Friday while Deckers hit a record high.Canopy Growth (CGC) on Thursday became the first pure-play marijuana company to list on the New York Stock Exchange. The Canadian pot producer follows rival Cronos (CRON), which listed on the Nasdaq in February.Adobe Systems (ADBE) agreed to buy Magento Commerce for $1.68 billion from Permira Funds and Hillhouse Capital, giving it an e-commerce platform to take on Salesforce.com (CRM) in the enterprise market as well as Shopify (SHOP) for smaller customers.Foot Locker (FL) reported a surprise first-quarter earnings per share gain, the first rise in five quarters. Revenue and same-store sales also topped. Shares of the mall-based athletic shoe retailer, which largely sells Nike gear, soared 20% Friday. Hibbett Sports (HIBB) tumbled nearly 16% Friday as it missed on earnings, sales and comps.Best Buy gapped down on weak profit projections even as it crushed Q1 earnings estimates Thursday with a 37% per share gain.Hewlett-Packard Enterprise (HPE) reported fiscal Q2 earnings and revenue that edged views and forecast July-quarter profit slightly above analyst estimates. But shares swooned over worries about falling server sales, as companies shift to cloud computing, as well as U.S. market-share trends.Celgene (CELG) shares toppled to a four-year low Monday on news that its head of business development, George Golumbeski, quietly exited in mid-April. But the biotech's stock rallied to close slightly higher for the week.YOU MIGHT BE INTERESTED IN:How To Invest In The Stock Market: Start With A Simple RoutineStocks Near Buy Zone Ahead Of Earnings  
"
4,BBY,"The major stock indexes moved sharply lower early Thursday, as President Trump canceled his Singapore summit with North Korean leader Kim Jong Un, and retail stock Best Buy (BBY) triggered a sell signal despite its quarterly earnings beat. Meanwhile, top Chinese stock 58.com (WUBA) slid below its 50-day line after its own earnings release. (For updates on this story and other market coverage, visit Stock Market Today.)XAll three major indexes — the tech-heavy Nasdaq, the S&P 500 and the Dow Jones industrial average — declined about 0.4% apiece.Among companies reporting earnings, Best Buy hit the 7%-8% sell signal from a 78.33 buy point on the stock's 6% slide Thursday. The retailer reported better-than-expected earnings and sales early Thursday.NetApp (NTAP) dipped less than 1% after announcing fiscal-Q4 results late Wednesday. Its fiscal-Q1 earnings outlook was lighter than anticipated. Shares are below their 50-day line but are well-off their intraday lows.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWilliams-Sonoma (WSM) jumped 12%, as the stock moves up the right side of a potential cup-shaped base. Shares are about 2% away from a potential 56.48 buy point. Late Wednesday, the retailer reported strong earnings.After the close, leading computer software stocks Splunk (SPLK) and Veeva Systems (VEEV) will announce their quarterly results. Splunk is expected to report a 9 cent per share loss on revenue of $298 million. Shares are in buy range from a 112.76 buy point after a breakout on May 8. Shares edged 0.5% lower.Consensus estimates show Veeva Systems' EPS of 30 cents on revenues of $189 million — increases of 36% and 20%, respectively. The stock is trading right at a double bottom's 75.67 buy point.Among the top growth stocks, Chinese stock Baozun (BZUN) hit a new high with an over-1% advance. The stock is extended from a 52.43 buy point.On the downside, Charles Schwab (SCHW) fell more than 2%, as the stock fell below a recent 58.21 cup-shaped base buy point. Bullishly, the stock's relative strength line hit a new high on May 9's breakout day. The RS line gauges a stock's performance vs. the broad market.RELATED:These Stocks Are In Or Near Buy Zones Ahead Of Earnings: Investing Action PlanAlibaba Added To Sector Leaders; Who Joined The Other Stock Lists?Trump Cancels Kim Jong Un Summit, Citing North Korea's 'Tremendous Anger'Salesforce Rival With 400% Growth Is Cutting Investors Some 'Slack'Retail And E-Commerce News And Stocks To Watch
"
5,BBY,"Earnings reports from top-rated growth stocks are light in the next few days due to a shortened week of trading, but one solar name is showing relative strength and could be a candidate for a call-option trade ahead of earnings. The good thing about using options around earnings is that your downside risk is always capped by the amount paid…
"
6,BBY,"Consumer electronics retailer Best Buy (BBY) early Tuesday reported better-than-expected fiscal second-quarter sales and earnings and guided analysts higher for the current quarter, but investors cast shares down sharply after the company's chief executive said same-store sales growth probably couldn't be sustained.XBest Buy shares popped more than 5% in premarket trading but gave up those gains and plunged nearly 12% to close at 55.02 on the stock market today. Shares now are well out of buy range and fell below their 50-day moving average. The stock had been up 46% year to date as of Monday's close.Best Buy Chief Executive Hubert Joly cautioned analysts on a conference call that the retailer wouldn't be able to sustain recent sales gains, raising concerns that e-commerce giant Amazon.com (AMZN) could pose a threat to his business.Best Buy reported same-store sales growth of 5.4% in its fiscal second quarter, beating expectations of 2.2%. While Joly said, ""we do not believe that mid-single-digit comps are a new normal,"" positive comps are achievable, he said.""They are going to get perfect quarters like this every now and again,"" Brandon Fletcher, an analyst at Sanford C. Bernstein & Co., told Bloomberg. Best Buy ""will continue to face waves of growth and decline, but its base products — printer ink, headphones, etc. — are not related to product launches and those sales are inexorably moving to Amazon and Wal-Mart (WMT) online.""Richfield, Minn.-based Best Buy earned an adjusted 69 cents a share, up 21% year over year, on sales of $8.94 billion, up 5%, for the quarter ended July 29. Analysts expected 63 cents and $8.66 billion.For the current quarter, Best Buy expects to earn 78 cents a share, up 26%, on sales of $9.35 billion, up 4.5%, based on the midpoint of its guidance. Wall Street was modeling 65 cents and $8.99 billion.Best Buy also raised its sales guidance for the full year. It now expects revenue growth of 4% vs. its previous outlook of 2.5% growth.Best Buy reported strong sales growth in computing, wearables, smart home, mobile phones and appliances.Analysts say Best Buy is gaining business from struggling Sears and bankrupt HH Gregg, particularly in big-box appliances like refrigerators and washing machines.IBD'S TAKE: Best Buy stock has an IBD Composite Rating of 93, meaning it has outperformed 93% of stocks in key metrics over the past 12 months. For more information on Best Buy, visit the IBD Stock Checkup.For its fiscal third quarter, Best Buy expects same-store sales to rise 5%, based on the midpoint of its guidance.""Our higher-than-expected comparable sales of 5.4% were driven by stronger consumer demand for technology products and by the strong execution of our strategy,"" Joly said in a news release.On a conference call with analysts, Best Buy Chief Financial Officer Corie Barry said she expects strong mobile phone sales in the current quarter. She cited the new Samsung Galaxy Note 8 and other new handsets, likely a reference to Apple's (AAPL) iPhone 8.Best Buy's fiscal second-quarter results also got a boost from hot sales of Nintendo's (NTDOY) Switch video game console, Barry said.Best Buy said its domestic online sales rose 31% to $1.1 billion in the July quarter. Online sales accounted for 13.2% of domestic revenue, up from 10.6% in the year-earlier period.RELATED:Meet The Man Best Buy Hired To Take On Amazon
"
7,BBY,"The major market indexes sold off — but were off early lows — in morning trade Tuesday, after North Korea fired a missile over the northern Japanese island of Hokkaido late Monday.The tech-heavy Nasdaq fell back under its 50-day line, but was recovering well off its early morning lows, declining 0.5%. Meanwhile, the S&P 500 and Dow Jones industrial average — which found support at its own 50-day support level — dropped 0.4% and 0.3%, respectively.X Among the Dow industrials, Apple (AAPL) moved down 0.2%, shrugging off the market's weakness. According to reports, the iPhonemaker will hold its new product release on Sept. 12 where the iPhone 8 and Apple TV are expected to be unveiled. Shares are still holding above a 156.75 flat-base buy point.On the downside, Nike (NKE) declined 2.6%. The stock has now given up all of its earnings-related gains. The stock gapped up almost 11% on June 30, breaking out of a flat base in the process. Late Monday, Finish Line (FINL) cut its full-year profit and same-stores sales outlook.Tuesday's flight to safety sent gold prices, and therefore gold mining stocks higher. Leading gold stock Randgold Resources (GOLD) advanced almost 3% higher. The stock is at the top of the 5% buy range from a 98.08 cup-with-handle entry. The stock broke out Monday on heavy volume.Defense contractors were early beneficiaries in the stock market today. Raytheon (RTN) advanced 2% as it broke out above a 181.15 three-weeks-tight add-on entry. The stock remains well extended from a 157.69 flat-base entry.Among companies reporting earnings, Best Buy (BBY) handily beat the Street's Q2 targets, and raised its current-quarter guidance early Tuesday. Despite the good news, the stock dropped declined 10% to fall more than 5% below a 59.79 double-bottom entry. The stock also pierced its 50-day line.Meanwhile, Ollie's Bargain Outlet (OLLI) will report its own Q2 numbers after the close. Shares are hovering just above their 50-day line — but below a 44.18 flat-base entry.Within the IBD 50, TAL Education (TAL) was one of several leading stocks moving higher despite the market's sell-off. The stock rose 2.4% as it tries to recover from last week's near-5% loss.On the downside, Winnebago Industries (WGO) declined 2.5%. The RV maker came within inches of a breakout Monday above a 37.30 cup-with-handle buy point.RELATED:Best Buy Posts Big Q2 Beat-And-Raise ReportDow Jones industrial average And Dow Stocks: News And Analysis5 Chip Stocks Setting Up Bases; Best Buy Due: Investing Action PlanDefense Stocks Rise Again As North Korea Sends Missile Over JapanDefense And Aerospace Stocks To Watch And Industry News
"
8,BBY,"The stock market was its normal, resilient self Tuesday as the Nasdaq composite turned a 0.9% intraday loss into a gain of 0.3% by the close. Even better, the Nasdaq reclaimed its 50-day moving average.Sentiment turned negative quickly late Monday and early Tuesday on news that North Korea fired another missile, this time over Japan, but major stock indexes ended with decent gains.XThe Dow Jones industrial average added 0.3% and the S&P 500 picked up 0.1%. Preliminary data showed volume on the NYSE and Nasdaq coming in about 10% higher than Monday's levels.The bond market saw more buying, sending the 10-year Treasury yield lower by 3 basis points to 2.13%. The yield hasn't been this low since November. The takeaway? If interest rates are indeed headed higher, the bond market isn't buying it.United Technologies (UTX) outperformed in the Dow, rising nearly 3%, on a report that the company is close to consummating a deal with Rockwell Collins (COL) that could be worth north of $20 billion. Shares of Rockwell Collins rose 0.5%Also in the Dow, Nike slumped 2%, hurt by news from Finish Line (FINL). Finish Line shares crashed 18% after the company slashed its full-year profit and same-store sales outlook, citing weakening sales and margin trends. Shares of Foot Locker (FL), Hibbett Sports (HIBB) and Dick's Sporting Goods (DKS) have been lagging badly after reporting weak earnings earlier in the month.In the stock market today, Catalent (CTLT) gapped up on strong earnings, surging 14% to 40.27. The move put the stock near the top of a 5% buy zone from a 38.83 entry. The company provides drug delivery technology and development solutions for biotech and pharmaceutical firms.Gold rallied again but ended well off session highs. SPDR Gold Shares (GLD) hit an intraday high of 125.87, up 0.9%, but ended down 0.2% to 124.42. The highly liquid exchange traded fund is still in buy range from a 123.41 entry, although Tuesday's reversal is not what you want to see so soon after a breakout.Meanwhile, the market's initial response to Best Buy's (BBY) earnings was positive, but enthusiasm was short-lived as shares crashed 12%.Sales at Best Buy rose 5% from the year-ago quarter to $8.94 billion, the best quarterly sales growth in at least five years for the electronics retailer. The company cited strong sales in computing, wearables, smart-home devices, mobile phones and appliances.Best Buy had been holding above a 59.79 double-bottom entry, but the stock fell more than 7% below the buy point, triggering an IBD sell rule that says to cut losses in a stock at 7%-8%.Inside the IBD 50, China-based stocks rebounded after rough sessions Monday. TAL Education (TAL), New Oriental Education (EDU) and Autohome (ATHM) showed gains ranging from 1% to 4%.After the close, watch for earnings from Ollie's Bargain Outlet (OLLI). The stock is still holding above the 50-day moving average, but it's been getting resistance near 45 after a breakout over a 44.17 buy point. Shares fell 1% to 43.30 ahead of the results.RELATED:Best Buy Crushes On Earnings, But CEO Puts A Chill On SharesPalo Alto Networks Expected To Maintain Double-Digit Growth Report: United Technologies In $20 Billion-Plus Deal For Rockwell CollinsOllie's Bargain Outlet Is Just Below A Buy Point With Q2 Earnings Due
"
9,BBY,"Consumer electronics retailer Best Buy (BBY) is likely to benefit from hot sales of the Nintendo (NTDOY) Switch video game console as well as market share gains from weaker rivals when it reports fiscal second-quarter results before the market open on Tuesday.Wall Street expects Best Buy to earn an adjusted 63 cents a share, up 11% year over year, on sales of $8.66 billion, up 1.5%, in the July quarter.For the current quarter, Best Buy's fiscal third quarter, analysts are modeling for earnings per share of 65 cents, up 5%, on sales of $8.99 billion, up 0.5%.Analysts think Best Buy could get a boost from sales of the Nintendo Switch game console, which has been supply-constrained since its March 3 launch, and Sony's (SNE) PlayStation 4 consoles.Best Buy is likely to see strong sales of video game products, led by the Nintendo Switch, as well as Apple (AAPL) products, including iPad tablets and Apple Watch smartwatches, Barclays analyst Matthew McClintock said in a report Monday.Best Buy also is gaining business from struggling Sears and bankrupt HH Gregg, particularly in big-box appliances like refrigerators and washing machines, Wedbush Securities analyst Michael Pachter said in a report Thursday.Analysts will focus on Best Buy's commentary about the upcoming holiday sales period and competition from e-commerce leader Amazon.com (AMZN).IBD'S TAKE: Best Buy stock has an IBD Composite Rating of 92, meaning it has outperformed 92% of stocks in key metrics over the past 12 months. For more information on Best Buy, visit the IBD Stock Checkup.Best Buy shares were up 1% to close at 62.47 on the stock market today.Best Buy stock is up 45% year to date through Friday. It hit a record high of 63.32 on Thursday.RELATED:Meet The Man Best Buy Hired To Take On Amazon
"
