,ticker,content
0,CF,"Stocks remained mixed in late afternoon trading Friday, with tech stocks outperforming on strong earnings from Google (GOOGL).
"
1,CF,"The tech-heavy Nasdaq extended its gains, rising 0.8% and touching a new record high above 5202. The S&P 500 was little changed after paring early losses, while the Dow Jones industrial average was down 0.3% following mixed economic data. Volume was running higher on the NYSE and lower on the Nasdaq compared to Thursday.
"
2,CF,"Google jumped nearly 16% to a new high after the search giant reported that Q2 profit rose 17% to $6.99 a share, beating Wall Street estimates. Sales rose 11% to $17.7 billion. For more, see the following story.
"
3,CF,"ComScore (SCOR), which tracks online audience behavior, rose more than 1% and cleared a 58.32 flat-base buy point. Volume was running below average, however. The company boasts two straight quarters of accelerating earnings growth, including a much better-than-expected 54% gain in the latest quarter. Revenue growth has ranged from 11% to 18% over the past nine quarters.
"
4,CF,"Facebook (FB) led the IBD 50, jumping 4% to a new high. The social media stock has risen out of buying range from an 86.17 flat-base entry that it initially cleared on June 23.
"
5,CF,"Fleetmatics Group (FLTX), another IBD 50 stock, bounced back from early weakness to rise 4% and retake a 48.06 buy point from a cup-with-handle base that it initially cleared Tuesday. Volume was heavy. The Irish software maker will report earnings Aug. 6. Profit is expected to rise 44% to 26 cents a share.
"
6,CF,"Amazon.com (AMZN) rose 1% to a new high in heavy volume. The online retailer is 6% past a 452.75 buy point of a flat base, just out of buy range.
"
7,CF,"Meanwhile, CF Industries (CF), the biggest U.S. producer of nitrogen fertilizers, soared 8% on a Wall Street Journal report that it's in merger talks with Dutch rival OCI. CF retook a 62.77 buy point of a cup-with-handle base and is now 8% above the entry, out of buying range.Stocks remained mixed in late afternoon trading Friday, with tech stocks outperforming on strong earnings from Google (GOOGL).The tech-heavy Nasdaq extended its gains, rising 0.8% and touching a new record high above 5202. The S&P 500 was little changed after paring early losses, while the Dow Jones industrial average was down 0.3% following mixed economic data. Volume was running higher on the NYSE and lower on the Nasdaq compared to Thursday.Google jumped nearly 16% to a new high after the search giant reported that Q2 profit rose 17% to $6.99 a share, beating Wall Street estimates. Sales rose 11% to $17.7 billion. For more, see the following story.ComScore (SCOR), which tracks online audience behavior, rose more than 1% and cleared a 58.32 flat-base buy point. Volume was running below average, however. The company boasts two straight quarters of accelerating earnings growth, including a much better-than-expected 54% gain in the latest quarter. Revenue growth has ranged from 11% to 18% over the past nine quarters.Facebook (FB) led the IBD 50, jumping 4% to a new high. The social media stock has risen out of buying range from an 86.17 flat-base entry that it initially cleared on June 23.Fleetmatics Group (FLTX), another IBD 50 stock, bounced back from early weakness to rise 4% and retake a 48.06 buy point from a cup-with-handle base that it initially cleared Tuesday. Volume was heavy. The Irish software maker will report earnings Aug. 6. Profit is expected to rise 44% to 26 cents a share.Amazon.com (AMZN) rose 1% to a new high in heavy volume. The online retailer is 6% past a 452.75 buy point of a flat base, just out of buy range.Meanwhile, CF Industries (CF), the biggest U.S. producer of nitrogen fertilizers, soared 8% on a Wall Street Journal report that it's in merger talks with Dutch rival OCI. CF retook a 62.77 buy point of a cup-with-handle base and is now 8% above the entry, out of buying range.
"
8,CF,"The FDA on Thursday afternoon approved Vertex Pharmaceuticals' (VRTX) potential blockbuster cystic-fibrosis drug Orkambi, which the company priced at $259,000 per year, on the high side of investors' expectations.
"
9,CF,"The agency gave the nod to Orkambi, a combination of ivacaftor (which Vertex markets separately as Kalydeco) and lumacaftor, a booster that makes the drug effective in treating a much larger population than ivacaftor alone.
"
