,ticker,content
0,CHTR,"Merger-and-acquisition activity in the U.S. has been robust so far this year — the most in value since 2007 — thanks to a couple of huge deals in the works, including Charter Communications' $78.4 billion bid for Time Warner Cable and other transactions in media, technology and health care. From Jan. 1 to May 29, M&A activity reached $750.2 billion…
"
1,CHTR,"Charter Communications (CHTR) is close to a deal to buy larger Time Warner Cable (TWC) for $195 a share, according to multiple reports, after the Comcast (CMCSA)-TWC takeover failed due to regulatory opposition.Charter, the No. 3 U.S. cable operator, will pay $100 a share in cash and the rest in stock, for each share of No. 2 TWC, Bloomberg reported on Monday, citing sources. The Financial Times and Reuters later filed similar reports.Both Bloomberg and FT said Charter would also buy Bright House, a smaller cable operator. Charter had a deal for Bright House earlier this year, but that agreement hinged on No. 1 Comcast buying Time Warner Cable.Time Warner Cable stock rose 3.4% to 171.18 on Friday, hitting a record 172.21 intraday. The stock rose 9.4% for the week amid growing speculation that Charter on French telecom Altice would make an offer.Charter closed Friday down 1.9% to 175.33, the lowest close in three months. Charter had sought to buy TWC last year, but was thwarted by Comcast.Charter's top shareholder is John Malone's Liberty Broadband (LBRDA).Separately, Cablevision (CVC) shares leapt 22.3% last week to their highest levels in nearly four years. But it's unclear if Cablevision is really a buyout target.Follow Ed Carson on Twitter: @IBD_ECarson.
"
2,CHTR,"Best Mutual Funds 2015: May Performance Report
"
3,CHTR,"Corporate takeovers were the theme for May, boosting mutual funds holding these stocks and testifying to resilience in the U.S. economy, even as mixed economic data trickled in.
"
4,CHTR,"The parade of pairings includedCharter (CHTR) and Time Warner (TWC), Avago (AVGO) and Broadcom (BRCM), Ascena (ASNA) and Ann (ANN), CVS (CVS) and Omnicare (OCR), Verizon (VZ) and AOL (AOL), and Danaher (DHR) and Pall (PLL).
"
5,CHTR,"""M&A activity continues to support the U.S. stock market,"" Russ Koesterich, BlackRock's global chief investment strategist, wrote May 26. The deals allow companies to expand into new markets, as well as gain efficiencies and earnings leverage.
"
6,CHTR,"And they came despite — or perhaps because of — sluggish manufacturing activity in May and an economy that shrank in the first quarter. In fact, weak data paradoxically boosted stocks because it ""alleviated concerns over an aggressive Federal Reserve rate-hiking regime,"" Koesterich added.
"
7,CHTR,"U.S. diversified equity funds rose 1.3% on average in May, according to Lipper Inc. General domestic taxable bond funds fell 0.42%.
"
8,CHTR,"Growth funds across the market-cap spectrum continued to notch the biggest gains. Small-cap growth funds beat last month, advancing 2.8% on average. That took their year-to-date gains to 6.2%. Midcap growth funds rallied 2% and 6.8% in the same periods.
"
9,CHTR,"Value funds are catching up, posting tidy gains in May but lagging year to date.
"
10,CHTR,"Sector-focused mutual funds holding health and biotech stocks proved stellar again. They trumped every other domestic fund category, soaring 7.5% in May and 16.2% in 2015 as of month-end.
"
11,CHTR,"Strong Health Care Earnings
"
12,CHTR,"Health care companies showed strong first-quarter earnings growth — 21.4% overall, topping all 10 S&P sectors. Stocks such as IBD Sector Leaders Actavis (ACT) and Illumina (ILMN) are profiting from robust demand for innovative drugs and testing equipment, as well as acquisitions of smaller companies to streamline or diversify operations.
"
13,CHTR,"As interest rates stay lower for longer, mutual fund investors are seeking out income-producing equities. Utility and telecom funds eked out 0.2% and 0.5% gains last month. Year to date, they're laggards.
"
14,CHTR,"Koesterich advises income investors to focus on dividend growth funds. ""Many sectors offering high yields, such as utilities, are expensive and the most vulnerable to a rise in rates,"" he said. ""Instead, yield-hungry investors should look for technology, financials, health care and select energy companies offering rising dividends.""
"
15,CHTR,"The price of gold ended May roughly 1% higher at 1191.40. But a stronger dollar weighed upon bullion as the month wore on. Mutual funds investing in precious metal commodities managed to turn in a 1% gain on average over the course of last month. Virtually every other commodity fund — from ag-based to energy-focused — saw losses.
"
16,CHTR,"Precious metal equities funds — such as those holding mining stocks — gave up 1.6% in May. They're more influenced by operational conditions, not just the underlying metal's price.
"
17,CHTR,"Modest Gains Abroad
"
18,CHTR,"In a reversal from the previous month, investors who turned to foreign markets for successful investing pegged slight declines.
"
19,CHTR,"Still, several international regions managed to beat the ""sell in May"" naysayers, including rallying India, Japan and Europe. But China stock mutual funds fell 0.2% vs. their 14.2% outsize gains in April.
"
20,CHTR,"Year to date, China region funds still lead their international peers with a 21.6% surge. But they were hurt in May by stock market news of shrinking factory activity and weak export growth.
"
21,CHTR,"Overall, world equity funds dropped 0.5% in May vs. their 4.3% gain the previous month.
"
22,CHTR,"""International markets have done pretty well year to date,"" said Matthew Dobbs, head of global small companies at Schroder Investment Management, ""so it's not entirely surprising to see a bit of a reversion back.""
"
23,CHTR,"Dobbs manages part of the $2.8 billion Vanguard International Explorer Fund , which rose 0.9% in May and is up 12% in 2015. It invests 23.3% of assets in Japan, its biggest single-country allocation.
"
24,CHTR,"Japanese mutual funds rose 1.7% in May. They're up 16.5% this year.
"
25,CHTR,"Large caps in Japan powered that performance, said Dobbs. The falling yen gave these companies, which tend to have sizable exposure to foreign earnings, a boost.
"
26,CHTR,"VINEX also assigns 58.4% of assets to continental Europe and the U.K. European funds rallied 0.5% last month. Year to date, they're up 9.5%. Massive stimulus measures have kick-started markets there.
"
