,ticker,content
0,CL,"Federal Agric Mtg Cl C (AGM) saw its IBD SmartSelect Composite Rating jump to 96 Monday, up from 94 the day before. X The upgrade means the stock is now outpacing 96% of all other stocks in terms of key performance metrics and technical strength. The best stocks tend to have a 95 or better grade as they kick off a significant move so be sure to keep that in mind when looking for the best stocks to buy and watch. Federal Agric Mtg Cl C is trading within the buy zone from an 83.07 entry from a flat base. Be aware that it's a thinly traded stock, with average daily dollar volume under $8 million. Less liquid stocks are more prone to volatile action since it takes fewer shares bought or sold to move the share price. Looking For The Best Stocks To Buy And Watch? Start HereOne weak spot is the company's 78 EPS Rating, which tracks quarterly and annual earnings-per-share growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn Q4, the company reported 34% EPS growth. Sales growth fell to 13%, down from 30% in the prior quarter. Federal Agric Mtg Cl C holds the No. 2 rank among its peers in the Finance-Mortgage & Related Services industry group. LendingTree (TREE) is the top-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
1,CL,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength.One stock that fits that bill is Worldpay (WP), which had its Relative Strength (RS) Rating upgraded from 79 to 82 Thursday.X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks compares to all the other stocks in our database.Over 100 years of market history shows that the market's biggest winners typically have an RS Rating of over 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksWhile Worldpay is not near a proper buy zone right now, see if it goes on to form and break out from a proper consolidation.Worldpay posted 19% EPS growth in the latest quarterly report. Revenue increased -8%. Keep an eye out for the company's next round of numbers on or around Aug. 9.The company holds the No. 12 rank among its peers in the Finance-Card/Payment Processing industry group. Mastercard (MA), WEX (WEX) and Green Dot (GDOT) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,CL,"IBD 50 and Sector Leaders member Facebook (FB) is in a potential buy range as it gets ready to report earnings on Jul. 25.It's trading approximately 5% above a 195.42 buy point from a first-stage consolidation.X Understand that jumping into a stock right as it gets ready to report means you likely won't have enough time to build a profit cushion before the release. That leaves you exposed to a sudden downturn if the company falls short of analyst and investor expectations. You can reduce your exposure by waiting to see the actual numbers and the market's reaction. You can also use an options strategy to limit your potential downside.See How IBD Helps You Make More Money In StocksEarnings growth dropped last quarter from 83% to 63%. But revenue gains moved higher, from 47% to 49%.Consensus analyst estimates call for EPS growth of 30% for the quarter, and 26% growth for the full year. Earnings estimates for the full year were recently revised upward.The company has a 99 Composite Rating and holds the No. 1 rank among its peers in the Internet-Content industry group. Grubhub (GRUB) and Twitter (TWTR) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around EarningsFANG Stocks News: Facebook, Amazon, Netflix, Google
"
3,CL,"Visa (V) saw an improvement in its IBD SmartSelect Composite Rating Wednesday, from 94 to 97.X The new score tells you the company is now outperforming 97% of all stocks in terms of the most important fundamental and technical stock-picking criteria. The top-performing stocks tend to have a 95 or better grade as they begin to launch a significant move so be sure to keep that in mind when looking for the best stocks to buy and watch.Visa is now out of buy range after breaking out from a 125.54 buy point in a flat base.See How IBD Helps You Make More Money In Stocks The stock earns a 93 EPS Rating, which means its recent quarterly and annual earnings growth tops 93% of all stocks.Its Accumulation/Distribution Rating of C- shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn Q2, the company reported 29% earnings growth. That means it's now delivered two straight quarters of rising EPS gains. Top line growth climbed 13%, up from 9% in the prior quarter. That marks one quarter of increasing revenue increases. The company's next quarterly report is expected on or around Jul. 20.Visa earns the No. 4 rank among its peers in the Finance-Card/Payment Processing industry group. Mastercard (MA) is the No. 1-ranked stock within the group.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
4,CL,"The IBD SmartSelect Composite Rating for RingCentral (RNG) increased from 94 to 96 Monday.X The upgrade means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. History shows the top market performers tend to have a 95 or higher score as they launch their major climbs.RingCentral is currently forming a consolidation, with an 81.30 entry. See if the stock can break out in volume at least 40% above average. Keep in mind that it's a later-stage base, and such bases are more prone to failure.Looking For The Best Stocks To Buy And Watch? Start Here One weak spot is the company's 75 EPS Rating, which tracks quarterly and annual earnings growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks.Its Accumulation/Distribution Rating of C- shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn Q1, the company posted 78% earnings growth. Revenue was flat, matching the prior report's 34%.RingCentral holds the No. 10 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), ServiceNow (NOW) and Upland Software (UPLD) are among the top 5 highly-rated stocks within the group.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
5,CL,"Trade wars are a lose-lose proposition. Neither the U.S. economy, Europe's economy nor China's economy is likely to benefit.Yet, there's another angle to President Trump's trade war with China. Many U.S. businesses have been in a quiet trade war with China for years.Credit-card companies, such as Mastercard (MA), would love to have full access to China's gigantic consumer market. But China's foot-dragging resistance has made access difficult.In its latest 10-K report, Mastercard noted that in 2017, China's central bank issued ""more guidance and clarity in addition to the 2016 regulations on license application and operational requirements for network operators."" Piling guidance on guidance has been the stall tactic for years.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe World Trade Organization ruled in July 2012 that China established a monopoly when it made Shanghai's UnionPay the country's sole domestic payment processor.In 2015, China finally agreed to heed the WTO ruling. Yet implementation has been slow.About a year ago, Reuters reported that Mastercard and other major credit cards were preparing to submit license requests to operate in China. Reuters said the regulatory hurdles in China could take two more years to clear.What does all this mean to stock market investors? So far, very little.If China eventually opens its credit-card markets in full, the opportunity would be tremendous for Mastercard (and its major rival Visa (V)).Meanwhile, investors should take the short-term view. Judge the stock on what Mastercard is earning now, not what might happen later.Last year, Mastercard grew earnings 24%, its best annual performance in six years. The Street expects earnings to leap 39%, which would be its best gain in 10 years.Mastercard's stock chart looks promising. The stock cleared a 183.83 buy point in a flat-base pattern in May. Now the stock is consolidating above its 10-week line.In the meantime, Trump has characterized the trade game with China as a sucker's game, with the U.S. being the suckers. Consider this: As the major payment processors have struggled to get full access to China's market, China's UnionPay has expanded its reach to 162 countries.Regardless of what an investor thinks of Trump, he's nailed China's stance for what it is: Free trade for me but not for thee.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:ObamaCare Just Exploded: What It MeansThe IPO Marijuana StockWhy A Failed Breakout Isn't Always A FailureIBD Stock Of The DayThe Latest Inside Investor's Corner
"
6,CL,"The price target on Facebook stock was raised 36% by a Wall Street analyst Thursday, who said the success of Instagram has enabled the company to defend against the fallout from its data-privacy scandal.XBTIG analyst Richard Greenfield raised his price target on Facebook (FB) to 275 from 175, with a buy rating.""Instagram has become an absolute monster in terms of user growth and engagement,"" he wrote in a research note to clients.Shares of Facebook closed at 198.45, up 3%, on the stock market today.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseUsers of Instagram, the photo and video-sharing app for mobile devices, recently surpassed 1 billion. Greenberg also said the monetization of Instagram is still in the early innings.He raised his revenue estimate on Facebook for 2018 to $57.3 billion, from $51 billion. That's up 41% from the prior year. He said the growth trajectory from advertising ""remains exciting.""Continuing probes into Facebook and Chief Executive Mark Zuckerberg over the Cambridge Analytica data scandal aren't deterring Greenberg. As reports of the data-privacy breach grew, Facebook stock dropped 23% in one month, starting in early February.Facebook stock has since rebounded about 31% thanks in part to Zuckerberg's long apology tour due to the data scandal.The political consultant Cambridge Analytica had wrongfully accessed personal data from 87 million Facebook users — data that was used in the 2016 presidential election.""While regulators and the press have had a field day attacking Facebook's behavior, we continue to believe consumers simply could not care less,"" he wrote. ""They love Facebook and all of its key services.""Facebook has steadily monetized Instagram with ads. The company does not break out Instagram revenue but analysts see it as a core revenue driver.Despite its troubles, Facebook hasn't slowed its consistent pace of double-digit growth in revenue and earnings. Facebook's first-quarter revenue jumped 49% from the year-ago period to $11.96 billion, along with 63% growth in earnings per share.RELATED:As Facebook Fixes Data-Breach Scandal, Investor Optimism RisesMark Zuckerberg, The Facebook Data Breach And The Dark Side Of Social MediaFacebook's Zuckerberg Admits Big Mistake, Apologizes For ScandalFacebook Rejects Claims In New York Times Story About User Data Abuse
"
7,CL,"The IBD SmartSelect Composite Rating for Visa (V) increased from 94 to 98 Friday.X The upgrade means the stock is now outpacing 98% of all other stocks in terms of key performance metrics and technical strength. The market's biggest winners often have a 95 or higher score in the early stages of a new price run, so that's an important benchmark to look for when looking for the best stocks to buy and watch.Visa is now out of buy range after clearing the 125.54 entry in a flat base.Looking For Winning Stocks? Try This Simple Routine The stock earns a 93 EPS Rating, meaning its recent quarterly and annual earnings growth is outpacing 93% of all stocks.Its Accumulation/Distribution Rating of D- shows moderate selling by institutional investors over the last 13 weeks. Look for the rating to improve to at least a C or better.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company posted a 29% increase in earnings for Q2. It has now posted accelerating EPS gains for two consecutive quarters. Revenue growth climbed 13%, up from 9% in the prior quarter. That marks one quarter of rising revenue gains.Visa holds the No. 4 rank among its peers in the Finance-Card/Payment Processing industry group. Mastercard (MA) is the No. 1-ranked stock within the group.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
8,CL,"Even though it's been pummeled many times for its role in exposing private data on millions of people, Facebook stock remains a favorite with investors.XShares of the social media giant closed at 203.23, up 2.4% on the stock market today. Facebook stock hit all-time high of 203.55 on June 20.Facebook (FB) came under scrutiny in early February after it was revealed that political consultant Cambridge Analytica had wrongfully accessed personal data from 87 million Facebook users. Hackers allegedly used the data in the 2016 presidential election. It also led to Chief Executive Mark Zuckerberg facing 10 hours of congressional testimony over two days.As reports of the data-privacy breach grew, Facebook stock dropped 23% in one month, starting in early February. Facebook stock has since rebounded about 36% thanks in part to Mark Zuckerberg's long apology tour.Despite its troubles, Facebook continues its consistent pace of double-digit growth in revenue and earnings. In reports, analysts often point to the success of Instagram, Facebook's photo and video-sharing app with more than 1 billion users.BTIG analyst Richard Greenfield on Thursday raised his price target on Facebook stock to 275 from 175, with a buy rating.""Instagram has become an absolute monster in terms of user growth and engagement,"" he wrote in a research note to clients.Facebook has steadily monetized Instagram with ads. The company does not break out Instagram revenue but analysts see it as a core revenue driver.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:As Facebook Fixes Data-Breach Scandal, Investor Optimism RisesMark Zuckerberg, The Facebook Data Breach And The Dark Side Of Social MediaFacebook's Zuckerberg Admits Big Mistake, Apologizes For ScandalFacebook Rejects Claims In New York Times Story About User Data Abuse
"
9,CL,"What's the No. 1 skill employees are lacking? Effective communication, according to a recent LinkedIn survey.""The ancient art of persuasion is no longer a soft skill. It's your competitive edge in the age of automation and artificial intelligence,"" said Carmine Gallo, author of ""Five Stars: The Communication Secrets to Get from Good to Great."" Gallo is also president of Gallo Communications Group, a keynote speaker and Harvard instructor.Tips on reaching people:Keep it basic. Great persuaders use simple words to explain complex ideas, Gallo says.He points to co-founders of a fast-growing startup in the health insurance space, who Gallo interviewed for his book. ""They decided to write all of their material using third-grade words. Most of your customers don't understand your subject as well as you do. Use simple words to sell your ideas.""Spin yarns. Humans are hard-wired for storytelling, Gallo says. ""Stories inform, educate and inspire,"" he said. ""Stories are the single best tool we have to transport our ideas to another person.""Richard Branson, the billionaire Virgin-brand founder, told Gallo that storytelling can be used to drive change. Do that with your customers and within your organization by ""seeing yourself as the chief storytelling officer for your brand or department,"" Gallo said.Great storytellers have an unfair advantage. But you can learn to tell good stories.Tell personal stories of overcoming hurdles. Share customer case studies. Inform about your company's history. Storytelling is ""an unfair advantage that you can use to stand out in a sea of average,"" Gallo said.Refresh presentations. Stick to a 10-minute rule, Gallo says. Studies show that most people tune out of a lecture or presentation after 10 minutes.""After the 10-minute mark, you must re-engage your audience with stories, videos or demonstrations to maintain their interest,"" Gallo said. ""Above all, make sure you hit the most important points in the first 10 minutes.""Be genuine. Honesty is always the best policy, because people will know where they stand. And they will have been provided a direction to improve.That's from Sandy Brown, commissioner of Major League Lacrosse, the premier professional outdoor lacrosse league.Acknowledge people. Offer a pat on the back for a job well done. ""A little encouragement goes a long way,"" Brown said.Be polite. No matter the subject matter of an email, always end with ""many thanks,"" Brown said. Extend an olive branch even in the most difficult emails. And ""for those emails that are even the most mundane, it shows that you care,"" Brown added.It's also his policy to return emails within 24 hours, or better yet within the same day. ""This says a lot about your dependability,"" he said.Be present. FaceTime is a useful tool. But actual interaction is still crucial.""Moreover, these opportunities do not always happen organically — sometimes you have to create the chance to get in the same room with your important constituents,"" said Scott Ferguson, CEO of World Trade Centers Association, a trade group.Take initiative. Check in with employees across the organization. ""Empathize with their concerns and jointly problem solve,"" said Tim Chen, CEO of NerdWallet, a personal finance website and app.""Not only does this approach help leaders recognize the root cause of organizational issues, it also makes employees part of the resolution process,"" he said.Master metaphors. Business magnate and investor Warren Buffett of Berkshire Hathaway (BRKA) can hardly get through an interview without using them and analogies to explain his investing decisions, Gallo points out.""The human brain thinks in analogy,"" Gallo continued. ""We process our world by comparing something new to something we've seen before. A great persuader understands this and will use metaphors and analogies to make the abstract understandable.""
"
