,ticker,content
0,CME,"Signs of institutional buying were apparent in the market Friday when the Nasdaq and S&P 500 scored big percentage gains in higher volume, but it wasn't so apparent Monday despite another solid up session.At the close, the Dow Jones industrial average rose 1.9%, the S&P 500 added 1.8% and the Nasdaq rallied 1.6%. Preliminary data showed NYSE and Nasdaq volume coming in lower than Friday's levels in the stock market today.Inside the Nasdaq, Micron (MU), Netflix (NFLX) and Cisco Systems (CSCO) were among the top percentage gainers. Netflix reclaimed its 50-day moving average Monday, rising about 5% in average volume.So why is the market in such a good mood all of a sudden? Well, the market is still focused on the Fed, and the odds of a rate hike have fallen precipitously in recent days. According to CME Group FedWatch, the odds of a hike at the October meeting (Oct 27-28) are 7%.The next catalyst for the market will be earnings season. Most companies just closed their books on the third quarter and reports will start rolling in later this month.Advancing stocks trounced decliners on the NYSE by more than 7-to-1. The ratio was smaller on the Nasdaq, at just over 3-to-1. The 10-year Treasury yield shot up 7 points to 2.06%.Oil and gas-related groups outperformed as oil prices rose. At the New York Mercantile Exchange, oil added 72 cents, 1.6%, to $46.26 a barrel. There's growing talk that China will take more action to stimulate its economy.Monday's session served up some chart breakouts. Autobytel (ABTL) cleared a 19.66 double-bottom entry, rising nearly 6%; Epam Systems (EPAM) cleared a cup-with-handle buy point of 75.93, rising about 4% and HDFC Bank (HDB) poked above a 63.23 buy point. Shares picked up 3%.On the downside, drugmaker Valeant (VRX) fell another 10%. It's lost about 25% of its value over the past eight sessions ever since short-selling firm Citron Research made negative comments about the company regarding price gouging.On Tuesday, watch for earnings from Pepsico (PEP) and Yum Brands (YUM).Follow Ken Shreve on Twitter: @IBD_KShreve and on Facebook.
"
1,CME,"Regular readers of this column know that selling a stock, even one with juicy dividends, can be the best defense in a bad market. Yet it's normal for a dividend-hungry investor to want to hold for the long haul. That frame of mind is perfectly fine — so long as the general health of the stock is solid. So solid…
"
2,CME,"Stock indexes withered Thursday after the Federal Reserve decided to keep interest rates unchanged. The Nasdaq was up almost 0.4% a minute before the announcement, rallied more than 1% soon after it, and reversed to close with an 0.1% gain. The S&P 500 reversed to an 0.3% loss. The IBD 50 advanced 0.6%. Volume rose across the board after being…
"
3,CME,"Major averages rose to session highs Wednesday afternoon after a lackluster start. The S&P 500 rose 0.8%; the Dow Jones industrial average added 0.7% and the Nasdaq gained 0.5%. NYSE and Nasdaq volume levels were tracking higher than Tuesday's levels, and more so on the NYSE in the stock market today.
"
4,CME,"General Electric (GE), Chevron (CVX) and Exxon Mobil (XOM) outperformed in the Dow.
"
5,CME,"The latter two were helped by higher oil prices. Crude oil futures jumped $2.54, or 5.7%, to $47.13 a barrel. Earlier today, the Energy Information Administration said crude supplies fell by 2.1 million barrels last week. On Tuesday, the American Petroleum Institute said supplies fell by 3.1 million barrels.
"
6,CME,"Biotechs and homebuilders were weak even as builder confidence reached its highest level in nearly a decade, according to the National Association of Home Builders/Wells Fargo housing market index. But stocks such as LGI Homes (LGIH), D.R. Horton (DHI) and Lennar (LEN) are not showing sell signals.
"
7,CME,"Among the day's movers, Fitbit (FIT) jumped 9%, one day after Pacific Crest started coverage of the firm with an overweight rating and a 47 price target.
"
8,CME,"Molson Coors Brewing (TAP) was the top percentage gainer in the S&P 500, rising nearly 13% on news that Anheuser-Busch InBev (BUD) has approached U.K.-listed SABMiller about a takeover.
"
9,CME,"The Fed's decision on interest rates is due Thursday afternoon. Amid a delicate global outlook, an increasing number of economists expect a rate hike, although futures traders are still skeptical. According to CME Group FedWatch, futures traders put the odds of a rate hike at 23%.Major averages rose to session highs Wednesday afternoon after a lackluster start. The S&P 500 rose 0.8%; the Dow Jones industrial average added 0.7% and the Nasdaq gained 0.5%. NYSE and Nasdaq volume levels were tracking higher than Tuesday's levels, and more so on the NYSE in the stock market today.General Electric (GE), Chevron (CVX) and Exxon Mobil (XOM) outperformed in the Dow.The latter two were helped by higher oil prices. Crude oil futures jumped $2.54, or 5.7%, to $47.13 a barrel. Earlier today, the Energy Information Administration said crude supplies fell by 2.1 million barrels last week. On Tuesday, the American Petroleum Institute said supplies fell by 3.1 million barrels.Biotechs and homebuilders were weak even as builder confidence reached its highest level in nearly a decade, according to the National Association of Home Builders/Wells Fargo housing market index. But stocks such as LGI Homes (LGIH), D.R. Horton (DHI) and Lennar (LEN) are not showing sell signals.Among the day's movers, Fitbit (FIT) jumped 9%, one day after Pacific Crest started coverage of the firm with an overweight rating and a 47 price target.Molson Coors Brewing (TAP) was the top percentage gainer in the S&P 500, rising nearly 13% on news that Anheuser-Busch InBev (BUD) has approached U.K.-listed SABMiller about a takeover.The Fed's decision on interest rates is due Thursday afternoon. Amid a delicate global outlook, an increasing number of economists expect a rate hike, although futures traders are still skeptical. According to CME Group FedWatch, futures traders put the odds of a rate hike at 23%.
"
