,ticker,content
0,CNC,"Insurers and managed care providers, including UnitedHealth Group (UNH), merely shrugged after the GOP House late Monday announced its plan to replace ObamaCare, which could leave millions uninsured. UnitedHealth shares have edged lower less than 0.1% from its Monday closing price. The stock remains in buy range from a 164.10 flat-base entry first cleared Feb. 15. The eight-week base was…
"
1,CNC,"The Department of Justice joined a whistleblower suit accusing UnitedHealth (UNH), a member of the Dow Jones industrial average, of overcharging Medicare by at least hundreds of millions of dollars. It's the latest case in which the DOJ has taken a harder line vs. the nation's health insurance giants.""We reject these more than five-year-old claims and will contest them vigorously,"" UnitedHealth spokesman Matthew Burns said in a statement Thursday.UnitedHealth fell 3.7% to 157.62 on the stock market today, a drag on the Dow industrials. UnitedHealth undercut its 50-day moving average after attempting a breakout earlier in the week.The lawsuit, filed in 2011 by former UnitedHealth executive Benjamin Poehling, was unsealed Thursday. It claims UnitedHealth overstated how sick its Medicare Advantage members were, according to the law firm Constantine Cannon.IBD'S TAKE: UnitedHealth is ranked No. 2 in IBD's Medical-Managed Care group. See which health insurer is No. 1 and how both stack up vs. objective fundamental and technical criteria, at IBD Stock Checkup.Poehling accused 15 companies, including Humana (HUM), Aetna (AET), WellCare Group (WCG), Health Net and others. The DOJ decided to join allegations vs. UnitedHealth and vs. Texas-based WellMed Medical Management, which UnitedHealth bought in 2011.Aetna fell 3.3%. The stock was briefly halted in the afternoon for Aetna to announce an additional $4 billion buyback and doubling its quarterly dividend to 50 cents a share.Humana lost 2% and WellCare 2.6%. Centene (CNC), which has acquired Health Net, skidded 3.5%.Aetna and Humana recently broke off their merger agreement after a federal judge sided with the DOJ's claims that the deal would unduly limit competition. Another federal judge blocked an Anthem (ANTM) merger with Cigna (CI), with those two insurers divided over their next course of action.RELATED:UnitedHealth, The Amazon Of Health Care, Isn't Sweating Trump
"
2,CNC,"George Soros took stakes in Facebook (FB) and Dow component Goldman Sachs (GS) in the fourth quarter, while Appaloosa cut its stake in Apple (AAPL), and both followed Warren Buffett's Berkshire Hathaway (BKRB) in appearing to find a bargain in airlines. Here's a look at how some big investors managed their portfolios in the last quarter of last year.Soros Fund Management bought 353,686 shares in Facebook and bulked up its stake in Alphabet (GOOGL) by nearly 60% to 20,200 shares, according to a regulatory filing out late Tuesday. Soros also increased his T-Mobile (TMUS) stake to 685,700 shares.Soros bought 62,100 shares in Goldman Sachs. Dan Loeb's Third Point last week disclosed that it had scooped up shares of Goldman, Bank of America (BAC) and JPMorgan Chase (JPM).Bank stocks have risen on greater expectations of lighter regulations, higher interest rates and greater volatility, which Goldman's trading desk could benefit from in particular.Soros also took a 40,000-share stake in Delta Air Lines (DAL), but dropped United Airlines (UAL).Shares of Apple ended regular trading up 0.4% to 135.51 on the stock market today, after hitting a record high yesterday. Facebook fell 0.3% to 133.44, while Goldman Sachs rose 0.4% to 250.54. Delta climbed 2.6% to 51.17, American rose 2.1% to 47.54, and United gained 2.7% to 75.75.IBD'S TAKE: Even as big investors flocked to the airlines last year, Cowen analysts last month said shares of airlines could be ""due for a break"" after taking off in Q4. Meanwhile, Soros dropped Activision Blizzard (ATVI), Herbalife (HLF), Harley Davidson (HOG), PepsiCo (PEP) and JCPenney (JCP). He also dissolved his stake in Nordstrom (JWN)Soros also offloaded his position in consumer-care products giant Procter & Gamble (PG), which got a lift Tuesday after activist investor Trian took a more than $3 billion stake in the company.Hedge fund Appaloosa Management increased its stake in Facebook by 47% to 2.2 million shares. The fund also upped its holdings in Qualcomm (QCOM) and more than doubled its stake in Southwest (LUV). Appaloosa also took a 160,000-share stake in United Airlines.The fund loaded up on the health sector, taking new stakes in companies like Bristol-Myers Squibb (BMY), Centene (CNC), McKesson (MCK) and Pfizer (PFE). It also took a new stake in JCPenney.Appaloosa cut its position in Apple by 350,000 shares, slashed its stake in Yahoo (YHOO) and rid itself of Bank of America and General Motors (GM).Along with boosting its stake in Apple, David Einhorn's Greenlight Capital dissolved its stake in Take-Two Interactive (TTWO), U.S. Steel (X) and Michael Kors (KORS).Like Buffett, Greenlight also took a stake in Monsanto (MON).But the moves by Soros and Appaloosa into airlines are notable in that they could signal other big investors are following Buffett, who announced Q3 stakes in the sector last year.Buffett, after years of avoiding the airlines, has come around to the industry. Airlines last year showed more signs of discipline, and the wave of consolidation over the past several years has kept the major airlines relatively insulated from new competition.""When we launched on the sector late last year, we found most investors generally in agreement that airlines represented deep value,"" Barclays analyst Brandon Oglenski wrote in a research note dated Tuesday.""The biggest question remains: when will the market and, more importantly, large long-term investors begin to care? We think tonight's Berkshire Hathaway 13F will go a long way to attract sector interest.""RELATED:Airline Stocks Tumble On Fears Capacity May Creep Back UpDelta, American, United Go Guns Blazing Into Battle Of The AtlanticJPMorgan Sets Fresh High, Goldman Hits Highest Since 2007 On Yellen
"
3,CNC,"Perhaps no group carries more weight in the health care debate than the American Medical Association, and on Wednesday the physicians group put a big hurdle in front of the Republican plan to quickly repeal ObamaCare and figure out how to replace it later.The doctor's group demanded in a letter that the GOP offer a detailed plan that can be compared to existing law before any vote to repeal large parts of the Affordable Care Act. Further, the AMA called it ""essential that gains in the number of Americans with health insurance coverage be maintained.""While it's not clear whether the Republican-led Congress and President-elect Donald Trump will slow down and detail their ObamaCare replacement plan or charge ahead with a repeal vote as soon as February, some of the stocks that have fared the worst since the election showed signs of life on Wednesday.Members of IBD's Medical-Hospitals group, which had been ranked No. 196 out of 197 based on recent stock-price performance, were big winners Wednesday. Tenet Healthcare (THC) jumped 8.8% to 16.75 on the stock market today, while HCA Holdings (HCA) climbed 3.6% to 77.13.Centene (CNC) and Molina Healthcare (MOH), two beaten-down insurers with major exposure to ObamaCare's exchange business and Medicaid expansion, also rallied. Centene rose 3.3% to 60.25, while Molina perked up 3.6% to 55.52.UnitedHealth (UNH) and Aetna (AET), which have already exited most of the ObamaCare exchange markets where they were doing business, saw more modest gains, rising 0.3% and 0.9%, respectively.IBD'S TAKE: Read why UnitedHealth is fast becoming the Amazon.com of health care and why it isn't sweating forthcoming policy changes under Donald Trump.Republicans have made clear that they plan to use a procedure known as reconciliation that requires only majority support in the Senate to quickly repeal critical parts of ObamaCare, but keep the law operating for a few years as they design, pass and implement a replacement. Vice President-elect Mike Pence promised an ""orderly transition"" from ObamaCare, with House Speaker Paul Ryan stressing that a priority will be maintaining patient care.Trump, in a Twitter post Wednesday, cautioned Republicans ""to be careful"" about repeal. While Trump has insisted he'll replace the health law with something ""terrific,"" since his election he has hinted that he might keep various provisions.In the letter to leaders of both parties in Congress, the AMA wrote, ""before any action is taken through reconciliation or other means that would potentially alter coverage, policymakers should lay out for the American people, in reasonable detail, what will replace current policies.""The doctor's group added: ""Patients and other stakeholders should be able to clearly compare current policy to new proposals so they can make informed decisions about whether it represents a step forward in the ongoing process of health reform.""The AMA came out in support of Trump's nomination of Rep. Tom Price, a physician, to lead the Department of Health and Human Services. Price has been a leading advocate of ObamaCare repeal and has laid out his own plan. So it comes as something of a surprise that the AMA now appears to be a significant obstacle to repeal of ObamaCare.The group's support was seen as critical before passage of the 2010 health law officially known as the Patient Protection and Affordable Care Act. Wednesday's letter clarified its current stance: ""We continue to embrace the primary goal of that law — to make high quality, affordable health care coverage accessible to all Americans. We also recognize that the ACA is imperfect and there a number of issues that need to be addressed. As such, we welcome proposals, consistent with the policies of our House of Delegates, to make coverage more affordable, provide greater choice, and increase the number of those insured.""The AMA's directive that GOP plans don't reduce the number of insured is consistent with what Speaker Ryan and Trump advisor Kellyanne Conway have pledged. Yet, the trick will be to offer detailed policies that achieve and pay for those goals without a divisive intraparty battle.RELATED:The Only Way For TrumpCare To Be 'Terrific'Trump, GOP Face Huge 'Now What?' ObamaCare Moment
"
4,CNC,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. Earnings season gets underway, with Delta Air Lines (DAL), JPMorgan Chase (JPM), Bank of America (BAC) and Wells Fargo (WFC) among the biggest names due. The year's biggest events for the automotive sector and for health stocks begin, while the Senate is…
"
5,CNC,"Millions of people who will start shopping for ObamaCare plans next week will have one question in mind: How much is the cheapest plan for avoiding an individual mandate penalty?For the vast majority, that means the cheapest bronze-level plan. The next question they'll consider, taking into account the deductible that will rise as high as $7,150 in 2017, is whether they would be better off paying a penalty.An IBD review of 2017 rates, in one major metro area in each of the 38 states using HealthCare.gov, reveals where bronze-plan costs — even after subsidies — will make the mandate penalty, which doesn't come due until tax season in 2018, look relatively attractive.The accompanying chart lists the after-subsidy cost of the cheapest bronze plan for a 30-year-old earning 257% of the poverty level, or about $30,500. Topping the chart, young adults earning $30,500 in Chicago would have to pay $2,435 for the cheapest exchange plan — more than triple the mandate penalty — which is offered by Cigna (CI) and carries a $6,650 deductible.What are the chances that a young adult, especially one who is cash-constrained, will pay 8% of their income for a bronze plan that may be of little use? Pretty slim, though some may live to regret going uncovered.A lot of commentary about ObamaCare from both left and right has argued that the individual mandate penalty, now $695 and set to gradually rise with the cost of living, is too small, and that's why young adults have been shunning the exchanges. Yet that argument makes little sense because $695 is a lot for a young person with modest-to-moderate income to basically throw away, and it's hard to conceive of Congress ever asking them to pay more. The real problem is that bronze plans are far too expensive for the expected value that they provide — even with subsidies.Other cities where the cheapest exchange plan will be more than triple the ObamaCare penalty in 2017 include Indianapolis ($2,328); Little Rock, Ark. ($2,282); Miami ($2,251); Columbia, S.C., ($2,243); Atlanta ($2,229); Jackson, Miss., ($2,180); and Huntington, W.Va., ($2,101).It's no coincidence that 6 of the 10 markets with the most expensive after-subsidy bronze plans all have the same carrier selling the cheapest silver-level plan: Ambetter, a unit of Centene (CNC). Centene has set itself apart as the most aggressive insurer in terms of pricing silver plans, but its relatively low silver-plan premiums come with a couple of catches. Centene's lowest-cost silver plan has a bronze-like deductible as high as $7,050 in a number of these markets. Further, because the silver plans are nearly as cheap as bronze plans, there's less of a subsidy available to reduce the cost of bronze.IBD'S TAKE: Shares of Anthem and Centene are being dogged by concerns that they'll get more ObamaCare exchange customers, while shares of UnitedHealth, which is exiting most exchanges, are sitting near a buy point after trouncing earnings estimates.Consider that Romneycare, the Massachusetts health reform that paved the way for ObamaCare, limited after-subsidy premiums — for zero-deductible policies — to twice the size of its mandate penalty. But in 2017, individuals earning just over 250% of the poverty level can buy the cheapest bronze plan for no more than twice the cost of the mandate penalty in only 6 of 38 major HealthCare.gov markets examined by IBD.In fact, the U.S. average for the cheapest bronze plan will be $1,820, or 262% of the mandate fine.It's worth remembering how the White House sold the individual mandate to begin with. ""What we're talking about is a penalty for the few people who will refuse to buy health insurance — even though they can afford it — and who expect the rest of us to pick up the tab for their care,"" said a September 2009 White House defense of the individual mandate.The reality is that about 8 million people paid ObamaCare individual mandate penalties during the latest tax season, including a few million working-class households. That's not, generally, because they're being irresponsible, but rather because they understandably see the plans as a bad, perhaps untenable, financial deal. And don't forget about full-time, low-wage workers who get the worst deal from ObamaCare: They may be subject to ObamaCare penalties even though they aren't eligible for its subsidies if their employer offers bronze-type coverage that costs no more than 9.66% of income.
"
6,CNC,"The Obama administration's worst-case scenario for 2016 ObamaCare exchange enrollment now looks too optimistic.Third-quarter earnings reports from Aetna (AET) and UnitedHealth (UNH) showed that their combined exchange enrollment totals fell by 113,000 to 1.6 million from the end of June through September, a decline of 6.6%.These two big insurers account for nearly one in six exchange enrollees, and UnitedHealth has tended to see less net enrollment attrition than others, possibly because midyear enrollees tend to be sicker and prefer its broader networks.Bottom line: These enrollment declines provide a strong indication that national enrollment has fallen from an official 10.5 million total as of June 30 to less than 10 million — likely around 9.8 million — at the end of September.On top of that, the fourth quarter appears headed toward big enrollment declines as it has in the past, as people take advantage of the law's 90-day grace period that leaves insurers on the hook even after customers stop paying their premiums. IBD'S TAKE: Shares of Anthem (ATHM) and Centene (CNC) are being dogged by concerns they'll get more unhealthy ObamaCare exchange customers, while shares of UnitedHealth, which is exiting most exchanges, are sitting near a buy point after trouncing earnings estimates.In last year's fourth quarter, enrollment fell by about 530,000, or 5.7%, to 8.8 million.Taken together, it now looks like the Obama administration's worst-case scenario of 9.4 million enrollees at year's end has become the best outcome possible. But the trend from UnitedHealth and Aetna, along with last year's fourth-quarter slide, point to a year-end level of 9.25 million enrollees.If that turns out to be true, that would fall well short of the Department of Health and Human Services prediction from last October when it dropped some jaws on how negative 2016 enrollment would be. Despite the ramping up of the individual mandate penalty in 2016 to a minimum of $695 per adult from $325 in 2015, HHS predicted that enrollment would rise only slightly, offering a range of 9.4 million to 11.4 million enrollees at the end of 2016.While the Obama administration set out the lowest of bars for claiming success, it now looks likely to come up short even by its own generous measure.Do You Use An Online Broker? Now's the chance to tell how well your needs are met. IBD's annual investor survey on brokers' performance is underway. Click to take the survey now. The news that premiums will spike in 2017 — ObamaCare's cheapest plans will cost 28% more — most of the commentary has focused on people with middle-class incomes that earn too much to qualify for subsidies.The Obama administration and the law's defenders emphasize, in rebuttal, that most exchange shoppers are eligible for subsidies. Yet poor enrollment even among those who qualify for subsidies, even though millions will be subject to ObamaCare's individual mandate fine, offers powerful evidence that exchange plans offer a bad deal.Here's why Obama is wrong about ObamaCare: Even among those with working-class incomes at 150% to 250% of the poverty level, lacking insurance from other sources and who were supposed to be big beneficiaries of ObamaCare, two in three are either uninsured or seriously underinsured, an IBD analysis finds.RELATED:Aetna Tops Profit Views Amid Wider ObamaCare LossUnitedHealth Stock Surges Close To Buy Point On Earnings, GuidanceObamaCare Subsidies To Explode As Cheapest Bronze-Plan Costs Surge 28%ObamaCare's Individual Mandate Bites Hardest In These Cities
"
7,CNC,"Window shopping for 2017 ObamaCare plans has just opened on HealthCare.gov, and an IBD analysis of next year's deductibles and premiums — both before subsidies and after — reveals some surprising findings.Overall, the cheapest bronze-plan premium will spike by an average 28.2% before subsidies, based on a review of prices in the biggest market in each of the 38 states utilizing the federal government website. That follows a 12.7% rise in 2016. For a 30-year old, a bronze premium will rise to $272 per month from $212 this year,Six markets will see increases of more than 50%, including Nashville, Tenn. (54%); Columbia, S.C. (54%); Charlotte, N.C. (55%); Chicago (65%); Oklahoma City (80%) and Phoenix (177%).The huge premium hikes will be a shock for middle-class households that earn too much to qualify for ObamaCare subsidies restricted to those earning up to 400% of the poverty level ($47,520 for a single person). But for those who get subsidies, the premium hikes look like much ado about exactly nothing.IBD's analysis looked at how subsidies would change for individuals earning 257% of the poverty level, or $30,539. Here is the shock: Subsidies are set to explode by 99%, to an average $121 per month vs. $61 this year. Once the bigger subsidies are factored in, the average cost of a bronze plan will be $152 per month — exactly the same as in 2016.IBD'S TAKE: Shares of Anthem and Centene are being dogged by concerns that they'll get more ObamaCare exchange customers, while shares of UnitedHealth, which is exiting most exchanges, are sitting at a buy point after trouncing earnings estimates.President Obama last week called for subsidies for the middle class who are excluded from the law's help. Yet IBD explained why Obama's ObamaCare prescription misses the law's most fundamental problem: Two in three people who earning a working-class income from 150% to 250% of the poverty level remain either uninsured or woefully underinsured.Even consumers who are eligible for subsidies and don't face a premium increase may find other reasons to be unhappy about the new offerings at HealthCare.gov. Plan choice is down dramatically as UnitedHealth (UNH), Aetna (AET) and Humana (HUM) exited most exchanges where they are doing business this year, and many nonprofit co-ops went out of business. Even if people can get a plan at the same after-subsidy cost, it may force them to change doctors.UnitedHealth lost 0.5% to 144.69 on the stock market today. Aetna gained 0.7% to 112.02 while Humana ticked up 0.2% to 176.27.The average deductible for the cheapest bronze plan in each of these 38 markets will rise to $6,358, up 5% from $6,045 this year. But that's nothing compared to the rise in deductibles among the cheapest silver plan, which will jump 18% to $4,261 from $3,613 in 2016. That jump is no small part due to the impact of Ambetter plans from Centene (CNC), which carry silver-plan deductibles of up to $7,050. Although the plans do offer some predeductible benefits, most big-ticket items aren't covered until the deductible is exhausted.Centene was up 1.5% to 63.05.The cheapest silver plan is set to rise 25%, IBD finds, to $322 a month from $258 this year. Taking into account the subsidy increase, the cheapest silver plan will cost an average $202, up 2.3% from $197.There are lots of reasons that ObamaCare is poorly designed to attract relatively young and healthy enrollees, even with a mandate penalty for those who go uninsured. A huge increase in subsidies to offset soaring premiums isn't going to make ObamaCare popular all of a sudden, but it may keep most exchanges from entering a death spiral.RELATED:Why Obama Is Wrong About ObamaCare, In One Chart ObamaCare Is Ill But Hasn't Entered Death SpiralNew ObamaCare Shock: $7,050 Silver-Plan Deductible
"
8,CNC,"ObamaCare exchange enrollment has tumbled from 12.7 million people who signed up for plans as of early February to 10.5 million at the end of June, the Department of Health and Human Services said on Wednesday.Even worse, an early snapshot of third-quarter enrollment on Tuesday from UnitedHealth (UNH) -- which saw its exchange enrollment slide by 50,000, or 6%, to 770,000 from June to September — suggests that national enrollment has fallen to 10 million, perhaps lower.The fact that the big drop in enrollment in the first half of the year even exceeds the attrition rate seen in the first half of 2015 should be a major concern, given that the cost of going uninsured jumped in 2016 with the ramping up of ObamaCare's individual mandate penalty to a minimum of $695, from $325 last year. This year, about 8 million people paid ObamaCare's penalty for going without coverage. When so many millions of people see the available plans as either unaffordable or such a bad deal that they're willing to risk paying a fine, ObamaCare's mounting problems should only serve to intensify questions about the wisdom and fairness of the individual mandate.What is more, the Obama administration is only expecting modestly better enrollment in 2017. The official estimate released Wednesday predicts 13.8 million people will select plans during the open enrollment period, with paid monthly enrollment averaging 11.4 million. Still, that's better than some outside analysts expect. Goldman Sachs predicted recently that enrollment could drop by 20% from 2016 levels amid surging premiums and the exit of major carriers including UnitedHealth, Aetna (AET) and Humana (HUM) from most of the exchanges where they do business this year.Other research analysts have warned investors that companies like Anthem (ANTH) and Centene (CNC) could take a profit hit in 2017 as they capture some of the enrollment from exiting players. JPMorgan Chase downgraded shares of Anthem to neutral from overweight this week, citing the company's exposure to the ObamaCare risk pool due to averse selection, as higher prices lead healthier customers to drop coverage.Political opponents of ObamaCare have hailed its run of really bad news, including some jaw-dropping rate hikes, as evidence that the exchanges are close to blowing up. The irony, though, is that the spike in premiums may help to temporarily stabilize the exchanges.IBD'S TAKE: While UnitedHealth and other insurers are reducing their exposure to ObamaCare, here's why the sector faces increased political risk as cost growth ramps up again. Here are three reasons why the near-term outlook for the exchanges may not be as disastrous as many critics expect, even though everyone should be against the status quo in which ObamaCare is failing far too many millions of Americans who could really use a better deal.Few insurance markets are more expensive than New York for young adults because the state is alone in imposing a 1:1 age rating on individual market insurers, meaning that 24-year-olds pay just as much as 64-year-olds. In most states before ObamaCare, insurers could charge a 64-year-old five times as much as a young adult. Some ObamaCare critics have blamed the law's age-rating restriction, allowing insurers to charge older adults only three times as much as a young adult, for the exchanges' failure to attract a younger, healthier risk pool.Yet New York is so expensive that subsidies actually make ObamaCare coverage relatively inexpensive — at least bronze-level coverage. Take the cost of a bronze plan this year for a 30-year-old earning about $32,500. For a full year, the bronze plan costs $3,577 in Albany, N.Y., but just $2,459 in Miami — before any subsidy. But a young adult at that income level gets no subsidy in Florida, even as the New Yorker gets a subsidy of $1,836, according to the Kaiser Family Foundation health insurance marketplace calculator. Bottom line: The individual in Albany saves $60 a month vs. the one in Miami.BlueCross BlueShield of North Carolina is boosting its ObamaCare premiums by 24.3% in 2017. That's higher than its original request of an 18.8% increase, which the insurer revised after UnitedHealth's exit from the market. But the bad news may turn out to be good news for many of its customers. Because of the way ObamaCare subsidies work, 72% of its customers will pay either the same or less than they're paying this year, the company explained.Those who don't qualify for subsidies because they earn more than 400% of the poverty level may get badly hurt by the coming premium hikes. That seems unfair because there is no income cap for getting tax-subsidized health insurance through one's employer. Still, about 85% of exchange customers get subsidies, and the Obama administration explained recently that 2.5 million of 6.9 million off-exchange customers have incomes low enough to qualify for subsidies. Many may be in the same situation as the young adult in the Miami example: unsubsidized because of the way age and income interact in ObamaCare's subsidy formula.Yet many people who get little or nothing in the way of subsidies this year may find that they qualify for substantially more in 2017. That's not to say that higher premiums and bigger subsidies will fix ObamaCare — they won't.  Many will qualify for bigger subsidies for policies that they still don't want. There's little doubt that the subsidy structure and coverage rules are failing a majority of those with income above about 175% of the poverty level — including millions of full-time workers who are ineligible for subsidies if their employer offers coverage that costs them close to 10% of income.With the increasing likelihood that Hillary Clinton will be the next president and she'll have to work with a Republican House of Representatives, there's a strong chance that the individual and employer mandates will be repealed in order to pave the way for the next chapter of health reform.While the ObamaCare exchanges are good for the near-poor and those with pre-existing conditions who qualify for big subsidies, there's little doubt that the subsidy structure and coverage rules are failing a majority of those with income above about 175% of the poverty level — including millions of full-time workers who are ineligible for subsidies if their employer offers coverage that costs them close to 10% of income.Here's one data point that drives home one of ObamaCare's biggest and most important failures. Back in 2013, the Obama administration set a first-year target of 2.7 million enrollees age 18 to 34 — and enrollment was expected to keep ramping up in a big way in subsequent years — but the best evidence suggests that young adult enrollment is currently south of that first-year goal, likely around 2.5 million.That inference is pretty clear because young adults made up just under 28% of signups in 2016, but the paid ObamaCare insurance pool gets older as the year progresses. Among the 5.6 million people who renewed their HealthCare.gov coverage this year (out of 6.3 million who held policies at year-end), just 1.35 million, or 24%, were age 18 to 34.RELATED:ObamaCare Individual Mandate Fine Hit 8 Million People This Year ObamaCare Mandates Are Dead — Even If Hillary Wins 
"
9,CNC,"UnitedHealth (UNH), the nation's largest insurer, sailed past third-quarter earnings estimates Tuesday, raised its 2016 earnings forecast, and indicated that it would likely boost 2017 guidance next month.Earnings per share climbed 23% to $2.17 vs. the expected $2.08, due to a drop in medical costs as a share of premiums and strong growth in its Optum health services unit, which has seen revenue growth of 34% year to date. Overall revenue rose 12% from a year ago to $46.3 billion, topping estimates of $46.09 billion.The company said it now expects to earn $8 per share for the full year, up from the prior guidance range of $7.80-$7.95 and above consensus estimates for $7.90. And CEO Stephen Hemsley also said 2017 earnings could top consensus views if 2016 ends on a strong note.UnitedHealth shares surged 6.9% to close at 143.39 on the stock market today, nearing a 144.58 buy point.Aetna (AET) rose 2.7%, Humana (HUM) added 2%, Anthem (ANTM) rallied 4.1%, Centene (CNC) rose 2.8, and Molina Healthcare (MOH) gapped up 3.1%.IBD'S TAKE: While UnitedHealth and other insurers are reducing their exposure to ObamaCare, here's why the sector faces increased political risk as cost growth ramps up again. UnitedHealth stock has outperformed its peers and is the No. 1 stock in IBD's Medical-Managed Care group. Generally, investors will maximize their chances for success by focusing on leading stocks in top-tier industry groups.Still, UnitedHealth's earnings reflect a company that is much more than an insurer. It also has a leading position in the pharmacy benefit management industry, as well as a provider of population health and revenue management technology services. And UnitedHealth's Optum unit is building walk-in clinics in 75 markets.The sum of its businesses is greater than the parts, allowing it to deliver better health at a lower cost, UnitedHealth management says, and so far its results are proving its value.The earnings release offered no update about the impact of the ObamaCare exchange business on the bottom line because things didn't get any worse. Previously, the company said it expects ObamaCare-compliant policies to be an $850 million drag on earnings this year. But with UnitedHealth set to exit all but three of the 34 state exchanges where it's doing business at year-end, 2017 earnings will get an automatic boost.Aetna and Humana also are scaling back their ObamaCare footprint in 2017 and may get an earnings lift as a result. On the other hand, Anthem, Centene and Molina Healthcare are likely to see their ObamaCare business grow, which some analysts think may be a negative for earnings.In the earnings-call question-and-answer portion, UnitedHealth management said that its ObamaCare exchange enrollment slipped from 870,000 at the end of June to 820,000 at the end of September. If exchange enrollment attrition was similar among other carriers, total exchange enrollment is likely around the 10 million mark, down from 12.7 million signups in February. UnitedHealth also has an additional 110,000 off-exchange members in ObamaCare-compliant products.The company said it will ""lean into"" subsidized markets that are working better, noting new Medicaid contract wins in Virginia and Missouri and the rollout of a new nationwide product for the Medicare prescription-drug market, though one analyst noted that some states are cutting Medicaid reimbursements.""Our growth indicators are positive as we conclude 2016, and we expect to be well-positioned in 2017 to better serve consumers and deliver more value to the health system overall,"" CEO Hemsley said in a statement.RELATED:UnitedHealth Profits To Jump As It Exits ObamaCare ObamaCare Medicaid Costs Rocket 49% Above Estimates  
"
