,ticker,content
0,COG,"A reversal of fortune Thursday morning left stocks battling losses near midday. A session that opened on an up note saw the Nasdaq dive 1.2% in strong trade before noon. The S&P 500 dropped 0.6%. The Dow Jones industrial average held to a 0.2% loss, as Pfizer (PFE), IBM (IBM) and General Electric (GE) all leaned toward a 1% gain.…
"
1,COG,"Stocks opened lower Tuesday as the major indexes digested recent gains. The Nasdaq fell 0.5%. On Monday, the tech-heavy index hit its highest levels since Oct. 2, 2000. The S&P 500 continued to cool off from Friday's record high, losing 0.5%. It slightly breached the 1700 level. Meanwhile, the Dow Jones industrial average lost 0.6%. Volume was tracking sharply higher…
"
2,COG,"In 2003, just after the second in a series of massive spikes in natural gas prices shut down portions of the U.S. power grid and rattled the economy, Federal Reserve Chairman Alan Greenspan explained that the country's ability to produce natural gas wasn't nearly sufficient to meet its needs. At the time, he was right. But within five years, the…
"
3,COG,"Stocks seesawed to close flat Monday, digesting gains from the prior four weeks. The Nasdaq eased 0.1% after hitting its highest levels since October 2000. The S&P 500 touched a fresh all-time high, but it also ended down 0.1%. Small caps showed modest strength Monday, as the Russell 2000 mustered a 0.2% gain. Stocks had been up modestly early in…
"
4,COG,"Stocks continued their assault on fresh highs Thursday as several strong earnings reports propelled the market higher. The Nasdaq finished 17 points from its April 11 intraday high of 3,306.95. Tech stocks outperformed again, with the Nasdaq up 0.6%. The S&P 500 added 0.4% and the Dow Jones industrial average lagged with a 0.2% gain. Preliminary data showed NYSE and…
"
5,COG,"The stock market closed mixed Friday after indexes bounced back from an early slump. The Nasdaq rose 0.2% thanks to strength in biotechs, security software and solar stocks.The S&P; 500 fell 0.1%. The Dow Jones industrial average lagged with a 0.3% drop and closed near session lows.Small caps paced the market: The small-cap Russell 2000 climbed 0.6%. Volume rose on the NYSE and edged lower on the Nasdaq, according to early figures.After a serious decline the prior day, Friday's price reversals were encouraging. Yet the market remained locked in a long sideways trend.Stocks sank at the open as a better-than-expected jobs report for May triggered a slide in bond prices.Energy stocks rose after OPEC left its output targets unchanged, as expected. Solar shares jumped after China-based JA Solar 's (JASO) chief executive offered to buy the company and take it private.Financials also helped lead the stock market today. Bank of America (BAC) rose more than 2% and closed back near a 24.88 buy point. JPMorgan (JPM) rose 2% and hit a new high. Thinly traded BofI Holdings (BOFI) rose 2% and topped the 97.78 buy point of a long cup-with-handle base.It was a strong day for the IBD 50, with the average component up about 1.3%. Volume was just average or light for most of the 50 stocks, though.
"
6,COG,"Stocks gave up early gains despite dollar weakness and strong gains in the energy sector. The Nasdaq dipped 0.3%. The Down Jones industrial average and the S&P 500 each backed off 0.2%. Trading volume was soft, down 10% on the Nasdaq and 40% lower on the NYSE, vs. trading at the same time Friday. Bank of America (BAC) led the…
"
7,COG,"Let's talk politics for a few minutes. As in winning the White House after two dismal showings by the Republican Party.
"
8,COG,"The Chicago Democrat, who still sneaks smokes when no one's looking, is president again in large part thanks to Republican errors. 
"
9,COG,"He has no business occasionally occupying the Oval Office, corroding trust in American institutions, violating all laws of fiscal sanity, talking through his hat, monitoring Americans. He had to spend nearly a billion dollars of other peoples' money last year to get millions fewer votes than he did the first time.
"
10,COG,"Here's a news flash for Republicans: As Obama whispered to Russia's president last year, 2012 was his last election. He ain't running again. In 2016, Democrats will nominate the tired old face of Hillary Clinton. Start creating an achievement record for that struggle.
"
11,COG,"Yes, she was a nominee lock in 2008 too. But back in those days she was just a former first lady and ineffective senator. She's added to her resume since then as the most global-galavanting secretary of State in history, largely free of the acrid political rancor Obama was stoking in D.C.. 
"
12,COG,"And, more importantly, this time Clinton's opposition will be the even more tired face of Joe Biden, the gaffey guy who publicly admitted in 2008 that she would be a better VP. Barring some major development, nomination lock Hillary.
"
13,COG,"And Washington Republicans are doing just about everything they possibly can right now to ensure that Bill Clinton, the impeached Philanderer-in-Chief, will become the nation's first First Man. That takes some kind of political skill. And stupidity.
"
14,COG,"Witness Tuesday's big-news House vote on abortion. A 228-196 'victory' to ban abortions nationally after 20 weeks of pregnancy. Woo-Hoo. High-fives in the cloakroom. We be pure.
"
15,COG,"Of course, that bill is going nowhere. Everyone knows that. It's like hitting it over the fence in batting practice. The Democrat Senate won't even consider it. Obama promised a veto.
"
16,COG,"Simply put, that House vote could not possibly mean less. To go on the record? Seriously? Is there one sentient American on either side unaware of decades of Republican opposition to abortion? 
"
17,COG,"No one here doubts the sincerity or morality of its supporters or sponsor, Arizona's five-term Rep. Trent Franks. Family man. Two kids. Epic abortion opponent. In the state legislature, his tie-tack even depicted baby feet.
"
18,COG,"They say the measure was aimed at preventing another Kermit Gosnell case. But the awful deeds of the Philadelphia late-term abortionist were already illegal. Hence, the prison terms. Another law would somehow fail to not stop it better?
"
19,COG,"First of all, Americans are sick of a legislator-president. 
"
