,ticker,content
0,COP,"ConocoPhillips (COP) saw its IBD SmartSelect Composite Rating rise to 96 Thursday, up from 93 the day before. X The upgrade means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. The market's biggest winners often have a 95 or higher rating in the early stages of a new price run, so that's an important benchmark to look for when looking for the best stocks to buy and watch. ConocoPhillips is now out of buy range after clearing the 61.41 entry in a cup without handle. Looking For Winning Stocks? Try This Simple RoutineOne weak spot is the company's 77 EPS Rating, which tracks quarterly and annual earnings-per-share growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn Q1, the company reported 786% earnings growth. That marks seven straight quarters of rising EPS growth. Top line growth came in at 15%, down from 20% in the previous quarter. ConocoPhillips holds the No. 2 rank among its peers in the Oil & Gas-International Exploration & Production industry group. Occidental Petroleum (OXY) is the No. 1-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
1,COP,"ConocoPhillips (COP) saw an improvement in its IBD SmartSelect Composite Rating Thursday, from 93 to 96. X The new rating is a sign the stock is outpacing 96% of all stocks when it comes to the most important stock-picking criteria. ConocoPhillips is trading within a buy range from a 61.41 entry from a cup without handle. Looking For Winning Stocks? Try This Simple RoutineOne weak spot is the company's 79 EPS Rating, which tracks quarterly and annual earnings growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company posted a 273% increase in earnings for Q4. That marks six straight quarters of rising EPS growth. Top line growth increased 20%, up from 10% in the prior quarter. That marks one quarter of rising revenue growth. The company's next quarterly report is expected on or around May. 2.ConocoPhillips earns the No. 1 rank among its peers in the Oil & Gas-International Exploration & Production industry group. Occidental Petroleum (OXY) and Repsol (REPYY) are also among the group's highest-rated stocks.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
2,COP,"On Monday, ConocoPhillips (COP) reached a noteworthy performance benchmark, with its Relative Strength (RS) Rating rising into the 80-plus percentile with an improvement to 85, up from 80 the day before. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.This exclusive rating from Investor's Business Daily identifies share price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks compares to all the other stocks in our database. Decades of market research shows that the top-performing stocks often have an 80 or higher RS Rating in the early stages of their moves.Looking For The Best Stocks To Buy And Watch? Start HereConocoPhillips is building a consolidation with a 61.41 buy point. See if the stock can break out in volume at least 40% higher than normal. Earnings grew 273% last quarter, up from 0% in the prior report. Revenue also increased, from 10% to 20%. ConocoPhillips holds the No. 1 rank among its peers in the Oil & Gas-International Exploration & Production industry group. CNOOC  (CEO) and Repsol (REPYY) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,COP,"A man with a long-standing beef against the Annapolis, Maryland, newspaper Capital Gazette entered the paper's headquarters with a shotgun and murdered five staffers. It represents the deadliest attack on U.S. reporters in modern history.Before learning about the suspect's mental issues and his long-standing feud with the newspaper, some in the media blamed President Donald Trump. After all, critics said, Trump routinely denounces ""fake news"" as an existential threat to our republic. Connect the dots, they said. Blame Trump! CNN aired a montage of Trump's attacks on the media. Rob Cox, a Reuters editor, tweeted: ""This is what happens when @RealDonaldTrump calls journalists the enemy of the people. Blood is on your hands, Mr. President."" Another reporter, who later resigned, even falsely tweeted that the shooter was wearing a MAGA cap. How do you get that wrong?How dare the President call out the anti-Republican media for its decades of biased reporting? Pew Research, in 2013, found that only 7% of reporters called themselves Republican. How dare Trump attack The New York Times, which has not endorsed a Republican presidential candidate since 1956? How dare Trump go after The Washington Post, which has never endorsed a Republican presidential candidate. And how dare Trump refer to CNN — one of whose ""news"" anchors, Don Lemon, has called Trump ""a racist"" — as fake news.Did the media hold President Barack Obama responsible for the murders of 10 cops in Dallas, Baton Rouge and New York City, all at the hands of black men apparently incited by their belief that cops murder blacks without consequence? After all, Obama frequently criticized the police and bemoaned America's racism as ""part of our DNA.""President Obama's anti-cop rhetoric started right after he took office. Obama's friend, a black Harvard professor, was arrested in his home. Professor Henry Louis Gates, back from a trip, couldn't open his front door and reportedly asked his driver to help. A neighbor, observing two people trying to force open the front door of Gates' home, called 911. But when the cops arrived and asked Gates to exit the home so he could determine its ownership, Gates mouthed off and was briefly arrested. Obama said, ""The Cambridge police acted stupidly."" The Cambridge Police Superior Officers Association and the Cambridge Police commissioner insisted the officer followed protocol. Obama's statement infuriated officers all across the country and set up a template for the Obama administration: Cops engage in unlawful anti-black racial profiling.Obama and his attorney general also offered verbal support to the so-called Black Lives Matter movement that argues, without facts, that blacks are regularly and illegally profiled by an institutionally, systemically and structurally ""racist"" criminal justice system. It did not help that during the first six years of the Obama administration, the anti-police incendiary Rev. Al Sharpton, according to The Washington Post, visited the White House 72 times. What kind of message did that send to the police?Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWhen a Sanford, Florida, neighborhood watch captain, George Zimmerman, shot and killed a black 17-year-old named Trayvon Martin, President Obama promptly sided with the deceased teen, saying, ""If I had a son, he'd look like Trayvon."" A jury found Zimmerman not guilty, and one juror later said that during the deliberations, race never came up.Then there's Ferguson. A grim President Obama, at an address before the United Nations, said: ""In a summer marked by instability in the Middle East and Eastern Europe, I know the world also took notice of the small American city of Ferguson, Missouri — where a young man was killed, and a community was divided. So yes, we have our own racial and ethnic tensions.""But the Ferguson grand jury did not indict the officer who shot and killed Michael Brown, and a Department of Justice report exonerated the cop. Contrary to the lies told by his friend who witnessed the shooting, Michael Brown did not have his hands up when the officer shot and killed him. Brown, did not say, ""Hands up. Don't shoot."" Yet before the investigation even began, Obama's BFF, Sharpton, took to the streets of Ferguson yelling, ""No justice, no peace.""The DOJ's investigation of Ferguson's nearly all-white police department criticized its alleged ""institutional racism."" But its actual findings do not support that conclusion. Ferguson, the investigation noted, is 67% black, but 85% of its traffic stops involve black drivers. To the DOJ, this 18-point statistical imbalance equals systemic racism. But in New York City, where the department consists mostly officers of color, 55% of traffic stops involve a black driver in a city with a 25% black population. This is a 30-point statistical imbalance. Wouldn't this make the NYPD even more ""institutionally racist"" than the Ferguson PD?Trump, say the media, has created an atmosphere that puts reporters in danger. Obama often unfairly criticized the police. But the media did not blame Obama for the murder of officers by angry black men consumed with the wrongheaded belief that blacks are victimized by the ""institutional racism"" of the criminal justice system.More Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
4,COP,"Energy stocks were among the day's top performers in the stock market today, even as the price of oil reversed lower. After advancing as much as 1.6% — and topping $75 a barrel — crude oil prices turned lower midday. Five stocks within the Oil & Gas International Exploration & Production industry are trading near potential buy points, including ConocoPhillips (COP).XOil prices climbed early Tuesday due to supply worries out of Libya and Canada, but then reversed lower after Saudi Arabia affirmed the country's willingness to boost production to maintain stability.The Oil & Gas-International Exploration & Production industry is ranked No. 56 out of 197 industry groups.ConocoPhillips is etching a flat base with a 71.81 buy point, according to MarketSmith chart analysis. Shares came within striking distance of the buy point early Tuesday, rising as much as 4.2% before trimming gains to 2% in midday trade. Analysts expect the Houston-based company's earnings to grow 566% in 2018.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOccidental Petroleum (OXY) is pulling back to the 50-day line after a big breakout above a 78.19 cup-shaped base entry. Shares are trading about 7% above the entry.Occidental boasts a 98 out of a highest-possible 99 IBD Composite Rating. The rating is a blend of key fundamental and technical metrics designed to gauge a stock's measure of quality.New York-based Hess (HES) is just below a flat base's 65.99 buy point. Shares broke out on June 27 and the stock's relative strength line hit a new high to confirm the strength of the breakout.Murphy Oil (MUR) is in the 5% buy range from a cup with handle's 32.87 entry. The buy zone tops out at 34.51.Apache (APA) is near a 44.86 buy point in a cup with handle. Shares are just above the buy point.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Crude Tops $75, And These 5 Oil Stocks Are Moving Toward Buy PointsEnergy Stocks And Industry News: Oil, Gas, Solar, CoalFed Minutes, ADP Jobs Report, Crude Oil Inventories: Investing Action Plan
"
5,COP,"Cactus (WHD) is the IBD Stock Of The Day, but the oil stock has been whipsawed since Monday's breakout.The IPO Leader tumbled intraday to 32.61 soon after the open in Tuesday's stock market trading on a late Monday announcement to sell 10 million shares in a follow-on offering. The stock rebounded from its 50-day moving average, briefly turning positive before tumbling 5.3% to 33.71 at the close.Houston-based Cactus stock broke out Monday from a short cup-with handle base with a 35.29 buy point, MarketSmith analysis shows.Cactus, which designs, manufactures, sells oil wellheads and pressure control equipment, went public in February at 19 a share. Cactus stock hit an all-time high of 37.50 on May 22.The stock boasts solid fundamentals, which is reflected in its good, but not ideal, IBD Composite Rating of 82. Its Relative Strength Rating is a far more impressive 96 out of a best-possible 99.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseContributing to Cactus stock's run, and Tuesday's volatility, are crude oil prices. Marathon Oil (MRO), Exxon Mobil (XOM), ConocoPhillips (COP) and Diamondback Energy (FANG) are top oil stocks hitting buy points Tuesday as continued supply concerns support crude prices. But all four pulled back from buy zones as U.S. crude futures pared gains to close up 0.4% at $74.11 a barrel.Late Monday Cactus said it would sell 10 million class A shares, but on its own behalf and not existing shareholders. The company will use the proceeds to buy shares in Cactus LLC, the actual operating subsidiary.Cactus products are sold and rented principally for onshore unconventional oil and gas wells.YOU MAY ALSO LIKE:These 4 Oil Stocks Hit Buy Points As Crude Prices Rise On Supply WorriesIBD Stock Of The Day: Wingstop Nears New Buy Point After 46% Run In 2018IBD Stock Of The Day: This 'Treasure Hunt' May Lead To New Buy Point Which Companies Are Now Outperforming 95% Of All Stocks?How To Make Money In Stocks Using The CAN SLIM Investing System 
"
6,COP,"Keeping your watch list up to date is key to making money in the stock market. IBD helps you do that by regularly updating stock screens like the IBD 50, Sector Leaders, IBD Big Cap 20 and IPO Leaders. In the tables below, you can see which stocks have just been added to or removed from these lists. [ibd-display-video id=2385970…
"
7,COP,"With the price of crude briefly topping $75 a barrel, Wall Street's attention has turned to oil stocks like Exxon (XOM), ConocoPhillips (COP), Occidental Petroleum (OXY) and Hess (HES). Large investors may also be primed to pump up drilling equipment maker Cactus (WHD) into a new buy zone. X As a top 2018 IPO stock, Cactus…
"
8,COP,"Top stocks ConocoPhillips (COP), Churchill Downs (CHDN), Wingstop (WING), Usana Health (USNA) and Marathon Oil (MRO) are closing in on buy points after building bullish flat bases.The flat base is a key weapon in any canny investor's armory. The pattern reflects unusual strength. Instead of bending lower in a weak market, a stock won't cede much ground. This means a stock wants to run higher.The world's largest independent pure-play oil exploration and production firm has seen its share price jump this year.This impressive performance might continue, with ConocoPhillips working on a 71.81 buy point from a six-week flat base, MarketSmith analysis shows. That follows an April breakout from a cup-with-handle base. The S&P 500 component fell 0.9% to 68.93 on the stock market today.ConocoPhillips reports Q2 earnings on July 26. Wall Street sees EPS exploding by 621% to $1.01 as revenue increases 4% to $9.244 billion.ConocoPhillips stock, like other crude oil producers, is closely tied to crude oil prices. U.S. crude futures retreated Thursday as domestic oil inventories unexpectedly rose in the latest week. But oil prices are still near multiyear highs on global supply worries.The horse racing, casino and online wagering giant has been performing well since the Supreme Court's ruling to legalize sports betting in May. Churchill Downs stock has been building a second-stage base for the past six weeks. It has a 314.70 buy point. Shares retreated 0.2% to 298.40 Thursday, finding support at their 50-day line.A positive sign is Churchill Downs' relative strength line, which remains near its all-time high. The RS line tracks a stock against the S&P 500 index.The company boasts strong fundamentals, which is reflected in its excellent IBD Composite Rating of 96. Other green lights include its EPS Rating of 93, which reflects strong earnings-per-share growth.The Kentucky Derby operator also leads the competitive Leisure-Gaming/Equipment industry group. It is trotting ahead of big contenders like Las Vegas Sands (LVS), Wynn Resorts (WYNN) and MGM Resorts International (MGM). It is also a few furlongs ahead of regional behemoths Boyd Gaming (BYD) and Penn National Gaming (PENN).The aviation-themed chicken wings chain has taken flight since the start of the year.And Wingstop could be getting set for takeoff again as it approaches 55.95 buy point. For the past several weeks Wingstop stock has been finding support at its 50-day line. Its relative strength line also remains near its all-time high. The stock flew 1.85% to 53.43 on Thursday.Wingstop scored a double beat back in May, and kept its full-year unit growth outlook at 10%. Its full-year forecast was for ""low single digit"" domestic same-store sales growth. The stock boasts a solid, but not ideal, IBD Composite Rating of 84.The multilevel marketing company, which produces nutritional supplements, has seen its share price spike in 2018 after years of relative sideways moment.It could be ready to make another big move after building a flat base for the past six weeks with a 121.25 entry. Usana Health stock fell 0.2% to 114.80, looking to find support at its 50-day line.Usana Health is a rival to industry behemoth Herbalife Nutrition (HLF). At the end of Q1 Usana had 288,000 active sales associates, while Herbalife had approximately 4 million members (i.e., sales associates) at the end of last year. But Usana Health stock has a better IBD Composite Rating, with its mark of 96 beating Herbalife's 92.The Houston-based oil exploration and production company's share price is up sharply in 2018.Marathon Oil is working toward a 22.22 correct entry from a six-week flat base. Its relative strength line also remains near a 12-month high. Shares fell 2.7% to 20.70 on Thursday but are still above the 50-day line.Marathon Oil currently leads the Oil & Gas-Integrated industry group. Its IBD Composite Rating of 84 isn't perfect, but with earnings rapidly improving that overall score should continue to climb.YOU MAY ALSO BE INTERESTED IN:Supreme Court Legalizes Sports Betting; These Gaming Stocks Are The Big WinnersHow To Find Great Growth Stocks: Learn To Spot The Flat Base, A Bullish Chart PatternTrump Tariffs Go Live; Still One Chance To Avert Brutal China Trade WarBullish Chart Patterns: How To Find The Exact Buy PointHow To Make Money In Stocks Using The CAN SLIM Investing System 
"
9,COP,"IBD stock screens are regularly updated to add new stocks to watch, as well as weed out those that have started to show weakness. In the tables below, you'll see which stocks have been added to or removed from lists like the IBD 50, Sector Leaders and the IBD Big Cap 20. X The screens are…
"
