,ticker,content
0,CRM,"On Thursday, Wix.com (WIX) cleared a noteworthy technical benchmark, seeing its Relative Strength (RS) Rating jump into the 80-plus percentile with an improvement to 84, up from 78 the day before. X IBD's proprietary rating tracks market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks stacks up against all the other stocks in our database. Decades of market research shows that the best-performing stocks typically have an RS Rating of over 80 as they launch their biggest runs.See How IBD Helps You Make More Money In StocksWix.com is now considered extended and out of buy range after clearing a 52.60 buy point in a second-stage cup without handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Earnings growth increased last quarter from 0% to 129%, but sales fell from 47% to 41%. The company holds the No. 28 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), Ebix (EBIX) and LogMeIn (LOGM) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,CRM,"In a welcome move, Wix.com (WIX) saw its Relative Strength Rating improve from 66 to 78 on Wednesday. X IBD's proprietary RS Rating identifies market leadership by showing how a stock's price movement over the last 52 weeks compares to that of the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners often have an RS Rating north of 80 as they launch their biggest price moves. See if Wix.com can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereWix.com is now considered extended and out of buy range after clearing a 52.60 buy point in a second-stage cup without handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. While sales growth fell last quarter from 47% to 41%, earnings-per-share grew 129%, up from 0% in the previous report. The company holds the No. 37 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), Ebix (EBIX) and LogMeIn (LOGM) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,CRM,"A solid concentration in top-performing stocks, including Facebook (FB,) Amazon (AMZN), Alphabet (GOOGL) and Bank of America (BAC), and a strong fund management team have helped Fidelity Advisor New Insights Fund (FNIAX) beat the S&P 500 and its large-growth Morningstar category in the past one, three and five years.X Those leading stocks, along with Berkshire Hathaway (BRKA), account for nearly a fifth of the $30 billion fund's assets.Since its inception in 2003, New Insights has been managed by the legendary Will Danoff, who ran it identically to its widely followed $134 billion Fidelity Contrafund (FCNTX). In 2013, John Roth, who also manages $8 billion Fidelity Mid-Cap Stock (FMCSX), joined as co-manager, bringing with him his midcap expertise. Since late 2015, Danoff and Roth have been splitting the management of the fund 60%-40%.The fund focuses on companies that have strong growth prospects, solid management teams and whose potential is misperceived by the public.""If we think Facebook can sustain 30% growth for longer than people think, or we see Mark Zuckerberg's genius ultimately being applied to Instagram, WhatsApp, Facebook Messenger, video ... we're not seeing anything that other people may not see, but we think the good news will last longer,"" Danoff told IBD.Having two managers may well be the reason why New Insights is more diversified at the top than Contrafund with top 5 holdings representing 17.3% vs. Contrafund's 24.1%. In addition, 26.7% and 37.9% of each fund's assets are in the top 10 holdings, further drawing the distinction.New Insight also holds nearly 10% more midcaps, is somewhat underweight technology and has a lower overweight in financials vs. the benchmark and its peers than Contrafund. Both sectors have been strong performers in the past several years.As a result, New Insight's performance has been trailing a bit that of Contrafund's, returning 22.91%, 11.89% and 14.35% the last one, three and five years vs. Contrafund's 27%, 13.45% and 15.92%. Both funds pulled back slightly in the recent, albeit short, market correction, but quickly recovered ground and are up 5.44% and 6.57%, respectively vs. the S&P 500's 2.41% year to date.Regarding concerns that we're late in the economic cycle, Danoff notes the differences between now and conditions that led to bear markets like 2008-09.""The starting point (after the crisis) was quite drastic,"" said Danoff. ""So even though we've had this long economic expansion, I don't feel like people are high-fiving themselves. Up until very recently, most companies were managing their costs conservatively and controlling their capital spending. ... The world is much more global, U.S. companies are able now to sell their products all over the world and the big companies in the S&P 500 are now much less capital intensive, so they're high margin, high growth and they're highly cash generative.""But it's not just the top hot stocks that determine a fund's longevity and strong performance. Other winning names include Adobe Systems (ADBE), Netflix (NFLX), PayPal (PYPL), Visa (V), Estee Lauder (EL), Activision Blizzard (ATVI) and United Health (UNH), each of which soared between 40% and 87% last year, compared with the S&P 500's 21.8% return.Netflix, which the fund has owned since early 2015, has been benefiting from a strong international momentum for its brand and stronger-than-expected subscriber additions in the U.S. and overseas."" Netflix is crushing it overseas,"" said Danoff. ""They have some pricing power, the service is outstanding and it's a subscription model offering great value.""The top name for creative design programs, Adobe has successfully transitioned to a recurring revenue model by moving its product lineup to the cloud. Last month, the company said that its longtime CFO Mark Garrett will be retiring, though he'll stay on until they find a replacement. Adobe's earnings jumped at least 40% in each the past four quarters, while revenue increased 22% to 27%. The company also raised its fiscal Q1 and 2018 guidance after adjusting for President Trump's tax cuts. Adobe's stock is up 12.5% year to date.Cosmetics giant Estee Lauder has been experiencing strong growth. Its most recent Q2 results saw a 25% EPS rise on sales that grew 17%, primarily driven by strong advances in its skin care product lineup. Analysts expect the company to grow its market share from a current 15% as the company further builds out its e-commerce business. It also stands to benefit from the recent tax reforms. The stock is up 9.8% this year.Customer relationship software maker Salesforce.com (CRM), which rallied 49.3% last year and has risen 6.6% so far in 2018, stands to benefit from a growing product offering and low customer attrition despite strong competition in the sector. The company earnings accelerated in the past two quarters, jumping 63% in the most recent one. Sales grew 25%. Salesforce.com also raised its 2018 sales guidance to $12.5 billion and plans to reach $20 billion by fiscal 2022. Earnings guidance was also upped. It is due to release its next earnings report Feb. 28.In the midcap arena, the fund holds names such as Under Armour (UA), U.K.-based Metro Bank and LogMeIn (LOGM). The fund bought Under Armour last quarter as a starting position and Roth says they'll continue to work on it going forward.""It's a great brand, the stock got to be pretty expensive and expectations were pretty high, they struggled a bit and they got massively re-priced, the Street turned on them and investors turned on them, and then it became an interesting opportunity. ... The ultimate bet is that brand's still good.""RELATED:In A Volatile Market: Go To Cash Or Stay The Course?
"
3,CRM,"When the market is in a correction, look for stocks that are showing resilience and long-term institutional demand. Design and analytics software leader Adobe (ADBE) fits that bill. X While Adobe's Accumulation/Distribution Rating (C+) and up/down volume ratio (1.0) slipped as the stock pulled back during last week's market sell-off, there are still clear signs of…
"
4,CRM,"Key market index funds pared early losses to turn positive, as Apple (AAPL) and Caterpillar (CAT) helped boost the Dow Jones industrial average.X PowerShares QQQ Trust (QQQ) rose 0.4%, SPDR S&P 500 (SPY) advanced 0.3% and SPDR Dow Jones Industrial Average (DIA) added 0.2%. Apple gained 0.5% as it tries to notch a third straight up session. It found support at its 200-day line Monday. Caterpillar rose 1.6% and is 1% below its 50-day line.Emerging markets outperformed in the stock market today with iShares MSCI Emerging Markets (EEM) up 0.7%, thanks largely to surging Chinese stocks. KraneShares CSI China Internet (KWEB) leapt 2.4%, retaking its 50-day moving average. Shares found support at the 200-day moving average on Friday.Metals miners, financials and and retail led the upside among sector funds. SPDR S&P Metals & Mining (XME) rose 1.4% to reclaim its 50-day moving average. It's on track for a third straight advance. SPDR S&P Bank (KBE) climbed 0.5% as it got back up near its 50-day line.Energy, semiconductors and homebuilders led the downside among sector funds. Bitcoin trimmed its loss to 3%, to $8,628.79, according to CoinDesk, after earlier rising close to the $9,000 level. Bitcoin Investment Trust (GBTC) fell 3% to halt a five-session win streak. Don't miss IBD's free Bitcoin and cryptocurrency trading webinar today at 2:30 p.m. ET.Volatility in the stock market may rattle nerves, but it may also offer a chance to gain access to hot AI plays such as Microsoft (MSFT), Adobe Systems (ADBE) and Salesforce.com (CRM).Case in point: iShares North American Tech-Software (IGV) is finding support at its 50-day moving average line.When the broader market is in a confirmed uptrend, a bounce off the line would mark a buy opportunity. But with the broader market still in a correction, all buys are riskier than usual. The ETF advanced 10% from a prior rebound off the 50-day in early January to its Jan. 29 intraday high. It was featured in this ETF column on Dec. 28.The $1.1 billion fund, which will mark its 17th anniversary in July, tracks the S&P North American Technology Software Index. Its biggest country weighting as of Feb. 9 was the U.S., at 98% of assets. Canada made up the rest. Application software accounted for about 51% of its sector weight, systems software 35%, and home entertainment software 14%.IGV's top five holdings were Adobe Systems (ADBE), Microsoft, Salesforce.com, Oracle (ORCL) and Activision Blizzard (ATVI). The top five, which represented 41% of the 61-stock portfolio, have outperformed the broader market this year. Adobe, Activision and Salesforce.com have advanced 10%, 8% and 6%, respectively.The ETF has returned nearly 3% year-to-date through Feb. 9, vs. a 1% loss for the S&P 500. IGV's average annual returns of 20.3%, 19.3% and 13.6% over the past three, five and 10 years also beat the S&P 500's 10.8%, 13.8% and 9.3% gains for the same periods. IGV carries a 0.48% expense ratio.IBD'S TAKE: Making money catching ETF uptrends requires knowledge about how to read charts. You can learn how at IBD University.Monday's picks, First Trust NYSE Arca Biotechnology Index (FBT) and SPDR S&P Biotech (XBI), extended their gains after finding support at their 50-day lines on Friday.RELATED:Apple, Boeing Soar As Market Rallies; Bitcoin Ignores WarningNvidia, Top Tech Stocks Lead As S&P Bounces Off Key Support LineWhy The Stock Market Sold Off, And What You Should Do Now
"
5,CRM,"Blackbaud (BLKB) saw an improvement in its IBD SmartSelect Composite Rating Thursday, from 94 to 96. X The revised score means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. Blackbaud is currently forming a cup without handle, with a 104.65 buy point. See if the stock can break out in volume at least 40% above average. Looking For The Best Stocks To Buy And Watch? Start HereThe stock earns an 85 EPS Rating, which means its recent quarterly and longer-term annual earnings growth is outpacing 85% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. In Q4, the company reported 3% earnings-per-share growth. Top line growth climbed 9%, up from 7% in the prior quarter. That marks one quarter of rising revenue increases. Blackbaud earns the No. 10 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), Ebix (EBIX) and LogMeIn (LOGM) are among the top 5 highly-rated stocks within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
6,CRM,"Blackbaud (BLKB) had its Relative Strength (RS) Rating upgraded from 70 to 85 Thursday. X This unique rating tracks technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the last 52 weeks matches up against the rest of the market. Decades of market research shows that the top-performing stocks typically have an RS Rating north of 80 in the early stages of their moves.Looking For The Best Stocks To Buy And Watch? Start HereBlackbaud is working on a cup without handle with a 104.65 entry. See if the stock can clear the breakout price in heavy volume. While earnings-per-share growth fell in the company's most recent performance report from 24% to 3%, the top line grew 9%, up from 7% in the previous report. Blackbaud earns the No. 10 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), Ebix (EBIX) and LogMeIn (LOGM) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,CRM,"On Wednesday, Coupa Software (COUP) reached an important technical milestone, seeing its Relative Strength (RS) Rating jump into the 90-plus percentile with an improvement to 92, up from 88 the day before. X IBD's proprietary RS Rating tracks technical performance by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. Decades of market research reveals that the market's biggest winners typically have an 80 or higher RS Rating at the beginning of a new price run.Looking For The Best Stocks To Buy And Watch? Start HereWhile it's not currently an ideal time to invest, see if the stock goes on to establish and enter a buying range in heavy volume.While sales growth fell last quarter from 43% to 34%, earnings-per-share grew 44%, up from 0% in the prior report. The company earns the No. 16 rank among its peers in the Computer Software-Enterprise industry group. Salesforce.com (CRM), ServiceNow (NOW) and Paycom Software (PAYC) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,CRM,"Accelerating earnings growth is one of the top traits exhibited by leading stocks before a breakout, according to CAN SLIM trading methodology. X Of IBD's 15 current Sector Leader stocks, analysts expect only one to post accelerating EPS growth in its December quarter report. That stock just happens to be near a potential buy point: Software…
"
9,CRM,"Big-cap techs Apple (AAPL), Nvidia (NVDA), PayPal (PYPL), Adobe Systems (ADBE) and Salesforce.com (CRM) are all well-known S&P 500 index components ended last week within 2% of buy points. But that doesn't mean they're all equally enticing. Nvidia broke out on Monday to a new high, but even that chip leader has some question markets.XApple outpaced the S&P 500 from May 2016 to May 2017, but since then has been moving with the market, lagging in the past couple of weeks. Nvidia, PayPal, Adobe Systems and Salesforce.com have a more recent history of S&P 500 outperformance than Apple. Unlike Apple, they significantly outperformed the market in the last week as they built the right side of bases.Nvidia, PayPal, Adobe and Salesforce are all the No. 1 stocks in their industry groups. Then again, so is Apple.Nvidia, PayPal and Adobe are all members of the IBD 50. PayPal, Adobe and Salesforce.com are also on the IBD Big Cap 20.Apple closed Friday at 175, less than 1% from its 176.34 flat-base entry. Apple's relative strength line, which tracks the stock's performance vs. the S&P 500 index, has been slumping for the past two months. Apple rallied 3.4% last week, but that wasn't much better than the S&P 500's 2.6% gain and even with the Nasdaq's 3.4% rise.Apple shares fell 0.4% to 174.35 on the stock market today, as the major averages rallied once again.The RS line is actually below where it was last May, when Apple was last significantly outperforming the S&P 500.Apple briefly broke out past the buy point on Dec. 18, but just barely and on volume that was only slightly above normal. The RS line wasn't close to confirming the breakout. Shares quickly fell back until finding support near their 50-day line.Apple could easily retake its buy point in the near future, and that move could work. But the odds of success are lower than with a truly leading stock.Nvidia jumped 3.1% to 222 Monday in strong volume, clearing a 218.77 cup-base entry.Nvidia's RS line is still lagging somewhat vs. its prior high. You'd like to see that RS line confirm the breakout.Keep in mind that Nvidia is a late-stage base. Late-stage bases are more likely to fail.Nvidia shot up 11.3% to 215.40 last week. It crossed its 50-day moving average in heavy trading on Wednesday, offering an entry point for aggressive investors.Chip stocks, which had struggled in late 2017, are roaring back. The Philadelphia Semiconductor Index popped 5.8% last week, with several chip stocks moving back above their 50-day lines and carving the right side of bases. Chip stocks rose modestly overall Monday.Nvidia will have a presence at the CES 2018 tech show in Las Vegas this week. Nvidia on Sunday, in a pre-CES event, said it is teaming up with Uber on self-driving cars and expanded an artificial Volkswagen (VLKAY) partnership announced in mid-2017.Nvidia is already involved in several significant autonomous driving initiatives with various automakers and tech companies.IBD'S TAKE: Check out this Investor's Corner or on how the 50-day moving average or 10-week line offers buying opportunities.PayPal climbed 6.9% last week to 78.70, 1% below a 79.48 flat-base buy point. PayPal retook its 50-day line on Wednesday, but volume was only 11% above normal.PayPal rose 0.4% to 79.05.Leading stocks' performance is closely tied to their industry groups. And payment stocks are once again acting well. Square (SQ) moved back over its 50-day line Friday after a big retreat. Mastercard (MA) broke out past a buy point during the week, but on below-average volume.Adobe Systems advanced 5.8% last week to 185.34, less than 1% from a 186.37 flat-base entry. Adobe also reclaimed its 50-day line, but on below-average trade.Adobe dipped 0.2% to 185.04.Salesforce.com rose 5.7% to 108.10 last week. That's about 1% from a 109.29 entry in a flat base. Salesforce moved above its 50-day on Tuesday, but in average volume.Salesforce climbed 0.7% to 108.86, advancing to 109.14 intraday.One more observation on Nvidia, PayPal, Adobe and Salesforce. After running up so much last week, these stocks — and the overall market — are ripe for a pullback. That would not necessarily be a bad thing. Ideally, the stocks will ultimately break out in heavy volume, moving convincingly past the buy points to let their RS lines confirm the advance.YOU MIGHT ALSO BE INTERESTED IN:Alibaba Leads 5 Top Chinese Stocks Setting Up In BasesAdobe, PayPal Lead 5 Stocks Near Buy Points With Rising Earnings EstimatesStocks To Watch: Who Joins Apple, BofA On List Of New Buys By Top Funds?The Top 16 China Stocks Surge, In A Fast-Moving Start To 2018
"
