,ticker,content
0,DISH,"Verizon Communications (VZ) won an upgrade ahead of its earnings report while Dish Network (DISH) got both a Morgan Stanley price-target cut and the attention of another analyst who thinks it could be a merger target for Verizon.Barclays upgraded Verizon, which reports first-quarter earnings early Tuesday, to overweight. Amir Rozwadowski, a Barclays analyst, says the company may lose postpaid phone subscribers in the quarter. But he expects the telecom firm's wireless service revenue ""trajectory"" to show improvement year-over-year, excluding new accounting rules.Morgan Stanley lowered its price target on Dish to 45 from 55. Dish's core satellite TV business is deteriorating and it's been unable to partner with a wireless service provider to utilize radio spectrum it has amassed.Verizon climbed 1.6% to close at 48.66 on the stock market today. Dish was nearly flat, up 5 cents to 37.28. Verizon, a high dividend-paying stock, has dropped nearly 10% in 2018 amid rising interest rates. Dish has plunged 19% in 2018 and 41% from Aug. 1.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWith Dish's valuation lower, Verizon could be more interested in buying the company for its spectrum holdings, speculates Craig Moffett, analyst at MoffettNathanson, in a blog published on Monday. He says one concern for Dish is that federal regulators plan on auctioning more airwaves. As spectrum supply grows, there would be less reason to buy Dish, he said.""Dish has every incentive in the world to finally drop their asking price to a level low enough that Verizon might come to the table,"" Moffett said. ""Again, that's not to say that Verizon is necessarily ready to buy even at a bargain price. But it's now or never.""YOU MAY ALSO BE INTERESTED IN:Telecom Stocks To Watch And Industry NewsSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityLooking For The Best Stocks To Buy And Watch? Start Here
"
1,DISH,"As new financial planners set up shop, they crave advice. And seasoned advisors are eager to give it.Ask experienced advisors to share success tips and many will dish out eternal truths: Treat clients with respect, deliver superior service and listen more than you speak.Older advisors also urge new entrants to the field to document client meetings with care and never stop learning. Also: Don't pretend to know more than you do. By adopting disciplined work habits and understanding how emotions drive financial decisions, young advisors can gain an edge.Perhaps the most crucial factor in determining whether a new planner will prosper centers on motivation. The more passion you bring to each day, the better.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""There are three levels to how you approach your work,"" said Rick Kahler, a certified financial planner in Rapid City, S.D. ""It can be a job, a career or a calling. Your probability of success goes way up if it's a calling.""People treat a job as a grind and a career as a series of milestones to check off. But if they derive deep gratification from helping clients — and they're compelled to excel — then they possess the fortitude to persevere and build a thriving practice.Kahler, 62, also emphasizes the importance of lifelong education. He tells young associates to attend professional conferences, read industry publications and take webinars.""Continuing education isn't a nuisance; it's a way to keep learning,"" he said. ""Even now, I spend over 100 hours a year on continuing ed. You can't just go with bare-bones CE requirements; that's a low bar. Be the best fiduciary you can be. ""Advisors who polish their people skills work more effectively with colleagues. But young planners can graduate college feeling cocky and project a know-it-all attitude.""It's great working with new associates who are savvy and really smart,"" said Marianela Collado, a certified financial planner in Plantation, Fla. ""But if they don't agree with what they hear, there's a difference between saying 'You're wrong' and 'Please help me understand how you arrived at that.' ""She counsels newcomers to demonstrate humility and disagree in a diplomatic, respectful tone. Posing questions works better than insisting you know more than a co-worker.""This goes a long way to make people want to work with you and appreciate having you on their team,"" Collado said. ""It's the same when working with attorneys and CPAs. Don't put them on the defensive by saying, 'Here's what you missed.' Instead, ask 'What do you think of this other approach?' ""Another way that new associates gain acceptance at their firm is to learn the unglamorous side of the business. In addition to amassing technical knowledge to help clients, they can show interest in less visible but vital aspects of the practice.""Often, young advisors don't spend much time on back-office operations — things like rebalancing software, compliance updates, financial reporting,"" said Sammy Grant, a certified financial planner in Sandy Springs, Ga. ""But you'll be more valuable to your firm's partners if you understand that stuff, and that knowledge will also serve you well if you launch your own practice.""Empathy differentiates top advisors. By communicating with prospects and clients in a sensitive manner, they're more apt to build rapport and earn their trust.""Step out of your shoes into the client's shoes,"" Grant said. ""It's something you can't learn in school. You need to respond to what clients do and say by understanding them, not judging them.""For newcomers who launch their own firm, the isolation of a solo practice can prove challenging. Longtime advisors recommend that you join a network of other planners.""We're social creatures, not lone wolves, so it's important to have peers to bounce ideas off,"" said Kenneth Robinson, a certified financial planner in Cleveland, Ohio. ""Don't go it alone. You'll learn more than you think you'll learn from your peers.""Advisors can create their own informal peer groups and meet regularly to share their experiences. Or they can join membership organizations such as the Alliance of Comprehensive Planners, XY Planning Network and Garrett Planning Network.Robinson also advises new planners to carve out a niche and specialize in serving that universe of clients. He suggests an exercise to envision the type of individual you want to attract.""Figure out your ideal client,"" he said. ""Then you can play to your strengths.""For example, Robinson works with independent professional women. But he's also a fan of index funds, so a professional woman seeking a stock picker for an advisor wouldn't be a good fit.YOU MAY ALSO BE INTERESTED IN:Before Aging Clients Show Signs Of Dementia, Advisors Take ActionAdvisors Track Economic Reports To Stay One Step Ahead Of MarketsAdvisors Promote Health And Wellness To Help Clients Live Better
"
2,DISH,"Dish Network (DISH) cratered 10% on Tuesday after reporting first-quarter revenue that missed views as investors worried about its long-term strategy amid continued weakness in its core satellite TV business.""Dish's satellite TV business is in effect a declining annuity stream that in Q1 declined at a faster than expected pace, with an increasingly difficult outlook,"" said Jeffrey Wlodarczak, analyst at Pivotal Research, in a report.Dish fell 12.1% to close at 29.81 on the stock market today, falling to a six-year low. Dish has plummeted 55% since Aug. 1.Dish has amassed wireless spectrum for 5G wireless services. But the value of its airwaves has been undercut by the proposed merger of T-Mobile US (TMUS) with Sprint (S) as well as upcoming government auctions.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWith cable TV companies Comcast (CMCSA) and Charter Communications (CHTR) also bleeding subscribers, investors are focused on Dish's pay TV business rather than wireless options, says Craig Moffett, analyst at MoffettNathanson.""The market's blindness to the rapid deterioration of Dish's satellite TV business ended abruptly with the recent meltdown in cable stocks,"" Moffett said in a note to clients. ""Dish is no longer just a way to express a view about spectrum valuations.""Verizon Communications (VZ) has stated no interest in acquiring the declining satellite TV business.""Investors are likely going to have to continue to be patient given the low likelihood for M&A or spectrum sale/usage until the second half of 2019,"" added Wlodarczak.Dish's attempts to find a wireless or internet partner to build out a networks has turned up empty.""I don't think you should expect announcements on partnerships and anchor tenants,"" Charles Ergen, Dish's co-founder, said on its earnings call Tuesday.Dish's satellite pay TV service dropped 185,000 subscribers, while its Sling-branded Internet TV service added 91,000. Analysts say the internet video service is not profitable.Dish said it earned 70 cents a share, down from 76 cents a share a year ago, in-line with expectations.Revenue dropped 6% to $3.46 billion, missing views. Analysts had projected $3.5 billion.YOU MAY ALSO BE INTERESTED IN:Comcast Readies Fox Bid; Investors Mull Debt, Dividend, Stock Buyback ImpactCharter, Comcast, Altice Dive As Cable TV Subscriber Losses MountChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity 
"
3,DISH,"Cell-tower operator Crown Castle International (CCI) has bid for broadband-service provider Lightower Fiber Networks in a $7 billion deal that would help Crown Castle provide 5G wireless infrastructure to customers such as Verizon Communications (VZ) and AT&T (T), reports said Monday.XPrivately held Lightower's fiber-optic network would mesh with Crown Castle's plans to build out ""small-cell"" radio antennas for 5G services in urban areas. The small-cell antennas — hung on utility poles or building rooftops — will require fiber-optic connections to local hubs, which in turn link to cloud-computing infrastructure as well as long-distance networks.Some analysts, though, view the $7 billion price tag, which includes debt, as pricey.""Crown Castle has not been shy about its desire to acquire more of the right type of fiber assets to bolster its small-cell business. Should reported valuation levels prove true ($7 billion), an equity component to financing a deal is likely,"" Barclays analyst Amir Rozwadowski said in a note to clients.Shares in Crown Castle closed down 4.2% at 96.81 in the stock market today. Shares in Zayo Holdings (ZAYO), a rival of Lightower that has been viewed as a takeover candidate, edged up 1.7% to 30.87.Lightower's network has 33,000 route miles throughout the Northeast, Midwest and Mid-Atlantic providing connections to service locations and data centers. Meanwhile, Crown Castle has been investing in small-cell technology more than peers American Tower (AMT) and SBA Communications (SBAC).Crown Castle reports earnings on Wednesday.Jennifer Fritzsche, analyst at Wells Fargo, says Verizon and AT&T are already Lightower's top customers.IBD'S TAKE:  Crown Castle stock is up 12% in 2017 but has been outperformed by peers American Tower, up 27%, and SBA Communications, up 31%. Learn more at IBD Stock Checkup.Fritzsche says there may be upside for Zayo if Lightower is acquired.""While Lightower is admittedly growing top-line at a much faster rate than Zayo, it should be noted Zayo covers three times the geography of Lightower — with dense fiber network footprints in many other densely populated U.S. cities,"" she said in a note to clients.The advent of 5G networks is expected to enable faster wireless internet services to homes as well as high-speed connections to drones and self-driving cars.RELATED:Tesla Stock Drops As Autopilot Feature Blamed For CrashAmazon, Dish Wireless Deal Would Target Internet Of Things: CitiWhen Software Mergers Heat Up, These Companies Will Be Buyers
"
4,DISH,"Charter Communications (CHTR) is testing a live-TV streaming service that starts at just under $20 with no sports content.Time Warner's (TWX) HBO, meanwhile, may be heading to Hulu.Charter, which brands its online service Spectrum Stream, says the base package includes local broadcast channels and 25 cable networks, including AMC, CNN, A&E, History, TNT and Discovery (DISCA).A $12 monthly add-on package includes ESPN channels, NBC Sports, and Bloomberg news. A $15 monthly option includes movie channels.Dish Network (DISH) launched its Sling streaming service at $20 in January 2015 with Walt Disney's (DIS) ESPN, but lacked local TV stations from the four broadcast networks.Charter's Spectrum Stream service, if commercially launched, would also compete with AT&T's (T) DirecTV Now, which starts at $35, as well as Hulu and Sony's web offering.Verizon Communications (VZ) has signaled that it could launch a video streaming service in the second half of 2017.IBD'S TAKE: Charter stock is up about 15% in 2017 but is trading near its 50-day moving average. Charter stock has a technical buy point of 341.60. Learn more at IBD Stock Checkup.Hulu is a joint venture of Twenty-First Century Fox (FOXA), Disney, and Comcast (CMCSA). Time Warner acquired a 10% stake in Hulu last year.AT&T, which is seeking regulatory approval to acquire Time Warner for $85 billion, has offered a free year of HBO in some DirecTV Now promotions. Time Warner also sells HBO as a stand-alone online product for $15 monthly.RELATED:Sprint Jumps On Comcast-Charter Wireless TalksComcast, Charter Fall; Longtime Industry Bull Downgrades Sector
"
5,DISH,"Sprint (S) is in talks with Comcast (CMCSA) and Charter Communications (CHTR) about reselling wireless services or a merger, according to multiple reports late Monday. That puts on-again, off-again merger talks with T-Mobile US (TMUS) on hold and puts pressure on Verizon Communications (VZ).X Sprint Chairman Masayoshi Son is in exclusive talks with Comcast and Charter Communications through late July, the Wall Street Journal reported late Monday, citing sources. Sprint has put on hold talks with T-Mobile US.The WSJ, later joined by Bloomberg News and Reuters, reported Sprint could offer friendly terms for Comcast and Charter to sell wireless services using its network. Less likely, the cable giants could jointly bid for the wireless firm.Either combination could be negative for Verizon. Comcast and Charter already have a deal to use Verizon's network, but could get a better deal from Sprint. Meanwhile, Verizon had been hoping for a Sprint merger with T-Mobile, with the consolidation easing a fierce pricing war led by T-Mobile.Verizon, a Dow Jones industrial component, could feel a push to reach a deal with satellite TV broadcaster Dish Network (DISH), which has an abundance of wireless spectrum.AT&T (T) acquired Dish rival DirecTV in July 2015.Sprint shares rose 2.1% to 8.18 on the stock market today, closing below their 50-day line after hitting 8.50 intraday. T-Mobile sank 3.4% to 61.01 after falling earlier to 60.72.Comcast slid 9% and Charter 0.8%. Verizon sank 2%.RELATED:Can Verizon Surge If Sprint, T-Mobile Merge?
"
6,DISH,"Blue Apron (APRN) is serving up a dish that big-money investors have turned away, causing the company to lower the price of its initial public offering by about 34%.Blue Apron cut the estimated price of shares to a range of $10 to $11, down from $15 to $17, lowering its fully diluted market value to $2 billion from $3 billion. Blue Apron planned to raise $480 million, now cut to $315 million. The IPO is scheduled to reach a final price tonight and begin trading on the New York Stock Exchange Thursday under the ticker APRN.Founded in 2012, New York-based Blue Apron provides recipes and pre-measured ingredients that are boxed and delivered to customers for a home meal, designed for two or four people. It also has a monthly wine-delivery option.Investors embraced the cut in share price, which research firm IPO Boutique says is now ""multiple times oversubscribed.""IPO Boutique said its sources had indicated that the roadshow designed to promote the offering to institutional investors ""has continued to be challenging for management as they attempt to diffuse the highly likely fact that extensive losses in the future could and likely will create problems.""Blue Apron revenue rose by a blistering 133% to $795.4 million in 2016 from the previous year. It showed a loss of $54.8 million, vs. a loss of $46.9 million. In the first quarter. Blue Apron revenue grew by 42% from the year-ago period to $244.8 million, with a net loss of $52.2 million, vs. a loss of $3 million.IBD'S TAKE: The biggest stock market winners typically make their major price moves within a few months or years of their initial public offering. So it pays to identify and track companies that are getting ready to go or have recently gone public. Learn more at IBD's IPO page. IBD also focuses on the best-performing IPOs of the past three years in its IPO Leaders column.""We are hearing from large funds that they are 'sitting this deal out' and, with that being said, retail will more than likely get a disproportionate amount (of shares) as compared to a normal IPO,"" according to the research note from IPO Boutique. ""Investors are also scrutinizing this company's cash flow and very low amount of cash on hand,"" it said. ""Many of the same sources are expecting, despite revenue projections, that they will not meet those numbers.""The IPO comes as Amazon.com (AMZN) last week announced a deal to acquire Whole Foods Market (WFM). Amazon's purchase of Whole Foods has some investors worried that Amazon, with low prices, will drive out more competitors in the business of healthy food.One of Blue Apron's closest competitors is Berlin-based Hello Fresh, which withdrew IPO plans last year. Other rivals in the prepackaged-meal delivery market include Munchery, Gobble, Chef'd, Plated and Veestro. Google-owner Alphabet (GOOGL) also provides food delivery services.The lead underwriters of the IPO are Goldman Sachs and Morgan Stanley.RELATED:Nine IPOs Aim To Raise $1.1 Billion In Busy Week
"
7,DISH,"AT&T (T), Verizon Communications (VZ) and other wireless phone companies are set to discuss 5G and other technologies with President Donald Trump and top administration officials Thursday morning, with radio spectrum usage a key policy issue.The wireless industry gathering follows Trump's meeting on Monday with the heads of 18 U.S. technology companies including Apple (AAPL), Amazon.com (AMZN) and Microsoft (MSFT). The tech meeting focused on making the government's computing systems more efficient.Aside from AT&T and Verizon, also taking part in the wireless industry meeting will be T-Mobile US (TMUS), Sprint (S), venture capital firms and portfolio companies. The wireless meeting will focus on how government can create the right environment for breakthroughs, said a White House release.Ajit Pai, Federal Communications Commission chairman, Commerce Secretary Wilbur Ross, and Gary Cohn, national economic director, also are expected to attend. The Obama administration made several blocks of high-frequency airwaves available for next-generation 5G services.The Obama FCC's initiatives included making frequencies in the 3.5 GHz band available for shared usage. That plan was backed by tech companies led by Alphabet's (GOOGL) Google.IBD'S TAKE: For news on top-performing technology stocks, take a look at IBD reports on tech leaders.T-Mobile and industry trade group CTIA, though, have asked the Trump administration to take a fresh look at the 3.5 GHz rules.5G networks are expected to enable faster wireless internet services to homes as well as high-speed connections to drones and self-driving cars.RELATED:Verizon Makes Big 5G Fiber Deal, But Puts This Option On HoldWhy The Race To Wireless 5G? The Internet Of ThingsAmazon, Dish Wireless Deal Would Target Internet Of Things: Citi
"
8,DISH,"Amid speculation e-commerce giant Amazon.com (AMZN) and Dish Network (DISH) could partner in 5G wireless services, a Citigroup report says a strategic deal could focus on the Internet of Things.""The idea of Amazon partnering with Dish may seem unusual, but their aspirations may be intersecting around connected devices and the Internet of Things,"" the report said.IoT encompasses web-connected cars, advanced robotics, telemedicine, automated factories, smart cities and the development of massive sensor networks in such fields as agriculture. Verizon Communications (VZ) and AT&T (T) are also targeting the IoT as a growth market.Citigroup analyst Michael Rollins says Amazon Web Services, the cloud computing arm of Amazon, could use a wireless network as part of its IoT strategy. With Amazon as an ""anchor customer"" and possibly making an investment, Dish is more likely to build out a wireless network, the Citigroup analyst says.""AWS offers an IoT software platform that can be paired with analytics and other services,"" Rollins said. ""Together, (Dish and Amazon) could bundle cloud (Anything as a Service) with connectivity (Spectrum as a Service) to lower cost and accelerate the development of IoT services.""Dish founder and CEO Charles Ergen is slated to speak late Tuesday at a JPMorgan technology conference in Boston. Braxton Carter, chief financial officer of T-Mobile US (TMUS), commented on the Dish-Amazon rumors at the same conference on Monday.IBD'S TAKE: Amazon stock is extended from an 843.94 buy point and an 860.96 alternate entry. Amazon is listed on the IBD Leaderboard, along with Dell Technologies, Workday and Alibaba Group. IBD's Leaderboard follows top stocks from their work on forming bases, through their breakouts, up to the point where they start topping. Dish has cobbled together nearly 95 MHz of radio spectrum. Dish could still pursue a 5G mobile video strategy apart from an IoT deal with Amazon, the report says. Rollins says Dish would likely retain full control and ownership of the network and spectrum assets as part of any Amazon deal.Verizon has been viewed as a possible buyer of Dish and its spectrum. Dish stock could take a hit, depending on the terms of a deal with Amazon, Rollins said.""Investors in Dish have been hoping for a sale of spectrum or the whole company for some time, and could be disappointed by this (Amazon) development,"" Rollins said. ""If the details of the arrangement are not known, especially any terms around control of the spectrum long-term, this is likely to create confusion for the asset value story. This could lead to a shareholder rotation, with more speculative owners exiting should a near-term sale appear less likely. An injection of funding, however, could mitigate the bearish opinion that Dish cannot fund the construction of a network and would face material cash burn over time.""Dish stock rose 0.1% to 63.86 in the stock market today. Shares in Amazon edged up 0.1% to 971.54, hitting a record 975.20.RELATED:Here's One More Thing Amazon May Be KillingWhy The Race To Wireless 5G? The Internet Of ThingsGoogle Trumpets Platform User Base Vs. Apple, Facebook, Amazon
"
9,DISH,"Comcast (CMCSA) and Charter Communications (CHTR) report earnings this week as sell-side analysts look for upside that could spark a rebound in struggling cable TV stocks.Amy Yong, analyst at Macquarie Capital, calls it a ""make or break week"" for cable TV companies to shift investor sentiment.Shares in Comcast, which reports first-quarter earnings early Wednesday, are down 16% this year and lost 1.5% Tuesday to close at 33.35. Charter has dropped 8% in 2018 and has plunged 23% from Sept. 7. Its shares fell 2.8% to close at 301.28 on the stock market today.""Cable stocks have been under pressure, with ongoing concerns around video competition, broadband growth, and M&A,"" Jefferies analyst Scott Goldman said in a note to clients. ""For Comcast, M&A remains a large overhang, which is likely to persist deep into (the second quarter).""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseComcast made a bid for U.K.-based satellite TV broadcaster Sky in February. Investors worry that a bidding war could erupt vs. Walt Disney (DIS), which has agreed to buy 21st Century Fox (FOXA) and its stake in Sky. Comcast already owns media firm NBCUniversal and could invite more regulatory scrutiny, analysts say.Cable TV firms are expected to lose video subscribers in the first quarter. Analysts estimate Comcast will shed 75,000 video customers and Charter 32,000. Satellite TV broadcaster Dish Network (DISH), which reports earnings on Monday, is expected to lose 287,000 subscribers, though its Sling-branded internet video service will likely gain customers.""Cable and satellite shares are meaningfully underperforming the S&P 500, as Wall Street darling days enjoyed through early 2017 are long over,"" Cowen & Co. analyst Gregory Williams said in his report to clients. ""The industry (is) now enduring internet video competition while broadband approaches market saturation. As a result, the industry has undergone a re-rating.""Comcast's profit is expected to rise 11% to 59 cents per share, with revenue climbing 11% to $22.74 billion. Charter's profit is expected to fall 2% to 55 cents a share with revenue growing 4.5% to $10.62 billion.YOU MAY ALSO BE INTERESTED IN:Google Earnings Raise Questions On Amazon.com Rivalry, SpendingFacebook Earnings Report Will Put Spotlight On Data Privacy ScandalTelecom Stocks To Watch And Industry NewsSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
