,ticker,content
0,DLR,"Capital spending on building up cloud computing picked up in early 2018 led by Amazon.com (AMZN), Microsoft (MSFT) and Alphabet's (GOOGL) Google, as well as Facebook (FB) and Baidu (BIDU), a report released Tuesday said.That spending on the cloud's infrastructure also could boost providers of data center technology, says the report from Morgan Stanley.""The largest contributors to overall 2018 year-over-year growth continue to be Google, Facebook, Amazon and Microsoft,"" the report said.The increased spending on internet data centers and other cloud infrastructure signals strong demand for technology suppliers such as Arista Networks (ANET), Seagate Technology (STX), Micron Technology (MU), Nvidia (NVDA) and Broadcom (AVGO), says the report.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseArista Networks makes high-speed computer network switches while Seagate sells data storage systems. Nvidia and Broadcom make chips built into computer servers and networking gear while Micron produces computer memory devices.So-called ""hyperscale"" data centers are packed with high-performing servers, communications and data-storage infrastructure.""We see hyperscale data center investment inflecting above our prior expectations,"" said the Morgan Stanley report.Amazon Web Services, the cloud computing business of the e-commerce giants, continues to rent more data center space from the likes of Digital Realty (DLR), says the report.Facebook is likely to spend $14 billion to $15 billion in 2018 on data centers, servers, network infrastructure and office facilities, Morgan Stanley says.YOU MAY ALSO BE INTERESTED IN:Cloud Computing: Find Top Cloud Stocks And Track Industry TrendsTV Industry Tests Limits Of Consumer DemandAmazon Yanks Own Digital Advertising On Google As Rivalry GrowsSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
1,DLR,"The explosion of data resulting from the digital age is keeping company executives on the lookout for better ways to handle the tsunami of information.X It first led to the emergence of cloud computing services, driven by the growing need for scalable data centers that can handle the growing complexities of a modern digital enterprise. Then the rise of cloud computing wrought a complementary type of data center known as a colocation, or a method of outsourcing data centers where the provider sells space in its data centers by contract.One company that provides colocation services is Interxion Holding (INXN), which has seen a 71% rise in its stock price over the past 12 months. It's the second-largest provider of colocation services in Europe, behind market leader Equinix (EQIX).""The trend among companies is to move away from owning and running their own data centers,"" said John Dinsdale, research analyst at Synergy Research Group. ""Running data centers is often viewed as an expensive and time-consuming distraction.""Interxion has more than 1,600 customers and about 49 data centers across 11 European countries, including France, Germany and the United Kingdom. It offers equipment space for servers and storage, and also provides the power and cooling systems designed for smooth running. Customers typically pack the warehouse-size data centers with their own computer servers and other gear.The broad picture is that data-center outsourcing and the ongoing surge in cloud services continue to drive the colocation market, said Dinsdale. This growth is funneled from cloud providers and lifted as well by enterprise technology spending.Amsterdam-based Interxion is a long way behind market leader Equinix, but it's also far ahead of the other major colocation providers. In January, Interxion announced its largest facility expansion to date, adding colocation facilities in seven European cities.""The increased pace of cloud adoption combined with an improving economy in Europe continues to drive broad-based demand for our colocation services across our entire footprint,"" Interxion Chief Executive David Ruberg said in prepared remarks announcing the expansion.When combined with previously announced expansion projects, Interxion has active projects that will increase the company's equipped space by more than 25% compared with the end of the third quarter.Many enterprises are partnering with colocation providers to support growth initiatives. Rather than expand their company-owned data centers, they are turning to colocation providers to reduce costs and increase sales. Colocation helps them to mitigate risks, scale faster, and reduce capital and operating expenditures.Interxion's colocation facilities connect to a broad range of telecommunications carriers, Internet service providers, and most leading cloud and digital media platforms. Among the cloud platforms it connects with are Amazon (AMZN) Web Services and Microsoft's (MSFT) Azure.As consumption of data increases on mobile devices, cloud computing continues to grow and new technologies like artificial intelligence increase in size, demand for infrastructure and services provided by Interxion will keep the company moving forward.RBC Capital Markets analyst Jonathan Atkin in a recent research note to clients said cloud computing growth continues to be a key driver for Interxion.IBD'S TAKE: Interxion has a IBD Composite Rating of 95 out of a possible 99, and is trading comfortably above its 50-day moving average, which is a positive indicator. It also has a Relative Strength rating of 89, meaning it tops 89% of all other stocks in terms of key performance metrics and technical strength.""Interxion's pan-European portfolio has benefited its growth profile, as it has enjoyed growth at different times in markets at varying stages of cloud adoption,"" Atkin wrote.The business outlook for colocation operators is strong. Synergy Research's Dinsdale estimates the market for data-center colocation services will top $62 billion by 2022, nearly double its $31.5 billion size last year, for a compound annual growth rate of about 15%. Research firm IDC says that 53% of European businesses currently use or plan to build a hybrid cloud solution.In addition to Interxion and Equinix, other colocation providers include Digital Realty (DLR) and DuPont Fabros Technology. Others include CoreSite Reality (COR) and CyrusOne (CONE).In the third quarter, Interxion showed revenue growth of 25% to $147.4 million from the year-ago period, with adjusted earnings rising 38% to 18 cents a share. Recurring revenue in the third quarter represented 94% of total revenue.On the company's earnings conference call, Ruberg said the demand from cloud computing vendors is strong and coming from multiple providers, which he said was ""in line with our strategy and our expectations.""Oppenheimer analyst Timothy Horan, following Interxion's January expansion announcement, reiterated a buy rating on Interxion and raised his price target to 68, from 62.""Interxion announced the largest capacity expansion in its history, evidence that demand across Europe is intensifying,"" Horan wrote in his research note.For a variety of reasons, said Synergy Research's Dinsdale, the colocation market is heavily focused around key metropolitan areas. Just four of those regions — London, Frankfurt, Paris and Amsterdam — account for almost half of the total European market.""Interxion is well positioned in those metro markets, being a top five player in Amsterdam, Paris and Frankfurt, and a top ten player in London. It is also well positioned in some secondary key metros such as Zurich and Dublin,"" Dinsdale said.YOU MIGHT ALSO BE INTERESTED IN:Cloud Services Drive New Data CentersIBD Rating Upgrades: Equinix Flashes Improved Technical Strength
"
2,DLR,"Telecom companies dashed the hopes of investors betting on a frenzy of mergers and acquisitions last year, but Broadcom's (AVGO) pursuit of Qualcomm (QCOM) and Walt Disney's (DIS) deal with 21st Century Fox (FOXA) have primed the pump for 2018 M&A in semiconductors and media.Wall Street analysts say 2018 is shaping up a bigger year for mergers and acquisitions, amid slower activity since the 2015 boom.One reason is the expected cut in corporate taxes, including lower levies on overseas cash brought into the U.S. For private equity firms and others that structure deals using high-yield debt the good news is that deductions on interest expenses are still allowed, though capped.Some companies may target deals that optimize corporate structure around new tax policies, says investment bank Goldman Sachs. Others may take the common M&A routes of gaining scale and cutting costs or expanding into new markets.""All the right ingredients are in place,"" said Marc Suidan, a partner and tech sector leader in PricewaterhouseCooper's M&A advisory practice. ""Tax clarity could bring some money onshore, facilitating some transactions. A lot of big tech companies have ample cash in any event. And, strategically companies are making big bets on emerging technologies.""PwC says tech companies will aim to acquire startups in artificial intelligence, augmented reality, and the Internet of Things, a system of web-connected devices.IBD'S TAKE: Read IBD's The Big Picture column each day to stay on top of the market direction, a key indicator that lets you know when you can be aggressive and when you should move to the sidelines.Startups' easy access to venture capital funding, though, has made it hard for tech giants to gobble up hot private companies.Another reason for slower M&A in 2017 was public company valuations. Targeted companies were leery of all-stock acquisition proposals, analysts say, fearing a possible market correction.Goldman Sachs analysts are among those expecting a rebound in 2018 after M&A activity dipped in late 2016 and 2017. Republicans pushed through lower corporate tax rates, which may free up cash for deal making.""Reduced policy uncertainty should increase the fundamental incentive for corporate acquisitions,"" a Goldman Sachs report said.Companies that could be involved in M&A in 2018 include Twitter (TWTR), Twillio (TWLO), Cornerstone OnDemand (CSOD), Hortonworks (HDP), Lumentum Holdings (LITE) and Acacia Communications (ACIA), the investment bank said.Of course, even if a sector looks ripe for consolidation, merger talks can fizzle out. Telecom investors bid up shares of T-Mobile US (TMUS), Sprint (S), Dish Network (DISH) and Charter Communications (CHTR) on takeover speculation in 2017 only to be disappointed.T-Mobile and Sprint shelved their merger talks in November. And cable TV firm Charter remains independent despite rumored suitors such as Verizon Communications (VZ), Japan's SoftBank, Altice US (ATUS) and Comcast (CMCSA).Here's a snapshot of sectors and companies to watch in 2018:Media. In the wake of Disney gobbling up much of 21st Century Fox, more media deals are expected. Discovery Communications (DISCA) and Scripps are already betrothed. Some analysts speculate that CBS (CBS) will be next to find a mate. RBC Capital sees a potential match in CBS and Lions Gate Entertainment (LGF).The Trump administration has sued to block AT&T's (T) purchase of Time Warner (TWX), creating uncertainty over antitrust policy. A federal judge may not rule on the case until late spring 2018. While Comcast dropped out of the bidding for Fox assets, the cable TV firm is unlikely to stay on the sidelines.FANG (Facebook (FB), Amazon.com (AMZN), Netflix (NFLX) and Google) companies. Amazon, after acquiring Whole Foods to boost its retail distribution, could turn its attention to entertainment assets, some analysts speculate. Google-parent Alphabet (GOOGL) acquired part of HTC's smartphone business in 2017 but the internet giant hasn't made a major acquisition since smart device maker Nest Labs in 2014.Google's cloud computing business might benefit from acquiring a large software company, but most analysts doubt that will happen. Google instead partnered with Salesforce.com (CRM) last year. Facebook, meanwhile, is likely to remain focused on small deals in artificial intelligence and other emerging technologies.Semiconductors. Broadcom's hostile bid for Qualcomm is shaping up as an epic battle. One wild card: whether Qualcomm can first close its purchase of automotive chipmaker NXP Semiconductors (NXPI). Elliott Advisors, an activist hedge fund, is pressuring Qualcomm to up its offer.Nvidia (NVDA), though cash-rich, has shied away from big deals.  Xilinx (XLNX), though, makes a good fit for Nvidia, KeyBanc Capital speculates.  Either Nvidia or Xilinx, meanwhile, could make an offer for Ambarella (AMBA), analysts say.Romit Shah, an analyst at Nomura Instinet, says a M&A wave among midcap stocks is possible in 2018. ""The sweet spot, in our opinion, is companies in the $1 billion to $15 billion market cap range,"" he said in a report. ""These companies include Dialog Semiconductor (DLG), Diodes (DIOD), Macom Technology (MTSI), Maxim Integrated (MXIM), MaxLinear (MXL), and Microsemi (MSCC).""Payments. Vantiv (VNTV) acquired U.K.-based Worldpay in July, marking the sector's biggest 2017 deal. There's speculation that PayPal Holdings (PYPL), with $6 billion in cash, could target Europe's Adyen. James Faucette, a Morgan Stanley analyst, says the pace of M&A picked up in the payments industry in 2017. ""We see no signs of the trend abating especially as tax reform could help efficient cash repatriation and make funds available for deployment (i.e. PayPal),"" he said in a report.Software. A tax holiday on overseas profits brought to the U.S. should give Microsoft (MSFT) and Oracle (ORCL) more cash to make acquisitions. Other companies with ample cash on their balance sheets include VMware (VMW), Adobe Systems (ADBE),  ServiceNow (NOW), Red Hat (RHT) and security firm Palo Alto Networks (PANW). For many buyers, the focus is expected to be on fast-growing software-as-a-service companies. The customers of SaaS vendors purchase renewable subscriptions, rather than one-time, perpetual software licenses.Cloud computing data centers. The sector has been busy with Digital Realty (DLR) buying DuPont Fabros and Equinix (EQIX) acquiring data centers from Verizon.  Equinix continued its buying spree in late December, purchasing Australia's Metronode. Europe-based InterXion Holding (INXN) could be targeted, says Oppenheimer.RELATED:Wall Street Analysts Identify Top Chip Takeover Targets For 2018These Stunning Stats Reveal Epic Netflix-Amazon-Hulu-Apple War To Come2018 Stock Market Outlook: What To Watch For In The New Year
"
3,DLR,"On Thursday, Digital Realty Trust (DLR) got an upgrade to its Relative Strength (RS) Rating, from 70 to 75. X This proprietary rating identifies technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price performance over the trailing 52 weeks stacks up against all the other stocks in our database. History shows that the market's biggest winners often have an RS Rating north of 80 in the early stages of their moves. See if Digital Realty Trust can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereDigital Realty Trust is trying to complete a cup without handle with a 127.33 buy point. See if it can clear the breakout price in heavy volume. EPS growth declined in the company's most recent report from 8% to 5%, but sales rose from 10% to 12%. Digital Realty Trust holds the No. 8 rank among its peers in the Finance-Property REITs industry group. CoreSite Realty (COR), Terreno Realty (TRNO) and Xenia Hotels & Resorts (XHR) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,DLR,"On Thursday, Digital Realty Trust (DLR) earned an upgrade to its Relative Strength (RS) Rating, from 68 to 71. X IBD's unique RS Rating measures market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. Over 100 years of market history reveals that the best stocks tend to have an RS Rating north of 80 as they launch their largest climbs. See if Digital Realty Trust can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More In StocksDigital Realty Trust broke out earlier, but is now trading about 4% below the prior 121.63 entry from a cup without handle. If a stock you're tracking clears a buy point then falls 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and buy point. Also understand that the latest consolidation is a later-stage base, which makes it riskier to establish a new position or add shares to an existing one. Earnings grew 8% last quarter, up from 7% in the prior report. Revenue also increased, from 9% to 10%. Keep an eye out for the company's next round of numbers on or around Oct. 27.The company earns the No. 16 rank among its peers in the Finance-Property REITs industry group. CoreSite Realty (COR), Terreno Realty (TRNO) and Potlatch (PCH) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,DLR,"Shares of data-center operator Switch (SWCH) jumped as much as 46% on the first day of trading before settling back for a gain of more than 22%.XSwitch raised $531 million in its initial public offering, with shares priced at 17. Switch stock rose 3.84 to close at 20.84 on the stock market today.Switch competes with CoreSite Realty (CORE), CyrusOne (CONE), Digital Realty Trust (DLR) and Equinix (EQIX).Switch's IPO was the third-largest this year, behind Snap's (SNAP) $3.9 billion and Altice USA's (ATUS) $2.2 billion offerings.Data center operators such as Equinix provide space, power and cooling. Customers pack the warehouse-size data centers with their own computer servers and other gear. Cloud computing — especially whisking data to mobile devices or PCs — has increased demand for data center space.IBD'S TAKE: Interested in recent IPOs such as Roku and Argentina's Despegar.com? Check out IBD's IPO Leaders.Switch reported 2016 net income of $31.4 million on revenue of $318.4 million.Las Vegas-based Switch's customers include Amazon.com (AMZN), eBay (EBAY) and PayPal Holdings (PYPL).RELATED:Roku Refreshes Streaming Device Lineup For Holiday SeasonStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksLooking For The Next Nvidia? Start With This Simple Routine
"
6,DLR,"On Wednesday, Digital Realty Trust (DLR) got a positive adjustment to its Relative Strength (RS) Rating, from 70 to 74. X This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price movement over the trailing 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners often have an RS Rating north of 80 in the early stages of their moves. See if Digital Realty Trust can continue to rebound and hit that benchmark. Digital Realty Trust is building a flat base with a 121.63 entry. See if it can clear the breakout price in heavy trading. Earnings grew 8% last quarter, up from 7% in the prior report. Revenue also increased, from 9% to 10%. The company holds the No. 20 rank among its peers in the Finance-Property REITs industry group. Coresite Realty (COR), Agree Realty (ADC) and Gaming and Leisure Properties (GLPI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,DLR,"Data center operator Digital Realty Trust (DLR), a real estate investment trust with an annualized dividend yield of 3.2%, announced plans Friday to buy smaller competitor DuPont Fabros Technology (DFT) for nearly $5 billion. Digital Realty is much bigger than DuPont Fabros, operating 156 data centers around the world. DuPont, on the other hand, operates 12 in three major U.S.…
"
8,DLR,"Is the porridge still just right? That is, not too cold, not too hot? It may depend on what asset class you are tasting. The S&P 500 fell for the fourth time in five sessions on Wednesday, falling 0.2%. Yet at 2362 the large-cap benchmark is only 1.6% below its all-time high of 2400.98. The Nasdaq composite squeaked higher, halting…
"
9,DLR,"Amazon.com's (AMZN) cloud computing service has the inside track to win a massive deal to modernize the Department of Defense's information technology system, with Alphabet's (GOOGL) Google and Microsoft (MSFT) the underdogs, a report said Friday.The Pentagon's ""Project JEDI"" could be a 10-year multibillion-dollar contract and the government might award the deal to a single cloud computing vendor, said the Wells Fargo report.""Amazon Web Services is seen as the clear front-runner given its scale and experience with federal agencies (it won a $600 million contract with the CIA in 2013). However, the plan for a single vendor is not without controversy,"" said Eric Luebchow, a Wells Fargo analyst in a report.""Let's not forget President Trump's recent vendetta against Amazon — could he influence the process?,"" added Luebchow.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAWS is the biggest cloud computing services provider followed by Microsoft and Google. Cloud service providers lease number-crunching computers and data storage via the internet. They also sell applications and software that run on cloud infrastructure.The Wells Fargo analyst says data center operators have a stake in who wins the DoD contract. If Microsoft wins the deal, he says it would be a plus for Digital Realty (DLR), CyrusOne (CONE) or Equinix (EQIX).""With final request for proposals out in May, and an award expected by end of September, this will be an interesting story to track for both cloud and data center investors,"" said Luebchow.Amazon shares dropped 1.2% to close at 1,430.79 on the stock market today.YOU MAY ALSO BE INTERESTED IN:Google Reveals Cloud Revenue For First Time; Amazon Still TopsHow Google Can Race Ahead Of The Pack In Self-Driving CarsChart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityLooking For The Best Stocks To Buy And Watch? Start Here
"
