,ticker,content
0,EFX,"Consumer credit reporting agency TransUnion (TRU) beat Q1 forecasts, raised its full-year guidance above consensus, and agreed to buy U.K.-based Callcredit.Estimates: Wall Street expects EPS to rise 21.1% to 46 cents per share according to Zacks Investment Research. Revenue is seen growing 11.4% to $507 million.Results: EPS of 57 cents on revenue of $537 million. U.S. online data services revenue rose 25% to $228 million, marketing services revenue grew 23% to $52 million, and decision services revenue climbed 8% to $63 million. International revenue rose 15% to $96 million, and consumer interactive revenue added 12% to $118 million.Outlook: Q2 EPS of 59-60 cents, vs. consensus views for 59 cents, on revenue of $534 million-$539 million, above views for $525 million. Full-year EPS is now seen at $2.37-$2.41, above views for $2.34, on revenue of $2.170 billion-$2.185 billion, above views for $2.14 billion.""This was driven by strong performance in each of our segments, highlighted by the ongoing success of our innovation pipeline, attractive vertical markets and outstanding international positions,"" said CEO Jim Peck in a statement. ""As we look ahead, we are well positioned to continue to deliver strong results in 2018 and beyond.""Stock: TransUnion skyrocketed 10.4% to close at a record high of 66.84 on the stock market today, blasting above a 61.52 buy point from  a third-stage flat base. The breakaway gap is an unusually bullish move and establishes a new buy range with 64.03 as the entry.The company's relative strength line is also at an all-time high, and it boasts an unsurpassable IBD Composite Rating of 99, placing it in the top 1% of stocks tracked.Shares of Equifax (EFX) edged up 1.1% Friday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTransUnion is the smallest of the big three credit agencies, behind U.K.-listed Experian and Equifax. The firm also markets credit reports and other credit and fraud-protection products to consumers.YOU WILL ALSO BE INTERESTED IN:Equifax Exec Charged By SEC For Dumping Stock After Learning Of Mass Data Breach Still Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain StockStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksBanks And Financial Stock News 
"
1,EFX,"A former Equifax (EFX) executive has been charged by the Securities and Exchange Commission for allegedly dumping his stock after learning of the company's massive data breach.X Jun Ying, who was the chief information officer, is facing insider trading charges for selling shares before the consumer credit reporting agency announced the cybersecurity failure last summer, which affected 147.9 million Americans.Ying exercised all of his vested Equifax stock, then sold the shares, reaping proceeds of nearly $1 million. He was able to avoid $117,000 in losses due to the illegal trades, according to the SEC.The U.S. Attorney's Office has also announced parallel criminal charges against Ying.""As alleged in our complaint, Ying used confidential information to conclude that his company had suffered a massive data breach, and he dumped his stock before the news went public,"" Richard R. Best, director of the SEC's Atlanta regional office, said in a press release. ""Corporate insiders who learn inside information, including information about material cyber intrusions, cannot betray shareholders for their own financial benefit.""The SEC's complaint charges Ying with violating the antifraud provisions of federal securities laws and seeks disgorgement of ill-gotten gains plus interest, penalties, and injunctive relief.Equifax stock closed down 0.4% at 123.19 on the stock market today. TransUnion (TRU) edged up 0.1% to 58.35.IBD'S TAKE: Despite the outrage against the company now, a JPMorgan analyst said Equifax will probably be fine. Equifax, which was founded in 1899, collects information on more than 800 million individual consumers and more than 88 million businesses worldwide.The Atlanta firm is one ""Big Three"" credit agencies along with Experian and TransUnion.Three other Equifax executives had previously drawn attention for disclosing stock sales just days before the breach was made public.CFO John Gamble sold almost $950,000 worth of shares, and U.S. information solutions president, Joseph Loughran, sold shares worth about $685,000 on Aug. 1. Workforce solutions president, Rodolfo Ploder, sold stock worth more than $250,000 on Aug. 2. However, Equifax found that none of those executives knew about the breach when they sold their securities.The big breach began in mid-May, but was not observed until July 29, according to Equifax. But the company waited until Sept. 7 to publicly disclose the hack.As well as the American customers, information on up to 44 million British residents as well as 8,000 Canadian residents were also compromised. It is one of the biggest data breaches in history.There was also a breach in March 2017, which was reported on Sept. 18, 2017. According to Bloomberg, a person familiar with the breach said this intrusion may have been carried out by the same hackers who breached the company's systems in May.YOU MAY ALSO BE INTERESTED IN:Still Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain StockEquifax CEO Richard Smith Retires After Mass HackBanks And Financial Stock NewsStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth Stocks 
"
2,EFX,"MFS Mid Cap Growth Fund (OTCIX) is flexing its muscles. After topping 69% of its midcap growth rivals tracked by Morningstar.com last year with a 26.29% return, the $3.1 billion portfolio is outpacing 86% of its peers with a 15.33% gain this year going into June 21.It's also topping the S&P 500's modest 4.46% advance. The fund's strong performance this year has been fueled by holdings that include such leading growth stocks as Abiomed (ABMD), Netflix (NFLX), Lululemon Athletica (LULU), TransUnion (TRU) and Five Below (FIVE).Gains this year by those stocks range from 30% by TransUnion to 104% by Netflix and 118% by Abiomed.Relative performance has ramped up for this growth fund this year as many holdings have posted solid financial results. ""The first quarter was particularly strong for us with many stocks reporting good earnings and an unusually low number of misses (in comparison to analysts' forecasts),"" co-manager Paul Gordon said.Solid stock picking has been another factor. The market tide is no longer rising, lifting all boats. ""Volatility in markets has picked up and correlations have dropped,"" Gordon said. ""There is more separation between winners and losers.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAmid tighter monetary conditions, investors have gravitated mainly into stocks posting the most attractive earnings gains, he adds.In addition, Gordon and his colleagues Eric Fischman and Matthew Sabel aim to control risk. ""We construct the portfolio so no single sector, industry or security will be more than 500 or 600 basis points over or under our benchmark, the Russell Midcap Growth Index,"" Gordon said.The growth fund began its current stake in Abiomed in Q1. ""(It's) key driver is a heart pump called Impella, which is focused on an unserved part of the heart disease market,"" Gordon said. ""It has been extremely successful because it improves patient outcomes — fewer deaths, fewer re-hospitalizations — and lowers cost to the system.""Abiomed is only 10% penetrated in what they call their total addressable market, Gordon says. ""But that TAM could increase as they expand into other indications in the future,"" he added.Netflix's earnings per shares grew at a triple-digit pace in four of the past six quarters. ""With 125 million paying subscriber base, there's a significant long-term runway for that number to go higher, based on the number of people in the world paying for TV and connected to the internet,"" Gordon said.Also, Netflix share price — which set all-time highs above 400 in June — got a boost when the company demonstrated pricing power in a series of price hikes. ""What the market really liked was that there was no significant change in the number of people who unplugged because of price increases,"" Gordon said.IBD'S TAKE: Keep your eye on Netflix by checking in to IBD's online page devoted to news and analysis focused on the content provider.Athletic apparel maker Lululemon's quarterly EPS growth has accelerated, growing 3%, 19%, 33% and 72% the past four stanzas. Share price is up more than 60% so far this year. Are there that many people taking up yoga? Or is the stock's jump due to an increasing number of people who want to wear stylist exercise garb even when they are nowhere near a yoga studio? Or is it a combination of the two?The stock's uptrend is a recovery from the slide that occurred from mid-2016 to mid-2017. Gordon attributes it to getting past quality and assortment problems that weighed on company performance.""After several years of operational issues that distracted the company, they've come out strong on the innovation side, both in women's and men's apparel,"" Gordon said.The growth fund began to buy TransUnion in November after deciding to exit Equifax (EFX) in the wake of its data breach scandal. ""We think there is a need for their (credit reporting) product,"" Gordon said. ""We think the Equifax issues were isolated and that it's possible TransUnion could gain market share as a result.""The MFS team likes TransUnion in its own right. ""We believe TransUnion could have above-industry growth from innovation in its core credit (business) that will make credit decisions more accurate and thereby drive pricing,"" Gordon said.He also says the company should benefit from further penetration into the health care, auto and insurance markets, and from greater exposure to emerging markets.Five Below's price discounts and focus on a teen market help insulate it from the problems dogging many brick-and-mortar retailers. ""They are more isolated from the Amazon (AMZN) threat,"" Gordon said. ""Like other dollar-store or off-price concepts, they offer a treasure hunt to their younger skewed demographic. It also has one of the longest runways for store growth in all of retail.""The chain now operates more than 400 stores, ""and long-term they believe they could operate over 2,000,"" Gordon said. ""It will take longer than five years at their current rate of growth.""The chain benefited last year from strong sales of Fidget Spinners. Five Below posted strong comparable sales in its latest quarter, surprising investors who expected a letdown after the Fidget Spinner fad. ""This showed that the company can comp impressively without the benefit of a hot trend,"" Gordon said.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:You Need This Much Retirement Savings At Your Age And IncomeMillennials: Tips For Reaching Goal Of Becoming A Millionaire
"
3,EFX,"The WannaCry cybersecurity attack in May, 2017, targeted tens of thousands of computers scattered across more than 70 countries. The attackers, thought to a be a group located in North Korea, demanded ransom fees in bitcoin. They promised to unfreeze computers in return. The assault on global network computing underscored the internet's rampant vulnerabilities. It caused Britain's public health system…
"
4,EFX,"After being dominated by small-cap stock funds the year before, the best large-cap mutual funds came back strong in the third annual IBD Best Mutual Funds 2018 Awards.Winning Best Mutual Funds Awards isn't easy. The best large-cap mutual funds don't just beat their index for one year. The same goes for the best midcap mutual funds and the best small-cap mutual funds. They need to beat the S&P 500 Index in the one-, three-, five-, and 10-year periods.IBD looked at funds at least 10 years old with at least $100 million in assets. Out of 661 large-cap mutual funds meeting those criteria, 92 beat the S&P 500 in all four periods. Of 231 midcap mutual funds, only 16 qualified. And out of 295 small-cap funds, just 17 took top honors.Large-cap mutual funds hold stocks with large market capitalization, which is derived by multiplying number of shares outstanding by the share price. Morningstar Inc. defines large caps as stocks in the top 70% the capitalization of U.S. stocky market. This means a market cap greater than $20 billion.Of the five best large-cap mutual funds capturing IBD awards in 2018, four are index funds. The only actively managed award winning fund is $5.3 billion Fidelity OTC (FOCPX), which took top place in the first Mutual Fund Awards. After a manager shake-up in September 2017, Sonu Kalra who ran the fund from 2005 to 2009, returned to co-run it.OTC is an aggressive growth stock fund that seeks capital appreciation. Kalra looks for companies with a strong franchise, a high bar that other companies must clear in order to compete, and strong management team aligned with shareholders.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Larger companies are doing better because the global economy is doing better,"" said Kalra. ""If you look at the indicators over the past several months, they indicate the global economy will continue on that path.""The fund holds many of the top tech stocks like Apple (AAPL), Alphabet (GOOG), the parent of Google, Amazon.com (AMZN), Facebook (FB), Tesla (TSLA), and Nvidia (NVDA).Kalra also likes video game maker Activision Blizzard (ATVI). He said there many revenue opportunities with game makers like Activision. With digital downloads, they get revenue immediately and don't share any with retail stores. Consumers also purchase upgrades while playing to enhance their chances of winning. In addition, they are moving the franchise onto smartphones and away from consoles to widen their audience. Video game makers are now building leagues where people watch players in stadiums. This brings in ticket sales, merchandise revenue, food and other revenue streams.Chip Reed the co-portfolio manager of the Eaton Vance Capital SMID-Cap Fund (EISMX) has been managing the fund since inception. He said the midcap range starts around $6 billion to $8 billion.He says he's more cautious on the economy these days and spends a lot of time looking, but not a lot of time buying.He likes credit rating agency TransUnion (TRU), which should benefit from the sell-off in Equifax (EFX). He said TransUnion upgraded its technology and has been aggressive about picking up market share.Fair Isaac (FICO), which takes the credit bureaus' data and makes your credit score, has been a home run for the fund.Markel (MKL) is a specialty insurance company that takes nonstandard, higher-risk policies that larger firms can't make money on. ""They've figured out how to make money by underwriting these policies. It's one of our favorites,"" said Reed.Among the best small-cap mutual funds is Virtus KAR Small Cap Growth (PXSGX). Todd Beiley, co-portfolio manager, said he looks for three things when buying a business, durable competitive barriers, a compelling opportunity he can understand and a price that makes sense. He doesn't find many. The fund only owns 28 stocks and most of them it's owned more than five years.""We try to find great businesses and sit on our hands as much as possible,"" said Beiley. It seems to be working. Last year the fund returned 37%. It also beat its benchmark, the Russell 2000 Growth Index, in all time periods, as well.Among Beiley's top picks is the Rightmove ADR.  This firm is the U.K.'s leading online listings website for residential properties. He said it's a very profitable company because it doesn't require a lot of capital to operate, it has about 80% market share, which gives it pricing power, and operating margins are greater than 70%. It also distributes excess cash flow back to shareholders as dividends and share buybacks.Fox Factory Holding (FOXF), a maker of high-performance suspension products for mountain bikes, off-road trucks and all-terrain vehicles, has more than a 50% market share in a specific product category where brand and reputation are very important, Beiley says.YOU MAY ALSO BE INTERESTED IN:Read The Full IBD Best Mutual Funds Awards 2018 Special ReportHere's The List Of The Best Mutual Funds Award Winners By CategoryBest Mutual Funds: News, Performance Reports And Investing IdeasHow To Invest Like Fidelity Stock Gurus Will Danoff And John RothWhich Stocks Are The Best Mutual Funds Buying — And Selling? 
"
5,EFX,"Four Equifax (EFX) executives did not commit insider trading when they sold shares of the credit-rating bureau in the days after it discovered a massive security breach, according to findings from a special committee that were released Friday.XThe committee, which was formed in September to investigate those trades, said that ""none of the four executives had knowledge of the incident when their trades were made, that pre-clearance for the four trades was appropriately obtained, that each of the four trades at issue comported with Company policy, and that none of the four executives engaged in insider trading.""The committee, composed of independent Equifax board members, found that CFO John Gamble, president of U.S. information relations Joseph Loughran, investor relations director Douglas Brandberg, and workforce solutions president Rodolfo Ploder first learned that ""a security issue was being investigated"" at various points in August after the sales occurred.The stock sales were the subject of a criminal investigation by the Justice Department, Bloomberg reported in September. The breach led to the departures of CEO Richard Smith and other executives.Suspicions of the trades were first raised after Equifax detailed the timing of the breach, which left more than 145 million U.S. consumers vulnerable to identity theft and left many feeling hopeless about their ability to protect their personal information.The company said that the data breach — in which hackers likely accessed Social Security and driver's license numbers, birth dates and addresses — likely occurred from mid-May through July, and that it discovered the intrusion on July 29.CFO John Gamble sold $946,374 worth of the company's stock on Aug. 1. Joseph Loughran also sold shares on that date. Ploder and Brandberg made their trades on Aug. 2. Equifax disclosed the breach to the public on Sept. 7.Equifax shares were down 0.2% at 108.70 on the stock market today and are more than 25% off their high reached before the hack was revealed.  Rival TransUnion (TRU) rose 0.8% to 53.86, a record close.IBD'S TAKE: Despite the outrage against the company now, a JPMorgan analyst said Equifax will probably be fine. Yum Brands' (YUM) Pizza Hut, Amazon's (AMZN) Whole Foods and Sonic (SONC) and Hyatt (H) are among the companies that have disclosed security breaches in recent weeks. According to an Ars Technica report last month, Equifax's site was being used to send out fake, malicious Flash updates.That news was ""just Reason No. 10,000 why consumers should assume their personal information is already out there and act accordingly,"" Matt Schulz, a senior industry analyst from CreditCards.com, said in an emailed statement at that time.RELATED:Sonic Discloses That Hackers Breached Customers' Credit CardsEquifax CEO Richard Smith Retires After Mass HackKey Question On Equifax Options Trade Is Who Initiated OrderEquifax Stock Sales Said To Be Focus Of U.S. Criminal Probe
"
6,EFX,"Equifax CEO and Chairman Richard Smith retired, effective immediately, in the wake of a massive hack recently disclosed that may have exposed up to 143 million Americans.The cybersecurity incident has affected millions of consumers, and I have been completely dedicated to making this right.  At this critical juncture, I believe it is in the best interests of the company to have new leadership to move the company forward,"" Smith said in a statement.The credit reporting agency named Equifax president of Asia-Pacific Paulino do Rego Barros as interim CEO and current director Mark Feidler as nonexecutive chairman. The company will search for a permanent CEO.Equifax shares fell 2.45% to 102.52 just before the opening bell on the stock market today. The stock has tumbled 26% since Sept. 7, when Equifax disclosed the hack and then came under heavy criticism over the time of the release and some of its subsequent steps. But shares have rebounded in recent sessions.RELATED:Key Question On Equifax Options Trade Is Who Initiated OrderEquifax Stock Sales Said To Be Focus Of U.S. Criminal ProbeEquifax Fallout Continues, But The Hack's Earnings Effect Will Surprise YouWhat You Should Do Now To Protect Yourself From The Equifax Data Breach
"
7,EFX,"Getting to the bottom of an Equifax (EFX) options trade that has reportedly piqued the interest of congressional investigators will require a determination that plagues anyone looking for villains in markets.Namely, who made the trade. Not the person's name, necessarily, but whether he came to the market as a buyer or a seller. Getting an answer will be key to telling if the transaction is evidence of illicit intent, or just another weirdly timed options trade that doesn't amount to anything.And while it's impossible to be definitive, a couple traders see signs it was the latter.The question is of extra consequence in Equifax, where data show a surge in bearish put contracts weeks before the credit-reporting firm disclosed a security breach that sent its stock down 35%. CNBC reported Wednesday that a House committee is seeking information on the trades, which Business Insider said could've grossed $10 million.An Equifax spokeswoman didn't respond to a telephone call seeking comments on the options trades. The reported probe is separate from a Securities and Exchange Commission investigation of stock sales by Equifax insiders before the Sept. 7 disclosure.One piece of data the panel will be interested in is whether volume in the options was initiated by buyers or sellers. While puts in their simplest form are wagers that a stock will fall, in the through-the-looking-glass world of derivatives markets, an equally important consideration is whether the trader was bullish or bearish when he entered the transaction.In short, someone who sold the put — that is, had a bearish view on the contract, as opposed to buying it — would not have made money in the subsequent Equifax rout. While ""selling a put"" sounds absurd — betting on a decline in an option that itself is a bet on a decline in a stock — it happens all the time. Traders do it when they're convinced a stock won't fall and want to pocket the price of the option.Establishing who makes and loses money on a given options trade is as much art as science. In the case of Equifax, data compiled by Bloomberg show that almost 2,700 puts changed hands on Aug. 21, the most for any day since 2005, including two blocks of 1,250 September $135 puts each. At the same time, some see evidence those contracts were ""sold"" — that is, a seller approached market makers and asked the options be ""written"" and purchased from him.What evidence? Mainly that the two blocks of options changed hands at 70 cents and 75 cents, or near the ""bid,"" the market price set by a buyer (the options had a bid/offer spread of 70/95 cents). Normally, when a seller initiates a transaction, he must do it at his counterparty's terms.""The size is definitely unusual given the average total daily volume below 50 contracts, but the trade details suggest an opening seller initiated the trade, so it's not quite the smoking gun that some other reports have suggested,"" Henry Schwartz, president of analytics firm Trade Alert wrote in an email. ""Based on implied volatility and the bid-offer spread at the time of the trade, it seems very clear the options were sold given the $0.70 and $0.75 execution prices.""A sold option could conceivably be part of a larger, bearish trade, such a short sale on the underlying stock, but there's little evidence that was the case here, said Peter Cecchini, chief market strategist at Cantor Fitzgerald.""Based on the reading of the tape we don't see any indication there was a stock portion to this,"" Cecchini said. ""It looks like it was a seller, and either way it didn't work out very well for whomever sold the put unless they closed it prior to the news, and doesn't look like that happened.""
"
8,EFX,"The U.S. Justice Department has opened a criminal investigation into whether top officials at Equifax (EFX) violated insider trading laws when they sold stock before the company disclosed that it had been hacked, according to people familiar with the investigation.Prosecutors are looking at the stock sales by Equifax Chief Financial Officer John Gamble; President of U.S. Information Solutions Joseph Loughran; and President of Workforce Solutions Rodolfo Ploder, said two people, who asked not to be named because the probe is confidential.The company and the executives didn't immediately respond to requests for comment.Equifax disclosed earlier this month that it discovered a security breach on July 29. The three executives sold shares worth almost $1.8 million in early August. The company has said the managers didn't know of the breach at the time they sold the shares.To run afoul of laws that prohibit insider trading, a seller has to be aware of nonpublic information, said Stephen Crimmins, a former enforcement lawyer for the Securities and Exchange Commission.The probe will be handled by the U.S. attorney's office in Atlanta, where the credit firm's headquarters is located, said one of the people.  A spokesman for the U.S. attorney's office in Atlanta declined to comment.More than one third of U.S. senators have called on the Securities and Exchange Commission, in addition to the Justice Department, to get to the bottom of whether Equifax managers violated insider trading laws when they sold stock days after the company found out it was hacked.Separately, state and federal regulators and law enforcers are scrutinizing the company's data security practices and its response to the breach. The U.S. Federal Trade Commission and a Congressional committee with subpoena power last week joined the growing number of bodies scrutinizing the cyber attack that may have compromised the privacy of 143 million U.S. consumers.
"
9,EFX,"Heat continues to mount on credit reporting agency Equifax (EFX), which last week disclosed a massive breach in which hackers stole the personal identification information of as many as 143 million consumers.XOn Thursday, an open-source software organization said that it had publicly posted a patch for the vulnerability that hackers used to access Equifax data about two months before the hack, but that apparently Equifax did not install the patch before the breach took place, if it ever did.Separately on Thursday, the Federal Trade Commission said it is investigating the data breach. In addition, several congressional bills were filed that would hold Equifax and other data brokers accountable for such errors. And on Friday, U.S. Sen. Elizabeth Warren said she and other senators will introduce a bill to require credit bureaus to let consumers freeze their credit for free, according to Reuters news service. Some credit agencies charge around $5.A credit freeze blocks criminals from setting up bogus accounts whose purchases get charged to victims.The open-source software organization, the Apache Software Foundation (ASF), told IBD that it posted a patch for the vulnerability known as CVE-2017-5638 in the Apache Struts program on March 7.Equifax identified that as the vulnerability that hackers used. But the hack did not take place until mid-May through July, Equifax has said. Equifax realized it had been breached on July 29. Equifax disclosed the breach on Sept. 7.ASF suggested that an organization such as Equifax is presumed to be aware of such postings, but ASF does not know what if anything Equifax did know about the patch. It said that Equifax is not a customer of ASF and that ASF has no one-on-one relationship with Equifax.ASF spokeswoman Sally Khudairi told IBD by email: ""The Apache Software Foundation provides Open Source software that is freely available to all at no cost or restriction on its use. Those who wish to use our software projects simply download the projects from apache.org and/or one of many globally-distributed mirror sites.""Khudairi added: ""Any risks, along with patches, are announced and widely shared with Apache project communities. In addition, security vulnerabilities or exploits are disseminated on sites such as NIST (U.S. Department of Commerce National Institute of Standards and Technology) as well as dozens (if not hundreds) of software providers and security specialists (such as MITRE and Symantec).""Further, Khudairi said, ""As with all Apache software, patches are made available to the public at large. Financial services organizations are often known for being highly aware of security vulnerabilities in general, and are therefore particularly vigilant with their processes for patching any known exploits.""Equifax has not yet responded to IBD questions concerning the patch.ASF oversees more than 350 leading open source projects, including Apache HTTP Server — which it calls the world's most popular web-server software. ASF is a not-for-profit charitable organization, whose sponsors include high-profile corporations such as Capital One (COF), Comcast (CMCSA), Facebook (FB), Google (GOOGL), IBM (IBM), Microsoft (MSFT), Red Hat (RHT), Target (TGT) and Yahoo.Any entity can use ASF's software, even if they are not a sponsor. Equifax is not a sponsor.No one using the ""@equifax"" domain has communicated via email with ASF for almost two years, Khudairi says. ASF can't tell if an Equifax person communicated with ASF using a personal email address.On Sept. 8, the day after disclosing the breach, Equifax stock gapped down 14%. In the stock market today, its shares were trading near 91.40, down 37% from its 52-week high reached July 26.Shares in Symantec (SYMC), which owns credit monitoring service LifeLock, broke out above a 33.32 buy point in an irregular base Tuesday. It dipped below the buy point the next two days but rose back above it Friday. The stock ranks fourth in IBD's computer software security group, according to IBD's Stock Checkup. The industry group's ranking has risen to 60 from 177 three weeks ago. IBD tracks 197 industry groups.RELATED:Should You Join Lawsuits Mushrooming Against Equifax?Bogus Online Transactions Are Up In Wake Of Equifax BreachWhat You Should Do Now To Protect Yourself From The Equifax Data Breach 
"
