,ticker,content
0,EOG,"EOG Resources (EOG) saw its IBD SmartSelect Composite Rating rise to 96 Thursday, up from 94 the day before. X The upgrade means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. Winning stocks often have a 95 or higher score in the early stages of a new price run, so that's a good item to have on your checklist when looking for the best stocks to buy and watch. EOG Resources broke out earlier, but is now trading right around the prior 119.10 entry from a cup without handle. If a stock you're tracking clears a buy point then falls 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new chart pattern and buy point. Looking For Winning Stocks? Try This Simple RoutineOne weak spot is the company's 77 EPS Rating, which tracks quarterly and annual earnings-per-share growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of C shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company posted a 693% increase in earnings for Q1. Sales growth climbed 41%, up from 39% in the prior report. The company has now posted rising growth in each of the last two quarters. EOG Resources holds the No. 14 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Penn Virginia (PVAC), Viper Energy Partners (VNOM) and Wildhorse Resource Dvlp (WRD) are among the top 5 highly-rated stocks within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
1,EOG,"When investing in crude oil stocks, investors have to be aware of three trends.The most obvious trend pertains to the price of oil. The second trend pertains to how oil stocks are behaving vs. the S&P 500. The third trend is determining which of the 10 industry groups in the oil space are doing best.So, what is the current situation on those three scores?Item 1: The price of oil hit a short-term closing low Feb. 13. Since then, light sweet crude is up 16%.Item 2: For the past couple of weeks, the oil stock sector held gains of 4% to 5% year to date, easily topping the S&P 500's roughly 2% decline.Item 3: Since the Feb. 13 low, the best performers in the oil space are international explorers, up 14%; field services, up 14%; drillers, up 14%; and U.S. explorers, up 13%. (The worst performer is the pipeline group, down 9%.)Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe third item is especially important. An investor can be right about the oil sector but if wrong about the oil groups, losses are likely.Three oil stocks appeared recently in the Big Cap 20, and they are from the strong groups. EOG Resources (EOG) and Continental Resources (CLR) are U.S. explorers. ConocoPhillips (COP) is an international explorer.EOG is a turnaround story. The company lost $1.61 per share in 2016 but delivered a profit of $1.12 per share in 2017. The Street estimates earnings will grow 309% to $4.58 per share this year.Houston-based EOG's relative strength line is rising and near a 52-week high. The RS line measures a stock's performance vs. the S&P 500. A rising line points to outperformance.EOG's stock chart is interesting. The stock spent most of 2017 constructing a cup-with-handle base. The base was 44 weeks long.The breakout came in late October, when the stock crossed above a 98.47 buy point. The stock rose almost 10%.Then a second consolidation formed. The decline wiped out all gains from the entry, which triggered a round-trip sell signal. A breakout Dec. 26 led to another 10% gain.EOG is now approaching a 119.10 buy point in somewhat odd cup pattern. The left side of the pattern was built in two weeks — weekly losses of 4% and 11%.What was the two-week drop about? Apparently oil prices, which fell 11% in the same period. The general market was going through a contraction as well. The latest base is more choppy than earlier patterns, so it's as well constructed.Continental Resources (CLR) cleared a 58.99 buy point in April and is now too extended to buy.ConocoPhillips (COP) also broke out in April. The stock is extended from a 61.41 buy point.RELATED:The Secret To Investing? It's Just Hard WorkCrude Stocks That Beat ViewsSix Stocks That Broke Out Recently
"
2,EOG,"EOG Resources (EOG) saw a positive improvement to its Relative Strength (RS) Rating on Friday, with an upgrade from 78 to 81. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique rating identifies price performance with a 1 (worst) to 99 (best) score. The score shows how a stock's price behavior over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the best-performing stocks tend to have an RS Rating of above 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksEOG Resources is building a cup without handle with a 119.10 entry. See if it can clear the breakout price in heavy trade. The company saw both earnings and sales growth rise last quarter. Earnings-per-share increased from 0% to 7,000%. Revenue rose from 25% to 39%. The next quarterly results are expected on or around May 8.The company holds the No. 22 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Energen (EGN), Jagged Peak Energy (JAG) and Ring Energy (REI) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,EOG,"Oilfield service providers Baker Hughes (BHGE), Schlumberger (SLB) and Halliburton (HAL) led a surge in energy-sector stocks Monday as crude prices jumped to the highest levels in more than two years.XWest Texas Intermediate crude, the U.S. benchmark, rallied 3.1% to settle at $57.35, the highest since July 2015.Baker Hughes, which merged earlier this year with GE's (GE) oil and gas unit, also said Monday it will buy back up to $3 billion of its common units, adding that its strong balance sheet positions it well to invest in growth.""Today's announcement represents an important step in our plan to optimize BHGE's capital structure,"" said Chairman and Chief Executive Officer Lorenzo Simonelli.The news followed BP's (BP) announcement last week that it would resume buybacks, and Royal Dutch Shell's (RDSA) strong quarterly report that raised hopes for more shareholder returns. After years of conserving cash amid historically low prices, oil companies are raising expectations among investors that capital deployment is starting to return to normal.Shares of Baker Hughes spiked 8.8% to 33.92 on the stock market today. Schlumberger jumped 5.5%, retaking its 50-day moving average, and Halliburton rose 4.3%.Those gains outpaced BP's 2.1% advance and Shell's 2.2% gain, with Exxon Mobil (XOM) and Chevron (CVX) seeing increases of 0.7% and 1.8%, respectively. Meanwhile, bellwether shale producers like EOG Resources (EOG) and Continental Resources (CLR) were up 2.35% and 3.7%, respectively.IBD'S TAKE: Watch for new technologies and efficiencies from the top U.S. oil producers as they try to get around price hikes from service providers Halliburton and Schlumberger.Analysts at RBC Capital Markets said Monday that Baker Hughes has strong cash flow capability and could even increase its dividend and buy back more stock in the future.""The merger of Baker Hughes and GE Oil & Gas has created a new heavyweight in the oilfield services sector,"" RBC's Kurt Hallead and David Lu wrote. ""We believe most investors will view BHGE as an energy conglomerate given its exposure throughout the value chain.""Until today, oilfield service stocks largely sat out the energy rally since the start of September. On Monday, an energy trading expert told CNBC that oil prices are more likely to rise toward $70 a barrel than sink back to $50 in the wake of a massive political shake-up in Saudi Arabia.$SLB wasn't invited to the energy party...should make for a nice catch up trade as they [hopefully] arrive fashionably late pic.twitter.com/9o1I9jB51u— Al Sabogal (@alsabogal) November 3, 2017RELATED:Halliburton Beats As North America Revenue Nearly DoublesSchlumberger: Oil Patch Now Focused On Cash Flow Vs. Output GrowthEnergy Stocks And Industry News: Oil, Gas, Solar, Coal 
"
4,EOG,"Continental Resources (CLR) and Carrizo Oil & Gas (CRZO) topped quarterly forecasts late Tuesday, while Parsley Energy (PE) turned in mixed results.XEstimates: A profit of 3 cents a share, swinging from a loss of 22 cents in the year-ago quarter, according to Zacks Investment Research. Revenue is seen rising 35% to $710 million.Results: EPS of 9 cents on revenue of $726.7 million. Total production rose 17% to 242,788 barrels of oil equivalent per day, with oil output up 21% at 140,611 barrels a day.Continental cut the average spud-to-total-depth drilling time of wells in the Bakken to 10.5 days, down 27% from the average time last year. Drilling costs were down 25% from the 2016 average.Outlook: Q4 average daily oil production is expected to grow 14%-18% sequentially. Full-year production is now seen at 238,000242,000 barrels of oil equivalent per day, up from a prior view of 230,000-240,000, and capital expenditures are seen at the high end of its earlier $1.75 billion-$1.95 billion guidance.""Continental's operations continue to become more capital efficient each quarter, allowing us to sustain our low-cost advantage,"" said Chairman and CEO Harold Hamm in a statement. ""Additionally, due to continued strong well performance in all of our plays, we are raising our exit rate production guidance to 280,000 to 290,000 Boe per day, a 33% to 38% increase over fourth quarter 2016. This positions us for strong, cash-flow-positive growth in 2018.""Stock: Continental rallied 0.9% late. Shares closed down 0.8% at 43.59 on the stock market today, as oil prices ticked lower.Estimates: EPS up 4.3% to 24 cents, with revenue climbing 61% to $179 million.Results: EPS of 33 cents on revenue of $181.3 million. Total production climbed 35% to 55,224 barrels of oil equivalent per day, with oil output up 43% at 34,903 barrels per day.Outlook:  Full-year drilling and completion capital expenditures are now seen at $600 million-$620 million, up from a prior view of $590 million-$610 million. Q4 oil production is seen at 40,400-40,800 barrels per day.""We remain committed to reducing our leverage and moving towards a free cash flow positive development program by year-end 2018,"" CEO Chip Johnson said in a statement. ""We expect to close on our Appalachia divestitures this month and expect to be able to announce a sale of our DJ Basin assets this quarter. We are also evaluating expanding our planned asset divestiture program to include other assets where we do not expect to allocate material capital over the next several years. This would allow us to increase the debt reduction targets we previously announced.""Stock: Carrizo jumped 3.5% late. Shares dropped 2.4% to finish at 19.49.IBD'S TAKE: Buying or holding a stock can be risky heading into an earnings report. Here's an earnings options strategy that can help you cash in on post-earnings stock gains, while minimizing the risk from a weak quarter.Estimates: EPS soaring 233% to 10 cents, with revenue up 83.5% to $244 million.Results: EPS of 12 cents on $241 million in revenue. Net production rose 66% to 71,500 barrels or oil equivalent per day.Outlook: 2018 capital expenditures of $1.35 billion-$1.55 billion, equating to oil production of 67,500-72,500 barrels per day.Stock: Shares rose 0.5% to 28.40.RELATED: Diamondback Energy Beats Views, Narrows Capex Outlook; Matador TopsEOG Resources Beats Q3 Views, Announces New 'Premium' Oil PlaysShale Earnings: Concho Resources, Devon Energy Beat, Anadarko MissesEnergy Stocks And Industry News: Oil, Gas, Solar, Coal
"
5,EOG,"Oil prices rose on Monday to their highest levels since mid-2015 amid political unrest in Saudi Arabia, but there is more than just palace intrigue boosting prices.XU.S. crude jumped 3.1% to settle at $57.35 a barrel, the highest since July 2015. Among oil majors with holdings in Saudi Arabia, Exxon Mobil (XOM) rose 0.6% on the stock market today, Chevron (CVX) gained 1.8%, after falling out of buy range last week, BP (BP) rallied 2.1% and Royal Dutch Shell (RDSA) advanced 2.2%. BP and Shell are extended out of buy range.Even before the weekend's purge of top officials in Riyadh, prices had been trending higher. Here are five reasons why oil prices have been and may continue to be on the uptick:In an unprecedented move, Crown Prince Mohammed Bin Salman ordered the arrests of several high-profile members of the royal family including billionaire Prince Alwaleed bin Talal and Prince Mutaib bin Abdullah, the head of the Saudi Arabian National Guard.Salman has signaled support for OPEC's deal with Russia and other nonmembers to curb production and prop up prices. Phil Flynn, senior market analyst at Price Futures Group, said in a note Monday that he expects Salman to continue to constrain production.But Salman's power consolidation also comes with some risks, especially as he seeks foreign investment to help fuel economic reforms.""The arrest of prince al-Waleed bin Talal, Saudi Arabia's richest businessman with a net worth of nearly $19 billion, could well dampen international interest in investing in the crown prince's much-heralded Vision 2030 to make the non-oil private sector the new motor of the economy,"" David Ottaway, Middle East Fellow at the Wilson Center, wrote in a note.Ramped-up regional tensions are adding upward pressure on prices, and Salman's stronger hand may also be factor on this front too, as he has been more hawkish on foreign policy.This weekend, Saudi Arabia claimed to have shot down a missile from Houthi rebels in Yemen near Riyadh. The kingdom is fighting a proxy war with Iran against the rebels in Yemen. Tehran is believed to have supplied the rebels with the missile, but Iran denies the allegations.The attack could be considered ""an act of war against the kingdom of Saudi Arabia,"" the Saudi-led military coalition said in a statement Monday.Analysts don't expect the power consolidation and increased tensions with Iran to affect the likely extension of the oil output deal. Last year, OPEC, Russia and other top producers agreed to curb production to remove 1.8 million barrels per day from the market to stabilize prices.Salman has been supportive of the deal as the country needs higher oil prices to hype up Saudi Aramco's initial public offering and Russian President Vladimir Putin has also shown signs of supporting an extension.The current production deal expires in March, but analysts expect an update at OPEC's biannual meeting at the end of this month.After looking for ways to expand production, shale producers are shifting their focus to cash-flow discipline and not working unprofitable plays, even as oil prices climb higher.Devon Energy (DVN), Cabot Oil & Gas (COG), EOG Resources (EOG) and other shale exploration and production companies showed spending discipline in their third-quarter results out last week.Meanwhile, U.S. rig counts have been falling and on Friday saw the biggest drop since May 2016, according to Baker Hughes (BHGE) data.Global demand for crude is rising, and the International Energy Agency said last month that global supply and demand will balance next year as demand growth rises 1.4% in 2018.Gasoline demand from China remains especially robust thanks to a 17% increase in SUV sales. And in the U.S., trucks and SUVs remain popular.RELATED: Energy Stocks And Industry News: Oil, Gas, Solar, Coal
"
6,EOG,"The S&P 500 index and other major averages rose modestly to record highs. Apple (AAPL) reported strong earnings and guidance as the iPhone X launched. Facebook (FB) crushed views but warned of soaring operating costs. Tesla (TSLA) missed badly and tempered its Model 3 goals as production ""hell"" continued. Alibaba (BABA) delivered huge growth. Symantec (SYMC) and several security stocks tumbled, while Oclaro (OCLR) spurred a big fiber-optic retreat. President Trump nominated a new Federal Reserve chairman while the House GOP finally unveiled a big tax-cut plan. Job growth did not rebound as much as expected last month.The S&P 500 index, Dow industrials and Nasdaq extended their weekly win streaks with modest gains and new highs amid a new wave of earnings, President Trump's Fed pick and the GOP's tax plan. Megacap Apple gave a nice Friday lift following its strong results. Facebook crushed views, but warned that it'll hike security spending after Russia-tied political content reached nearly half of Americans. Tesla reported a big loss, burned $1.4 billion in cash, pushed back its Model 3 production path and will cut Model S and Model X output. Alibaba had stellar results. Fiber-optic and several cybersecurity stocks were hammered. Home Depot (HD) and homebuilders sold off Thursday as House Republicans included a measure to slash the mortgage interest deduction in their tax plan.RELATED:Stocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksApple sold more iPhones, iPads and Mac computers than expected in its fiscal fourth quarter. Apple earned $2.07 a share, up 24%, on sales of $52.6 billion, up 12%. Analysts expected $1.87 and $50.79 billion. China sales rose for the first time in seven quarters. For the December quarter, the typically conservative Apple guided revenue to slightly above the consensus. CEO Tim Cook said he is ""bullish"" on Apple's prospects and expects ""the best holiday season yet"" thanks to the iPhone 8 and iPhone X handsets, with the iPhone X going on sale Friday.Shares jumped to a record high Friday, closing up 2.6% to 172.50.RELATED:Apple Beats Earnings, Sales Targets, Guides Sales HigherApple Gives Rare Bullish Outlook As iPhone X Hits StoresFacebook reported blowout earnings and snapped a four-quarter string of decelerating revenue growth. But the social media giant said it sees faster growth in expenses. Facebook committed to step up spending to improve security on its platform, following two days of congressional hearings about the role Facebook, Google (GOOGL) and Twitter (TWTR) played in Russia's misinformation campaign during the U.S. presidential campaign. Facebook shares fell 2% on Thursday but closed the week with fractional gains and still in a buy zone.RELATED:Analysts Hail Blowout Earnings, But This Is Why Facebook Is DownChina e-commerce leader Alibaba reported better-than-expected fiscal second-quarter results. Annual active consumers on Alibaba's retail marketplaces reached 488 million, up 22% from a year ago. It ended the quarter with 549 million mobile monthly active users, up 20 million from the previous quarter. But shares, which had run for several days to record highs heading into earnings, dipped following the report.Alibaba Earnings, Revenue Beat Estimates On Strong E-CommerceThe third-quarter adjusted loss and cash burn were much worse than expected and Tesla revealed continued Model 3 rollout woes. Tesla now expects to hit a production rate of 5,000 Model 3 vehicles per week by late in the first quarter of 2018, pushing back plans by about four months. Tesla shares fell 6.8% on Thursday, hitting a six-month low.RELATED:Tesla Third-Quarter Results Show A Big Miss As Model 3 Woes PersistThe U.S. economy added 261,000 jobs in October, less than expected, but there were notable upward revisions to their prior two months affected by hurricanes. The unemployment rate dipped to a new cycle-low of 4.1%. Average hourly wages were flat vs. September. Meanwhile, the ISM manufacturing index pulled back from a longtime high but still showed factory activity is expanding rapidly.RELATED:Jobless Rate Sinks To 4.1% But Wages Slip In October; Payrolls Up 261,000President Trump tapped Federal Reserve Gov. Jerome ""Jay"" Powell to succeed Janet Yellen as chair of the U.S. central bank when her term expires in February. Wall Street breathed a bit easier when it became clear that Powell would get the nod, because he is expected to follow Yellen's low-interest-rate path. Powell, a Republican and former investment banker who served in the George H.W. Bush Treasury Department, may be somewhat more amenable than Yellen to easing post-crisis bank regulations, a Trump priority. The Yellen-led Fed kept rates steady on Wednesday, but all signs point to a December hike.RELATED:Federal Reserve Holds Rates Steady, But December Hike ComingNeurocrine Biosciences (NBIX), Exelixis (EXEL) and Juno Therapeutics (JUNO) rose after demolishing views, but Clovis Oncology (CLVS) dove as it widely missed. Incyte (INCY) reported better-than-expected metrics and an expanded cancer deal with AstraZeneca (AZN). But the Dow's Pfizer (PFE) and Allergan (AGN) were both soft on revenue and narrowed their full-year sales outlooks. Teva Pharmaceutical (TEVA) earnings missed and the drugmaker cut full-year forecasts citing challenges facing Copaxone and generic drugs, adding to industry concerns about pricing. On Tuesday, a sweeping antitrust lawsuit vs. generic drugmakers was expanded to include a total of 18 companies and the president of Mylan (MYL). Meanwhile, Bluebird Bio (BLUE) and Juno popped on preliminary data in, respectively, sickle cell disease and aggressive lymphoma.RELATED:Teva Dives On 'Long Road Ahead' After Earnings Miss, Guidance CutHow Blood-Disease Data Sent These 2 Biotech Stocks FlyingDow's Pfizer Falls As Legacy Medicines ChallengedNeurocrine, Exelixis, Juno Stocks Rocket After Crushing ViewsShale operators generally showed spending discipline in the third quarter as investors shift their focus from production growth to cash growth and spending within cash flow. But Pioneer Natural Resources (PXD) boosted its capital spending outlook. Concho Resources (CXO), Devon Energy (DVN) beat on the bottom line while Anadarko Petroleum (APC) missed. EOG Resources (EOG) beat quarterly estimates and announced two new oil plays that together could hold 750 million barrels of oil equivalent. U.S. crude futures traded at two-year highs.RELATED:EOG Resources Beats Q3 Views, Announces New 'Premium' Oil PlaysPioneer Natural Resources Crushes Earnings Views; Laredo Q3 MixedShale Earnings: Concho Resources, Devon Energy Beat, Anadarko MissesActivision Blizzard (ATVI) posted better-than-expected third-quarter sales and profit and raised its full-year guidance, thanks to games like ""Destiny 2"" and ""Call of Duty: WWII."" But guidance may not have been strong enough, as Activision reversed lower from record highs on Friday. Nintendo (NTDOY) nearly doubled its profit outlook for the current fiscal year thanks to its Switch console and exclusive games like ""Super Mario Odyssey."" Nintendo now expects to ship 14 million Switch consoles in its financial year ending in March, up from its previous prediction of 10 million. EA (EA) stock fell after the publisher forecast lower-than-expected sales for the holiday quarter. Prospects for its ""Star Wars Battlefront 2"" game remain a big question mark for the December quarter.RELATED:Nintendo Nearly Doubles Profit Outlook As Switch Hits Home RunBroadcom (AVGO) delivered a positive surprise Thursday, announcing that revenue in its fiscal fourth quarter ended Oct. 29 would be at the higher end of its guidance range. On Friday, Broadcom rose 5.45% on Apple earnings and a report that it was close to a deal to buy fellow iPhone chipmaker Qualcomm (QCOM), which spiked 13%. Meanwhile, other chip companies got mixed reactions to their third-quarter results.   Qorvo (QRVO) dropped on disappointing December-quarter sales and earnings guidance. Cavium (CAVM) beat Wall Street's forecasts for sales and earnings in the September quarter, but its shares still fell. Cirrus Logic (CRUS) also reported better-than-expected results in the quarter, but its stock rose.The Department of Justice could sue to block AT&T (T) from buying Time Warner (TWX), said reports, but analysts said the leaks could reflect the DOJ trying to increase its leverage in negotiating conditions set on the deal. Conditions may involve access to Time Warner content based on an analysis of emerging internet video services and the pay TV market.Sprint (S)-owner SoftBank reportedly walked away from merger talks involving T-Mobile US (TMUS) and its parent, Deutsche Telekom. Sprint's valuation and management control seemed to be the stumbling blocks. But by late in the week the talks were said to be back on.Ford Motor (F) grew new car sales 6% in October as consumer demand for utility vehicles and trucks continued to intensify. Its F-series trucks were especially brisk sellers. General Motors (GM) saw sales slide 2%, but did better than expected. Fiat Chrysler (FCAU) sales dropped 13%, worse than estimates, as it slashes low-margin fleet sales The annualized pace of U.S. auto sales last month was 18.09 million, according to Autodata. That was down from 18.6 million in September, which saw strong post-hurricane demand for replacement vehicles. Ferrari (RACE) topped earnings views and raised full-year guidance, but shares dropped below a buy point.RELATED:Ford, GM Top October Sales Views; Fiat Chrysler's TumbleFerrari Raises Earnings, Revenue Views After Tesla's Big FlopOclaro (OCLR) plunged on its December-quarter guidance, sending down shares in other optical device suppliers including Finisar (FNSR), Lumentum Holding (LITE) and NeoPhotonics (NPTN).  Weak demand from China's telecom gear makers has pressured fiber-optic stocks throughout 2017 but a new worry involves the data center market. Internet companies are shifting purchases to new types of optical devices as inventory builds for slower parts. Lumentum fell despite expectations that Apple (AAPL) will order more 3D sensors for the iPhone X. Acacia (ACIA) also gave December quarter guidance well below estimates.Earnings from computer security software makers were mixed. Shares in Qualys (QLYS) and CyberArk Software (CYBR) jumped after they reported September quarter results while investors hammered Check Point Software Technologies (CHKP), Symantec (SYMC) and FireEye (FEYE). Analysts say the shift to cloud computing services is roiling the security market while startups may be taking share from incumbents.Casino operators Las Vegas Sands (LVS), Melco Resorts and Entertainment (MLCO), Wynn Resorts (WYNN) and MGM Resorts International (MGM) got a lift on another month of gross gaming revenue increases in Macau, as well as positive data in Nevada and news of a gambling expansion in Pennsylvania. But shares of Melco plunged Thursday despite topping Q3 earnings and sales forecasts.Aetna (AET), the object of acquisition talks by CVS Health (CVS), grabbed center-stage and easily beat earnings expectations amid soft top-line results, but WellCare Health Plans (WCG) stole the show, leaping into a buy zone and earning the No. 1 rank among IBD's Medical-Managed Care industry group, based on earnings, revenue, margins and stock performance trends.WellCare earnings surged 150% to $4.08, helped by strength in Medicaid and a Medicare-focused acquisition. Aetna, which highlighted Medicare as its primary growth driver, reported an 18% increase in EPS to $2.45, as revenue fell 5% to $14.99 billion. Molina Health (MOH), a Medicaid and ObamaCare exchange insurer, reported better-than-expected earnings, sending its shares soaring Friday. Aetna added to recent CVS-tied gains, mostly on Friday. WellCare rocketed to record highs.CVS, Aetna Could Finalize Deal By December: ReportAetna Tops Earnings Views, Mum On CVS; WellCare Health SoarsShopify (SHOP) reported its first-ever adjusted profit beating views but shares in the e-commerce software maker fell in high-volume trading after one analyst called Shopify ""a battleground stock,"" because of criticism from short-seller Citron Research.Paycom Software (PAYC) reported earnings that topped expectations, but light revenue guidance sent down shares in maker of human resources and payroll-processing software.Constellation Brands (STZ), a beer, wine and spirit producer, said it would take a 9.9% stake in Canadian medical cannabis provider Canopy Growth, a move intended to keep apace of ""early stage consumer trends"" amid concerns about legalization's impact on booze sales. Molson Coors (TAP) said it's keeping an eye on the marijuana market.CME Group (CME), the massive derivatives marketplace, said it planned to launch bitcoin futures in Q4, marking a big step in the financial world's acceptance of the still-volatile cryptocurrency. Bitcoin soared to new highs.Mastercard (MA) beat third-quarter earnings and revenue expectations, but raised this year's operating expense forecast largely due to spending related to investments in its Masterpass digital wallet.Under Armour (UAA) cut full-year targets to 18-20 cents EPS, well below views for 37 cents, after turning in mixed results for the quarter. Shares crumbled 24% on Tuesday to multiyear lows. 
"
7,EOG,"Here's your Investing Action Plan for Thursday: what you need to know as an investor for the coming day. XApple (AAPL) reports quarterly results after the close, but will be in the spotlight before the market opens, throughout the trading day and after regular trading ends. The iPhone maker could even overshadow the White House's pick…
"
8,EOG,"Here's your Investing Action Plan for Wednesday: what you need to know as an investor for the coming day. XU.S. oil prices are holding above the key threshold of $50 a barrel despite some signs of increased production from OPEC, and several shale stocks are setting up new bases, including the ""Apple (AAPL) of oil,"" with…
"
9,EOG,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. XTech-sector favorites Apple (AAPL), Tesla (TSLA), Facebook (FB) and Alibaba (BABA) will report earnings in the coming week, while Facebook, Alphabet's (GOOGL) Google and Twitter (TWTR) will appear on Capitol Hill to testify on how their platforms were…
"
