,ticker,content
0,ETFC," IBD 50 member E*Trade Financial (ETFC) is in a potential buy range with its next earnings report scheduled for around Apr. 19. The stock is 4% above a 56.10 buy point from a fifth-stage consolidation.X Buying a stock just ahead of earnings involves risk since you typically don't have enough time to build a profit cushion before the latest quarterly numbers come out. Be sure to follow sound buy and sell rules to minimize your exposure.Looking For The Best Stocks To Buy And Watch? Start HereEarnings grew 52% last quarter, up from 8% in the prior report. Revenue also increased, from 22% to 24%. Analysts expect earnings-per-share growth of 64% for the quarter, and 44% growth for the full year. Annual growth estimates were recently revised upward. E*Trade Financial has a 99 Composite Rating and earns the No. 1 rank among its peers in the Finance-Investment Banking/Brokers industry group. Interactive Brokers (IBKR) and TD Ameritrade (AMTD) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
1,ETFC,"To build your earnings season watch list, focus on stocks in or near a potential buy zone ahead of their next report. IBD 50 member E*Trade Financial (ETFC) currently fits that bill. The company is expected to report on Apr. 19. It's trading around 3% above a 56.10 buy point from a fifth-stage consolidation.X Be aware that buying a stock just before it reports is risky, since disappointing numbers could send it sharply lower. You can minimize your risk by waiting to see how the company reports and how the market reacts. Looking For The Best Stocks To Buy And Watch? Start HereE*Trade Financial saw both earnings and sales growth rise last quarter. Earnings-per-share increased from 8% to 52%. Revenue rose from 22% to 24%. Analysts are looking for earnings-per-share growth of 60% for the quarter, and 42% growth for the full year. EPS estimates for the full year were recently revised upward. The company has a 99 Composite Rating and holds the No. 1 rank among its peers in the Finance-Investment Banking/Brokers industry group. Interactive Brokers (IBKR) and TD Ameritrade (AMTD) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
2,ETFC,"IBD 50 member E*Trade Financial (ETFC) is expected to report earnings on Apr. 18. E*Trade Financial now trading 3% below the 56.10 buy point from a fifth-stage consolidation that it cleared earlier.X Understand that buying a stock just ahead of earnings can be risky since you typically don't have enough time to establish a profit cushion before the latest quarterly numbers come out. Be sure to follow sound buy and sell rules to minimize your exposure.See How IBD Helps You Make More Money In StocksEarnings grew 52% last quarter, up from 8% in the prior report. Revenue also increased, from 22% to 24%. Consensus analyst estimates call for EPS growth of 58% for the quarter, and 40% growth for the full year. EPS estimates for the full year were recently revised higher. The company has a 99 Composite Rating and holds the No. 1 rank among its peers in the Finance-Investment Banking/Brokers industry group. TD Ameritrade (AMTD) and Interactive Brokers (IBKR) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
3,ETFC,"Can the future really be female if an unspoken gender gap keeps quietly eating away at women's futures? While women have been shown to outperform men at investing, they tend to shun the stock market for the deceptive safety of cash savings, leaving men to reap the gains — and keep a grip on the world's private wealth.This disconnect between women and Wall Street runs deep. Hollywood portrayals only underscore the divide, from the chest-thumping boys' club in ""The Wolf of Wall Street"" to ""Sex and the City"" heroine Carrie Bradshaw. As she once said about investing, in a phrase that launched a thousand Etsy posters: ""I like my money right where I can see it — hanging in my closet.""In the real world, millennial women in particular are financially vulnerable. The investing gender gap can amount to hundreds of thousands of dollars over the course of a lifetime. That means the difference between being in control of the future and being swept away by the undercurrent of daily expenses.""One thing we realize more than ever these days is that money is power. And that if you don't have as much money as the guys do, it can put you in a tough position,"" says Sallie Krawcheck, CEO of investing platform Ellevest. ""It can keep you in a job you don't want to do. It can keep you in a relationship you don't want to be in. It can keep you from taking that trip around the world, or starting the business you've been dreaming about.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseCompared with the average single man, the average single woman's net worth is three times smaller, according to a joint study from Merrill Lynch and Age Wave.Pay equity is part of the equation, compounded by the fact that women are more likely to pause their careers to raise children and take care of aging parents and spouses. Compared with a man with no workforce interruptions, the average woman cumulatively has earned $1.06 million less by the time she hits retirement age.""Women, generally, we're leaning in to our careers and we're becoming much more comfortable around being ambitious professionally. But we're not having that same dynamic (with our money),"" says Jennifer Barrett, a former CNBC personal finance editor and the current editor-in-chief of Grow, a web publication from micro-investing app Acorns. ""It's to our detriment if we don't invest.""No matter where you look, the numbers are pretty straightforward: Compared with men, women are tepid about the stock market. Some 57% of women didn't invest a dime in 2017, vs. 44% of men, according to a recent Acorns study. If handed a thousand bucks, 2.5 times more men than women said they would put that money in stocks. Women also lag men in 401(k) participation and contribution, says the Transamerica Center for Retirement Studies.Some women are already feeling the fear of missing out.The Merrill Lynch/Age Wave study found that 41% of women said their greatest financial regret was not investing more of their money. That even trumps career, credit-card and lifestyle woes.Thirty-year-old Caroline Rhoads, an account director at a marketing firm in Philadelphia, said Wall Street ""seems very intimidating.""She has consulted a financial planner once, invested around $1,000 through a Robinhood account, and feels good about her 401(k) and financial future. But she invests conservatively, ""because I feel like if I'm going to invest I need to know what I'm doing, and I don't.""Bridging the investing gender gap may seem abstract and distant, particularly for 20-something women mired in student debt, decades away from retirement. But there are serious consequences for not at least trying to get the ball rolling.""In not being comfortable investing, what you're saying is you're not comfortable building wealth,"" says Barrett. And the gender gap there is ""growing, not shrinking, even as women are earning more and closing the wage gap. We still have a gaping wealth gap.""If it's so important, why is there a dearth of female investors? What accounts for this gender gap in the market? More than a couple of things, it turns out.Think back to ""The Wolf of Wall Street"" and Leonardo DiCaprio's testosterone-fueled, Martin Scorsese-directed yacht parties, filled with models and bottles. And earlier this year, an E-Trade Financial (ETFC) ad showed men cavorting with bikini-clad women on a yacht. Who wouldn't want to be associated with that lifestyle?Uh, women.""I can't help but equate Wall Street with the a**hole bros filling lower Manhattan bars most nights, who drink too much, act rudely toward women, and generally behave badly,"" wrote Refinery29's Work & Money Director Lindsey Stanberry in a 2016 story on how to invest. ""Do I really want to put my hard-earned money in their hands? (No.)""Ellevest's Krawcheck says the fact that the investing gender gap even exists ""tells me that women are not being well served by the existing investing industry and by Wall Street.""She should know. Her Wall Street cred includes stints as the head of Merrill Lynch and Citigroup's (C) wealth management divisions. Now she is a vocal proponent of something she calls ""financial feminism,"" or wealth equality between men and women.And no, the solution isn't slapping a bunch of pink labels on existing financial products. Of her days at the heavyweights, Krawcheck said efforts to appeal to female investors didn't consider their financial desires.Ellevest's ""gender-aware"" investing algorithms, she says, consider key differences about women. Their salaries peak sooner than men's. They earn less over their lifetimes. They are more likely than men to outlive their resources.So she aims to help investors reach their goals, not beat the market. Wall Street's obsession with outperforming the stock market indexes ""leaves women completely cold,"" she says.Female investors are more interested in reaching certain milestones, such as retiring at a certain income, buying a home or starting a business, she adds.And she's quick to dismiss the notion that women's risk aversion toward stocks drives the investing gender gap.""It's not that she's risk averse, she's risk aware. And the industry has done a poor job explaining risk to her,"" said Krawcheck of female investors. ""When she understands it, she's happy to take it.""But it's true that women are doing less with their money. Financial services startup SoFi found that men contribute 32% more to their investment accounts than women do, and tend to invest more aggressively.Meanwhile, women are equally or more confident than men in paying bills and setting budgets. But they're far less confident about managing their investments, say Merrill Lynch/Age Wave researchers.Maybe that's why female investors keep more of their money in cash. According to an oft-cited BlackRock study from 2015, female investors keep 68% of their portfolios in cash vs. men's 59%.The apparent safety of a savings account, however, is deceptive. Over the long run, hoarding cash is a terrible way to increase net worth. Consider the math: Interest rates on savings are near zero while inflation is now 2%, which means that $1,000 in the bank today is objectively worth less in the future.Additionally, it pays to take advantage of compounding interest.Say you invest $500 tomorrow in a low-cost index fund that tracks the S&P 500. Then add 50 bucks to that account every month thereafter. Say it grows by an average 8% every year. (Over the last 90 years, the average yearly return for the S&P 500 has been 9.8%, even accounting for crashes.) In 30 years, a no-interest savings account would have grown to $18,500. Your investment in the stock market would have amassed $73,001.26.Still, that's easier said than done for those who don't trust Wall Street. There's a whole generation of women and men who remain deeply distrustful of the stock market. Both the dot-com crash and the Great Recession blindsided them in their formative years.""In a short period of time, they saw two recessions and two market meltdowns,"" says Bankrate Chief Financial Analyst Greg McBride. ""Those memories are fresh. So a lot of (millennials) just never warmed up to equities and have taken a naturally risk-averse stance, detrimental though that may be to their long-term financial health.""Younger people prefer real estate and cash over the stock market, according to Bankrate surveys. And millennial women in particular are in a financially precarious position.""Here's my concern, and it's heightened for millennial women,"" says McBride. ""Millennials are going to have the biggest retirement savings burden in history,"" thanks to longer life spans, fewer pensions, more uncertainty around Social Security, and higher health costs than any generation before them. And holding on to safe-haven assets like gold, he says, is not going to cut it.""To accumulate retirement savings, you need the power of compounding to do the heavy lifting.""Michelle Trejo, a 29-year-old quality assurance engineer in Los Angeles, says that her main vehicle for retirement is her 401(k), though she isn't sure how much she's contributing. Once she saves more money, she is looking to invest in real estate, and then potentially in the stock market.""I wish I knew how to play (the stock market),"" says Trejo, who has dabbled in cryptocurrencies, a far higher-risk investment than stocks. ""I know there's a lot of money there. I just don't know how to get started.""Some experts venture that women get a one-sided directive about what to do with their money: Spend it.""Generally speaking, if you look at who's spending money on clothes and keeping up with the trends,"" says Barrett, ""it's not men. It's women.""Think about how many magazines or style blogs talk about buying ""investment pieces"": a classic necklace, a blazer that will never go out of style. An analysis from purse reseller Baghunter will have you believe that a Birkin bag from Hermes is a better purchase than gold. Of course, that assumes you hold on to the bag for 35 years and keep it in mint condition.""When we talk about buying a handbag as an investment, it makes me cringe,"" said Barrett.That mindset extends beyond the investing gender gap to the venture-capital world.Men with wealth are encouraged to amass more wealth, said The Helm CEO and co-founder Lindsey Taylor Wood at the recent United State of Women conference. Her venture fund invests in female entrepreneurs.""Their buddies are like, 'Get in on this deal, invest in this company, buy this stock,' "" she said. By contrast, ""women with wealth are invited to give their money away. 'Chair this gala, join this nonprofit, be on this board.' ""A notable 61% of women would rather chat about their own death (!) than talk about money, according to Merrill Lynch/Age Wave data.""In our society, talking about money is pretty taboo for women; we learn this from childhood,"" says Ellevest's Krawcheck. ""If you're not talking about money, how do you know what raise to ask for, or how to invest? The answer is: You don't. And women are the poorer for it.""That deep-rooted behavior is encoded early on. In fact, 63% of millennial women vs. 53% of their male peers learned from their parents about saving money at an early age, according to a recent PNC Investments survey. But only 29% of those same women said their parents showed them how to grow wealth, vs. 37% of men.""(There are the) stories that we tell ourselves and the stories that we've heard and internalize,"" says Acorns' Barrett, who is writing a book about the wealth gender gap. ""That investing is hard, that you need to be wealthy to invest. Women in particular get that message a lot. And if you look at the research — even the way parents talk to their sons and daughters about money is different.""Kathy Mirescu, a 40-year-old director of product design, is far from the norm when it comes to enthusiasm for personal finance. It is a quality the Los Angeles resident learned from her mother, a self-taught commercial real estate investor with an accounting background who ""was always looking for investment opportunities and would talk about them"" openly with her three children.""I just grew up not really thinking about it, until I became a lot older, and I started realizing that a lot of my friends, a lot of my peers, who are college educated — a lot of them have advanced degrees — didn't know a lot of the things that I just knew"" about finance, said Mirescu.She bought her own condo at just 29. The down payment came from cash and proceeds from the sale of blue chip stocks that her mother bought for her early on in life.Now Mirescu wants to start an investing club that will help her friends and other women become more financially literate. ""To just simply have a place where we all get in a room,"" she said, and ""help each other set up Roth IRAs.""Acorns' survey found that 42% of women chose Oprah as the person they'd be most likely to take investing advice from. More than half of men chose Warren Buffett.That likely speaks more to women's trust in Oprah than the gender gap, says Barrett. But it also serves to highlight how few female investors are well known on Wall Street.""If you think about really famous investors — can you think of a woman?"" she said. ""We don't have a lot of female role models."" (According to the Merrill study, 45% of women don't have a financial role model, to be exact.)Krawcheck, who took the stage at the United State of Women conference to hearty applause, is an emerging rock star in the realm of financial feminism. At the mention of the Ellevest founder, Mirescu starts ""fan-girling."" (Her words.)She, too, sees money as a ""feminist issue.""""It's about having choices, and money gives you the freedom to have choices,"" says Mirescu. ""And choice is a linchpin of feminism.""Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT BE INTERESTED IN: Millennial Investors Love These Stocks: Robinhood's Top 20 HoldingsHow To Invest In Stocks For Free: New Apps Aim For BeginnersWhat Is The Stock Market And How Does It Work? Plus Other Questions You're Too Afraid To AskWhat Is A 401(k) Plan And How Does It Work? Here Are Some Basics
"
4,ETFC,"Stock Spotlight member and top brokerage firm E-Trade Financial (ETFC) is in buy range after a mild pullback from new highs. X The stock's relative strength line — the blue line painted on every MarketSmith and IBD daily and weekly chart — has been hitting new highs almost every day since early March amid seven-day win streak…
"
5,ETFC,"Chalk one up for exchange traded fund managers that refuse to ""pay to play.""Vanguard Group won a victory of sorts when E-Trade Financial (ETFC) added 32 of its exchange traded funds to its commission-free platform. The arrangement allows prospective Vanguard buyers to avoid the $6.95 fee that E-Trade charges to trade funds that don't make the cut, the online brokerage said in a statement this week.E-Trade's decision flies in the face of other brokers that have balked at Vanguard's stance against paying to appear on their platforms. TD Ameritrade (AMTD) booted the firm from its commission-free platform last year, and Vanguard's funds are also absent from Charles Schwab's (SCHW) OneSource program.A spokesman for Vanguard confirmed that the firm hasn't changed its long-standing policy of not paying for distribution.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""The financial considerations, they all vary by providers,"" said Rich Messina, E-Trade's senior vice president of investment product. But ""it would be hard not to have at least one — or all — of the Big Three"" for brokers that want to give their clients a broad array of asset-allocation strategies, he said.The Big Three — Vanguard, BlackRock (BLK) and State Street (STT) — run the most popular U.S. ETFs by far, accounting for 83% of assets between them, data compiled by Bloomberg show. E-Trade added BlackRock to its commission-free platform earlier this year, Messina said.""You may overlap in certain asset classes, but people sometimes have preference on name,"" Messina said. ""If you have the ability to open it up and give them that experience, I think it's a lot better.""YOU MAY ALSO BE INTERESTED IN:5 Ways To Profit As Trump Threats Boost Small-Cap Stock PlaysThis Sector ETF Tries To Drill Into Oil ReboundIndex Funds: Dow Breaks Key Support As Intel Stock WeighsHow To Find And Track The Best ETFs
"
6,ETFC,"Apple (AAPL) and Nvidia (NVDA) led four top stocks pulling back to their 50-day moving averages on Friday. A strong rebound from that key technical level can offer a chance to add shares to your position. But with the Nasdaq composite and other leading stock market averages tumbling Monday on trade war fears, Apple stock and Nvidia stock plunged below that key support level. Nvidia also sold off below its buy point. Financial stocks E-Trade Financial (ETFC) and SVB Financial (SIVB), well extended from their last buy zones, also undercut their 50-day lines.XWhile Apple stock is clearly the most popular name in the group, it lags with a Composite Rating of 84 out of 99. E-Trade leads the group with a 99, and is closely followed by SVB with a 98 and Nvidia with a 97. Top stocks typically have strong Composite Ratings when they launch big moves.When looking for stocks to buy, in addition to strong technical action, it's important to look for top fundamentals. The Composite Rating combines factors such as earnings and sales growth, profit margins, return on equity and price performance.Apple stock is back below a three-weeks-tight buy point of 190.47 as it pulls back to the 10-week moving average. Shares are back in buy range from a double-bottom entry at 179.04, closing Friday at 184.92. Apple stock fell 1.5% to 182.17 in Monday's stock market trading, below its 50-day line.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseA 10-week-line pullback represents an add-on buying opportunity when the moving average is above a buy point. However, you want to ensure that the stock is finding support at this level, rather than losing it. You also want to buy as close as you can to a rebound off the line is sound strategy.It's key to remember that a rebound off the 10-week line represents a chance to add shares to an existing position, rather than initiate a new one.A stock falling through its 50-day line, especially in high volume, is not good action. Investors should examine their portfolios and consider sell rules.As for investors on the sidelines, look to see if these stocks rebound by the end of the week. A brief foray below the 50-day line, by itself, is OK. But you should wait for a strong rebound.Nvidia stock was 5% from a double-bottom entry at 239.35 on Friday even as it pulled back toward its 10-week line. But keep in mind that Nvidia's base is later stage whereas Apple's double-bottom is an early-stage base. Later-stage bases can work, but they have a higher chance of failing since they form after a stock has already been on a big run.Nvidia tumbled 4.7% to 239.12 on Monday, knifing below its 50-day line and the 239.35 entry in above-average volume. The stock has now roundtripped a 12% gain from the buy point, a strong sell signal.E-Trade stock is finding support at the 10-week line after trading in a relatively tight range over the past several weeks. Shares closed Friday 16% extended from a late-stage consolidation first cleared on March 9.This represents the stock's first pullback to the 10-day line above the buy point. Investors can add shares to their positions at the first two pullbacks, but after that — without the formation of a new base — the stock would be considered too extended.E-Trade stock fell 3.4% Monday, below its 50-day line.Lastly, SVB Financial stock is pulling back to its 10-week line too. After a breakout from a cup-with-handle in late April, shares ended last week 14% above the 271.89 buy point. SVB stock sank 2.6% Monday.YOU MIGHT ALSO BE INTERESTED IN:5 Reasons Why The Market Sell-Off Was Worse Than It SeemedThese Five 99 Composite Rating Stocks Are In, Near Buy ZonesGet A Handle On These 4 Notable Stocks Near Buy PointsTop Stocks To Buy And Watch: IPOs, Big And Small Caps, Growth StocksWhich Hot Stocks Are On The Leaderboard List of Leading Growth Names?
"
7,ETFC,"Vanguard Group is ratcheting up the money-management price war as investors increasingly focus on costs. The fund group said last week it will begin offering almost 1,800 exchange traded funds commission-free to online customers on its brokerage platform.Vanguard, which currently sells only 77 of its own ETFs without commissions, will extend the program to products sold by rivals such as BlackRock (BLK), Charles Schwab (SCHW) and State Street (STT), the Valley Forge, Pa.-based firm said in a statement July 2. The no-fee offer won't include inverse and leveraged ETFs, which Vanguard considers speculative investments.""This is about giving investors access to more low-cost options,"" Karin Risi, managing director of Vanguard's retail investor group, said in a phone interview. She said Vanguard has been spending money on its brokerage platform over the past few years to improve the customer experience.Vanguard, a pioneer of low-cost index investing since the 1970s, has been matched and occasionally beaten in recent years on the price of ETFs or other passive funds by BlackRock, Schwab and Fidelity Investments as competition heats up in one of the industry's fastest-growing segments. Schwab, Fidelity and discount brokers such as E-Trade Financial (ETFC) and TD Ameritrade (AMTD) sell a broad range of ETFs commission-free, their websites show.""This is really about getting a share of investors's wallets,"" said Jeff DeMaso, co-editor of the Independent Adviser for Vanguard Investors, a newsletter. ""If someone stays on your platform he might be more likely to buy another Vanguard fund in the future.""Vanguard, with more than $900 billion in ETF assets, is the second-biggest competitor in the U.S. ETF business, trailing only BlackRock.Eight of this year's top 10 ETFs by flows are offered by BlackRock's iShares. For the fifth straight year, BlackRock and Vanguard are miles ahead of every other ETF issuer, accounting for almost two-thirds of flows. BlackRock has shown a willingness to slash fees even on highly successful products to fend off the Vanguard juggernaut.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:These Top Tech Stock Plays Beat The Market Despite Recent SlideThis Sector Races Ahead As Top Stock Biogen SoarsLatest ETF News And Analysis
"
8,ETFC,"Learning how to read stock charts helps you get in early on winning stocks like Nvidia (NVDA) and Netflix (NFLX). Charts also help you spot the right time to sell and take your profits.In part 1 of this series on chart reading for beginners, we answered two basic questions: Why use charts? What's in a stock chart?In this second installment, we'll go over three telltale clues to look for in a stock chart to help you know when it's time to buy, sell or hold. Once you know how to spot these signals and understand the concepts behind them, you'll be ready to capture solid gains with the three most profitable chart patterns.TIP: Watch our free Stock Charts Decoded webinar for an overview of how to read stock charts.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIt's easy to overcomplicate chart reading. But as we saw in part 1 of this series, charts simply tell you a story. And to understand what tale is being told, you really just need to answer the three basic questions discussed below.So keep it simple. You'll be surprised by how much you can learn about the health and potential of a stock just from these three clues.Editor's Note: If you come across terms or concepts you're not familiar with, check out part 1 of this series for more details.The first question to ask when looking at a stock chart is, ""What's the trend?"" There are basically three possibilities: uptrend, sideways, downtrend.As simple as that concept may sound, it's also quite important. You want to buy stocks when they're going in the right direction — up.Why buy a stock that is clearly heading south? Yes, it may eventually find a bottom and reverse that trend. But why jump in when it's headed the wrong way? Wait until it shows clear signs of renewed strength and begins moving in the right direction.When a stock is moving sideways, there's no clearly defined trend. You don't know if the stock will jump higher or take a nosedive. Again, why take the risk at this stage? You're better off waiting for the stock to show signs of a new uptrend.Charts tell a story. They show you if a stock is being heavily bought or aggressively sold by large investors. But the only way to decipher that story is to look at the changes in share price together with the changes in volume (i.e., the number of shares traded that day or week).Share prices fluctuate daily, up or down. To see if the buying or selling is serious — and to see if the underlying trend is changing — you need to check the volume.For example, say a stock normally trades 1 million shares a day. If the share price rises or falls a bit one day and volume is around 1 million shares, that's nothing unusual. But if the stock suddenly trades 3 million shares one day as it gains 5%, you know something is up. You want to pay particular attention to those kinds of unusually heavy-volume days or weeks.Let's look at some different scenarios and what they mean.Price GAIN In Unusually Heavy Volume: Look at the weekly chart for Netflix below. The video streaming giant's share price has been rising sharply since the end of 2016. And as indicated by the arrows in the chart, there were several weeks where Netflix's share price rose sharply and volume also spiked.What story does such behavior reveal? That mutual fund managers and other large investors are aggressively scooping up shares. This so-called ""institutional demand"" is exactly what you want to see, since it's these large investors that provide the fuel a stock needs to make a sustained climb.Nvidia, which rose over 650% after being highlighted in the IBD 50, offers another example of strong institutional demand. In the daily chart below, look how the stock was trading in a tight range right along its 50-day line in April and May of 2017 (1). The stock then gapped up on May 10 in volume 268% higher than normal (2). And note how volume continued to come in well above average as the stock moved higher in the days that followed (3). Large investors were clearly in buying mode. The stock spiked again in heavy volume on June (4).Price DROP In Unusually Heavy Volume: This is the exact opposite of the scenario above. A large drop in price accompanied by a big spike in volume shows large investors are aggressively dumping shares. In other words, the selling is serious. As the example of 3D printing stock 3D Systems (DDD) shows below, it's especially worrisome if the stock is crashing below the 50-day or 10-week moving average line when that happens.Look how volume rose sharply as the stock crashed right through its 50-day line (1). And the same thing happened as the stock failed to find support at the 200-day line (2). These were both signs that after a big run prior to 2014, 3D Systems' trend had changed.Price GAIN In Unusually Light Volume: If the share price is rising significantly, but volume is normal or below average, what does that tell you? That, at least for now, large investors are not buying aggressively. In other words, there's not a lot of conviction for the move.Such moves can turn out to be a head fake, which was the case for Old Dominion Freight Line (ODFL) in the chart below. The stock broke out from a base, but volume was well below average (1). On the day of a breakout, you want to see a 40% or larger spike in earnings to show strong demand. Old Dominion fell well short of that.In the days that followed, note how volume rose sharply as the stock fell (2, 3). So a light-volume breakout attempt turned into a heavy-volume sell-off. Such behavior is a clear sign that large investors are in selling, not buying, mode.Price DROP In Unusually Light Volume: When a stock falls but the number of shares traded is much lower than normal, it tells you large investors are not selling aggressively. This is an important clue that can help you sit tight and hold on for bigger gains down the road.The example of Ollie's Bargain Outlet (OLLI) below proves that point. While Ollie's was building a new flat base, note how volume on down weeks was below average (1). It was also finding support at the 10-week line. As the arrows in the chart indicate, the stock broke out of that base in heavy volume and showed several heavy-volume up weeks as the stock climbed higher for months. It's a clear example of how you can see what fund managers are up to by looking for unusual spikes in price and volume in a stock chart.Last but not least, see if your stock is finding support or running into resistance at key lines like the 50-day and 10-week moving averages. Also look for support or resistance at important price areas, such as new or recent buy points in a chart pattern.How your stock performs at these testing grounds reveals a great deal about its strength. Why? Because many fund managers and other large investors closely follow these benchmarks.If these big players still favor the stock, they'll often step in to pick up more shares and protect their positions when it pulls back to the 50-day or 10-week line. Their buying will keep the stock above those benchmarks. But if the stock crashes below the moving average in heavy volume, it's a sign that large investors have shifted into selling mode.Take Alarm.com (ALRM) as an example. As it was making a nice run in 2017, the stock consistently found support at its 10-week moving average (1, 2, 3). It was in a clear uptrend, and there were several heavy-volume up weeks — a sign of institutional demand.But note how that trend changed toward the end of that year. The stock failed to find support at the 10-week line and crashed below it in heavy volume (4). After that, note how the 10-week moving average changed from an area of support to a line of resistance (5, 6).Lines Of Defense: You can think of the 50-day and 200-day moving average lines as a stock's first and second lines of defense. (On a weekly chart, the equivalents are the 10-week and 40-week moving averages.) If a stock fails to find support at the 50-day line, see if it can at least hold its ground at the 200-day moving average. In the case of 3D Systems discussed earlier, you can see how the stock failed to find support at either benchmark, and crashed below both of them in heavy volume (1 and 2, above).Steppingstones: E-Trade Financial (ETFC) shows how stocks will often form steppingstones as they climb higher. This happens as the stock hits resistance (1) and pulls back, then finds support (2) and rises again. It's very healthy action to see a stock turn a former ceiling of resistance into a new floor of support.In the next installment of this series on chart reading for beginners, we'll go over the three most profitable chart patterns: cup with handle, double bottom and flat base.As we do that, you'll see how each of the three telltale clues discussed above come into play:You can also learn more with our free lessons on how to read stock charts. Or take a free trial of Leaderboard to get timely alerts to stocks to watch, as well as ongoing highlights of bases, buy points and sell signals. It's an excellent way to get real-time chart-reading tips while building an actionable watch list.YOU MAY ALSO LIKE:Chart Reading For Beginners: Why Use Stock Charts? What's In A Chart?Chart Reading For Beginners: How To  Spot The 3 Most Profitable Chart PatternsWhich Stocks Are The Best Mutual Funds Buying And Selling?Improve Your Investing Results With A Simple 3-Step RoutineRelated Books: How To Make Money In Stocks — Getting Started | Success Stories   
"
9,ETFC,"Five financials within striking distance of buy points are your top stocks to watch this week: Square (SQ), PayPal (PYPL), TD Ameritrade (AMTD), E-Trade Financial (ETFC) and SVB Financial (SIVB).E-Trade and SVB Financial lead the group of financial sector names with the highest-possible IBD Composite Rating, a 99. TD Ameritrade and PayPal each earn a 96, while Square has a 94. The Composite Rating combines a variety of fundamental and technical metrics, like earnings and sales growth, profit margins, return on equity and relative price performance. IBD's research shows many top stocks have high Composite Ratings when they make big moves.Square is just extended from a cup buy point of 58.56. Even though a handle with a slightly earlier entry shows up on a daily chart, it isn't long enough and is not present on a weekly chart. With Square only slightly above the 5% buy range from the cup, it could pull back to a buyable level as many leaders do. If you're looking to buy, make sure that pullback is gentle. Square stock fell 0.8% to 61.29 on Monday.Payment processing peer PayPal is right at a double-bottom entry at 84.09. PayPal initially cleared that level on June 4, but lost 2.3% Thursday amid the Nasdaq's distribution day. But the decline for PayPal came in light volume. Shares reclaimed the entry on Friday, but dipped 0.5% to 83.89 Monday, back below the buy zone.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOnline broker TD Ameritrade, which is a member of the IBD 50 list of leading growth stocks, is hovering just below a buy point. After retaking the 50-day line June 1, shares are near a flat-base entry of 63.11. TD Ameritrade pulled back 1.25% to 61.53 on Monday.And E-Trade, another online brokerage, is well extended from a flat base first cleared in March, but it could soon provide an opportunity for existing shareholders to add to their positions. The IBD 50 stock is working on a four-weeks-tight buy point at 66.17, highlighted in aqua on a weekly chart in MarketSmith. E-Trade retreated 1.4% to 64.48 on Monday. With the three- and four-weeks-tight patterns, you want to buy as close to the buy point as possible.SVB Financial is an IBD 50 member as well. And like E-Trade, SVB is working on a four-weeks-tight pattern too. The entry point is 328.01, but SVB stock slid 1.4% to 321.11 on Monday. SVB Financial is the parent of Silicon Valley Bank, which is a lender to notable tech companies. It saw earnings surge 90% last quarter.All of these top stocks have relative strength lines that have been moving more or less sideways at or near record highs. The RS line measures price performance vs. the S&P 500. While the RS line isn't a make-or-break factor for a successful breakout, an upward-sloping RS line when a stock clears a buy point is a bullish indicator.YOU MIGHT ALSO BE INTERESTED IN:Futures Fall With Eyes On Trump; Facebook, Cisco, RH, E3 In FocusStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksBanks And Financial Stocks: Latest News And AnalysisWhat's Today's IBD Stock Of The Day?
"
