,ticker,content
0,EVHC,"A strong year ended on a high note Tuesday as the major market averages extended their gains and closed near session highs. The Nasdaq led the way, rising 0.5%. For the year, it soared 38.3%. It was the tech index's best annual gain since 2009 when it rose 44%. The S&P 500 added 0.4% to finish the year up 29.6%,…
"
1,EVHC,"Many stocks hit new highs only to fade later in holiday-shortened trading Friday. Chefs' Warehouse (CHEF) was among the best performers, rising 0.62 to 25.66 and clearing a 25.59 flat-base entry. The stock ended near its intraday high, a good sign. Volume was well below average, not surprising given Friday's half-day session. Chefs' Warehouse, which distributes specialty foods and ingredients…
"
2,EVHC,"Somebody forgot to tell Aspen Technology (AZPN) that the market had stumbled into a correction. The software developer bolted 2.50, or 8%, to 34.32 in volume that was more than five times its daily average. That put the stock back above its prior resistance level of 33 in a long, awkward consolidation. In fairness, Aspen did succumb to some selling…
"
3,EVHC,"JPMorgan Mid Cap Growth Select has been on a roll, its above-average performance driven by consumer discretionary and technology stocks. The $1.8 billion fund, managed by Christopher Jones and Timothy Parton, is up 32.58% year to date vs. 28.48% for its midcap growth peers tracked by Morningstar Inc. and 26.38% for the S&P 500. The biggest contributor to performance in…
"
4,EVHC,"THE BUZZ The increased complexity and rising costs of health care services have caused cities and communities to turn to outsourced medical services, of which Envision Healthcare Holdings is among the largest. About 65% of nearly 5,000 hospitals in the U.S. that provide emergency department services currently outsource physician staffing and management, up from 55% in 2000. Cities are also…
"
5,EVHC,"Private-equity giant KKR (KKR) will buy Envision Healthcare (EVHC) for $46 a share after an almost yearlong sale process for the company, which staffs hospitals and runs surgery centers in the U.S.The all-cash deal values Envision Healthcare at $5.57 billion, or $9.9 billion including assumed debut. Envision said the deal represents a 32% premium to its stock price in November, when it announced it was reviewing strategic alternatives.Investors such as KKR and strategic buyers including  insurers have been snapping up health-care assets in the U.S. Last year, KKR finished raising money for a $1.45 billion health-care fund dedicated to growth stage companies. Health insurance and services giant UnitedHealth Group (UNH) has acquired a string of medical practices. Drugstore chain CVS Health (CVS) is buying insurer Aetna (AET), with the goal of making CVS stores hubs for health services.Envision's strategic review started shortly after activist investor Starboard Value revealed a stake and said it would make an attractive takeover target. Corvex Management, another activist firm and shareholder, reduced most of its holdings in the first quarter.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseEnvision Healthcare shares gained 2.5% to $44.75 before the open on the stock market today.After the review started, Envision reportedly drew interest from UnitedHealth and groups of private-equity firms interested in all or parts of the company. Those groups included a consortium comprised of Hellman & Friedman, Onex and Clayton Dubilier & Rice, as well as one led by Carlyle Group.YOU MIGHT ALSO LIKE:How To Invest In The Stock Market: Start With A Simple RoutineThese 5 Financial Stocks Are In Or Near Buy ZonesFed Rate Hike, Trump-Kim Summit, E3: Investing Action Plan 
"
6,EVHC,"The North Korea summit between President Trump and Kim Jong Un garnered a lot of headlines in the stock market Monday. Major stock indexes were flat to slightly higher near midday as Nasdaq 100 names like Tesla (TSLA) and Electronic Arts (EA) outperformed.The Dow Jones industrial average edged higher as Dow components UnitedHealth Group (UNH), Verizon (VZ) and Home Depot (HD) outperformed with gains of close to 1%. The S&P 500 and Nasdaq composite showed gains of around 0.3%. Volume on the NYSE and Nasdaq was tracking close to Friday's levels.After breaking out of a downtrend last week, shares of Tesla rallied nearly 4%. Electronic Arts, meanwhile, rallied 1.7% to another all-time high ahead of the start of E3 in Los Angeles. E3 is the premier event for computer video games and related products.The summit in Singapore gets underway today at 9 p.m. ET today. It comes after a contentious G-7 meeting over the weekend where Trump refused to endorse a joint G-7 statement that called for a reduction in tariffs.In stock market results today, Envision Healthcare (EVHC) gained 2.5% to 44.76. Private-equity titan KKR (KKR) will buy the company for 46 a share. Envision staffs hospitals and runs surgery centers in the U.S.Shares of Restoration Hardware (RH) looked poised to extend its winnings streak to seven sessions. Shares were up 3% ahead of its earnings report after the close. The high-end home furnishings retailer was featured over the weekend in the latest Earnings Preview column, which highlights potential options trades around earnings.Small cap KMG  Chemicals (KMG) was off session highs but still rallied 1%. Results are also due after the close. It's still in buy range from a 69.35 entry.Inside the IBD 50, Match Group (MTCH) jumped 2.5%, helped by an upgrade from Jefferies to buy from hold and a raised price target to 50 from 40. Shares of Match plunged 22% on May 1 after Facebook (FB) unveiled a dating app.The 10-year Treasury yield added 1 basis point to 2.95%. The two-day Federal Reserve meeting starts Tuesday and a decision on interest rates is due Wednesday at 2 p.m. ET. The Federal Open Market Committee is widely expected to raise the federal funds rate by a quarter point to a range of 1.75% to 2%. According to the CME Group FedWatch tool, the chances for a rate hike are at 96%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe path of interest-rate hikes for the rest of the year is a little more uncertain. The market currently sees a 70% chance of a quarter-point at the Aug. 1 meeting.You Might Also Like:The Latest Inside Investor's CornerHow To Find The Next Facebook: Start With A Simple RoutineBitcoin Nears 2018 Low After Cryptocurrency-Exchange HackStock Spotlight List Adds 8 For Your Best Stocks To Buy And WatchThis Top Dividend Stock Kicks Into Gear; Boasts 7.3% YieldWorkday Acquires Cloud Specialist Adaptive Insights Ahead Of IPO 
"
7,EVHC,"Dow Jones futures were little changed Monday morning, along with S&P 500 futures and Nasdaq futures as President Donald Trump prepared to meet North Korea leader Kim Jong Un on Tuesday, betting on his ""feel"" to see if Kim is serious about giving up his nukes. Meanwhile, Facebook (FB), Cisco Systems (CSCO), RH (RH) and video game makers such Electronic Arts (EA) and Activision Blizzard (ATVI) will be in focus.Facebook stock will react to new data-sharing revelations. Cisco Systems CEO Chuck Robbins will give a Monday keynote at the Dow Jones tech giant's Cisco Live event. RH, formerly Restoration Hardware, reports first-quarter results late Monday. The big E3 video game conference and related events showcase Electronic Arts, Activision Blizzard and others.Facebook stock is in buy range, along with RH, Electronic Arts and Activision. Cisco is consolidating near highs and could soon offer a new proper entry point.Dow Jones futures were just above fair value. S&P 500 futures and Nasdaq 100 futures were fractionally lower. Keep in mind that stock market futures and other overnight action often don't translate into actual trading in the next regular session.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTrump on Saturday in tweets disavowed the joint G-7 statement that papered over differences. Trump and top aides blamed Prime Minister Justin Trudeau for his renewed public criticism over new U.S. tariffs on Canada.Based on Justin's false statements at his news conference, and the fact that Canada is charging massive Tariffs to our U.S. farmers, workers and companies, I have instructed our U.S. Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the U.S. Market!— Donald J. Trump (@realDonaldTrump) June 9, 2018Meanwhile, expectations are low for President Trump's summit with Kim Jong Un in Singapore. But Trump's penchant for unexpected moves expand the range of possible outcomes. Trump said with ""my feel"" he expects to know ""within the first minute"" if Kim Jong Un is serious about giving up the North's nuclear weapons.The Dow Jones industrial average rose 2.8% last week while the S&P 500 index advanced 1.6%. Both the Dow Jones and S&P 500 moved above a sideways track. The Nasdaq composite climbed 1.2%, hitting a record high.Facebook late Friday confirmed that it shared users' personal information with companies in 2015, after the time when executives said the social network barred third-party developers from gaining access to data. That confirmed a Wall Street Journal report from after Friday's market close.That follows revelations last week that Facebook shared data with four Chinese companies. Those include telecom gear giant and handset maker Huawei, viewed with suspicion by U.S. intelligence.Facebook stock closed Friday up 0.5% to 189.10, ending a four-day slide and reclaiming a 188.42 buy point first cleared at the end of May.Shares dipped Friday night on the news and were down slightly before Monday's open. Can it hold in a buy zone in today's stock market trading?Cisco Live 2018 in Orlando, Fla., starts Sunday and runs through Thursday. Topics include artificial intelligence, data centers and security. CEO Chuck Robbins speaks Monday morning.Cisco stock closed at 43.48 on Friday, just below its 50-day moving average. Shares just cleared a 46.26 cup-base entry on May 10 (Cisco stock had formed handle-like pattern, but the overall base was too short to be a proper cup with handle.). Shares soon pulled back, tumbling below their 50-day line on May 17 after giving so-so guidance.Cisco stock doesn't have a proper buy point currently, but could form a flat base in another week.The upscale furniture chain reports Q1 earnings late Monday. Wall Street expects earnings to explode to $1.10 a share from 5 cents a year earlier as a transition to a membership model pays off. Revenue should edge up 0.4% to $564 million.RH stock rose 2.5% to 113.28, its sixth straight gain and hitting a new high. It's still in buy range from a 109.63 entry cleared Wednesday.RH stock has been extremely volatile after earnings. After tumbling 26% following Q1 2017 results, RH rose 22.5%-45% in the day after its next three quarterly results.The Electronic Entertainment Expo kicks off Tuesday, but several video game players are holding events ahead of the E3 open. Electronic Arts on Saturday said it would offer a subscription service for access to its games. Meanwhile, EA said ""Battlefield 5"" will feature a battle royale mode. Last-man-standing shooter games have become hugely popular, led by ""Fortnite"" from Epic Games. EA also vowed to address complaints about microtransactions in ""Star Wars Battlefront 2.""EA stock closed Friday at 137.87, at the edge of a buy zone from a 131.23 flat-base entry. Activision Blizzard is at 74.29, in range from a 73.60 cup-with-handle buy point. Take-Two Interactive (TTWO) is consolidating with a 119.01 entry, closing Friday at 113.42.Also, private-equity giant KKR (KKR) agreed to a buyout of physician services firm Envision Healthcare (EVHC) for $9.9 billion including assumed debt. KKR will pay $46 a share for Envision Healthcare. The deal is a small premium to Friday's 43.64 close. But it's a 70% bump above where Envision traded when it announced a strategic review last fall.Envision Healthcare rose 3.4% to 45.13 before the open.Envision agreed to sell its ambulance business to a KKR portfolio for $2.3 billion in August 2017.YOU MIGHT ALSO LIKE:These 5 Financial Stocks Are In Or Near Buy Zones Top Stock Ends Week In Buy Zone; Poised To Pop Next Week?Earnings Options: RH Rallies Ahead Of Earnings, But There Are Risks
"
8,EVHC,"The Nasdaq composite rose to a record high, as FANG stocks rallied and a slew of hot tech IPOs soared. The S&P 500 index was little changed while the Dow Jones fell amid Trump trade threats and weakness among many energy, financial stocks. Many retailers also fell, but RH (RH), Canada Goose (GOOS) and Etsy (ETSY) soared. The Federal Reserve hiked rates and predicted two more in 2018. AT&T (T) closed its takeover of Time Warner after a federal judge OK'd the deal. Adobe Systems (ADBE) pulled back despite strong earnings.The Nasdaq composite advanced 1.3% as techs powered ahead. The S&P 500 index was flat and the Dow Jones retreated 0.9%. Media stocks — and some health giants — rallied as AT&T got a court's OK to buy Time Warner. Many retail stocks cooled after a recent run, but RH (RH), Dave & Buster's (PLAY) and online arts and crafts site Etsy (ETSY) soared on results or guidance. Fed policymakers see two more hikes in 2018 after raising rates on Wednesday.A federal judge OK'd the AT&T-Time Warner deal without conditions, rejecting the Justice Department's argument that the merger could hurt competition in the pay-TV industry. AT&T closed the $85 billion merger on Friday. The landmark ruling boosted share prices in media firms CBS (CBS), Lionsgate (LGF), and Discovery Communications (DISCA). The decision is expected to open the door to more acquisitions of media firms by telecom giants. The deal also bodes well for big vertical health care mergers, including CVS Health (CVS) buying Aetna (AET).Comcast (CMSCA), as expected, launched a takeover bid for 21st Century Fox Entertainment (FOXA), offering $65 billion in cash for Rupert Murdoch's entertainment company, a 19% premium over the Walt Disney (DIS) offer. Disney in November agreed to buy Fox — including its stake in broadcaster Sky — for $54.4 billion in stock. Fox's board is expected to withdraw its recommendation for Disney's offer. The companies are unlikely to carve up Fox, analysts say.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe E3 video game conference spotlighted major titles coming soon from such leaders as Activision Blizzard (ATVI), Microsoft (MSFT), Nintendo (NTDOY) and Sony (SNE). Esports were a major topic at this year's show with tournaments for games such as ""Fortnite: Battle Royale"" from Epic Games and ""Super Smash Bros."" from Nintendo. The rise of subscription services, such as Electronic Arts (EA) Origin Access Premier and Microsoft (MSFT) Xbox Game Pass, also was a hot topic, as was the future of streaming for video games. EA and Activision cleared buy zones while Take-Two Interactive (TTWO) broke out.The Fed hiked its key interest rate, as expected, for the second time this year. Somewhat surprisingly, policymakers penciled in two more hikes this year. Chairman Jerome Powell declared the economy to be in ""great shape,"" and expressed no sense that the a hawkish shift in policy would be any risk.May retail sales rose 0.8%, their best gain in six months, backing up Powell's assessment. That spurred some Wall Street firms to boost second-quarter GDP growth projections to 4% or more. Meanwhile, core consumer price inflation picked up to 2.2% from a year ago, the highest since early 2017, and further increases are likely.Adobe Systems (ADBE) earned an adjusted $1.66 a share in its fiscal Q2, up 63% year over year, on sales of $2.20 billion, up 24%. Analysts expected the Digital media and marketing software firm to earn an adjusted $1.54 a share on sales of $2.16 billion. For its current fiscal third quarter, Adobe guided modestly higher. Adobe shares pulled back 2.4% on Friday after a big run in 2018 and over the last few years.Shares of Etsy (ETSY) soared 26% Thursday after the arts and crafts online retailer raised 2018 revenue guidance and announced new subscription packages and higher seller fees, among other initiatives. It now sees revenue of $582 million to $591 million. That's growth of 32% to 34%, up from prior guidance of 22% to 24%. Etsy raised the transaction fees on sellers to 5% from 3.5%. It will spend $110 million on direct marketing in 2018, up 40% from last year. Etsy has 2 million active sellers on its platform and 35 million active buyers.Earnings more than doubled to $1.10 a share, smashing estimates for 87 cents a share. KMG Chemicals (KMG), which makes chemicals used in chips, solar panels and consumer electronics, also raised its full-year sales forecast. Shares rocketed 11% for the week, blasting into and beyond a buy zone.Canada Goose (GOOS) swung to a profit of 7 cents a share from a loss of 12 cents per share a year ago. Revenue more than doubled to $98.8 million. Analysts expected loss of 8 cents on sales of $61 million. The outerwear company typically makes money in the fall and winter but loses money in the warmer months. Canada Goose sees fiscal 2019 EPS growth of at least 25% and revenue 20% or more. Canada Goose stock soared 33% Friday.RH (RH), the furniture purveyor formerly known as Restoration Hardware, grew earnings per share 27-fold to $1.33 vs. views for $1.01. Revenue dipped 0.9% to $557 million surprising analysts who expected $564 million. Enhanced earnings guidance for 2018 and a strong Q2 outlook drove investor confidence. Shares soared 31% on Tuesday, adding to RH's history of wild stock swings after earnings reports.Arcade-restaurant chain Dave & Buster's (PLAY) topped Q1 views, as EPS grew 19.5% to $1.04 and revenue rose 9% to $332 million. Same-store sales fell 4.9%, a narrower decline than expected. Dave & Buster's is rolling out a new virtual reality game tied to the new movie ""Jurassic World: Fallen Kingdom,"" and some analysts see that as a game changer. Dave & Buster's CEO Steve King will retire on Aug. 5. CFO Brian Jenkins will succeed him. Shares shot up 17% Tuesday, definitively retaking support at the 200-day line and reaching a 5-month high.In its May report, OPEC reported a rise in production from Saudi Arabia and raised its non-OPEC 2018 production outlook by 130,000 bpd from the April report, on growing shale production. The International Energy Agency warned that economic turmoil in Venezuela and renewed sanctions on Iran could lead to a supply gap late next year if OPEC can't make up for lost production. President Trump blasted OPEC in another tweet about high oil prices. The Energy Information Administration said domestic crude stockpiles fell by 4.1 million, more than expected, while production rose. U.S. crude fell about 1% for the week to $65.06 a barrel.Private-equity giant KKR (KKR) set to buy Envision Healthcare (EVHC) for $46 a share. The all-cash deal values the hospital-staffing company, at $9.9 billion, including assumed debt. USG Corp. (USG) agreed to be acquired by Germany's Knauf for $7 billion, ending months of talks. USG's largest investor, Warren Buffett-led Berkshire Hathaway (BRKB), urged the wallboard maker to negotiate. Buffett had rescued USG after the 2008 housing market collapse, but called the investment disappointing last year. Workday (WDAY) will pay $1.55 billion for Adaptive Insights, which had been near an IPO, helping to expand its cloud offerings to business planning. Stryker (SYK) said it's not in talks with fellow medical device company Boston Scientific (BSX) on a potential takeover, without disputing reports it had made a takeover approach.Pivotal (PVTL) reported its first quarter as a public company and topped expectations, sending shares up. The company said it lost 13 cents a share vs. estimates of a 16-cent loss. Revenue rose 28% to $156 million, topping views of $142 million. Shares surged 39%.AstraZeneca (AZN) and Eli Lilly (LLY) on Tuesday scrapped Phase 3 studies of an Alzheimer's disease treatment called lanabecestat. The drug appeared unlikely to work in early Alzheimer's disease and mild Alzheimer's dementia.YOU MIGHT ALSO LIKE:IBD Stock Of The DayHow To Invest In The Stock Market: Start With A Simple RoutineStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth Stocks
"
9,EVHC,"Cavium (CAVM), which designs chips for Apple (AAPL) products like the iPhone, made an acquisition to diversify. Envision Healthcare (EVHC) and Amsurg (AMSG) agreed on a merger. Nu Skin (NUS) received a major investment and presumptive Democratic presidential nominee Hillary Clinton took aim at the financial sector.The chip company agreed to buy QLogic (QLGC), which makes switches, routers and application-specific chips for storage networks and other networks, in a transaction valued at $1.36 billion. Cavium joins other Apple suppliers such as Broadcom (AVGO) and NXP Semiconductors (NXPI) to make acquisitions that diversify away from the iPhone and other smartphones as sales stall or fall.Cavium agreed to pay $15.50 a share in cash and stock. It sees $45 million in annualized cost synergies to be realized by the end of 2017, with the deal adding 60-70 cents to Cavium's calendar year 2017 adjusted EPS.Cavium shares sank 8% late, after closing up 3.8%. QLogic jumped 11.5%.Envision Healthcare and Amsurg announced an all-stock merger with an enterprise value of $15 billion, following reports in recent weeks that a deal was close. Amsurg will pay 0.334 share for each share of Envision. Based on Wednesday's closing price for Amsurg, that would value Envision at 25.89.Envision shares fell 3.6% in extended hours trading after closing down 0.1% at 27.51. in the stock market today. Amsurg was little changed.Envision is an outsourced medical care provider with more than 20,000 affiliated clinicians. Amsurg operates more than 250 ambulatory surgery centers nationwide.The network marketer of personal care products and nutritional supplements announced a $210 million strategic investment from a Chinese consortium led by Ping An of China Securities and a group of additional investors affiliated with ZQ Capital.Nu Skin said it plans to use the proceeds for repurchasing common stock this year and investing in our China operations.Nu Skin also said it sees Q2 revenue at or slightly above the high end of its prior guidance for $560 million to $580 million.Nu Skin's business practices have come under scrutiny in China recently, along with those of Herbalife (HLF).Nu Skin shares climbed 3.5% late.Just before the market close, Clinton told USA Today that, if elected, she would take executive action to end the so-called carried interest loophole, which lets private equity managers count their earnings as investment income and pay a lower rate.
"
