,ticker,content
0,EXPD,"On Wednesday, Hub Group (HUBG) got an upgrade to its Relative Strength (RS) Rating, from 70 to 73. X IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the trailing 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the stocks that go on to make the biggest gains often have an RS Rating of at least 80 as they begin their largest runs. See if Hub Group can continue to rebound and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineHub Group is building a cup with handle with a 46.30 buy point. See if it can clear the breakout price in volume at least 40% higher than normal. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up -28%, compared to -52% in the prior report. Revenue increased from 8% to 13%. Hub Group earns the No. 8 rank among its peers in the Transportation-Logistics industry group. ZTO Express (ZTO), XPO Logistics (XPO) and Expeditors International (EXPD) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,EXPD,"The Relative Strength (RS) Rating for ZTO Express (ZTO) climbed into a new percentile Thursday, with a rise from 80 to 86. X This exclusive rating from Investor's Business Daily measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners tend to have an RS Rating of over 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksZTO Express is now considered extended and out of buy range after clearing a 16.60 buy point in a first-stage cup with handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 7%, compared to -9% in the prior report. Revenue increased from 25% to 27%. The company is expected to report its latest results on or around Nov. 28.ZTO Express earns the No. 5 rank among its peers in the Transportation-Logistics industry group. Expeditors International (EXPD) is the top-ranked stock within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,EXPD,"In a welcome move, CH Robinson Worldwide (CHRW) saw its Relative Strength Rating rise from 70 to 75 on Wednesday. X IBD's proprietary RS Rating tracks technical performance by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners often have an RS Rating north of 80 as they launch their largest climbs. See if CH Robinson Worldwide can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksCH Robinson Worldwide is now considered extended and out of buy range after clearing a 74.64 buy point in a first-stage cup with handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Earnings grew -6% last quarter, up from -22% in the prior report. Revenue also increased, from 12% to 13%. The company earns the No. 8 rank among its peers in the Transportation-Logistics industry group. XPO Logistics (XPO), Expeditors International (EXPD) and Schneider National (SNDR) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,EXPD,"In a welcome move, Expeditors International (EXPD) saw its Relative Strength Rating improve from 69 to 72 on Thursday. X This proprietary rating tracks market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the trailing 52 weeks matched up against all other stocks. History shows that the best-performing stocks typically have an RS Rating north of 80 in the early stages of their moves. See if Expeditors International can continue to rebound and hit that benchmark. Expeditors International is trading within a buying range after breaking past a 57.52 buy point in a cup with handle. Once a stock moves 5% or higher beyond the initial entry, it's considered out of a proper buy zone. EPS growth declined last quarter from 0% to -4%, but revenue rose from 3% to 9%. The company holds the No. 5 rank among its peers in the Transportation-Logistics industry group. XPO Logistics (XPO) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,EXPD,"In a welcome move, Schneider National (SNDR) saw its Relative Strength Rating improve from 67 to 76 on Wednesday. X IBD's proprietary rating tracks market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners typically have an RS Rating north of 80 in the early stages of their moves. See if Schneider National can continue to show renewed price strength and clear that threshold. Schneider National has risen more than 5% past a 19.84 entry in a first-stage ipo base, meaning it's now out of a proper buy zone. Look for the stock to offer a new buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. The company posted -6% earnings growth last quarter. Revenue gains came in at 1%. Look for the next report on or around Jul. 28.The company holds the No. 7 rank among its peers in the Transportation-Logistics industry group. XPO Logistics (XPO),  (YERR) and Expeditors International (EXPD) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,EXPD,"A pop quiz can tell individual investors whether they've been paying sufficient attention to the market. Today's question: Which sectors have advanced the most in the rankings since early November? If you said banks, you'd be wrong, though understandably so. In early November, the bank sector was already No. 8 among 33 sectors, thanks to expectations for higher interest rates. Going into Tuesday's…
"
6,EXPD,"The transportation sector soared from No. 31 among IBD's 33 sectors just before the U.S. presidential election to a current No. 11 slot. Transports began to rally before the election, with the Dow Transportation Index rising 3% on Nov. 7  to its highest mark in a year. That strength ran across industries within the sector. The trucking, shipping, railroad, airline…
"
7,EXPD,"U.S. stock indexes suffered their worst losses in about five weeks in Tuesday afternoon trade.The Nasdaq severed 1.4%, while the S&P 500 and the Dow Jones industrial average slashed off 1% and 0.8%, respectively. The small-cap Russell 2000 led the losers with a 1.5% drop. Volume in the stock market today was emphatically higher on both major exchanges.Utilities provided no shelter, as the Dow Jones utility average pulled back 0.6%. Gold, though, was a different story. The iShares Gold Trust (IAU) exchange traded fund gapped up 0.9%, and IBD's gold-mining industry group surged 0.8%.Newmont Mining (NEM) raced more than 3% higher, as it scored a new high.Finding winners among top-rated stocks was a hard task. In the IBD 50, only three stocks rose, and only one showed strong volume. GrubHub (GRUB), a provider of online takeout orders for restaurants, grabbed a 1% gain in volume 50% above average.Among lower-rated stocks, freight logistics provider Expeditors International (EXPD) broke out of a base dating to October. The stock jumped 4% in volume 140% above average. Expeditors beat Wall Street's consensus number on earnings but fell a bit shy on revenue. The Seattle-based company's EPS Rating is 69, which means about 30% of the companies in IBD's database are growing earnings faster.West Texas Intermediate crude oil futures slid 2%, falling below $40 a barrel.
"
8,EXPD,"A trio of leading stocks broke out to new highs Tuesday despite the broader market's decline. Trex (TREX) rallied 8.05, or 16%, to 56.95, surpassing a 50.72 buy point of a cup-with-handle base in heavy trade. Shares hit a record high. They're now extended from the entry, as well as from a higher buy point based on the opening price…
"
9,EXPD,"Stocks moved off their worst intraday levels Tuesday, heading into the final hour of the regular trading session. Only four Dow stocks were higher, as Apple (AAPL) and Pfizer (PFE) continued to pressure the blue chip index.The Nasdaq was down 0.8%, the S&P 500 shed 0.7%, and the Dow Jones industrial average gave up 0.6%. Volume was higher across the board vs. the same time Monday.Pfizer led the Dow losers with a loss of more than 2% in above-average volume, despite a quarterly beat. Shares, which jumped to a 12-year high on Monday, are still 2% above a 35.60 handle buy point cleared July 1. The drug giant has still not said whether it will split into two or three companies going forward. It's supposed to make an announcement by the end of the year.Apple, down 1.5%, also weighed on the blue chip index. The stock is trading at its best levels in more than three months, but it appears to be running into resistance near the 106 level. The iPhone maker last week reported profit and sales that declined for a second straight quarter. But the results beat forecasts, and shares rallied 6% for the week.Retail, airline and apparel stocks were among the biggest losers in the stock market today, while tire makers, drugstores and software stocks led the scant upside.CVS Health (CVS) gapped up, surging 5% to regain its 50-day and 200-day lines in fast turnover. The drugstore giant reported mixed Q2 results, as earnings topped views, but sales missed them. CVS narrowed its full-year EPS guidance to $5.81-$5.89 from its earlier outlook for $5.73-$5.88. The new midpoint is $5.85, above consensus estimates for $5.82.Trex (TREX) gapped up to soar 16% in massive volume to a 15-month high after reporting Q2 earnings and sales that topped views.Expeditors International (EXPD) also broke out, clearing a 50.73 cup-with-handle buy point in busy trade. The logistics services provider reported Q2 profit that beat estimates, but its revenue missed forecasts.On the IBD 50, only five stocks were bucking the downtrend, led by GrubHub (GRUB). Shares of the online restaurant-order platform provider climbed 2% in hefty trade and were at their highest level in over a year. The downside was led by discount retailer Five Below (FIVE), as well as BroadSoft (BSFT) and Ellie Mae (ELLI), each down more than 3%.
"
10,EXPD,"Priceline Group (PCLN) has been no stranger to challenges, yet it remains a market-leading stock. International terrorism, fierce competition and currency headwinds are unfavorable trends for the online travel booking company. But Priceline has made headway against some of those. For example, in its Q1 report, the company said currency fluctuations were less severe than what it experienced in 2015.…
"
11,EXPD,"Transports have perked up in recent weeks, but the sector is a big one, filled with leading and lagging sub-groups. Equipment manufacturers in the sector soared Wednesday but there’s not much leadership in the group. Same with shipping and railroad stocks which also turned in a solid performance the same day. Year-to-date, the Dow Transports are up 6% compared to…
"
