,ticker,content
0,FCX,"Call options could make sense for several top stocks set to report earnings in the coming week. X Results are due from defense contractors such as Lockheed Martin (LMT) and Raytheon (RTN). Meanwhile, technology kingpins like Intel (INTC), Amazon.com (AMZN) and Microsoft (MSFT) also will report. Many option strategies can be complicated and risky. But a…
"
1,FCX,"On Wednesday, Freeport McMoRan (FCX) got an upgrade to its Relative Strength (RS) Rating, from 89 to 92. X This proprietary rating tracks market leadership by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. Over 100 years of market history shows that the best stocks tend to have an RS Rating north of 80 in the early stages of their moves.Looking For The Best Stocks To Buy And Watch? Start HereFreeport McMoRan is now considered extended and out of buy range after clearing a 15.85 buy point in a first-stage cup with handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Earnings-per-share growth dropped last quarter from 120% to 33%, but sales rose from 11% to 15%. Freeport McMoRan holds the No. 8 rank among its peers in the Mining-Metal Ores industry group. Southern Copper (SCCO), Teck Resources  (TECK) and Vale (VALE) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,FCX,"In a welcome move, Teck Resources (TECK) saw its Relative Strength Rating improve from 70 to 77 on Monday.X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily measures share price action with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the trailing 52 weeks stacks up against all the other stocks in our database.Decades of market research shows that the best stocks tend to have an RS Rating of at least 80 as they launch their biggest runs. See if Teck Resources can continue to show renewed price strength and hit that benchmark.Looking For Winning Stocks? Try This Simple RoutineWhile Teck Resources is not near a proper buy zone right now, see if it goes on to form and break out from a proper consolidation.Earnings grew 16% last quarter, up from -25% in the prior report. Revenue also increased, from -10% to 9%. The company is expected to report its latest performance numbers on or around Jul. 27.The company holds the No. 8 rank among its peers in the Mining-Metal Ores industry group. Freeport McMoRan (FCX), BHP Billiton  (BHP) and Mesabi Trust (MSB) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,FCX,"On Tuesday, Alcoa (AA) got an upgrade to its Relative Strength (RS) Rating, from 79 to 82. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique RS Rating measures technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the last 52 weeks matches up against the rest of the market. Decades of market research shows that the best stocks often have an RS Rating north of 80 as they begin their biggest climbs.Looking For The Best Stocks To Buy And Watch? Start HereAlcoa is not currently offering a proper buying opportunity. See if the stock goes on to form a promising consolidation that could ignite a new run.Alcoa reported 22% EPS growth in its most recent report, while sales growth came in at 16%. The company holds the No. 8 rank among its peers in the Mining-Metal Ores industry group. Freeport McMoRan (FCX), Mesabi Trust (MSB) and Southern Copper (SCCO) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,FCX,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Teck Resources (TECK), which had its Relative Strength (RS) Rating upgraded from 79 to 84 Wednesday. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This proprietary rating measures technical performance by showing how a stock's price action over the last 52 weeks measures up against that of other stocks on the major indexes. Over 100 years of market history shows that the market's biggest winners tend to have an RS Rating of over 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksTeck Resources is working on a cup without handle with a 30.90 buy point. See if the stock can break out in heavy trade. Earnings grew 16% last quarter, up from -25% in the prior report. Revenue also increased, from -10% to 9%. Teck Resources earns the No. 6 rank among its peers in the Mining-Metal Ores industry group. Freeport McMoRan (FCX), Mesabi Trust (MSB) and Southern Copper (SCCO) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,FCX,"On Wednesday, Cameco (CCJ) cleared a key technical benchmark, seeing its Relative Strength (RS) Rating jump into the 80-plus percentile with an improvement to 81, up from 77 the day before. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique RS Rating identifies market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the last 52 weeks matches up against that of all other stocks. Over 100 years of market history shows that the stocks that go on to make the biggest gains tend to have an 80 or better RS Rating as they begin their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereCameco has moved more than 5% past a 10.77 entry in a first-stage cup with handle, meaning it's now out of a proper buy range. Look for the stock to create a new chance to pick up shares like a three-weeks tight or pullback to the 50-day or 10-week moving average. In terms of revenue and profits, the company has posted two quarters of increasing earnings growth. Top line growth has also increased over the same time frame. Cameco holds the No. 7 rank among its peers in the Mining-Metal Ores industry group. Freeport McMoRan (FCX), Mesabi Trust (MSB) and Southern Copper (SCCO) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,FCX,"Stocks dug into substantial early losses early Tuesday, as an intensifying U.S.-China trade spat triggered a deep sell-off across Asian stock markets. China trade-sensitive stocks, including Boeing (BA) and NXP Semiconductors (NXPI), posted heavy declines on the Dow and the Nasdaq 100.A broad range of China stocks spearheaded the early losses. JD.com (JD), Ctrip.com International (CTRP), Baidu (BIDU), Huya (HUYA) and JinkoSolar (JKS) were among the deepest decliners.The Dow Jones industrial avereage came off opening lows, but was down 1.2% shortly after the start of trade. Boeing and Caterpillar (CAT) led the downside. More than half of the Dow's 30 issues fell more than 1%.The S&P 500 and Nasdaq Composite each shed 0.7%. About a dozen S&P 500 names sold down more than 2%. China trade sensitive names CF Industries (CF), Freeport McMoRan (FCX) and General Motors (GM) fell furthest.China names were among the Nasdaq's worst decliners. JD.com, NetEase and Baidu had three of the Nasdaq 100's four worst losses.Netherlands-based NXP Semiconductors continued to ping-pong on U.S.-China news, as the Senate passed a bill Monday that would reinstate stiff penalties vs. China telecom giant ZTE Corp. Qualcomm (QCOM) has been attempting to acquire the NXP in a $43 billion deal which China's regulators reportedly approved last week. But the approval had been hitched to President Trump's forgiving ZTE for its violations of trade sanctions vs. North Korea. On Tuesday, NXP dropped 1.8% to one of the Nasdaq 100's deepest early losses. Qualcomm was down 1.6%.The Dow has five straight declines under its belt, falling back below the 25,000 level on Monday. The index appears headed for a break of its 50-day line at Tuesday's open, although premarket action does not always follow through into regular trade.  The S&P 500 ended Monday 3% above its 50-day line. The Nasdaq remains just a fraction off Thursday's high, and 5% above its 50-day level.With 25% tariffs on $50 billion on imports from China set to kick in on July 6, China has said it would impose equal penalties on U.S. imports. If those tariffs go into place, President Trump on Monday said he would increase the scope of U.S. tariffs to $200 billion worth of China goods.As a result, Asian stock markets careened lower Tuesday. The yuan dropped to a five-month low against the dollar and investors scrambled to get out of the way of the worsening trade dispute. The Shanghai Composite swooned 3.8%, the Shenzhen Composite dived 5.3% as more than 1,000 stocks hit their daily 10% loss maximum circuit breaker. The selling quickly infected Japan's market, where Tokyo's Nikkei 225 plummeted 1.8%, cutting below its 50-day moving average.Asia's rout moderated somewhat in Europe, where markets traded sharply lower in afternoon trade. Frankfurt's DAX fell hardest, down 1.3%. The CAC-40 in Paris was 1.2% in the red, while London's FTSE 100 dimmed 0.5%.Sellers went after a number of China-based stocks in early U.S. trade. JinkoSolar dropped more than 4%. JD.com, Ctrip and Weibo (WB) all showed losses deeper than 3%.  Among the scorching-hot trio of China IPOs: Huya, iQiyi (IQ) and Bilibili (BILI), gtwo reversed premarket losses and punched higher: Huya gained a fraction. IQiyi scored a 3% gain. All three stocks are due for price consolidation, and pullbacks could present investors with buy opportunities.Another China-based IPO, Sogou (SOGO), broke out on Friday, then retook its cup-base buy point Monday in a huge-volume gain. Shares dropped 3.8% before Tuesday's open, holding just above the base's 14.80 buy point.China names also led the early declines among IBD 50 stocks. China Lodging (HTHT) dropped 3.6%. YY (YY) fell 1.9%. Momo (MOMO) dumped 3.7%. The declines did not do significant damage to the charts of either China Lodging or Momo.The loss dealt a setback to YY, which has been struggling to build the right side of a three-month base pattern.On the Dow, Boeing unraveled 3.2%, cutting below support at its 10-week moving average in heavy trade. The stock is trading below a 365.10 buy point in a cup-with-handle base. A fall below 335.89 would trigger the automatic sell rule.Verizon (VZ) scored one of the Dow's lonely early gains, rising 1%. Deutsche Bank upgraded the stock to buy, from hold. Verizon has been attempting to start up the right side of a four-month base pattern.China-based Autohome (ATHM) notched the deepest early loss among IBD Leaderboard names. Autohome dived 3.9% at Tuesday's open. The stock is extended after clearing an ascending-base buy point at 107.64 on May 30.In economic news, U.S. housing starts jumped more than expected in May. The Commerce Department reported starts rising to an annualized rate of 1.35 million for the month, up from 1.286 million in April and above consensus forecasts for an increase to 1.32 million.Building permits, which gauge upcoming building activity, slipped to an annualized pace of 1.301 million. That was down from April's 1.352 million pace and well short of views for a jump to 1.35 million starts.FedEx (FDX), Oracle (ORCL) and La-Z-Boy (LZB) report quarterly results after today's closing bell.(For updates on this story and other market coverage, visit stock news today)RELATED:Dow Slips, Techs Recover, Small Caps Lead; Tesla Extends GainsOnly A Stock Market Rout Can Avert A Trump Trade WarIf You Missed These Explosive China Stocks, Here's How You Could Get InThese Stocks Just Came On – And Off – IBD's Stock ListsIBD Stock Of The Day: Newest S&P 500 Member Blasts Into Buy Range
"
7,FCX,"Freeport McMoRan (FCX) saw an improvement in its IBD SmartSelect Composite Rating Friday, from 94 to 96. X The revised score means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. Freeport McMoRan is currently extended beyond a proper buy zone after breaking out from a 15.85 entry in a cup with handle. See How IBD Helps You Make More Money In StocksThe stock earns an 80 EPS Rating, which means its recent quarterly and annual earnings growth is outpacing 80% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. In Q3, the company reported 162% earnings growth. Sales were flat, matching the prior quarter's 11%. The company's next quarterly report is expected on or around Jan. 25.Freeport McMoRan earns the No. 8 rank among its peers in the Mining-Metal Ores industry group. BHP Billiton (BBL), BHP Billiton  (BHP) and Mesabi Trust (MSB) are among the top 5 highly-rated stocks within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
8,FCX,"Profits were tough to come by in the latest week in the options market, especially call options in several defense stocks in anticipation of strong earnings. X Results were generally good at Lockheed Martin (LMT), Raytheon (RTN) and Northrop Grumman (NOC). But call options didn't work out. Earnings from other institutional-quality companies such as Alphabet (GOOGL),…
"
9,FCX,"Vedanta (VEDL) saw a positive improvement to its Relative Strength (RS) Rating on Thursday, with an upgrade from 65 to 71. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's proprietary rating measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the last 52 weeks stacks up against all the other stocks in our database. History reveals that the top-performing stocks typically have an RS Rating north of 80 in the early stages of their moves. See if Vedanta can continue to rebound and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineVedanta is building a consolidation with a 20.63 buy point. See if it can break out in volume at least 40% higher than normal. The company showed -20% EPS growth in its most recent report, while sales growth came in at 19%. Look for the next report on or around Apr. 28.The company earns the No. 10 rank among its peers in the Mining-Metal Ores industry group. Southern Copper (SCCO), Alcoa (AA) and Freeport McMoRan (FCX) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
