,ticker,content
0,FDX,"FedEx (FDX) saw a welcome improvement to its Relative Strength (RS) Rating on Monday, with an upgrade from 70 to 74. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's proprietary rating measures share price action with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the last 52 weeks compares to all the other stocks in our database. History shows that the stocks that go on to make the biggest gains tend to have an RS Rating north of 80 in the early stages of their moves. See if FedEx can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereFedEx is working on a consolidation with a 274.76 buy point. See if it can break out in volume at least 40% above average. In terms of fundamental health, FedEx has posted rising EPS growth in each of the last two reports. Revenue growth has also increased over the same time frame. FedEx earns the No. 1 rank among its peers in the Transportation-Air Freight industry group. Air Transport Services (ATSG) and Atlas Air Worldwide (AAWW) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,FDX,"On Tuesday, FedEx (FDX) received an upgrade to its Relative Strength (RS) Rating, from 62 to 71. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating measures share price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the trailing 52 weeks stacks up against all the other stocks in our database. History reveals that the best-performing stocks tend to have an RS Rating north of 80 as they launch their largest climbs. See if FedEx can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksFedEx is building a consolidation with a 274.76 buy point. See if it can clear the breakout price in volume at least 40% above average. In terms of fundamentals, FedEx has posted rising EPS growth in each of the last two reports. Revenue gains have also increased over the same time frame. FedEx holds the No. 2 rank among its peers in the Transportation-Air Freight industry group. Air Transport Services (ATSG) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,FDX,"Amazon.com's (AMZN) ever-expanding retail empire is going to need more workers and vehicles to get millions of packages to shoppers' doors. To do so, the web retailer is encouraging people to start their own delivery businesses.XFor those in the U.S. willing to strike out on their own in the service of the e-commerce giant, the Amazon delivery program will offer financial and operational support, the company says. Startup costs can be as low as $10,000. They also will get access to discounted trucks, uniforms, fuel, insurance and other resources, Amazon said.Amazon delivery capacity is an issue as it works on ways to expand. It's looked at everything from leasing its own cargo planes to experimenting with drones. It's also working on ways to move merchandise directly from merchants to consumers. The idea is to avoid overwhelming its own warehouses with inventory, documents reviewed by Bloomberg show.Amazon delivery long has relied on the U.S. Postal Service, United Parcel Service (UPS) and FedEx (FDX). It's also sought to gain more control over the logistics of package delivery, using its own technology and data-crunching abilities as well as facilities and transport to move packages around more efficiently.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Customer demand is higher than ever and we have a need to build more capacity,"" Dave Clark, Amazon's senior vice president of worldwide operations, said in the statement.Shares of Amazon were up fractionally, near 1,672, while UPS dropped 2.5% near 105.70 and FedEx lost 2% near 225.Those who succeed in the new Amazon delivery program can earn as much as $300,000 in annual profit by operating a fleet of as many as 40 delivery vehicles, according to Amazon. They will be able to build their businesses knowing that Amazon will provide shipment delivery volume and give them access to ""sophisticated delivery technology,"" the company said.Amazon says military veterans who qualify can get $10,000 in reimbursements to start their own delivery business.Amazon has employed independent contractors in the past to handle packages, especially during busy holiday shopping periods. Individuals can also sign up for a program called Amazon Flex to deliver merchandise using their own vehicles. In the process, they can earn $18 to $25 an hour.With the new startup initiative, the online store will be able to boost its shipment capacity. Meanwhile, they can put Amazon-branded vehicles and uniforms on the streets.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED LINKS:Amazon-PillPack Deal Roils These Health Care StocksAmazon Cloud Business Takes On The World For Pentagon ContractAmazon Prime Discounts Now Available At Whole Foods Markets Across U.S.
"
3,FDX,"Option trading has been a profitable endeavor on many earnings reports in recent weeks, whether it was a bullish earnings option trade for MongoDB (MDB) or a bearish trade for homebuilder Toll Bros. X As companies get ready to close their books on the second quarter, a few top stocks with healthy charts will release earnings…
"
4,FDX,"Stocks opened to very tight gains on Monday, ahead of a heavy week of political and policy events. The world's attention is trained on Tuesday's summit between President Trump and North Korea's Kim Jong Un, but a Wednesday press conference with Fed Chair Jerome Powell will be a focal point for investors.The Dow Jones industrial average managed a 0.2% gain. The S&P 500 added 0.1%, with utilities Sempra Energy (SRE) and PG&E (PCG) posting the index's largest rise and fall, respectively.The Nasdaq Composite struggled with a gain of less than 0.1%,The Dow posted a 2.8% gain last week, its best since early March. The S&P 500 climbed 1.6% and the Nasdaq notched a 1.2% gain. The result left the Nasdaq at a new high, the Dow holding comfortably above the 25,000 mark and the S&P 500 less than 1% below 2,800.On the political front, markets showed little reaction to an early U.S. exit from a fractious G7 meeting over the weekend. The result set a disappointing tone on progress toward international trade agreements, but markets settled into the quiet trade that is customary head of Federal Reserve meetings.A diplomatic summit set for Tuesday between President Trump and North Korean leader Kim Jong Un is historic, although it has no specific targets. The tone of the two leaders, and the tweets that follow the meeting, could have some bearing on market behavior.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBut the market's central focus this week is likely to be on the two-day U.S. Federal Open Market Committee meeting and the policy meeting of the European Central Bank.The FOMC meet begins Tuesday, and wraps up with a policy announcement and a press conference with Fed Chairman Jerome Powell Wednesday afternoon.Investors project a 92% probability that the Fed will hike rates a quarter point. Powell's press conference will be of particular interest, as investors look for clues as to whether the Fed is leaning toward one or two more rate hikes for the rest of the year.Bond markets also will be under the microscope as the ECB meets on Thursday. Few expect the bank will increase its interest rates. But expectations are high the bank will lay out an exit strategy from its massive bond-buying stimulus program begun in 2009.Sempra surged nearly 15% after a letter from activist hedge fund Elliott Management to the San Diego-based company's board outlined a strategy to unlock value in the $26.6 billion market capitalization stock. Moves included replacing six board members, and creating a Strategic Review Committee of the Board. Sempra shares are down 18% from a November 2017 high.PG&E skidded 6% lower. A report released late last week by the California Department of Forestry and Fire Protection determined that 12 fires in Northern California, which killed 18 people and burned 174,000 acres in October 2017, were the result of power lines or equipment owned by PG&E. PG&E shares ended Friday 42% below their September high. A note from Wells Fargo maintained the stock's Market perform rating, but lowered its price target to 46, from 48.A handful of quarterly reports will add interest during the week. RH (RH), formerly Restoration Hardware reports late today. Adobe Systems (ADBE), Finisar (FNSR) and FedEx (FDX) also report this week.Adobe rose 0.7% in early trade. The stock has been tapping out new highs since breaking out above a flat base in January. Shares are extended, up 33% from that breakout. Analysts expect a 51% rise in earnings and a 22% gain in sales when the company reports Thursday.FedEx rose 1% at the open, climbing further up the right side of a six-month base pattern. The stock ended Friday less than 6% below a buy point at 274.76. Shares are up 26% over the past 12 months, but the stock's Relative Strength line is lagging.Oil prices pulled back sharply, continuing recent volatility ahead of a June 22 meeting of the Organization of Petroleum Producing Countries. News reports said Saudi Arabia was increasing production ahead of the meeting. Many expect Saudi and non-OPEC member Russia to alter or remove production caps put in place in 2016. In addition, Reuters reported that the Trump administration, a day before exiting the Iran anti-nuclear deal, made a direct request for Saudi Arabia to increase production in order to offset the oil price impact of renewed sanctions against Iran.Oil traded down about 1% early Monday. West Texas Intermediate was hovering just at the $65 per barrel level, down about 11% from a May 22 high.YOU MIGHT ALSO LIKE:These 5 Financial Stocks Are In Or Near Buy ZonesFed Rate Hike, Trump-Kim Summit, E3: Investing Action PlanTop Stock Ends Week In Buy Zone; Poised To Pop Next Week?Earnings Options: RH Rallies Ahead Of Earnings, But There Are Risks
"
5,FDX,"Here is your Investing Action Plan for Tuesday: what you need to know as an investor for the coming day. Tesla (TSLA) CEO Elon Musk will visit Shanghai, just days after China hit U.S. cars with more tariffs, while Boeing (BA) unveils second-quarter orders and PepsiCo (PEP) reports earnings. X Elon Musk Goes To China The Tesla…
"
6,FDX,"The stock market's early rally turned to mixed trade Wednesday, as stocks looked to recover from Tuesday's sharp sell-off. FANG stocks Netflix (NFLX) and Facebook (FB) surged to all-time highs in morning trade. Late Wednesday, top stock Micron Technology (MU) will announce its quarterly results. (For updates on this story and other market coverage, visit Stock Market Today.)The Dow Jones industrial average struggled to hold in positive territory, while the S&P 500 rose 0.2%. The tech-heavy Nasdaq advanced 0.6%, as it hit a record high.Among the Dow stocks, Walt Disney (DIS) led the way with an over-1% gain after the company raised its bid for 21st Century Fox's (FOXA) entertainment assets. Shares are moving up the right side of a potential base formation.Boeing (BA) advanced almost 1%, as the airplane maker attempted to recover from Tuesday's near-4% fall. The stock broke down through its 50-day support level and triggered the 7%-8% loss-cutting sell signal from a cup with handle's 365.10 entry.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAmong companies reporting earnings, shipping giant FedEx (FDX) fell over 2% after beating top- and bottom-line estimates late Tuesday. Shares are about 7% away from a consolidation's 74.76 buy point. A potential handle could be developing that could mature as early as the end of this week. A proper handle requires at least one down week. If a handle forms, the risk-optimal entry would lower to 266.77.RV-maker Winnebago (WGO) soared 10% after reporting better-than-expected fiscal Q3 results early Wednesday. The stock is trying to surpass its long-term 200-day moving average line. Shares are advancing up the right side of a deep base.Meanwhile, after the market close, IBD 50 stock Micron Technology will report its quarterly earnings results. The maker of memory chips is expected to earn $3.14 per share on revenue of $7.7 billion. Shares are trading about 8% away from a potential 64.76 cup-with-handle entry. The stock rose 1% in morning trade.Starbucks (SBUX) slid 6% after the company said it would close 150 stores in 2019 and reduced its fiscal-year 2018 earnings guidance. Shares are hitting new multimonth low prices.Among the FANG stocks, Netflix surged almost 2% to a fresh all-time high. The stock is in the 20%-25% profit-taking level from a flat base's 338.92 buy point. Meanwhile, Facebook also hit an all-time high with a near-2% rise. Shares are now extended from a 188.42 cup-with-handle buy point.Among the top growth stocks, Palo Alto Networks (PANW) looked to snap a three-day losing streak with a 2% gain. Last week, the cybersecurity stock rebounded strongly off its 50-day line.On the downside, top retail stock Floor & Decor (FND) fell over 2%, as the stock traces the right side of a cup-shaped base. Be on the lookout for a potential handle.RELATED:Top Payment Processor Breaks Out; These 3 Stocks Form Bullish Flat BasesStock Spotlight Adds Eight To Buy And Watch, Starting With AdobeOpenTable Exemplifies The Power Of The Rare Ascending-Base PatternFANG Stocks News & Quotes: Facebook, Amazon, Netflix, GoogleChina, Trade Loom Over Micron, Winnebago Earnings: Investing Action Plan
"
7,FDX,"Here's you weekly Investing Action Plan: what you need to know as an investor for the coming week. Highly rated tech stocks Micron Technology (MU), Red Hat (RHT) and Smart Global (SGH) will report earnings, along with Oracle (ORCL) and FedEx (FDX), while the energy sector awaits what is expected to be an unusually contentious OPEC meeting. [ibd-display-video id=3401253 width=50…
"
8,FDX,"Boeing (BA) stock took off in early trading after the firm announced a deal to deliver $6.6 billion-worth of freighters to FedEx (FDX).XThe Dow Jones stock will deliver 12 767 and a further 12 777 freighters to the cargo giant's FedEx Express subsidiary.The combined list value for the 24 widebody aircraft is $6.6 billion, however big discounts are often provided on big orders.Boeing shares were up 0.5% at 342.69 on the stock market today. attempting to retake their 348.67 buy point. FedEx fell 2.4% despite reporting strong quarterly results late Tuesday. Boeing rival Airbus (EADSY) eased 1%. Major jet- engine manufacturer GE (GE), which is being booted off the Dow Jones industrial average, dipped 0.5%. United Technologies (UTX), whose Pratt & Whitney division also makes aircraft engines, rose 0.2%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe 767 Freighter is based on the 767-300ER, an extended range passenger jet. It can carry approximately 58 tons of revenue cargo on intercontinental range. It offers a flexible platform for serving long-haul, regional or feeder markets.The 777 Freighter is the world's longest range twin-engine freighter. It can fly 4,900 nautical miles with a payload of 112 tons. With the 777 Freighter, FedEx has been able to connect Asia with its hub in Memphis, Tenn. via nonstop service and reduce transit times by up to three hours. This has enabled FedEx to accept packages later in the day and still deliver them on time.""We are honored that FedEx has again placed its trust on the wings of the Boeing 767 and 777,"" Boeing Commercial Airplanes CEO Kevin McAllister said in a press release. ""This repeat order is a big vote of confidence in Boeing's market-leading freighter family and the long-term outlook for airfreight.""Meanwhile, FedEx Express CEO David L. Cunningham touted the fact his firm is investing a huge sum in ""more efficient, lower emission aircraft"" to keep their fleet at the cutting edge.""The Boeing 767 and 777 Freighters have brought greater efficiency and reliability to our air operations,"" Cunningham said in a press release. ""The 777, with its tremendous range characteristics, has allowed us to provide faster transit times around the globe.""Boeing enjoys a monopoly in midsize and large cargo aircraft with its 767, 777 and 747 jets. Airbus focuses almost entirely on passenger planes.Including the FedEx Express order, Boeing has now sold more than 50 widebody freighters in 2018.Demand is surging in the air cargo industry. Global demand grew by nearly 10% in 2017, while global airfreight is on track to increase by 4% to 5% in 2018, according to Boeing.Air cargo carriers are adding capacity to keep up with demand, either by converting passenger airplanes into freighters or ordering new production cargo jets.YOU MAY ALSO BE INTERESTED IN:Why The Senate Just Blocked This Big F-35 Sale To A NATO AllyFedEx Earnings, Revenue Top Again With Stock Forging New Buy Point Does FedEx Have A 'Secret Deal' With The Firearms Industry?Stocks Trim Losses As Trade-War Salvos Rattle Global Markets, Dow SputtersHow To Invest In The Stock Market: Start With A Simple Routine
"
9,FDX,"The Dow Jones industrial average sold off early Tuesday — after President Trump threatened to escalate the U.S. trade war with China — dropping nearly 400 points. Blue chip stocks Boeing (BA) and Caterpillar (CAT) were testing key support levels amid the general market sell-off. (For updates on this story and other market coverage, visit Stock Market Today.)XThe Dow Jones industrial average fell almost 400 points, or 1.5%, while the S&P 500 declined 1%. The tech-heavy Nasdaq moved down 1.2%.Among the Dow stocks, Boeing was testing its 50-day support level, as the stock declined almost 4%. Shares are about 6% below a 365.10 cup-with-handle entry. Meanwhile, Caterpillar skidded over 3%. The stock is at its 200-day line for the first time since early May when the stock found support there.Apple (AAPL) fell back into buy range from a 179.04 double-bottom entry, as the iPhone maker dropped nearly 2% in early trade Tuesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAmong companies reporting earnings, shipping giant FedEx (FDX) will report after the market close. Analysts expect the company to earn $5.71 per share on revenue of $17.19 billion. Shares are shaping the right side of a flat base with a 274.76 buy point. Shares fell 2.6%.IBD Leaderboard name Dropbox (DBX) looked to snap a six-day win streak Tuesday with a 5% fall. Shares remain well extended from the 34.93 initial base's buy point after a strong breakout on Thursday. Shares followed through on Friday and again on Monday with respective gains of 9.6% and 6%.Monday's IBD Stock Of The Day, FleetCor Technologies (FLT), fell just 0.3% Tuesday. Shares broke out in heavy volume Monday above a 213.84 entry after its inclusion in the S&P 500 index. The payment processor is still in the 5% buy range that tops out at 224.53.Among the top growth stocks, Chinese stocks bore the brunt of the damage Tuesday. ZTO Express (ZTO) faltered about 6% but remains extended from an 18.18 buy point. Meanwhile, Alibaba (BABA) lost over 3% as the stock fell back to its 201.60 double-bottom entry.On the upside, Netflix (NFLX) reversed from early losses to rise over 1% amid a pair of price-target hikes. Shares are just off their all-time highs.RELATED:Top Payment Processor Breaks Out; These 3 Stocks Form Bullish Flat BasesTop Stock Chart Analysis: Apple, Tesla, Google, Boeing Are Near Buy PointsOpenTable Exemplifies The Power Of The Rare Ascending-Base PatternIBD Stock Of The DayBreakout Watch: 97 Top-Rated Funds Own This No. 1-Ranked Stock
"
