,ticker,content
0,FL,"Hindsight may be 20/20, but with some studying, your stockpicking foresight can get pretty good, too.Foreseeing the move by a stock with terrific fundamentals, a No. 1 ranking in its industry, and loads of fund sponsorship, before it happens is crucial. If such a stock breaks out with force, then you're more likely to grab shares at the proper buy point.Think of the ""buy point"" as the ground floor of a potential elevator-like advance to new highs. It's not enough to just buy the right stock. You have to buy the right stock in the right way at the right time.Those who read Investor's Corner regularly have a strong command of one of the most important patterns in growth investing: the cup with handle. The pattern allows you to be consistent in your buying. You're essentially entering a stock only when it's reached the point in which it can rise fast in a relatively short time frame.Human nature hasn't changed. Greed and fear still drive the market. So the cup with handle and other useful patterns of investor behavior will continue to pop up among IBD's wide span of features and screens designed to help you find and buy great stocks at the right time.Make a habit of going through the stocks presented in IBD 50, Big Cap 20, Stock Spotlight, Sector Leaders, IPO Leaders and Stocks Near A Buy Zone. Most of these can be accessed via Stock Lists on the home page at Investors.com. (See the Income Investor columns by clicking on ""Research"" on the main navigation bar on the home page.)Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAre you completely new to chart analysis, or want to bring your skills up a notch? Check out the real-time annotations done in Leaderboard, which debuted in July 2011.A buy point is a price level at which a stock is most likely to begin a significant advance. It also points to an area of the chart that offers the least amount of resistance to price progress.Where that point is depends on the type of base the stock has formed, whether a cup with handle, a cup without handle, a flat base or double bottom.This is the critical moment. Identifying the correct buy point can make all the difference between a successful investment and a losing trade. And before you buy, always check that the Market Pulse table, updated every day in The Big Picture column, shows the current outlook as ""Market in confirmed uptrend.""Let's look first at one of the easiest buy points to spot: one from a cup without handle.In this type of base, the stock declines as much as 30% to 33% from a recent 52-week or all-time high, then starts to recover in a process that takes at least six weeks to complete. Once the ascent begins, there are no significant pullbacks, or anything that might be considered a handle.The buy point on this pattern is easy: 10 cents above the peak in the left side of the pattern.The flat base isn't much different. When the stock recovers and is 10 cents above the base's prior highest point, that's when you jump in.As the stock approaches new highs — building the right side of the cup pattern — the stock suddenly pulls back moderately in price. This pullback is up to 15% in depth but can be much less. According to IBD research, most handles in the most successful stocks show a drop of no more than 8% to 12% from the handle's highest price.Also, a good handle will form within the upper half of the base. How can you tell? Sometimes you can see it visually. Maybe the handle began forming when the stock was just a few points below the cup's left-side high.When it's difficult to tell, what should you do?Use the midpoint test. Add the highest price and lowest price within the cup, then divide by 2. Do the same with the handle.If the handle's midpoint is higher than the base's midpoint, a breakout has a better chance of succeeding. The stock has already shown strong demand by climbing off its lows, plowing past prior price levels in which some shareholders had bought and immediately harbored paper losses. As a stock rebounds, these folks eagerly sell and get rid of the stock.Use the highest level in the handle area and add 10 cents to derive the buy point.Take Seacoast Banking (SBCF) as an example from 2016. After the Donald Trump presidential election win on Nov. 8, bank stocks took off. Florida-based Seacoast joined the bandwagon with a gusher of a move from Nov. 9 to 14, rising as much as 9% during that time frame and clearing an 18.05 handle buy point on a nine-week cup pattern.The midpoint of the cup was 16.83 (15.85 + 17.80 divided by 2). The handle's midpoint of 17.38 (16.82 + 17.95 divided by 2) was higher, so it passed. As seen in Seacoast's case, sometimes, the handle may begin forming slightly above the cup's left-side high.The double-bottom base is a bit different. The stock forms a cup pattern, but makes another correction before it reaches new highs. The second bottom usually is lower than the first.The pattern has a W-shape. The buy point is the middle intraday peak of the W-shape plus 10 cents. Keep in mind that a handle may also form, presenting an alternative entry.No matter what type of base it is, the stock should pass its buy point in heavy volume. That gives you the confidence big investors are buying as well.How much volume should you expect? Trading should swell at least 40% above the stock's 50-day average volume.If you're watching a stock during the trading session and aren't sure if volume is so strong, check the stock quotes at Investors.com. The volume percentage change is continually calculated.Nursing care facility operator VistaCare went public in December 2002 and by April 2003, it had formed a cup base with a high handle (1). The highest price in the handle was 19.Within the handle, the stock fell 11.6%, in range with the typical handle on a cup base during a bull market. Meanwhile, stocks were taking off and leading growth names were bursting out of bases after the market followed through on March 17, 2003, Day 4 of a new rally attempt. On that day, the Nasdaq soared 3.9% in higher turnover; the S&P 500 gushed 3.5% higher.VistaCare broke out on April 28, 2003, in heavy volume, then held above the 19.10 buy point two weeks later during a pullback that became a bullish reversal (2).On the breakout day, VistaCare showed decent ratings  on IBD Stock Checkup despite being such a young new public company: a 72 Composite, 80 EPS, 78 RS and A- for Accumulation/Distribution.Investors who bought at the correct buy point stood to more than double their money by year's end.(A version of this column was originally published in the April 16, 2010, edition of IBD. VistaCare was acquired by Odyssey HealthCare in March 2008. Also, please follow Saito-Chung on Twitter at @IBD_DChung for additional commentary on breakouts, top growth companies, and financial markets.)RELATED:Inside IBD 50: What To Do When Your Stock Has A Frightening Accumulation/Distribution GradeHow To Trade Smart: Invest Time In The Cup-With-Handle PatternHow To Read Charts Like A Pro, Part I: Focus On Daily Chart? Weekly? No, BothHow To Read Charts Like A Pro, Part II: Check The Time A Stock Spends Below The 10-Week Moving Average
"
1,FL,"Florida's GDP growth paints a brighter picture than the U.S. national average. In Q4, the U.S. growth rate was 2.9%, but Florida outperformed with 3.7% growth.Only two states topped Florida's growth rate in Q4 — Texas at 5.2% and Idaho at 4.8%.How can an investor profit from Florida's strength?Seacoast Banking (SBCF) is one way to play the Florida economy. Seacoast's annual earnings grew 57% in 2015, then 41% and 23%. The Street expects earnings growth of 37% this year.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseCEO Dennis Hudson said at the Q1 earnings call in late April that, ""We benefit enormously by the strength and increasing diversity of Florida's economy.""As of March, organic loan growth rose 9% in the past 12 months.Hudson noted that Seacoast Banking's main goal is organic growth. ""If we can't produce organic growth, we shouldn't be in the business,"" he said at the call.The small-cap company sees acquisitions, which it occasionally makes, as supplementary. Acquisitions have to be ""the right kind of M&A, that really fits with our strategy.""""On the M&A front, there's still lots of opportunities in Florida,"" Hudson said. ""We have a number of conversations underway and we'll just have to see how those go.""In Q1, earnings grew 54%. Analysts expect 48% growth in Q2. After-tax margin was 28.5% in Q1, the best in at least 18 quarters.The company's 10-Q filed with the SEC noted that net interest income rose 30% in the first quarter. ""Loan growth, balance sheet mix and increases in benchmark interest rates have been the primary forces"" boosting net interest income, the company said.According to Hudson, Seacoast's success comes from ""focusing exactly on the businesses we're best at, which is business banking."" The company serves the small-business banking space.Seacoast Banking recently joined the Sector Leaders screen, which has IBD's most stringent requirements. How does Seacoast rate vs. its bank peers? Check it out in Stock Checkup at Investors.com.The stock is too extended to buy now, but could retreat to test its 10-week moving average for a possible entry.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Sector Rotation: Who Will Be The Winners?The IBD Screen That Led The First Half Of 2018When To Sell: Is Your Stock Living Under The 10-Week Line?The Stock Indicator That Can Act Like A Canary In The Coal Mine 
"
2,FL,"DSW reported better-than-expected first-quarter earnings on Wednesday, but the shoe retailer's stock fell sharply early.XEstimates: Wall Street expected earnings per share to rise 12.5% to 36 cents, as revenue declined 1% to $684 million, according to Zacks Investment Research. Consensus is for same-store sales to grow 2%, according to Consensus Metrix.Results: DSW earned 39 cents as sales grew nearly 3% to $712.1 million. Same-store sales climbed 2.2%.Outlook: DSW still expects full-year EPS of $1.52-$1.67. Analysts have forecast $1.62.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseStock: Shares fell 5.6% to 24.61 in the stock market today after sinking as low as 22.96 intraday. DSW had been trading at a two-year-plus high.DSW operates 517 stores across 45 states. It sells footwear from Nike (NKE), Adidas (ADDYY), Skechers (SKX) and others.Like other retailers, DSW is trying to make shoe shopping more flexible by offering customers more ways to shop online or have items shipped to them. Strong holiday sales, and sales in women's footwear, helped the company in the fourth quarter.The company is also still rolling out its DSW Kids sections across its locations — an effort to meet demand from children and their parents. DSW in March said it expects that rollout to be complete this year.Footwear chain Foot Locker (FL) closed flat. Shares of Foot Locker surged last week following the company's earnings. The stock is still within range of a 53.27 buy point of a consolidation pattern.Deckers (DECK), the parent of Ugg boots, popped 2.4%. Deckers also jumped following the company's estimate-topping results.YOU MIGHT BE INTERESTED IN:Michael Kors Earnings Top, But Stock Goes On ClearanceNike Scores On China's Basketball Boom, But Competition Rises At HomeSteve Madden Beats On Earnings; Skechers Plunges On Weak OutlookNew Option Strategy Limits Risk Around Earnings
"
3,FL,"The Dow Jones industrials and S&P 500 dipped 0.1% ahead of Friday's open. The Nasdaq Composite defended a narrow gain. Retail stocks were busy and crude oil prices were taking a sharp dive. Foot Locker (FL) and BioMarin (BMRN) led Friday's early advancers. Autodesk (ADSK) and Hibbett Sports (HIBB) fell hard after reporting quarterly results.Retailers bookended the S&P 500, with Foot Locker at the top and Gap (GPS) posting the largest decline. BioMarin topped the Nasdaq 100. Autodesk and Ross Stores (ROST) posted the index's worst early declines.The Dow received a boost from Nike (NKE), which rose 0.9% following Foot Locker's first-quarter report. Chevron (CVX) and Exxon-Mobil (XOM) brought up the rear among Dow industrials, down more than 2% each on a possible change in Saudi/Russia oil production quotas.All three of the leading indexes traded higher for the week through Thursday. The Dow Jones industrials were up 0.4% through Thursday. The S&P 500 gained 0.6%, while the Nasdaq Composite hauled in a 1% gain — leaving it less than 3% below its mid-March high.Durable goods orders dropped more than expected, falling 1.7% in April, the Commerce Department reported. The measure's first decline since January was larger than the 1.2% slip projected by economists. Minus transportation, orders rose 0.9% — a big jump from March's flat performance, easily outpacing analyst views for a 0.6% increase.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseCrude oil prices shed nearly 3%, sending West Texas Intermediate below $69 per barrel for the first time since May 8. Oil ministers from Russia, United Arab Emirates and Saudi Arabia met in St. Petersburg, reportedly to discuss unwinding the 17-month pact that has limited global oil output, and helped ease the impact of what had been a global oil glut. Saudi Energy Minister Khalid al-Falih said caps would be removed gradually, in order to avoid a supply shock.Oil prices could see additional impact when Baker Hughes (BHGE) releases its weekly rig count census at 1 p.m. ET.Federal Reserve Chairman Jerome Powell is scheduled to speak at a banking conference in Sweden at 9:20 a.m. ET. Federal Reserve Bank presidents Robert Kaplan, Raphael Bostic and Charles Evans plan to participate in a panel discussion on banking technology, in Dallas, at 11:45 a.m. ET.Foot Locker spiked 13% following a solid first-quarter report. The heavy-volume gain lifted the stock briefly above a 53.27 buy point in a four-month cup base. Shares then eased to just below the entry price.Deckers Outdoor (DECK) jumped 3.4% at the open, after reporting healthy fiscal fourth-quarter results, but mixed first-quarter guidance. The gain left shares extended, beyond the top of a buy range, above a 99.02 buy point.On the downside, retailer Hibbett Sports sloughed off 11.9% after missing Q1 earnings targets.  Gap crumbled more than 10% after reporting an earnings miss late Thursday.Autodesk was down 3.2% and paring losses lower after its second-quarter earnings guidance disappointed analysts. The maker of computer-aided-design software reported adjusted earnings above analyst targets, with revenue in line. Autodesk shares had climbed for the past three weeks, building the right side of a two-month flat base.Across global markets, in Japan, Tokyo's Nikkei 225 inched up less than 0.1% Friday. That left the index down 2%, snapping an eight-week advance. China's markets posted moderate losses, with Hong Kong's Hang Seng Index ending the week down 1.4%Markets in Europe turned mixed in afternoon trade. Frankfurt's DAX led, up 0.4%, while the FTSE 100 in London and CAC-40 in Paris posted narrow declines.  All three indexes were tracking toward losses for the week of less than 1%.YOU MIGHT BE INTERESTED IN:The Big Picture: Stocks Hold Places, But This Sector Outperforms AgainAmong Top FANG Stocks, Here's Why Netflix Has Reached A New Buy PointForget Trump: This Is Why A Cold China Trade War Looms9 Ways To Profit From Trump Canceling Of North Korean Summit
"
4,FL,"Dick's Sporting Goods (DKS) turned in a beat-and-raise quarter Wednesday morning, sending shares spiking while also boosting Under Armour (UAA) and Nike (NKE).Profit in the first quarter grew 9% to 59 cents a share while revenue rose 5% to $1.91 billion, well above analyst views for EPS of 42 cents on sales of $1.88 billion. E-commerce sales rose 24%.Consolidated same-store sales fell 2.5%; not adjusted for a calendar shift, comps dipped 0.9%. Consensus Metric analysts had expected a 1.4% decline in same-store sales.The athletic apparel and goods retailer also raised its full-year EPS guidance to $2.92-$3.12, up from prior outlook for $2.80-$3. The midpoint of current guidance is higher than consensus for $2.93 a share in 2018.Shares rocketed 26% to 38.35 on the stock market today, trading back at July 2017 levels and retaking support at the 50-day moving average in heavy volume. The stock had been hitting some resistance at the key level since mid-April, dipping below the longer-term 200-day at points.Under Armour and Nike, two brands carried by Dick's Sporting Goods stores, rallied 3.5% and 1.85%, respectively.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe earnings lift is being felt throughout the athletic brand space. Smaller sporting goods retailer Hibbett (HIBB) rose 4.4%, retaking its 50-day after an earnings miss last week.Foot Locker (FL) was flat at 54.56 as it continues to trade in buy range after breaking out of an area of consolidation on Friday on the back of surprise quarterly profit growth. The stock cleared a 53.27 buy point to get there.YOU MIGHT BE INTERESTED IN: Boot-ilicious Results: Ugg Parent Decker Outdoors Jumps After Stomping On ViewsNike Scores On China's Basketball Boom, But Competition Rises At HomeNew Option Strategy Limits Risk Around EarningsIndexes Gain Early As Salesforce.com, Movado, Dick's Rise On Earnings
"
5,FL,"Sneaker chain Foot Locker (FL) and sporting goods retailer Hibbett Sports (HIBB) reported first-quarter earnings before the open Friday. Foot Locker topped views while Hibbett Sports fell short on earnings and revenue.XEstimates: EPS for Foot Locker to drop 8% to $1.25, marking its fifth consecutive decline, as revenue dips 1.3% to $1.97 billion, according to Zacks Investment Research. Same-store sales are expected to drop 3.6%, Consensus Metrix estimates.Results: Foot Locker reported a surprise earnings rise to $1.45 a share vs. $1.36 a year earlier. Revenue rose 1.5% to $2.03 billion. Same-store sales dipped 2.8%.Stock: Foot Locker shares leapt 20.3% to 55.81 on the stock market today, blasting through a 53.27 consolidation buy point. Nike (NKE), which makes up more than 60% of Foot Locker's merchandise, climbed 0.1%. Adidas (ADDYY) fell 1.1%. Under Armour (UAA) rose 1.3%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFoot Locker had already sounded cautious on Q1 results, saying they would continue weakness seen in Q4.Wedbush Securities analyst Christopher Svezia was upbeat ahead of the report, pointing to easier comparisons in the second half of the year, a moderating promotional environment, stabilizing Jordan distribution during the important back-to-school sales period, stronger product from Nike and gathering momentum in other brands.""Strong full-price sales should generate positive merchandise margin in (the second half of the year) and more than offset higher store labor, supply chain costs, and e-commerce investments,"" Svezia said.""We like the story going into 2018 as FL works diligently on savings, takes a balanced corresponding incremental sales for investment approach, enhances point of sale and its supply chain, works on elevating the consumer experience with partners, and benefits from increased allocations and a better product pipeline.""Estimates: Wall Street sees EPS jumping 16% to $1.13 as revenue stays virtually static at $277 million. Same-store sales are seen rising by 1.2%Results: Hibbett earned $1.12 a share with revenue down a fraction to $274.7 million. Same-store sales dipped 0.3%.Outlook: The sporting goods retailer still sees full-year EPS of $1.65 to $1.95.Stock: Hibbett stock fell 15.6%.Hibbett Sports operates more than 1,000 stores, which are mainly located in small and midsize communities across the U.S. Its primary shop format a roughly 5,000 square foot store which draws inspiration from Walmart (WMT). They tend to be located in strip centers.YOU MAY ALSO BE INTERESTED IN:Boot-ilicious Results: Ugg Parent Decker Outdoors Jumps After Stomping On Views Nike Scores On China's Basketball Boom, But Competition Rises At Home New Option Strategy Limits Risk Around EarningsHow To Make Money In Stocks Using The CAN SLIM Investing System
"
6,FL,"Here's your Investing Action Plan for Friday: what you need to know as an investor for the coming day. Athletic gear chain Foot Locker (FL) reports earnings before the market opens, capping a heavy week of retail reports. The company's results will also have implications for shares of Nike (NKE), Under Armour (UAA) and Adidas (ADDYY). Foot Locker, Nike [ibd-display-video…
"
7,FL,"The stock market traded mixed on Friday, ahead of the three-day Memorial Day weekend. Early in the day, President Trump said his administration had restarted talks with North Korea — just one day after canceling a historic summit. Top computer software stocks Veeva Systems (VEEV) and Splunk (SPLK) were on the move after their respective earnings releases. Meanwhile, PayPal (PYPL) was trading near a potential buy point. (For updates on this story and other market coverage, visit stock news today)XThe S&P 500 and the Dow Jones industrial average declined about 0.1% each, while the tech-heavy Nasdaq moved up 0.2%.Among companies reporting earnings, Foot Locker (FL) jumped 13% after its Q1 earnings report early Friday. Shares were just below a potential 53.27 buy point.Veeva Systems reversed higher to add 0.6% after easily beating the Street's Q1 estimates. The medical software provider is above a 75.67 double-bottom entry and in buy range.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSplunk moved up 0.5% after its Q1 earnings release late Thursday. The software maker reported better-than-expected earnings and sales, while forecasting a strong Q2 outlook. Shares are clinging to a recent 112.76 buy point.Deckers Outdoor (DECK) rose 5% after blowing past its fiscal-Q4 earnings targets. Shares are extended from a 99.02 buy point, according to MarketSmith chart analysis.PayPal (PYPL) reversed lower, falling 0.7% despite Stifel Nicolaus upgrading the stock from hold to buy with a 99 price target. The analyst believes that PayPal is in the early stages of transforming into a global payments platform. The stock is approaching a double bottom's 84.09 buy point, while the stock's relative strength line has drastically improved since the beginning of the month. The RS line measures a stock's performance vs. the general market.Energy stocks were big losers in morning trade Friday, as oil prices dropped nearly 3%. Top OPEC and non-OPEC producers are reportedly discussing options to raise crude production this year. Leaderboard member Marathon Oil (MRO) fell more than 4%, but remains extended from a 18.76 cup-with-handle entry.Top oil stock Continental Resources (CLR) slid over 4% and is approaching the 50-day line. Shares remain extended from a 58.99 cup-shaped base entry.Among the top growth stocks, FANG stock Netflix (NFLX) advanced over 1%. Shares are trading toward the top end of the 5% buy range from a 338.92 flat-base buy point.RELATED:Watch Foot Locker's Earnings But Nike's Stock: Investing Action PlanAlibaba Added To Sector Leaders; Who Joined The Other Stock Lists?Trump Cancels Kim Jong Un Summit, Citing North Korea's 'Tremendous Anger'Salesforce Rival With 400% Growth Is Cutting Investors Some 'Slack'Resurgent Internet Stock Breaks Out; 2 Other Leaders Near Buy Points
"
8,FL,"If you're looking for stocks that are setting up in a base ahead of their next earnings report, here's one that fits the bill: Seacoast Banking (SBCF). It's expected to report on Apr. 26 and is currently about 2% under a 28.54 entry. The base is a first-stage flat base.X Buying a stock just ahead of earnings can be risky since you typically don't have enough time to build a profit cushion before the latest quarterly numbers come out. Be sure to follow sound buy and sell rules to minimize your exposure.Looking For The Best Stocks To Buy And Watch? Start HereEarnings growth slowed in the most recent quarter from 21% to 19%. But revenue moved higher, from 24% to 61%. Analysts expect EPS growth of 50% for the quarter, and 38% growth for the full year. Annual growth estimates were recently revised lower.Seacoast Banking has a 94 Composite Rating and earns the No. 5 rank among its peers in the Banks-Southeast industry group. Southern First Bancshares (SFST) is the No. 1-ranked stock within the group.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
9,FL,"Given that Amazon (AMZN) has 19 private-label apparel brands, many of them still in their embryonic stages, it might come as no surprise that the e-commerce dragon is eyeing sportswear as its next private label.XThe company is connecting with ""some of the biggest athletic-apparel suppliers"" as it looks to enter the privately branded sportswear industry, reported Bloomberg on Friday, citing people familiar with the matter.Amazon's bevy of in-house brands is large — 34, to be specific, according to Morgan Stanley — and its clothing collections include dressier women's lines such as Society New York, Lark & Ro and James & Erin, intimates lines Arabella and Mae, men's lines Franklin Tailored and Goodthreads, and Scout & Ro kids clothing.But it does not appear to have a dedicated sportswear line — something that could be taken advantage of as ""athleisure"" continues to be a trendy sartorial choice.Athletic apparel companies generally reacted poorly.Lululemon (LULU) fell 2.2% on the stock market today. So did Under Armour (UAA). Nike (NKE), the No. 1 athletic apparel brand in the world, edged up 0.3%.Apparel retail chains Foot Locker (FL) added 0.7%, but Dick's Sporting Goods (DKS) slipped 0.54.Morgan Stanley analysts projected Tuesday that Amazon's private-label brands could add $1 billion to its gross profit in 2019.Amazon shares rose 0.2% to 1,002.94.RELATED:Wal-Mart's Jet.com Debuts Private Label Uniquely J For 'Metro Millennial Lifestyle'Target's New Exclusive Brand? We Spotted It A Month AgoEXCLUSIVE: Will These Trademarks Be Target's New Private-Label Brands?
"
