,ticker,content
0,FOXA,"Investors may be overlooking a big factor in who wins the takeover battle for 21st Century Fox (FOXA) — whether the Murdoch family wants to be the biggest shareholders in the new company, or would they rather cash out?The question is the proverbial elephant-in-the-room as a bidding war rages between Comcast (CMCSA) and Walt Disney (DIS) for a chunk of Rupert Murdoch's Fox media empire. Fox on Wednesday accepted Disney's sweetened, $71 billion cash-and-stock bid, at $38-a-share. That countered Comcast's $65 billion all-cash bid. Experts expect Comcast to fire back soon.Murdoch, along with sons Lachlan and James — all three of them Fox board members — are legally bound recommend the best offer to shareholders. Whether Comcast or Disney prevails in the showdown over Fox likely boils down to the highest offer, tax issues and regulatory approval.But a lurking concern is whether Murdoch and family want to stay in the pantheon of the media and entertainment industry. Murdoch owns 17% of Fox's outstanding shares. The family stands to be the biggest shareholders in a combined Disney-Fox. It's possible a Murdoch one day could run Disney.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe Murdochs, however, become smaller media industry players if Fox ultimately accepts Comcast's all-cash bid.Comcast and Disney are fighting over Fox's film and TV studios, cable networks, international TV business and a 39% stake in satellite broadcaster Sky. Not everything in Fox goes, however. Fox retains its news channel, TV stations, sports networks and other assets and spin it into a new company, with Lachlan Murdoch as CEO.It's not clear if the Murdochs will get a Disney board seat if the Mouse prevails vs. Comcast, says Blair Levin, analyst at New Street Research. The reason: Disney owns a TV broadcaster, ABC, and the Murdochs still would have Fox.Craig Moffett, a longtime industry analyst, on Thursday published a report saying Disney holds an edge over Comcast. He says Disney's mostly stock offer provides tax advantages. He notes that Fox shareholders have a choice of taking cash or stock. And, Moffett says Disney may have a better chance of getting regulatory approval, despite AT&T's (T) recent court victory in the Time Warner acquisition.Asked about Murdoch winding up as the biggest shareholder in Disney as a factor, Moffett replied in an email: ""Yes, that too.""Disney CEO Bob Iger said Wednesday the company has legally committed to not split Fox assets with Comcast. That raises the stakes for the Roberts family.Ralph Roberts co-founded Comcast in the 1960s. A dual-class stock structure gives the Roberts family control of about a third of the company's voting power.Comcast stock dropped 1.8% to close at 32.79 on the stock market today as Fox rose 0.5% to 48.34. Disney fell 1.2% to 105.89.RELATED LINKS:Sell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksThe Basics: How To Analyze A Stock's Cup With HandleHow To Find Great Growth Stocks: Learn To Spot The Flat Base, A Bullish Chart Pattern
"
1,FOXA,"The Dow Jones industrial average sold off, with the S&P 500 index and Nasdaq composite falling modestly. GE (GE) stock will be kicked out of the Dow Jones, while Dow Jones chip giant Intel's (INTC) CEO Brian Krzanich resigned over a past relationship with a fellow employee. Walt Disney (DIS), yet another Dow Jones component, raised its bid for 21st Century Fox (FOXA) entertainment assets after Comcast (CMCSA) made its own offer. Red Hat (RHT) and Oracle (ORCL) plunged on weak guidance. Micron Technology (MU) showed strong earnings and raised guidance.The Dow Jones industrial average fell for eight straight sessions through Thursday, falling below its 50-day moving average, as Trump trade war fears grew. The Dow rebounded on Friday, but still fell 2% for the week. The S&P 500 index lost 0.9%. The Nasdaq hit a new high Thursday, but reversed to trade down 0.7% for the week. Crude oil prices rebounded sharply as OPEC agreed on a modest output increase.Walgreens Boots Alliance (WBA) will replace General Electric in the Dow Jones industrial average on June 26. GE stock, leaving the Dow Jones after 111 years, has lost half its value over the past year as the industrial conglomerate slashed its profit outlook and halved its dividend. A long-awaited decision about GE's future could come this month, CNBC said Thursday, as GE stock made a new longtime low of 12.61. As GE looks to shrink its portfolio, slash costs and shed $20 billion in assets, it could even split off core divisions, such as power, health and aviation, into separately traded companies.Micron Technology and Smart Global Holdings (SGH) both topped estimates for their fiscal third quarters. But while Micron guided higher for the current quarter, Smart Global gave a mixed outlook with in-line earnings on better-than-expected sales. Micron earnings rose 94% to $3.15 a share as sales grew 40% to $7.8 billion. Smart Global EPS doubled as revenue climbed 62% to $335.5 million. The memory-chip makers are benefiting from strong demand for storage in cloud data centers and other systems.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIntel CEO Brian Krzanich resigned after a probe revealed that he had an improper relationship with an Intel employee, violating the company's non-fraternization policy. The board named CFO Robert Swan as interim CEO. Intel also said that it expects Q2 sales and adjusted earnings per share to exceed its prior guidance.OPEC agreed on a modest output increase, as Saudi Arabia reached a deal with Iran, which had opposed any rise. The cartel will increase the official production target by 1 million barrels per day. The actual boost will likely be around 600,000 bpd as some members like Venezuela are unable to ramp up. Oil prices and stocks, which had trended lower ahead of the meeting, rebounded Friday. Crude futures rose more than 5% for the week to $68.58 a barrel, with the most of the gains coming Friday. OPEC and Russia agreed in late 2016 to cut production by 1.8 million bpd.Alphabet's (GOOGL) Google unit will take a 1% stake in JD.com (JD), China's No. 2 e-commerce company behind Alibaba (BABA). JD.com will sell some of its products via Google Shopping across multiple regions. Google and JD.com will explore joint ""retail infrastructure"" in Southeast Asia, the U.S. and Europe.Red Hat tanked after it forecast EPS of 81 cents on revenue of $826 million for the August second quarter. Analysts had expected EPS of 81 cents and sales of $855 million. Red Hat cut its full-year revenue outlook, citing exchange rates. Red Hat topped Q1 revenue and profit estimates. Its Linux operating software runs servers in data centers operated by many large U.S. companies,Oracle's fiscal Q4 earnings and sales topped views, but guided low on Q1 revenue, raising concerns about its cloud-computing business. Oracle will combine cloud offerings into one line item in future reports. The stock tumbled to a 15-month low.Challenging a late 2017 Disney deal for 21st Century Fox's entertainment and studio assets, Comcast made a $65 billion all-cash bid. But Disney followed with a $38-a-share offer of $71 billion in cash and stock, up from an all-stock bid of $28 a share. Comcast is expected to counter again. Separately, Comcast and Fox are in the midst of a bidding war for European broadcaster Sky. Fox stock soared.Shares of Darden Restaurants (DRI) shot up 15% on Thursday, blowing by a 100.21 buy point. EPS rose 18% to $1.39 a share while revenue increased 10% to $2.13 billion. Same-store sales rose 2.2%, with positive comps at Olive Garden and other Darden chains except for Cheddar's Scratch Kitchen. Darden gave bullish earnings and sales guidance.Tesla (TSLA) filed a lawsuit vs. a former employee saying he hacked confidential and trade secret information, transferring several gigabytes of data to outside entities. Martin Tripp , who worked at the Nevada Gigafactory as a process technician, claims he is a whistleblower. The discovery of what CEO Elon Musk described as a saboteur comes as Tesla is trying hard to meet the oft-delayed production goal of 5,000 Model 3s a week in the third quarter. Tesla stock hit a nine-month high Monday but reversed to lose 6.85% for the week. That includes a 4% drop Friday as Bernstein said auto gross margins might be inflated.JPMorgan Chase (JPM), Bank of America (BAC) and Citigroup (C) were among the 35 banks passing the Federal Reserve's Dodd-Frank stress test. The test measured whether banks' capital holdings would be sufficient in a severe economic downturn. The banks now must pass the Comprehensive Capital Analysis and Review test this coming week to see if they can raise dividends and buybacks.The shipping giant scored a double beat on earnings and revenue for a third straight quarter. But FedEx (FDX) stock sold off. Meanwhile, FedEx agreed to buy 24 Boeing (BA) freighters with a list price of $6.6 billion.Housing starts jumped a better-than-expected 5% in May to a 1.35 million annual rate. That should provide a GDP boost near term. But existing-home sales unexpectedly slipped 0.4% in May, and 3% from a year ago amid tight supply and higher mortgage rates. Rising mortgage rates have hit affordability and seem to have slowed the increase in home prices. The FHFA house price index edged up just 0.1% in April and 6.4% from a year ago, slowing from 7.4% earlier this year. A Housing Market Index dipped in June, but still shows builders are upbeat.PayPal Holdings (PYPL) agreed to buy Hyperwallet Systems for $400 million, expanding its global payments platform. PayPal late Thursday agreed to acquire Simility, a fraud-prevention technology company, for $120 million in cash. In May, PayPal reached a deal to buy iZettle, a European mobile digital-payments processor, for $2.2 billion.Sarepta Therapeutics (SRPT) rocketed nearly 37% on Tuesday after it presented strong data for a study of its gene therapy in Duchenne muscular dystrophy patients.Starbucks (SBUX) projects 1% in global same-store sales growth for the current quarter, far below current estimates. It will close around 150 underperforming U.S. stores in fiscal 2019. Shares tumbled to their worst level in nearly three years.Winnebago Industries (WGO) stock gapped up after the iconic RV maker reported higher Q3 EPS, defying views for its first profit decline in 10 quarters. Towables sales shot up 33%, while motorized RV sales edged up 3%.Marijuana stocks Canopy Growth (CGC), Cronos Group (CRON) and marijuana-focused ETFMG Alternative Harvest (MJ) all got a boost as Canada's parliament OK'd fully legalizing cannabis, starting Oct. 17.Grocery giant Kroger (KR) served up 26% earnings growth to 73 cents a share on 3% revenue gains to $37.53 billion. That topped the consensus for 62 cents EPS and $36.97 billion. E-commerce sales spiked 66% as Kroger competes with Walmart (WMT), Amazon.com (AMZN) and others for online customers.YOU MIGHT ALSO LIKE:Don't Panic: Here's Why Trump's China Trade War Won't HappenTwo Hot IPOs Flash Sell Signals; China Plays Keep TumblingHow To Invest In The Stock Market: Start With A Simple Routine 
"
2,FOXA,"Shares in Comcast (CMCSA) fell Tuesday as investors mulled fresh reports that the cable TV firm will pile on debt to finance an all-cash bid for 21st Century Fox (FOXA), aiming to break up its deal with Walt Disney (DIS).Comcast fell 5.6% to close at 30.59 on the stock market today. The cable and broadband giant is in talks with banks to obtain some $60 billion in bridge financing needed to bid for Rupert Murdoch's Fox, said reports. Comcast has already bid $31 billion for satellite TV broadcaster Sky, in which Fox holds a 39% stake.""The acquisitions of both Fox and Sky for nearly $100 billion in all-cash would dramatically change Comcast's leverage profile,"" said Scott Goldman, a Jefferies analyst in a report.Disney, which reports quarterly earnings late Tuesday, fell 0.7% to 101.79. Fox ticked down 3 cents to 37.45.Comcast on its first-quarter earnings call said it would not finance a major acquisition by issuing stock. But it did not address how much debt it was willing to take on to challenge Disney.Fox agreed in November agreed to accept Walt Disney's $52.4 billion stock offer.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseComcast stock has struggled since the company's interest in Sky surfaced in February. With Tuesday's loss, the cable TV firm is down 22% in 2018.Walter Piecyk, analyst at BTIG Research, said in an April 27 blog that Comcast would likely suspend its stock buyback plan but keep dividends in place if it makes an all-cash bid for Fox.""An all-cash transaction at a 25% premium to Disney's bid would mean that Comcast would be assuming $26 billion of debt and raising an additional $82 billion of debt, bringing total net debt to nearly $170 billion pro forma,"" Piecyk wrote. ""That sounds like a nearly impossible level of debt to sustain. However, consider first that AT&T (T) (with) Time Warner (TWX) will have $135 billion of net debt if the deal closes and Verizon Communications (VZ) currently has $117 billion of net debt.""Comcast, which owns NBCUniversal, produces enough free cash flow to temporarily increase leverage, says Piecyk.The company is waiting for a judge to rule next month on the Justice Department's challenge to AT&T's proposed $85 billion acquisition of media conglomerate Time Warner before it submits an offer to Fox.""Any deal would hinge on a favorable ruling in the pending AT&T-Time Warner merger, which would provide a green light for the merger of Comcast's distribution assets with the content-rich Fox entertainment assets,"" added Goldman.Comcast was co-founded by Ralph Roberts in the 1960s. A dual-class stock structure gives the Roberts family control of about a third of the company's voting power.YOU MAY ALSO BE INTERESTED IN:Apple's Powerful Breakout Leads Top Moves By 5 Hot Stocks Now In Buy RangeSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
3,FOXA,"In the wake of Comcast (CMCSA) making a higher, all-cash bid for 21st Century Fox (FOXA), Disney (DIS) is expected to add cash to its offer for the entertainment conglomerate, according to CNBC. Meanwhile, Pivotal Research Group downgraded Disney stock to sell from hold, citing the risk from paying more for Fox.Disney agreed in late 2017 to acquire Fox's entertainment and studio assets for over $52 billion. But Comcast's $65 billion cash bid represents a 19% premium to Disney's bid. Comcast is more confident that its deal would pass antitrust muster after AT&T (T) got a federal judge's OK last week to close its Time Warner acquisition.Disney shares finished 1.6% lower at 107.06 in the stock market today. Disney stock remains above its 50-day and 200-day averages after retaking both lines in recent weeks.Comcast stock sank 3.8%, testing its 50-day and still well below its 200-day line. Fox stock dipped 0.2%.Comcast is in a separate sparring match with Fox over Europe-based broadcaster Sky: Comcast in April offered $31 billion for Sky, in which Fox holds a 39% stake. Fox had in late 2016 bid 10.75 euros a share for the remaining part of Sky that it did not already own.The battle for Fox's assets includes its movie and TV studios, certain TV networks such as FX and National Geographic, Fox's regional sports networks, certain international properties, as well as Fox's current stake in Sky and Hulu.Both Disney and Comcast see the need for more content to compete with Netflix and others. Disney plans to launch a streaming channel in 2019, taking on Netflix (NFLX). Meanwhile, Disney and Comcast would hold a majority share of Hulu via a Fox purchase.Fox said in December that it will spin off its remaining news and sports networks — including Fox News, Fox Business, Fox Sports and Fox Broadcasting Company — into a new ""Fox.""Analysts at Pivotal Research Group downgraded Disney on the Fox negotiations.If the Fox purchase price rises due to the Disney-Comcast bidding war, then ""Disney's value would be negatively impacted as it would reduce the incremental value the company should be able to generate from synergies associated with the acquisition,"" wrote Pivotal's Brian Wieser, in a note acquired by Fast Company.Elsewhere in the media realm, Viacom (VIAB) shares advanced 1%. CBS (CBS) rose 0.4% and Netflix dipped 0.4%.YOU MIGHT BE INTERESTED IN:The 5 Biggest Ways The Disney-Fox Merger Could Affect YouHow Big Is The AT&T-Time Warner Ruling? Even These Stocks Are RallyingSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
4,FOXA,"Disney (DIS) now claims nine out of the 10 highest-grossing theatrical opening weekends in North America, thanks to the massive ""Avengers: Infinity War"" movie debut that sent it straight to the No. 1 spot on the box office charts.With early box office numbers reflecting a $258.2 million opening weekend, ""Infinity War"" surpassed 2015's ""Star Wars: The Force Awakens"" $248 million opening-weekend haul and knocked 2011's ""Harry Potter and the Deathly Hallows, Part 2"" out of the top 10. Warner Bros. released the Harry Potter films.""Jurassic World,"" the Universal Pictures blockbuster from three years ago, is now sitting in the No. 4 spot. Comcast (CMCSA) is Universal's parent company.And Marvel movies now dominate the rankings, accounting for six out of 10 of highest-grossing opening weekends in the U.S. and Canada. The list includes two of Lucasfilm's ""Star Wars"" space operas, and Disney's live-action ""Beauty and Beast.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGlobally, ""Infinity War"" raked in $640.9 million, jetting it to first place in all-time international opening weekends, bumping ""The Fate of the Furious"" ($541.9 million) to second place and ""Force Awakens"" to third ($529 million).Its record-breaking streak should continue in successive weeks, particularly since the film doesn't even hit theaters in China until May 11.""Jurassic World"" may be the sole non-Disney studio title on the top 10 charts for now, but its sequel, ""Jurassic World: Fallen Kingdom"" reaches the big screen this summer on June 22.Disney will have even more superhero juice in its arsenal once its acquisition of 21st Century Fox's (FOXA) entertainment assets is complete. 20th Century Fox, the studio, owns the rights to ""Deadpool,"" ""X-Men,"" and ""The Fantastic Four.""Together, Disney and Fox's movie studios will account for about 40% of the domestic box office.Walt Disney, a Dow Jones component, climbed 1.1% to 100.33 on the stock market today.Domestic Opening Weekend Box Office, according to Box Office MojoYOU MIGHT BE INTERESTED IN: The 5 Biggest Ways The Disney-Fox Merger Could Affect YouDisney-Fox Combination Would Create Formidable Rival For NetflixComcast Rallies After Launching Sky Bid, Did CFO Drop Hint On Fox Bid?Sell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
5,FOXA,"Walt Disney (DIS) won U.S. antitrust approval for its $71 billion purchase of 21st Century Fox's (FOXA) entertainment assets, raising hurdles to a potential rival bid from Comcast (CMCSA).XDisney agreed to sell Fox's regional sports networks to resolve the Justice Department's concerns that the deal would raise prices for pay-TV companies, according to court filings made Wednesday in New York.Disney rose to a session high after Bloomberg reported that the government clearance was imminent. It climbed 1% to $105.41 at 12:11 p.m. in New York. Fox gained as much as 2.5%.The approval is a victory for Disney in its battle with Comcast for one of the media industry's biggest prizes. Fox last week accepted a sweetened bid from Disney, which upped its offer following Comcast's competing $65 billion bid. The $38-a-share price is about $10 a share higher than what Disney offered in December -- and $3 above Comcast's bid.Comcast is now mulling its next steps, including possibly teaming up with private equity investors in its pursuit of Fox assets, a person familiar with the situation said. The Wall Street Journal reported that if the bidding reaches a high enough level -- say, $90 billion -- the company may go to private equity firms or other backers for help. In one scenario cited by the newspaper, a strategic investor could take on Fox's U.S. assets -- including the 20th Century Fox studio and regional sports networks -- and leave Comcast with overseas assets.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe Disney-Comcast contest will determine who controls much of Rupert Murdoch's empire, including Fox's movie and TV studios, television networks such as FX, and multichannel providers like Star India and Sky Plc. At stake is a trove of media properties ranging from ""The Simpsons"" to ""X-Men.""Disney and Comcast are looking to use the Fox assets to bolster their content, expand overseas and fend off the threat from Netflix (NFLX) and other streaming upstarts. That threat prompted AT&T (T) to buy Time Warner, a deal the government challenged and lost at trial.Disney and Comcast have traded jabs over which bid would face an easier path to regulatory approval, an important consideration for Fox stockholders, who must weigh which deal to accept. A July 10 Fox shareholder vote on the Disney deal was postponed to a ""future date"" to allow more time to evaluate Disney's new offer.When Comcast made its bid for Fox, Comcast Chief Executive Officer Brian Roberts said in a letter to Murdoch and his sons that he is ""highly confident"" that Comcast will ""obtain all necessary regulatory approvals in a timely manner and that our transaction is as or more likely to receive regulatory approval than the Disney transaction.""YOU MIGHT BE INTERESTED IN:IBD Stock Of The DayBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksLooking For The Best Stocks To Buy And Watch? Start Here 
"
6,FOXA,"21st Century Fox (FOXA) accepted a sweetened, roughly $71 billion bid from Walt Disney (DIS) for its entertainment assets, dealing a blow to Comcast (CMCSA) efforts to acquire the business.The $38-a-share price is about $10 a share higher than what Disney offered in December — and $3 above Comcast's bid from last week. The new agreement also offers more flexibility and other enhancements than the Comcast offer, Fox said on Wednesday.At stake is a trove of media properties, ranging from ""The Simpsons"" to ""X-Men,"" that may help fend off the threat from Netflix (NFLX) and other streaming upstarts. Both Disney and Comcast are looking to use the Fox assets to bolster their content and expand overseas.Disney's latest offer is a ""very aggressive move"" by Chief Executive Officer Bob Iger and may make it difficult for Comcast to respond, said Bloomberg Intelligence analyst Paul Sweeney. Comcast's current bid was already poised to load the company up with debt, and its shares have fallen 18% this year.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Comcast's balance sheet may preclude it from bidding much higher,"" Sweeney said. ""Further hampering Comcast's ability to respond is its position that it does not want to use its stock in a deal at these low levels.""The AT&T EffectThe tussle follows the AT&T (T) victory over the Justice Department in its antitrust battle to take over Time Warner. That outcome is expected to spur a wave of media consolidation, emboldening companies to get more aggressive with deals.The Disney-Comcast contest will determine who controls much of Rupert Murdoch's empire, including Fox's movie and TV studios, television networks such as FX, and multichannel providers like Star India and Sky Plc.But the two sides aren't vying for all of Fox. Part of the business will be used to create an entity called ""New Fox,"" which will include the highly lucrative Fox News, the sports channels FS1 and FS2, and the Fox broadcasting channel. That operation will be run by Lachlan Murdoch and focus on domestic television, news and sports.Disney's new offer gives Fox shareholders the option to take their payment in the form of cash or stock, up to a 50-50 level. The previous agreement was an all-stock deal, and Comcast's cash offer was seen as a significant enticement.Disney also plans to take on about $13.8 billion of Fox's net debt. That would lift the total transaction value above about $85 billion.Meanwhile, there's a separate — yet intertwined — fight for Sky, the British pay-TV company. Fox has attempted to acquire the portion of Sky that it doesn't already own, but Comcast swooped in with a higher bid.In any case, Comcast isn't likely to go away quietly.Comcast's current $65 billion cash offer for Fox — along with the potential Sky deal — was already expected to push its debt load to $170 billion, according to Moody's Investors Service. That leaves CEO Brian Roberts with some tough decisions.""The ball is now in Brian Roberts's court,"" Sweeney said.Walt Disney stock rose 1% before the open on the stock market today. 21st Century Fox, which will retain the Fox broadcasting channel, Fox News and some assets, leapt 6.5% to 47.60. Comcast advanced 2.2%.YOU MIGHT ALSO LIKE:New Option Strategy Limits Risk Around EarningsStocks Near Buy Zone Ahead Of Earnings
"
7,FOXA,"Whether or not Walt Disney's (DIS) acquisition of 21st Century Fox's (FOXA) entertainment assets goes through, Disney CEO Bob Iger assured investors late Tuesday that the ESPN+ streaming service and the upcoming stand-alone Disney pay-TV platform would not be dependent on the deal.But without Fox, Hulu — jointly owned by Disney, Comcast (CMCSA)'s NBCUniversal, Time Warner (TWX) and Fox (for now, until Disney's acquisition of its entertainment assets is complete) — will be deprived of some content as Disney looks to pump the streaming service with more original programming.Iger nodded to that goal on the call, telling analysts that ""much"" of Hulu's future original programming would come from both Disney and Fox. The merger of assets would bring Fox shows such as ""The Simpsons"" and ""Empire,"" to name a few, not to mention the entirety of FX Networks and National Geographic Channels under Disney's wing.Those remarks follow Hulu's update last week that it now has 20 million subscribers. That's still less than half of what Netflix (NFLX) claims stateside, but a formidable figure as the streaming platform stakes out its own turf in the entertainment arena and tries to build revenue streams in ways that its ad-less rival cannot.Hulu also inked a multiyear deal with DreamWorks Animation, stealing away the kids content creator from Netflix. Netflix said in December that it would release half a dozen original DreamWorks Animation Television series on the service in 2018.But Hulu's announcement last week means that it, too, will soon have DreamWorks content, and exclusive content at that. The platform and studio are teaming up to develop original kids and family series based on current DreamWorks franchises and movies, to be released in 2020. Starting next year, Hulu will be the only place where American viewers can watch DreamWorks movies such as ""How To Train Your Dragon: The Hidden World"" and ""Trolls 2"" online.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIt's not clear what the impact will be on Netflix's DreamWorks series.Hulu has also renewed its critically acclaimed ""The Handmaid's Tale"" for a third season. The dystopian series, which became the first streaming show to win the Emmy for best drama, last week began its second season. Hulu claimed the season-two premiere doubled viewership vs. the first season.While Netflix has shied away from featuring ads, Hulu plans to debut ""ad-supported downloadable content,"" in which advertisers can insert their commercials into shows and movies that users have downloaded on their devices. The company is also going to start offering ad space in its live-TV subscription service.Netflix shares edged up 0.2% to 326.89 in the  stock market today. Disney stock fell 0.7%, and slid further after hours following its earnings call.YOU MIGHT BE INTERESTED IN: These Stunning Stats Reveal Epic Netflix-Amazon-Hulu-Apple War To Come
"
8,FOXA,"Netflix stock on Thursday notched its sixth record high in the last seven trading days, sending bullish analysts scrambling to revise their price targets.Pivotal Research Group reiterated its buy rating on Netflix (NFLX), and raised its price target to 500 from 420. Raymond James kept its outperform rating and upped its price target to 465 from 365.Netflix shares spiked to an all-time intraday high of 423.21 in morning trading on the stock market today. Netflix ended the regular trading session down 0.3% to 415.44. The internet television network is due to report its second-quarter results on July 16.Pivotal analyst Jeffrey Wlodarczak raised his price target on expectations for higher average revenue per user in international markets.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""We expect yet another solid result (and Q3 guidance) in the seasonally weaker Q2 driven by content launches, aggressive increases in marketing spend and the natural momentum of the business,"" he said in a report to clients.Netflix also could benefit from the close of AT&T's (T) purchase of Time Warner. The merger could weaken Netflix rival HBO as a global competitor as AT&T tries to integrate ""two extremely disparate operating cultures,"" Wlodarczak said. HBO is a unit of Time Warner. Netflix might be able to pick up some Time Warner creative talent in the process, he said.Similarly, bidding by Walt Disney (DIS) and Comcast (CMCSA) for 21st Century Fox (FOXA) could weaken the eventual winner.""Clearly, the Disney/Comcast play for Fox is about attempting to compete with Netflix in the medium/long term (and trying to offset the melting iceberg nature of their core business),"" he said.Legacy media's shift to over-the-top internet television highlights Netflix's inherent strengths, Raymond James analyst Justin Patterson said.""Media consolidation and the shift to more over-the-top/direct-to-consumer models plays to Netflix's strengths and may provide a driver for price increases over time,"" he said. Netflix's strengths include personalization, year-round quality programming and service reliability, he said.RELATED:Netflix Stock Rockets To All-Time High On Price-Target HikesApple To Spend $900 Million On Original Video Content This Year: Analyst
"
9,FOXA,"World Wrestling Entertainment's (WWE) stock raced higher Thursday on a report that WWE wrestling programs ""Smackdown"" and ""Raw,"" could attract a heftier price as TV networks try to land or keep them.NBCUniversal, owned by Comcast (CMCSA) is trying to renew an agreement to keep ""Raw,"" according to the Hollywood Reporter. The price tag could be nearly the current price. ""Raw"" and ""Smackdown"" current air on USA Network, which NBCUniversal owns.As for ""Smackdown,"" the Reporter said, World Wrestling Entertainment is courting bidders after NBCUniversal opted not to renew its deal for that program. 21st Century Fox (FOXA) has been floated as a possible buyer, the Hollywood Reporter said.WWE stock surged more than 15% to 50.28 in the stock market today, a record high. Shares in April cleared a buy point, but without strong volume. But WWE began to move out of a buy range on May 3 in a high-volume move following strong quarterly earnings. WWE stock has a 94 Composite Rating from IBD.Live sports and sports-entertainment programming still draws viewers and network dollars, and ""Smackdown"" remains popular, the Hollywood Reporter noted. Subscriptions have also increased for WWE's digital streaming service — a big part of the company's move to stay relevant to cord cutters.Last month, WWE said subscriptions to WWE Network, hit a record 2.12 million subscribers following April 8's WrestleMania, the event that often marks the annual boiling point for WWE's oiled-up, spandexed drama. That 2.12 million figure was up 9% gain April 3, 2017, following last year's WrestleMania.Earlier this month, WWE also forecast a ""meaningful increase"" in second-quarter sales due to new content distributed internationally.YOU MIGHT BE INTERESTED IN:Could Facebook, Esports, Media Boom From Legalized Sports Betting?TV Industry Tests Limits Of Consumer Demand2 New Ideas To Play Top AI, Bitcoin And Blockchain Stocks 
"
