,ticker,content
0,GGP,"Before he walked into a Tesla Motors store at the Oakbrook Center mall near Chicago last December, Alan McKeon had no more than a passing interest in one of its pricey electric cars, which list for more than $100,000. Yet a month later, back home in Atlanta, he ordered one online. What changed? ""Once I saw the product in the…
"
1,GGP,"Deutsche Bank downgraded Macy's (M) to sell from buy and slashed its price target to 63 from 71 as the nationwide department store is seen unable to drive up same-store sales growth.
"
2,GGP,"""We are downgrading M to Sell from Buy as we lower our estimates below the Street and guidance to reflect low confidence that the company can bust out of its SSS rut, sales deleverage, and increasing pressure from shipping, health care, and retirement expenses,"" said Deutsche Bank analyst Paul Trussell in a note.
"
3,GGP,"Macy's shares fell 2.3% to 68.27 in the stock market today. The stock gapped down out of buy range but was still trading above its 50-day line as of late Monday morning.
"
4,GGP,"Despite the downgrade, Trussell acknowledges that selling some of its real estate could unlock value for the company. Macy's was reportedly under some pressure earlier in the month to put up for sale its flagship New York City storefront, among other assets, in a sale-leaseback.
"
5,GGP,"""We acknowledge that unlocking the real estate portfolio could drive significant value and represents a key risk to our Sell rating,"" said Trussell.
"
6,GGP,"But he believes the odds of Macy's utilizing a REIT — particularly with its flagship stores — are low.
"
7,GGP,"Sears Holdings (SHLD) has engaged in real estate joint ventures with Macerich (MAC), General Growth Properties (GGP) and Simon Property Group (SPG) this year.
"
8,GGP,"Rival department stores Nordstrom (JWN) shares fell 1% to 75.44, while JC Penney (JCP) fell 0.3% to 8.80.
"
9,GGP,"Follow Elaine Low on Twitter: @IBD_ELow.
"
10,GGP,"RELATED:
"
11,GGP,"Macy's Reportedly Urged To Sell NY Flagship, Property.Deutsche Bank downgraded Macy's (M) to sell from buy and slashed its price target to 63 from 71 as the nationwide department store is seen unable to drive up same-store sales growth.""We are downgrading M to Sell from Buy as we lower our estimates below the Street and guidance to reflect low confidence that the company can bust out of its SSS rut, sales deleverage, and increasing pressure from shipping, health care, and retirement expenses,"" said Deutsche Bank analyst Paul Trussell in a note.Macy's shares fell 2.3% to 68.27 in the stock market today. The stock gapped down out of buy range but was still trading above its 50-day line as of late Monday morning.Despite the downgrade, Trussell acknowledges that selling some of its real estate could unlock value for the company. Macy's was reportedly under some pressure earlier in the month to put up for sale its flagship New York City storefront, among other assets, in a sale-leaseback.""We acknowledge that unlocking the real estate portfolio could drive significant value and represents a key risk to our Sell rating,"" said Trussell.But he believes the odds of Macy's utilizing a REIT — particularly with its flagship stores — are low.Sears Holdings (SHLD) has engaged in real estate joint ventures with Macerich (MAC), General Growth Properties (GGP) and Simon Property Group (SPG) this year.Rival department stores Nordstrom (JWN) shares fell 1% to 75.44, while JC Penney (JCP) fell 0.3% to 8.80.Follow Elaine Low on Twitter: @IBD_ELow.RELATED:Macy's Reportedly Urged To Sell NY Flagship, Property.
"
12,GGP,"Macy's (M) is reportedly under some investor pressure to sell its flagship New York City location, along with other real estate assets, in a sale-leaseback move. ""Several"" unnamed hedge funds that have been building stakes in Macy's approached management about potentially selling some brick-and-mortar locations and leasing them back, sources told Reuters. Sale-leasebacks ideally make capital more available to the…
"
13,GGP,"Struggling department store Sears managed to best Wall Street's earnings expectations, but Sears and Kmart same-store sales plunged. Sears Holdings (SHLD) said it narrowed its loss from last year, with an adjusted diluted loss of $2 per share vs. a $2.03 loss last year. According to Thomson Reuters, the store lost $2.34 a share in Q1, widening its loss from…
"
14,GGP,"Mall operator Macerich (MAC) has paid $150 million to form a joint venture with Sears (SHLD), the latest real estate deal for the struggling retailer as it attempts to boost performance. Sears, which operates its namesake and Kmart store chains, will contribute nine properties to the venture. It will then lease back the properties — located at Macerich malls in…
"
