,ticker,content
0,GIS,"Stocks staged a solid open Wednesday, as the Trump Administration eased some China-trade threats, and strong gains across Europe halted a sell-off begun earlier in China. The morning's backdrop showed China's bear market worsening, and oil prices rising as markets assessed whether U.S. sanctions threatened against buyers of Iranian oil had opened a new chapter in the global trade war.China trade-sensitive names Boeing (BA) and Caterpillar (CAT) vied with oil names Exxon Mobil (XOM) and Chevron (CVX) to lead the Dow. ""Smackdown"" owner World Wrestling Entertainment (WWE) scored one of the market's strongest early wins. Conagra (CAG) fell hardest among S&P 500 stocks, after announcing its acquisition of Pinnacle Foods (PF).The Nasdaq Composite popped 0.4% at the start of trade. The Dow Jones industrial average and S&P 500 each gained 0.3%.Markets in the U.S. and Europe strengthened after the Trump Administration backed away from threats to use executive authority to impose sweeping restrictions on China-based companies investing in U.S. technologies and businesses. Instead, news reports quoted senior administration officials saying the administration would rely on Congress to update existing laws, rather than assessing arbitrary restrictions based on national security threats.The official said the White House would work with Congress to update the Committee on Foreign Investment in the U.S. rules, in a way that ""maintains the open investment climate"" in the U.S. That was a sharp change in tone from Monday's announcement that the administration would seek to halt further technology exports to China and block targeted Chinese investments in U.S. technology firms.On the Dow, Caterpillar and Boeing rose in tandem, up 1.7% apiece.  Caterpillar has fallen in nine of the past 10 sessions, Boeing has dropped in eight of the past 11 days. Both stocks have broken below key levels of technical support, causing significant damage to their base-building efforts.Exxon and Chevron (CVX) were also among the Dow's early leaders, up 1.6% and 1.9%, respectively, as oil prices jumped to six-week highs. The U.S. State Department on Tuesday threatened sanctions against countries and companies who failed to end purchases of Iranian oil by November. Oil also was squeezed higher by industry data showing a 9.2 million barrel draw on inventories in the week ended June 22. Economists had projected a 2.6 million barrel decrease. Official weekly supply numbers are due out from the Energy Information Administration at 10:30 a.m. ET.U.S. benchmark West Texas Intermediate crude vaulted 1.5% higher, to near $72 a barrel, in early trade.Conagra opened 6.8% lower — and Pinnacle Foods fell 4.1% — after Conagra said it would acquire the Parsippany, N.J.-based competitor in a cash/stock deal valued at $10.9 billion. Conagra owns the Chef Boyardee, Marie Callendar's and Healthy Choice Brands. Pinnacle's brands include Bird's Eye, Duncan Hines and Mrs. Paul's.The loss sent Pinnacle back below a 66.76 buy point in a 12-month saucer base. Conagra's tumble sent shares below their 10- and 40-week moving averages, snuffing a long-term basing effort.Also in the packaged food space, General Mills (GIS) notched an early 0.7% advance. The Minneapolis-based owner of Cheerios, Wheaties and Betty Crocker reported better-than-expected fiscal fourth-quarter earnings. Revenue met analyst targets, and company management issued upside full-year earnings guidance.World Wrestling Entertainment jack-hammered an 6.7% gain in opening trade. The Stamford, Conn.-based company announced a five-year deal placing its ""Monday Night Raw"" program on Comcast's (CMCSA) USA channel, and its ""Smackdown"" series on Fox Networks on Friday nights. The company said the deal would more than triple the annual value of its U.S. distribution rights. WWE shares are up 132% since the start of the year,In other earnings news, AeroVironment shook of its premarket loss and traded with narrow gains. Fiscal fourth-quarter earnings, reported late Tuesday, declined much less than expected and a 1% revenue gain that eked past the consensus target. The maker of remote-controlled drones remained in a buy range, after breaking out on Tuesday past a 61.25 cup-with-handle buy point in heavy volume.Drive-in burger joint Sonic (SONC) tanked 9.6%. The Oklahoma City, Okla.-based chain reported, after Tuesday's close, fiscal third-quarter revenue and earnings narrowly above analyst consensus targets. Same-store-sales and drive-in margins declined, and management trimmed is full-year earnings guidance. The dive narrowed Sonic's gain from a June 7 breakout to 8%.China's markets rebooted Monday's sell-off as the yuan slid below the 6.6-per-dollar level, a key technical level. The Shanghai Composite dropped 1.1%, digging deeper into bear market territory. Hong Kong's Hang Seng index swooned 1.8%, putting it more than 15% below its February high.Japan managed to buffer the selling somewhat. Tokyo's Nikkei 225 held to a 0.3% decline, despite the yen's safe-haven advance vs. the dollar.Stocks in Europe shook off early losses and rallied in afternoon trade. London's FTSE 100 jumped 1.1%, Frankfurt's DAX leapt 1.3% and the CAC-40 in Paris surged 1.4% higher.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Stocks Bounce Modestly But Hold At Key Levels; 3 Rules For A Weaker MarketStock Futures Fall; 4 Trade-War Resistant Watchlist StocksThis Dividend Stock And Gas Pipeline Play Faces Big Q2 ExpectationsIBD Stock Of The Day Forms New Base After 62% RunTime To Buy This China Growth Stock Again?
"
1,GIS,"Kraft Heinz  (KHC) reportedly is interested in buying Campbell Soup (CPB), which is mulling strategic options as packaged-food giants struggle. Rivals such as General Mills (GIS) also could want to take a bite of the soup and snack giant.Campbell Soup stock jumped 9.4% to close at 42.23, and Kraft Heinz stock edged up 0.2% to 63.32 in the stock market today. General Mills stock added 1.8%. All three packaged-food stocks are still trading near multiyear lows.A Kraft-Campbell deal could boost Warren Buffett's exposure to the ailing packaged-food industry. Buffett's Berkshire Hathaway (BRKB) is a major shareholder of Kraft Heinz, which believes the soup and snack maker will likely put itself up for sale soon, sources told the New York Post.Campbell Soup said in May it was reviewing all aspects of its strategic plans and expects to discuss the outcome in August. CEO Denise Morrison abruptly resigned last month as Campbell Soup cut earnings guidance. The company has not yet named a permanent replacement.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSoup giant Campbell looked for growth with purchases such as Bolthouse Farm juices, Goldfish crackers and Pepperidge Farm cookies. But its $6.1 billion buyout of Snyder's-Lance came just as the packaged-food industry slumped.The company's bleak full-year forecast pummeled the stock in May, ultimately taking a toll on the reign of its seven-year chief executive.The B-class shares of Berkshire Hathaway dropped 1.15% to undercut the May low of 188.62.Meanwhile, Coca-Cola (KO), another consumer products giant in which Berkshire holds a notable stake, rose 0.8%.Kraft Heinz arose through a 2015 merger of food giants Kraft Foods and H.J. Heinz.Buffett owned 500 million shares of Heinz before the merger, while his investment partner, 3G Capital, owned a similar stake in Heinz. Buffett now owns 325.6 million shares of Kraft Heinz, valued at $20.3 billion as of March.Initially, Kraft Heinz stock rallied as the new owners boosted profits despite flat-to-falling sales by cutting costs. But like a ketchup bottle running low, cost-squeezing efforts seem to have run their course. Meanwhile, traditional branded food companies are facing multiple headwinds. They're struggling to appeal to changing consumer tastes toward organic and natural foods. Meanwhile, grocery sellers are stepping up house brands, with more attractive packaging and quality. Food companies also have cut marketing spending to boost short-term profit, but at the risk of losing long-term brand exposure.Kraft Heinz may see a Campbell Soup deal as a way to wring out more costs. Kraft in 2017 made a bid for Anglo-Dutch consumer products giant Unilever (UN), which rebuffed the offer.Buffett reportedly remains optimistic about companies that sell consumer packaged goods. Both Kraft Heinz and Coca-Cola are top-five stock holdings in his widely followed investment portfolio. Berkshire also owns Dairy Queen and is a big investor in Burger King parent Restaurant Brands (QSR).YOU MIGHT BE INTERESTED IN:What Will Berkshire's Buffett Do With $109 Billion? (Hint: No Bitcoin)IBD Stock Of The DayBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth Stocks 
"
2,GIS,"Deere & Co. (DE) could be among the big losers in a China trade war as Beijing targets U.S. agricultural commodities, but the prospect of lower prices also boosted Hormel (HRL) and other food companies that could see lower costs.XChina said on Wednesday that it would slap tariffs on $50 billion worth of American imports, including soybeans, wheat, corn, cotton and other agricultural commodities. China imported $14 billion worth of soybeans from the U.S. last year.A range of agricultural commodity prices, including soybeans and corn, fell on fear that lower sales to China would create slack.If the American farmers who buy Deere equipment are hurt by China tariffs, they'll be slower to replace or upgrade old Deere equipment.On the flip side, weaker demand from China would hold crop prices lower. Hopes for cheaper corn, wheat and other commodity prices lifted packaged food companies, while the prospect of cheaper soybeans, which are mostly used for animal feed, not human consumption, gave IBD's Food-Meat Products industry group a big boost.Hormel stock finished 4.8% higher on the stock market today, Kellogg (K) rose 2.5%, General Mills (GIS) 2.4%, Conagra Brands (CAG) 2.3% and Flowers Foods (FLO) 1.7%. The packaged food sector got slammed two weeks ago when General Mills cut its earnings outlook, citing higher input prices.Meanwhile, shares of Deere, which makes tractors, combines, harvesters and other agricultural equipment, closed down 3%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseStill, food companies aren't immune to a China trade war. Tyson Foods (TSN) got hit in recent days after China imposed 25% tariffs on imports of pork in retaliation for President Trump's steel and aluminum tariffs. But Tyson bounced back 2.3% on Wednesday.China's tariffs aren't a done deal. They won't take effect unless President Trump follows through on his threat of hitting China with 25% tariffs on $50 billion in high-tech imports.The Trump tariffs won't take effect for at least 30 days, giving U.S. businesses a chance to comment as negotiations with China proceed.The potential economic hit to American farmers might help speed along negotiations if Trump fears that Republicans could suffer at the ballot box from a trade war.YOU MIGHT BE INTERESTED IN: Boeing, GE, United Tech Fall As China Hits Aviation But 737 Orders Roll InTesla, GM, Ford Shares Reverse Higher Amid China Tariff UncertaintyThe Big Picture: Blue Chips, Transports Lead Stock Market Gains; Amazon.com Reverses HigherAs Stocks Fall Below Would-Be Support Levels, How Low Can They Go?Just Don't Do It: These 6 Top Stocks Teach Key Lesson In Market CorrectionThe Best Growth Stocks To Watch And Buy 
"
3,GIS,"Cereal maker General Mills (GIS) is looking to snap back from a 16-month 30%-deep correction, as it tests its 10-week moving average in the stock market today. X In the most recent quarter, reported on Dec. 20, the company snapped a 15-quarter streak of declining or flat revenues. Meanwhile, earnings growth declined 4% vs. the year-ago period.…
"
4,GIS,"Stock futures flattened, then fell in early premarket trade Wednesday, as markets continued to seek a foothold after Monday's global sell-off.The IBD 50 list and other leading stocks continued to show resilience in premarket action. Stocks including Five Below (FIVE) and Kemet (KEM) were set to open on Wednesday either in buy range or below buy points. Sonic (SONC) and AeroVironment (AVAV) dived late Tuesday after reporting quarterly results after the close. Oil prices closed at five-week highs, and are likely to be active during Wednesday's session.Nasdaq futures slipped 0.5% ahead of Wednesday's open. Dow industrials traded 0.4% below fair value and S&P 500 futures were down 0.3%.Oil prices could factor into Wednesday's market session, after comments from the U.S. State Department, and supply disruptions in Libya and Canada sent U.S. benchmark oil up more than 3% on Tuesday. West Texas Intermediate crude traded up 0.9% early Wednesday, topping $71 per barrel, and at its highest level since May 22. Europe's Brent crude gaoined 0.7%, trading just below $77.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOilPrice.com reported that Libya's oil ports were no longer controlled by the Libyan National Army, but by the unofficial National Oil Corporation, which is affiliated with the country's eastern government based in Benghazi. In addition, a U.S. State Department official told reporters that global oil buyers must cut imports from Iran to zero by November. Buyers who fail to respect the rule will face harsh U.S. sanctions. Iran exports more than 2 billion barrels per day to countries including China, India and Turkey, according to Bloomberg.Oil also received a late boost after the American Petroleum Institute released data showing U.S. oil inventories decreased by more than 9.2 million barrels during the week ended June 22. Economists projected a 2.57 million-barrel decrease. Official weekly crude storage data are due out from the Energy Information Administration at 10:30 a.m. ET Wednesday.Despite the choppy market, plenty of IBD 50 names ended trade on Tuesday well-positioned for acquisitive investors. Among those, kid-friendly dollar store Five Below ended Tuesday's session less than 3% below a 104.09 buy point in a three-weeks-tight pattern.The IBD Leaderboard name scored a 22% breakaway gap on June 7, after crushing first-quarter expectations. Shares consolidated just below their June 13 high, completing a three-weeks-tight pattern on Friday. The June 7 breakout was from a third-stage base. That puts Five Below in late-stage territory, which adds some risk of failure to any further breakout attempts.While the Dow Jones industrial average has lost ground steadily since June 12, Kemet completed the right side of a base and added a handle for good measure. The handle presents a buy point at 25.79, and the stock traded less than 2% below that entry at Tuesday's close. The Fort Lauderdale, Fla.-based maker of capacitors used in auto, telecom and aerospace applications has a best-possible EPS Rating of 99 from IBD. And its relative strength line is nearing new highs, a sign of strength before a breakout.Two other watchlist-worthy IBD 50 names are HealthEquity (HQY) and Mastercard (MA).  Both stocks are in industries largely unaffected by concerns over the U.S.-China trade brawl. Both remained extended after breakouts.HealthEquity was 5% above its 50-day moving average. Mastercard was 3% above its line. A touch back and rebound from that level of support would create a buying opportunity in both cases.AeroVironment ground out a 6% loss after fiscal fourth-quarter earnings declined much less than expected and a 1% revenue gain eked past the consensus target. The maker of remote-controlled drones broke out past a 61.25 cup-with-handle buy point in heavy volume during regular trade on Tuesday.Drive-in burger joint Sonic slunk 9% lower. The Oklahoma City, Okla.-based chain reported fiscal third-quarter revenue and earnings narrowly above analyst consensus targets. Same-store-sales and drive-in margins declined, and management trimmed is full-year earnings guidance. Sonic shares are extended, up 29% from a June 7 breakout.General Mills (GIS) and Paychex (PAYX) report results Wednesday morning. Retailers Bed Bath & Beyond (BBBY), Pier One (PIR) and RiteAid (RAD) are scheduled to report after the close.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.You Might Also Like:This Homebuilder Stock Soars After Demolishing Earnings ViewsThese Stocks Just Came On — And Off — IBD's Stock ListsTrump Says Harley Move Abroad Would Be 'Beginning Of The End'
"
5,GIS,"The final week of the second quarter set out on a weak note Monday, as US. stocks opened down hard after trade fears had dragged markets in China and Europe lower.XChip stocks and China-based names took the early brunt of the latest exchange in the U.S.-China trade war. Intel (INTC) lagged lower, followed by Micron Technology (MU) and ASML Holdings (ASML). Among China-based stocks, smaller names felt the hardest early hits, but Alibaba Group (BABA), Baidu (BIDU) and JD.com (JD) also gave up ground in early trade.The Nasdaq Composite skidded 0.8% lower as Intel, Ctrip.com International (CTRP) and Micron Semiconductor suffered the index's deepest early declines.The Dow industrials carved a 0.7% loss. The S&P 500 traded down 0.5%. Carnival (CCL), Intel and Kroger (KR) posted the three deepest losses among S&P 500 stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseChina's markets and currency tumbled lower Monday as the Trump administration broadened its definition of what it considers a threat to the U.S. economy. The Treasury Department is reportedly at work on trade rules that would block China-owned firms from investing in ""industrially significant technology"" in the U.S. Also, the National Security Council and the Commerce Department are ratcheting up restrictions on export of such technologies to China. Increased U.S. trade tariffs against goods imported from China are due to take effect July 5.Hong Kong's Hang Seng Index dumped its early gain and dived 1.3%. The Shanghai Composite crumbled 1.1%. In Japan, Tokyo's Nikkei 225 slumped 0.8%.The selling washed into Europe, where markets opened sharply lower. Frankfurt's DAX and London's FTSE 100 each drilled down 1.6% in afternoon trade 1.2%. The CAC-40 in Paris 1% lower.The Dow industrials closed Friday just 0.3% below its 50-day moving average. That gap widened at Monday open, but trade was far from grim. Intel was the only Dow issue down more than 2%. And only two Dow issues, Boeing (BA) — a name clearly within the definition of the White House's ""industrially significant technologies"" category — fell nearly 3%. That was enough to send the stock more than 8% below a 331.10 buy point, triggering the automatic sell rule.Intel tumbled 2.3%, still reeling from Thursday's news that Chief Executive Brian Krzanich would resign after having a relationship with an employee. Chief Financial Officer Bob Swan is now serving as interim CEO. Intel shares dropped 4.8% last week. A report Sunday from the Wall Street Journal said competitors had begun eating into Intel's market share, as manufacturing issues under the Krzanich regime delayed delivery of high-end chips. On Monday, Nomura downgraded Intel to neutral, from buy, and trimmed its price target to 55, from 60.Harley Davidson shares fell 2.9% after a regulatory filing said the company would shift production for motorcycles sold in the European Union out of the U.S. in order to avoid trade tariffs. Tariffs of 31% imposed by the EU would raised costs for U.S.-made Harley's by ardoun $2,200 each, the company said. Harley sees 15% of its sales from the EU. The company has previously navigated around tariffs in other countries by setting up manufacturing operations places including Thailand. Harley said it would make the move in the next 18 months. Harley shares have been in a deepening correction for 15 months.The FANG stock tech leaders fell hard in early trade. Netflix (NFLX) led, down more than 4%. That left the IBD Leaderboard name is 14% above a 338.92 buy point in a flat base. The stock had climbed more than 20% above the buy point last week, placing it in a profit-taking zone.Alphabet dumped 2.2%, sending it back below a handle buy point at 1,161.20 in a double-bottom base.Gray Television spiked more than 17% in premarket trade. The television-station owner announced it would pay $3.6 billion in cash and stock to acquire Raycom. Montgomery, Ala.-based Raycom owns 65 television stations in 20 states. The combined company would own 142 full-power stations in 92 markets, giving it the third-largest portfolio in the U.S., the company said in a release. Gray shares have been consolidation since February, ending Friday 39% below their February high.China-based stocks were bludgeoned in premarket action. Huya (HUYA), 58.com (WUBA) and iQiyi (IQ) all fell more than 4%.Among chip-related names, Netherlands-based ASML Holdings sliced 2.6% lower and Micron Technology shed 2.4%, leading the losses on the Philadelphia Semiconductor Index.On the IBD 50 list, China names YY (YY) and ZTO Express (ZTO) each shed more than 2%. YY has been maintaining support as it builds the right side of a six-month base. ZTO dived 8.4% last week, leaving it still extended above an 18.18 buy point in a cup base.In economic news, the Chicago Federal Reserve Bank's National Activity Index turned negative, reading a minus 0.15 for May that was sharply below April's positive 0.42 tally. The index's three-month moving average fell to a positive 0.18, down from 0.48 in April.May new homes sales data from the Commerce Department are due out at 10 a.m. ET.Oil prices were mixed, with U.S.-benchmarked West Texas Intermediate up 0.8% and Europe's Brent crude benchmark down 1.6% in morning trade. Brent was below $75 per barrel. WTI held just above $69. WTI had surged more than 4% on Friday, after OPEC and partners including Russia agreed to a nominal 600,000-barrel increase to its production quota.The second-quarter reporting season doesn't start for another two weeks, but late-season reports continue to roll in from the March quarter. Cruise line Carnival tanked nearly 9% after reporting a stronger-than-expected second-quarter performance. But the company's third-quarter and full-year earnings guidance were below expectations.Lennar (LEN) and Schnitzer Steel (SCHN) report on Tuesday. General Mills (GIS) and Rite-Aid (RAD) are due on Wednesday, with Nike (NKE), Walgreen Boots Alliance (WBA) and KBHome (KBH) due later in the week.YOU MIGHT ALSO LIKE:Dow Jones Futures Fall As U.S. Plans China Tech Curbs: These 5 Top Stocks Are Near Buy PointsNike, Marijuana Earnings; Bank Payouts: Investing Action Plan If You Want To Buy More Apple Or Nvidia Shares, Read ThisGet A Handle On These 4 Notable Stocks Near Buy PointsThe Big Picture: Is The Selling In Leading Growth Stocks An Ominous Sign?Three Hot IPOs Flash Sell Signals; China Plays Keep Tumbling
"
6,GIS,"Shares of General Mills (GIS) sank Wednesday after the Cheerios and Yoplait maker delivered mixed results and lowered its growth outlook citing significant cost headwinds.General Mills' dive spread contagion through the packaged food sector, taking down shares of Kellogg (K), Kraft Heinz (KHC), Campbell Soup (CPB), J.M. Smucker Co. (SJM), ConAgra (CAG) and Mondelez (MDLZ). Kraft Heinz and Campbell Soup hit the sector last month on their weak quarterly reports.Shares of General Mills plunged 8.85% to 45.51 on the stock market today, hitting their lowest level in nearly five years. General Mills is by far the worst-performing stock on the S&P 500 index.They have tumbled since their Jan. 25 high of 60.69. Kellogg crashed 4%. Kraft Heinz lost 1.9%, hitting its worst levels since August 2015, while Campbell Soup sank 2.2%, reaching a 4-year low. Mondelez slid 0.8% and J.M. Smucker retreated 4.2%.Kellogg, J.M. Smucker, Campbell Soup and ConAgra all were among the S&P 500 index's worst-performers.The Minneapolis-based company reported adjusted quarterly profit grew 10% to 79 cents per share, meeting the Zacks Investment Research consensus estimate. Revenue ticked up 2% to $3.88 billion, just short of views for $3.89 billion. Organic net sales — stripping out the effect of currency movements, acquisitions and divestitures — were up 1%.Cost pressures are impacting the full-year outlook, said General Mills Chairman and CEO Jeff Harmening. General Mills cut its adjusted earnings growth forecast to flat to up 1% from up 3% to 4% earlier.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Like the broader industry, we're seeing sharp increases in input costs, including inflation in freight and commodities,"" Harmening added. ""Because of our improved volume performance, we're also incurring higher operational costs.""Net sales for the North America retail segment rose 1% to $2.52 billion, thanks in large part to Canada. Yogurt and cereal sales fell in the U.S.Sales in the convenience stores and food service segment rose 3% to $460 million, driven by growth in frozen meals, cereal, and snacks.Europe and Australia sales grew 11% to $470 million, benefiting from favorable currency moves. Organic net sales slipped 1%.Asia and Latin America sales increased 3% to $435 million, also helped by foreign currency exchange. Organic net sales matched year-ago levels.  Asia markets saw higher sales, offsetting lower net sales across Latin America.General Mills said Wednesday its previously announced $8 billion acquisition of natural pet food brand Blue Buffalo Pet Products (BUFF) is expected to close before the end of fiscal 2018. Natural, wholesome and premium fare is in demand in pet food, as in human food, according to General Mills.Packaged food is under strain as private-label house brands as well as organic and natural offerings displace mainstream products on grocery shelves at the likes of Walmart (WMT) and Kroger (KR) and Amazon (AMZN)-owned Whole Foods.Walmart is General Mills' biggest customer, accounting for some 20% of sales.Packaged food companies have responded with cost cuts, including on marketing, to preserve profit margins, but that strategy is running out of steam. Kraft Heinz's latest results show the cost-cutting strategy is running out of steam.Blue Buffalo shares edged 0.3% lower Wednesday. Walmart rose 0.3%, Amazon dipped 0.3%. and Kroger added 0.2%.YOU MIGHT BE INTERESTED IN:Forget Facebook: Why These 5 Chip Stocks Are Stock Market Bullish; S&P 500, Dow Jones Futures Await Fed Rate HikeThe Big Picture: Stock Bounce Leaves Much To Be DesiredNo. 1-Ranked IPO Stock Breaks Out, Expects Big Q1 Earnings GrowthThese 5 Top Stocks Stood Out MondayThese 3 China Nets Are Flashing This Bullish Signal; This 1 Has Earnings Due'China's Amazon' JD.com Has These Futuristic Projects In The Works
"
7,GIS,"The candy and snack food industries are doing well right now, based on statistics released Tuesday at the Sweets and Snacks Expo. But you wouldn't know that from the share prices of publicly traded companies in the sector.""Consumer staples in general are extremely out of favor,"" Edward Jones analyst Brittany Weissman said. ""Consumer staples have significantly underperformed the broader market.""IBD's confectionery industry group ranks near the bottom of 197 industry groups. It includes just four stocks: Mondelez International (MDLZ), Hershey (HSY), Tootsie Roll Industries (TR) and Rocky Mountain Chocolate Factory (RMCF).Many makers of sweets and snacks are in IBD's packaged-food industry group, which ranks No. 161. It includes 29 stocks, among them Nestle (NSRGY), PepsiCo (PEP), General Mills (GIS), Kellogg (K), ConAgra Brands (CAG) and Hostess Brands (TWNK).Investors started rotating out of food stocks in mid-2016 in anticipation of rising interest rates, Weissman said.Amazon's (AMZN) acquisition of Whole Foods Market, announced in June 2017, added to the worries, she said.The Amazon-Whole Foods merger, completed in August 2017, led to large grocery sellers like Walmart (WMT) and Kroger (KR) gaining more negotiating power with manufacturers, she said. That's made it harder for food makers to pass on cost increases, such as rising grain and cocoa prices.Another factor hitting major candy and snack makers has been the rise of store brands. They include Kirkland Signature at Costco Wholesale (COST), Member's Mark at Walmart-owned Sam's Club and Wickedly Prime at Amazon.To combat these private-label products, the major candy and snack companies are focusing on product innovation to attract consumers. They're using new ingredients, different combinations, bold flavors and novel textures to entice customers.Many of these new products were on display at the annual Sweets and Snacks Expo, which ran Tuesday through Thursday in Chicago. The show had about 900 exhibiting companies and was expected to attract about 18,000 attendees.This year's Sweets and Snacks Expo is the biggest yet in terms of number of exhibitors and attendees, said Christopher Gindlesperger, vice president of public affairs and communications for the National Confectioners Association, which sponsors the show.Product trends among candy makers at this year's show include greater use of coconut and caramel in products, Gindlesperger said.Cocoa and chocolate producer Barry Callebaut is promoting its new ruby chocolate at the trade show. Introduced last September, it is the fourth type of chocolate after milk, dark and white. Made from the ruby cocoa bean, the pink chocolate has a ""berry-fruitness and luscious smoothness,"" the Swiss firm said in a press release.Candy sales in the U.S. are expected to reach $25.3 billion in 2018, up from $24.9 billion in 2017, marketing and consulting firm IRI said at the show.Snack sales are seen hitting $42.5 billion in 2018, up from $41.1 billion in 2017.""Consumers are still snacking,"" said Sally Lyons-Wyatt, executive vice president at IRI. ""On average consumers are snacking over 2.5 times a day. Younger consumers actually snack more than that.""Top growing categories in snacks include protein, fiber and energy snacks, she said. Consumers are also shifting more to crisps not made from potato or corn, she said. Consumers enjoy variety and are trying chips made from chickpeas, lentils, quinoa and other ingredients.Food companies are targeting millennials by offering products in smaller portion sizes suitable for snacking.""It seems like almost anything can be a snack right now,"" Edward Jones' Weissman said. ""You change the portion size and suddenly it's a snack. Everybody is focused on snacks. Yogurt went from breakfast to a snack. It's a much more crowded marketplace.""RELATED:Amazon Widens Its Influence Even More And Takes A Bite Out Of SnacksCampbell, Hershey, Humana Lead Frenzy Of Year-End M&A Activity
"
8,GIS,"General Mills (GIS) agreed to buy Blue Buffalo Pet Products (BUFF) for about $8 billion, adding the maker of natural dog and cat food to a portfolio that includes Haagen-Dazs ice cream and Cheerios cereal.X The Minneapolis, Minnesota-based food company plans to pay $40 a share for Blue Buffalo, which sells ""antioxidant-rich"" dog nutrition and other pet products, the companies said in a statement Friday. The deal comes as global food giants are snapping up makers of natural and organic products, which are outpacing mainstream brands in growth.The Wilton, Connecticut-based pet food maker's shares shot up 17% to 39.96 before the opening bell on the stock market today. Over the past three years, Blue Buffalo has delivered compound annual net sales growth of 12%, the company said.Sign Up For Free IBD Newsletters: Market Prep | Tech Report""In pet food, as in human food, consumers are seeking more natural and premium products,"" General Mills Chief Executive Officer Jeff Harmening said.General Mills was not yet active.
"
9,GIS,"Justin Gold is not your typical corporate founder type. Long, tight curls spill out from under his baseball cap as he throws his head back and howls delightedly in selfies with nut-butter enthusiasts who approach him in a steady stream. One woman stops to tell Justin that her mother is a big fan.At food trade show Natural Products Expo West, where alternative meats and other health-conscious products reign supreme, everyone wants to say hi to the creator of Justin's Nut Butter. You probably can't say the same about the makers of Skippy.Such is the marketplace for natural foods now. Once the hippy-dippy niche of places like Whole Foods, the arena in 2018 is stacked with players hawking Greek yogurt and kale chips and high-protein everything on shelves at Walmart (WMT) and Kroger (KR).""It's a lot more competitive, but now there's more (shelf) space that's available,"" said Gold of the changes to the industry over the years. Larger retailers like Kroger, Target (TGT) and Walmart are looking to put more organic products on their shelves, he said.The interest means that Big Food heavyweights — such as General Mills (GIS), Nestle and PepsiCo (PEP) — have been snapping up natural and organic food startups, a trend that NPD's food and beverage industry analyst, Darren Seifer, does not see stopping.Acquisitions give legacy packaged-food companies entry to the natural and organics market with a brand that has ""believability,"" said Seifer.Sign Up For Free IBD Newsletters: Market Prep | Tech ReportJustin's Nut Butter, for its part, was acquired by Hormel (HRL) in 2016. That brought the almond- and cashew-butter company under the same umbrella as Spam, Hormel Chili and peanut butter stalwart Skippy.The added resources of a food titan like Hormel gave Justin's the fuel to ensure that all of its products' secondary ingredients could also be organic, something that Justin's could ""probably not"" have accomplished by itself, said Gold.But that doesn't mean every new food company out there is looking to ultimately be acquired.The idea of being acquired ""would worry me, at this stage,"" said Snow Monkey co-founder Rachel Geicke. Snow Monkey, a plant-based, nut-free, vegan ""superfood ice treat,"" lists banana puree as its first ingredient. It is sold in about 300 stores across a dozen states and comes in flavors such as passion fruit, goji berry and cacao.""We've technically only been on the market for about 14 months, so it's still very new, and I think what's really important for a young company is ensuring we're shaping culture and as we grow we never forget why we started,"" she said.Better-for-you ice creams were popular at this year's Expo West. Not surprising, given that indie brand and Expo alum Halo Top managed to outsell freezer staples Ben & Jerry's (owned by Unilever (UN)) and Haagen-Dazs (owned by Nestle) in the supermarket pint category last year.""Companies like Halo Top are sort of what the industry needed,"" Snow Monkey co-founder Mariana Ferreira told Investor's Business Daily at the expo. ""It needed a little bit of a shake, to show the big guys you can't be comfortable. You can't put out the same thing all the time.""Smaller brands are the ones bringing the innovation, she added, something that ""isn't fast enough with these big companies.""Nevertheless, they aren't ruling out the possibility of M&A down the road. An acquisition could provide strategic advantages, and ""there could be some really great big partner for us to do that with,"" said Geicke.Either way, the current eating trends are good for business.""What's really promising for us to see is that health has never been so mainstream, and it continues to be,"" said Geicke. ""When you walk into Costco and you're seeing products that you would usually only find at Whole Foods, that's amazing to see the industry shift."" 
"
