,ticker,content
0,GLW,"On Tuesday, Corning (GLW) reached an important technical milestone, with its Relative Strength (RS) Rating entering into the 80-plus percentile with an upgrade to 81, up from 78 the day before. X IBD's unique rating identifies price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the last 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the best-performing stocks tend to have an RS Rating north of 80 as they launch their biggest price moves.See How IBD Helps You Make More Money In StocksCorning has moved more than 5% past a 30.70 entry in a first-stage cup with handle, meaning it's now out of a proper buy zone. Look for the stock to offer a new buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Corning reported 2% earnings growth last quarter, while sales growth came in at 4%. Look for the next report on or around Jan. 24.The company holds the No. 6 rank among its peers in the Electronics-Miscellaneous Products industry group. Universal Display (OLED), Trimble (TRMB) and Zebra Technologies (ZBRA) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,GLW,"On Monday, Corning (GLW) earned an upgrade to its Relative Strength (RS) Rating, from 75 to 81. X IBD's proprietary rating measures share price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the trailing 52 weeks holds up against all the other stocks in our database. Decades of market research shows that the stocks that go on to make the biggest gains often have an 80 or better RS Rating as they launch their biggest price moves.Looking For The Best Stocks To Buy And Watch? Start HereCorning has climbed more than 5% past a 30.70 entry in a first-stage cup with handle, meaning it's now out of a proper buy zone. Look for the stock to offer a new buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Corning showed 2% earnings growth in the latest quarterly report. Revenue gains came in at 4%. Corning earns the No. 7 rank among its peers in the Electronics-Miscellaneous Products industry group. Universal Display (OLED), Trimble (TRMB) and Pendrell (PCO) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,GLW,"Corning (GLW) saw its IBD SmartSelect Composite Rating rise to 96 Friday, up from 94 the day before.The new rating is a sign the stock is outpacing 96% of all stocks when it comes to the most important stock-picking criteria. The best stocks tend to have a 95 or better grade as they launch a significant move.Corning is currently trading within a 28.46 - 29.88 buy zone after clearing the entry on Apr. 25 on earnings. Volume on the day of the breakout was 121% above average.The stock sports an 89 EPS Rating, which means its recent quarterly and longer-term annual earnings growth tops 89% of all stocks.Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks.The company reported 39% earnings growth for Q1. Top line growth climbed 16%, up from 11% in the prior quarter. That marks four quarters of rising growth.Corning holds the No. 1 rank among its peers in the Electronics-Miscellaneous Products industry group. Universal Display (OLED) and Zebra Technologies (ZBRA) are also among the group's highest-rated stocks.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
3,GLW,"XSpring is a busy time and the list of IBD 50 stocks is no exception, focusing over the past week with hivelike intensity on base-building efforts. Chart action shows that more than 30% of the group are forming bases. Another 20% are in consolidations that could be considered proper bases if they continue in consolidations over the next two…
"
4,GLW,"Verizon Communications (VZ) announced Tuesday it will purchase at least $1 billion in optical fiber wiring from Corning (GLW) during the 2018-20 time frame as it deploys 5G wireless services in 11 U.S. markets.But the company's chief executive played down a possible cable TV company acquisition as part of its 5G strategy.Verizon, a member of the Dow Jones industrial average, says it'll buy a minimum of $1.05 billion in optical fiber from Corning for use in Boston and other U.S. markets. Corning, meanwhile, said it'll invest $250 million in a North Carolina manufacturing plant to increase production.Verizon Chief Executive Lowell McAdam, who in January said acquiring a cable TV firm such as Charter Communications (CHTR) could also be part of its 5G strategy, played down the possibility in a CNBC interview. Analysts say the local networks of cable TV companies could speed the roll out of 5G networks.""I think our shareholders expect us to look at every option, but I would tell you that right now we haven't seen the architectural fit and we haven't seen a willing seller and buyer that have a meeting of the minds,"" McAdam said. He said Verizon may reassess its options as 5G network rollouts proceed.Corning stock rose 1.3% to 26.89 in the stock market today. Shares in Verizon rose 0.8% to 49.22 ahead of the telecom's Q1 earnings report Thursday.In each 5G market, Verizon plans to deploy thousands of ""small cell"" radio antennas hung on utility poles or building rooftops to build networks. The networks will require fiber-optic connections to local hubs, which  link to ""long haul"" internet infrastructure. Verizon expects to provide data speeds 100 times faster than its current wireless network.IBD'S TAKE: Shares in Corning, which also makes display technology for Apple and other smartphone makers, have gained 9% in 2017. Corning stock has been consolidating with a buy point of 28.46. Learn more at IBD Stock Checkup.Verizon initially has focused on 5G as a way to provide wireless broadband services to homes, which could provide new competition to cable TV firms. Comcast (CMCSA) and Charter are the biggest providers of high-speed internet services to consumers.Verizon and AT&T (T) are expected to use midband and high-frequency radio spectrum to deploy 5G services. AT&T on April 10 acquired Straight Path Communications, which owns high-frequency airwaves.Improved radio antennas and more complex semiconductors are expected to make higher frequencies usable for 5G.Wireless companies aim to build  flexible 5G networks that provide both the high-bandwidth connections required by fast-moving, self-driving cars in urban areas and always-on, reliable, low-data-rate connections needed by parking meters, oil rig sensors or other devices. Highflying drones are another potential market.Meanwhile, shares in Dycom Industries (DY) leapt 5.8% to 103.15, clearing a 98.57 cup-base entry and hitting a record high. Dycom has told analysts that 5G buildouts could create more business rather than cannibalize its existing services to AT&T, Verizon and cable TV firms. Dycom digs small trenches where fiber-optic wiring is buried. It also strings fiber wiring aerially to homes and businesses via utility poles.""We see (the Corning deal)  as a significant positive for Dycom, as Verizon is its 4th largest customer,"" Jennifer Fritzsche, a Wells Fargo analyst, said in a note to clients. ""As Verizon builds more outside of its (landline) territory, it will have more opportunity to use third-party labor. With Dycom's fiber construction business five times larger than its next largest competitor, we see it as well-positioned to capture much of this converged wireline-wireless spend from Verizon.""RELATED:Straight Path Stock Jumps; Will Verizon Top AT&T's Big Premium?Verizon, Charter Talks Heating Up? Malone Vision KeyWhy The Race To Wireless 5G? The Internet Of Things
"
5,GLW,"Consumer electronics giant Apple (AAPL) waved the American flag on Wednesday, pledging to contribute more than $350 billion to the U.S. economy over the next five years.X In a press release Wednesday, the Cupertino, Calif.-based company announced a new set of investments to build on its commitment to support the U.S. economy and its workforce. Last year, Apple set up a $1 billion Advanced Manufacturing Fund to make component purchases from U.S. companies. Recipients of that funding have included Corning (GLW) and Finisar (FNSR).Apple is expanding its Advanced Manufacturing Fund to $5 billion and plans to create 20,000 new jobs at Apple over the next five years, the company said. Apple already employs 84,000 people in all 50 states.The tech icon also expects to invest over $30 billion in capital expenditures in the U.S. over the next five years, including the establishment of an Apple campus in a new location. The new campus will initially house technical support for customers. The location for the facility will be announced later this year.""We believe deeply in the power of American ingenuity, and we are focusing our investments in areas where we can have a direct impact on job creation and job preparedness,"" Apple Chief Executive Tim Cook said in a written statement. ""We have a deep sense of responsibility to give back to our country and the people who help make our success possible.""Apple's new investments add to the company's current pace of spending with domestic suppliers and manufacturers, estimated at $55 billion in 2018. Apple's spending will be aided by the repatriation of billions of dollars in foreign profits, thanks to recent U.S. tax reform.Apple anticipates making repatriation tax payments of about $38 billion. That implies that Apple will be bringing to the U.S. most of its $252 billion of overseas cash, Wells Fargo analyst Aaron Rakers said in a note to clients.IBD'S TAKE: Apple stock has an IBD Composite Rating of 90 out of a best-possible 99. For more analysis on Apple, visit the IBD Stock Checkup.Under legislation approved by U.S. lawmakers in December, U.S. companies may repatriate overseas cash at a 15.5% tax rate compared with the standard 35% rate.Apple is likely to use some of the repatriated cash to boost its returns to shareholders through increased buybacks and dividends, Rakers said.""We believe this sets the table for a capital allocation update on the company's upcoming fiscal first-quarter earnings call,"" scheduled for Feb. 1, he said.Apple's investments will be focused on three areas: direct employment by Apple, spending and investment with Apple's domestic suppliers and manufacturers, and fueling the app economy which Apple created with iPhone and the App Store.Over $10 billion of Apple's expanded capital expenditures will be for investments in data centers across the country, the company said. It currently has data centers and co-located facilities in seven states.Apple shares rose 1.7% to close at 179.10 on the stock market today.RELATED:Apple To Invest $390 Million In Laser Sensor Supplier Finisar
"
6,GLW,"Archrivals Cisco Systems (CSCO) and Arista Networks (ANET) both won price target hikes from Morgan Stanley on Thursday, with Cisco expected to ramp up share repurchases in light of President Trump's tax reform package.X James Faucette, a Morgan Stanley analyst, hiked Cisco's price target to 42 from 39 and Arista's to 260 from 210. The analyst also hiked Corning's (GLW) price target to 33 from 30 and raised his target on Commscope Holdings (COMM) to 41 from 38.U.S. companies will be able to bring back cash held overseas at a lower tax rate as part of the Trump tax package.""We estimate that cash repatriation and share reduction could increase Cisco's annual (earnings per share) by 10%,"" said Faucette. He also is upbeat about the computer networking giant's business.""We are seeing anecdotal evidence that Cisco will build leadership and market share as enterprises converge networking and security strategies,"" said Faucette.IBD'S TAKE: Read IBD's The Big Picture column each day to stay on top of the market direction, a key indicator that lets you know when you can be aggressive and when you should move to the sidelines.Arista has been taking share from Cisco in the data center-switching market.""We think Arista's long-term software development will continue to drive share gains as already demonstrated by the current 100 gigabit cycle and recent switch-router traction,"" Faucette said.Cisco has stepped up acquisitions to speed up its shift to software and services from its core business of selling network switches and routers.Cisco edged down 0.5% to close at 38.53 in the stock market today. Arista rose 0.8% to finish the regular trading day at 235.96. Corning dipped 0.4% to close at 32.30. And Commscope edged up 0.5% to end at 38.42.RELATED:Accenture Earnings Beat, Full-Year Revenue Outlook RaisedStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksApple (AAPL) Stock Quotes, Company News And Chart AnalysisLeaderboard: Daily Updates On Stocks With Potential For Big Gains
"
7,GLW,"Consumer electronics giant Apple (AAPL) on Wednesday announced a $390 million investment in Finisar (FNSR), the second company to receive funding from Apple's $1 billion Advanced Manufacturing Fund.Apple said the deal with Finisar, a maker of optical communications components, is part of its commitment to support U.S. manufacturing jobs and innovation. In May, Apple awarded $200 million to Corning (GLW) to support that company's state-of-the-art glass processing and research and development.The Apple funding is not a debt or equity investment in Finisar, but is advanced payment for future components from the company.Finisar makes vertical-cavity surface-emitting lasers (VCSELs), which are used in the iPhone X smartphone to power Apple's Face ID facial identity software and other apps with Apple's TrueDepth camera and in its AirPods wireless earbuds for proximity sensing.The Apple funding will allow Finisar ""to exponentially increase its R&D spending and high-volume production"" of VCSELS, Apple said in a press release.Because of Apple's funding, Finisar will transform a long-dormant, 700,000-square-foot manufacturing plant in Sherman, Texas, into a VCSEL factory. Apple's award will create more than 500 high-skill jobs at the facility.Apple has rapidly adopted depth-sensing technology in recent years, leading to the development and production of advanced VCSELs. In the fourth quarter, Apple will purchase 10 times more VCSEL wafers than were previously manufactured worldwide over a similar time period, Apple said.Finisar stock jumped on the news. Shares catapulted 22.8% to close at 23.71 on the stock market today. Apple was up 0.3% to close at 173.IBD'S TAKE: To find stocks for your watch list, check out the screener tools at MarketSmith. You can filter recent breakouts, stocks hitting new highs, tight trading action and more.Among Finisar's peers, Lumentum (LITE) was down 2.9% to close at 50.28 and II-VI (IIVI) slid 3.2% to finish at 44.75.Piper Jaffray analyst Troy Jensen raised his price target on Finisar to 28 from 22 and reiterated his overweight rating.""The biggest take-away from this announcement is Finisar's share opportunity at Apple,"" Jensen said in a report. ""Up until now, we had assumed Finisar only had 25% of the high-powered VCSEL for the iPhone X and Lumentum had 75% of the high-power and 100% of the low-power VCSEL. Given Lumentum's initial success, we assumed Lumentum would maintain its primary supplier status at Apple for several years to come, but given Apple's cash commitment to Finisar, we believe Finisar could capture significantly more share than previously expected.""In addition to gaining share in high-power VCSELs, Finisar could ramp production capacity for low-power VCSELs for Apple as well, he said.RELATED:Apple Invests $200 Million In Corning Manufacturing From New Fund
"
8,GLW,"Companies got into the holiday shopping spirit, with several M&A deals Monday morning. Mall operator GGP (GGP) rejected a buyout offer, 3M (MMM) sold its communications unit, LKQ (LKQ) expended its presence in Europe and two hospital operators reportedly mulled a deal.X GGP, the shopping center operator, rejected a $14.8 billion buyout offer from Brookfield Property Partners (BPY), its largest shareholder, sources told Reuters. Brookfield wants to buy the 66% of the mall operator that it doesn't own and offered $23 per share for GGP.But Brookfield's CEO Bruce Flatt told Bloomberg that talks were still active.GGP shares closed down 0.2% at 23.39 on the stock market today. GGP traded at 19.01 on Nov. 6, just before Brookfield buzz. Brookfield fell 1.3%.Corning (GLW) will buy nearly all of 3M's communication markets business for $900 million in cash as it looks to spend $1 billion to $3 billion on acquisitions.The deal is expected to close next year and will add 7-9 cents to Corning's earnings per share in total. 3M said it would add 40 cents per share.3M shares edged up 0.5% to 239.30 after briefly hitting 240.31. The Dow component fell below a 239 buy point on Friday.Corning climbed 0.7%.IBD'S TAKE: With thousands of publicly traded companies to choose from, how can you quickly find the best stocks to buy right now? A good starting point is to regularly review screens that highlight the top-rated equities.LKQ Corp., the U.S. auto parts maker, will buy Germany's Stahlgruber for $1.8 billion, including debt, as it looks to expand its foothold in the European market as U.S. firms head abroad.The deal is expected to close in the first-quarter or early Q2, pending on regulatory reviews.LKQ shares rose 0.3%.The deal comes as U.S. based Genuine Parts (GPC) entered the European auto parts market with its $2 billion purchase of  Alliance Automotive Group in September.Genuine Parts fell 1.4%.Nonprofits Ascension Health and Providence St. Joseph Health are reportedly in merger talks, according to the Wall Street Journal.The deal would create the largest hospital operator in the U.S. with a combined 191 hospitals in 27 states.The healthcare space has been consolidating as healthcare providers await major changes with the Affordable Care and drug prices rise.Last week, CVS Health (CVS) announced it would buy health insurer Aetna (AET) for $69 billion and Catholic Health Initiatives and Dignity Health signed a definitive agreement to form a large regional network.RELATED: Chevron Leads These Five Industrial Stocks Trading Near Buy PointsDon't Give Up On These Five Top Stocks Just Below Buy PointsWhy You Should Put Microsoft, 3M, CAT On Your Watch List NowUnitedHealth Buys DaVita's Medical Unit Amid Big Sector Shakeup
"
9,GLW,"The S&P 500 index and other major averages to record highs helped by Trump tax cut momentum. Bitcoin futures had a successful launch on the Cboe Global Markets (CBOE). Walt Disney (DIS) agreed to buy the bulk of 21st Century Fox (FOXA) while also launching ""Star Wars: The Last Jedi."" The Federal Reserve raised rates while the FCC repealed net neutrality. Adobe Systems (ADBE) had strong earnings and guidance while Oracle (ORCL) missed on cloud revenue and cloud guidance.X The Nasdaq rose 1.4%, the Dow industrials 1.3% and the S&P 500 index 0.9%, all hitting record highs Friday as the GOP finalized its tax legislation with apparently enough support to pass. The Federal Reserve offered few surprises. Media stocks were in focus with Disney buying most of 21st Century Fox and the GOP-led FCC rolling back net neutrality.Bitcoin futures on the Cboe (CBOE) got off to a strong start, trading at their best levels on Friday amid typically volatile moves for the cryptocurrency. Federal Reserve chief Janet Yellen said that Bitcoin played a very small role in the payments landscape, but that it was ""not a stable store of value"" and ""highly speculative."" Her remarks add to the chorus of banking officials weighing in on the much-hyped cryptocurrency. They echo those of Goldman Sachs CEO Lloyd Blankfein and others who believe Bitcoin, which can gain or lose thousands of dollars in a day, can't be depended on to retain consistent value.CME Group (CME) will launch its Bitcoin futures on Dec. 18.The megadeal is a reality: Disney is buying Fox's entertainment assets for an enterprise value of $66.1 billion. It includes 20th Century Fox's movie and TV studios, National Geographic, FX, 22 Fox regional sports networks, and certain international assets. Disney CEO Bob Iger, who is extending his contract past 2019 to 2021 because of the merger, expressed enthusiasm about the deal's ability to boost the media giant's direct-to-consumer strategy and spread the ESPN brand internationally. It's not clear how regulators feel about the transaction, and Disney has promised a $2.5 billion breakup fee. Fox will keep its broadcast, news as well sports networks FS1, FS2 and Big Ten Network. Disney and Fox shares soared.Separately, Disney should expect a windfall from its latest entrant to the ""Star Wars"" franchise, ""The Last Jedi,"" which has already garnered largely positive reviews from critics and early viewers. Some analysts are expecting around $200 million from the film domestically. The film opened to the public on Thursday evening, with an estimated $45 million in ticket salesThe Republican-led Federal Communications Commission voted to repeal utilitylike oversight on internet service providers, delivering regulatory reversal sought by Comcast, AT&T, Verizon Communications and other ISPs. FCC chairman Ajit Pai  said the new rules will ""return regulatory parity to the internet economy."" He said some giant internet companies engage in anti-consumer behavior, while ISPs have been unfairly targeted by regulators. State regulators, Comcast and others said Congress should step in and pass internet legislation. One analyst put the chances of that at less than 30%.The Federal Reserve raised rates at its final meeting of the year, as expected. Policymakers also still expect to raise interest rates three times next year and didn't seem concerned about Trump tax cuts overheating the economy. Economic data backed a Goldilocks scenario. November retail sales were much stronger than expected, core consumer inflation cooled.Several biotechs popped on news stemming from the American Society of Hematology conference last week in Atlanta, while clinical trial data from others fell short. Bluebird Bio (BLUE) soared Monday after it reported improvement in patients using its LentiGlobin therapy to treat sickle cell disease and beta thalassemia. Fellow CAR-T player Juno Therapeutics (JUNO), though, retreated nearly 22% in two days despite strong data in patients with a form of Non-Hodgkin lymphoma. Investors wanted more data, analysts said. On Tuesday, GlycoMimetics (GLYC) rocketed on data from its drug in acute myeloid leukemia, but Global Blood Therapeutics (GBT) sank following its presentation of its sickle cell disease drug. Spark Therapeutics (ONCE) crashed on its hemophilia A drug data, suggesting a later approval than a rival treatment from Biomarin (BMRN). Cellectis (CLLS) launched Wednesday after Phase 1 trials showed promise for its experimental treatment in acute lymphoblastic leukemia.RELATED:Biotech Stocks Soar On Trial Data At Hematology ConferenceOracle earnings rose 14% as revenue rose 6% to $9.6 billion, both beating views. Cloud revenue missed, with the 44% rise to $1.5 billion below views for $1.56 billion. Oracle also gave weak guidance, especially for cloud revenue. Oracle shares tumbled 3.8% on Friday.U.S. crude production surged to another record high of 9.780 million barrels per day, according to the  Energy Information Administration, which sees output hitting 10 million bpd next year. OPEC said that it doesn't see oil markets balancing until late next year on increased U.S. production, throwing into doubt recent talk of forming an exit strategy from its output cut deal. The International Energy Agency raised its 2017 growth forecast for U.S. crude by 390,000 barrels per day and by 870,000 bpd in 2018 vs. estimates in its November report. But the energy watchdog sees a ""closely balanced market"" in 2018.Western Digital (WDC) raised its financial outlook after settling a lengthy legal battle with Toshiba over the ownership and expansion of a flash-memory-chip business. Toshiba Memory will be allowed to sell its stake in the joint venture to a consortium led by Bain Capital. Western Digital gets to participate in the development of new factory expansions and certain rights to the chip output. Western Digital shares rose on the news, but closed the week up just 0.2%.Consumer electronics giant Apple (AAPL) committed to spending $390 million on components from optical device maker Finisar (FNSR) to help fund a new factory in Texas to make vertical-cavity surface-emitting lasers. The iPhone X uses VCSELs to power its Face ID security feature, Animojis and other apps. The deal marked Apple's second major commitment to support U.S. production with its $1 billion Advanced Manufacturing Fund. In May, Apple awarded $200 million to glass display cover maker Corning (GLW).Finisar shares soared 21%, even after paring gains as Apple clarified the nature of the deal.Digital media and marketing software maker Adobe Systems (ADBE) reported adjusted fiscal fourth-quarter earnings per share of $1.26, up 40% year over year, on sales of $2.01 billion, up 25%, in the quarter ended Dec. 1. Analysts expected $1.15 and $1.95 billion. For the current quarter, Adobe expects to earn an adjusted $1.27 a share, up 35%, on sales of $2.04 billion, up 21%. For fiscal 2018, Adobe expects to earn an adjusted $5.50 a share, up 28% year over year, on revenue of $8.725 billion, up 20%.Adobe rose 1.4% Friday, continuing a rebound from its 50-day line.Boeing (BA) announced a $18 billion repurchase program and a 20% dividend hike to $1.71, joining other big companies like Bank of America (BAC), Home Depot (HD) and Mastercard (MA) in returning more capital to shareholders. Boeing shares hit record highs. That's despite Delta Air Lines (DAL) snubbing the aerospace giant. Delta will buy 100 Airbus (EADSY) A321neos, worth $12.7 billion at list prices. The carrier had been in talks to buy 100 of Boeing 737 Max 10 jets.Airbus fell on reports, confirmed Friday, that CEO Tom Enders will leave at the end of his term in February 2019, while COO Fabrice Bregier will exit in February, amid U.K. and French corruption probes.Delta Air Lines (DAL) raised its fourth-quarter unit revenue guidance, lifting shares above a buy point despite a weaker margin outlook. JetBlue (JBLU) also raised unit revenue guidance, but shares reversed lower. United Airlines (UAL) and Southwest Airlines (LUV) recently raised Q4 unit revenue targets.Costco Wholesale (COST) profit grew 16% to $1.36 a share on a 13% sales increase to $31.81 billion, ahead of estimates for $1.35 EPS and $31.52 billion in revenue. Same-store sales rose 10.5%, or 7.9% after adjusting for gas sales and foreign exchange. Online comps popped 43.5%. Shares rallied 3.3% Friday.CSX (CSX) CEO Hunter Harrison, a highly respected industry vet installed by activists investors in early 2017, is taking medical leave due to complications from a recent illness. Shares of the rail operator plunged 7.6% Friday.T-Mobile (TMUS) agreed to buy Layer3 TV, a startup offering pay-TV over private interconnections in five markets. Terms weren't disclosed. T-Mobile plans to leverage its wireless technology to launch its own streaming TV service in 2018.Unibail, Europe's largest commercial landlord, agreed to buy Australia-based mall giant Westfield for $15.8 billion. Meanwhile, mall operator GGP (GGP) rejected a $14.8 billion offer from Brookfield Property Partners (BPY) for the 66% that it doesn't already own.Teva Pharmaceutical (TEVA) rocketed 16% as the generic drug giant said it would slash 14,000 jobs, more than 25% of its work force. Teva also will close several manufacturing plants and suspend its dividend to tackle $34.7 billion in debt.Honeywell (HON) set out an outlook for fiscal 2018 profits that Wall Street deemed typically conservative. The industrial giant's forecast of annual EPS of $7.55-$7.80 next year was achievable and beatable, one analyst said. Shares rose a fraction to 154.13, just below their November high of 156.70, having advanced 11% from their September breakout past a 140.31 flat-base entry. 
"
