,ticker,content
0,GOOG,"The Relative Strength (RS) Rating for Alphabet (GOOG) entered a higher percentile Friday, as it got a lift from 69 to 72. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily identifies share price performance with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. History shows that the stocks that go on to make the biggest gains typically have an 80 or higher RS Rating as they launch their biggest price moves. See if Alphabet can continue to rebound and clear that threshold. See How IBD Helps You Make More Money In StocksAlphabet is trying to complete a consolidation with a 1,186.99 buy point. See if the stock can clear the breakout price in volume at least 40% above average. The company posted 28% earnings growth in the latest quarterly report, while sales growth came in at 26%. Alphabet holds the No. 8 rank among its peers in the Internet-Content industry group. Grubhub (GRUB), Momo (MOMO) and  (SOGO) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:FANG Stocks News: Facebook, Amazon, Netflix, GoogleWhich Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,GOOG,"The Relative Strength (RS) Rating for Alphabet (GOOG) jumped into a new percentile Monday, as it got a lift from 65 to 73. X When you're researching the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique RS Rating tracks technical performance by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. Decades of market research reveals that the top-performing stocks often have an 80 or better RS Rating as they begin their largest runs. See if Alphabet can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksAlphabet is trying to complete a consolidation with a 1,186.99 entry. See if the stock can break out in heavy volume. The company showed 28% EPS growth last quarter, while sales growth came in at 26%. The company holds the No. 8 rank among its peers in the Internet-Content industry group. Grubhub (GRUB), Twitter (TWTR) and YY (YY) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:FANG Stocks News: Facebook, Amazon, Netflix, GoogleIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,GOOG,"On Tuesday, Alphabet (GOOG) got an upgrade for its IBD SmartSelect Composite Rating from 94 to 96. X The revised score means the stock currently tops 96% of all other stocks in terms of key performance metrics and technical strength. Alphabet is currently forming a consolidation, with a 1,186.99 entry. Look for the stock to break out in volume at least 40% above average. See How IBD Helps You Make More Money In StocksThe stock has a 93 EPS Rating, which means its recent quarterly and annual earnings growth tops 93% of all stocks. Its Accumulation/Distribution Rating of C shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn Q1, the company reported 28% earnings growth. Top line growth increased 26%, up from 24% in the prior quarter. That marks one quarter of rising revenue increases. Alphabet holds the No. 8 rank among its peers in the Internet-Content industry group. Grubhub (GRUB), Twitter (TWTR) and YY (YY) are among the top 5 highly-rated stocks within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
3,GOOG,"On Thursday, Alphabet (GOOG) received a positive adjustment to its Relative Strength (RS) Rating, from 63 to 71. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily tracks price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the trailing 52 weeks stacks up against all the other stocks in our database. Decades of market research shows that the best stocks typically have an 80 or higher RS Rating as they launch their biggest price moves. See if Alphabet can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereAlphabet is trying to complete a consolidation with a 1,186.99 buy point. See if the stock can clear the breakout price in heavy volume. The company showed 28% earnings growth last quarter. Sales increased 26%. The company holds the No. 12 rank among its peers in the Internet-Content industry group. Grubhub (GRUB), Baidu (BIDU) and Twitter (TWTR) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:FANG Stocks News: Facebook, Amazon, Netflix, GoogleStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,GOOG,"The Relative Strength (RS) Rating for Alphabet (GOOG) entered a new percentile Monday, as it got a lift from 69 to 73. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique RS Rating identifies market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the trailing 52 weeks compares to other publicly traded companies. Over 100 years of market history shows that the best stocks tend to have an RS Rating north of 80 as they begin their largest price moves. See if Alphabet can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereAlphabet is trying to complete a consolidation with a 1,186.99 buy point. See if it can clear the breakout price in volume at least 40% above average. The company reported 28% EPS growth in its most recent report, while sales growth came in at 24%. Keep an eye out for the company's next round of numbers on or around Apr. 27.The company holds the No. 11 rank among its peers in the Internet-Content industry group. Grubhub (GRUB), 58.com (WUBA) and YY (YY) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:FANG Stocks News: Facebook, Amazon, Netflix, GoogleStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,GOOG,"You'd think one of the oldest mutual funds would have figured out by now how to beat its benchmark on a consistent basis. And you'd be right. The $55.7 billion T. Rowe Price Growth Stock Fund (PRGFX) notches top results by holding leading growth stocks like Amazon.com (AMZN), Booking Holdings (BKNG), Alibaba Group Holdings (BABA), Microsoft (MSFT) and Google parent Alphabet (GOOGL).Growth Stock Fund, which opened in April 1950, has beaten the S&P 500 Index for the one-year, three-year, five-year, 10-year, and 15-year annualized periods as of May 31 of this year, according to Morningstar.com. Since inception, the fund has posted an average annual return of 11.06% through May 31. That compares to an 11.3% return for the S&P 500. In the first five months of this year, the fund was up 8.54% vs. the S&P's 2.02%, and 6.73% for the large-cap growth mutual funds that are its direct rivals.Joe Fath, who's managed the fund since 2014, says holdings like Amazon, Booking, Alibaba, Microsoft and Alphabet share one key trait. ""We're looking for innovative disruptors,"" Fath said. ""It's a unique time. We're going through a powerful information revolution. Massive platform businesses are being built on top of powerful technology, and building a powerful network effect between users and platforms.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFath seeks large-caps that can become megacaps because their growth is accelerating on a very big base of business.""Google is a good example of that,"" Fath said, referring to Google's parent Alphabet. ""They've been able to grow their top line 20% (annually) for a long period of time and that continues even as the company becomes much larger. The other big thing is they don't rest on the profit pool they've created. They continue to invest and break down barriers to new areas.""So far this year, Alphabet is up about 9% while Amazon is up about 46%. Gains by Alibaba, Booking and Microsoft range in between.The fund is large-cap focused, all $10 billion or more, mostly domestic with only 8% in foreign stocks as of March 31. Still, the fund has additional international exposure through its large-cap U.S. stocks, many of which have multinational operations.To bring a stock into the fund, Fath needs to see double-digit growth in earnings and free cash flow year-over-year.Fath assesses a company's total addressable market by asking: Is it in an area ripe for disruption? Who are the new entrants? He looks for stocks where the market under-appreciates the speed, pace and durability of a company's growth.Online retailer Amazon is the fund's top holding because it's the ""perfect example"" of the innovative disruptor.""It's going into many different directions at the same time and disrupting many different parts of the marketplace,"" Fath said.The biggest area is e-commerce, driven by its Prime membership. The second is its cloud offering, Amazon Web Services. But it has other irons in the fire. The two biggest are advertising and hardware. Amazon is doing more advertising for third-party merchants that use Amazon as their storefront. It's also moving into home devices with the Alexa speaker system to compete with Google and Apple (AAPL).Fath said Booking, the online travel agent that runs Booking.com, has a powerful business model. He said it's accumulated an inordinate amount of supply in Europe by adding a lot of branded and independent hotels, as well as alternative vacation homes and bed-and-breakfasts.He said it's put pressure on aggregator travel sites such as Trivago by being more efficient with its marketing spend to drive people to its own site.Another big holding is Alibaba, the Chinese e-commerce giant. Fath said it has probably one the best business models and is very cash-flow generative. It's at the epicenter of taking advantage of China's rising middle class, which can buy more and more goods and services.Intuitive Surgical (ISRG) has seen its shares rise more than 60% over the past year. First-quarter earnings per share jumped 43% as revenue and profits topped expectations. The company makes the robotic da Vinci Surgical System. Its profitability is based on the classic razor-razor blade business model. It makes money on its robotic surgical system, then creates a recurring revenue stream with additional profits through sales of service contracts and disposable items like surgical blades and other instruments and accessories.Fath also likes Nike (NKE), which has been out of favor as competitor Adidas (ADDYY) hustled its way to a resurgence in the U.S. He said Nike is beginning to ramp up its innovation engine, and will soon pump up a number of products, including its React sneaker line. Going forward, Fath said, ""We feel very good about the fundamentals.""YOU MAY ALSO LIKE:You Need This Much Retirement Savings At Your Age And IncomeNew ETF Aims To Provide A steady 7% Annual Distribution Rate
"
6,GOOG,"In a welcome move, Alphabet (GOOG) saw its Relative Strength Rating improve from 70 to 77 on Monday. X IBD's proprietary rating tracks price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the best stocks typically have an RS Rating north of 80 as they launch their biggest price moves. See if Alphabet can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksAlphabet has climbed more than 5% past a 988.35 entry in a first-stage flat base, meaning it's now out of a proper buy zone. Look for the stock to offer a new chance to get in like a three-weeks tight or pullback to the 50-day or 10-week moving average. The company showed 28% earnings growth in its most recent report. Sales increased 24%. Alphabet earns the No. 6 rank among its peers in the Internet-Content industry group. Autohome (ATHM), Facebook (FB) and Grubhub (GRUB) are among the top 5 highly rated stocks within the group.RELATED:FANG Stocks News: Facebook, Amazon, Netflix, GoogleWhich Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,GOOG,"This year's top-performing U.S. diversified stock funds have regained or are very close to retaking their 50-day moving averages, thanks to Friday's market rebound.Though four small-cap exchange traded funds made the list of biggest year-to-date gainers through May 2, large caps still dominated. With the exception of one midcap ETF, First Trust Dorsey Wright Dynamic Focus 5 (FVC), the rest were big-cap names.PowerShares S&P 500 Pure Growth (RPG) topped the list with a 4.5% return, according to Morningstar Direct. The ETF tried to recaptured its 50-day line Friday as it works on a base with a potential 117.44 buy point. The $2.4 billion fund, which tracks the S&P 500 Pure Growth Index Total Return, provides access to S&P 500 stocks exhibiting strong growth traits. Growth is measured based on sales growth, earnings change to price and momentum.Information technology accounted for the biggest sector weighting at nearly 40% of assets, health care 21%, consumer discretionary 15%, and financials 9%. Top holdings as of May 3 included Netflix (NFLX), Adobe Systems (ADBE), Red Hat (RHT), Amazon.com (AMZN) and Nvidia (NVDA). Apple (AAPL) is also in its portfolio.PowerShares QQQ Trust (QQQ), which tracks the tech-heavy Nasdaq 100 Index, came in second with a 4.1% year to date gain. The $59.8 billion fund reclaimed its 50-day line Friday, powered in part by a 4% jump by Apple, its biggest component. Apple, now on IBD's Leaderboard, soared twice during the week: Friday after billionaire investor Warren Buffett said he added to his Apple stake in Q1, and 4% Wednesday after an earnings and sales beat. Amazon, Microsoft (MSFT), Facebook (FB) and Alphabet (GOOG) rounded out the top five.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn third place: iShares S&P Small-Cap 600 Growth (IJT), with a 3.6% year to date return. The $5.4 billion ETF also regained its 50-day line on Friday. It's 2% off its March 13 intraday peak. Top holdings as of May 1 included hospice care provider Chemed (CHE), pawnshop operator FirstCash (FCFS) and Stamps.com (STMP).Another small-cap, iShares Russell 2000 Growth (IWO), was just behind with a 3.5% year to date gain. Shares are now back above their 50-day line. The $9.5 billion fund's top holdings include biotech Nektar Therapeutics (NKTR), Grubhub (GRUB) and software maker Aspen Technology (AZPN).YOU MAY ALSO BE INTERESTED IN:6 Ways To Win From Apple's Earnings, Buffett News And Breakout5 Key Ways To Profit From Alibaba's Earnings, Other China StocksAccess AI And Beat The Market With Hot Tech Stocks Like Microsoft
"
8,GOOG,"If you like the FANG stocks, you'll love First Trust Dow Jones Internet (FDN), which counts Amazon (AMZN), Facebook (FB) and Netflix (NFLX) as its top three holdings.The $7.2 billion fund, which tracks the Dow Jones Internet Composite Index, is testing support at its 50-day moving average. A strong move above the line could set up a buy opportunity, but all purchases are particularly risky with the market uptrend under pressure.FDN has built a new base. Possible buy points are at either a 127.75 handle or at 132.09, which is the left-side high plus 10 cents. Investors should watch action near the handle. If volume is weak as it crosses the handle, then the potential entry would shift to the left-side high.The ETF's 86 relative strength indicates it's beating 86% of all other funds tracked by IBD. FDN is outperforming the market with a year-to-date gain of 13% vs. the S&P 500's 1% loss through May 2.According to Morningstar Inc., FDN also leads over the long haul with average annual returns of 23.2%, 23.6% and 17.8% over the past three, five and 10 years, respectively. The S&P 500's gains are 10.3%, 13.2% and 8.9% over the same periods.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseInformation technology represented the biggest sector weight as of May 1 at nearly 69% of assets. Consumer discretionary was next at 21% and financials 6%. Telecommunication services and health care made up the rest. Companies making the index must generate at least 50% of their annual revenue from the internet. They must also be trading for at least three months, have a three-month average market cap of at least $100 million, a three-month average closing price above $10 and sufficient liquidity.The top 10 names, which include the FANG stocks mentioned above, plus Alphabet (GOOG) (GOOGL), Salesforce.com (CRM) and PayPal (PYPL), make up 52% of the 42-stock portfolio. Amazon and Netflix are members of the IBD Leaderboard list of elite stocks. They have enjoyed relative gains of 34% and 63% this year. Both stocks are near all-time highs.Netflix is also an IBD Sector Leader, along with GrubHub (GRUB) and Arista Networks (ANET), which are also among the fund's holdings. GrubHub suffered an 8% drop May 1 after its Q1 earnings topped analyst estimates but its sales missed views. Shares of the food ordering service recouped 4% Wednesday. They were still up more than 30% year to date through that day's close.YOU MAY ALSO BE INTERESTED IN:Chile, Argentina Investing Suddenly Looks BetterFrontier Markets Emerge As An Option While Major Indexes FlounderIf You Like Apple, You'll Love These 6 Market-Beating Stock PlaysETF Investing Videos
"
9,GOOG,"Key stock index funds extended their gains as Apple (AAPL), Amazon (AMZN) and Alphabet (GOOG) boosted the tech-heavy QQQs.X PowerShares QQQ Trust (QQQ) rose 0.6%. SPDR Dow Jones Industrial Average (DIA) advanced 0.4%, and SPDR S&P 500 (SPY) added 0.5% in the stock market today. Emerging markets and small caps underperformed.QQQ notched a fifth straight up session. Big-cap techs on the move included Amazon and Alphabet, which also extended their win streaks to five days. Amazon gained 0.4% and Alphabet 1.3%. Apple rose 1.1%, ending two sessions of losses. The iPhone maker's shares remain between its 50-day moving average and the 180 level, where it's been stuck the past three weeks.Utilities, consumer staples and health care led the upside among sector funds. Health Care Select Sector SPDR (XLV) advanced 0.6% as it heads back up near its 50-day moving average. Top-five components Johnson & Johnson (JNJ) and Pfizer (PFE) were among the Dow's top gainers. Express Scripts (ESRX) popped 8% on news that health insurer Cigna (CI) will acquire the pharmacy benefit manager for $67 billion.Metals miners, banks and retail lagged. SPDR S&P Metals & Mining (XME) fell 2% as it continues to test support at its 50-day line.Apple, Amazon and Facebook (FB) are the top three names held by a big-cap growth fund that's setting up a possible buy opportunity.Like similar ETFs featured recently, Schwab U.S. Large-Cap Growth (SCHG) remains above its 50-day moving average after retaking the line on Monday. This puts the fund in a potential buy zone — though it's important to note that all purchases are at higher-than-normal risk with the market uptrend under pressure.The ETF also is forming a base with a potential 76.93 buy point.Shares advanced 17% from a late September bounce off the line to their Jan. 26 high. They then fell as much as 11% during the February correction, before recovering some of the losses to consolidate near the 50-day line.The $5.6 billion fund, which tracks the Dow Jones U.S. Large-Cap Growth Total Stock Market Index, marked its eighth anniversary in December. It offers market-cap-weighted exposure to big-cap equities that exhibit growth traits.Information technology represented nearly a third of total assets as of Tuesday, at 33%. Consumer discretionary was next at 20%, health care 16%, industrials 11% and financials 9%. Real estate, consumer staples, energy, materials and telecommunication services each made up less than 4%.Use IBD's MarketSmith For Free Until March 11
"
