,ticker,content
0,GWW,"Breakouts don't always work. That doesn't mean the stock is automatically a failure.The failures start when a stock clears a proper buy point, then falls back more than 8% below that mark. This triggers the golden sell rule: Get out no deeper than 8% below your purchase price.But then what?Keep in mind that a failed breakout doesn't necessarily signal a failed stock. Many stocks with solid fundamentals recover, retake buy points and make winning runs. In some cases, the stock was ready to rally, but the market was not. Remember, breakouts tend to work better when the general market is in a confirmed uptrend.W.W. Grainger (GWW), a maintenance and industrial supplies distributor, has been in an uptrend since July 2009.The base, begun in July 2011, was V-shaped (1) and featured heavy selling on the left side. Poor characteristics.Grainger still managed to form a handle with a 156.95 buy point and broke out in strong trade Sept. 13 (2). The stock climbed for three days, then hit a peak of 165.55 and reversed. Over the next several days it dove more than 8% below the buy mark.In the process, it carved through its 50-day moving average in strong trade. But it also found firm support at its 200-day moving average (3).Buyers who got burned by the faulty breakout may have gone looking for other candidates into which to rotate cash. But Grainger proved it wasn't yet a goner. Let's say you've done your homework on the stock. If it has leadership-grade fundamentals, there's no harm in keeping an eye on it.A rebound from support at the 200-day line and a rise back through the prior base's 156.95 buy point put Grainger back in play.In the meantime, keep tabs on signs of heavy accumulation. Up days in higher volume and closes that are in the top half of the trading range suggest that institutions may be quietly at work, picking up shares.Grainger closed at the top of its trading range for the first three days above 200-day support (4). Volume rose on the first and third days, too. Good signs. It retook the buy point Oct. 12 in mild volume. Not yet a buy.Four trading sessions later, Grainger stormed past the 156.95 buy point in the original cup with handle on Oct. 18 with a 7% gain in nearly double its average trade (5). It climbed 41% in just five months, giving investors plenty of chances to sell on the way up for an excellent short-term gain.(Editor's Note: A version of this story originally ran in the Jan. 19, 2012, edition of IBD. To read more Investor's Corner columns or to learn more about the IBD investment method, please search within the ""How To Invest"" section at Investors.com.)Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Sector Leaders, IBD's Most Stringent Stock ScreenGlobal Stock Market LeadersWhen To Sell Growth Stocks: What Is ""Living Below The 10-Week Moving Average""?What Does IBD Mean By ""The Proper Buy Point?""
"
1,GWW,"Industrial supplies distributor HD Supply (HDS) reported better-than-expected first-quarter earnings and sales before Tuesday's open. HD Supply also gave guidance that was in line to slightly above analyst consensus.XEstimates: Earnings per share of 63 cents a share, flat vs. a year ago, on revenue of $1.35 billion, down 28%, according to Zacks Investment Research.Results: EPS rose to 70 cents while revenue hit $1.39 billion.Outlook: For the second quarter, HD Supply sees net sales of $1.535 billion to $1.595 billion, with adjusted EPS of 92-97 cents. The consensus is for revenue of $1.5 billion and EPS of 92 cents.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFor the full year, the company expects revenue of $5.82 billion to $.5.94 billion and EPS of $3.11-$3.27, with a midpoint of $3.185. Analysts see sales of $5.891 billion and EPS of $3.16.Stock: Shares rose 4.15% to 43.16 on the stock market today. HD Supply had been in buy range from a 40.62 bottoming base buy point. The stock hit a record 44.73 in February 2017. HD Supply stock has a solid IBD Composite Rating of 91 out of a best-possible 99.As for other industrial suppliers, W.W. Grainger (GWW), MSC Industrial (MSM) and Fastenal (FAST) rose 0.8%, 0.6% and 1.5%, respectively.W.W. Grainger crushed earnings views and boosted guidance in April. Grainger's shares are now extended from a post-earnings breakout past 292.57.Also that month, Fastenal reported higher Q1 earnings and sales, but only met analyst views. And MSC Industrial topped earnings estimates, while also giving a positive outlook on the overall manufacturing climate.YOU MIGHT BE INTERESTED IN:These Four IBD 50 Stocks Are In Buy Range NowHow To Invest In Stocks For Free: New Apps Aim For BeginnersLooking For The Best Stocks To Buy And Watch? Start HereAmazon-Resistant Retailer Expecting 120% Growth Nears Buy ZoneThis Top IBD 50 Stock Beats Earnings Estimates, Lifts Guidance 
"
2,GWW,"Fastenal (FAST) reported higher first-quarter earnings and sales early Wednesday, but only met analyst views. Investors weren't happy, sending shares of the construction supply giant sharply lower.Earnings per share rose 33% to 61 cents, matching the Zacks Investment Research. Revenue rose 13% to $1.186 billion, right on the Zacks consensus.The Nasdaq-listed Fastenal fell 6.2% to 51.05 on the stock market today. Fastenal currently holds an IBD Composite Rating of 96, putting it in the top 5% of stocks. The construction supplies company currently sits in second place in the Retail/Wholesale-Building Products industry group. Floor & Decor (FND), which is a hardwood floorings retailer, is the top-ranked stock within the group.Fastenal joined the exclusive list of stocks that have a RS Rating of 80 or higher last week, meeting the criteria with a score of 81. History reveals that the best-performing stocks often have an RS Rating north of 80 in the early stages of their moves.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe stock broke out in mid-March, but is now trading below the prior 57.91 entry from a flat base. The breakout has failed, and when that happens it is best to wait for a new base to take shape.Fastenal resells industrial, safety, and construction supplies. It has more than 2,600 branches throughout the U.S., Canada, Mexico and Europe.On Tuesday, industry peer MSC Industrial Direct (MSM) topped earnings estimates, with the industrial equipment distributor giving a positive outlook on the overall manufacturing climate. MSC stock rose 0.1% on Tuesday after popping intraday. MSC stock fell 4% to 88.17 Wednesday.Maintenance products distributor W.W. Grainger (GWW) briefly cleared a 292.57 buy point before retreating last Friday. Grainger stock, which flirted with that entry on Tuesday, retreated 4.4% to 279.17.YOU MAY ALSO BE INTERESTED IN:MSC Industrial Direct Earnings Top In Positive Sign For Manufacturing New Option Strategy Limits Risk Around EarningsHow To Trade: Deciphering The Cup With Handle 
"
3,GWW,"MSC Industrial Direct (MSM) topped earnings estimates Tuesday morning as the industrial equipment distributor gave a positive outlook on the overall manufacturing climate.MSC Industrial  earned $2.06 a share in its fiscal second quarter. But excluding the impact of the recent Trump tax cuts, the company earned $1.04 a share, up 12% vs. a year earlier.However, the company argued that the best earnings figure was $1.34. That excludes a one-time provision tax benefit but includes the benefit from the ongoing lower tax rates. Several analysts agreed that $1.34 was the EPS figure to focus on.Wall Street had expected EPS of $1.30, according to Zacks Investment Research.Revenue climbed 9.3% to $769 million, slightly above views for $768 million.For the current third quarter, MSC Industrial sees revenue of $820 million to $835 million. Excluding a recent DECO acquisition, sales should be $789 million to $803 million. Analysts expect sales of $826 million, though it's unclear if the Zacks estimate includes DECO's contribution.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseMSC sees Q3 EPS of $1.37-$1.43, with or without DECO, vs. Wall Street's forecast for $1.43.Shares gave up most gain, closing up less than 0.1% at 91.81 on the stock market today after rising to 96.58 soon after the opening bell. The stock has built a 59-week cup-with-handle base with an entry of 100.04. MSC Industrial Direct has a solid IBD Composite Rating of 81, putting it in the top 20% of stocks tracked.MSC Industrial Direct is one of the world's largest industrial equipment distributors. The company has headquarters in Melville, New York, and Davidson, North Carolina. Its results and commentary could give some insight into the current state of the homebuilding, commercial construction and industrial markets.""The manufacturing environment in the second fiscal quarter remained firm, and customer outlook remained positive,"" CEO Erik Gershwind said. ""The pricing environment also continued to improve,"" letting MSC hike prices in January.Meanwhile construction supplies chain Fastenal (FAST) reports quarterly earnings Wednesday. Fastenal briefly broke out of a short base in mid-March but sold off too far, making the buy point invalid. Its stock rose 1.4% to 54.42.Maintenance products distributor W.W. Grainger (GWW) briefly cleared a 292.57 buy point before retreating last Friday. Grainger shares climbed 1.9% to 292.00.YOU MAY ALSO BE INTERESTED IN: Two Of The Most Powerful Men In The World Will Drive Markets Tuesday Still Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain Stock How To Trade: Deciphering The Cup With Handle 
"
4,GWW,"The stock market correction continues to linger, but more and more top stocks are near buy points should the market follow through to the upside. X Retailers continue to emerge as market leaders amid the market's weakness. Top retail stock Ollie's Bargain Outlet (OLLI) initially fell 9.5% Thursday after weak revenue guidance, but shares rallied well-off those lows to…
"
5,GWW,"Here's your Investing Action Plan for Tuesday: what you need to know as an investor for the coming day. Two of the most powerful people in the world will make historic addresses Tuesday. Facebook (FB) CEO Mark and China President Xi Jinping. X Facebook's Zuckerberg is set to testify before Congress for the first time amid outcry…
"
6,GWW,"S&P 500 stock W.W. Grainger (GWW) re-entered a buy zone after the industrial supplies retailer and distributor crushed on earnings and issued sunny guidance Thursday.W.W. Grainger's Q1 EPS shot up by 45% to $4.18 per share. This was far ahead of analyst views for $3.41 according to Zacks Investment Research.In addition, the distributor of maintenance and repair supplies saw revenue swell 9% to $2.766 billion, which was modestly above views for $2.701 billion.Earnings and sales growth were the best in years, both accelerating for the past two quarters. Grainger provides an indication about the health of the manufacturing and industrial sector.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseShares rose 5.3% to 299.88 on the stock market today, reclaiming a 292.57 buy point from a cup-with-handle base, MarketSmith analysis shows.The stock is currently ranked 9th in the Retail/Wholesale-Building Products Group. Leader Floor & Decor (FND) was down 0.6%, industrial distributor HD Supply (HDS) dipped 0.3% and Applied Industrial Technologies (AIT) inched down 0.1%. Construction supplies giant Fastenal (FAST) fell 0.2%.Grainger has a decent IBD Composite Rating of 85, which puts it in the top 15% of stocks tracked. Its relative strength line is near a 12-month high and it is trading above its 50-day line, a key technical support level.While the S&P 500 index has increased by a bit more than 1% in the last 12 months, the distribution giant's stock has soared 44%.In its earnings release the company guided its 2018 sales and earnings per share upwards for the year. It expects sales growth of 5% to 8% and EPS of $14.30 to $15.30.This is better than the previous 2018 guidance issued in January, which predicted sales growth of 3% to 7% and EPS of $12.95 to $14.15. Analysts had seen full-year EPS at $13.82.Earlier this month Fastenal reported higher first-quarter earnings and sales, but only met analyst views. Investors were not happy, sending shares of the construction supply giant sharply lower.W.W. Grainger's revenue generally comes from business-to-business rather than retail sales.It serves more than 3 million customers through its network of almost 600 branches, online channels and 33 distribution centers.YOU MAY ALSO BE INTERESTED IN:Fastenal Falls As Construction Supply Giant Earnings Just Meet Views  How Many IBD 50 Companies Will Post 40%-Plus Earnings Growth? Homebuilder Stocks To Watch And Housing Market NewsBullish Chart Patterns: Do You Know The Basics Of A Cup With Handle?
"
7,GWW,"On Thursday, Grainger (GWW) received a positive adjustment to its Relative Strength (RS) Rating, from 70 to 90. X IBD's proprietary RS Rating measures market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. History reveals that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 as they launch their largest climbs.See How IBD Helps You Make More Money In StocksGrainger is now considered extended and out of buy range after clearing a 240.59 buy point in a first-stage cup with handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 20%, compared to -5% in the prior report. Revenue increased from 2% to 7%. The company earns the No. 12 rank among its peers in the Retail/Wholesale-Building Products industry group. Floor & Decor (FND), Fastenal (FAST) and Lowes Companies (LOW) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,GWW,"U.S. stock indexes were mixed midday Wednesday, as a fourth consecutive up session, especially for the Nasdaq composite, looked unlikely. Volume was running higher on both major exchanges.X Blue chips led the pack as the Dow Jones industrial average advanced 0.2%. The S&P 500 and the Nasdaq followed with losses of less than 0.1% and 0.5%, respectively.Among IBD's 197 industry groups, airline stocks were the worst performers. The airline stocks fell on fears of a price war.The day's best performer was the retail building products group.Maintenance products provider W.W. Grainger (GWW) gapped up 15% in torrid turnover, marking a 52-week high.The big-cap stock cleared a 240.59 buy point in a cup-with-handle pattern. Grainger reported quarterly results that trounced the Street's consensus estimate. Earnings rolled in at $2.94 a share, up 20% year over year and 33% higher than expected. Revenue rose about 7% vs. views for a 1% gain. The 7% revenue gain was the best in 13 quarters, according to William O'Neil + Co. data.W.W. Grainger achieved the beats on revenue and earnings despite closing 98 branches in 2017. The company said an 11-percentage-point increase in sales volume was the key driver behind the revenue gain.Other stocks attempting breakouts midday Wednesday included cruise operators Carnival (CCL) and Royal Caribbean Cruises (RCL), defense contractor General Dynamics (GD), wood products REIT Weyerhaeuser (WY), gold miner Agnico Eagle Mines (AEM), wood products company Louisiana-Pacific (LPX), China online retailer JD.com (JD), Brazil bank Banco Bradesco (BBD), and regional bank Western Alliance Bancorp (WAL).Housing-related news was abundant.The Mortgage Bankers Association reported mortgage applications rose 4.5% vs. 4.1% in the previous week. The Federal Housing Finance Agency home price index increased 0.4% in November vs. views for 0.5%. Existing-home sales for December rolled in at a 5.57 million annualized rate vs. the consensus view for 5.75 million.Meanwhile, the flash composite Purchasing Managers Index for January was pegged at 53.8 vs. views for 54. The gauge reflects data from about 1,000 manufacturing and service sector companies.RELATED:Is This IPO Following In Facebook's Footsteps?Defense Q4 Earnings: Expect Some NoiseBulls Will Sometimes Trample A Bearish Signal
"
9,GWW,"Over the last three months, the best mutual funds have been buying shares in medical stocks like Abiomed (ABMD), Boston Scientific (BXS) and UnitedHealth (UNH). They've also continued to go shopping for retailers like Macy's (M), Dollar General (DG) and T.J. Maxx parent TJX (TJX).Seventy stocks made the latest list of new buys by the top performing funds in the past three months. Twelve hail from the medical sector, while 11 come from the retail industry. As noted last month, leading fund managers have been showing renewed interest in brick-and-mortar retailers like TJX, Macy's, Kohl's (KSS) and W.W. Grainger (GWW), all of which also earned a spot on the latest list.Nineteen mutual funds scooped up an estimated $33 million of shares in fellow retail sector stock and car-auction firm Copart (CPRT). The IBD 50 stock was recently added to the S&P 500, replacing Dr Pepper Snapple Group (DPS).Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFive stocks garnered over $100 million each in new investments by the top funds. Adobe Systems (ADBE) (26 funds invested approximately $255 million) and UnitedHealth (32 funds, $230 million invested) topped the list.Railroad giant CSX (CSX), building products retailer Grainger and medical products makers Abiomed and Boston Scientific also joined the $100 million-plus club.Given the recent volatility in the general market, it's not surprising that several stocks on the list are testing support or forming new chart patterns. Adobe, Macy's, Copart, CSX, Abiomed and several others are testing their 10-week moving averages. See if fund managers step in to protect and add to their positions at that bench mark line. After successfully testing support at its 10-week line, UnitedHealth has bounced back into buy range.Discount retailer Dollar General is working on an early stage consolidation showing a 105.92 buy point. The stock's A- Accumulation/Distribution Rating and 1.5 up/down volume ratio further indicate demand for shares.TJX, which operates over 4,000 T.J. Maxx, HomeGoods, Marshalls and Sierra Trading Post stores, has been trading within a very narrow price range. A break above the peak in that formation in heavy volume could offer an add-on buying opportunity.Specialty paint manufacturer RPM International (RPM) bolted past a 56.79 entry on June 28. The move came as the company announced a new deal with Elliott Management to boost efficiencies and shareholder value. RPM has managed to hold the bulk of those gains.Electronic components maker Kemet (KEM) recently jumped past a 25.79 entry in a deep and later-stage cup with handle. The IBD 50 stock went on a massive run from a low of 1.34 in February 2016 to a high of 27.35 in October 2017. After a sharp decline following that move, Kemet has rebounded and now sports an A- Accumulation/Distribution Rating and 2.0 up/down volume ratio. Note how the 10-week line is now back above the longer-term 40-week moving average — a sign of renewed technical strength. Kemet is now out of buy range.Oil and gas stock Rowan (RDC) topped the list of stocks being sold with 14 net sellers (19 funds selling minus five buying). Vishay Intertechnology (VSH), which makes transistors, diodes and capacitors, was the only other stock in double-digits, with 10 net sellers (16 selling minus six buying).Despite that selling, Vishay has shown resilience. The stock remains 16% above a recent 22 buy point. Rowan is showing more volatility as it tries complete a cup with handle showing a 17.23 entry.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Facebook, Nvidia, Netflix Reveal 3 Key Stock-Picking TipsLooking For The Next Breakout Stocks? Start With These S&P 500-Beating ListsIs It Time To Get Into — Or Out Of — The Stock Market?
"
