,ticker,content
0,HFC,"On Monday, Hollyfrontier (HFC) got an upgrade for its IBD SmartSelect Composite Rating from 94 to 96. X The new score indicates the company is now outperforming 96% of all stocks in terms of the most important fundamental and technical stock-picking criteria. The best stocks tend to have a 95 or better grade as they kick off a significant move so be sure to keep that in mind when looking for the best stocks to buy and watch. Hollyfrontier is currently forming a cup without handle, with a 53.31 entry. See if the stock can break out in heavy trade at least 40% above average. Looking For Winning Stocks? Try This Simple RoutineOne weak spot is the company's 71 EPS Rating, which tracks quarterly and annual earnings growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of A- shows heavy buying by institutional investors over the last 13 weeks. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company reported a 1,267% earnings gain for Q4. It has now posted accelerating EPS growth for four consecutive quarters. Sales growth increased 35%, up from 31% in the prior report. That marks two quarters of rising growth. Hollyfrontier earns the No. 2 rank among its peers in the Oil & Gas-Refining/Marketing industry group. Delek US Holdings (DK) is the top-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?See Which Stocks Just Came On — And Off — IBD's Top Stock Lists
"
1,HFC,"After missing out on the 2017 stock market rally, the energy sector is having a better 2018, and now several oil ETFs are providing some of the opportunities that eluded them last year.First Trust Energy AlphaDEX (FXN) is trying to capitalize on the new trend with a portfolio of nearly 50 stocks in oilfield services, refinery, production, drilling and related companies.IBD's international oil exploration and production industry group — where four of the ETF's stocks reside — has climbed about 9% year to date.More than 20 of the companies in First Trust Energy AlphaDEX are part of IBD's U.S. exploration and production industry group, which is up about 8%. Refineries and gas stations (seven in the ETF) are up about 8% as a group and include some of the ETF's best picks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseHollyFrontier (HFC) has rallied about 45% since April 5, when the stock broke out to new highs. PBF Energy (PBF) also broke out in early April and is up nearly 24% from a 37.11 buy point.IBD's energy sector is up about 5% year-to-date after finishing 2017 barely 1% higher, missing out on most of the S&P 500's 19.4% gain. To be sure, the sector's returns lag software, semiconductors, internet, apparel and other sectors.Energy stocks also are sensitive to the price of crude oil and, to a lesser extent, natural gas, which adds an element of risk that is lacking in other sectors. On Friday and Saturday, the energy sector faces potential volatility as OPEC and other major oil producers meet to discuss output targets.First Trust Energy AlphaDEX's performance has roughly correlated with the price of U.S. crude, and both are up almost the same in 2018. The connection to oil prices is a big reason why the ETF has underperformed in the long term. Through the end of March, the ETF was down 10.8%, 7.3% and 3.6% in three-, five- and 10-year periods.The $389.6 million fund has about a 9% gain for the year, and it is finding support in a pullback to the 50-day moving average. This leaves shares in a buy area, one in which it's best to buy as close as possible to the 50-day average (now around 16.30).First Trust Energy AlphaDEX uses a selection methodology that grades stocks on three-, six- and 12-month price performance, one-year sales growth, certain valuation factors, and other items. All stocks are chosen from the Russell 1000, which makes the fund primarily a mid- and large-cap asset. The median market capitalization for all holdings is $11.9 billion.RELATED:Best Oil Stocks: Top Oil And Gas Producers Make Case For More GainsU.S. Crude Inventories Fall, Output Flat; Iran, Saudi Arabia Clash LoomsEnergy Stocks And Industry News: Oil, Gas, Solar, Coal
"
2,HFC,"More than $1 billion a day. That's the price tag for a Permian Basin pipeline crunch that's increasingly affecting investors as much as it is West Texas oil drillers.Eight of the top explorers focused on the booming U.S. shale region have lost $15.6 billion in combined market value in about two weeks, as shipping constraints devour the profit they can fetch for a barrel of crude. Parsley Energy (PE) shares have wilted 16% in that time; Diamondback Energy (FANG) has been defanged, down 18%.Even as production soars, dwindling pipeline space and a rail and trucking shortage have raised shipping costs, boosting the discount Permian producers take to offload their oil. The bottleneck benefits refiners who can buy cheaper crude and pipeline owners with extra space, but it's dragging down explorers.""You just don't want to touch these Permian names,"" said Gabriele Sorbara, a Williams Capital Group analyst in New York. ""They are falling off a cliff.""Relief may not come until 2020, when new pipelines are expected to be up and running. For now, here's a rundown of winners and losers amid the space crunch:Being a ""pure play"" shale producer, even a Permian stalwart, is no longer the ticket to success for energy equities.Since May 21, the price of benchmark West Texas intermediate crude has fallen about 10% and companies focused primarily on the Permian have been shunned. The hardest fall: Concho Resources (CXO), which has lost $4.1 billion off its market capitalization as of Tuesday.As of Wednesday, oil in Midland, Texas, was trading for about $19 a barrel below Brent crude, the global benchmark price.Even Pioneer Natural Resources (PXD), with relatively strong finances and secure pipeline contracts, has been swept up, Williams Capital's Sorbara said by phone. It's lost $3.2 billion in market value, or 9%, since May 21.While the shortages are real, he deems much of the market sell-off ""overblown,"" since even discounted Permian crude is selling for well above where many producers set their budgets earlier this year.Investors, though, are fleeing to the relative safety of larger names with more diverse portfolios such as Occidental Petroleum (OXY), whose shares are flat over the past couple weeks. The Permian's biggest oil producer also pumps in the Middle East and Colombia, with roughly 40% of its output this year based on higher international crude pricing, Capital One Securities said in an analyst note.The company also operates pipelines and a Gulf Coast export terminal that will benefit from cheaper U.S. crude prices. ""The largest companies or companies with diverse portfolios can rotate capital around,"" Sorbara said. ""If you're a pure play, the only thing you can do is step on the brakes.""With bottlenecks between the Permian and major Gulf Coast refiners, operators in other parts of the country served by less-congested pipelines have a relative advantage, analysts say.That includes Delek US (DK), CVR Refining (CVRR) and HollyFrontier (HFC), with refineries in New Mexico, Arkansas and northeastern Texas, among other locations, according to Barclays. Delek gets about 78% of its crude from the Permian, HollyFrontier gets 39% and CVR gets 14%, the bank said in a June 5 analyst report.Delek shares have climbed 7.5% in the past two weeks while CVR is up 3.3% and HollyFrontier is up 1%.""Simply put, we think U.S. refiners win big with lower input costs,"" analysts including Justin Jenkins at Raymond James & Associates said in a June 4 note.Enterprise Products Partners and Magellan Midstream Partners also stand to benefit from the blowout in Midland prices as they own crucial pipelines in the Permian and dock space on the Gulf used for exports — and have plans to add more.""The very idea of congestion is beneficial,"" said Sandy Fielden, director of oil research at Chicago-based Morningstar. ""If I'm going to pitch my new pipeline or expand my pipeline, and I'm going to hold my open season, I can expect to see a full crowd there anxious to sign up quickly.""Enterprise started full service in April on its 416-mile Midland-to-Sealy pipeline, which can carry some 575,000 barrels per day of crude from the heart of the Permian to key export facilities in Houston. They also own the lion's share of crude storage tanks and docks along the Gulf.Magellan operates and owns part of the 400,000-barrel-a-day BridgeTex pipeline, transporting oil from the Permian to Corpus Christi, Texas. That route is scheduled for expansion in early 2019 because of added interest. The company said last month that almost all existing customers on its Longhorn pipeline, connecting the Permian to Houston, have renewed their contracts for two years.
"
3,HFC,"With an oil renaissance underway in the United States, it's a good time to be a refiner, especially when you're HollyFrontier (HFC) and at the forefront of American energy stocks.As favorable economic conditions fatten margins, HollyFrontier's shares are surging. It's sitting in a sweet spot, reaping the benefit of low acquisition costs for crude oil. Yet it sells refined petroleum under a higher pricing standard.""The whole refining space is the beneficiary of a fairly wide spread between Brent crude oil in Europe and the North American-based WTI (West Texas Intermediate) crude oil,"" CFRA analyst Stewart Glickman told Investor's Business Daily.The current pricing dynamic for Dallas-based HollyFrontier is simple. The company says 100% of its purchased crude barrels are WTI-based. That means its local crude acquisition costs are driven off what is now a low WTI price. But once it refines the product and sends it out to customers like Shell (RDSA) — one of its biggest customers — it's able to sell into global markets under the more costly Brent standard under which overseas refiners operate.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseRight now, that gap is roughly $5 a barrel, and Glickman says the spread is widening. That can be attributed to ""fairly good"" compliance with output cuts by OPEC and Russia. Further, U.S. shale production that has ""surprised to the upside,"" Glickman said.Another thing working in HollyFrontier's favor is the location of its refineries, mostly in the middle of the U.S. Analysts say it's unusual compared with other refiners, many of whom are centered in the Gulf Coast region.""Although it's smaller than its Gulf Coast peers, (HollyFrontier's) refineries are competitively well positioned,"" Morningstar analyst Allen Good said in a Feb. 22 report.HollyFrontier operates five refineries across the U.S., located in Wyoming, Utah, Kansas, Oklahoma and New Mexico. In particular, a competitive advantage for HollyFrontier is its proximity to the Canadian border.""Canadian crude is extremely price disadvantaged right now,"" Glickman noted. ""If you are a Canadian producer trying to export your crude to the U.S., there's an awful lot of production and very little take-away capacity.""That results in even lower initial crude prices, and ""that disadvantage for Canada works in HollyFrontier's favor,"" Glickman said.Of the 450,000 to 470,000 barrels per day HollyFrontier refines, some 80,000 to 100,000 barrels of that are from Canada. The other base oil comes from the Bakken shale formation, Permian Basin and other hot shale-drilling spots.HollyFrontier stock broke out of a cup-with-handle base with a 50.60 buy point on April 4. Volume on the breakout was lighter than average, which isn't ideal. Heavy volume on a breakout indicates institutional support.Still, the relative strength line hit a new high before the stock hit a new price high, which is bullish. The line is continuing higher along the run. The relative strength line measures a stock's price performance vs. the S&P 500.Shares are now extended roughly 15% from the buy point, and were flat in Friday trading to near 58.25.While energy stocks have been on a steady climb as of late, oil refining is a ""volatile and competitive"" industry, Glickman said in a March 22 report.For now, that volatility has been to the upside. Crude oil prices hit a more than three-year high of $69 per barrel Thursday. According to S&P Global Platts-owned PIRA Energy Group, the projected price for WTI is $68 per barrel this year and $63 per barrel in 2019.The volatility of the price of crude has an impact on energy stocks. Glickman says, though, it's less important if WTI ""slips a bit"" than if the spread between it and Brent remains high.""As long as that spread remains high, (HollyFrontier) should be fine,"" he said.Morningstar's Good expects the spread ""to remain wider than historical levels (before 2010) when WTI and Brent traded close to par. Ultimately, we think the transportation costs to move light crude from the midcontinent to the Gulf Coast result in a long-term WTI average differential to Brent of $5 per barrel.""HollyFrontier primarily plays in the downstream, or refining, space. Through its majority stake in master limited partnership Holly Energy Partners (HEP), it also has midstream, or transportation and storage, operations.Glickman notes that the MLP model itself is not a concern. But the increasing level of distributable cash flow, which HollyFrontier benefits from as the general partner, could potentially result in Holly Energy Partner's abandonment of the MLP structure.Aside from its relationship with Holly Energy Partners and crude-margin tightening, another potential concern for HollyFrontier is regulatory risk. A new regulation that makes it more difficult for HollyFrontier to obtain, ship or refine product could weigh on margins, Glickman said. But he also noted that risk is ""part and parcel"" for any investment in the oil and gas industry.The shale boom in recent years has no doubt reinvigorated the oil and gas industry in the United States.""Shale has a seat at the big-boy table,"" Maynard Holt, chief executive of energy industry-focused investment bank Tudor, Pickering, Holt & Co., told IBD at the CERAWeek oil and gas conference in Houston earlier this year. ""Shale is here, it's in a politically stable place which just improved its tax regime, where services are plenty, were labor is plenty, where you deal with landowners and not governments. It is arguably the best place on the planet if you're choosing where you want to invest (in the oil industry).""HollyFrontier is seeing a big benefit from corporate tax reform, with its rate shrinking to 21% from 35%.""The reforms to the U.S. tax code encourage capital investments and lower the corporate rate to better enable manufacturers to compete in the global market,"" HollyFrontier Chief Executive George Damiris said during the company's fourth-quarter earnings call on Feb. 21.HollyFrontier is increasing its capital expenditures this year to $450 million from $275 million in 2017. While that is a ""big step up,"" Glickman says this is a ""very acceptable problem"" since the company is generating over $1 billion in cash flow.Another way HollyFrontier could get more competitive vs. other energy stocks would be through an acquisition. But the company is being decidedly conservative on that front.""We've seen a number of deals in 2017 that we participated in the process but didn't end up winning, obviously, otherwise we'd have announced the deal. We're going to continue to look and only pull the trigger when we see value,"" Damiris said on the call.HollyFrontier is set to issue first-quarter results before the open on May 2. The company is expected to swing to a profit of 38 cents a share vs. a loss of 19 cents a share last year, according to analysts with Zacks Investment Research. Revenue is projected to rise 9% to $3.36 billion, a deceleration from the prior quarter's 35% sales growth.YOU MIGHT ALSO BE INTERESTED IN:Energy Stocks And Industry News: Oil, Gas, Solar, CoalStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksCrude Oil Prices Are Up Sharply, But Is The Bakken Shale Play Back?
"
4,HFC,"The stock market correction continues to linger, but more and more top stocks are near buy points should the market follow through to the upside. X Retailers continue to emerge as market leaders amid the market's weakness. Top retail stock Ollie's Bargain Outlet (OLLI) initially fell 9.5% Thursday after weak revenue guidance, but shares rallied well-off those lows to…
"
5,HFC,"Energy is perhaps beginning to gain a larger presence in IBD's new highs list, be it oil and gas or alternatives such as solar energy. And SolarEdge Technologies (SEDG) and ConocoPhillips (COP) are making some noise in the form of sharp new highs.SolarEdge cleared a narrow, tight consolidation as shares got as high as 59.20, up 4.7%, before retreating. Despite the reversal, gains for the week are still robust.Notice on a weekly chart how the expert in inverters, which turn photovoltaic power into usable electricity, has not touched its 10-week moving average since its breakout during the week ended Feb. 16. A first or second test of the 10-week line usually presents a lower-risk opportunity to add shares to a winning position in the stock.So, what can you do when the stock refuses to come close to even pricking the 10-week moving average?For aggressive investors, one suggestion is to engage in an advanced buying technique. In SolarEdge's case, a move past 58.30, 10 cents above the March 27 peak, in strong volume offers a place to add a very small number of shares. Never buy the same amount as you normally would at a proper breakout point. The reason? To avoid your overall cost per share from running up too fast.This advanced follow-on entry point is based on the method that IBD founder Bill O'Neil used to find ways to buy more shares in some of his biggest stock market winners, including Pic N Save (now known as Big Lots (BIG)) and Amgen (AMGN). After a stock wages a strong run-up, find a period of two to four weeks in which the stock does not fall much and trades relatively tight. Volume should be dull. Then buy as the stock clears the highest price within such a narrow consolidation.In the case of SolarEdge, the stock fell 0.8% and 2.6% during the final two weeks of March. Those are paltry declines compared with the 37% ascent achieved in the prior five weeks. Plus, volume shrank below average during both of those down weeks.SolarEdge is No. 1 in the IBD 50.On Feb. 15, the stock catapulted past a 39.75 buy point in a somewhat stretched-out double bottom. In this key chart pattern, the stock makes two lows, and the second low must undercut the first one.SolarEdge passes this test as the 30.80 low easily went below the first low of 32.90 seen on Dec. 1. Add 10 cents to the middle peak in between the lows to mark the proper buy point.ConocoPhillips, meanwhile is busting out of a nine-week cup with a 61.41 entry. At midday, volume was running bullishly strong, 61% above usual levels. No proper handle was formed, so one can find the buy point by adding 10 cents to the cup's left-side peak.The 5% buy zone goes up to 64.48.The Houston-based member of IBD's international oil and gas E&P group is expected to earn $2.78 a share in 2018, up 363% from 2017 and the biggest profits since 2014, when it earned $5.30 a share. The large-cap firm has significant interests in the North Atlantic waters and Norway, as well as in the Asian-Pacific region.Wall Street sees Conoco's revenue growing 14% to $8.88 billion in the first quarter of this year and 8% overall in 2018 to $35.11 billion.On Tuesday, West Texas intermediate crude oil prices rose 3.1% to $65.39 a barrel and are up 8% year to date.HollyFrontier (HFC) — maker of diesel, jet fuel and other light derivatives from petroleum — raced into new high ground Tuesday. The Dallas-based firm was highlighted in Monday's New Highs column. At one point, shares hit as high as 54.74, up 8% from a narrow handle entry at 50.60.You can learn more about advanced buy points via IBD's special home study course, ""Advanced Buying Strategies,"" available at the Investors.com store.(Please follow Saito-Chung on Twitter at @IBD_DChung for more analysis and commentary on growth stocks and financial markets.)RELATED:These Retail And Energy Plays Lead The New Highs ListWhy It's Key To Buy At Least One Stock During The Follow-Through DayTop Stocks In The IBD 50 Right NowThe Latest Inside Investor's Corner
"
6,HFC,"New highs remain on the thin side, even after the major indexes rebounded in decent form Monday. Stocks from the apparel, energy and food sectors deserve attention for growth stock hunters. X Urban Outfitters (URBN) got as high as 39.15 before reversing for a 1.7% loss to 37.88. Volume was sharply below average. The operator of…
"
7,HFC,"With oil logging surging to multiyear highs, energy stocks have been leading the S&P 500 index and the broader market. Here are five energy stocks with compelling chart action: ConocoPhillips (COP), Valero Energy (VLO), Hollyfrontier (HFC), Wildhorse Resource (WRD) and Viper Energy Partners (VNOM).U.S. crude rose 0.5% Friday to settle at $67.39 a barrel, marking a weekly gain of 8.6% and hitting the highest level since late 2014. Brent crude gained 0.8% to $72.58 a barrel for a weekly increase of 8.2%.U.S. crude futures fell 1.7% to $66.22 a barrel on Monday as investors saw Syria tensions contained following U.S.-led airstrikes on Saturday. If oil prices retreat significantly, crude-related stocks will struggle to advance or even maintain current levels.But the five stocks cited here continued to rally.Small-cap shale play Viper Energy, a subsidiary of Diamondback Energy (FANG) leads the group with a near-best Composite Rating of 98. Wildhorse Resource, another shale play, earns a 97. ConocoPhillips and Hollyfrontier each have a 96 while Valero has a 94.ConocoPhilips, Valero, Hollyfrontier, Wildhorse and Viper Energy all have relative strength lines at record highs, reflecting these energy stocks' outperformance of the S&P 500 index.Wildhorse and Valero are presenting potential buying opportunities.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseValero Energy broke out of a consolidation base with a 100.05 buy point on Wednesday, though the volume was light. Still, shares popped 3.6% to 105.49, hitting a new high and now extended from that entry.Wildhorse Resource cleared a 21.53 buy point from a cup base on Thursday. Shares sprinted 6% to 23.44, now clearly extended.Wildhorse has an especially bullish RS line. Not only is the RS line at new high ground now, but it was at a new high before the stock hit a new price high. Wildhorse came public in December 2016.The three other energy stocks, ConocoPhillips, Viper Energy Partners and Hollyfrontier, are now further extended from buy range. While you never want to chase a stock more than 5% past a buy point, many leaders will pull back into buy range. Keep in mind, however, that you want to see light volume on the pullback, rather than rapid selling.ConocoPhillips rose 1.3% on Monday to 65.73, further extended from a 61.41 buy point cleared several sessions ago.Viper Energy Partners cleared a 26.29 entry point on April 5, becoming extended on Friday. Shares rose 2% to 28.71 on Monday. It also has a strong RS line. Parent company Diamondback has been trending lower since an attempted breakout in late March that ultimately failed.Hollyfrontier is continuing to rise steadily since its April 4 breakout from a cup-with-handle base with a 50.60 buy point. Shares jumped 2.6% to 57.16 on Monday. You never want to see a double-digit gain disappear, so if Hollyfrontier pulls back, be careful about round-tripping.Meanwhile, BP (BP) is at 42.72, in a cup-shaped base with a buy point at 44.72. BP has a Composite Rating of 84.YOU MIGHT ALSO LIKE:Oil And Gas Driller Nears A Buy Point, As Turnaround Takes ShapeStock Market Futures Rally After Syria 'Mission Accomplished'These Top China Stocks Sold Off, But This IPO Is A BuyThese 5 Tech Titans Just Carved This Bullish PatternStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksEnergy Stocks And Industry News: Oil, Gas, Solar, Coal
"
8,HFC,"The stock market rallied early Monday, as it looked to snap back from Friday's heavy losses. Tech stocks were leading the way in the stock market today.The Nasdaq composite advanced 1.2%, while the S&P 500 and Dow Jones industrial average moved up 0.7% apiece. All three indexes are seeing support around their long-term 200-day moving average lines.Among the Dow Jones industrials, Nike (NKE) moved up 0.2%, as the stock moved closer to a potential buy point — a flat-base's 70.35 entry. Bullishly, the stock's relative strength line hit a new high last week. Retailers have been a source of strength amid the current stock market correction.Meanwhile, Apple (AAPL) jumped 1.7% and is trying to get back above its 50-day line.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe FANG stocks were mostly higher early Monday with gains ranging from 0.6% to 2.5%. Alphabet (GOOGL) and Netflix (NFLX) set the pace with rises of about 2.5% apiece. Alphabet shares are battling for support at their 200-day line — about 15% off its recent 52-week high.Amazon.com (AMZN) followed up with a 2% advance. Shares continue to languish under the 50-day line. During the stock's current pullback, it has fallen as much as 16% off its all-time highBut Facebook (FB) lagged with a 0.6% gain. The stock is well-below its 50- and 200-day moving average lines.Oil and gas refiner HollyFrontier (HFC) is breaking out above a 53.31 cup-shaped base's entry early Monday with a 2% advance. Shares were right below that level through morning trade. Volume was tracking just below average.Among leading growth stocks, most top names were headed north through morning trade. PayPal (PYPL) was one of the top performers with a near-2% rise. Shares have been in correction model since Feb. 1 and are stuck below their 50-day line.On the downside, Floor & Decor (FND) declined almost 2%, but is still extended from a 51.58 cup-shaped base's buy point.RELATED:Stock Market Rally Isn't Dead, But This Key Sector's Action Is A Bad SignQ1 Earnings: Netflix, 3 Top IPOs Join Stocks Expecting 50%-Plus GrowthWilliam J. O'Neil: Live With Purpose, Learn From The BestStock Market Volatile Amid Tariffs, Tesla, Amazon, Jobs: Weekly ReviewFacebook CEO In Hot Seat As Delta, JPMorgan, Citi Report: Investing Action Plan
"
9,HFC,"Stocks took a rest on Wednesday, one day after the major indexes signaled that a new market uptrend is likely in the works. Yet the decline masked underlying strength across a decent range of industries that spanned from the energy sector to high tech. X The Nasdaq composite showed seesaw trading before ending the day off…
"
