,ticker,content
0,HRL,"One thing has held steady while the market continues its volatile ways : the relative outperformance of defensive stocks. Top industry groups in Tuesday's issue included utilities, food and real estate investment trusts. Stock Spotlight, too, boasts its fare share of defensive stocks, with five food and tobacco plays. Hormel Foods (HRL) is one of the top stocks in the meat products…
"
1,HRL,"The stock indexes closed mixed Monday after shaking off weakness in oil prices. After the close, Alphabet (GOOGL) surged 6% to a record  high as the company posted Q4 results that beat estimates. With the extended-trading rally, the parent company of Google became the most valuable company in the world. The Nasdaq climbed 0.1%, erasing an early loss of more…
"
2,HRL,"The stock indexes closed mixed Monday after shaking off weakness in oil prices. The Nasdaq climbed 0.1%, while the S&P 500 and the Dow Jones industrial average fell 0.1%. The small-cap Russell 2000 added 0.1% at the closing bell. Volume was weaker compared with Friday's totals. Stocks have been shadowing oil prices, but indexes rose in the stock market today…
"
3,HRL,"If the market launches a new uptrend that works, defensive stocks are likely to give way to stocks that tilt toward growth.With that thought, let's look at the dividend stocks that offer growth potential.We sifted IBD's Dividend Leaders screen, culling for the best earnings growth expected in 2016. (Not all those stocks appear on the table in the paper.) We considered only stocks with upward earnings revisions. The top five:Brinker International (EAT): The Street expects the owner of Chili's Grill & Bar and Maggiano's Little Italy restaurants to boost earnings 16% in the fiscal year ending in June. Pretax margin hit at least a nine-year high in fiscal 2015.On Feb. 2, Brinker declared an increase in the quarterly dividend from 28 cents a share to 32 cents. The annualized yield is 2.6%.Campbell Soup (CPB): Recently the soup maker has been acting more like a growth stock than a dividend stock. Analysts expect earnings to jump 14% the fiscal year ending in July, which would be the best annual growth since 1999.Campbell hasn't raised the dividend since 2013. The quarterly payout is 31.2 cents a share for an annualized yield of 2.1%.Air Products & Chemicals (APD): The Street is pegging earnings growth at 13% for the year ending in September. In 2015, Air Products raised its dividend for the 33rd year in a row. Look for another increase to be declared sometime in March. The  yield is 2.5%.Dunkin' Brands (DNKN): Analysts see earnings growth at 13% this year. That's up from 11% last year but below the three-year growth rate of 15%.  Dunkin' declared a dividend increase early this month. The quarterly payout was raised from 26.5 cents a share to 30 cents. The yield is 2.8%.CME Group (CME): EPS are expected to rise 13% this year. The company recently raised the quarterly dividend from 50 cents a share to 60 cents. The yield is 2.6%.Honorable mention: Hasbro (HAS) 12% EPS growth; Hormel Foods (HRL), 11%; and Clorox (CLX), 10%.  
"
4,HRL,"When the economy is entering a recession, stocks in consumer staples, health care and telecoms ""are the best places to hide,"" said Barclays' Jonathan Glionna, who names tobacco giants Philip Morris International (PM) and Reynolds American (RAI) and drug giants Merck (MRK) and Pfizer (PFE).Meanwhile, he includes General Electric (GE) among the stocks to buy for a recovery.He doesn't see a recession in the near term, but there are red flags such as the collapse of oil prices, the 10% retreat in the S&P 500 so far this year and slowing growth in global No. 2 economy China.In a report Monday, Glionna joined a growing number of analysts providing lists of recession-resistant stocks. But he took a slightly different tack from others, offering two lists: a Recession Playbook and a Recovery Playbook.Among other top picks on his Recession Playbook are Campbell Soup (CPB), Coca-Cola (KO), Johnson & Johnson (JNJ), Procter & Gamble (PG) and Hormel Foods (HRL).Philip Morris stock closed up 0.3% Tuesday, and Reynolds American, the maker of Camel cigarettes, added 1.3%. Merck gained 0.7%, and Pfizer rose 1.9%. Campbell Soup climbed 1.7%, while Johnson & Johnson and Procter & Gamble ended flat.Glionna said of his Recovery Playbook: ""The best performing sectors in previous periods of economic recovery -- using the exit of a recession as indicative of a recovery -- have been energy, materials, industrials and consumer discretionary.""Among stocks on that list: Ford Motor (F), General Electric, General Motors (GM), Harley-Davidson (HOG) and Viacom (VIA).Ford ended down 2%, and GM lost 2.8% Tuesday. GE ticked up 0.4%. Harley-Davidson fell 1.5%, and Viacom plunged more than 21% on worse-than-expected results for the December-ended quarter.Meanwhile, Cowen analysts put out their own list of recession stocks Tuesday, saying, ""We believe stocks that appeal to the low-end consumer and have minimal global exposure appear well-suited to weather an economic downturn.""Among their top picks: off-price clothing retailer Ross Stores (ROST) and Wal-Mart Stores (WMT).Ross Stores climbed 2.25%, and Wal-Mart fell 1.6%.
"
5,HRL,"Tyson Foods' (TSN) quarterly profit far outpaced estimates, with the company also raising its full-year earnings estimate, driving its stock to a new all-time high.The parent of Jimmy Dean, Hillshire Farm, Ball Park, State Fair and Aidells brands said fiscal-first-quarter earnings per share minus one-time items shot up 49% to $1.15, beating analysts' forecasts by 26 cents a share.It's the third quarter in a row that the company has beaten Wall Street projections. The meat producer posted record margins for both its Chicken and Prepared Foods segments in Q1.Tyson raised it full-year profit forecast to $3.85 to $3.95 per share, up from $3.15 in 2015 and well above analyst estimates for $3.63.However, revenue fell 15.4% to $9.15 billion, while consensus was for $10.07 billion.President and CEO Donnie Smith said in a written statement, “Our ongoing efforts to invest in and grow our Core 9 product lines are paying off, as sales volume for the most recent four-week period was up 4%."" The company defines its Core 9 as its strongest brands with the highest growth opportunities.Tyson Foods shares gapped up by as much as 13% Friday morning before closing up 9.9% at 57.10 on the stock market today. The stock rose above a month-long flat base and is now above a 54.52 buy point.The Springdale, Ark.-based company forecast that U.S. chicken, beef, pork and turkey industry production will increase 2% to 3% from 2015, and there will be moderate export growth. Increased supply could pressure meat prices this year, Tyson said.As a result, it forecast its total sales this fiscal year will be about $37 billion, down from its previous estimate of $41 billion, due to the declines in prices. The revised guidance is below the consensus of analysts polled by Thomson Reuters for $39.83 billion.The Food-Meat Products group is ranked a near-best 6 on IBD's list of 197 industries.Among other large companies in the group, Hormel Foods (HRL), which will announce fiscal Q1 results Feb. 16, rose 0.65%. Pilgrims Pride (PPC), which will release Q4 earnings Thursday, dipped 0.2%. Cal-Maine Foods (CALM), which reported lower-than-expected revenue and EPS in December, fell 3.85%.Sanderson Farms (SAFM), which is slated to report earnings Feb. 25, climbed 1.8%.
"
6,HRL,"The meat products industry group has emerged as the No. 1 group out of 197, as of Thursday's IBD. The rise could be partly defensive, with money managers shifting to companies showing steady growth in the belief they will hold up better than high fliers as the market turns lower.But companies in the group have seen have seen solid earnings and sales growth in recent quarters. Five of the nine stocks in the group have Composite Ratings of 90 or above.Supply and demand have driven the story in several of these stocks. Commodity prices have been falling, making feed cheaper. Cattle herds are growing after several years of declines. One factor is the years of Western drought, which forced cattle ranchers to reduce herds but now may be coming to an end as El Nino brings rains.The No. 2 stock in the group by Composite Rating is Hormel (HRL), the maker of Spam, Jennie-O Turkey, Skippy peanut butter, Black Label Bacon and Muscle Milk. The company noted in recent presentations and in its most recent earnings report that its grocery products and refrigerated foods products business were benefiting from input-cost deflation.Growth in China has also been a factor.Tyson Foods (TSN), the nation's largest meat packer by sales, forecast another year of record profits in its Nov. 23 earnings report.""Our chicken business is strong, pork continues to do well, and we think the worst is behind us in beef,"" Chief Executive Donnie Smith said in a conference call.Chicken producers have weathered an outbreak of avian flu that forced the destruction of large flocks.Hormel reported sales declines of its Jennie-O turkey because of bird flu, but it said the product has become the ""clear category leader"" and is being embraced by health-conscious millennials.While that hurt some producers, it helped Cal-Maine Foods (CALM), the nation's largest egg producer and top-ranked in the meat products industry group, which was unscathed in the disease outbreak.It benefited as the price of eggs soared. Over the last two quarters, year-over-year earnings growth was triple-digit, while sales grew at 71% and 44% clips. After-tax margins were north of 40%. But analysts see the good times coming to an eventual end. They forecast a 31% EPS decline in fiscal 2017.Cal-Maine's stock has given up ground in recent weeks and is now trading below its 200-day moving average.Acquisitions have also been a factor in the industry group. Tyson recently bought Hillshire Brands, which has given it a bigger footprint in the packaged food business.Hormel Foods last year paid $775 million to buy organic processed meats maker Applegate Farms. Hormel says it's the No. 1 organic and natural producer by market share in value-added proteins.
"
7,HRL,"Defensive stocks continue to perform well in the market and Dean Foods (DF) is no exception. The company is one of the largest processors and distributors of fluid milk and other dairy products. Popular brands include DairyPure milk and TrueMoo flavored milk. Some of its regional brands include Alta Dena, Country Fresh, Dean’s and Land O’ Lakes. In 2013, the…
"
8,HRL,"There wasn't much good that can be said about Friday's rout. Leading stocks took a beating. The only bright spot was Cal-Maine Foods (CALM), which gained, although it found resistance at its 200-day moving average. Even there, it wasn't cheery news that lifted shares. An Indiana turkey farm confirmed a bird flu outbreak and said the USDA was going to…
"
9,HRL,"Investors rode out the roller-coaster stock market by piling into large blend ETFs in the past month. Blend funds hold a mix of growth and value stocks. As such, they may offer a more moderate level of risk and more skillful navigation through choppy waters. PowerShares S&P 500 High Quality (SPHQ) is a top-performing ETF in the large-blend category. It…
"
