,ticker,content
0,ICE,"Intercontinental Exchange (ICE) saw a positive improvement to its Relative Strength (RS) Rating on Thursday, rising from 66 to 71. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique RS Rating tracks technical performance by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. History reveals that the market's biggest winners tend to have an RS Rating of at least 80 in the early stages of their moves. See if Intercontinental Exchange can continue to show renewed price strength and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineIntercontinental Exchange is building a double bottom with a 75.18 entry. See if the stock can clear the breakout price in heavy trading. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 22%, compared to 3% in the prior report. Revenue increased from -3% to 7%. Intercontinental Exchange holds the No. 12 rank among its peers in the Financial Services-Specialty industry group. TransUnion (TRU), MSCI (MSCI) and Broadridge Financial Solutions (BR) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,ICE,"The Relative Strength (RS) Rating for Intercontinental Exchange (ICE) moved up into a new percentile Tuesday, as it got a lift from 70 to 76. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily identifies market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners tend to have an RS Rating north of 80 in the early stages of their moves. See if Intercontinental Exchange can continue to show renewed price strength and hit that benchmark. See How IBD Helps You Make More Money In StocksIntercontinental Exchange broke out earlier, but is now approximately 5% below the prior 76.24 entry from a flat base. If a stock you're tracking clears a buy point then declines 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and entry price. Also keep in mind that the most recent pattern is a later-stage base, and such bases are more prone to failure. The company showed 3% earnings growth last quarter. Sales gains came in at -3%. Intercontinental Exchange earns the No. 14 rank among its peers in the Financial Services-Specialty industry group. MSCI (MSCI), TransUnion (TRU) and Broadridge Financial Solutions (BR) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,ICE,"Intercontinental Exchange (ICE) had its Relative Strength (RS) Rating upgraded from 70 to 74 Friday -- a welcome improvement, but still shy of the 80 or better score you look for. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. Decades of market research reveals that the market's biggest winners tend to have an RS Rating of at least 80 in the early stages of their moves. See if Intercontinental Exchange can continue to show renewed price strength and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereIntercontinental Exchange is building a flat base with a 76.24 buy point. See if the stock can clear the breakout price in heavy trading. The company reported 3% EPS growth in the latest quarterly report. Revenue rose -3%. The company holds the No. 14 rank among its peers in the Financial Services-Specialty industry group. Broadridge Financial Solutions (BR), MSCI (MSCI) and TransUnion (TRU) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,ICE,"In a welcome move, Intercontinental Exchange (ICE) saw its Relative Strength Rating improve from 70 to 74 on Monday. X IBD's proprietary RS Rating tracks market leadership by showing how a stock's price movement over the last 52 weeks compares to that of the other stocks in our database. Over 100 years of market history reveals that the best-performing stocks typically have an RS Rating of over 80 in the early stages of their moves. See if Intercontinental Exchange can continue to rebound and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineIntercontinental Exchange is not currently near a potential buy zone. See if the stock goes on to form a sound pattern that could launch a new move.Intercontinental Exchange reported 3% earnings growth in its most recent report, while sales growth came in at -3%. The company holds the No. 14 rank among its peers in the Financial Services-Specialty industry group. Broadridge Financial Solutions (BR), MSCI (MSCI) and TransUnion (TRU) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,ICE,"New York's Governor Andrew Cuomo is threatening to sue the federal Immigration and Customs Enforcement agency for its ongoing raids to detain illegal immigrants wanted for serious crimes like assault and rape.A staggering 80% of those apprehended in recent ICE raids in New York were either convicted criminals or charged with crimes. But Cuomo's siding with criminals over crime victims.He's playing politics. Faced with a challenge on his left flank from ""Sex and the City"" star and gubernatorial hopeful Cynthia Nixon, he's desperate to prove his liberal bona fides. Public safety be damned.The ambitious New York Governor is parroting Democrats across the nation who claim ICE should be abolished because it's breaking apart families and peaceful communities. The facts prove otherwise. Eighty-eight percent of the illegal immigrants arrested in recent Los Angeles ICE raids and 81% arrested throughout California, according to the latest ICE data, had criminal convictions.These are bad guys.So when House Minority Leader Nancy Pelosi, D-Calif., claims that ""unjust and cruel"" ICE raids ""terrorize innocent immigrant families,"" don't buy it.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseCuomo's making the same bogus claim. Last Thursday, Cuomo denounced an ICE raid on an upstate farm looking for Marcial DeLeon-Aguilar, a three-time prior deportee convicted of felony aggravated assault. The governor complained that Aguilar's children had to watch their father being pinned by officers to block his escape.Nice try, governor. What about families victimized by violent illegal immigrants?Since January 2016, at least 25 Long Island youths have been executed by the MS-13 gang of Central American illegal immigrants. Some of the victims are left so mutilated they can hardly be identified. MS-13 beats the youngsters with baseball bats, puts plastic bags over their heads to suffocate them, and then slices off their noses, ears and lips with machetes. No one read these victims their constitutional rights.ICE's Operation Matador targets MS-13 gang members. Yet Cuomo seems angrier at the ICE agents than at the MS-13 butchers.Laughably, Cuomo issued a ""cease and desist"" letter to ICE last week, ordering federal agents to touch base with local police before taking enforcement action. Cuomo doesn't have a constitutional leg to stand on. Check the Supremacy Clause of the U.S. Constitution. Uncle Sam doesn't need Andrew Cuomo's permission to enforce federal laws.Why the surge in visible, violent sweeps? ICE is forced to conduct sweeps out in the community because New York's sanctuary laws are preventing the agency from taking custody of criminal aliens before they're released from jail, like the agency used to do. As ICE's Deputy Director Thomas Homan points out, these sanctuary policies are needlessly exposing New Yorkers to violence.Cuomo's mimicking California Democrats, who are in open rebellion against federal law enforcement. In February, Oakland California Mayor Libby Schaaf issued a public alert about a planned ICE raid in her city before it took place, tipping off hundreds of wanted criminals to scatter. U.S. Attorney General Jeff Sessions said to Shaaf, ""How dare you needlessly endanger the lives of law enforcement just to promote your radical open borders agenda?""Political pandering is driving this agenda. An amazing 27% of California's population are immigrants. Immigrants disproportionately favor big government. California hasn't elected a statewide Republican since 2006. New York is moving in the same direction, with 23% of its population foreign-born and Democrats gaining increasing control of state government.Cuomo and other Democrats resist the federal crackdown on immigrant-related crime, and call for increased spending on after-school music and sports programs to provide an ""alternative"" to gang activity in immigrant communities. That's nonsense. Brutes willing to torture and mutilate a human being with a machete will not be dissuaded by learning to play the flute.President Trump calls them ""animals"" who have turned peaceful neighborhoods ""into bloodstained killing fields."" He's got the right plan: ""We will find you. We will arrest you. We will jail you. And we will deport you.""YOU MIGHT ALSO LIKE:By Handing Out Driver's Licenses, Far-Left California Invites Illegals To Stay — And Taxpayers To PayCalifornia's Loopy 'Sanctuary State' Law — Is It Trying To Secede?Census Citizenship Question: 5 Arguments Against It All Bogus
"
5,ICE,"Intercontinental Exchange (ICE) had its Relative Strength (RS) Rating upgraded from 70 to 74 Wednesday -- a welcome improvement, but still short of the 80 or better score you look for. X This unique rating measures market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners typically have an RS Rating of over 80 as they begin their largest climbs. See if Intercontinental Exchange can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksIntercontinental Exchange is trading within a buying range after clearing a 73.09 entry in a flat base. The proper buying range extends to 5% above the initial entry. Once a stock hits that benchmark, it's best to hold off investing and wait for it to set up another buying opportunity.. In terms of fundamental health, Intercontinental Exchange has posted two quarters of increasing earnings growth. Revenue gains have also moved higher over the same time frame. Intercontinental Exchange is expected to release its next quarterly numbers on or around Feb. 7. The company holds the No. 11 rank among its peers in the Financial Services-Specialty industry group. CBOE (CBOE), TransUnion (TRU) and Envestnet (ENV) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,ICE,"The China trade war may be about to get better, not worse. Despite Wednesday's sell-off as the Trump administration identified $200 billion worth of potential targets for future Trump tariffs, the key moment is about to arrive that could see the ice break in the brewing technological cold war between the U.S. and China.Chinese communications equipment firm ZTE saw shares soar on Thursday as the U.S. agreed to let the company resume doing business with American suppliers, pending the receipt of a $400 million escrow payment.Meanwhile, Bloomberg News reported that both the U.S. and China are prepared to resume stalled trade negotiations.The confluence of events is likely no coincidence. President Trump's commitment to lift sanctions that amounted to a death sentence for ZTE seemed to break a logjam in U.S.-China trade negotiations back in May. Soon after, Trump touted a prospective trade deal with Beijing, tweeting that  ""China has agreed to buy massive amounts of ADDITIONAL Farm/Agricultural Products"" and Treasury Secretary Mnuchin said the China trade war had been put ""on hold"" amid progress in negotiations.Those negotiations stalled as Congress complicated Trump's pledge via tweet to get ZTE ""back into business, fast."" The Senate preserved the ban on doing business with ZTE in the national defense authorization bill, but those harsh terms may not be included in the final version expected to pass in late July.The stock market reaction on Wednesday came as the threat of escalating Trump tariffs became more tangible, though the likelihood of tariffs hadn't changed. In June, President Trump directed the Office of the Trade Representative to come up with a list of $200 billion worth of Chinese imports that could face 10% tariffs, and trade officials produced that list late Tuesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseStill, the market downdraft on Wednesday was fairly modest. Wall Street still seems to be betting that this round of Trump tariffs will never take flight and that China won't escalate its retaliation against U.S. multinationals. We'll probably know whether Wall Street is right within the next several weeks, as the White House prepares to impose the new tariffs by Aug. 30.As long as Congress hews to Trump's wishes and drops the Senate provision mandating a ban on U.S. firms doing business with the Chinese communications equipment firm, U.S.-China trade negotiations could quickly resume and begin to demonstrate progress.Beijing refuses to negotiate under duress, so there is still a risk the China trade war will escalate with more rounds of Trump tariffs. But a U.S. reprieve for ZTE and its 75,000 global employees may allow Xi to resume negotiations without losing face, despite the Trump tariffs already in place.Yet if ZTE gets a new lease on life and there isn't a nearly immediate thaw in the China trade war and threats of more Trump tariffs continue to fly, look out.This may be the last off-ramp before a full-scale trade war that threatens to seriously damage business prospects for U.S. multinationals in China and severely disrupt technology supply chains.The U.S. imported $506 billion in Chinese goods last year, meaning about half of Chinese imports would be affected by Trump's latest tariff threat.As Trump threatens a full-scale China trade war, Beijing vows to meet the U.S, blow for blow.While Chinese targets are somewhat limited by its $130 billion in American imports, Beijing has other ways to retaliate, and that's one of Wall Street's big fears.Beyond tariffs, U.S. multinationals could face other significant hurdles in China. Beijing could make life difficult for Dow Jones stocks like Boeing (BA), Caterpillar (CAT) and Apple (AAPL) via regulations.China's government also could hit Boeing sales, and likely Caterpillar, through its state-owned enterprises that can sway the market. Meanwhile, Beijing has been holding up the Qualcomm (QCOM) takeover of NXP Semiconductors (NXPI).The way things are going, there's little reason to expect China to blink in the face of Trump threats. BMW said this week that it will shift some SUV production from South Carolina to China in the face of Trump tariffs. Meanwhile, China's currency is losing ground vs. the dollar, counteracting the impact of Trump's threatened 10% tariffs on a wide range of consumer goods.YOU MIGHT ALSO LIKE:Stock Market Falls As Trump Threatens New Tariffs; Netflix Holds UpChip Equipment Stocks Get Price-Target Cuts On Market SlowdownThe Big Picture: Stocks Now Test These Critical LevelsStock Market Today: Track Market Trends And The Best Stocks To WatchHow To Invest In The Stock Market: Start With A Simple Routine
"
7,ICE,"Crude oil closed at a 3 1/2 year high Thursday amid shrinking stockpiles in the U.S., disruptions at Libyan ports and other worldwide supply risks.Futures rose 1% in New York on Thursday. Rapidly draining American surpluses are compounding real and envisioned supply interruptions in Canada, Iran, Venezuela and North Africa. Inventories stowed at the biggest U.S. pipeline hub in Cushing, Oklahoma, plunged more than 8 percent last week, the deepest cut since early February.""You had a very significant, almost overwhelming draw in Cushing,"" said Thomas Finlon, director of Energy Analytics Group LLC in Wellington, Florida. ""Nothing is getting better in Venezuela, Libya or Iran. The market's got to go up.""Prices also moved higher as weakness in the dollar increased the appeal of commodities priced in the greenback.The U.S. benchmark crude has rallied more than 7 percent this week despite OPEC's pledge to relax production caps that eroded a worldwide glut. The U.S. is pushing allies to halt purchases of Iranian crude as President Donald Trump's administration seeks to punish the Islamic Republic for its nuclear program. Meanwhile, Saudi Arabia plans to pump a record amount of crude next month.West Texas Intermediate crude for August delivery increased 69 cents to settle at $73.45 a barrel on the New York Mercantile Exchange, the highest level since November 2014.Brent futures for August settlement advanced 23 cents to end the session at $77.85 on the London-based ICE Futures Europe exchange. The global benchmark traded at a $4.40 premium to WTI for August. The more active September Brent contract rose 15 cents to settle at $77.61.The Bloomberg Dollar Spot Index fell as much as 0.4%.Syncrude Canada Ltd. reduced planned deliveries for next month from its oil-sands upgrader in Fort McMurray, Alberta, by 92% after an outage last week, according to people familiar with the matter. In response, Midwest refiners probably are drawing on Gulf Coast crude supplies to offset the losses from Canada, said Paul Crovo, a Philadelphia-based analyst at PNC Capital Advisors LLC.In Libya, a militia leader handed over control of some of the country's biggest crude-exporting terminals to a rival of the Tripoli-based state oil company. The handover involved ports with a combined export capacity of 800,000 barrels.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.
"
8,ICE,"Walmart (WMT) stepped up in its fight against Amazon (AMZN) after its Jet.com unit announced same-day grocery deliveries in New York City.Jet.com is opening a fulfillment center in the Bronx to bring same-day and next-day delivery to the city in the fall. It is a highly competitive market. Target (TGT) already offers same-day delivery for in-store purchases for a fee, while Amazon Prime Now provides same-day food delivery.The new center will stock Jet inventory, including groceries everyday essentials and other select merchandise. Last-mile deliveries will be made by home delivery service Parcel, which was acquired by Walmart last October.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseDow Jones stock Walmart rose 1.5% to 87.21 on the stock market today. Walmart stock is holding above its 50-day line, moving sideways after a sharp sell-off from late January to late May. Amazon stock climbed 0.2%, near a record high. Target stock advanced 0.7% to 78.29, less than 1% from reclaiming a 78.80 buy point.Jet's management said the same-day delivery move is important.""This is an exciting milestone for Jet as we hone our focus on reaching urban consumers in large metro cities as part of our strategy,"" said Jet.com's public relations director Meredith Klein said in a press release. ""The location of this center will allow us to deliver on our promise to offer consumers a unique assortment of brands, a tailored shopping experience and personal service — all within scheduled same-day and next-day delivery windows, which is important to urban consumers.""As well as stocking its own merchandise, Jet shoppers will be able to order popular New York brands. It will include offerings from the likes of Big Gay Ice Cream, Roberta's and The Meatball Shop.Hoboken, New Jersey-based Jet is trying to build momentum with urban consumers across major metropolitan markets.This is the latest blow landed by Walmart in its ongoing battle with industry disrupter Amazon. The companies have been trading punches in an escalating retail war with the lines blurring between online and offline.Dow Jones stock Walmart has been trying to snatch share in rapidly growing economies such as India and China. Back in May its stock slipped after it won a competitive tug-of-war with Amazon by sealing a $16 billion deal for Indian e-commerce firm Flipkart.However Walmart has been scaling back operations in more advanced markets such as Brazil and the U.K.YOU MAY ALSO LIKE:Walmart Wins Flipkart Tug-Of-War With Amazon, But Its Stock Is A LoserWalmart Taps Postmates For Grocery Delivery As Amazon Revs Up In Los AngelesAmazon Vs. Walmart: Locking Horns In A Battle For Retail's Future How To Invest In The Stock Market: Start With A Simple RoutineWhich Companies Are Now Outperforming 95% Of All Stocks?
"
9,ICE,"Sugar stockpiles are poised for a record as slowing demand growth and surging production creates the worst-performing commodity of 2018.Consumers have become increasingly wary of the health impact of their sweet tooth, and companies from canned-fruit maker Del Monte Foods Inc. to snack-food seller Mondelez International Inc. are touting products made with less sugar. While global consumption is still rising, the pace of growth has slowed to an average 1.4% in recent seasons, down from 1.7% over the past decade, according to researcher Green Pool Commodity Specialists.That's coming at a time when production is booming, especially in India, the world's No. 2 producer. Farmers in Thailand are also collecting massive crops. World stockpiles are set to swell to the highest ever this season and stay near the record next year, according to the U.S. Department of Agriculture. Sugar futures in New York have already slumped 25% in 2018. That's the biggest loss on the Bloomberg Commodity Index, which tracks returns for 22 components.""Unless there's a weather issue, it doesn't look that the bulls have any hope for a sustained rally,"" said Donald Selkin, a New York-based chief market strategist at Newbridge Securities Corp., which oversees about $2 billion. ""Everybody is trying to do away with sugar and sugary products. You see that in supermarkets and grocery stores. Demand is going to remain less than what's been in recent years. The price is doomed to stay low for a while.""On Monday, raw sugar for October delivery fell 1% to 11.4 cents a pound on ICE Futures U.S. in New York.Investors are setting up for more declines.In the week ended July 3, money managers more than tripled their net-short position, or the difference between bets on a price increase and wagers on a decline, to 54,736 futures and options, according to U.S. Commodity Futures Trading Commission data released Monday. The move came as short holdings increased 15%, while long bets fell almost 7%.Global production will top demand by 19.6 million metric tons in the 12 months that end Sept. 30, the biggest overhang ever, Brisbane, Australia-based Green Pool said in a report last month. The excess would be more than enough to meet annual demand in China, the world's top importer.After farmers collected a mammoth crop, the Indian Sugar Mills Association said July 3 that processors are seeking to increase export quotas to a record 6 million tons. The group estimates the country's output at as much as 32 million tons, a gain of 58% from a year earlier. Meanwhile, in Brazil surging ethanol stockpiles and tumbling prices for the biofuel mean cane millers could process more of the crop into sugar.Of course, crops can still fail, especially if the weather turns worse than expected. Dry conditions have hurt plants in Brazil's central southern region, the world's biggest-producing locale. The potential for an El Nino weather pattern later this year could also mean some damage to Asian crops.But in a market where demand slowing, small supply shocks can often be absorbed. While health concerns and taxes on sugary drinks that erode consumption have been more pronounced in developing economies, Green Pool said that these factors are now being ""replicated"" in emerging markets.""All the bearish elements that had sugar pinned down initially are still in place, and some are even worse,"" said Frank Jenkins, the president of JSG Commodities in South Norwalk, Conn. ""We are looking for a long period of time with a very substantial surplus. We are in the fourth or fifth inning of this bear market.""
"
