,ticker,content
0,IP,"International Paper (IP) had its Relative Strength (RS) Rating upgraded from 68 to 73 Tuesday -- a welcome improvement, but still shy of the 80 or higher score you look for. X IBD's unique rating tracks share price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the trailing 52 weeks stacks up against all the other stocks in our database. History reveals that the top-performing stocks tend to have an RS Rating north of 80 as they launch their largest climbs. See if International Paper can continue to show renewed price strength and hit that benchmark. See How IBD Helps You Make More Money In StocksWhile the stock is not near an ideal buy point right now, see if it goes on to form and break out of a proper consolidation.The company reported 90% EPS growth in its most recent report, while sales growth came in at 14%. International Paper earns the No. 6 rank among its peers in the Paper & Paper Production industry group. Fibria Celulose (FBR), Albany International (AIN) and Kapstone Paper & Packaging (KS) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,IP,"International Paper (IP) had its Relative Strength (RS) Rating upgraded from 62 to 72 Monday -- a welcome improvement, but still below the 80 or higher score you prefer to see. X This exclusive rating from Investor's Business Daily tracks price performance with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the trailing 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners often have an RS Rating of at least 80 as they launch their biggest climbs. See if International Paper can continue to rebound and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineWhile the stock is not near an ideal buy zone right now, see if it is able to form and break out of a proper base.International Paper showed 90% EPS growth in the latest quarterly report, while sales growth came in at 14%. International Paper earns the No. 3 rank among its peers in the Paper & Paper Production industry group. Fibria Celulose (FBR) is the top-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,IP,"The motivations behind President Donald Trump's tariff proposals are noble. Other countries quantifiably don't have fair trade policies, and Trump wants to level the playing field for U.S. businesses.On the surface that seems like a legitimate policy to pursue. Unfortunately, tariffs won't accomplish Trump's goal — whether trade equity or just equality at the negotiation table — because tariffs don't work. When other countries subsidize their goods that is merely trade charity.What does work is innovation and economic growth. Trump should pursue policies supporting innovators. And he needs to start by working with Congress to overturn the Supreme Court's recent decision that inventions are public goods.The U.S. International Trade Commission has recently found that China is dumping products like cast iron pipe, polyester staple fiber, plastic decorative ribbon, lined-paper school supplies, and of course steel at less than fair market value.In other words — China is propping up failing industries. Without subsidies, these products would likely be priced out of competition in the U.S., yet with the subsidies Chinese products are able to sell here.However, on closer inspection the ""war"" becomes a bit murkier — as most wars are.First, China can't just manufacture money out of thin air. Their subsidies either come from taking the money out of productive sectors or devaluing their currency — which means making the money that their productive sectors make less valuable. Therefore, when U.S. companies buy these goods we are actually making China poorer. That sounds more like a trade charity than a trade war. China is increasing our quality of life by lowering their own.Thanks, China.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSo, if a trade war by tariff and subsidy doesn't work, and assuming that Trump really does want to win, what should he do? He should boost American innovation. He should reward the inventors, assure us that U.S. innovations can be protected, and empower inventors to have the profit motive necessary to risk everything to pursue their ideas.The Obama administration and Congress didn't help over the past decade, and the Supreme Court dug us an even deeper hole.One of the major issues with the current system is a new administrative court, Patent Trial and Appeal Board (PTAB), that was created by the American Invents Act. PTAB has been referred to by prominent IP judges as a ""Patent Death Panel,"" and the USPTO under the Obama administration testified in court to stacking the panels against the inventors. But the Supreme Court upheld this out-of-control administrative court as constitutional as well as that patents are a public right.In his dissent Justice Gorsuch said,""After much hard work and no little investment you devise something you think truly novel. Then you endure the further cost and effort of applying for a patent, devoting maybe $30,000 and two years to that process alone. At the end of it all, the Patent Office agrees your invention is novel and issues a patent. The patent affords you exclusive rights to the fruits of your labor for two decades. But what happens if someone later emerges from the woodwork, arguing that it was all a mistake and your patent should be canceled? Can a political appointee and his administrative agents, instead of an independent judge, resolve the dispute?""The American Invents Act, which passed in 2010, was sold as a way to deal with patent ""trolls."" But the several sections that might have thwarted these bad actors were all stripped away in order to pass the bill, which merely created more barriers for inventors and defended infringers (thieves).Most people aren't aware that the innovation economy is faltering. After all, we seem to have new phone apps coming out all of the time. The problem isn't necessarily apps — although that might start changing soon as well. The problem is that the U.S. has stopped defending the inventors of the underlying innovations that these useful programs run on.In 2012 the U.S. Chamber of Commerce first produced a study that showed the U.S. was ranked No. 1 in intellectual-property protection. However, in 2017 the U.S. had slipped to No. 10, and in 2018 it fell to No. 12.Intellectual-property protections have been one of the keys to our economic success. And it is actually one of the few rights explicitly stated in the Constitution. Before our independence, inventions belonged to the King, who then meted out writs of ownership to his royal cronies. But that didn't give anyone the financial incentives needed to innovate, and our Founding Fathers knew that.But, because of the weakening of patent rights by the Obama administration, Congress and the Supreme Court, the U.S. is now slipping.Fortunately, President Trump has made several large overtures to inventors. In his attacks on China's trade subsidies, he also has mentioned IP several times in tweets. He also recently appointed a director of the USPTO, Andrei Iancu, who has expressed support for reforming the Patent Office to better serve inventors and create more assurance in the IP market.Trying to fight an economic war through tariffs isn't a winning strategy. But defending inventors, pioneers and innovators will create an army of new businesses that will lead to victory.More Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
3,IP,"The next shoe to drop in President Donald Trump's China trade war was expected to land this week. Officials were expected to detail new investment restrictions and Trump export controls aimed at China by June 30, with semiconductor equipment a likely focus.But Trump trade advisor Peter Navarro in a CNBC interview and Treasury Secretary Steven Mnuchin in a tweet tried to downplay the coming report, saying it isn't aimed at China directly. Mnuchin tweeted that investment restrictions would target any country that steals American technology. Navarro said there would be no investment restrictions.Stocks rallied into the close but still finished with deep losses. The Dow Jones industrial average closed below its 200-day moving average for the first time in two years, and that post-Brexit vote move two years ago only lasted a day. The S&P 500 index closed just above its 50-day line after trading below that key support most of the session. The Nasdaq composite skidded 2.1%.So has the plan that tanked the stock market really changed? It's hard to be sure, but it wouldn't be a shock. Although Trump threatened a full-scale trade war with China last week, he's also been working to save ZTE, the Chinese communications equipment firm that is the 4th biggest cell phone supplier to the U.S. market.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe logical explanation is that Trump really wants a deal with China. He's been wielding threats to help make it happen, but the stock market reaction on Monday may help convince him to back off a new threat that could make it impossible for China to return to the bargaining table.The biggest near-term concerns about the coming news drop have less to do with Chinese investment restrictions and more to do with Trump export controls.In a new analysis, Moody's Investors Service said that the toughest export restriction it envisions likely would be a ban on chip equipment sales to Chinese companies, which account for 6%, or $1.8 billion, of combined revenue for Applied Materials (AMAT), Lam Research (LRCX) and KLA-Tencor (KLAC).Shares of Applied Materials sank 2.6% in the stock market today, while Lam Research lost 2.1% and KLA-Tencor 2.3%.Total sales in China for those big three U.S. chip-equipment firms make up 18% of total revenue, including sales to non-Chinese companies operating in China. Moody's doesn't rule out the possibility Trump export controls could go so far as to ban sales of chip gear even to non-Chinese companies operating in China, such as Samsung, Intel (INTC) and Taiwan Semiconductor Manufacturing (TSM).Even if Trump export controls only cut off sales to Chinese companies, that could go a long way to deepening trade hostilities between the U.S. and Beijing.Such restrictions would ""severely limit China's ability to develop greater self-sufficiency in chip manufacturing,"" a key goal of its ""Made in China 2025"" strategy, Moody's says.China aims to close the technological gap, dominate domestic markets and establish global leadership in advanced sectors such as semiconductors, robotics and artificial intelligence. U.S. efforts to counter this threat point to an American technological cold war with China, regardless of Trump's combative approach to trade.""Outside of Applied, Lam and KLA, we believe alternative suppliers of the array of leading-edge semiconductor equipment that Chinese companies need to produce chips do not exist.""Just a week after the new restrictions are expected to be released, on July 6, 25% tariffs are set to take effect on roughly $34 billion worth of imports from China. Another $16 billion worth of goods could also face tariffs shortly thereafter. The second batch of Trump tariffs includes processor and memory chips.A study based on the preliminary list of goods to face Trump tariffs found that the bulk would hit multinationals from the U.S. and other countries besides China. The Semiconductor Industry Association said much the same thing on June 15 after the final list of products was released: ""The proposed imposition of tariffs on semiconductors from China, most of which are actually researched, designed, and manufactured in the U.S., is counterproductive and fails to address the serious IP and industrial policy issues in China.""YOU MIGHT ALSO LIKE:5 Reasons Why The Market Sell-Off Was Worse Than It SeemedHarley-Davidson Just Gave Trump Tariffs A Black EyeIf You Want To Buy More Apple Or Nvidia Shares, Read ThisStock Market Today: Track Market Trends And The Best Stocks To Watch
"
4,IP,"Recent days in the global Trump trade war have seen President Donald Trump go to bat to save Chinese tech jobs, while Harley-Davidson (HOG) shifts some production out of the U.S.The cognitive dissonance doesn't end there. Trump has lashed out at Canada for its high tariffs on dairy products. That's despite American dairy farmers pleading with Trump to lift steel tariffs on Mexico, or else Mexicans will cut U.S. cheese out of their diets. Daimler (DDAIF) warned that Chinese tariffs will sap demand for its Alabama-made SUVs, while Trump threatened to hit imported German luxury cars with a 20% tax.The Trump trade war is full of contradictions that are partly a function of fighting on so many fronts. The end result looks likely to undermine U.S. interests, U.S. companies and U.S. jobs, while playing into the hands of America's top trade adversary: China.Trump wants to bend the rules of trade to get foreign manufacturers to produce goods for Americans in the U.S., attacking American companies for deciding to set up shop overseas to meet local demand. Yet Trump is shooting himself in the foot. Retaliatory tariffs by U.S. trading partners and Trump's own tariffs on steel and aluminum are raising the cost of doing business here.Trump accused Harley-Davidson of waving the ""white flag"" after the motorcycle maker said Europe's extra 25% tariff on American-made Harleys — in retaliation for Trump's tariffs — would add about $2,200 to the cost of each motorcycle.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTrump argued that U.S. companies that stay strong will be rewarded when trading partners like the EU scrap their tariffs, including a 6% duty on Harleys. But companies have no reason to think Trump's strategy will work. While German carmakers are willing to give up a 10% tariff on imports, they're demanding that Trump cancel a decades-old 25% U.S. tax on imported SUVs and pickup trucks.Even when the U.S. could take the principled high ground, Trump is alienating U.S. allies and acting as if economic might makes right.Trump wasn't wrong in calling out Canadian Prime Minister Justin Trudeau on the country's dairy tariffs of 270%, yet the U.S. has its own sacred cows, so to speak. Overall, Canada has among the lowest tariffs in the world, even slightly lower than the U.S., according to the World Bank.Meanwhile, Trump's steel tariffs on Canada are so out of bounds that even the United Steelworkers union has called for Trump to drop the tariffs. Canada is the biggest steel exporter to the U.S., shipping 5.8 million metric tons in 2017. Yet, it's also the largest export market for U.S. steelmakers, importing 4.8 million metric tons. Trump tariffs ignore the latter.Harley-Davidson is hardly the only U.S. company mulling layoffs as collateral damage from the Trump trade war. Mid-Continent Nail of Missouri has reportedly laid off 60 workers and could cut hundreds more if it can't get an exemption from Trump steel tariffs that make its wares uncompetitive.Some 20,000 companies have sought exclusions. But Commerce Secretary Wilbur Ross said last week that fewer than 100 had been processed, with 42 accepted and 56 denied. Sixteen jobs could be lost for every steel and aluminum job added thanks to tariffs, a study by the Trade Partnerships Worldwide consultancy estimated.The latest survey of regional manufacturers by the Kansas City Fed found plenty of criticism of the Trump trade war. Statements from business owners included this: ""Bracing for the worst concerning China tariffs. We will move the last of manufacturing offshore. Loss of business due to tariffs will have a larger impact than interest rates.""Trump's tariffs on Chinese high-tech-related imports, due to take effect starting July 6, would make U.S. multinationals less competitive.How? Rather than target mostly finished goods that U.S. consumers buy from Chinese companies, the Trump tariffs hit so-called intermediate goods. U.S. companies import them from China to incorporate in finished U.S. products, which then become pricier vs. rivals.""That the tariffs fail to hurt Chinese firms directly should not be a surprise,"" wrote Peterson Institute researchers Mary Lovely and Yang Liang.President Xi Jinping's Made In China 2025 agenda aims to close the technological gap and end the dependence on advanced tech from non-Chinese companies. But that's an aspiration, the researchers noted, while current Chinese tech still lags that of the U.S. and others.""It is impossible to hit tomorrow's exports with today's tariffs.""The Semiconductor Industry Association says much the same thing: ""The proposed imposition of tariffs on semiconductors from China, most of which are actually researched, designed, and manufactured in the U.S., is counterproductive and fails to address the serious IP and industrial policy issues in China.""The chief Trump trade war target is China, which has a $375 billion trade surplus with the U.S., limits market access and systematically conspires to gain access to the intellectual property of U.S. firms.The U.S. could try to isolate Beijing by creating a broad united front to keep China honest or make it pay a price. This is what President Obama had in mind with the Trans-Pacific Partnership.But four days into his term, Trump scrapped that 12-nation trade deal, which included intellectual property protections. This spring he briefly toyed with rejoining the TPP.Instead of major U.S. trading partners uniting against China, the U.S. is drawing fire from all sides for Trump tariffs. China is widely seen as the prime culprit in global steel overcapacity that is at the root of Trump's 25% steel tariff. Yet China has been a minor steel exporter to the U.S., so Trump has picked a fight with Japan, the EU, Mexico and Canada.If the biggest trade threat to the U.S. is China and its world-dominating tech ambitions, why is Trump out to save 70,000 jobs at Chinese communications equipment firm ZTE?Trump decided last month to overturn Commerce Department sanctions against ZTE that banned key U.S. component suppliers from doing business with the firm, forcing it to cease operations.This week, Trump dropped a plan for emergency investment and export rules, including a 25% limit on Chinese ownership in firms buying key technology. Instead, Trump backed legislation in Congress to strengthen the Committee on Foreign Investment in the United States, or CFIUS.Trump could have gone as far as banning chip equipment sales to Chinese firms, Moody's said this week. That would have been a bitter pill for Xi and could have derailed trade talks.Trump appears to view America's big trade deficit as low-hanging fruit for an easy trade-war win. He largely declared victory a month ago, when China agreed to boost U.S. purchases by $70 billion. Trump touted the emerging deal as a big win for American farmers. The loser wouldn't be China, but other countries that supply it.That may explain why the Trump trade war appears to be more diplomatic with China than with traditional U.S. allies.With no allies to join in pressuring China to change its state-subsidized technology strategy, Trump seems to be settling for low-hanging fruit. He appears to be taking a softer line on export controls, pushing the seemingly inevitable technological cold war with China down the road.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:Don't Panic: Here's Why Trump's China Trade War Won't HappenDow Jones Futures Try To Rally: This Key Tech Sector Flashes Big WarningIf You Want To Buy More Apple Or Nvidia Shares, Read ThisStock Market Today: Track Market Trends And The Best Stocks To Watch 
"
5,IP,"After negotiating for nine months, the United States, Canada, and Mexico are close to finalizing a new North American Free Trade Agreement (Nafta). In early April, President Trump predicted negotiators would agree on a slew of changes ""fairly soon.""That's encouraging news. A well-designed pact could usher in an era of fair trade and economic vitality for all three nations.To ensure the new deal benefits U.S. workers, our negotiators must insist on strong intellectual property (IP) protections for America's most innovative industries — especially the biopharmaceutical sector. If they fail to do so, they'll endanger millions of American workers' livelihoods and impede lifesaving medical research.The stakes are so high that my organization, the Conservatives for Property Rights, along with twelve other organizations, just wrote a letter to U.S. Trade Representative Ambassador Lighthizer urging him to include strong protections of U.S. IP in Nafta.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFortunately, U.S. negotiators already understand what a good deal looks like. The recently renegotiated trade deal between South Korea and the United States includes the sorts of biopharmaceutical-related concessions our negotiators must win in the new Nafta.IP protections such as patents ensure that once a drug is approved, the inventor can sell it exclusively for a set amount of time. That exclusivity gives manufacturers a chance to recoup their tremendous research and development costs. It takes $2.6 billion and up to 15 years to bring just a single drug to market.Without intellectual property protections, rivals could copy innovators' drug designs and steal the fruits of their labor. Firms would have little incentive to fund research into new therapies and treatments.U.S. trade negotiators recognize the importance of strong IP protections. In March, the United States and South Korea agreed to update their trade pact to ensure that American pharmaceutical IP is respected.The original U.S.-Korea Free Trade Agreement, which took effect in 2012, included several provisions requiring the South Korean government to pay fair prices for innovative U.S. drugs.But South Korea didn't live up to its end of the bargain. The country's health officials paid domestic drug firms more for medicines than American companies.This reimbursement model ensured that state-of-the-art American drugs were sold at a price well below their fair market value. U.S. firms struggled to recoup their development costs. That weakened their desire to expand into South Korea.As a result, Korean patients enjoyed less access to groundbreaking drugs than most other advanced nations. And U.S. drug firms earned less revenue — which meant fewer job opportunities for American research and manufacturing workers.The revised agreement addresses such violations and ensures that American biopharmaceuticals are fairly valued on the Korean market.The updated deal will help to bolster America's biopharmaceutical industry, which supports more than 4.7 million jobs and contributes more than $1 trillion to our economy each year.  It will also improve Koreans' access to the latest medicines, since U.S. firms will now be eager to enter the South Korean market.U.S. trade officials should aim to build on this policy victory in the new Nafta. They can start by demanding an end to Canadian practices that artificially reduce American drug prices.Our northern neighbor's Patented Medicine Prices Review Board sets the price of brand-name drugs so it's no higher than the median price paid by seven comparator countries. The agency recently proposed adjusting that list of comparator nations. The board wants to remove wealthy countries, such as the United States and Switzerland, and add poorer countries. The change would depress drug prices even further.As with South Korea's price-control scheme, Canada's policy prevents American drug innovators from selling their inventions at a fair market price.Our trade negotiators should also insist on 12-years data exclusivity for ""biologic"" drugs, which is the standard protection in the United States. These sophisticated medicines are extremely difficult to develop. They're manufactured from living organisms  and are used to treat a variety of conditions, from cancer to rheumatoid arthritis.Data exclusivity prevents rivals from relying on the innovator company's clinical trial data to develop their own version of the drug.  It effectively gives innovators a 12-year head start on rivals. That's critical for biologics, since they're so complex and expensive to create. Without 12 years of data protection, many firms would scale back their investments in new biologic research.With the recent Korean agreement, America's trade officials have incentivized additional medical innovation and defended a crucial domestic industry — all while expanding patients' access to the state-of-the-art medicines. It's time they do the same for Nafta.Click here for more Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
6,IP,"Donald Trump is now deep into trade negotiations with China and NAFTA 2.0 negotiations with Canada and Mexico. We are strong free traders, but we believe that Trump's plans to negotiate better trade agreements that reduce trade barriers abroad are right on the mark. He also has to make sure those deals fully protect U.S. intellectual property, or what is commonly called know-how.American investments, ingenuity and entrepreneurship have made intellectual property one of our nation's most important assets. IP-intensive industries, including software, biotechnology and entertainment, now support nearly one-third of all U.S. jobs. But too often, our foreign trading partners take unfair advantage of our IP innovations to enrich themselves at our expense.This is glaringly evident in the pharmaceutical sector.American pharmaceutical companies are the runaway global leaders in developing new prescription drugs. This requires massive outlays of capital. A 2014 Tufts study estimated the cost of developing and bringing a prescription drug to market at $2.6 billion. These eye-popping R&D investments that U.S. pharma makes in new medications are especially important in biologics, the revolutionary class of drugs that holds great promise in addressing some of our most serious health challenges, including cancer, multiple sclerosis, Alzheimer's and more.Making those huge outlays of shareholders' money becomes harder to justify when foreign companies reap the benefits. U.S. law requires 12 years of exclusivity for new biologic medicines. In Canada, those same drugs are protected for only eight years; and Mexico, in some cases, provides no protection at all unless drug manufacturers are willing to go through an expensive legal process.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTrump's trade negotiators need assurances from our trading partners that these drugs and vaccines are not stolen and that American companies are paid a fair price for the lifesaving drugs they have worked to bring to market. Holding Mexico, Canada and China to the same legal standards we abide by in the U.S. would save billions of dollars — money that can be reinvested in new research to produce even more innovative treatments.There is another reason why fair pricing of U.S. pharmaceuticals must be covered by negotiated trade deals, and it is related to Donald Trump's goal of reducing the costs paid by seniors and families for drugs and vaccines here at home.It is very simple: When other nations impose price controls on American-produced prescription drugs (and threaten to steal the patents and produce the drugs themselves if these companies don't comply), it means that American consumers pay higher prices here at home to cover the R&D costs. This is unfair to American consumers. It is one reason our health care costs are higher than other nations'.So rather than imposing price controls here at home, which would severely slow the development of new lifesaving drugs, we should shut down the price controls abroad as a key condition of new trade deals.The theft of American intellectual property has been going on for years with impunity, and now it's the elephant in the room of trade deals. The United States Trade Representative estimates that the IP thievery perpetrated by China alone costs us between $225 billion and $600 billion each year. China also accounts for a major share of stolen U.S. trade secrets. That costs us another $180 billion to $540 billion annually. Millions of U.S. jobs are lost because of the unfair trade practices routinely employed by China and other countries.Intellectual property is every bit as vital to our economy — if not more so — than steel or aluminum. America leads the world in computer software; drugs; artificial intelligence; patents; trademarks; and music, entertainment and other creative industries. But how long can that last when competitor nations are ripping off our entrepreneurial companies to the tune of half a trillion dollars a year?More Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
7,IP,"The WannaCry cybersecurity attack in May, 2017, targeted tens of thousands of computers scattered across more than 70 countries. The attackers, thought to a be a group located in North Korea, demanded ransom fees in bitcoin. They promised to unfreeze computers in return. The assault on global network computing underscored the internet's rampant vulnerabilities. It caused Britain's public health system…
"
8,IP,"Video game publisher Electronic Arts (EA) late Tuesday beat Wall Street's targets for its fiscal fourth quarter, sending its shares higher in extended trading.EA earned an adjusted $1.27 a share on adjusted sales of $1.26 billion for the quarter ended March 31. Analysts expected $1.16 and $1.23 billion.Electronic Arts stock rose 2.4%, near 126.85, in after-hours trading on the stock market today. During the regular session, EA ended the day roughly unchanged at 123.89.EA shares have formed a flat base with a buy point of 131.23 over the past eight weeks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Fiscal 2018 was a year of strong growth and continued transformation for Electronic Arts, as we expanded the reach of our leading franchises like FIFA, Battlefield and The Sims to more players across more platforms and geographies,"" Chief Executive Andrew Wilson said in a news release. ""In the year ahead, we will expand the world of play with amazing new experiences and new IP (intellectual property), more competition, and industry-leading subscription programs.""For the current fiscal year, EA expects to earn $3.55 a share. That's up 6% from the just-finished year, under generally accepted accounting principles. Wall Street uses non-GAAP figures, making comparisons difficult.The Redwood City, Calif.-based company expects net bookings of $5.55 billion this year, up 7%, vs. the consensus estimate of $5.61 billion.EA shares have been under pressure lately over concerns that ""Fortnite Battle Royale"" from Epic Games might be siphoning away player time and dollars. The hugely popular ""Fortnite"" is free to play, but the publisher sells digital extras through microtransactions that enhance the experience.EA has stumbled in its own efforts to sell microtransactions, most notably with ""Star Wars Battlefront 2."" Players complained that the so-called loot boxes being sold in that Star Wars game amounted to a pay-to-win scheme. The company was forced to change its plans.EA is the second of the three major U.S. video game publishers to post March-quarter results.Last week, Activision Blizzard (ATVI) reported better-than-expected sales and earnings for the first quarter. But it gave conservative sales guidance for the current quarter.Take-Two Interactive Software (TTWO) is due to post its fiscal Q4 results on May 16.RELATED:Video Game Stocks Rise, Shake Off 'Fortnite' ThreatActivision Blizzard Stock Falls On Low Sales Guidance For Second QuarterEsports, Video Conferencing Trends Fuel Logitech Gains
"
9,IP,"Sen. Bernie Sanders, I-Vt., wants the federal government to guarantee a job for every American willing and able to work. The proposal sounds compassionate and enlightened, but in practice, it would almost certainly be a disaster. The fact that it's taken seriously is evidence that many Democrats, like Republicans before them, embrace loony economic agendas that are more public-relations gestures than sensible policy.Just precisely how Sanders' scheme would work is unclear, because he hasn't yet submitted detailed legislation. However, the website of the Sanders Institute favorably endorses a job-guarantee plan devised by economists at Bard College's Levy Economics Institute. This suggests how a job guarantee might function.Under their plan, anyone needing a job could get one at a uniform wage of $15 an hour, plus health insurance (probably Medicare) and other benefits (importantly: child care). When fully deployed, the program would create 15 million public-service jobs, estimate the economists. This would be huge: about five times the number of existing federal jobs (2.8 million) and triple the number of state government jobs (5 million).Although the federal government would pay the costs, the program would be administered by states, localities and nonprofit organizations, which would design jobs and enroll beneficiaries. Some jobs mentioned by the economists: cleaning up vacant properties; overseeing programs for new mothers and at-risk youths; tree planting; and weatherization of homes.To be sure, there is a real problem here. Even when reported unemployment is low — as now, at 3.9% — ""millions of Americans remain unemployed or underemployed."" They often have poor skills, wrestle with drug or alcohol problems or are so discouraged that they've dropped out of the labor force. The job guarantee's appeal is obvious. A recent Civis poll for The Nation magazine found 52% of respondents in favor.The trouble is that there is a vast gap between rhetoric and reality. Indeed, some leftish commentators recognize this. Here's Kevin Drum, a blogger for Mother Jones magazine:Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Even our lefty comrades in social democratic Europe don't guarantee jobs for everyone. It would cost a fortune; it would massively disrupt the private labor market; it would almost certainly tank productivity; and it's unlikely in the extreme that the millions of workers in this program could ever be made fully competent at their jobs.""Many problems are unavoidable. The proposal would add to already-swollen federal budget deficits. The Bard economists put the annual cost at about $400 billion. Although some of this might be recaptured from savings from food stamps and other welfare programs, overall spending is likely underestimated.The reason is Medicare. If it's provided for those making $15 an hour, there will be pressures to provide it for most workers. Otherwise, uncovered workers might stage a political rebellion or switch from today's low-paying private-sector jobs to the better-paid public-service jobs, as The Wall Street Journal's Greg Ip notes. The same logic applies to child-care subsidies.Then there's inflation. The extra spending and higher wages might push prices upward. The Bard economists profess to be unworried — mainly because their economic ""model"" predicts a negligible inflation effect. But models are often unreliable, and the Federal Reserve is unlikely to be so complacent.Other practical problems loom. On his always-useful and strictly nonpartisan blog, Conversable Economist, Timothy Taylor poses difficult questions.Does the federal government have the managerial competence to oversee the creation of so many new jobs? Taylor is skeptical. (The 15 million added jobs would equal about one in 10 existing jobs.)Is there a skills mismatch between what the jobless can do and what actually needs doing? Probably. (Remember: the candidates for the public-sector jobs are among the least skilled workers.)Is there a similar geographic mismatch — say, the jobless are in Michigan and the jobs are in Arizona? This, too, seems probable.Can the new workers be disciplined? Good question. ""The problem with a job 'guarantee' is that you can't fire people,"" notes Taylor.Finally, would state and local governments substitute federally-funded jobs for existing jobs that are supported by local taxes? This seems inevitable. It, too, would limit the overall effect on employment.Americans are suckers for great crusades that make the world safe for the pursuit of happiness. In this context, Sanders' job guarantee seems a masterstroke. The chronically unemployed need jobs; and states and localities have large unmet needs for public and quasi-public services. It's a bargain made in heaven.Back here on earth, the collaboration looks less noble. The object is to appear good and buy political support. Many of the suggested jobs seem best described as make-work. The irony is that, by assigning government tasks likely to fail, the advocates of activist government bring government into disrepute.YOU MIGHT ALSO LIKE:A Rebirth Of Self-Reliance? Food Stamp, Welfare, Medicaid, Disability Rolls All Dropping Under TrumpNearly Half Of Americans Embrace 'Guaranteed Jobs' — An Idea Straight Out Of The Soviet UnionThe 3.9% Unemployment Rate Doesn't Mean A Tight Labor Market
"
