,ticker,content
0,ITW,"With the S&P 500 pressing on to all-time highs, is the stock market too good to be true? Are we — shudder — approaching a bubble?
"
1,ITW,"One way to gauge the risk is to look at the number of S&P 500 industries with nosebleed price-earnings ratios when the market bubble burst in March 2000. A P-E ratio of 30 or higher is often looked at as unsustainably high for most companies.
"
2,ITW,"""Many investors think the market is overly expensive because they hear about it hitting a new high,"" said Jeff Kleintop, chief market strategist for LPL Financial, the nation's fourth largest broker-dealer and largest independent broker-dealer. ""And there are some (recent) highflying names like Amazon (AMZN), Netflix (NFLX) and Tesla Motors (TSLA). Biotech was hot too. But there just aren't that many bubbly industries.""
"
3,ITW,"As the bubble was bursting 14 years ago, 16 of the S&P 500's 62 industries had P-E ratios topping 30. That accounted for 70% of S&P 500 companies' total market value.
"
4,ITW,"Of course, the market doesn't need to be in a bubble the size of 2000's to portend a big sell-off, but the absence of a bubble reduces the risk of a market blowoff.
"
5,ITW,"Just four industries had P-Es over 30 as of March 28, 2014. They accounted for less than 4% of the benchmark's market value.
"
6,ITW,"The four hot-and-sweaty segments this time are health care technology, REITs, Internet and catalog retail, and construction materials.
"
7,ITW,"Below the 30 P-E bubble threshold, industrials are a segment whose prospects Kleintop likes.
"
8,ITW,"""Those are companies that create capital goods used by other businesses,"" he said. ""I like the segment because business spending is rising."" Many names in that space — and other nonfrothy industries — are badly beaten down due to anemic spending last year.
"
9,ITW,"General Electric (GE) is one likely beneficiary, Kleintop says. ""Transportation and railroad equipment has been in high demand,"" he said.
"
10,ITW,"Illinois Tool Works (ITW) should benefit from the manufacturing renaissance, he says. They make goods used to expand or revamp factories.
"
11,ITW,"Tech hardware is a second segment that should gain from increased capital goods spending. Business hiring in general is climbing. That should boost hardware and services revenues for IBM (IBM), Kleintop says.
"
12,ITW,"Regional banks are a third segment Kleintop likes. PNC (PNC) and Wells Fargo (WFC) stand to gain from more borrowing as the economy warms. Also, rising rates make lending more profitable. PNC has IBD's Composite Rating of 91.
"
13,ITW,"In the consumer discretionary segment, some brick-and-mortar retailers are positioned to benefit from rising consumer spending because their valuations are low and their fundamentals are promising.
"
14,ITW,"""That might benefit retailers like Macy's (M), PetSmart (PETM) and a more discount-oriented retailer like Kohl's (KSS),"" Kleintop said.With the S&P 500 pressing on to all-time highs, is the stock market too good to be true? Are we — shudder — approaching a bubble?One way to gauge the risk is to look at the number of S&P 500 industries with nosebleed price-earnings ratios when the market bubble burst in March 2000. A P-E ratio of 30 or higher is often looked at as unsustainably high for most companies.""Many investors think the market is overly expensive because they hear about it hitting a new high,"" said Jeff Kleintop, chief market strategist for LPL Financial, the nation's fourth largest broker-dealer and largest independent broker-dealer. ""And there are some (recent) highflying names like Amazon (AMZN), Netflix (NFLX) and Tesla Motors (TSLA). Biotech was hot too. But there just aren't that many bubbly industries.""As the bubble was bursting 14 years ago, 16 of the S&P 500's 62 industries had P-E ratios topping 30. That accounted for 70% of S&P 500 companies' total market value.Of course, the market doesn't need to be in a bubble the size of 2000's to portend a big sell-off, but the absence of a bubble reduces the risk of a market blowoff.Just four industries had P-Es over 30 as of March 28, 2014. They accounted for less than 4% of the benchmark's market value.The four hot-and-sweaty segments this time are health care technology, REITs, Internet and catalog retail, and construction materials.Below the 30 P-E bubble threshold, industrials are a segment whose prospects Kleintop likes.""Those are companies that create capital goods used by other businesses,"" he said. ""I like the segment because business spending is rising."" Many names in that space — and other nonfrothy industries — are badly beaten down due to anemic spending last year.General Electric (GE) is one likely beneficiary, Kleintop says. ""Transportation and railroad equipment has been in high demand,"" he said.Illinois Tool Works (ITW) should benefit from the manufacturing renaissance, he says. They make goods used to expand or revamp factories.Tech hardware is a second segment that should gain from increased capital goods spending. Business hiring in general is climbing. That should boost hardware and services revenues for IBM (IBM), Kleintop says.Regional banks are a third segment Kleintop likes. PNC (PNC) and Wells Fargo (WFC) stand to gain from more borrowing as the economy warms. Also, rising rates make lending more profitable. PNC has IBD's Composite Rating of 91.In the consumer discretionary segment, some brick-and-mortar retailers are positioned to benefit from rising consumer spending because their valuations are low and their fundamentals are promising.""That might benefit retailers like Macy's (M), PetSmart (PETM) and a more discount-oriented retailer like Kohl's (KSS),"" Kleintop said.
"
15,ITW,"There's nothing like a promising corporate marriage to make a big splash on Wall Street.
"
16,ITW,"That's how the scenario has played out for water products industry leader Pentair (PNR). Its stock has spurted up about 62% since the company tied the knot with Tyco International's (TYC) Tyco Flow division, in September 2012, six months after announcing plans.
"
17,ITW,"The $10 billion stock-for-stock merger created a roughly $8 billion-a-year powerhouse in flow control, filtration and equipment protection. Tyco Flow complements Pentair's offerings and gives it a strong position in fast-growing markets, including the energy arena, while giving a nice lift to revenue and profit, as well as generating cost synergies.
"
