,ticker,content
0,JBHT,"Stocks closed broadly higher Monday, although the Dow Jones industrial average and S&P 500 came up a bit short in reclaiming their 50-day moving averages. Netflix (NFLX) rose after the close as the company announced results.The Dow climbed 0.9% and ended slightly below its 50-day moving average. Getting back above that trend indicator would be a positive sign for the market, which continues to climb from a bottoming signal about a week ago. The S&P 500 also closed just below the 50-day line, up 0.8%.The Nasdaq composite was up 0.7%. The small-cap Russell 2000 climbed 0.9%. Volume was higher on the Nasdaq and nearly flat on the NYSE compared with the same time Friday. Winners led losers by a 13-to-5 ratio on the NYSE and by about 2-1 on the Nasdaq.Netflix shares rose about 7% after the close on the company's earnings. Shares are extended after finding support in a pullback to the 50-day moving average. The video streaming company reported quarterly earnings. The company earned 64 cents a share, up 60% and in line with views. U.S. subscriber growth was strong.Amazon.com (AMZN) is dropping plans to sell drugs to hospitals, CNBC reported. The news caused drug distributor stocks to rally. McKesson (MCK) jumped 3.5% and traded back above the 50-day moving average. Cardinal Health (CAH) rose 3% as it bounces from a four-month low. Drugstore, medical wholesale supply, medical product distributor stocks also were some of Monday's top industry groups in afternoon trading.Amazon.com shares were up 0.7% but continued to trade below the 50-day moving average.The transportation sector continued to lead, with logistics, trucking and truck manufacturing among the top 10 industry groups in today's market. J.B. Hunt (JBHT) jumped 6% in heavy trading after the company beat profit expectations earlier today. The stock climbed back above the 50-day moving average and is forming a base with a 126.59 buy point.Banks continued their earnings announcements, with Bank of America (BAC) beating first-quarter earnings this morning. Earnings rose 51% to 62 cents a share. Adjusted revenue rose nearly 4% to $23.1 billion. Analysts had expected 59 cents on revenue of $22.907 billion. The stock erased losses and was up more than 0.4% at the close.Among defense contractors, United Technologies (UTX) rose 0.9%, Raytheon (RTN) 1.4% and Northrop Grumman (NOC) 0.3%. Raytheon climbed above the 222.92 buy point of a flat base, but volume was fading. Northrop is forming a base with a 359.53 buy point. Boeing (BA) was up 0.8%.Defense contractors have been seeing increased interest. Late Friday, the U.S., France and Britain launched a coordinated strike on Syrian chemical weapons facilities after accusing Syria of using such weapons on civilians.Among breakouts Monday, Proofpoint (PFPT) rose past the 123.97 buy point of a flat base. But volume was weak. Proofpoint was among several cybersecurity stocks rising Monday as an industry conference got underway and analysts speculated on buyouts for the company.Cal-Maine Foods (CALM) broke out in volume about 30% more than average. Shares of the egg producer topped the 48.50 buy point of a cup-with-handle base but closed a bit below the entry. Cal-Maine has been profitable the past two quarters, after posting losses in five of the past six quarters. Sales have rebounded sharply, up 42% in the February-ended quarter.Several optical stocks slid after the U.S. Commerce Department barred a Chinese company from importing to the U.S.Officials said the firm illegally shipped telecommunications equipment to Iran and North Korea.Lumentum (LITE)tumbled 9%, Oclaro (OCLR) 15%, Acacia Communications (ACIA) 36% and Finisar (FNSR) 4%. Those stocks are in IBD's fiber optics industry group, which had rebounded to No. 26 out of 197 groups. But only Lumentum has an IBD Composite Rating above 90.RELATED:Charles Schwab Beats Ahead Of Top-Rated E-Trade, Interactive BrokersBank Of America Earnings Jump 51% In Q1; Stock Setting UpOption Trading: Earnings Expectations High For Netflix, Alcoa, AtlassianStocks Drop, As Market Ignores Good News On Earnings 
"
1,JBHT,"Breakouts by growth stocks are always interesting. Covenant Transport's (CVTI) gap up move past a buy point last week was maybe more interesting than most. The breakout occurred in powerful trade during a session when both the Nasdaq and the S&P 500 declined.The gain helped lift the stock this week onto IBD's Stock Spotlight list, a screen that specifically looks at stocks with strong fundamentals which are either building or just out of bases.Covenant, a trucking fleet operator based in Chattanooga, Tenn., remains in a buy range above a 30.71 buy point in a shallow base. But the stock is thinly traded, disqualifying it as a CAN SLIM leader candidate.But as is often the case, the stock's fundamental strength does draw attention to the No. 27 ranked Transportation — Trucking group. Industry groups often breed more than one hot stock at a time, particularly if the group is cyclical — as is trucking.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseRunning down the list of charts in the group quickly shows eight or nine stocks in base-building modes. Most of those are thinly traded or do not have strong enough earnings outlooks.But among the top names in the trucking group, Old Dominion Freight (ODFL) is just below a 150.41 buy point. J.B. Hunt (JBHT) is below a 124.26 cup-with-handle buy point. Knight-Swift Transportation (KNX) is below a flat base buy point at 52.04.The average EPS gain outlook for 2018 among those three is a very healthy 57%. On the revenue line, consensus views call for a 16% revenue gain for Old Dominion and a 14% gain for J.B. Hunt.Knight's revenue is seen spiking 127%, as the company begins to incorporate results from last year's merger between Swift Transportation and the much smaller Knight Transportation. In March, the combined company also acquired Richmond, Va.-based Abilene Motor Express. Abilene, a specialist in dry van and refrigerated transport, reportedly brings 450 trucks and about $100 million in annual revenue.Analyst consensus is projecting a 110% EPS jump and a 380% surge in revenue for the first quarter. In Q4, Knight posted a 79% EPS gain and a 370% revenue advance in the fourth quarter, its first gain on both lines since Q1 of 2015.Charts for Knight and Old Dominion show relative price strength lines pressing to new highs. J.B. Hunt's RS line is just a shade off its recent high.RELATED:Logistics: The Battle To Own The Last Mile In An Amazon-Tesla World5 Oil Stocks At Or Near Buy Points As Iran Tension Lifts Crude Trump's China Tariffs Likely To Be 7 Times Larger Than Steel Duties New Highs Scarce, But These Stocks Beat The Odds 'Vigilant' Fed Is About To Shift The Rate-Hike Goal Posts
"
2,JBHT,"Hunt JB Transportation Services (JBHT) saw an improvement in its IBD SmartSelect Composite Rating Friday, from 82 to 97. X The new rating shows the stock is outpacing 97% of all stocks when it comes to the most important stock-picking criteria. The market's biggest winners often have a 95 or higher rating in the early stages of a new price run. Hunt JB Transportation Services is now out of buy range after breaking out from a 112.08 buy point in a flat base. Looking For Winning Stocks? Try This Simple RoutineThe stock has an 87 EPS Rating, which means its recent quarterly and longer-term annual earnings growth tops 87% of all stocks. Its Accumulation/Distribution Rating of C shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks. The company reported a -29% earnings-per-share gain for Q4. Revenue growth increased 16%, up from 9% in the prior report. That marks two consecutive reports with increasing revenue gains. Hunt JB Transportation Services holds the No. 1 rank among its peers in the Transportation-Truck industry group. Old Dominion Fght Line (ODFL) and Saia (SAIA) are also among the group's highest-rated stocks.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
3,JBHT,"When considering what names to put on your watch list, look for stocks with an 80 or higher RS Rating. Hunt JB Transportation Services (JBHT) just met that criteria with a new score of 83. X IBD's proprietary rating measures market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the trailing 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 as they begin their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereHunt JB Transportation Services has risen more than 5% past a 112.08 entry in a first-stage flat base, meaning it's now out of a proper buy range. Look for the stock to offer a new buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Earnings-per-share growth decreased last quarter from -4% to -6%, but revenue rose from 7% to 9%. Keep an eye out for the company's next round of numbers on or around Jan. 19.The company holds the No. 9 rank among its peers in the Transportation-Truck industry group. Old Dominion Fght Line (ODFL), Forward Air (FWRD) and Saia (SAIA) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,JBHT,"The Relative Strength (RS) Rating for Hunt JB Transportation Services (JBHT) climbed into a higher percentile Friday, as it got a lift from 70 to 76. X IBD's proprietary RS Rating identifies market leadership by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the last 52 weeks stacks up against all the other stocks in our database. History shows that the stocks that go on to make the biggest gains tend to have an 80 or better RS Rating as they launch their largest climbs. See if Hunt JB Transportation Services can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksHunt JB Transportation Services is building a flat base with a 112.08 buy point. See if it can break out in heavy trade. While EPS growth declined in the company's most recent performance report from -4% to -6%, revenue grew 9%, up from 7% in the prior report. Hunt JB Transportation Services earns the No. 12 rank among its peers in the Transportation-Truck industry group. Old Dominion Fght Line (ODFL), Saia (SAIA) and Forward Air (FWRD) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,JBHT,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. X Earnings season picks up steam with more big banks reporting, such as Bank of America (BAC), Citigroup (C) and Goldman Sachs (GS), while tech heavyweight IBM (IBM) could set a major milestone with its quarterly results, and leaders…
"
6,JBHT,"Here is your Investing Action Plan for Wednesday: what you need to know as an investor for the coming day. X The Federal Reserve concludes its two-day policy meeting, while a whole bunch of trucking stocks — from trucking-fleet operator J.B. Hunt (JBHT) to truck maker Navistar (NAV) — are hovering near buy points. The trucking sector's stock movement…
"
7,JBHT,"On Friday, Hunt JB Transportation Services (JBHT) received an upgrade to its Relative Strength (RS) Rating, from 79 to 83. X This exclusive rating from Investor's Business Daily measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history reveals that the best stocks often have an 80 or better RS Rating as they launch their biggest climbs.Looking For Winning Stocks? Try This Simple RoutineHunt JB Transportation Services is now considered extended and out of buy range after clearing a 102.48 buy point in a first-stage consolidation. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Earnings growth declined in the most recent report from -4% to -6%. But revenue gains moved higher, from 7% to 9%. The company earns the No. 8 rank among its peers in the Transportation-Truck industry group. Saia (SAIA), Old Dominion Fght Line (ODFL) and Landstar System (LSTR) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,JBHT,"The major market averages turned lower ahead of an expected Congressional vote on the GOP tax bill. The House of Representatives is expected to vote today, while a Senate vote could happen today or Wednesday.X The Dow Jones industrial average fell 0.1%, dragged down by an Apple (AAPL) downgrade. The S&P 500 fell 0.1%, while the tech-heavy Nasdaq traded down 0.2%.Meanwhile, Bitcoin futures on the CME fell 4% to 18,360.Among the Dow Jones industrial components, Wal-Mart Stores (WMT) paced the advancers with a 1% gain. The discount retailer was upgraded from neutral to buy at Citigroup with a 117 price target — potential upside of nearly 20% to Monday's closing price. Shares are well-extended from a 82.09 flat-base entry.On the downside, Apple's recent breakout lost some luster early Tuesday, falling 0.8% after Nomura downgraded the iPhone maker from buy to neutral, saying the iPhone X has already been priced in to the stock. Shares are back below their 176.34 flat-base entry.Tesla (TSLA) reversed from early gains to fall 0.8% early Tuesday after shipping giant United Parcel Service (UPS) pre-ordered 125 Tesla Semis. Tuesday's announcement comes on the heels of previous orders from PepsiCo (PEP), Wal-Mart and J.B. Hunt (JBHT). The stock is building the right side of a potential base.Among companies reporting earnings, Darden Restaurants (DRI) topped top- and bottom-line estimates early Tuesday, prompting a 3% rise in its shares. The stock is now extended from an 88.67 cup-with-handle entry after Friday's breakout. The 5% buy range runs up to 93.10. The release marks a second straight quarter of earning growth acceleration— a bullish fundamental metric.Meanwhile, Micron Technology (MU) and FedEx (FDX) will report their earnings after the closing bell.Analysts expect the data-storage firm to earn $2.20 per share on revenues of $6.39 billion, according to Zacks Investment Research. Shares rose 1% and are just above their key 50-day support level.The delivery giant is anticipated to report EPS of $2.87 on revenues of $15.67 billion. The stock is extended after a mid-September flat-base breakout above a 220.09 buy point.Inside the IBD 50, PayPal (PYPL) declined over 1%. The payment processor is holding above the 50-day line and is building its first base since a flat-base breakout in mid-July.RELATED:Dow Jones Industrial Average And Dow Stocks: News And AnalysisCongress To Vote On Tax Bill; Micron, FedEx Report: Investing Action PlanWhat Do Oracle, Align Technology, Control4, Arista Share? A Flat Base Breakout
"
9,JBHT,"The S&P 500 index was slightly lower for the week even as Dow components Wal-Mart (WMT) and Cisco Systems (CSCO) skyrocketed on strong earnings and hopes that the titans will continue to transition into faster-growth markets. The Dow's General Electric (GE) tumbled as Wall Street isn't sold on its turnaround plan. Tesla (TSLA) unveiled new future vehicles even as it struggles to get the Model 3 out the door and General Motors (GM) ramps up its electric car goals. Chinese internet leaders Tencent (TCEHY), JD.com (JD), YY (YY) and NetEase (NTES) all had strong earnings reports.The S&P 500 index fell 0.1% for the week while the Dow lost 0.3%. The Nasdaq composite climbed 0.5% after hitting an all-time high Thursday. Wal-Mart, Cisco, NetApp (NTAP), Applied Materials (AMAT) and several Chinese internets helped, along with some up-and-down movement on tax cuts. General Electric was a disappointment.Wal-Mart per-share earnings unexpectedly rose 2% to $1 a share on 4% sales growth to $123.18 billion, including e-commerce growth of 50%. Investors were pleased, sending shares up 10.9% on Thursday to a record high. On Wednesday, Target (TGT) offered up weak guidance for the ""highly competitive"" holiday quarter. The discounter did top Q3 forecasts with a 12.5% EPS fall to 91 cents and 1.4% sales rise to $16.67 billion. Shares tumbled below their 200-day line on Wednesday but regained that key level by the end of the week.New General Electric (GE) CEO John Flannery offered up a plan to turn around the troubled industrial giant, but Wall Street found GE's strategic vision held little that was new or bold. GE will reduce its footprint to just three key divisions — aviation, power and health care. Flannery also halved the profit outlook for 2018 and GE's rich dividends. Investors sent GE shares to a nearly six-year low.Cisco Systems (CSCO) surged to a 17-year high after the computer networking giant said it expects December-quarter revenue to rise 1%-3%, the first year-over-year gain in nearly two years. Cisco forecast earnings of 59 cents a share at its midpoint of guidance vs. estimates of 58 cents. Cisco reported strong demand for its new Catalyst 9000 network switches. The new switches are part of Cisco's plan to grow recurring subscription revenue. Deferred revenue rose 10% in the latest quarter.NetApp (NTAP) reported revenue of $1.42 billion, beating the consensus estimate of $1.38 billion. Adjusted earnings came in at 81 cents per share, ahead of views for 69 cents. The data storage and networking company also raised its outlook for the December quarter. Shares soared.T.J. Maxx parent TJX fell short of revenue estimates with sales of $8.76 billion but met EPS views with a 10% rise to $1 a share. The midpoint of Q4 profit guidance fell short of current forecasts, sending shares lower. Off-price peer Ross Stores, meanwhile, easily topped views with 16% profit gains to 72 cents a share as revenue grew 8% to $3.33 billion. Comps of 4% beat views for 2%, and Ross raised Q4 comp outlook. Ross shares surged Friday.Gap (GPS) and Abercrombie & Fitch (ANF) rallied Friday on well-received Q3 reports from the apparel chains.Warren Buffett's Berkshire Hathaway (BRKB) bought more Apple (AAPL) shares in the third quarter and sold a huge share of its IBM (IBM) holdings, regulatory filings showed. The big investors clashed on the iPhone maker, which hit a record high in Q3. George Soros' Soros Fund Management dumped his entire stake, while David Einhorn's Greenlight Capital slashed its stake nearly in half, and David Tepper's Appaloosa doubled its stake. Outside tech, Berkshire kept faith with airlines. Soros loaded up consumer stocks.It was a good week or China internet companies as five of them reported quarterly results that all topped estimates. The big winner was YY (YY), a provider of livestreaming services. YY reported revenue of $464.8 million, smashing the consensus estimate of $423 million. Shares soared more than 20%. Tencent Holdings (TCEHY), a leader in gaming and messaging, saw its shares approach a new high on its quarterly results. China e-commerce company JD.com (JD) got a boost as well, as did 58.com (WUBA), called the Craigslist of China. Mobile gaming specialist NetEase (NTES) trounced earnings views, sending shares surging nearly 8% Thursday and almost 13% on Friday.Consumer electronics retailer Best Buy (BBY)  earned an adjusted 78 cents a share in its third quarter, up 30% year over year, on sales of $9.32 billion, up 4%. But analysts expected 79 cents and $9.35 billion. Best Buy blamed the delayed launch of the Apple (AAPL) iPhone X and hurricanes in Texas and Florida for the Q3 disappointment. For the holiday quarter, Best Buy expects to earn $1.94 a share on sales of $14.35 billion, based on the midpoint of its guidance. Analysts were modeling for EPS of $2.03 on sales of $14.36 billion.Semiconductor-equipment giant Applied Materials (AMAT) beat fiscal fourth quarter sales and earnings targets and guided higher for the current quarter. Its stock climbed to a record high on the news, finally eclipsing its previous record reached in April 2000 during the dot-com bubble. Another chip-gear stock getting a lift from a positive earnings report was Kulicke & Soffa Industries (KLIC). Also, semiconductor-equipment firm Lam Research (LRCX) got a boost after announcing a $2.3 billion capital return program.Biotechs were relatively beat up last week with a few key exceptions. Five Prime Therapeutics (FPRX) continued taking hits Monday, diving nearly 10% on data in a pancreatic cancer trial using its drug, cabiralizumab, with Bristol-Myers Squibb (BMY) blockbuster Opdivo. Pacira Pharmaceuticals (PCRX) lost 6.6% Tuesday after the Food and Drug Administration set a date for an advisory committee to discuss its drug, Exparel, as a regional anesthetic. Also Tuesday, Loxo Oncology (LOXO) led a biotech deluge as stocks broadly lost 1.9% after it agreed to codevelop two cancer drugs with Bayer (BAYRY) in a $1.55 billion deal. On Wednesday, Acorda Therapeutics (ACOR) dipped to a five-month low after reporting five deaths in its late-stage Parkinson's disease studies. Nektar Therapeutics (NKTR) defied the trend, though, and rose to a nearly 17-year high Monday on a promising trial of its drug, NKTR-214, with Bristol's Opdivo in skin, kidney and lung cancers.Tesla (TSLA) unveiled an all-electric Semi truck with a higher-than-expected 500-mile battery range as well as a next-generation Roadster sports car. CEO Elon Musk said the new truck will start production in 2019, though Tesla has struggled with deadlines. In the meantime, JB Hunt (JBHT) and others plunked down $5,000 reservations, offering cash-burning Tesla more capital for its Model 3 rollout. Tesla shares rose a fraction Friday. Meanwhile, General Motors (GM) plans to sell 1 million electric vehicles a year by 2026. That aggressive new target hinges on a next-gen EV platform by 2021, with less costly batteries.Inflation appears to be firming, but hurricane recovery may be playing a role, new Labor Department data suggested. Core consumer prices, excluding food and energy, rose 1.8% from a year ago, with an annualized 2.4% gain over the past three months. Rent inflation has been behind the recent strength, but used car prices also bounced in October, likely a temporary effect of demand created when hurricanes Harvey and Irma destroyed hundreds of thousands of vehicles.While all evidence suggests the economy is on something of a roll, retail sales moderated after surging an upwardly revised 1.9% in September. The overall 0.2% gain edged past expectations, but came in on the weak side outside of autos with a 0.1% rise.Emirates announced an order for 40 Boeing (BA) 787-10s, valued at $15.1 billion at list prices, instead of the expected Airbus (EADSY) A380 order. Boeing also inked an order for 175 737 Max jets from discount carrier FlyDubai. Airbus had a surprise of its own, shocking industry watchers with a $49.5 billion order for 273 A320neo jets and 157 A321neos from U.S. investor Indigo Partners, the largest in Airbus' history. Even Bombardier (BDRBF) signed an order for its struggling CSeries line at the show. Boeing said the Middle East will need 3,350 new airplanes over the next 20 years, valued at $730 billion, up from its 2015 market outlook of 3,180 new planes.Dick's Sporting Goods (DKS) reported third-quarter earnings and sales that beat estimates. But the struggling retailer said earnings per share next year could fall by as much as 20%, citing flat same-store sales and plans to spend money on e-commerce, private brands and other investments. Dick's shares fell Tuesday but rose for teh week. However, Foot Locker (FL) and Hibbett Sports (HIBB) reported better-than-expected earnings, sending their shares soaring Friday. Mall-based Foot Locker said inventories are falling, good news for Nike (NKE). Hibbett Sports cited strong online sales, and raised full-year guidance.U.S. crude output hit a new high of 9.645 million barrels per day from a 9.62 million bpd in the week-ago report, the Energy Information Administration said. Stockpiles increased by 1.9 million barrels. Analysts expected a drop of 1 million barrels. In its World Energy Outlook, the International Energy Agency estimated that U.S. output would jump 25% — to 30 million barrels of oil equivalent per day from 24 million currently. But the IEA also cut its 2017 and 2018 oil demand forecast by 100,000 barrels per day. U.S. crude futures fell slightly for the week.RH (RH), the upscale furniture retailer formerly known as Restoration Hardware gave preliminary Q3 earnings figures that were well above estimates and other guided 2018 revenue estimates higher. Shares soared 26% on Thursday. But upscale home furnishings chain Williams-Sonoma (WSM) tumbled 13% Friday on weak earnings.Data services provider Splunk (SPLK) reported third-quarter results that beat estimates on the top and bottom lines, with a revenue forecast above expectations, sending shares up 18% on Friday.Buffalo Wild Wings (BWLD) shares zoomed nearly 24% on Tuesday on the previous evening's after-hours Wall Street Journal report that private-equity firm Roark Capital had offered over $2.3 billion, or $150 a share, for the restaurant chain.Wireless-chip maker Qualcomm (QCOM) rejected an unsolicited acquisition offer by Broadcom (AVGO), saying the proposed $130 billion deal undervalues the company. Broadcom was undeterred and indicated it could take its proposal directly to shareholders.Square (SQ) said it's in trials with a Bitcoin service that lets users of its Square Cash money-transfer app buy and sell the digital currency via an exchange.
"
