,ticker,content
0,KLAC,"KLA Tencor (KLAC) had its Relative Strength (RS) Rating upgraded from 69 to 75 Friday -- a welcome improvement, but still short of the 80 or higher score you look for. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.This unique rating identifies technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price performance over the trailing 52 weeks compares to the rest of the market. History reveals that the top-performing stocks tend to have an RS Rating of at least 80 in the early stages of their moves. See if KLA Tencor can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereKLA Tencor is trying to complete a consolidation with a 124.06 buy point. See if it can clear the breakout price in volume at least 40% above average. While EPS growth decreased in the company's most recently reported quarter from 30% to 25%, the top line grew 12%, up from 11% in the previous report. The company earns the No. 13 rank among its peers in the Electronics-Semiconductor Equipment industry group. Rudolph Technologies (RTEC), Cabot Microelectronics (CCMP) and Nanometrics (NANO) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:
"
1,KLAC,"KLA Tencor (KLAC) had its Relative Strength (RS) Rating upgraded from 68 to 72 Friday -- a welcome improvement, but still shy of the 80 or better score you look for. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners tend to have an RS Rating north of 80 in the early stages of their moves. See if KLA Tencor can continue to show renewed price strength and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineKLA Tencor is not currently near a potential buy zone. See if the stock goes on to form a promising consolidation that could kick off a new climb.KLA Tencor reported 30% earnings growth in its most recent report. Sales increased 11%. The next quarterly numbers are expected on or around Apr. 27.The company earns the No. 16 rank among its peers in the Electronics-Semiconductor Equipment industry group. Cabot Microelectronics (CCMP), Entegris (ENTG) and Lam Research (LRCX) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:
"
2,KLAC,"The Relative Strength (RS) Rating for KLA Tencor (KLAC) moved into a higher percentile Monday, as it got a lift from 69 to 73. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.IBD's unique RS Rating tracks market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. History shows that the market's biggest winners often have an 80 or higher RS Rating as they begin their largest climbs. See if KLA Tencor can continue to show renewed price strength and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineWhile the stock is not near a proper buy zone right now, see if it goes on to form and break out of a proper base.KLA Tencor posted 30% EPS growth in the latest quarterly report, while sales growth came in at 11%. The company is expected to report its latest results on or around Apr. 27.KLA Tencor earns the No. 14 rank among its peers in the Electronics-Semiconductor Equipment industry group. Lam Research (LRCX), Cabot Microelectronics (CCMP) and Applied Materials (AMAT) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:
"
3,KLAC,"The Relative Strength (RS) Rating for KLA Tencor (KLAC) jumped into a new percentile Tuesday, as it got a lift from 70 to 78. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.This proprietary rating tracks technical performance by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. History reveals that the best stocks typically have an RS Rating of above 80 in the early stages of their moves. See if KLA Tencor can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksWhile KLA Tencor is not near a proper buying range right now, see if it manages to form and break out of a proper consolidation.KLA Tencor showed 30% EPS growth in the latest quarterly report, while sales growth came in at 11%. KLA Tencor earns the No. 16 rank among its peers in the Electronics-Semiconductor Equipment industry group. Lam Research (LRCX), Cabot Microelectronics (CCMP) and Applied Materials (AMAT) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:
"
4,KLAC,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. KLA Tencor (KLAC) cleared that benchmark Monday, with a jump from 78 to 83 Monday. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's proprietary rating tracks share price action with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners tend to have an RS Rating of over 80 as they begin their biggest price moves.See How IBD Helps You Make More Money In StocksKLA Tencor is working on a cup without handle with a 121.75 entry. See if it can clear the breakout price in heavy volume. The company showed 30% earnings growth last quarter. Revenue rose 11%. KLA Tencor holds the No. 9 rank among its peers in the Electronics-Semiconductor Equipment industry group. Lam Research (LRCX), Applied Materials (AMAT) and ASML (ASML) are among the top 5 highly rated stocks within the group.RELATED:
"
5,KLAC,"Chip-gear maker KLA-Tencor (KLAC) received a stock rating downgrade Friday over concerns about slower foundry investments in the second half of 2018.Needham analyst Edwin Mok lowered his rating on KLA-Tencor to hold from buy. He made the move after recent checks suggested an increased risk for slower 7-nanometer and 5-nanometer semiconductor equipment investments later this year.""While we like KLAC's longer-term prospects, we expect the foundry delays coupled with some memory push-outs to drive downside to consensus view in second-half calendar 2018 and limit near-term share price appreciation,"" Mok said in a report.KLA-Tencor is facing a situation similar to what happened in 2015 when foundries delayed investments in 16-nanometer and 10-nanometer technology. The stock came under pressure at that time, he said.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseKLA-Tencor has outperformed peers Applied Materials (AMAT) and Lam Research (LRCX) recently because of its lower exposure to memory-chip manufacturing. But now the stock appears to have limited upside, Mok said.The stock fell 3.4% to 106.56 on the stock market today. It slashed through its 50-day and 200-day moving averages, both key support levels.The Milpitas, Calif.-based company would be impacted by spending cuts at customer Taiwan Semiconductor Manufacturing (TSM).Taiwan Semi is likely to reduce or even delay its 5-nanometer pilot factory line investment, based on channel checks. Also, Taiwan Semi is likely to slow the growth of its 7-nanometer capacity, Mok said.""Coupled with limited investments by the other leading foundries, we expect to see a smaller-than-expected foundry rebound in second-half 2018,"" Mok said. That would drive down sales and earnings for KLA-Tencor.RELATED:Data Storage Firm Smart Global Holdings Beats Earnings TargetIntel CEO Resigns After Probe Of Improper Relationship With StafferMicron Earnings Report Shows Strength Of Memory Chip Market
"
6,KLAC,"This week's big planned Trump administration announcement of emergency investment and export rules targeting China is out, and it doesn't include any rules or even mention China. By now it should be clear that Trump is bending over backwards to soothe Beijing and avoid a China trade war.Instead of detailing tough new emergency measures, including a reported 25% limit on Chinese ownership in firms buying key technology, Trump will instead back legislation moving through Congress to update the Committee on Foreign Investment in the United States, or CFIUS.In a statement that never mentions China, Trump noted, ""certain countries direct and facilitate systematic investment in United States companies and assets in order to obtain cutting-edge technologies and intellectual property in industries those countries deem important.""Last week, Trump called members of Congress to the White House to stop them from interfering with his plan to save 70,000 Chinese tech jobs at communications equipment firm ZTE put at risk by U.S. sanctions.Trump's moves appear designed to facilitate progress in trade negotiations ahead of a July 6 Trump tariff deadline that may dramatically intensify the emerging China trade war. On that date, the U.S. is to impose 25% tariffs on $34 billion worth of Chinese high-tech-related imports, with tariffs on another $16 billion in goods due shortly thereafter. China has said it will match Trump tariffs dollar for dollar, whenever they are imposed.The Dow Jones industrial average, S&P 500 index and Nasdaq all rallied early Wednesday on hopes that Trump's move to delay investment and export restrictions might keep the China trade war on the back burner. But they reversed sharply lower as the bond yield curve narrowed.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe Financial Times reported on Tuesday that Trump had been ""spooked"" by Monday's market sell-off, which helped spur the change in plans.Trump has already made clear that he wants a trade deal, not a China trade war, and he came close to reaching one in May that would have had Beijing buy an additional $70 billion in U.S. goods. Trump touted the emerging deal, tweeting that China would  ""buy massive amounts of ADDITIONAL Farm/Agricultural products"" from the U.S.China appears open to such a deal, if it can avert tariffs and trade restrictions that jeopardize its ""Made in China 2025"" strategy.Trump's latest decision could be a reprieve for the semiconductor sector. Chip equipment from key U.S. suppliers Applied Materials (AMAT), KLA-Tencor (KLAC) and Lam Research (LRCX) was seen as one likely area for controlling exports. Chinese companies account for about 6% of the group's sales.Such restrictions would ""severely limit China's ability to develop greater self-sufficiency in chip manufacturing,"" a key goal of its ""Made in China 2025"" strategy, Moody's says.On Tuesday, the House cleared the modernized CFIUS bill, which now will move to a conference merging it with a Senate-passed bill.Trump's statement said that ""such legislation will provide additional tools to combat the predatory investment practices that threaten our critical technology leadership, national security, and future economic prosperity.""YOU MIGHT ALSO LIKE: Dow Jones Futures: 5 Reasons Why The Market Sell-Off Was Worse Than It SeemedStocks Strengthen In Afternoon; Netflix, Apple, Intuitive Surgical Lead Nasdaq 100Faster Than Concorde: Boeing Hypersonic Jet Concept Would Cross Atlantic In 2 HoursTesla Stock Pops As Musk Teases Pickup Truck Details In TweetStock Market Today: Track Market Trends And The Best Stocks To Watch  
"
7,KLAC,"The Nasdaq composite lagged amid a sell-off in technology shares Friday while the other major indexes ended higher thanks to strength in oil stocks.The Nasdaq fell 0.3%, for a slight loss for the week. Weakness in software, data storage and other technology industry groups hit the composite hard. The Russell 2000 — which, like the Nasdaq, also has a big weighting in techs — fell 0.3%.The Dow Jones industrial average snapped an eight-day losing streak, adding 0.5%. The S&P 500 rose 0.2% but still finished down modestly for the week.The oil sector dominated Friday's leadership. The six best performing industry groups were all in the energy sector. Drilling, exploration, oilfield service and oil machinery industry groups rose 2.5% to 3.7%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOPEC members agreed to raise production by 1 million barrels a day, settling a dispute that had caused uncertainty in the crude oil market. Normally, higher production would mean lower prices. But the decision was bullish for oil prices because the planned output boost will bring markets closer to balance, an Edward Jones analyst said.SPDR Energy ETF (XLE) rose 2% despite giving back some earlier gains.But the tech sector struggled. Certainly the weakness in the software sector had much to do with Red Hat (RHT). The cloud software company gave cautious guidance for the current quarter and full year, sending its shares to the lowest level since February. The stock gapped down below its 50-day moving average in huge volume, collapsing 14%.Meanwhile, Needham downgraded chip-gear maker KLA-Tencor (KLAC) to hold from buy Friday, citing concerns about slower foundry investments in the second half of 2018. KLA shares slid more than 3% in heavy trading.Automakers also struggled after President Trump threatened via Twitter to impose a 20% tariff on cars imported from the European Union. IBD's automakers' group fell 3.5%.RELATED:Cloud Computing: Find Top Cloud Stocks And Track Industry TrendsTop Semiconductor Equipment Stock Downgraded On Slower Foundry SalesWhen To Sell: Is Your Stock 'Living' Beneath The 10-Week Line?
"
8,KLAC,"On Thursday, KLA Tencor (KLAC) earned an upgrade to its Relative Strength (RS) Rating, from 77 to 81. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.This exclusive rating from Investor's Business Daily identifies market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price behavior over the last 52 weeks holds up against all the other stocks in our database. History reveals that the stocks that go on to make the biggest gains tend to have an RS Rating north of 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksKLA Tencor is not currently offering a proper buying opportunity. See if the stock goes on to form a promising consolidation that could kick off a new price move.KLA Tencor showed 30% EPS growth in the latest quarterly report. Sales gains came in at 11%. The company earns the No. 7 rank among its peers in the Electronics-Semiconductor Equipment industry group. Applied Materials (AMAT), ASML (ASML) and Lam Research (LRCX) are among the top 5 highly rated stocks within the group.RELATED:
"
9,KLAC,"The next shoe to drop in President Donald Trump's China trade war was expected to land this week. Officials were expected to detail new investment restrictions and Trump export controls aimed at China by June 30, with semiconductor equipment a likely focus.But Trump trade advisor Peter Navarro in a CNBC interview and Treasury Secretary Steven Mnuchin in a tweet tried to downplay the coming report, saying it isn't aimed at China directly. Mnuchin tweeted that investment restrictions would target any country that steals American technology. Navarro said there would be no investment restrictions.Stocks rallied into the close but still finished with deep losses. The Dow Jones industrial average closed below its 200-day moving average for the first time in two years, and that post-Brexit vote move two years ago only lasted a day. The S&P 500 index closed just above its 50-day line after trading below that key support most of the session. The Nasdaq composite skidded 2.1%.So has the plan that tanked the stock market really changed? It's hard to be sure, but it wouldn't be a shock. Although Trump threatened a full-scale trade war with China last week, he's also been working to save ZTE, the Chinese communications equipment firm that is the 4th biggest cell phone supplier to the U.S. market.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe logical explanation is that Trump really wants a deal with China. He's been wielding threats to help make it happen, but the stock market reaction on Monday may help convince him to back off a new threat that could make it impossible for China to return to the bargaining table.The biggest near-term concerns about the coming news drop have less to do with Chinese investment restrictions and more to do with Trump export controls.In a new analysis, Moody's Investors Service said that the toughest export restriction it envisions likely would be a ban on chip equipment sales to Chinese companies, which account for 6%, or $1.8 billion, of combined revenue for Applied Materials (AMAT), Lam Research (LRCX) and KLA-Tencor (KLAC).Shares of Applied Materials sank 2.6% in the stock market today, while Lam Research lost 2.1% and KLA-Tencor 2.3%.Total sales in China for those big three U.S. chip-equipment firms make up 18% of total revenue, including sales to non-Chinese companies operating in China. Moody's doesn't rule out the possibility Trump export controls could go so far as to ban sales of chip gear even to non-Chinese companies operating in China, such as Samsung, Intel (INTC) and Taiwan Semiconductor Manufacturing (TSM).Even if Trump export controls only cut off sales to Chinese companies, that could go a long way to deepening trade hostilities between the U.S. and Beijing.Such restrictions would ""severely limit China's ability to develop greater self-sufficiency in chip manufacturing,"" a key goal of its ""Made in China 2025"" strategy, Moody's says.China aims to close the technological gap, dominate domestic markets and establish global leadership in advanced sectors such as semiconductors, robotics and artificial intelligence. U.S. efforts to counter this threat point to an American technological cold war with China, regardless of Trump's combative approach to trade.""Outside of Applied, Lam and KLA, we believe alternative suppliers of the array of leading-edge semiconductor equipment that Chinese companies need to produce chips do not exist.""Just a week after the new restrictions are expected to be released, on July 6, 25% tariffs are set to take effect on roughly $34 billion worth of imports from China. Another $16 billion worth of goods could also face tariffs shortly thereafter. The second batch of Trump tariffs includes processor and memory chips.A study based on the preliminary list of goods to face Trump tariffs found that the bulk would hit multinationals from the U.S. and other countries besides China. The Semiconductor Industry Association said much the same thing on June 15 after the final list of products was released: ""The proposed imposition of tariffs on semiconductors from China, most of which are actually researched, designed, and manufactured in the U.S., is counterproductive and fails to address the serious IP and industrial policy issues in China.""YOU MIGHT ALSO LIKE:5 Reasons Why The Market Sell-Off Was Worse Than It SeemedHarley-Davidson Just Gave Trump Tariffs A Black EyeIf You Want To Buy More Apple Or Nvidia Shares, Read ThisStock Market Today: Track Market Trends And The Best Stocks To Watch
"
