,ticker,content
0,KSS,"Despite mixed earnings results several weeks ago, department-store retailers were among some of the day's top-performing industries in the stock market today. Two department-store stocks are near buy zones after strong price advances — Dillard's (DDS) and Nordstrom (JWN).XThe department-store industry is a top-tier group with a No. 23 ranking out of 197 groups. Over the last year, the group has mostly proved its ability to weather the Amazon.com (AMZN) storm. Strong earnings reports in the past few weeks for several department stores have given the group new fuel.According to IBD Stock Checkup, Macy's (M) is the No. 1-ranked stock, with a 94 IBD Composite Rating. The rating blends key fundamental and technical metrics to gauge a stock's overall strength.The stock was a volatile trade after a flat-base breakout on April 26. The stock broke out above a 31.14 buy point, but quickly stumbled and triggered the 7%-8% loss-cutting sell signal. On May 16, the stock launched almost 11% higher after a better-than-expected earnings report.Shares rose more than 3% in morning trade Tuesday, reaching the highest level since Dec. 15.Kohl's (KSS) advanced more than 4% at midday Tuesday on its way out of the buy range above a 69.58 buy point. Shares broke out on Monday with a 4.7% gain. Volume rose just 15% above average. Volume should ideally rise at least 40% above average to signify strong institutional demand.Dillard's is breaking out and in buy range above an 88.61 cup-shaped base entry, according to MarketSmith chart analysis. Shares jumped more than 5% at midday, and volume was tracking about 80% above average.In the most recent quarter, earnings and sales grew 36% and 3%, respectively, vs. the year-ago period.Bullishly, the stock's relative strength line is hitting a new high to underscore the stock's outperformance vs. the general market. Meanwhile, the stock has an Accumulation/Distribution Rating of B and an up/down volume ratio of 1.2.Nordstrom is approaching a double bottom's 52.24 entry. Shares gapped down below their 50- and 200-day lines on May 18 but are quickly recovering. The stock has an eight-day win streak and is aiming for a ninth straight gain.The latest quarter showed earnings growth of 19%, which snapped a three-quarter streak of declining growth.RELATED:Department-Store Duds? Nordstrom Comps Light, J.C. Penney Slashes OutlookRetail Stock Five Below Expecting 120% Growth, Nears Buy Zone Ahead Of EarningsHot Chinese Stocks, Software Firm In Buy Range To Report: Investing Action PlanRetail And E-Commerce News And Stocks To Watch
"
1,KSS,"Retail stocks were among those that rallied, but the stock market didn't set any records in the first half of 2018. A brewing trade war, rising interest rates and a market due for some serious consolidation all gnawed at investor confidence. X Against that backdrop, rebounding retail stocks came as a surprise. Retail industry groups in…
"
2,KSS,"Mutual funds have been the workhorse of American retirement for decades, with Vanguard, Fidelity, American Funds, JPMorgan Chase (JPM) and T. Rowe Price (TROW) leading a $16 trillion-in-asset industry that offers numerous investment choices to help you reach your investment goals.How do you build and maintain a portfolio of funds that will carry you safely to your goals?Start by checking the lists below (updated Monday through Friday), which highlight top performers that invest in various types of stocks and bonds. You'll also find ongoing coverage of the latest trends, tips on how to invest, monthly reports and IBD's annual Best Mutual Funds Awards.See The Best Mutual Funds Over The Last 1, 3, 5 & 10 YearsDiversified Stocks | Growth | Large Cap | Small Cap | ALL CATEGORIESNew Buys Of Top-Performing Funds Over Last 3 MonthsView More Mutual Fund NewsView More Mutual Fund Performance ReportsView Full Best Mutual Fund Awards ReportRELATED:How To Buy And Sell Mutual Funds For The Long TermWhere Mutual Fund Bigwigs Expect To See Stock Gains In 2017Best Exchange Traded Funds (ETFs)Best Stocks To Buy And Watch 
"
3,KSS,"The S&P 500 rose slightly in late-afternoon trading Tuesday, while the Nasdaq composite was back near highs after hitting an all-time high earlier in the session. The so-called FANG stocks were mixed, with Amazon.com (AMZN) and Netflix (NFLX) showing gains of just over 1%. Google parent Alphabet (GOOGL) and Facebook (FB) edged lower.The Nasdaq added 0.4%, the S&P 500 picked up 0.1%, and the Dow Jones industrial average was flat. After lagging Monday, small caps outperformed, with the Russell 2000 up 0.5%. Volume on the NYSE and Nasdaq was tracking close to Monday's levels.In stock market results today, Chevron (CVX) and Exxon Mobil (XOM) were strong performers in the Dow as oil prices rebounded. U.S. crude oil futures for July delivery recently traded around $65.46 a barrel, up 1.1%.Top performers in the S&P 500 had a retail flavor. Shares of Gap (GPS) soared 8%, while Macy's (M) jumped 7%.After a strong showing Monday, department-store operators outperformed again. Dillard's (DDS) followed through after Monday's breakout from a cup-with-handle base with an 84.34 entry. Shares rose 5% and are up 11% so far this week. Read more about Dillard's in today's New Highs column.Kohl's (KSS) also followed through with a 5% gain. It recently cleared a double-bottom base with a 67.10 buy point. The stock on Monday broke out to new high ground.Elsewhere, in the chip space, STMicroelectronics (STM) gapped up over a 24.62 cup-with-handle buy point. Shares were recently trading around 24.78, up 4%. Meanwhile, chip equipment firm ASML (ASML) also gapped up and was just below a 213.45 double-bottom entry. Shares rose 4% to 24.84.Twitter (TWTR) jumped 5% in heavy volume on news it'll soon join the S&P 500. The stock has turned into a compelling turnaround story after reporting a 21% increase in quarterly sales in late April. Twitter recently cleared a cup-with-handle base with a 33.88 buy point. It's well-extended in price now. Twitter is a recent new addition to the IBD 50 list of leading growth stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAlso in the IBD 50, HealthEquity (HQY) jumped 3% after the health-savings-account provider reported strong earnings late Monday. It's also extended in price after a low-volume breakout over a 68.85 buy point.You Might Also Like:IBD Stock Of The Day: Payment Leader Is A Buy But Nears Better EntryThis Fashion Apparel Maker Stuns With Profit; Stock SoarsThese Top 5 Stocks Are Moving Into Buy Range Today
"
4,KSS,"Retail is dead. Long live retail! After years of intense pressure from Amazon.com (AMZN), brick-and-mortar retail stocks like Macy's (M), Kohl's (KSS) and TJ Max owner TJX (TJX) have rebounded. And the best mutual funds have been picking up shares.In addition to retail stocks, the best-performing mutual funds have also been putting money into the semiconductor, medical, transportation and banking sectors over the last three months.Seventeen top funds invested approximately $70.7 million in Macy's. Such buying has helped boost the department store chain's share price from a November low of 17.41 to a recent high of 41.33. Macy's ended Tuesday's trading at 39.96.Kohl's saw 16 of the best mutual funds scoop up an estimated $40.4 million worth of shares from March to May. Kohl's initially cleared a 67.10 double-bottom buy point on May 29. But the Wisconsin-based retail stock really blasted higher on June 4. Kohl's closed Tuesday's market session at 78.32, around 13% above the entry.TJX, Famous Footwear owner Calares (CAL) and building products retailer W.W. Grainger (GWW) have also been rising over the last few months. Grainger is extended from its recent breakout, while Calares is looking to retake a 36.10 buy point in an early stage flat base. The stock is currently 3% below that entry.Although Amazon didn't join its retail rivals on this month's list, its stock has been showing strength. Amazon is now out of buy range from its latest buy point.Apparel manufacturer PVH (PVH) did make the list and has just fashioned a new breakout. After reporting a 43% spike in earnings on May 3, the owner of leading brands like Tommy Hilfiger and Calvin Klein is now 1% above a 163.88 entry.Fellow clothing maker Oxford Industries (OXM) cleared an 84.42 buy point on June 1, and is currently trading 10% above that price.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBoeing (BA), Texas Instruments (TXN) and Adobe Systems (ADBE) topped the latest list of new buys, with each pulling in over $1 billion in new investments.Fifty-three top funds invested approximately $1.9 billion in Boeing, while 69 funds put an estimated $1.2 billion into Adobe. Forty-one mutual funds laid down their chips in semiconductor giant Texas Instruments to the tune of just over $1 billion.Boeing lifted off past a 348.67 buy point in May and is currently 6% beyond that price. Adobe is around 35% above the 186.37 entry it cleared in early January, while Texas Instruments is working on a new base.Wolverine World Wide (WWW) led the list of stocks being sold with 22 net sellers (40 selling minus 18 buying). Despite that selling, the retailer of outdoor clothing and work footwear cleared a 33.92 recently and has now climbed out of buy range.Fellow retail stock Dillard's (DDS) was also near the top of the list with 16 net sellers (26 selling minus 10 buying). Like Wolverine, Dillard's has climbed sharply higher this month.Norfolk Southern (NSC), Harsco (HSC) and Chemed (CHE) also showed a significant number of net sellers.YOU MAY ALSO LIKE:Growth Stocks In Tech And Health Care: Fund Managers Like Their OutlookHow To Find Good Growth Stocks: A Mutual Fund Pro's Emotion-Free ApproachU.S. Treasuries Led Bond Funds Higher As 10-Year Yield Tumbled To 2.8%Which Stocks Make This List Of The Fastest Growing Companies?Looking For Breakout Stocks Like Nvidia? Start Your Search Here
"
5,KSS,"Retailer stocks and consumer-spending plays, particularly those focusing on apparel and food, did well on Tuesday during another upbeat session for the Nasdaq.The tech-rich composite gained 0.4% on the back of strength in companies including Netflix (NFLX) (up 1%) and Apple (AAPL) (up 0.7%). Both reached new highs.Apple and Netflix are two FAANG companies that hold a spot in IBD Leaderboard. The premium service features annotations on the daily and weekly charts to help users become more adept at spotting precise buy points and sell signals.Chip and semiconductor equipment plays also showed upside progress. ASML (ASML), the Dutch lithographic systems giant, gapped up at the open and rallied more than 2% to 209.15, good for a nearly seven-week high. ASML is still in basing mode.The Russell 2000-tracking iShares Russell 2000 ETF (IWM) beat the large caps yet again. The exchange traded fund rose 0.6% to 165.71, up 8.5% since Jan. 1.The S&P 500 eked out a gain of less than 0.1%. At 2749, the large-cap benchmark is up only 2.8% year to date. The Dow Jones industrials closed virtually flat. Volume grew on the NYSE and sank on the Nasdaq, according to early data. The Dow transports slumped 0.4% after being down as much as 1.1% intraday. Crude oil rebounded. WTI futures rose 0.9% to $65.33 a barrel.Meanwhile, hot new IPO Canada Goose (GOOS), maker of winter coats that sell for $800 or more, advanced for a seventh straight session. Shares rose nearly 2% to 43.92 and hit new highs in low volume.A hot growth stock can make new highs in below-average trade and still have the strength to keep its long-term uptrend going. That's especially true when the breakout from a proper base occurred within the past 18 weeks or so.However, Canada Goose is close to triggering an offense-type sell signal. Why? Since its April 19 breakout past a 36.76 buy point, the stock is close to nailing a 20% profit, which would trigger at 44.11.Canada Goose debuted on the NYSE at 12.75 a share in March 2017.When CAN SLIM-style growth investors take multiple profits in good-sized positions at 20% to 25%, they set themselves up for a grand year.Think of it this way. If you start with $10,000 and invest all of that money in a stock that leads the market, sell all shares when the profit reaches 20%. Now you're at $12,000. Do this two more times, and your balance is up to $17,280, up 72.8%.The Toronto-based apparel company is enjoying fantastic growth, with earnings rising 189% to 55 cents a share in fiscal 2017 (ended in March of that year) on a 39% blast up in sales to $303 million. Most of its sales come in the quarters ending in September and December.Elsewhere in the retail space, Kohl's (KSS) and Dillard's (DDS) outperformed with gains of more than 4% each. Kohl's is now extended more than 11% past a 67.10 prime entry in its double bottom.Dillard's is in buy range from a conventional entry at 88.61. Read more in today's New Highs column.Grubhub (GRUB) climbed as much as 5.3% before settling back to end at 109.46, up 1.5%. Yet more important, the online and mobile food-ordering innovator is now trying to rush further past a 106.80 breakout point in a mild double bottom and handle.Read more about Grubhub in today's Stock Spotlight column.The Innovator IBD 50 ETF (FFTY) rallied more than 1% after lagging the major indexes on Monday. At 36.24, the fund is now up 9% year to date. It gained 34% in 2017.(Please follow David Saito-Chung on Twitter at @IBD_DChung for more commentary on charts, leading stocks, buy points and financial markets.)RELATED:Inside IBD's New Highs Column: Which Sell Signal Did Hot Chinese IPO iQiyi Trigger?Which Stocks Are Winning Big, Crushing The Major Indexes? A Peek Inside IBD 50The Latest Inside Investor's Corner
"
6,KSS,"Stocks remained higher Monday afternoon as Apple (AAPL) hit a new high while it announced product updates, but a number of leading stocks struggled.The Dow Jones industrial average led with a 0.6% increase, with retailers Walmart (WMT) and Home Depot (HD) among the leaders.The S&P 500 added 0.4% and the Nasdaq composite 0.6%. But small caps lagged noticeably. The Russell 2000, which had been leading the market, was flat.Market volume was lower compared with the same time Friday. Advancers led decliners by an 8-5 ratio on the NYSE and by 9-to-7 on the Nasdaq.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseApple climbed 1% to a record high and has cleared the 190.47 buy point of a four-weeks-tight pattern. Such patterns are opportunities to add shares. Apple introduced an upgrade of the operating system for mobile devices, upgrades to its Siri voice command system, augmented-reality capabilities for the new iOS 12 operating system, and other improvements. FaceTime will be able to handle multiple callers simultaneously.The news helped technology stocks climb Monday.But retail was the strongest sector. Department stores, home furnishings, specialty chains, apparel stores and other retail groups dominated Monday's top-performing industries.Kohl's (KSS) cleared a 13-week pattern, although the stock had already topped the 67.10 buy point of a double-bottom formation. In the furnishings group, Williams-Sonoma (WSM) broke out of an awkward base with a 56.48 buy point in heavy trading. Williams-Sonoma beat profit views last week. At Home Group (HOME) rose from support at the 50-day moving average.Internet, payment processing and leisure products also led. Airlines performed well, even as a trade group warned that higher fuel costs will hurt profits. Southwest Airlines warned on revenue.But leading stocks were mixed, and the Innovator IBD 50 ETF (FFTY) was down 0.2% as several stocks fell sharply and overshadowed gains among other components.Trade Desk (TTD) fell nearly 6% in heavy volume after Wells Fargo downgraded the stock to market perform from outperform, reports said. TAL Education (TAL) fell below its 41.85 buy point. The breakout on May 10 was risky because TAL's base was late stage.Diamondback Energy (VNOM) tumbled 6%, adding to Friday's slide, after Stifel Nicolaus downgraded the stock to hold from buy and reduced the price target to 32 from 33.Interactive Brokers (IBKR) fell further below its 50-day line in huge volume. Shares fell more than 8% from the 74.21 buy point of the most recent base, triggering a sell signal.Palo Alto Networks (PANW), part of IBD's Sector Leaders, reversed lower after the company announced quarterly results and a new CEO.RELATED:Top Airlines Issue These Warnings As Higher Fuel Prices BitePalo Alto Falls; Will New CEO Bring Google-Like Dominance Or Woes?Apple Introduces iOS 12, New Augmented Reality Apps 
"
7,KSS,"Retail industry groups dominated Monday's new high list, accounting for the top six groups and eight out of the top nine. Several retail names neared or cleared buy points, including Williams-Sonoma (WSM), Kohl's (KSS), Shopify (SHOP), Target (TGT) and Five Below (FIVE).Some hot retail stocks kept rising, including Lululemon Athletica (LULU), while struggling Walmart (WMT) rebounded.Shares of Amazon (AMZN) rose 1.45% Monday, remaining in a buy zone from either a 1,617.64 or 1638.20 entry. The top-rated IBD Leaderboard stock is hitting new highs, surpassing the last April gap-up following Amazon's blockbuster earnings.Retailers are benefiting from some headwinds — solid retail earnings, robust hiring and retreating oil prices — while largely avoiding headwinds from trade-war fears and a stronger dollar.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseHere's how key retail and e-commerce stocks are performing.Williams-Sonoma jumped 7.3% to 58.61 in Monday's stock market trading, clearing a first-stage cup-shaped base with a 56.48 buy point. Volume was well above normal, a sign that mutual funds and other big institutions are buying in bulk.The seller of home furnishings' beat-and-raise earnings report and growing e-commerce presence drove a late-May rally in its shares. The stock yields 3.1% and has recently joined IBD's Dividend Leaders list.The retailer's RS line bolted higher Monday as the stock continues to outperform the S&P 500 index.Kohl's surged 4.7% Monday to 71.56, hitting a three-year high and clearing a 13-week consolidation. The stock already topped a 67.10 shallow double-bottom base, but 69.58 offered an alternative entry. Meanwhile, volume was modestly above normal.Simultaneously, Shopify staged a breakout, jumping 4% to 156.90, above a 151.07 cup-with-handle entry. Shopify moved on low volume, though.Shopify is part of the enterprise software group, but its software platform helps retailers set up e-commerce sites.Kohl's RS Line is now at its highest level in the past year, as is Shopify's.Kohl's has been adapting to the rapidly shifting retail environment, carving out space in some stores for Amazon customers to return purchases.Target (TGT) shot up 4.9% to 76.35, closing on a flat-base buy point at 78.80. Five Below (FIVE) zoomed up 8.2% to 77.24, nearing its flat-base entry of 78.38.Five Below, the teen-friendly discount brand, reports earnings late Wednesday.Ross Stores (ROST) added 3% to 83.14. Its RS Line is rising but remains below the May high.Ross Stores and its off-price peers Burlington Stores (BURL) and TJX Cos. (TJX) all beat earnings views in recent reports.But Ross Stores sold off following its report, invalidating an 82.91 entry. It now has a new handle, with a new buy point at 84.67.The popularity of discount retailers continues to dent traditional malls even as they prove themselves Amazon-resistant.JPMorgan initiated coverage on Five Below Monday with an overweight rating and price target of 87.Canada Goose (GOOS) advanced 1.5%, setting an all-time high of 43.71 before pulling back. Fellow Canadian retailer Lululemon, which sells trendy yogawear, gained 2.3% as its post-earning rally continues.Canada Goose, whose e-commerce push drove 27% revenue growth in February, has not announced the date for its next report. The luxury apparel retailer sees a ""massive"" opportunity in China.YOU MAY BE INTERESTED IN:Retail Stock Five Below Expecting 120% Growth, Nears Buy Zone Of EarningsThis 99 Composite Rating Stock Skyrockets On Huge Earnings GrowthSell And Take Profits Or Hold? Here Are Several Guidelines To FollowHow To Find Great Growth Stocks: Learn To Spot The Flat Base, A Bullish Chart Pattern
"
8,KSS,"Macy's (M) declining same-store sales and return on investing capital are making Morgan Stanley lose faith in the stock.Shares of the department store breached their 50-day moving average in heavy volume Thursday after Morgan Stanley analysts downgraded Macy's to underweight from equal weight. They trimmed their price target to 25 from 27.Essentially: Shuttering stores might not be enough to stem the bleeding.""Macy's has reduced its footprint 14% since 2014, but our analysis suggests its store-only comps continued to trend negatively (-4.3% 2017 & -4.9% 2015-2017 average) over the same time period,"" wrote Morgan Stanley analyst Kimberly Greenberger. ""This implies that even though Macy's is closing stores proactively, it may not be doing so quickly enough.""Looking at physical stores alone, she said she expects negative comps to continue.Separately, Greenberger sees ROIC deteriorating this year ""and thus expect the stock price to decline once again. Furthermore, Macy's increased reliance on private label credit card income and real estate gains masks the underlying deterioration in core retail EBIT (-63% since 2014).""Once shoppers take their business elsewhere — say, to Amazon (AMZN) — Greenberger points out that Macy's would miss out doubly, on both the actual sale and on the Macy's private-label credit card income.Private label credit card income and gains from asset sales have become a bigger part of Macy's total earnings, she said, and ""real estate gains cannot continue in perpetuity."" Macy's has sold off some of its higher-profile real estate in the last year or so, and plans to sell the 240,000-square-foot former I. Magnin building in San Francisco.Shares of the leading U.S. department store fell 2.4% in the stock market today, off session lows.Department stores had a solid holiday quarter, and Kohl's in particular has been called out for its partnership with Amazon (AMZN) and for its relative lack of mall-based stores.But Kohl's dropped 1.4%, continuing its retreat. Kohl's fell intraday to a four-month low.J.C. Penney (JCP) lost 0.7%. Nordstrom (JWN) slid 1.4%.Thursday's Macy's downgrade follows Deutsche Bank's warning earlier in the week that there is ""limited upside"" to the department store sector, and that valuation has gotten ""ahead of itself.""YOU MIGHT BE INTERESTED IN: Macy's Newest Acquisition Has This Radically Different Retail AngleDepartment Stores: Is Kohl's Leading A Great American Comeback?Deliver Us From Amazon: Why The E-Commerce Titan May Not Win The Same-Day Delivery Race
"
9,KSS,"Big-box retailer Target (TGT) missed first-quarter earnings estimates Wednesday as the slow start to spring weather weighed on some sales.XEstimates: Earnings per share of $1.38, up 14%, on revenue of $16.43 billion, up 3%, according to Zacks Investment Research. Same-store sales are expected to notch a 2.8% gain, according to Consensus Metrix.  Results: EPS of $1.32 on sales of $16.56 billion. (Sales missed Thomson Reuters estimates.) Same-store sales rose 3%, with traffic up 3.7%. Digital sales climbed 28% vs. 29% in Q4.Management said that spending on its online efforts as well as price cuts and higher wages also hit margins.Outlook: Q2 EPS of $1.30-$1.50, with the midpoint above consensus views for $1.34, with comparable sales growth accelerating into the low to mid single digit range.""Strong sales growth in our home, essentials and food & beverage categories offset the impact of delayed sales in temperature-sensitive categories, which accelerated rapidly in recent weeks as weather improved across the country,"" said Chairman and CEO Brian Cornell in a statement. ""Additionally, our team is delivering excellent execution and guest service every day, and momentum in our traffic has accelerated in the second quarter.""Stock: Shares tumbled 5.7% to close at 71.17 on the stock market today. They had been working on a 78.80 buy point from a flat base. Rival Walmart (WMT), which reported strong earnings and improved e-commerce growth last week, dipped 0.4% Wednesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTarget's results follow an aggressive effort by the company to move into delivery and pick-up services to better compete with Walmart and Amazon.Over the past year, the company has acquired Shipt, and online delivery service. It has offered a drive-up app service in which items are brought to a customer's car. Target has also bought a transportation tech company to better handle delivery.Other retail stocks, like discounter Ross Stores (ROST), department-store Kohl's (KSS) and Amazon (AMZN), are setting up in bases or in buy range. Ross Stores reports on Thursday.Kohl's, however, crashed on Tuesday after the department-store chain signaled weaker same-store sales in the second quarter. Urban Outfitters (URBN) beat estimates late Tuesday.TJX Cos. (TJX), the parent of T.J. Maxx, jumped Tuesday after the company turned in a strong quarterly report.YOU MIGHT BE INTERESTED IN:Making Money In Stocks: How To Find The Correct Buy PointWhich Stocks Are Showing Rising Relative Strength?Retail And E-Commerce News And Stocks To Watch
"
