,ticker,content
0,LUV,"The stock market liked, but didn't love, news of better-than-expected job growth in February as major stock indexes closed out the week with modest gains.The Nasdaq composite's five-week win streak came to an end, but not by much. The tech-laden index rose 0.4%, but fell nearly 0.2% for the week. The S&P 500's six-week win streak also ended. It gained 0.3% Friday; down 0.4% for the week. The Dow Jones industrial average picked up 0.2%, but lost 0.5% for the week. Preliminary data showed volume on the NYSE coming in about 10% lower than Thursday. Nasdaq volume ended close to Thursday's level.Advancing stocks outnumbered decliners on both exchanges by nearly 2-to-1.Chip names like Lam Research (LRCX), Applied Materials (AMAT) and Broadcom (AVGO) outperformed in the Nasdaq 100, with gains of around 2% each.February employment numbers came in better than expected, just like the ADP report earlier in the week. February nonfarm payrolls rose to 235,000, nicely above the consensus estimate of 200,000. The unemployment ticked lower, as expected, to 4.7%.At the New York Mercantile Exchange, April WTI crude oil lost another 1.6% to $48.49 a barrel. For the week, it lost 9%, partly due to a government report earlier in the week that showed an 8.2-million-barrel weekly rise in domestic crude supplies to a record level of 528.4 million barrels.In the stock market today, the airline group held up relatively well despite a big dive by Southwest Airlines (LUV) after the company lowered its unit revenue guidance. Shares recovered nicely off lows but still fell 0.8%. American Airlines (AAL) and Delta Air Lines (DAL) also gave weak forecasts earlier in the week.Southwest is testing support at the 10-week moving average for the second time after a breakout from a cup-shaped base with a 48.10 buy point.In IPO news, IT services provider Presidio (PSDO) had an unspectacular debut after pricing last night at 14, at the low end of  a proposed range of 14-16. Shares were recently trading around 14.25.Ulta Beauty (ULTA) and Dave & Buster's (PLAY) were solid gainers in the IBD 50. Ulta Beauty reversed higher, rising nearly 5% to 286.42, after the company reported its sixth straight quarter of 20%+ earnings and sales growth. It's still in buy range from a prior 274.09 buy point. Dave & Buster's picked up close to 2% to 59.62. It's still in buy range after reclaiming a 58.35 buy point.In the coming week, a two-day Fed meeting concludes Wednesday with an interest rate hike pretty much a slam dunk at this point. It's also a busy week of economic data with reports on consumer and wholesale inflation, retail sales, housing starts, manufacturing and consumer confidence.The coming week is quiet on the earnings front with only a handful of notable names reporting, including Oracle (ORCL), Jabil Circuit (JBL), Adobe Systems (ADBE) and Tiffany & Co. (TIF)RELATED:February Jobs Growth Strong, But Not Too Strong To Unnerve Investors, FedBest ETFs For U.S. Stocks With Positive Momentum, High DividendsU.S. Oil Rig Count Highest September 2015 As Crude Caps 9% Weekly Loss 
"
1,LUV,"Southwest Airlines (LUV) lowered its first-quarter unit revenue outlook Friday, after Delta Air Lines (DAL) and American Airlines (AAL) trimmed their guidance for the key metric earlier this week.After upbeat forecasts on unit revenue from the industry late last year and early this year, carriers now appear to be dialing back those expectations, amid worries the capacity discipline that lead to improvements over the last few years may be slipping.Southwest now sees Q1 unit revenue falling 2%-3%, down from an earlier prediction for no change to a 1% dip.The discount airline cited a better-than-expected February completion rate, which boosts capacity, and the loss of traffic from heavy rainfall in California.
"
2,LUV,"But Southwest also noted ""unexpected softness in close-in demand"" in the latter part of February, referring to last-minute bookings, though it has rebounded in March.Shares closed down 0.85% to 55.88 on the stock market today, erasing most of its intraday loss. Delta rose 1.4% and American climbed 1.3%, both reversing higher from modest losses. United Airlines (UAL), which kept its Q1 unit revenue view unchanged, fell 0.3%.Meanwhile JetBlue soared 5.1%. The carrier said February traffic rose 0.1% as capacity climbed 0.7%. JetBlue sees first-quarter unit revenue down 4%-5%, citing a big impact from the shift of the Easter holiday to April this year from March.On Thursday, American said it now sees Q1 total unit revenue growing 1.5%-3.5%, down from an earlier forecast for growth of 2.5%-4.5%, citing an improved rate of flight cancellations vs. a year ago that pushed capacity up. American still sees an adjusted pretax margin of 3%-5% in Q1.On Monday, Delta said it sees flat Q1 unit revenue vs. an prior forecast for no change to a 2% increase, sparking a sell-off in airline stocks. It also trimmed its Q1 operating margin forecast to 10%-11% from 11%-13%.The company said unit revenue saw ""a more moderate pace of improvement in February than initially anticipated.""
"
3,LUV,"Shares of Delta Air Lines (DAL), American Airlines (AAL) and United Airlines (UAL) dropped on Monday after Delta cut its first-quarter outlook and President Trump signed his second attempt at a travel ban.The new travel restrictions affect six largely Muslim nations — Iran, Syria, Sudan, Libya, Somalia and Yemen — and take hold on March 16. The revised order excludes Iraq, a nation seen as crucial to the fight against ISIS, but blocks travel to the U.S. from the other six nations for 90 days.The order issued Monday said that Iraq presents a ""special case"" and that the nation's relationship with the U.S. and its ""commitment to combat ISIS justify different treatment for Iraq.""The new order also suspends the entry of any refugee for 120 days but does not bar Syrian refugees indefinitely, as the first order did. The order also doesn't bar dual citizens and green-card and visa holders.The administration said the restrictions — both in the new order and the initial one signed on Jan. 27 that has since been left for dead in the federal courts — were necessary for security reasons and would give the U.S. time to make sure its vetting procedures for incoming travelers were sufficient.""This executive order provides a needed pause, so we can carefully review how we scrutinize people coming here from these countries of concern,"" Attorney General Jeff Sessions said Monday in prepared remarks.The new ban comes the same day as a report from travel research firm ForwardKeys that showed international bookings to the U.S. fell 6.5% from Jan. 28 to Feb. 4, the days between when the first travel ban was implemented and then suspended by the Department of Homeland Security.Confusion ensued as agencies tried to figure out how to implement the first travel ban, and protesters flooded airports.The U.S. airlines have no direct flights to the seven countries affected, Cowen said in a note at the end of January, but said alliance partners could be affected.While Cowen said it expected ""minimal"" financial impact from the ban issued in January, the firm expressed concern about the broader impact such restrictions would have on tourism.Meanwhile, the day-to-day focus on airlines' margins, costs and attempts to balance supply and demand continued on Monday. In a conference presentation, Delta cut its first-quarter operating margin forecast to 10%-11% and its outlook for passenger unit revenue to roughly flat. In January, the carrier said it expected 11%-13% operating margin for Q1 and for passenger unit revenue to be flat to up 2%.The company cited higher fuel and labor costs, following the recovery in oil prices and new contracts with employees, as reasons for the weaker outlook.Delta also said first-quarter unit revenue, a key industry metric that measures revenue by way of overall flight capacity, was on pace to come in at the low end of its forecast ""given a more moderate pace of improvement in February than initially anticipated."" Delta reported flat passenger unit revenue for February.However, Delta said unit revenue should improve throughout the year on the back of strong postelection demand and better business-travel trends, among other things. The carrier also stuck with its expectations for first-quarter capacity — or an airline's supply of seats and flight coverage — to be flat to down 1%.Delta Air Lines fell 2.55% to 48.65 in the stock market today, tumbling through its 50-day moving average. American Air and United lost 3.2%. Southwest (LUV) retreated 2.2%. Alaska Air Group (ALK) descended 2.4%.Trump's Jan. 27 executive order, which was blocked last month by a U.S. appeals court, indefinitely barred Syrian refugees from coming into the U.S. and placed a roughly four-month ban on all refugees. The order also blocked for three months anyone coming from seven predominantly Muslim nations: Iraq, Iran, Syria, Yemen, Libya, Somalia and Sudan.IBD'S TAKE: While Trump's travel ban has raised concerns about travel demand, he has vowed to roll back regulations for the airline industry, lifting shares of U.S. carriers. He has met with airline executives and, on Friday, his administration halted some Obama-era consumer-protection measures. Bookings from the seven countries affected by the first travel ban plunged 80% over that time and fell 23% from the Middle East and Africa overall, the ForwardKeys report said.Demand recovered after the travel ban was suspended, the report showed, but weakened near the end of last month as the administration signaled it would issue a revised travel ban.RELATED:Airline Stocks Tumble On Fears Capacity May Creep Back UpBuffett's Berkshire Piles On Shares Of Apple, Airlines, Cuts Wal-MartCan Delta, United, American Declare Mission Accomplished In 2017? 
"
4,LUV,"The Trump administration will review two rules proposed by the Obama administration that would make it easier for customers to compare airfare options and fees — potentially bad news for air travelers but apparently much better news for shares of carriers like Delta Air Lines (DAL), American Airlines (AAL), United Airlines (UAL) and Southwest (LUV).In notices dated Thursday, the Department of Transportation suspended the public comment period for both of the Obama-era measures. The suspension, each notice said, ""will allow the President's appointees the opportunity to review and consider this action.""One of the measures, from October, requested details from the industry to examine airlines' marketing methods and the way information related to airfares and flights is displayed — or not displayed — on travel websites.The other measure, a proposal shortly before President Trump's inauguration, would require airlines to show bag fees up front when a potential flyer evaluates ticket prices.Shares of Delta edged up 0.3% on the stock market today. On Thursday, it reported flat passenger unit revenue for February, disappointing analysts and raising questions of whether it can turn the metric positive in Q1. American rose 2.4%, United rallied 3.15%, and Southwest climbed 2.2%.Spirit Airlines (SAVE), the ultra-budget, fee-heavy carrier, added 2.9%, JetBlue (JBLU) gained 1.6% and Alaska Air Group (ALK) rose 2.7%.IBD'S TAKE: While month-to-month concerns persist about airlines' ability to keep their supply of flights in line with demand, Warren Buffett's Berkshire Hathaway has embraced the industry after long steering clear.While Trump's now-blocked immigration restrictions briefly sank airline stocks amid concerns about the order's impact on travel demand, airline stocks have largely risen since his election.Travel demand has strengthened, and Trump has vowed to cut regulations and modernize infrastructure for the industry.RELATED:How Trump Helped Airline Stocks Reach Skyward Today
"
5,LUV,"With earnings improving and billions invested by Warren Buffett, the airline industry has been seeing plenty of positive news. While one of the airline leaders is extended, others are within striking distance of buy points, indicating that the overall industry may been in the process of another leg upward. The first leg of the uptrend began in last summer and lasted through…
"
6,LUV,"Delta Air Lines' (DAL) has maintained a ""disciplined,"" ""investor-focused"" plan for flight capacity, an analyst said Thursday. United Airlines? Maybe less so.That analyst, Duane Pfennigwerth at Evercore ISI, upgraded Delta to outperform, citing the carrier's plans to cap its increase of available seats and flight coverage to 1% until unit revenue turns ""solidly positive.""""Airlines have no control over big inputs like demand, fuel (and weather),"" he wrote in a research note. ""The one variable they do control is capacity. Higher reliability supports more dynamic planning.""He also said Delta had a ""higher sense of urgency on margins"" and more forgiving year-over-year unit-revenue comparisons than rivals for the second half of this year. Delta has said it would likely be able to grow margins during the back half of this year, after recent labor agreements with employees constrained them.Meanwhile, United Airlines (UAL) is ""abandoning its commitment to shareholders to keep its capacity growth below GDP,"" Pfennigwerth wrote. He downgraded United's stock to in-line from outperform.United Airlines shares fell 0.9% to 67.56 on the stock market today, off session lows of 66.44. Delta Air climbed 0.5%. Both stocks rebounded from four-month lows Wednesday intraday.Southwest Airlines (LUV) fell 0.3% and American Airlines (AAL) rose 0.1%. Southwest is trying to hold above its 50-day line after retaking that support area on Wednesday. American Air rebounded from a 200-day line test on Wednesday.After airlines late last year began to shore up unit revenue, concerns from analysts have resurfaced this year that airlines might try to re-accelerate capacity growth, potentially adding new flights to different areas in attempt to take market share. More flights gives consumers more options, but it means more competition for airlines.""While there may be numerous practical company specific reasons to increase domestic capacity growth plans by 200 b.p. following softer industry revenue trends YTD,"" Pfennigwerth wrote Thursday, ""it appears completely tone deaf to long term investors' primary concerns.""United at a conference Wednesday raised its full-year capacity outlook, hiking domestic capacity to 3.5%-4.5% growth from a range of 1.5%-2.5%. The carrier said it expects global capacity growth of 2.5%-3.5%, up from 1%-2%.United last month said it planned to add service to 31 destinations in the U.S. and Europe over the spring and summer, including by widening its domestic network to include smaller cities. The carrier also plans to add a seasonal flight between San Francisco and Munich starting on May 24.IBD'S TAKE: United has looked toward smaller cities as a way to relieve competitive strain in primary hubs and the market abroad. But over the Atlantic, the big three U.S. carriers have been searching for ways to ward off a newer breed of low-cost, long-haul carrier.The upgrade to Delta and downgrade to United come during a full week for the airline industry. Thousands of cancellations have resulted from Winter Storm Stella in the northeast, sinking shares of U.S. airlines earlier in the week. Then, on Wednesday, some airlines presented at the JPMorgan Aviation, Transportation & Industrials Conference.Later on Wednesday, a federal judge in Hawaii temporarily halted the parts of President Trump's new executive order that barred all refugees from coming into the U.S. and blocked the entry of anyone without a green card or visa from six predominantly Muslim nations deemed a terrorism risk. The order was set to go into effect on Thursday. Analysts have worried such restrictions will hurt travel demand.Trump, during a rally in Nashville on Wednesday evening, vowed to defend the ban, saying the government would take the case to the Supreme Court if necessary.""And let me tell you something, I think we ought to go back to the first one and go all the way, which is what I wanted to do in the first place,"" he said.The administration's first attempt at a travel ban in January caused chaos at airports. It died days later after getting as far as a federal appeals court, which upheld a lower court's ruling suspending the immigration restrictions.""The illogic of the Government's contentions is palpable,"" the Wednesday decision said. ""The notion that one can demonstrate animus toward any group of people only by targeting all of them at once is fundamentally flawed.""RELATED:Southwest Joins Delta, American In Cutting Unit Revenue ForecastBuffett's Berkshire Piles On Shares Of Apple, Airlines, Cuts Wal-Mart 
"
7,LUV,"Berkshire Hathaway (BRKB) CEO Warren Buffett told CNBC Monday what he likes about Apple (AAPL) and hinted that his company may not make anymore big purchases in Delta Air Lines (DAL), Southwest Airlines (LUV), United Airlines (UAL) and American Airlines (AAL).Berkshire's Apple position is now at 133 million shares, more than twice the 61.24 million shares disclosed in Buffett's annual shareholder letter released Saturday.""We bought a lot more Apple after year-end,"" said Buffett in the interview, praising Apple for having a ""sticky"" product that is ""enormously useful"" to people who use it.Notably, Buffett himself isn't an iPhone user. When asked about his technology investments, he whipped out a flip phone from his coat pocket.Berkshire's latest purchase also didn't coincide with a drop in Apple's stock, which has shot up since 2017 began. Berkshire previously bought shares in Q3 and Q4, when Apple was hit by fears of slowing smartphone sales.But Buffett said the new shares were purchased before the company's earnings report, which sparked a 13% rally. ""It's at a price different than I would buy it now,"" Buffett said.Apple shares were up 0.2% at 136.93 in the stock market today. Berkshire Hathaway's B shares edged up 0.2% to 170.59, still in buy range after breaking out earlier this month.Buffett also told CNBC that his stakes in airlines are ""about the same,"" and suggested they wouldn't go up much higher. His purchases of airline stocks in Q3 and Q4, after years of avoiding the sector, sparked speculation that Berkshire might even buy and airline outright.But with positions of more than 7% in Delta, Southwest, United and American, Buffett said he generally prefers to not boost stakes above 10%, saying ""It complicates life for us.""Still, he sounded rather optimistic on the sector, joking that airlines had ""a bad first century.""""They're kind of like the Chicago Cubs. Everybody has a bad century now and then,"" he said. ""And they got that century out of the way, I hope.""Delta Air and Southwest shares fell fractionally while United and American edged higher.RELATED:As Berkshire Buys Apple, Which Stocks Make 'Warren Buffett Screen'?5 Key Points From Warren Buffett's Letter, Berkshire Hathaway Earnings
"
8,LUV,"Billionaire investor Warren Buffett praised ""ambitious"" immigrants' contribution to the ""miraculous"" American story, rejected claims that stock buybacks are ""un-American"" and ripped Wall Street investment fees in his annual letter to Berkshire Hathaway (BRKB) shareholders on Saturday. Meanwhile, Berkshire reported declining operating profit but big unrealized gains in last year's investments in Apple (AAPL), American Airlines (AAL) and other carriers paying off.The typically optimistic Buffett said that stocks are ""virtually certain"" to rise in years to come. And he hailed America, with an implicit rebuke of anti-immigrant sentiment.""One word sums up our country's achievements: miraculous. From a standing start 240 years ago ' a span of time less than triple my days on earth ' Americans have combined human ingenuity, a market system, a tide of talented and ambitious immigrants, and the rule of law to deliver abundance beyond any dreams of our forefathers.""As the subject of repurchases has come to a boil, some people have come close to calling them un-American ' characterizing them as corporate misdeeds that divert funds needed for productive endeavors. That simply isn't the case: Both American corporations and private investors are today awash in funds looking to be sensibly deployed. I'm not aware of any enticing project that in recent years has died for lack of capital. (Call us if you have a candidate.)He pointed out that many companies that Berkshire invests in, including Bank of America (BAC), have been buying back shares. ""We very much like this behavior because we believe the repurchased shares have in most cases been underpriced. ... When a company grows and outstanding shares shrink, good things happen for shareholders.""Buffett said that wealthy Americans have been suckered out of more than $100 billion over the past decade seeking ""superior investment advice.""""When trillions of dollars are managed by Wall Streeters charging high fees, it will usually be the managers who reap outsized profits, not the clients,"" he wrote. ""Both large and small investors should stick with low-cost index funds.""But Buffett had nothing but praise for Vanguard founder Jack Bogle, who popularized ultra-low fee index funds.""If a statue is ever erected to honor the person who has done the most for American investors, the hands-down choice should be Jack Bogle,"" Buffett wrote.Buffett didn't offer hints about his possible M&A plan and was mum about Kraft Heinz (KHC), which made a short-lived $143 merger bid for Unilever (UN) this month. Berkshire Hathaway and Brazil's 3G Capital own about 50% of Kraft Heinz.Net income rose 15% to $6.29 billion, boosted by a $1.1 billion gain from investments and derivatives. But operating profit fell 6% to $2,665 per Class A share, below analyst forecasts for $2716.60.Berkshire's equity portfolio was worth $122 billion at year-end vs. $102.5 billion on Sept. 30. Big holdings such as Wells Fargo (WFC) and American Express (AXP) were big year-end winners as financials rallied.Buffett also boosted its stakes in Apple, Delta Air Lines (DAL), American Airlines, United Airlines (UAL) and Southwest Airlines (LUV).Berkshire acquired 61.2 million shares for $6.75 billion at an average prices of 110.17. That stake has risen by $1.6 billion as of Friday's close at 136.66. Berkshire holds a 44% gain in its Southwest stake, 35% in United and 21% in Delta Air.RELATED:What Would Warren Buffett Do? He'll Tell You On SaturdayBuffett's Berkshire Piles On Shares Of Apple, Airlines, Cuts Wal-Mart 
"
9,LUV,"After closing strongly on Friday, the market indexes began the week on a cautious note.The tech-heavy Nasdaq led the markets lower, dropping 0.7%. The S&P 500 moved down 0.6%, while the Dow Jones Industrial Average declined only 0.4%.Volume fell mildly across both the NYSE and Nasdaq exchanges vs. the same time Friday.Among the Dow industrials, financials were the big laggards on the day. Goldman Sachs (GS) and JPMorgan (JPM) dropped about 1% apiece.Netflix (NFLX) jumped 1.5% after being upgraded to buy from neutral. According to UBS analysts, the video streaming company, one of Will Danoff's favored stock ideas, should see strengthening subscriber numbers in Q1.In other analyst actions, Snap (SNAP) was initiated at underperform by Needham & Co. Despite the strong debut of the social media app, analysts have given it the cold shoulder. Last week, Nomura was one of several analysts to rate the IPO with a neutral or sell rating.Snap shares fell 6.5%.Nvidia (NVDA) continued its slide, falling 2.8% in the stock market today. Shares fell further under the 50-day moving average.Tesla (TSLA) traded down 1%. The stock found support at the 50-day line last week; however volume has been mild on the rebound.Airline stocks were among the worst performers of the day after Delta cut its Q1 outlook. Also, a report showed that President Trump's travel ban had a negative impact on bookings to the U.S.The airline group has been trending up in recent weeks.Southwest Airlines (LUV) fell 2.5%, Delta Air Lines (DAL) dropped 3.3%, and Alaska Airlines (ALK) moved down 2.8%.Leading growth stocks mostly traded in the red on Monday heading into midday trading.On the upside, TAL Education (TAL) rallied 1.2% to trade near a new high; however, losers outnumbered winners by a 6-to-1 margin.Two other China-based IBD 50 members didn't fare so well. NetEase (NTES) dropped 2% and was down about 7% from last week's record highs, while Autohome (ATHM) traded down 3%.RELATED:Hot IPO Snap Falls Amid Latest Sell Rating, Netflix A Buy, HP UpgradedFidelity's Will Danoff Talks About The Super Bowl And Super StocksAirlines Sink On Weak Delta Forecast, Trump Travel Ban ImpactAirline Stocks Are Cleared For Takeoff As Industry Soars
"
