,ticker,content
0,MCD,"Stocks rolled out a flat open on Friday, despite a heavy slate of early news, as the market appeared set to wrap up a strong week on a soft note.Netflix (NFLX) and PayPal (PYPL) took hefty early losses.  JPMorgan (JPM) and McDonald's (MCD) hamstrung the Dow, as big banks dived after their Q2 reports and McDonald's slumped on news of a possible health investigation regarding its salads. Johnson & Johnson (JNJ) slumped after being slapped with a $4.7 billion jury decision.Wells Fargo (WFC) posted the heaviest losses among S&P 500 stocks. PNC Financial (PNC) and Citigroup (C) also skidded lower after their second-quarter reports.The Dow Jones industrial average trimmed gains after opening up 0.2%, with Boeing (BA) up more than 1%, J&J down 1% and McDonald's off 1.5%. The S&P 500 struggled to remain positive. The Nasdaq Composite rose less than 0.1%,  with Netflix and PayPal posting its heaviest losses. (For updates on this story and other market coverage, visit the Stock Market Today.)The Dow Jones industrial average heads into Friday's session up 1.9% for the week. The index is less than a half percent below the 25,000 level, and on track to end the week above its 50-day moving average for the first time in four weeks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe Nasdaq ended Thursday up 1.8% for the week and at new highs. The S&P 500 has a 1.4% gain for the week — just a fraction below the 2,800 mark, but still 2.6% below its January high.Global markets were set to end a strong week on a choppy note Friday. China's Hong Kong and Shanghai benchmarks ended Friday narrowly mixed. But the results left the Shanghai Composite with a 3.1% advance for the week, snapping a seven-week losing streak. In Japan, Tokyo's Nikkei 225 vaulted 1.8% higher — punching back above its 50-day moving average and ending the week up 3.7%.Markets in Europe defended modest gains in afternoon trade. London's FTSE 100 and Frankfurt's DAX each rose 0.4%. For the week, the FTSE 100 and the CAC-40 in Paris held gains of around 1%. The DAX angled toward a fractional increase.Netflix dropped 3.5%, as MKM Partners held its buy rating and 390 price target steady ahead of the streaming entertainment leader's Q2 report on Monday.JPMorgan slipped 1.2% in early action.  The New York-based bank reported a 26% earnings increase and a 14% rise in revenue for its second quarter. Both were easily above analyst targets. Net interest income rose 9%, driven by rising rates and loan growth. The stock is looking for its first weekly increase in five weeks, testing resistance at its converged 10- and 40-week moving averages.PNC Financial dropped 1.3% after its second-quarter report. Earnings per share rose 30%, while revenue climbed 6.5%, topping consensus forecasts.Wells Fargo dived 3.4% after releasing its second-quarter report. Earnings and revenue came up short of analysts expectations. Average loans decreased 1%. although residential loan mortgage originations rose 16% vs. the first quarter. The company's efficiency ratio dropped to 64.9%, from 68.6% in the first quarter. Wells Fargo shares have been struggling since May to retake their 40-week moving average.McDonald's dropped more than 2% on reports that the Illinois Department of Health was investigating possible links between McDonald's salads and 100 persons apparently sick with food-borne illness. McDonald's voluntarily stopped selling salads, and is working to secure new lettuce vendors. The stock has been consolidating since February.Johnson & Johnson dipped 0.7% after a St. Louis jury awarded $4.7 billion in compensation and punitive damages to a group of women who contended asbestos in the company's baby powder caused ovarian cancer. The cases were the first of 9,000 reported cases based on similar claims. A company spokeswoman said J&J would appeal. She said the decision was prejudiced, and that the company's products neither contain asbestos nor cause ovarian cancer.AT&T (T) tumbled 1.7% as the Department of Justice appealed the court decision that had allowed AT&T to close on its $81 billion acquisition of Time Warner last month. AT&T had agreed to hold separately Time Warner's cable networks — the subject of the government's antitrust case — in case the DOJ opted to appeal. The appeal goes before a three-judge panel, and could take months to resolve. AT&T shares have been locked in a 16-month decline.World Wrestling Entertainment (WWE) vaulted 4% higher after Morgan Stanley hoisted the stock's price target to 100, up 70% from its prior target. The note maintained the stock overweight rating, and based its target increase on content deals landed last month with NBCUniversal and Fox Sports. World Wrestling shares are up 144% since the start of the year, but have not paused to form a valid base.Oil prices turned up into modest gains Friday, but remained down nearly 5% for the week in what would mark a second straight weekly decline. West Texas Intermediate gained 0.5% to $70.70 per barrel. Brent crude added 0.3% to $74.65. Weekly rig count data are due out from Baker Hughes (BHGE) at 1 p.m. ET.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:The Big Picture: Bulls Take ControlJPMorgan, Citigroup, Wells Fargo To Report Earnings: Investing Action Plan3 Gene Therapy Companies In Hot Pursuit Of A 'One-And-Done' CureThese Two Top-Performing Stocks Test Key Level After Peers Report Sales MissesWhy Women Lag In Wealth Despite Being Better InvestorsIBD Stock Of The Day: Alphabet Stock Nears Buy Point, Flashes Bullish SignalTrump Tariffs: China Trade War May Be About To Thaw
"
1,MCD,"The Dow Jones industrial average topped the 25,000 level Friday, helped by strength in United Technologies (UTX), Walgreens Boots Alliance (WAG) and Walmart (WMT). But shares of McDonald's (MCD) and Johnson & Johnson (JNJ) lagged with losses of around 1%.In stock market results today, McDonald's was under pressure on news that health departments in Illinois and Iowa are investigating intestinal illness possibly linked to the company's salads.The Dow Jones was up 0.3% near midday, while the Nasdaq composite and S&P 50o showed gains of around 0.1%. Small caps outperformed, with the Russell 2000 up 0.4%. Volume on the NYSE and Nasdaq was tracking lower than Thursday's levels.Shares of Johnson & Johnson were down 0.9% after the company was ordered to pay $4.69 billion to women who said its baby-powder product gave them ovarian cancer.Meanwhile, high-profile earnings reports in the financial sector were largely disappointing. Earnings beats weren't enough for JPMorgan (JPM) and Citigroup (C), while Wells Fargo (WFC) gapped down sharply on an earnings miss. Most financials have been stuck in downtrends, partly due to a flattening yield curve.In related news, California-based First Republic (FRC) jumped 3.8% early after the company reported its fifth straight quarter of 20%-plus revenue growth. But shares pulled back as financials generally turned in weak performances.Automotive repair firm Monro (MNRO) was a top gainer Friday, jumping 7%. A Goldman Sachs upgrade to buy was the catalyst. A breakout over a 62.25 buy point earlier in the week faded, but Monro reclaimed the entry with conviction Friday.Meanwhile, Leaderboard name Netflix (NFLX) was under pressure again ahead of its earnings report Monday after the close. UBS on Thursday downgraded shares to neutral from buy, citing valuation. Shares have been more than doubled so far this year.Inside the IBD 50, retailer Five Below continued to show relative strength. Shares were up more than 1% as a potential flat base takes shape.YOU MIGHT ALSO LIKE:How The 'Apple of Oil' Uses Data To Stay Ahead Of The CrowdHow Much Retirement Savings You Need At Your Age And PayJPMorgan, Citigroup Earnings Top Views; Wells Fargo Misses  
"
2,MCD,"Tech stocks and small cap stocks were in the driver's seat near midday Friday as the stock market digested strong job growth in June as well as the start of tariffs on $34 billion in Chinese imports.Early gainers in the Nasdaq 100 included Biogen (BIIB). Shares of the biotech giant soared 15% after the company reported positive Phase 2 trial data for an Alzheimer's drug.The Nasdaq composite led the way, up 1%, and the Russell 2000 small-cap index added 0.7%. The S&P 500 rose 0.7% and the Dow Jones industrial average picked up 0.4%. McDonald's (MCD), Merck (MRK) and Walgreens Boots Alliance (WBA) led the blue chip index with gains of 1% or more.The stock market rally was fueled in part by better-than-expected job growth in June. The economy created 213,000 jobs, topping the consensus estimate of 190,000. The unemployment rate rose to 4% from 3.8% in May.In stock market results today, tech services company ManTech International (MANT) jumped nearly 8%, helped by positive comments from SunTrust Robinson Humphrey.In the semiconductor space, Advanced Micro Devices (AMD) was a top gainer in the MarketSmith Growth 250, up more than 4%. It's still in buy range from a conventional entry of 15.75.Netflix (NFLX) was a heavy-volume gainer, up 1.5%. Netflix is a member of Leaderboard and was the best performing FANG stock Friday. Facebook (FB) also did well, up 1%, on the heels of a big price target hike Thursday from BTIG.Inside the IBD 50, four names rose 2% or more, including Lululemon Athletica (LULU). Shares were up nearly 3% after Bank of America raised its price target to 140 from 121.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.You Might Also Like:JPMorgan, Citigroup, Wells Fargo Kick Off Earnings Season: Investing Action PlanBreakout Watch: IPO With 483% Growth Nears Buy ZoneAs Trade Tariffs Start To Bite, Canada's 2 Top Apparel Stocks Hold   
"
3,MCD,"U.S. stock indexes sagged Monday, showing once again that the market can't find traction despite a strong earnings season. McDonald's (MCD) rose 5.75% on a strong Q1 report but the benefits didn't spread marketwide.Meanwhile, the Federal Reserve is set to begin a two-day meeting Tuesday.The Dow Jones industrial average reversed to a 0.6% loss, after being up almost 0.8% earlier. The Nasdaq and the S&P 500 fell 0.8% each, after wiping out earlier gains.Volume in the stock market today fell across the board.A step down in volume was perhaps natural, considering the Fed's meeting later this week.CME Group's FedWatch Tool puts the odds of a rate increase at about 7%. The probability of no change is pegged at almost 93%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe major indexes have been encountering resistance at their 50-day moving averages over the past six to seven sessions. If the stock market is to shake off the negative pressure, retaking the 50-day line is an important first step.Among market watchers, the recent worry is the narrowing of the spread between the 10-year yield vs. the 2-year yield. But the problem with using the yield curve for market guidance is that ""recessions typically haven't begun until 20 months after the curve inverts,"" as IBD Weekly's cover story ""The Big Squeeze"" pointed out.And not every economist agrees that yields should be the top focus right now. Johns Hopkins University economist Steve Hanke argues that the broad money supply as measured by Divisia M4 is a better guide to the economy. So far this year, Divisia M4 grew 4.8% in January, and 5% each in February and March.Hanke calls that kind of growth ""not bad"" and points to an economy where ""everything is running pretty smoothly.""Then why is the stock market struggling? It's much more useful to focus on what's happening than to search for causation. Individual investors should closely follow the charts for the Nasdaq and S&P 500.What are they showing? The choppiness that began in early February is still in place.On Monday. leaders advancing included Mastercard (MA), up 1.3%, and retailer Canada Goose (GOOS), up 1.4%.Mastercard will report Q1 results Wednesday before the market's open.Several items stand ready to break for either good or bad.First, banks are now expected to win at least a partial battle against some Dodd-Frank regulations. The Hill reported that Congress is near passage of a bipartisan package.Second, a decision on steel tariffs is near. Temporary exemptions for the European Union are about to expire. President Trump reportedly hasn't made a decision. Also, Treasury Secretary Steven Mnuchin is expected to leave for China soon for trade talks.Third, IBD's industry group lineup has taken definition. Going into Monday's session, only 10 sectors are outperforming the Nasdaq. New leaders could emerge from the outperforming sectors.The 10 sectors are software, up 13% year to date; consumer, up 8.2%; medical, up 6.9%; leisure, 6.3%; business services, up 6%; retail, up 5.8%; savings and loan, up 5.5%; apparel, up 4.6%; energy, 4.2%; and banks, 4%.Fourth, Trump implied that he can save the market. Speaking in Michigan recently, Trump admitted he is doing something that ""bothers the market."" He said the stock market ""would've been up 60%, but I have to do things. I can't let other countries take advantage of us, so we're doing trade deals.""The implication is that the market will recover once Trump finishes doing things that bother the market.McDonald's rose almost 6%, hoisting the stock over its 50-day and 200-day moving average lines after a strong quarterly report. Earnings increased 22% vs. the year-ago quarter.The Street expected earnings growth of 14%. Q1 revenue dropped 9%, but analysts expected a 12% decline.McDonald's is basing in a 18%-deep consolidation. The stock is 7% under a high marked in late January.The Federal Reserve's meeting Tuesday and Wednesday isn't expected to create big waves. The Street expects the Fed to stand pat on rates for now. An increase now would be a shock.RELATED:Defense Matters When Swing Trading In A Choppy Market5 Retail Or Apparel Stocks That Investors Should TrackThe Stock Indicator That Is Like A Canary In The Coal Mine
"
4,MCD,"McDonald's, Chevron and Home Depot each gained 2 points in the stock market today and helped push the Dow Jones industrial average nearly 0.5% higher in afternoon trading Thursday. Tesla rallied again as crude oil rose sharply.Among the Dow Jones' 30 components, eight stocks rallied at least 1 point as U.S. Treasury bonds fell, pushing up yields. Oil rallied sharply.Meanwhile, software stocks dropped en masse, pressuring the Nasdaq. Chip equipment firms, including Lam Research (LRCX) and Applied Materials (AMAT), also took it hard on the chin. Both of these former big winners in 2017 are now in basing mode.At 2:15 p.m. ET, the tech-centered composite fell 0.9%, slightly cutting early losses. The Nasdaq 100 slumped 1.2%, poised to halt a four-day winning streak. The S&P 500 traded virtually flat, down 0.1%. The small-cap S&P 600 fell 0.4% after rising four sessions in a row.Enterprise software shares took a break. In the IBD Sector Leaders screen, Adobe (ADBE), Salesforce.com (CRM), ServiceNow (NOW), RealPage (RP) and Ultimate Software (ULTI) all slid 2% to 3% or more in brisk volume.Tesla (TSLA) has been rising on comments earlier this week by CEO Elon Musk that he's confident the electric vehicle pioneer will ramp up weekly production of the pivotal Model 3 sedan to 3,000 units per week by month's end.The stock has rebounded as much as 35% from its near-term low of 244.59 on April 2. Over the same time frame, the Nasdaq composite has gained 13%.However, please check out the MarketSmith daily chart on Tesla, and you'll see that Tesla is having some trouble climbing back above the 200-day moving average.The 200-day line traces the average closing price of a stock over the past 200 trading sessions, or roughly 10 months' worth of action. As a growth investor, you want to see a stock rise not only above its 50-day moving average but the 200-day line as well.Most of the top dogs in the IBD 50 show such a trend. They're hitting new highs, leading their 50- and 200-day moving averages higher.On the positive side, Tesla now stands just 17% below its 52-week and all-time peak of 389.61. That price represents a fantastic gain since the transportation innovator initially broke out of a stage-one base near 40 back in April 2013.The current base is first stage. Watch to see if the stock can keep muscling higher, slashing through a very visible overhead supply of willing sellers at the 350 to 360 price range.Tesla's sales jumped 68% last year to $11.76 billion, breaking the $10 billion barrier. But the Palo Alto, Calif., company also lost $8.66 a share. The Street sees Tesla bleeding more red ink this year (an estimated net loss of $6.82 a share in 2018), but then earn $2.37 a share in 2019.The company has a $54 billion market cap and 170 million shares outstanding.In contrast, Toyota Motor (TM) has a $201 billion market cap (share price times total shares outstanding) and 1.47 billion shares outstanding. The global car and truck titan had $265 billion in sales in 2017, up 4%.Toyota shares are forming a saucer with a droopy-looking handle. In a bull market, the handle should show a maximum decline of 8% to 12% from high to low. In Toyota's case, the correction within its three-week handle is an acceptable 9%. The provisional buy point is 138.68.McDonald's (MCD) surged more than 3% to 168.48 in active turnover. The world's largest restaurant chain hit a nearly four-month high and is carving a new saucer-style base. The current buy point for now is 178.80.Elsewhere in stocks today, Five Below (FIVE) destroyed short sellers with a 22% gain, extending its run to five sessions. Shares notched an all-time high of 99.91, up 487% from its July 2012 IPO at 17 a share.The operator of stores that sell items at $5 or less reported late Wednesday that earnings in the April-ended first quarter catapulted 133% to 35 cents a share, the biggest for any first quarter. Sales jumped 27% to $296.3 million.Five Below, based in Philadelphia, has aggressively expanded its chain into new markets in the Midwest, Southwest, and California. The stock entered IBD Leaderboard as a call options play ahead of Wednesday's quarterly results.The stock has also risen 27% past a recent breakout point of 78.38 in a well-formed base on base. A seven-week flat base makes up the upper portion of this bullish chart pattern.WTI crude oil futures rallied 1.7% and got as high as $66.07 a barrel. The yield on the benchmark U.S. Treasury 10-year bond eased to 2.95%.Chevron (CVX) posted a bullish gap up, rising 3.75, or nearly 3%, to 127.13. Volume is running mildly above average.Despite the nice gain, the integrated oil major is not yet at a proper buy point.Right now, watch to see if Chevron can rally past the handle portion of its five-month cup with handle. The handle' s high is 131.08, thus generating a 131.18 buy point.(Please follow Saito-Chung on Twitter at @IBD_DChung for more commentary on growth stocks, leading industry sectors in the stock market, breakouts, sell signals, and financial markets.)RELATED:Should You Buy Stocks Or Sell Now? First Read This Column Each DayHow Many Retail And Consumer Plays Have Joined IBD Leaderboard?Tesla CEO Makes Heady Expectations, AgainWhat Is A Cup With Handle, And How It Helps Investors Consistently Make Money In Stocks
"
5,MCD,"U.S. stocks indexes showed mixed action late Thursday morning as the Dow Jones industrial average led the upside. Eight stocks in the 30-component Dow posted gains of 1% or more.Chevron (CVX) and McDonald's (MCD) pegged the biggest gains in the Dow, up 3% and 4% respectively.The Dow advanced nearly 0.5%, while the S&P 500 crept 0.1% lower. The Nasdaq fell more than 0.6% and the small cap Russell 2000 lost 0.3%.Volume rose on both major exchanges. The Nasdaq, the S&P 500 and the Russell 2000 were each trying for a fifth consecutive gain.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe S&P 500 is approaching old resistance at the 2800 area. The Nasdaq has already cleared old resistance at the 7500 level.Light sweet crude oil popped 1.6% to 65.77 on news from Venezuela. Socialist Venezuela's production problems are cutting oil supplies. Dwindling supplies mean higher prices, assuming demand either remains the same or grows.Breakouts Thursday included cement provider CRH (CRH), auto equipment maker Gentex (GNTX), savings and loans Flagstar Bancorp (FBC) and Northwest Bancshares (NWBI), Dunkin' Brands Group (DNKN) and security device maker ShotSpotter (SSTI).Among IBD's 197 industry groups, retail and oil stocks did well. Chip equipment makers and computer groups struggled.(For updates on this story and other market coverage, check IBD's stock market news today.)RELATED:Is It Time To Buy Stocks Now Or Sell? First Read This Column Each DayHow Did The Nasdaq Hit New Highs Without All FAANG Stocks Rising Together?The Latest Inside Investor's Corner
"
6,MCD,"Some of the best software stocks were the hardest hit Thursday as sellers finally came into the Nasdaq composite after four straight gains. The Dow Jones industrial average ended higher, helped by solid performances from McDonald's (MCD), Chevron (CVX) and Procter & Gamble (PG).The Nasdaq lost 0.7%, but selling was more subdued in the S&P 500. The benchmark index eased 0.1%, while the Dow gained 0.4%. Preliminary data showed volume on the NYSE and Nasdaq coming in higher than Wednesday.Big decliners in the Nasdaq 100 included chip-equipment firms Lam Research (LRCX) and Applied Materials (AMAT). Adobe Systems (ADBE) also took hit, along with disk driver makers Western Digital (WDC) and Seagate (STX). Losses ranged from 2.5% to 6%.IBD's enterprise software group slumped 2.8%. Inside the IBD 50, some of the best software stocks like ServiceNow (NOW), Paycom (PAYC) and Atlassian (TEAM) fell sharply. Losses ranged from 5% to 6%.In stock market results today, oil and gas-related groups outperformed as oil prices firmed up. Drillers and exploration and production firms led the way. In the drilling group, Transocean (RIG) jumped 4% to 13.48. A breakout over a 12.50 buy point still looks pretty good. Carrizo Oil & Gas (CRZO), meanwhile, added nearly 8% to 26.67. It's back above a 25.20 buy point.U.S. crude oil futures for July delivery settled at $65.95 a barrel, up 1.9%.Other gainers included Leaderboard name Five Below (FIVE). Shares surged 22% on strong earnings. Wall Street liked the look of an earnings and sales beat as well as bullish sales guidance.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseElsewhere, new issue Zscaler (ZS) jumped past an alternate entry of 34.93, ending at 37.79, up 23%. A 30.20 buy point in a double bottom also could be seen on the chart. The security software name isn't profitable yet shows big sales growth in recent quarters.But earnings enthusiasm was short-lived in fellow security software name Okta (OKTA). Shares reversed sharply lower after hitting an intraday high of 61, up nearly 13%. Shares closed at 50.88, down 6%.You May Also Like:McDonald's Plans More Corporate Job Cuts Amid Tech Push: ReportIBD Stock Of The Day: Look For This Tasty Signal From GrubhubAs Retail Stocks Boom, Will These Be Next?  
"
7,MCD,"Stocks were mainly lower Thursday afternoon as weakness in software and other technology shares dragged the Nasdaq to a 0.7% loss. Meanwhile, the energy sector continued to strengthen.The Nasdaq was poised to end a four-day win streak but is still up for the week. The S&P 500 was down 0.1%. Both came off session lows around 1:45 p.m. ET.Software, semiconductor, data storage and networking stocks sold off broadly. Many of those were hot stocks that appear to be going through a normal cooling off. The specialty enterprise software group, for instance, has rallied more than 14% in six weeks.But the Dow Jones industrial average rose 0.4% amid big moves from several components. The Wall Street Journal reported that McDonald's (MCD) plans to cut more corporate jobs to cut administrative costs and seeks to spend more in digitizing its restaurants.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseMcDonald's jumped 4% and climbed back above its 200-day moving average. Oil companies Chevron (CVX) and Exxon Mobil (XOM) rose 3% and 1% amid a rally in energy shares.Procter & Gamble (PG) surged nearly 3% after board member Nelson Peltz of Trian Partners said a reorganization plan is moving forward. P&G shares have slumped this year and remain 19% off prior highs.Small caps were hammered also, with the Russell 2000 off 0.6%. Market volume was tracking higher compared with the same time Wednesday.Leading stocks also came under selling. The IBD 50 was down nearly 2%, despite a big boost from Five Below (FIVE). If it stands, that would be the IBD 50's largest loss since April 6, when the index plunged 2.5%.The energy sector led after oil prices rose $1.12 to $65.85 a barrel. OPEC member Venezuela — struggling with an economic crisis and operational woes in its oil industry — is nearly a month behind delivering crude to customers from its main oil terminals, CNBC reported.Oil-related groups made up seven of the day's 13 best industry groups. The retail sector continued to outperform, with department stores up 1.5%. Discount chains also led, up 1.6%.Discount and variety stores were Thursday's top-performing industry group, and the credit for that belonged to Five Below. The chain of $5-and-under merchandise soared 21% after the company's results topped expectations and management gave bullish guidance. Five Below was added to Leaderboard before the earnings report as an option play that has now become quite profitable.Consumer electronics also rose sharply. Conn's (CONN) gapped up to a gain of about 19% after the company beat profit and sales expectations and forecast a potential same-store-sales gain for the current quarter. Conn's sells electronics as well as furniture and appliances, but is classified under IBD's electronics retail group.An earnings report also sparked a breakout for fast-food restaurant Sonic (SONC), which topped a 22-week consolidation. The weekly chart shows a handle with a 27.62 buy point.RELATED:Here's The Latest Retailer With A Massive Stock Surge On EarningsMcDonald's Plans More Corporate Job Cuts Amid Tech Push: ReportWhy Five Below Is Part Of IBD Leaderboard
"
8,MCD,"Major indexes moved little and the Dow Jones industrial average slumped 0.5% in late-afternoon trade Tuesday. But at least four stocks with solid fundamentals continued to work on new bases and may set up as new leaders among stocks today.Semiconductor firms, meanwhile, paced the upside. So did steel stocks amid news that the White House is adding Vietnam to its tariff targets for related imports into the U.S.The Philadelphia semiconductor index (known as the SOX) rallied more than 1.1%, smashing a flat Nasdaq composite and a 0.1% loss in the S&P 500. The Dow Jones industrial average, decked by 1-point losses or more by at least five of its 30 components, fell 0.5%.Volume is running slightly lower on the Nasdaq and higher on the NYSE vs. the same time Monday.Among the five Dow Jones industrial stocks leading the downside, McDonald's (MCD) dropped more than 1% to 159.75. While turnover is very light so far, the stock is slipping beneath the 50-day moving average for the first time in more than three weeks.Growth-stock pickers should demand their stocks to lead their 50-day moving average higher, not lag it.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOn the other hand, McDonald's trades just 10% below its all-time peak of 178.70 following a magnificent run in 2016-2017. So for now, the burger behemoth is still in basing mode.Here are four more companies to consider for your watch list as the market remains in a confirmed uptrend:Grubhub (GRUB), No. 5 in the IBD 50: The fast-growing online and mobile food ordering and delivery service is crafting a handle on its nine-week double bottom.A handle represents a final shakeout of weak holders, sending shares into the hands of long-term-minded owners. A good breakout will send a stock powering past the highest price within the handle. But this handle seems less significant in terms of an entry because the buy point is almost the same as for the regular entry at 105.78.Twitter (TWTR): The social media giant sports a highly respectable Composite Rating of 94 on a scale of 1 to 99, as seen in IBD Stock Checkup.ArcelorMittal (MT): The global steel maker, up more than 1.3% to 35.13, has fashioned a cup with handle that features a 36.61 entry point.SAP (SAP): The business software giant bumped its head against a price ceiling at 116 multiple times in November to January. SAP did it again last week. But the stock is now just 3% beneath its peak.The new saucer with handle shows a 116.79 buy point.The German multinational firm has posted earnings-per-share gains of 18%, 17%, 32% and 15% in the past four quarters. Revenue lifted 9% to 15% over the same period.SAP's enterprise software group ranks No. 2 among 197 industries for six-month relative price performance. It ranked No. 1 last week and has given the throne to the U.S. oil and gas exploration and production industry group.Also in stocks today, the Dow transports eased 0.7% after outperforming the major indexes on Monday. The S&P SmallCap 600 slipped 0.5%.(Follow Saito-Chung on Twitter at @IBD_DChung for more commentary on growth stocks, bases, buy points, and financial markets.)RELATED:How Much Money Do You Need To Begin Investing In Stocks?This Medical Stock Leader Vaults 2,800% From Its 2008 Low; Are There Still Gains Left In The Tank?The Top Ranking Industry Groups Today
"
9,MCD,"When Wingstop's (WING) chief executive talks about serving its chicken wings fresh and hot, it's no longer just for in-restaurant customers or takeout orders. X On the company's April earnings call, analysts peppered CEO Charlie Morrison over the company's home delivery partnership with DoorDash. The chicken-wing restaurant chain is using the partnership to test delivery to…
"
