,ticker,content
0,MCHP,"On Thursday, Intel (INTC) earned a positive adjustment to its Relative Strength (RS) Rating, from 65 to 72. X This unique rating identifies market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks compares to other publicly traded companies. Decades of market research shows that the top-performing stocks often have an 80 or better RS Rating in the early stages of their moves. See if Intel can continue to show renewed price strength and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineIntel is in a buy range after climbing above a 38.55 buy point in a flat base. Once a stock moves 5% or higher beyond the initial entry, it's considered extended and out of buy range. Intel showed 22% earnings growth in its most recent report, while sales growth came in at 9%. Intel holds the No. 12 rank among its peers in the Electronics-Semiconductor Manufacturing industry group. Analog Devices (ADI), Microchip Technology (MCHP) and Texas Instruments (TXN) are among the top 5 highly rated stocks within the group.RELATED:Chip Stocks To Watch And Semiconductor Industry NewsWhich Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,MCHP,"Cree (CREE) had its Relative Strength (RS) Rating upgraded from 72 to 92 Thursday. X IBD's proprietary rating identifies share price movement with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history reveals that the best stocks typically have an RS Rating north of 80 as they begin their biggest climbs.Looking For The Best Stocks To Buy And Watch? Start HereCree is now considered extended and out of buy range after clearing a 29.94 buy point in a first-stage cup with handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Although earnings and sales growth came in at -73% and -3%, respectively, in the latest report, that marks two quarters of acceleration for EPS and one for the top line. Cree holds the No. 25 rank among its peers in the Electronics-Semiconductor Manufacturing industry group. Analog Devices (ADI), Microchip Technology (MCHP) and Texas Instruments (TXN) are among the top 5 highly rated stocks within the group.RELATED:Chip Stocks To Watch And Semiconductor Industry NewsWhich Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,MCHP,"Investment bank Jefferies pounded the table for four analog chip stocks on Thursday, raising its price targets on Analog Devices (ADI), Maxim Integrated Products (MXIM), Microchip Technology (MCHP) and Texas Instruments (TXN).Jefferies rates all four stocks as buys.X""The combination of peak earnings, peak margins and stretching lead times in analog look like classic cyclical peak signals, but we think consolidation is the real culprit,"" Jefferies analyst Mark Lipacis said in a report. ""We expect more consolidation, and profitability to go even higher.""Analog stocks also are benefiting from secular drivers such as the Internet of Things, he said.""If our Analog Renaissance thesis plays out, the 35%-40% operating margins this group is printing today will look medieval when compared to the 50% (margins) they will be pushing in 2022,"" Lipacis said.IBD'S TAKE: The IBD 50 list of top-performing growth stocks includes two chipmakers: Nvidia and Microchip Technology.Lipacis raised his price targets as follows: Analog Devices to 105 from 100, Maxim to 58 from 51, Microchip to 106 from 94, and Texas Instruments to 110 from 96.He also raised his price target on hold-rated ON Semiconductor (ON) to 20 from 16.Analog Devices was down 0.2% to close at 88.80 on the stock market today. Maxim was up 0.5% to 50.09. Microchip added 1% to finish at 93.05. Texas Instruments was virtually flat at 93.45. ON Semi slipped slightly to 19.67.RELATED:Taiwan Semiconductor Beats Third-Quarter Sales, Earnings ViewsChipmaker Cavium Hits Buy Point Ahead Of Earnings
"
3,MCHP,"On Thursday, Skyworks Solutions (SWKS) hit an important technical milestone, seeing its Relative Strength (RS) Rating jump into the 80-plus percentile with an improvement to 81, up from 78 the day before. X IBD's proprietary rating identifies share price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history reveals that the top-performing stocks typically have an 80 or better RS Rating in the early stages of their moves.Looking For Winning Stocks? Try This Simple RoutineThe stock, which is on the IBD Big Cap 20 list, is trading within a buying range after climbing above a 110.71 entry in a cup without handle. Once a stock moves 5% or higher beyond the initial entry, it's considered out of buy range. The company posted 24% earnings growth last quarter. Revenue rose 18%. Skyworks Solutions earns the No. 6 rank among its peers in the Electronics-Semiconductor Manufacturing industry group. ON Semiconductor (ON), Analog Devices (ADI) and Microchip Technology (MCHP) are among the top 5 highly rated stocks within the group.RELATED:Chip Stocks To Watch And Semiconductor Industry NewsStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,MCHP,"Electronic component supplier Kemet (KEM) saw its stock hit its fourth multiyear high in as many trading days on Thursday.Simpsonville, S.C.-based Kemet manufactures capacitors, which store electrical energy, that are used in many different products, such as smartphones, personal computers and hybrid and electric vehicles.Kemet shares added 0.1% to close at 25.33 on the stock market today. Earlier in the session, it reached 25.64, its highest level since May 2007.Zacks Investment Research analyst Brian Bolan on Thursday picked Kemet as his firm's ""Bull of the Day.""Kemet was added to the S&P SmallCap 600 index on Oct. 2. The index is designed to track the small-cap segment of the U.S. equity market.IBD'S TAKE: Kemet stock has a best-possible IBD Composite Rating of 99. For more analysis on Kemet and its peers, visit the IBD Stock Checkup.Kemet is currently ranked No. 11 on the IBD 50 list of top-performing growth stocks. It is one of several companies on the list that supply technology and parts to device makers.Graphics chipmaker Nvidia (NVDA) is ranked No. 6 on the IBD 50 list, while OLED display specialist Universal Display (OLED) is ranked No. 7.Microchip Technology (MCHP) — a maker of microcontroller, mixed-signal, analog and other chips — is ranked No. 32 on the IBD 50 list.RELATED:Does This Stock Spotlight And IBD 50 Member Still Have Upside?Chip-Equipment Maker Ichor Hits New High In Wake Of BreakoutNvidia Shares Jump As Chip Leader Debuts Computer For Self-Driving Cars
"
5,MCHP,"The S&P 500 index and other major averages edged lower through Thursday as tax reform concerns weighted on the market. Snapchat parent Snap (SNAP) crashed on weak revenue and user growth. As for M&A, Broadcom (AVGO) made a $130 billion bid for fellow Apple (AAPL) supplier Qualcomm (QCOM), while reports surfaced that Walt Disney had held talks to buy much of 21st Century Fox (FOXA).The S&P 500, Nasdaq and Dow industrials gave up weekly gains on fears that tax cuts would be delayed, closing slightly lower but still near record highs. Earnings remained heavy, with Nvidia (NVDA) leading chip earnings. Roku (ROKU) streamed higher on its strong, first-ever earnings report while fellow recent IPOs Snap and The Trade Desk (TTD) crashed. Bank stocks were notable losers for the week. Crude oil futures hit a 2-year high amid Saudi turmoil, but U.S. production hit record highs.Broadcom (AVGO) launched an unsolicited bid to buy wireless-chip maker Qualcomm (QCOM) in a deal worth $130 billion, which would make it the largest technology acquisition ever. Qualcomm is likely to reject the $70-a-share offer on the basis that it's too low. A deal also would have big antitrust hurdles. Qualcomm rose 4.5% to 64.57 after spiking nearly 13% on Nov. 3 as deal reports first hit. Broadcom retreated 3.2% but stayed in a buy range.Chipmakers Nvidia (NVDA), Microchip Technology (MCHP) and ON Semiconductor (ON) posted beat-and-raise quarterly reports. Skyworks Solutions (SWKS) beat Wall Street's targets for the September quarter, but gave in-line guidance. Among chip-gear makers, Brooks Automation (BRKS) beat fiscal fourth-quarter forecast and guided current-quarter forecasts higher, but shares still tumbled Thursday and Friday following the results.Roku (ROKU) rocketed 55% Thursday after the streaming video firm reported much better-than-expected results for the third quarter, its first as a publicly traded company. Roku then rose to a record high Friday. Roku ended the third quarter with 16.7 million active users on its content distribution platform, up 48% year over year. Average revenue per user grew 37% year over year to $12.68. Roku makes hardware and software for accessing internet video services like Netflix (NFLX), Hulu and Amazon (AMZN) Prime Video.Analysts tore into Snapchat-owner Snap (SNAP) after a third-quarter earnings report that missed estimates on many metrics, including revenue and user growth. Snap CEO Evan Spiegel acknowledged complaints that Snapchat is ""hard to use"" and said that the app will be redesigned. Shares crashed 16%, even with Tencent Holdings (TCEHY) buying a 12% stake in the social media firm.RELATED:Snap Slammed On Quarterly Results As Tencent Acquires A StakeThree China internet companies, Sina (SINA), Weibo (WB) and Autohome (ATHM), all reported quarterly results that beat expectations. Sina owns a controlling stake in Weibo. Chinese video game publisher NetEase (NTES) said it will push deeper into e-commerce, with plans to spend $11 billion on products from the U.S., Europe and Japan to sell to local consumers.Search-engine company Sogou (SOGO) raised $585 million in an initial public offering, selling 45 million shares at 13, the high end of its estimated range. Shares rose to 13.51 in Thursday's debut and closed Friday at 13.86. China-based Sohu (SOHU), an internet service company that includes gaming, holds the largest stake in Sogou, which is also backed by Tencent (TCEHY). Tencent leads China's messaging services field and aims to deepen its relationship with Sogou, posing a threat to China search-engine leader Baidu (BIDU).Nordstrom (JWN) roundly topped profit and revenue forecasts. But same-store sales disappointed and the upscale department store trimmed the high end of profit outlook. Meanwhile, Macy's (M) missed revenue estimates and comps sank 4%, but beaten-down shares soared on better-than-expected earnings. Kohl's (KSS) EPS missed views but the retailer lifted the bottom end of EPS targets. J.C. Penney (JCP) reported better-than-expected Q3 results after recently slashing full-year guidance.Walt Disney (DIS) disclosed a surprise drop in Q4 profit and revenue amid reports of more upcoming ESPN layoffs, but CEO Bob Iger announced that there would be a brand-new ""Star Wars"" trilogy, gave its ESPN streaming platform a name and launch date, and said its Disney-only over-the-top service would be priced ""substantially below"" Netflix (NFLX), reversing shares higher late Thursday. Meanwhile, reports surfaced that 21st Century Fox (FOXA) had held talks to sell the bulk of itself to Disney. Iger refused to address ""press speculation"" on the call. Disney rose solidly more than 6%. 21st Century Fox, which reported solid results, shot up 15.5%.On Monday, oil prices rose to their highest levels since mid-2015 on political unrest in the Middle East. Crude closed the week with a 2.3% gain to $56.74 a barrel. Saudi Arabia arrested several members of the royal family over the prior week and said that a missile attack from Yemen and supported by Iran could be considered an ""act of war."" U.S. crude production rose to 9.62 million barrels per day, the highest since Energy Information Administration began tracking weekly data in 1983. Domestic crude supplies unexpectedly rose. Continental Resources (CLR), Diamondback Energy (FANG), Matador Resources (MTDR), and Carrizo Oil & Gas (CRZO) topped quarterly forecasts, while Parsley Energy (PE) turned in mixed results as shale producers continued to stress capital spending discipline in their Q3 reports.RELATED:U.S. Crude Production Hits Record High, Stockpiles Unexpectedly RiseVideo game publisher Take-Two Interactive Software (TTWO) reported better-than-expected September-quarter results and guided higher for the holiday sales quarter after Activision Blizzard (ATVI) and Electronic Arts (EA) recently gave disappointing guidance. Take-Two is benefiting from continued demand for its ""Grand Theft Auto"" franchise and strong sales of basketball game ""NBA 2K18."" Meanwhile, Activision said ""Call of Duty: WWII"" surpassed $500 million in global sales in its first three days of availability.Sage Therapeutics (SAGE) rose to a record high on upbeat data for a postpartum depression drug while Teva Pharmaceutical (TEVA) popped on news a British billionaire could buy a stake. Supernus Pharma (SUPN) topped expectations late Monday and boosted its 2017 product sales guidance. Ionis Pharmaceuticals (IONS) dove on its third-quarter miss and Mallinckrodt (MNK) offered a mixed report Tuesday, causing it to lose a third of its value. Nektar Therapeutics (NKTR), Acadia Pharmaceuticals (ACAD) and Tesaro (TSRO) all beat top- and bottom-line views, but Tesaro plunged after sales of ovarian cancer drug Zejula lagged. Meanwhile, AstraZeneca (AZN) had strong ovarian cancer drug and overall revenue, but adjusted profit was soft. Regeneron Pharmaceuticals (REGN) on Wednesday topped revenue and earnings views and confirmed guidance for 10% yearly Eylea growth.Priceline Group (PCLN) topped third-quarter estimates but the online travel agency's weak earnings outlook sent shares plunging 13.5% on Tuesday. Priceline's accommodation business booked 178 million room nights, up 19%. TripAdvisor (TRIP) also fell after reporting missing Q3 revenue estimates, as its hotel business slowed.Square (SQ) reported Q3 adjusted EPS of 7 cents, two cents above consensus. The digital payment processor said net revenue rose 33% to $585 million, topping estimates. The maker of credit card readers that plug into mobile phones and tablets raised its full year revenue and adjusted EBITDA outlooks by 4% and 8%, respectively, at the midpoint of guidance.The digital ad placement company's adjusted third-quarter earnings rose 46% to 35 cents a share, with revenue climbing nearly 50% to $79.4 million, topping consensus estimates. But The Trade Desk (TTD) forecast Q4 revenue of $101 million vs. estimates of $102 million, and also gave weak EBITDA guidance. The Trade Desk crashed 14% on Friday after already tumbling 8.3% through Thursday.Homebuilder D.R. Horton (DHI) met earnings estimates and topped revenue forecasts. Shares rose to record highs.Alarm.com (ALRM) plunged after the home security and automation software firm forecast full-year earnings at 87-88 cents per share vs. estimates of 97 cents.Match Group (MTCH) stock jumped after the dating site operator forecast December-quarter revenue above expectations, owing to mobile app Tinder Gold, despite a miss on Q3 earnings.Planet Fitness (PLNT) put up Q3 results and a full-year forecast above consensus. However, Wedbush said that it was still cautious, given concerns about ""decelerating growth as the store base matures.""Monster Beverage (MNST) beat third-quarter sales estimates, but earnings missed. Shares fell below a buy point intraday Thursday below a buy point but closed 6% higher for the week.General Electric (GE) may sell or spin off its aircraft leasing business as new CEO John Flannery looks to slash more than $20 billion in assets and costs at the troubled industrial giant in 1-2 years. GE's locomotive and health care IT units were also recently said to face the knife.Industrial laser maker Coherent (COHR) saw its shares blast past a buy point after delivering better-than-expected September-quarter sales and earnings and guiding higher for the current quarter. Coherent is a play on OLED display production growth.Global Payments (GPN) expects full-year adjusted net revenue of $3.505 billion to $3.53 billion, up about 23%. But most of that gain is due to the payment processor's recent acquisition of Active Network, analysts said.
"
6,MCHP,"Taiwan Semiconductor (TSM) saw a welcome improvement to its Relative Strength (RS) Rating on Thursday, with an increase from 79 to 84. X This exclusive rating from Investor's Business Daily identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the last 52 weeks compares to all the other stocks in our database. History reveals that the best stocks tend to have an RS Rating of over 80 in the early stages of their moves.See How IBD Helps You Make More In StocksTaiwan Semiconductor is now considered extended and out of buy range after clearing a 37.02 buy point in a first-stage flat base. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Taiwan Semiconductor posted -2% earnings growth last quarter, while sales growth came in at 2%. The company is expected to report its latest performance numbers on or around Oct. 13.The company earns the No. 10 rank among its peers in the Electronics-Semiconductor Manufacturing industry group. Analog Devices (ADI), Microchip Technology (MCHP) and Texas Instruments (TXN) are among the top 5 highly rated stocks within the group.RELATED:Chip Stocks To Watch And Semiconductor Industry NewsWhich Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,MCHP,"Key U.S. indexes slipped into the red as Microchip (MCHP) and Skyworks (SWKS) weighed on the Nasdaq but Disney (DIS) boosted the Dow.X SPDR S&P 500 (SPY) slipped 0.2%, SPDR Dow Jones Industrial Average (DIA) gave up 0.1% and PowerShares QQQ Trust (QQQ) was fractionally lower. Small caps underperformed with iShares Russell 2000 (IWM) and  iShares Core S&P Small-Cap (IJR) down 1.2% and 1.1%, respectively.Disney, up 2% earlier, held a 1% gain amid reports the media and theme parks giant held talks to acquire most of 21st Century Fox. Disney reclaimed its 50-day moving average Monday.Among sector plays in the stock market today, utilities, consumer staples and real estate advanced. But retail, banks and semiconductors sagged. VanEck Vectors Semiconductors (SMH) and iShares PHLX Semiconductor (SOXX) dipped. Microchip Technology and Skyworks Solutions sank 4% and 5%, respectively. Skyworks' in-line guidance for the current quarter disappointed.SPDR S&P Regional Banking (KRE) sank 2.7% and SPDR S&P Bank (KBE) fell 2.3%. Big banks weighed on the Dow as JPMorgan (JPM) and Goldman Sachs (GS) gave up about 2% each.Gold and oil funds were  lower, along with their underlying commodity prices.If at first you don't succeed, try, try again. The adage oft holds true for exchange traded funds, too.VanEck Vectors Morningstar Wide Moat (MOAT), which counts Visa (V) among its top holdings, is looking for support at its 50-day moving average after pulling back from a late October intraday high. A solid rebound off the line could set up a new chance to buy shares. The fund was last featured Oct. 2 in this column, as it cleared a 40.37 buy point of a flat base.It advanced 2% before heading back down toward the 50-day line. MOAT showed similar action this past spring. It climbed past a flat-base entry in early May, but turned tail soon after. After finding support at the 50-day, shares rose nearly 7% before starting the most recent flat-base pattern.The $1.3 billion fund, which launched in April 2012, tracks the Morningstar Wide Moat Focus Index. The index is comprised of stocks that Morningstar Direct's equity research team deems to have sustainable competitive advantages and are attractively priced.Health care represented the biggest sector weight in the fund as of Sept. 30, at nearly 35% of assets. Consumer discretionary was next at 21%, followed by industrials at 13%, financials at 11% and information technology at 9%.Its top holdings included Bristol-Myers Squibb (BMY), Biogen (BIIB), Pfizer (PFE) and Amgen (AMGN). Polaris Industries (PII), Visa and Wells Fargo (WFC) were among stocks unrelated to health care that make the top 10 in the 49-stock portfolio.IBD'S TAKE: On the lookout for ETF ideas that may be worth a closer look? Check out IBD's weekly ETF Leaders column for a featured fund and a list of highly rated ETFs.MOAT has delivered performance largely in line with the broader market. Its 15.9% year-to-date return as of Nov. 3 slightly lagged the S&P 500's 17.5% gain, according to Morningstar Direct. Average annual returns of 10.1% and 14.6% over the past three and five years, respectively, compared with the benchmark index's 11% and 15.3% gains for those same periods.The ETF carries a 0.49% expense ratio.RELATED:Nasdaq Hits Record As Apple Sells Out; Nvidia Drives IBD 50 ETFEarnings Win Lifts This Sector; 2 Top Equity Plays In Buy ZoneApple, Microsoft Lift Dow To 11th Win; 2 Equity Plays Near Buy
"
8,MCHP,"Futures for the S&P 500 index were little changed Tuesday morning. Apple-supplier Skyworks Solutions (SWKS), Microchip Technology (MCHP) and Supernus Pharmaceuticals (SUPN) fell late Monday despite beating earnings views. Alphabet (GOOGL)-unit Google and Salesforce (CRM) rose on a new alliance, with Salesforce also offering new guidance.XSkyworks, Microchip, Supernus Pharma, Alphabet and Salesforce all have Composite Ratings of 95 or above. Why does that matter? The Composite Rating is an overall rating, from 1 to 99, based on a variety of proprietary IBD ratings, including on earnings. All-time winners often have Composite Ratings of at least 95 near the start of their big runs.S&P 500 index futures were flat vs. above fair value. Nasdaq 100 futures were essentially flat too. Dow futures rose 0.1%. The S&P 500, Nasdaq composite and Dow all hit record highs during Monday stock market trading.The Apple iPhone chipmaker topped fiscal fourth-quarter results, but gave current Q1 guidance that was in line with views. But that wasn't enough for investors, given that Skyworks had rallied more than 10% over the past seven sessions, fueled by Apple's strong earnings and stock advance as well as the Broadcom (AVGO) offer for Qualcomm (QCOM). Skyworks rose 2.8% to 116.33 in the regular session.Skyworks was not yet active Tuesday but fell 4.6% to 111 in late trading after dropping below 110 at various times. The stock could test its recent 110.71 buy point on Tuesday.Skyworks has a 98 Composite Rating.Alphabet's Google and Salesforce reached a new partnership to target enterprise customers, providing deeper integration of Salesforce's offerings with G-Suite and Google Analytics. Salesforce also guided fiscal 2018 revenue to the high end of its $10.35 billion to $10.40 billion guidance from August. It predicts fiscal 2019 revenue of $12.45 billion to $12.50 billion, with the midpoint slightly above analyst targets for $12.46 billion.Salesforce shares were not yet active in the premarket but rose 2.5% to 104.95 late Monday. Salesforce fell 0.3% to 102.42 during the regular session, still within the 5% chase zone from a 98.32 entry.Alphabet shares were up just a fraction to around 1,044.50 early Tuesday. The stock closed down 0.7% to 1,042.68, in range from a 1,006.29 buy point.Alphabet has a 98 Composite Rating, while Salesforce has a CR of 97.Supernus Pharmaceuticals reported strong earnings and revenue growth for the third quarter. Supernus also raised full-year profit revenue estimates higher. Supernus was not yet active Tuesday. Shares tumbled nearly 6% late Tuesday, though that was off their worst levels of extended trade.Supernus had been consolidating since mid-September, but found resistance at its 50-day line on Monday, closing down 2.3% to 41.10.Supernus has a 97 Composite Rating.Microchip earnings jumped 50%, comfortably above Wall Street estimates. The chipmaker also raised guidance for the current quarter.Microchip retreated 2.5% to 93 late, after rising 1.8% during the regular session to a record closing high. Microchip was not yet active Tuesday morning.Microchip has a 98 Composite Rating.RELATED:The Big Picture: Is Nasdaq Signaling A Pullback?Google, Salesforce.com Forge Cloud Pact Targeting EnterpriseApple Supplier Skyworks Beats Fourth-Quarter Targets, But Shares Fall On In-Line GuideSupernus Pharma Tops Third-Quarter Sales, Earnings ViewsMicrochip Technology Tops September-Quarter Views, Guides Higher 
"
9,MCHP,"The Relative Strength (RS) Rating for Cypress Semiconductor (CY) jumped into a new percentile Tuesday, with a rise from 79 to 83. X IBD's unique RS Rating measures market leadership by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. Over 100 years of market history reveals that the stocks that go on to make the biggest gains tend to have an RS Rating of over 80 in the early stages of their moves.See How IBD Helps You Make More In StocksCypress Semiconductor is still inside a buy range after breaking past a 14.89 entry in a cup with handle. The proper buying range is up to 5% above the initial entry. Once a stock moves above that range, it's best to wait for it to set up another buying opportunity. Earnings growth decreased last quarter from 86% to 75%. But sales moved higher, from 27% to 32%. Look for the next report on or around Oct. 27.Cypress Semiconductor earns the No. 5 rank among its peers in the Electronics-Semiconductor Manufacturing industry group. Microchip Technology (MCHP) is the top-ranked stock within the group.RELATED:Chip Stocks To Watch And Semiconductor Industry NewsIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
