,ticker,content
0,MCK,"When considering what names to put on your watch list, focus on stocks with an 80 or higher RS Rating. Mckesson (MCK) now meets that criteria, with an increase from 78 to 82 Monday. X IBD's proprietary rating identifies market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price behavior over the trailing 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the best-performing stocks typically have an 80 or higher RS Rating as they begin their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereWhile it's not currently an ideal time to buy shares, see if the stock goes on to offer and clear an appropriate buy point.The company saw both earnings and sales growth rise last quarter. Earnings-per-share increased from -22% to 11%. Revenue rose from 3% to 4%. Mckesson holds the No. 2 rank among its peers in the Medical-Wholesale Drugs industry group. Amerisourcebergen (ABC) is the No. 1-ranked stock within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,MCK,"In a welcome move, Mckesson (MCK) saw its Relative Strength Rating improve from 70 to 78 on Friday. X IBD's proprietary RS Rating tracks market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price performance over the trailing 52 weeks compares to the rest of the market. History shows that the stocks that go on to make the biggest gains often have an RS Rating north of 80 as they launch their biggest runs. See if Mckesson can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereMckesson is not currently offering a proper buying opportunity. See if the stock goes on to form a promising consolidation that could kick off a new price move.Earnings grew 11% last quarter, up from -22% in the prior report. Revenue also increased, from 3% to 4%. Mckesson earns the No. 2 rank among its peers in the Medical-Wholesale Drugs industry group. Amerisourcebergen (ABC) is the top-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,MCK,"Just when health care investors thought it was safe to dive back into retail pharmacy stocks, Amazon.com (AMZN) delivered a jolt on Thursday by buying PillPack, an online pharmacy that delivers prescriptions presorted by the dose. The move sent shares of CVS Health (CVS) and Walgreens Boots Alliance (WBA) tumbling. Drug distributors AmerisourceBergen (ABC), Cardinal Health (CAH) and McKesson (MCK) also retreated, along with pharmacy benefits manager Express Scripts (ESRX).In April, Walmart (WMT) had reportedly been close to a deal to buy PillPack, nudging aside Amazon. Meanwhile, Amazon's feared shake-up of health care no longer looked quite so scary as the company shelved plans to deliver medical supplies.Now there will again be a focus on just how big of a threat Amazon represents to the prescription retail industry. Already, CVS has moved to same-day delivery in major markets and next-day delivery. CVS Health and Walgreens, which was just added to the Dow Jones, are both developing new drugstore models to deliver a broader array of medical services.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe immediate reaction, though, was to sell. CVS stock sank 6.1% and Walgreens stock fell 9.9% on the stock market today. Amazon rose 2.5%. AmerisourceBergen, Cardinal Health, McKesson lost 4.1%, 4.8% and 6.1%, respectively. Express Scripts fell 1.4%. Walmart slid 1.2%.Health insurers also sold off. Perhaps understandably, Aetna (AET), which is being bought by CVS Health, sank 1.8%. Cigna (CI), which is buying Express Scripts, lost 1.8%. But UnitedHealth (UNH) retreated 1.3%.Earlier on Thursday, Walgreens boosted its dividend and share buyback plans after topping earnings expectations.Terms for the Amazon-PillPack deal, which is expected to close later this year, weren't disclosed.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:Dow Jones Futures Try To Rally: This Key Tech Sector Flashes Big WarningIf You Want To Buy More Apple Or Nvidia Shares, Read ThisStock Market Today: Track Market Trends And The Best Stocks To Watch
"
3,MCK,"Stocks rolled out a mixed open on Thursday, after a disappointing first-quarter GDP revision, and as news from Amazon.com (AMZN) rattled the pharmacy industry.Chip stock Marvell Technology (MRVL) soared as China approved its acquisition of Cavium (CAVM).  Retail stock futures were under early pressure after earnings reports from Bed, Bath & Beyond (BBBY) and Pier One Imports (PIR). REtailers took additional heat as pharmacy giant CVS Health (CVS) and new Dow Jones component Walgreens Boots Alliance (WBA) both dived, after Amazon announced it would buy online pharmacy service PillPack.The Dow Jones industrial average opened 0.1% lower as Walgreens dived nearly 10%. The Nasdaq Composite traded down less than 0.1%.The S&P 500 edged up 0.1%, as earnings-driven gains from McCormick (MKC) and Accenture (ACN) countered the heavy losses from Walgreens, CVS, AmerisourceBergen (ABC) and McKesson (MCK).The Commerce Department revised its first-quarter GDP estimates lower, to 2% growth. That was below consensus projections for growth to hold steady at 2.2%. The GDP Price Index, a key inflation gauge, rose to 2.2%. That was well above expectations, also for a no-change reading at 1.9%. The consumer spending estimate was unchanged at 1% growth, in line with expectations.The upshot: growth was slower than expected during the quarter, while inflation rose faster than forecast.  That complicates the pressure on the Federal Reserve, which has signaled that two more interest rate hikes are likely before the end of the year, but is already wrestling with its impact on the finance and stock markets.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe U.S. trade brawl with China and the world's other largest economies was relatively quiet early Thursday. The White House had backed away on Wednesday from early threats to use executive privilege in order to curtail investment by China-owned companies in U.S. technologies. White House attempts to appease both Beijing and investor fears were met part way by China on Thursday, as regulators approved the Marvell-Cavium merger.Hong Kong's Hang Seng Index rose 0.5% as the market felt for a bottom, down a bit less than 10% since June 7. The Shanghai Composite dropped 0.9%, diving to a new bear market low and tacking toward a sixth straight weekly decline. In Japan, Tokyo's Nikkei 225 continued to trade flat, just above its 200-day line of support and 1% below its 50-day line.Stocks in Europe fell out of mixed trade and into steep losses in afternoon action. Frankfurt's DAX dived 1.4% and the CAC-40 in Paris traded 1.1% lower. London's FTSE 100 ditched early gains and fell 0.3%Oil prices ticked a fraction lower early Thursday, with West Texas Intermediate trading just below $73 per barrel. Oil prices punched to a 43-month high on Wednesday, as tight weekly supply data added to the list of elements generating upward pressure.Oil stocks posted the top five advances on the S&P 500 on Wednesday. Ahead of Thursday's open, Marathon Petroleum (MPC) advanced 0.5%. The Findlay, Ohio-based refiner is looking to stem a four-week decline.Chip stocks suffered further damage in Wednesday's selling, but received some positive news early Thursday. Marvell Technology spiked 9.4%,  Cavium leapt 10.4%, after announcing Chinese regulators had approved Marvell's $6 billion bid to acquire the data center/networking specialist. Marvell shares are broken down below support in a three-month basing effort. Cavium is testing support at its 10-week line, within a three-month base. The companies first announced the deal in November.Retail stocks came under sharp pressure after Amazon announced it would buy online pharmacy service PillPack for an undisclosed amount.  Terms of the deal were not disclosed, but news reports in May said Walmart (WMT) had attempted to acquire PillPack for less than $1 billion. The move was Amazon's first major health service sector move since January's announcement that it had launched a joint venture with Berkshire Hathaway (BRKA) and JPMorgan (JPM) to create a more effective and efficient health service program for the companies' employees.CVS Health tumbled nearly 7% in early action. The stock is up 13% since March, attempting to retake support at its 40-week moving average within a three-year downtrend.Walgreens Boots Alliance drilled 8.4% lower. The pharmacy chain reported early Thursday its fiscal third-quarter sales and earnings topped analysts targets, and management raised the company's quarterly dividend 10% and added $10 billion to its stock buyback effort.Drug distributors also fell hard: AmerisourceBergen crumbled 8.2%, McKesson swooned 7.7% while Cardinal Health (CAH) tumbled 7.5% lower.Amazon shares rose 1%. That left the IBD Leaderboard stock still in a buy range above a 1617.64 buy point.Other retail stocks were already under early pressure, after a handful of earnings reports. Pier One Imports dived 23% as weak guidance trumped its first quarter sales and earnings beat.Bed, Bath & Beyond also fell hard, down more than 9%, as a dip in same-store-sales soured an otherwise positive fiscal first-quarter report.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:Dow Jones Futures: This Key Tech Sector Flashes Big WarningThe Big Picture: Why The Nasdaq's Stormy Price Action Is WorrisomeHere's How Desperate Trump Is To Avoid A China Trade WarMillennial Investors Love These Stocks: Robinhood's Top 20 HoldingsIBD Stock Of The Day: 'Apple Of Oil' Nears New Buy Point In Bullish Pattern
"
4,MCK,"The Dow Jones, S&P 500 index and Nasdaq composite retreated in a volatile market as Trump trade war fears waxed and waned, with Nike (NKE) and bank stocks fueling a Friday rebound. Crude oil prices hit multiyear highs. General Electric (GE), kicked out of the Dow Jones, announced a partial breakup. Amazon.com (AMZN) moves disrupted the pharmacy and shipping industries. Harley-Davidson (HOG) said it would shift some production to Europe due to tariffs, angering President Donald Trump.The Dow Jones, S&P 500 index and Nasdaq composite sold off on Monday and Wednesday, breaking or testing key support levels, amid concerns about Trump trade war moves against China investment. All three fell for the week, even with gains on Thursday and Friday. So far in 2018, the Dow Jones is down 1.8%, while the S&P 500 has gained 1.7% and the Nasdaq 8.8%. The Treasury yield curve continued to flatten, signaling concerns about Fed rate hikes down the road. Bank stocks, under pressure for weeks on the flattening yield curve, rebounded Friday after the Fed cleared most to raise dividends and buybacks. Energy stocks rallied as crude prices soared. GE popped on its restructuring plan. Nike sprinted on a U.S. sales revival and a big stock buyback.Oil futures jumped more than 8% to $74.15 a barrel to their highest levels since 2014 over supply issues from North America and Iran. The Trump Administration warned allies that they needed to stop importing Iranian crude by November, according to reports. Meanwhile, a key oil-sands facility in Canada will be shut down until August. U.S. crude stockpiles fell by 9.9 million barrels, more than expected, while gasoline supplies rose by 1.2 million barrels, according to weekly Energy Information Administration data. Domestic production was flat last week at 10.9 million barrels per day.General Electric (GE) ended a century-plus run on the Dow Jones industrial average and said it plans to shrink even further. The industrial giant, seeking to pare debt and simplify, will spin off GE Healthcare and divest its majority stake in oilfield services company Baker Hughes (BHGE). After prior, smaller divestitures, GE will now focus on aviation, power and renewable energy. The decisions followed a year-long ""deep dive"" by new CEO John Flannery, a period over which GE stock crumbled in half. Analysts warned of another dividend cut, the second since both the payout and earnings outlook were sliced last year. GE stock rebounded after falling to multiyear lows.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseNike profit grew 15% to 69 cents a share on 13% revenue growth to $9.79 billion, easily quashing analyst views for 64 cents EPS and $9.39 billion in sales. North America sales rose 3%, bucking three straight quarters of year-over-year declines. The world's largest athletic apparel brand also announced a $15 billion share buyback program. Shares of Nike leapt 11% Friday, hitting a new high.Harley-Davidson faced a double-whammy in the past week, first getting hit with a 25% tariff from the European Union, then getting slammed by President Trump for waving the ""white flag."" The iconic motorcycle maker said the EU tax — retaliation for Trump's steel and aluminum tariffs — would cost it roughly $100 million a year. After announcing a plan to shift production for Europe overseas to avoid the hit, Harley took fire from Trump's tweets. Analysts see some risk that Harley-Davidson could suffer a long-term reputation hit. Harley stock retreated.Amazon turned to small fry to disrupt two major industries on Thursday. Its deal to buy online pharmacy PillPack, with $100 million in 2017 revenue, gave Amazon just a toehold in a $300 billion industry. But it roiled many health care stocks. New Dow Jones stock Walgreens Boots Alliance (WBA) tumbled 9.9% on Thursday. CVS Health (CVS), which is buying insurer Aetna (AET) partly in anticipation of Amazon entering the pharmacy space, fell 6.1%. Drug distributor McKesson (MCK) fell 6.1%. Amazon also said it would help entrepreneurs launch local businesses delivering Amazon packages with fleets of up 40 vehicles. That plan helped send shares of UPS down 2.3% and FedEx 1.3% on Thursday.The Federal Reserve released the second and final round of its annual stress tests, clearing most shareholder payout plans for the nation's largest financial firms. Wells Fargo (WFC) rallied Friday on its buyback and dividend plan. But JPMorgan Chase (JPM) and many other bank stocks slashed gains or closed lower. But the Fed restricted the payout plans of Morgan Stanley (MS) and Goldman Sachs (GS) and failed the U.S. division of the embattled Deutsche Bank (DB). The Fed said Morgan and Goldman would ""maintain their capital distributions at the levels they paid in recent years"" after their capital ratios fell below the Fed's minimum — the result of a one-time reduction due to tax reform. Goldman and Morgan came close to missing the Fed's minimum on a key leverage ratio in the first round of the tests.This past week 11 IPOs raised about $2.8 billion. Several IPOs showed double-digit gains on the first day of trading. Among biotech new issues, Neuronetics (STIM) rallied 63% in its debut and Tricida (TCDA) rose 37%. The largest IPO was BJ's Wholesale Club (BJ), which raised $637.5 million, as shares rose 29% on the first day. Furniture retailer Lovesac (LOVE) jumped 50% on its first day of trading.Canadian marijuana producer Canopy Growth Corp. (CGC) reported its first quarterly earnings as a U.S.-listed company. Canopy turned in a steeper loss than a year ago as it spent more on investments ahead of Canada's recreational legalization. Beer-and-wine giant Constellation Brands (STZ), which has taken a stake in Canopy, reported fiscal Q1 earnings per share that missed estimates, with sales roughly in line. Shares of Constellation tumbled Friday.Sonic earnings rose 21% to 52 cents a share, better than consensus for 49 cents EPS, but sales slid more than expected, declining nearly 5% to $118 million vs. analyst views for $120 million in revenue. The fast-food drive-in chain now projects full-year earnings of $1.45-$1.49, vs. prior guidance for $1.43-$1.50. The narrower guidance implies below-consensus Q4 EPS. Shares retreated.Lennar (LEN) stock popped after it demolished earnings estimates on Tuesday, though the largest U.S. homebuilder fell back later in the week. Meanwhile KB Home (KBH) rose Friday after the builder scored a double beat late Thursday.Carnival (CCL) shares sank to their lowest level in more than a year after the cruise line pared its full-year EPS outlook from $4.20-$4.40 to $4.15-4.25. Norwegian Cruise Line (NCLH) and Royal Caribbean (RCL) shares also dropped as Carnival warned on fuel costs and exchange rates.Paychex (PAYX) retreated from a potential 73.20 buy point after quarterly earnings met and revenue edged past estimates. The payroll and HR services provider expects revenue to grow 6% to 7% in fiscal 2019 and EPS to rise 11%, as it fends off existing and new rivals, such as cloud-based Paycom Software (PAYC).Walgreens Boots Alliance announced a $10 billion buyback and quarterly dividend hike to 44 cents. The drugstore company also topped earnings views and guided modestly higher. Same-store sales fell though. Shares plunged to their lowest level in three years on Amazon's deal to buy PillPack.Akamai Technologies (AKAM) cut its revenue guidance on currency headwinds but raised its EPS outlook on greater-than-expected operating efficiencies.Accenture (ACN) delivered a fiscal third-quarter earnings beat. The global IT services firm has been making acquisitions to push into digital, cloud and cybersecurity products.GW Pharmaceuticals (GWPH) rose as the FDA approved its cannabis-based drug, Epidiolex, to treat two seizure disorders.WWE (WWE) stock exploded after it pinned down bigger-than-expected deals with 21st Century Fox (FOX) and Comcast (CMCSA) to broadcast its shows.Boeing (BA) stock flashed a sell signal after China ""firmed up"" commitments to purchase jets from European rival Airbus (EADSY) amid ongoing trade tensions with the U.S. Boeing went on to seesaw throughout the week, and remained marooned below its 50-day moving average.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:IBD Stock Of The DayBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsHow To Invest In The Stock Market: Start With A Simple Routine
"
5,MCK,"Investors are running for the exit in anticipation of federal action against drug companies blamed for the opioid crisis.Drug distributors including Cardinal Health (CAH), AmerisourceBergen (ABC) and McKesson (MCK) extended losses for a second day as President Donald Trump pledged to lower drug prices ""very substantially in the not-so-distant future."" He said the Justice Department is considering ""major"" federal litigation against the companies involved in the crisis.Trump threatened to ""get tough"" on drug dealers, including using the death penalty in certain cases, while speaking yesterday in New Hampshire, one of the states hardest hit by opioid addiction. The Justice Department will decide by early April whether to join local governments suing makers of opioid painkillers.Endo International (ENDP), whose shares plunged as much as 11% on Tuesday, is among those being investigated by various U.S. states. Opioid distributors being investigated include AmerisourceBergen, Cardinal Health and McKesson.""Much is unclear about a possible suit against the distributors, however the stocks clearly seem to be trending hyper-sensitively,"" Evercore analyst Ross Muken, who covers drug distributors, wrote in a note. ""It is possible there are parties proceeding to join or file lawsuits based on this.""Trump also reiterated his promise to lower drug prices, with Health and Human Services Secretary Alex Azar saying his agency will be rolling out proposals in about a month. The plan aims to seek discounts from drug "" middlemen,"" which include pharmacy benefits managers such as Express Scripts (ESRX), CVS Health's (CVS) Caremark and UnitedHealth's (UNH) OptumRx.YOU MIGHT BE INTERESTED IN:This Biotech Flirts With Breakout Amid Battle With Opioid MakersWal-Mart To Offer Pill-Disposal Product To Curb Opioid AbuseOpioid Crisis Is Six Times Larger Than Thought, Report Says 
"
6,MCK,"In a welcome move, Mckesson (MCK) saw its Relative Strength Rating improve from 70 to 73 on Thursday. X IBD's unique rating tracks price movement with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the last 52 weeks compares to all the other stocks in our database. Over 100 years of market history shows that the stocks that go on to make the biggest gains often have an 80 or better RS Rating as they launch their largest runs. See if Mckesson can continue to show renewed price strength and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineNow is not an ideal time to jump in since it isn't near a proper buy zone, but see if the stock manages to offer and clear an appropriate buy point.Earnings grew 11% last quarter, up from -22% in the prior report. Revenue also increased, from 3% to 4%. Look for the next report on or around Jan. 25.The company holds the No. 2 rank among its peers in the Medical-Wholesale Drugs industry group. Amerisourcebergen (ABC) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,MCK,"Stock indexes were mixed Friday afternoon but they bounced from afternoon lows as President Trump unveiled a plan to cut drug costs.The Nasdaq composite was down 0.2% while the S&P 500 was up a fraction and the Dow Jones industrial average gained 0.2%. Small caps were flat also. But the Dow transports surged 1%, apparently getting some help from a drop in oil prices.Volume was tracking lower compared with the same time Thursday. Advancers had a small advantage over decliners on the Nasdaq and NYSE. (For updates on this story and other market coverage, visit Stock Market Today.)President Trump announced a program aimed at lowering drug prices, including measures to increase competition.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseDrug distributor stocks fell as Trump unveiled details, but soon rallied back. McKesson (MCK) erased a 1% loss and was up 1.6% in afternoon trading. AmerisourceBergen (ABC) and Cardinal Health (CAH) erased losses of 1% to 2% and were up roughly 1%. Those stocks have been lagging for months, however.The market saw no real threat to the pharmaceutical industry, as the sector led the market. SPDR S&P Pharmaceutical (XPH) and iShares Nasdaq Biotech (IBB) were about 2.5%. IBD's ethical drugs industry group was third best on the day, up 1.2%. The generic drugs group climbed 1% and biotechs rose 0.9%.The technology sector saw some big moves after earnings reports.Nvidia (NVDA) gave back a minor piece of its rally over the previous several days, and it held above the 239.35 buy point of a double bottom base. The chip company beat sales and profit views thanks partly to demand for chips used in the mining of cryptocurrencies.Dropbox (DBX) shares were down 1.7% in a volatile session. The company reported adjusted first-quarter profit and revenue that beat expectations in its first post-IPO earnings report. The file-sharing and storage company went public at 21 a share on March 23 and has been one of the most heavily traded new issues. Daily volume averaged more than 5 million from Wednesday through today's trading.On the IBD 50, TAL Education (TAL) tried to break out past the 41.85 buy point of a base-on-base pattern. But the sputtering action shouldn't be much of surprise because the base is quite late stage. TAL, a Chinese tutoring and education services provider, has made an amazing run from its breakout in November 2015. It has formed and cleared at least five bases since then, and further gains would be harder to produce.Diamondback Energy (FANG) is rapidly giving back territory. It is now nearly 5% below the 130.80 buy point of a cup with handle breakout earlier this week. On Friday, Diamondback fell below the 50-day moving average. If shares cannot rebound around that level, the breakout would be further compromised.RELATED:Here's How Trump Could Impact Biopharma In Drug-Pricing SpeechNvidia Forecasts Big Drop In Cryptocurrency Chip SalesSymantec Plunges On Outlook, Discloses Internal Probe Of Finances
"
8,MCK,"Stocks closed broadly higher Monday, although the Dow Jones industrial average and S&P 500 came up a bit short in reclaiming their 50-day moving averages. Netflix (NFLX) rose after the close as the company announced results.The Dow climbed 0.9% and ended slightly below its 50-day moving average. Getting back above that trend indicator would be a positive sign for the market, which continues to climb from a bottoming signal about a week ago. The S&P 500 also closed just below the 50-day line, up 0.8%.The Nasdaq composite was up 0.7%. The small-cap Russell 2000 climbed 0.9%. Volume was higher on the Nasdaq and nearly flat on the NYSE compared with the same time Friday. Winners led losers by a 13-to-5 ratio on the NYSE and by about 2-1 on the Nasdaq.Netflix shares rose about 7% after the close on the company's earnings. Shares are extended after finding support in a pullback to the 50-day moving average. The video streaming company reported quarterly earnings. The company earned 64 cents a share, up 60% and in line with views. U.S. subscriber growth was strong.Amazon.com (AMZN) is dropping plans to sell drugs to hospitals, CNBC reported. The news caused drug distributor stocks to rally. McKesson (MCK) jumped 3.5% and traded back above the 50-day moving average. Cardinal Health (CAH) rose 3% as it bounces from a four-month low. Drugstore, medical wholesale supply, medical product distributor stocks also were some of Monday's top industry groups in afternoon trading.Amazon.com shares were up 0.7% but continued to trade below the 50-day moving average.The transportation sector continued to lead, with logistics, trucking and truck manufacturing among the top 10 industry groups in today's market. J.B. Hunt (JBHT) jumped 6% in heavy trading after the company beat profit expectations earlier today. The stock climbed back above the 50-day moving average and is forming a base with a 126.59 buy point.Banks continued their earnings announcements, with Bank of America (BAC) beating first-quarter earnings this morning. Earnings rose 51% to 62 cents a share. Adjusted revenue rose nearly 4% to $23.1 billion. Analysts had expected 59 cents on revenue of $22.907 billion. The stock erased losses and was up more than 0.4% at the close.Among defense contractors, United Technologies (UTX) rose 0.9%, Raytheon (RTN) 1.4% and Northrop Grumman (NOC) 0.3%. Raytheon climbed above the 222.92 buy point of a flat base, but volume was fading. Northrop is forming a base with a 359.53 buy point. Boeing (BA) was up 0.8%.Defense contractors have been seeing increased interest. Late Friday, the U.S., France and Britain launched a coordinated strike on Syrian chemical weapons facilities after accusing Syria of using such weapons on civilians.Among breakouts Monday, Proofpoint (PFPT) rose past the 123.97 buy point of a flat base. But volume was weak. Proofpoint was among several cybersecurity stocks rising Monday as an industry conference got underway and analysts speculated on buyouts for the company.Cal-Maine Foods (CALM) broke out in volume about 30% more than average. Shares of the egg producer topped the 48.50 buy point of a cup-with-handle base but closed a bit below the entry. Cal-Maine has been profitable the past two quarters, after posting losses in five of the past six quarters. Sales have rebounded sharply, up 42% in the February-ended quarter.Several optical stocks slid after the U.S. Commerce Department barred a Chinese company from importing to the U.S.Officials said the firm illegally shipped telecommunications equipment to Iran and North Korea.Lumentum (LITE)tumbled 9%, Oclaro (OCLR) 15%, Acacia Communications (ACIA) 36% and Finisar (FNSR) 4%. Those stocks are in IBD's fiber optics industry group, which had rebounded to No. 26 out of 197 groups. But only Lumentum has an IBD Composite Rating above 90.RELATED:Charles Schwab Beats Ahead Of Top-Rated E-Trade, Interactive BrokersBank Of America Earnings Jump 51% In Q1; Stock Setting UpOption Trading: Earnings Expectations High For Netflix, Alcoa, AtlassianStocks Drop, As Market Ignores Good News On Earnings 
"
9,MCK,"AmerisourceBergen (ABC) soared Tuesday morning on an overnight report that drugstore chain Walgreens Boots Alliance (WBA) seeks to acquire the drug distributor. Also roiling the broader health care supplies sector was word that Amazon.com (AMZN) is looking to turn its medical-supplies business into a major supplier to U.S. hospitals and outpatient clinics.AmerisourceBergen rivals McKesson (MCK), Cardinal Health (CAH) fell Tuesday morning, while medical suppliers Owens & Minor (OMI) tumbled.On the stock market today, shares of AmerisourceBergen vaulted 9.3% to 97.77 after hitting 102 earlier. Walgreens Boots Alliance, which already owns 26% of AmerisourceBergen, dipped 0.25%.A Walgreens-AmerisourceBergen deal would follow big transformative ventures in the health care sector.In late 2017, drug store-and-pharmacy benefit manager CVS Health (CVS) struck a deal to acquire health insurance giant Aetna (AET). The move was seen as a pre-emptive strike against Amazon. In January, Amazon teamed up with JPMorgan Chase (JPM) and Berkshire Hathaway (BRKB) to work to lower health care costs for their employees.IBD'S TAKE: With the stock market in flux, it's more important than ever for investors to stay in step with the market. For our latest market analysis, be sure to read The Big Picture.With regards to medical supplies, Amazon has met with hospital executives several times recently as it explores becoming a bigger player in the field, the Wall Street Journal reported Tuesday citing unnamed executives who attended those meetings.McKesson lost 1.9% to 146.18, Cardinal Health tumbled 3.4% to 65.71. It was unclear if McKesson and Cardinal Health were reacting to Walgreens-Amerisoure buzz, the Amazon report, or both.But the Amazon report clearly seemed to impact medical supplies firms. Owens & Minor gave up 4.8% to 14.94 as it made a new low of 14.26. Henry Schein (HSIC) tumbled 6.6% and Patterson (PDCO) dropped 5.2%.Amazon rose 2%.YOU MIGHT BE INTERESTED IN:Amazon Health Care Disruption Fears Clash With This RealityCVS: 'We're Going To Deliver' What Amazon, JPMorgan, Berkshire Seek To DoAmazon, Berkshire Hathaway, JPMorgan Chase Team On Health Care; CVS, UnitedHealth Dive
"
