,ticker,content
0,MNST,"Stock opened higher and crude oil prices climbed Wednesday as markets sorted out the impact of Tuesday's U.S. withdrawal from the nuclear nonproliferation agreement with Iran. In addition, Walmart (WMT) announced a major move into India, and the market looked to firm up its wobbly uptrend.The Dow Jones industrial average opened 0.3% higher. Exxon Mobil (XOM) and Chevron (CVX) led the index, with Exxon rising 1.5% and Chevron up 1.6%. The Nasdaq rose 0.2% and the S&P 500 0.3%. TripAdvisor (TRIP) led both indexes, up 20% after reporting first-quarter results late Tuesday.Although the market's uptrend remains under pressure, the 200-day moving average has set up a positive level of support for the market. The Dow has bounced up twice, and the S&P 500 three times, after finding support at that line. The Nasdaq has dropped to lows three times since February. Each of those lows stopped short of the 200-day moving average, and the pullbacks have been increasingly shallow. This sketches a trend of higher lows, which is often a sign of improving conditions.Crude oil prices appeared set to factor into Wednesday's market action. U.S. benchmark West Texas Intermediate crude jumped 2.7% early Wednesday, sending futures contracts to just below $71 per barrel. That is above Monday's peak, and the highest crude oil price in 42 months.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UsePresident Trump on Tuesday withdrew the U.S. from the Joint Comprehensive Plan of Action — the international nuclear non-proliferation treaty with Iran. The move threatens to reimpose sanctions that would prevent Iran, the world's fifth-largest supplier of oil, from selling its crude on international markets. Crude oil prices turned volatile after the decision, settling 2.4% lower for the day. Oil has been in a general uptrend over the last 11 months, trading up 68% on Wednesday from a June 2017 low.Walmart dropped 2.5% after announcing it would pay $16 billion to acquire a 77% share in Flipkart, an e-commerce leader in India. A Walmart statement said China's Tencent Holding (TCEHY) and Microsoft (MSFT) were also involved in the deal. Microsoft rose 0.5%. Tencent gained 1.3%.There was no shortage of early, earnings-driven drama among stocks. Groupon (GRPN) vaulted 10% higher. On the downside, Extreme Networks (EXTR) nosedived 24%, Caesarstone (CSTE) dumped 21% and Monster Beverage (MNST) took a 9% tumble.TripAdvisor launched 19% higher, after reporting its first profit increase in nine quarters. Both earnings and revenue cleared analyst targets by wide margins, and management hoisted its full-year cash flow projections. TripAdvisor shares are below a 47.12 buy point in a bottoming base.On the IBD 50 list, SolarEdge (SEDG) inched up 0.3% ahead of its first-quarter report expected after today's close. Shares rose 30% year-to-date through Tuesday's close. The stock is in a buy range, on a rebound from support at its 10-week moving average.IBD 50 peer Weibo (WB) dropped 11% at the open. The China-based micro-blogging site's first-quarter earnings topped analysts' targets. But a 60% revenue gain stopped short of expectations. The stock has been building the right side of a three-month cup base, but it is a late-stage pattern.YOU MIGHT BE INTERESTED IN:The Big Picture: Indexes Resilient After Trump DecisionPure Storage, 58.com Are Buys; These 3 Top Stocks Are Setting Up In Same Bullish PatternTrump Scraps Iran Nuclear Deal, But With This CaveatThree Internets, Hot Oil Stock Report Earnings Wednesday; This One Is Near A BuyThese Four Leading Stocks Broke Out Past Buy Points Tuesday
"
1,MNST,"The major market averages were searching for direction Thursday, narrowly slightly lower heading into midday. Top stock Salesforce.com (CRM) advanced to new highs in the stock market today.X Fed chief Jerome Powell began his second day of testimony before Congress. Meanwhile, President Trump did not announce sweeping new tariffs on steel and aluminum imports Thursday morning, despite reports that he would do so. Those tariffs would benefit domestic steel and aluminum makers, but raise costs on metal-using industries and risk a trade war.After trading lower and higher intraday, the major averages were little changed in late morning. The Nasdaq and S&P 500 fell 0.2% while the Dow Jones industrial average fell 0.15%. Following Wednesday's losses, the tech-heavy Nasdaq was nearing its 50-day line, while the S&P and Dow Jones are back below those key levels.Among companies reporting earnings, Big Cap 20 name Salesforce.com advanced 3% after its Q4 earnings and sales topped estimates. Investors shrugged off the company's light Q1 billings guidance. Shares moved further above a recent 109.29 flat-base entry after a recent breakout.Best Buy (BBY) was up 4% after the retailer reported better-than-expected earnings results, while providing upbeat guidance in the current year. Shares are finding support at their 50-day line, as they shape the right side of a potential base.Floor & Decor (FND) turned up 0.1% even after the floor retailer's beat the Street's top- and bottom-line estimates. In early February, the stock had triggered the 7%-8% loss-cutting rule from a 46.34 cup-with-handle buy point. Since then, the stock has been seeing strong resistance at its 50-day line.Kohl's (KSS) dropped 7.1% despite reporting strong Q4 results early Thursday. The stock has been tracking its 50-day line higher since November 2017, and the stock is testing that level Thursday.Monster Beverage (MNST) crumbled nearly 11% following the company's disappointing earnings results late Wednesday. The stock gave up the bulk of its gains from a 57.35 flat-base buy point and fell further under its 50-day line. Shares had advanced as much as 22% from the entry, underscoring the importance of taking most gains at the 20%-25% profit-taking area.Get IBD's Market Prep And Tech Report Newsletters — For Free!Inside the IBD 50, the list of top growth stocks was predominantly trading in the red through morning trade. Graphics-chip maker Nvidia (NVDA) declined more than 2%. Shares are still above their 50-day line and out of buy range from a 218.77 cup-shaped base entry.Elsewhere, Alibaba (BABA) gave up its 50-day line with a 1% fall. The stock is still forming the right side of a potential base.RELATED:Fed Inflation Gauge Stays Tame, But Here's 6 Reasons Why Investors Are NervousSalesforce, Paycom Peer With 127% Growth May Program New Breakout MoveWhich Stocks Make This List Of The Fastest-Growing Companies?The Cup Without Handle Can Also Yield Bullish Stock Breakouts
"
2,MNST,"Here's your Investing Action Plan for Wednesday: what you need to know as an investor for the coming day. X Leading companies in enterprise software, footwear and beverages will be in the spotlight as Salesforce (CRM), Crocs (CROX) and Monster Beverage (MNST) report results. A busy week for retail earnings also will continue with quarterly financials…
"
3,MNST,"While it's easy to bask in the glory of an ongoing successful trade, savvy investors know that the trade isn't over until the paper gains have been converted into realized gains.X These savvy investors are always on the lookout to lock in those gains when the going is too good to be sustainable. The ability to lock in gains on the upside is a key asset at an investor's disposal.A climax top is a rare sell signal that a leading growth stock is overheated and may be in the process of topping. This signal allows investors to lock-in hard fought gains on the upside, while the stock is still advancing.The ability to discern these signals — and more importantly heed them — can separate the great investors from the good ones.Hansen's Natural — now Monster Beverage (MNST) — triggered a number of climax top signals in May 2006 at the end of a long and profitable move that began in July 2003.IBD company's MarketSmith allows users to change the date and go back in time to study the price and volume action of former model book winners that are still active today. Simply use the Change Date feature located at the top of the MarketSmith research tool.Shares of the energy drink, juice and soda marketer blasted out of a short consolidation on May 5. Two days later, the stock's first exhaustion gap appeared as Monster rose 16% (1). An exhaustion gap occurs at the end of a long price move when the low of the day is above the high of the previous trading day, creating a gap in the chart's price action.The next day gave investors another exhaustion gap, as the stock surged another 14% and posted the largest one-day point gain (2) since the start of the move. Over that four day period, the stock would advance 45% to end up 92% above the most recent buy point — a 26.30 cup-shaped base entry.That week was the stock's widest weekly price spread since the beginning of the move, another common signal shared by many climax runs.After climaxing, the stock would go on to form an improper base and break out on July 5, 2006. Three days later, the stock plunged 9% after the company's excessive 4-1 stock split — another potential sell signal — went into effect, less than one year after its 2:1 split. The stock would go on to fall almost 50% over the next month.It would be more than a year later before the stock would briefly trade again at record highs.RELATED:2017 Big Winner And Longtime IPO Leader Triggers Climax TopThese 7 IBD Stock Indexes Are Beating The Nasdaq Year-To-DateWhen To Sell A Great Stock: Using An Upper Channel For Amazon In 2003
"
4,MNST,"National Beverage (FIZZ) saw a positive improvement to its Relative Strength (RS) Rating on Monday, with an upgrade from 68 to 73. X IBD's unique RS Rating measures market leadership by using a 1 (worst) to 99 (best) score that identifies how a stock's price performance over the last 52 weeks matched up against all other stocks. History reveals that the top-performing stocks tend to have an RS Rating north of 80 in the early stages of their moves. See if National Beverage can continue to rebound and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineNational Beverage is trying to complete a consolidation with a 129.92 entry. See if it can clear the breakout price in volume at least 40% above average. Note that it's a sixth-stage base. Such later-stage patterns are more and have a higher likelihood to fail than first- or second-stage consolidations. The company posted 36% earnings growth in the latest quarterly report, while sales growth came in at 20%. Look for the next report on or around Mar. 9.National Beverage holds the No. 2 rank among its peers in the Beverages-Non-Alcoholic industry group. Monster Beverage (MNST) is the No. 1-ranked stock within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,MNST,"The S&P 500, Dow Jones industrial average and Nasdaq composite broke monthly winning streaks and then sold off again to start March, as President Trump said he'll impose big, broad steel and aluminum tariffs and claimed ""trade wars are good."" Salesforce (CRM), Palo Alto Networks (PANW), Workday (WDAY) and Square (SQ) were among techs reporting strong earnings.X Macy's (M) earnings topped, while Lowe's (LOW) missed. Auto sales generally fell more than expected. Samsung released an Apple (AAPL) iPhone X rival while Apple reportedly plans to launch three new handsets this fall.The S&P 500, Dow Jones and Nasdaq composite retreated despite generally strong earnings, with the Dow and S&P 500 erasing their 2018 gains and undercutting their 50-day lines. The Nasdaq did find support at that key area. President Trump on Thursday announced plans to impose steel and aluminum tariffs, lifting steel stocks but raising fears of retaliation by countries around the world. Trump doubled down, tweeting Friday that ""trade wars are good, and easy to win."" Jerome Powell, in his first congressional testimony as Fed chief raised concerns of four or more Fed rate hikes this year.Sign Up For Free IBD Newsletters: Market Prep | Tech ReportNew Fed Chairman Jerome Powell told Congress that he wants to continue the gradual rate hike policy. But he also noted that he and other Fed policymakers are raising their economic growth forecasts from the end of last year, sparking fears that the Federal Reserve will adopt more aggressive tightening. Meanwhile, the ISM manufacturing index pointed to the fastest factory expansion in nearly 14 years. But the Fed's favorite inflation gauge, the core PCE deflator, held at 1.5%, below policymakers' 2% target.Palo Alto Networks (PANW) blew past fiscal Q2 earnings estimates as a new product upgrade cycle kicked in. The cybersecurity firm and forecast April quarter profit and revenue above expectations.  Some analysts say Palo Alto has been gaining share in the security firewall market vs. rivals, although shifts in corporate spending to cloud computing infrastructure remains a concern. Management reiterated plans to introduce a broader security platform in 2018 that provides access to third-party technology. Palo Alto, with $2.4 billion in cash, could step up acquisitions. Fortinet (FTNT), a Palo Alto rival, hosted its first analyst day in tandem with a customer conference. Fortinet announced new, cloud-friendly software.Salesforce.com (CRM) delivered Q4 earnings, revenue, and bookings growth that analysts said puts it on a fast track toward the software giant's goal of  a $20 billion revenue run rate by 2022.  Salesforce.com noted an increase in large, multiproduct deals in industries such as financial services, health care and industrial. Management said it's prioritizing growth over profits in the near term, and guided to flat free-cash-flow margin. But for the April quarter, Salesforce forecast EPS of 43-44 cents on revenue of $2.93 billion vs. consensus of 37 cents on sales of $2.91 billion.U.S. auto sales weakened further in February. General Motors (GM) and Ford (F) reported 6.9% drops year over year, worse than feared. Fiat Chrysler (FCAU) sales slid 1.4%, beating views. But Toyota (TM) grew sales nearly 5%. Automakers held back on incentive spending and cut car production, experts said. Auto stocks fell, in large part on Trump's vow to impose steel-and-aluminum tariffs, which would hike automakers' costs.Splunk (SPLK) reported Q4 revenue jumped 37% to $419.7 million, beating the consensus of $391 million, with earnings edging views as the big data analytics software company's security business picked up momentum. Billings came in 12% ahead of consensus and grew 44% year-over-year. Splunk raised fiscal 2019 revenue guidance by 5% to $1.625 billion. Splunk earlier in the week acquired security firm Phantom for $350 million. Splunk jumped 9.3% Friday.Samsung introduced its Galaxy S9 smartphones and took aim at the Apple (AAPL) iPhone X handset. The Galaxy S9 and S9 Plus are priced significantly below the iPhone X and feature displays and cameras that Samsung believes are superior to those on its main rival flagship phone. Apple is expected to introduce three handsets in September: OLED models with 5.8- and 6.5-inch displays and an LCD model with a 6.1-inch screen. Wall Street firm Canaccord Genuity estimates that Apple raked in 87% of the smartphone industry's profit in the fourth quarter, despite selling about 18% of total units. Samsung sold slightly more units, but accounted for only 10% of industry profits. Meanwhile, overall smartphone sales dipped in 2017.Walmart (WMT), Dick's Sporting Goods (DKS) and Kroger (KR)-owned Fred Meyers said they won't sell firearms to people under the age of 21. Dick's Sporting Goods said its would stop selling assault-style rifles and high-capacity magazines in the wake of the Parkland shooting on Feb. 14. Walmart stopped selling high-powered rifles in 2015. Delta Air Lines (DAL), Hertz (HTZ) and insurer MetLife (MET) cut ties with the National Rifle Association amid a backlash for offering members discounts but FedEx (FDX) said it will continue to honor its discount.Comcast (CMCSA) is expected to make a $31 billion cash bid for U.K.-based Sky within weeks. Walt Disney (DIS) and 21st Century Fox (FOXA), which owns 39% of Sky, are expected to raise their offer for all of the satellite TV broadcaster. Disney in December agreed to buy Fox's Sky stake, film studio and other assets. Shares in Comcast, Disney and Rupert Murdoch's Fox fell on bidding war fears. Some analysts questioned Comcast's interest in a satellite TV firm, given falling subscribers at AT&T (T)-owned DirecTV and Dish Network (DISH). If Comcast buys a controlling stake in Sky, analysts say buying a wireless firm such as T-Mobile US (TMUS) would be less likely near-term.Square (SQ) topped adjusted Q4 earnings views and forecast full-year 2018 profit in line with expectations as it invests in new products and expands overseas. Square in November began testing a Bitcoin exchange so that Square Cash app users could buy and sell the cryptocurrency. Square said Bitcoin had an ""immaterial"" impact on Q4 results, but noted that it's holding a ""small amount"" of the cryptocurrency on its balance sheet to help future transactions using its Square Cash app. Square shares rose modestly, just below a buy point.Workday (WDAY) reported Q4 adjusted profit and revenue that topped views. Workday has expanded from human capital management products into financial software. Workday announced that it had closed two Fortune 500 financials deals in the fourth quarter.Macy's (M) reported a surprise fourth-quarter same-store sales increase and gave a bullish outlook, citing strong consumer spending and a ""disciplined"" approach to discounts. Kohl's (KSS) beat on earnings and sales and guided up on full-year profit. But, as a test, Kohl's plans to lease space in five to 10 stores to German discount grocer Aldi. Nordstrom's same-store sales and revenue topped estimates, a week after Reuters reported that the Nordstrom family group was putting the finishing touches on an offer to go private. But earnings missed. J.C. Penney (JCP) topped earnings views, but missed on sales and same-store sales. Macy's and Nordstrom rallied on earnings; Kohl's and J.C. Penney fell.The SEC launched a wide-ranging probe into initial coin offerings, issuing subpoenas to Overstock.com (OSTK) and scores of technology companies and advisors in the digital currency market. The SEC is seeking information on ICO sales and presales. Shares of Overstock.com and Kodak (KODK), which plans to issue a KodakCoin, fell. Meanwhile specialty payments provider Fleetcor (FLT) has announced it will test the use of cryptocurrency Ripple as a tool to help business clients make international payments to suppliers and employees. Bitcoin reclaimed the $11,000 level.Better-than-expected earnings was not enough to stop LGI Homes (LGIH) and Toll Bros. (TOL) from selling off Tuesday. LGI Homes, which focuses on entry-level homes, reported a 42% EPS gain as revenue swelled 71% to $405 billion. Affordable-luxury homebuilder Toll Bros.' EPS was up 50% as revenue jumped 28% to $1.175 billion. Builder stocks have been under pressure amid concerns over rising material costs and potential interest rate increases.Lowe's (LOW) tumbled after the home improvement chain missed on earnings and gave weak full-year profit guidance. Floor & Decor (FND), an IBD 50 flooring retailer, which came public in April 2017,  saw adjusted earnings per share swell 73% to 19 cents, while sales increased 40% to $389.5 million. Same-store sales were also up by 24.4%. But its shares still retreated.Boeing (BA) and the Trump administration have reached a $3.9 billion, fixed-price informal deal for two Air Force One planes. Air Force wanted a fixed-price contract that would make Boeing responsible for any extra costs. President Trump had threatened, tweeting in late 2016 that ""costs are out of control."" Meanwhile, Boeing will take a 51% stake in a joint venture with Brazil's Embraer (ERJ), according to Brazilian media.Crude oil futures fell 3.6% to $61.25 a barrel as more shale producers raised 2018 production forecasts. EOG Resources (EOG), RSP Permian (RSPP), Sanchez Energy (SN), Carrizo Oil & Gas (CZO) are more bullish on output with oil above $60. But EOG Resources, Sanchez and Carrizo stocks tumbled on concerns over capital spending and other costs. RSP Permian rallied.General Electric (GE) warned of potential new penalties tied to a legacy subprime mortgage lending unit, weeks after revealing two SEC probes related to contract asset accounting and an insurance reserve charge. It will lower 2016 EPS by 13 cents and 2017 EPS by 16 cents, on new accounting rules. The troubled industrial giant is promising more transparency. Warren Buffett, CEO of Berkshire Hathaway (BRKB), said he was ""staggered"" by GE's financial lapses but would buy GE businesses if the price was right.Sociedad Quimica y Minera de Chile (SQM), Albemarle (ALB) and other lithium miners tumbled on a Morgan Stanley report that surging output could cause prices to crater almost in half by 2021. Tesla (TSLA) and other automakers are big buyers of lithium for electric car batteries. Albemarle topped fourth-quarter earnings and revenue estimates later in the week, while SQM met EPS views while beating on sales.Microchip Technology (MCHP) will acquire Microsemi (MSCC) for $68.71 a share, with an enterprise value of $10.15 billion.Weight Watchers International (WTW) beat Q4 estimates. EPS vaulted 95% to 37 cents as revenue grew 17% to $313 million. The Oprah-backed weight-loss company offered a strong outlook, with its 2018 EPS guidance of $2.40-$2.70 topping analyst views.Booking Holdings (BKNG), formerly Priceline, jumped 7% after the online travel company reported fourth quarter results that beat on the top and bottom line, as did its outlook.Amazon (AMZN) reportedly will pay over $1.2 billion to buy Ring, maker of a smart doorbell that streams audio and visual to phones. Amazon is building on its smart-home product footprint in a race to be the market and mind share leader.JD.com (JD) missed on fourth-quarter earnings, with marketing costs soaring as the Chinese online sales giant competes with Alibaba (BABA). JD shares tumbled 5.2% Friday.Spectrum Brands Holdings (SPB), maker of Kwikset door locks and George Foreman grills, is merging with its top shareholder HRG Group (HRG). The deal is valued at $10 billion. HRG will wind down.Shares of Etsy (ETSY) soared, following a strong fourth-quarter earnings report that convinced skeptics the arts and crafts online retailer's new initiatives to expand sales are working.China-based Baidu (BIDU) plans a U.S. IPO for its Netflix (NFLX)-like video streaming service, iQiyi, aiming to raise $1.5 billion.Consumer electronics retailer Best Buy (BBY) reported better-than-expected holiday-quarter results and raised its targets for the current year, sending its shares higher. Its appliance sales rose 21% year over year as it took advantage of problems at Sears.Chipmaker Analog Devices (ADI) topped Wall Street's sales and earnings estimates for its fiscal first quarter and guided above views for the current quarter. But its shares sold off on concerns about rising inventories.Disappointing Q1 guidance sent shares of children's apparel retailer Carter's (CRI) plunging below their 50-day line, even though holiday-season EPS topped views and full-year outlook compared well to consensus.Off-price giant TJX (TJX), parent of T.J. Maxx and Marshalls, hiked its dividend by 25% to 39 cents and plans for $2.5 billion to $3 billion in share buybacks. The company reported a solid Q4 beat.Monster Beverage (MNST) missed fourth-quarter earnings and sales estimates, sending shares lower.Brazilian iron ore producer Vale (VALE) reported fourth-quarter earnings of 36 cents a share, topping estimates by 13 cents. Full-year earnings and sales showed healthy gains, but quarterly results trailed the year-ago period as the rebound in iron ore prices lost momentum, at least temporarily.
"
6,MNST,"The Relative Strength (RS) Rating for Monster Beverage (MNST) entered a new percentile Wednesday, with a rise from 80 to 83. X This unique rating identifies technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price performance over the last 52 weeks matches up against that of all other stocks. Decades of market research shows that the best stocks typically have an RS Rating of at least 80 as they begin their biggest climbs.Looking For Winning Stocks? Try This Simple RoutineMonster Beverage is in a buy zone after breaking past a 57.35 entry in a flat base. The proper buying range extends to 5% above the initial entry. Once a stock moves above that range, it's best to hold off investing and wait for it to set up another buying opportunity. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 18%, compared to 15% in the prior report. Revenue increased from 9% to 10%. The company holds the No. 1 rank among its peers in the Beverages-Non-Alcoholic industry group. Coca Cola Bottling (COKE) and National Beverage (FIZZ) are also among the group's highest-rated stocks.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,MNST,"The Relative Strength (RS) Rating for Cott (COT) climbed into a new percentile Thursday, with a rise from 80 to 84. X This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price movement over the trailing 52 weeks stacks up against all the other stocks in our database. Decades of market research reveals that the stocks that go on to make the biggest gains tend to have an 80 or higher RS Rating as they launch their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereCott is working on a flat base with a 17.87 buy point. See if it can clear the breakout price in heavy trading. Earnings growth increased last quarter from 0% to 50%. But revenue gains fell from 79% to 22%. The company earns the No. 3 rank among its peers in the Beverages-Non-Alcoholic industry group. Monster Beverage (MNST) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,MNST,"Monster Beverage (MNST) is in a potential buying area with its next earnings report scheduled for Nov. 8. It's trading about 1% above a 57.35 buy point from a first-stage flat base.X Understand that buying a stock just ahead of earnings involves risk since you typically don't have enough time to build a profit cushion before the latest quarterly numbers come out. Be sure to follow sound buy and sell rules to minimize your exposure.See How IBD Helps You Make More Money In StocksMonster Beverage saw both earnings and sales growth rise last quarter. Earnings-per-share increased from 15% to 18%. Revenue rose from 9% to 10%. Analysts expect earnings growth of 21% for the quarter, and 17% growth for the full year. Annual growth estimates were recently revised lower.Monster Beverage has a 91 Composite Rating and earns the No. 1 rank among its peers in the Beverages-Non-Alcoholic industry group. Coca Cola Bottling (COKE) and National Beverage (FIZZ) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. RELATED:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
9,MNST,"On Tuesday, Monster Beverage (MNST) earned an upgrade to its Relative Strength (RS) Rating, from 78 to 81. X IBD's proprietary RS Rating identifies technical performance by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners typically have an RS Rating north of 80 as they begin their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HereMonster Beverage is trying to complete a flat base with a 57.35 buy point. See if the stock can break out in heavy trading. Earnings grew 18% last quarter, up from 15% in the prior report. Revenue also increased, from 9% to 10%. The next quarterly results are expected on or around Nov. 3.The company holds the No. 1 rank among its peers in the Beverages-Non-Alcoholic industry group. Coca Cola Bottling (COKE) and National Beverage (FIZZ) are also among the group's highest-rated stocks.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
