,ticker,content
0,MSI,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. Motorola Solutions (MSI) cleared that benchmark Wednesday, with a jump from 78 to 81 Wednesday. X When you're researching the best stocks to buy and watch, keep a close on eye on relative price strength.This exclusive rating from Investor's Business Daily tracks price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the last 52 weeks compares to all the other stocks in our database. History reveals that the top-performing stocks typically have an RS Rating north of 80 in the early stages of their moves.Looking For The Best Stocks To Buy And Watch? Start HereMotorola Solutions is still inside a buy range after climbing above a 112.01 buy point in a flat base. Once a stock moves 5% or higher beyond the initial entry, it's considered out of a proper buy zone. Top and bottom line growth moved higher last quarter. Earnings were up 55%, compared to 3% in the prior report. Revenue increased from 4% to 15%. Motorola Solutions holds the No. 2 rank among its peers in the Telecom-Consumer Products industry group. Apple (AAPL) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,MSI,"Taser maker Axon Enterprise (AAXN) saw its stock soared more than 20% Wednesday after the firm reported stunning results that crushed expectations.XThe firm, which also makes Axon body cameras, reported a 243% EPS increase to 24 cents, while Wall Street had expected a first-quarter loss of 4 cents a share, according to Zacks Investment Research. Revenue increased 16% to $101 million, above views for $92 million.Software and sensors revenue, which includes Axon body cameras, jumped 75% to $37.7 million, and Axon Cloud revenue shot up 72% to $20.2 million. Taser weapons revenue  increased 10% to $63.5 million.The company also booked $98 million in software and sensors orders as more law enforcement agencies adopt body cameras in response to police shootings.The surprise earnings come hot on the heels of the company's announcement that it is acquiring its biggest bodycam rival VIEVU for $4.6 million in cash and $2.5 million in stock. The subsidiary of Safariland Group adds five new major city customers for Axon.Axon shares were up 22% to 54.62 on the stock market today, well extended from a shallow 39-week cup-with-handle base, MarketSmith analysis shows. It had an entry of 28.06, and broke out in low volume on Feb. 15. The stock finally followed through with a big move in high volume on Feb. 28, following Q4 results.Among other makers of body cameras, Motorola Solutions (MSI) fell 1.9%, GoPro (GPRO) rallied 0.35%, and Digital Ally (DGLY) was down 2%.In addition, the company raised its full-year revenue growth guidance to 18%-20%, up from a prior view of 16%-18%, and above consensus views for a 17% gain.""Our strategic growth areas are TASER weapons, Sensors hardware including on-officer body cameras and Axon Fleet in-car video systems, our Evidence.com connected software network and Axon Records and Computer Aided Dispatch software,"" CEO Rick Smith said in a press release. ""On the bottom line, we are right-sizing our investments to match the opportunity set and continuing to work toward delivering break-even operating margins in our Software & Sensors segment by the end of 2020.""Acquiring VIEVU is positive for Axon, as VIEVU managed to beat the market leader for a number of large contracts, including tie-ups with the New York Police Department, the Miami-Dade Police Department, and the Phoenix Police Department.YOU MAY ALSO BE INTERESTED IN:This Stun Gun Maker Is Cashing In On The Police Bodycam BoomWorth Surveilling: This Police Bodycam Maker's Stock Is SoaringStill Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain StockBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsHow To Make Money In Stocks Using The CAN SLIM Investing System
"
2,MSI,"The Relative Strength (RS) Rating for Motorola Solutions (MSI) climbed into a higher percentile Monday, as it got a lift from 65 to 79. X This exclusive rating from Investor's Business Daily measures share price movement with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the last 52 weeks stacks up against all the other stocks in our database. Decades of market research shows that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 in the early stages of their moves. See if Motorola Solutions can continue to rebound and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineMotorola Solutions has risen more than 5% past a 93.85 entry in a first-stage cup without handle, meaning it's now out of a proper buy range. Look for the stock to create a new chance to get in like a three-weeks tight or pullback to the 50-day or 10-week line. Motorola Solutions posted 3% EPS growth in the latest quarterly report, while sales growth came in at 4%. Motorola Solutions earns the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Apple (AAPL) and Tessco Technologies (TESS) are also among the group's highest-rated stocks.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,MSI,"Investors hopped back into stocks today even after a U.S. government official told Bloomberg there's a 99% chance that the U.S. on Friday will start imposing tariffs on billions of dollars' worth of Chinese products. Apple helped the Nasdaq pace the major indexes with a nearly 1.1% gain as of 3:45 p.m. ET, while the S&P 500 was not far behind, rising more than 0.8%.At 2736, the S&P 500 is up 2.3% since Jan. 1, following a 19.4% lift in 2017.The Nasdaq, at 7585, has advanced 9.9% year to date. In 2017, the premier index for growth companies vaulted 28.2% higher.Apple (AAPL), up 9.4% for the year, as well as chip companies spearheaded the Nasdaq's outperformance. The iPhone, iPad and digital services titan rallied nearly 0.9% and is holding up above its rising 50-day moving average, a good sign for the bulls.The megacap tech, which sports a $911 billion market cap, stands 3.6% above the 179.04 buy point in a seven-week double bottom. Apple initially broke out on May 4, thrusting nearly 4% higher in volume that jumped 61% above the 50-day average.Therefore, Apple stands within the important 5% buy zone.Also watch for a potential base on base to also possibly form.Apple sports a decent Relative Price Strength Rating of 79 on a scale of 1 to 99, according to IBD Stock Checkup. That scores trails industry compatriots Roku (ROKU), Ooma (OOMA) and Motorola Solutions (MSI) within IBD's Telecom-Consumer Products industry group.Roku went public at 14 a share on Sept. 28 last year, then rocketed out of a first-stage IPO base at 29.90 six weeks later. That breakout yielded a solid gain of 96%.Roku peaked a 58.80, then dived into its current cup-type base.While the Los Gatos, Calif., company shows formidable revenue growth (up 29% in 2017 to $513 million), Roku is not expected to go fully into the black until 2019. It's expected to lose 29 cents a share this year, then earn 5 cents a share next year.Apple, in turn, continues to forge a path of growth acceleration.The Street sees earnings climbing 31% to $2.18 a share in the June-ended fiscal third quarter. That would exceed its year-over-year increases of 11%, 18%, 24%, 16% and 30% in the prior five quarters.Apple's revenue, driven in large part by fantastic growth of digital services and brand-new product innovations such as the cellular-ready Apple Watch, is seen rising 15% to $52.3 billion.The Dow Jones industrial average lagged the other main indexes, rising 0.7%. The S&P SmallCap 600 rallied 0.8%.Top industry groups of the day not only included the chip sector. While some defensive areas of the market, such as dairy products, confectionery foods, meat and household appliances, all rose sharply, steel production, tires, solar, movie and steel alloy firms also gained 1.9% or higher.At least nine of the 30 components in the Dow industrial average have gained 1 point or more, including chipmaking giant Intel (INTC). The stock rallied nearly 2% to 50.42 in below-average trade and lies 12% below a 52-week peak of 57.60.The member of IBD's semiconductor manufacturing industry group is caught in a type of ""no man's land,"" chart-wise. As seen in a daily chart, the stock has fallen well below its 50-day moving average. That triggered a sell signal for recent new investors. However, Intel is also keeping an air cushion above the long-term 200-day moving average. That signals the stock's long-term run is not over.Please go to the charts in MarketSmith to see both the 50- and 200-day moving averages in action.For now, keep watching how the stock acts and see if it has the strength to build a new base and thus furnish a new correct buy opportunity.Second-quarter results look positive. The Street sees Intel's earnings galloping 32% higher to 95 cents a share on a 13% increase in sales to $16.69 billion. In the first quarter, Intel grew EPS 32% and the top line 9%.Datacenter revenue has become an ever more important part of the business pie for Intel.ASML (ASML), a lithography systems expert and member of the chip equipment group, has performed in a similar fashion technically. The Dutch giant, up 2.2% to 195.85, is sandwiched in between its 50- and 200-day lines. However, the stock lies just 9% below a 216.90 all-time peak.Earnings at ASML grew 74%, 115%, 34%, 46%, 39% and 38% vs. year-ago levels in the past six quarters. Analysts surveyed by Thomson Reuters see earnings up just 4% in Q2 to $1.28 a share.In other financial markets, crude oil dropped hard as Iran reportedly told President Trump to stop tweeting about energy prices. WTI near-term futures fell 1.3% to $73.16 a barrel. At that level, however, WTI is down less than 3% from its 52-week peak of $75.27.The yield on the benchmark U.S. Treasury 10-year bond(Please follow Saito-Chung on Twitter at @IBD_DChung for more analysis of growth stocks, charts, buy points, sell signals and financial markets.)RELATED:Inside Investor's Corner: When To Take Losses In A Stock At Smaller Than 8%Which Way Is The Stock Market Headed? Read This Column Each DayWhich Stocks Are Now Sector Leaders?The Market Shows A Significant Shift; When Should Investors Sell?How To Find The Next Home Depot, Microsoft, Cisco, Netflix: Follow A Simple Routine
"
4,MSI,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Apple (AAPL), which had its Relative Strength (RS) Rating upgraded from 79 to 83 Monday. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.IBD's proprietary rating identifies market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price behavior over the last 52 weeks compares to all the other stocks in our database. History reveals that the stocks that go on to make the biggest gains tend to have an RS Rating of above 80 in the early stages of their moves.See How IBD Helps You Make More Money In StocksApple is remains within a buy zone after moving past a 179.04 entry in a double bottom. Once a stock moves 5% or higher beyond the initial entry, it's considered out of buy range. The stock's relative strength line is in new high ground, which is a bullish indicator of market leadership. Top and bottom line growth moved higher last quarter. Earnings were up 30%, compared to 16% in the prior report. Revenue increased from 13% to 16%. Apple holds the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Motorola Solutions (MSI) and Ooma (OOMA) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Apple (AAPL) Stock Quotes, Company News And Chart AnalysisDow Jones Industrial Average And Dow Stocks: News And AnalysisIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,MSI,"The Relative Strength (RS) Rating for Apple (AAPL) headed into a higher percentile Wednesday, as it got a lift from 70 to 74. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the trailing 52 weeks stacks up against all the other stocks in our database. Decades of market research reveals that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 as they launch their largest runs. See if Apple can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereApple is trying to complete a flat base with a 183.60 entry. See if it can break out in volume at least 40% higher than normal. Earnings grew 30% last quarter, up from 16% in the prior report. Revenue also increased, from 13% to 16%. The company earns the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Motorola Solutions (MSI) and Tessco Technologies (TESS) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Apple (AAPL) Stock Quotes, Company News And Chart AnalysisDow Jones Industrial Average And Dow Stocks: News And AnalysisWhich Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,MSI,"The Relative Strength (RS) Rating for Apple (AAPL) headed into a new percentile Tuesday, as it got a lift from 68 to 76. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the trailing 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners tend to have an 80 or better RS Rating as they launch their largest climbs. See if Apple can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereWhile the stock is not near an ideal buy zone right now, see if it goes on to form and break out of a proper consolidation.While EPS growth declined in the company's most recent quarterly report from 24% to 16%, revenue rose 13%, up from 12% in the prior report. The company holds the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Motorola Solutions (MSI) and Tessco Technologies (TESS) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Apple (AAPL) Stock Quotes, Company News And Chart AnalysisDow Jones Industrial Average And Dow Stocks: News And AnalysisStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,MSI,"The Relative Strength (RS) Rating for Apple (AAPL) moved into a new percentile Friday, as it got a lift from 68 to 71. X When you're researching the best stocks to buy and watch, keep a close on eye on relative price strength.This proprietary rating identifies market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. History shows that the best stocks tend to have an 80 or higher RS Rating as they begin their biggest price moves. See if Apple can continue to rebound and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineWhile the stock is not near an ideal entry right now, see if it is able to form and break out of a proper consolidation.Earnings growth declined last quarter from 24% to 16%. But sales moved higher, from 12% to 13%. Apple earns the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Motorola Solutions (MSI) and Tessco Technologies (TESS) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Apple (AAPL) Stock Quotes, Company News And Chart AnalysisDow Jones Industrial Average And Dow Stocks: News And AnalysisStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,MSI,"Over the last three months, the top-performing mutual funds have been heavily buying shares in big-name industry leaders, including Bank of America (BAC), Intel (INTC), Boeing (BA), Abbott Laboratories (ABT) and Charles Schwab (SCHW), investing well over $1 billion in each during that period.X BofA led the group, with top fund managers scooping up more than $2 billion of the financial giant's shares. Boosted by that demand, the stock is now around 25% above the 25.45 buy point it cleared in September.Semiconductor equipment maker Applied Materials (AMAT) and software and analytics leader Adobe (ADBE) both came in just shy of the $1 billion mark, getting investments of approximately $982 million and $932 million, respectively.The IBD 50 screen identifies the top growth stocks that are strongly displaying the key traits typically shared by the biggest stock market winners.Seven of the names on this month's list of new buys by top funds are also currently on the IBD 50, including Applied Materials, Adobe, Abiomed (ABMD), Lam Research (LRCX) and S&P Global (SPGI).Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn addition to BofA, seven other bank stocks made the list, joined by six financial sector companies, including Charles Schwab, which was named one of the best online stock brokers for 2018.Leading portfolio managers also continued to pick up shares in semiconductor stocks, including the aforementioned Intel, Applied Materials and Lam Research, as well as Microsemi (MSCC) and KLA Tencor (KLAC).Portfolio managers also showed a healthy interest in medical stocks, with five companies from that sector joining Abiomed and Abbot Laboratories on the list, including Express Scripts (ESRX) and Cantel Medical (CMD).Just because mutual fund managers have been buying a stock doesn't mean it's time for individual investors to pick up shares, especially given that the overall market has come under selling pressure recently. Be sure to run all your stock ideas through a buying checklist and do additional research before making any investment decisions.On Tuesday, Applied Materials cleared a 58.83 buy point in a later-stage, and therefore riskier, double bottom. Its relative strength line has been trending sharply higher and is just shy of new high ground.Lam Research is also working on a late-stage double bottom, and has now climbed within 5% of the 218.58 entry.Scanning and tracking solutions leader Zebra Technologies (ZBRA) leapt past a buy point in January, but pulled back as the stock market fell sharply in early February. But on Feb. 22, Zebra soared on its Q4 earnings report and is now 27% above the initial 112.49 entry.Adobe also launched a successful breakout in January and has now climbed 14% above the 186.37 buy point.IBD 50 member SVB Financial (SIVB), which owns Silicon Valley Bank and was just featured in the IBD Stock Analysis, broke out past a 263.19 entry on Tuesday, but is now testing support at the buy point after the resignation of Donald Trump's top economic advisor Gary Cohn rattled the market.Despite being among the top new buys this month, Boeing topped the list of stocks being sold, with 42 net sellers (123 funds selling minus 81 buying).American Express (AXP) was second, with 40 net sellers (90 funds selling minus 50 buying).Managed care provider Humana (HUM) and Motorola Solutions (MSI) also saw a significant number of net sellers.You May Also Like:What Are Today's Fastest-Growing Companies?Find And Track The Best Mutual FundsVideo: How To Quickly Find Top-Performing Mutual Funds 
"
9,MSI,"On Monday, Apple (AAPL) earned a positive adjustment to its Relative Strength (RS) Rating, from 68 to 71. X This unique rating measures market leadership by showing how a stock's price movement over the last 52 weeks compares to that of the other stocks in our database. History reveals that the best stocks typically have an 80 or higher RS Rating in the early stages of their moves. See if Apple can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksWhile the stock is not near a proper buy point right now, see if it goes on to form and break out from a proper base.While earnings-per-share growth decreased in the prior quarter from 24% to 16%, revenue rose 13%, up from 12% in the previous report. The company holds the No. 1 rank among its peers in the Telecom-Consumer Products industry group. Motorola Solutions (MSI) and Tessco Technologies (TESS) are also among the group's highest-rated stocks.RELATED:Apple (AAPL) Stock Quotes, Company News And Chart AnalysisDow Jones Industrial Average And Dow Stocks: News And AnalysisIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
