,ticker,content
0,MYL,"Mylan (MYL) saw a positive improvement to its Relative Strength (RS) Rating on Monday, rising from 69 to 73. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.This unique rating tracks market leadership by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. History shows that the market's biggest winners tend to have an RS Rating of at least 80 in the early stages of their moves. See if Mylan can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksMylan is working on a consolidation with a 47.92 buy point. See if the stock can break out in heavy volume. Although earnings and sales growth came in at -9% and -1%, respectively, in the latest report, that marked acceleration for both the top and bottom lines. Mylan earns the No. 2 rank among its peers in the Medical-Generic Drugs industry group. ANI Pharmaceuticals (ANIP) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,MYL,"Mylan (MYL) shares plunged late Wednesday after the Food and Drug Administration identified ""minor deficiencies"" in its application for an Advair generic, a copy of GlaxoSmithKline's (GSK) blockbuster asthma inhaler.The generic drugmaker now expects the FDA to issue a formal complete response letter, which would delay approval for the Advair generic. Mylan said it would determine after it received the letter if there will be an impact on its 2018 outlook.In after-hours trading on the stock market today, Mylan toppled 4.1%, near 40. The stock ended the regular trading session down 0.5%, at 41.67. Glaxo stock jumped 1.6%, near 41.80, after wrapping the regular session down 0.2%. Generic pharmaceutical stocks rose 0.5% at the closing bell.Advair and Seretide — the drug's name outside North America — brought in about $4.19 billion in sales in 2017.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseRELATED LINKS:Chart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityHow To Tame A Volatile Swing Trade With A Half PositionLooking For The Best Stocks To Buy And Watch? Start Here
"
2,MYL,"In a welcome move, Mylan (MYL) saw its Relative Strength Rating improve from 70 to 74 on Tuesday. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.This proprietary rating identifies market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks matched up against all other stocks. Decades of market research shows that the best-performing stocks tend to have an RS Rating north of 80 in the early stages of their moves. See if Mylan can continue to show renewed price strength and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereMylan is building a consolidation with a 47.92 entry. See if the stock can clear the breakout price in heavy trading. Although earnings and sales growth came in at -9% and -1%, respectively, in the latest report, that marked acceleration for both earnings-per-share and sales. The company earns the No. 3 rank among its peers in the Medical-Generic Drugs industry group. ANI Pharmaceuticals (ANIP) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,MYL,"Valeant Pharmaceuticals (VRX) surged to a four-month high Tuesday as an analyst acknowledged ""the turnaround,"" upgraded the stock and boosted her price target on the pharmaceutical company.On the stock market today, Valeant popped 3.6% to close at 21.56. Valeant stock is forming a cup with a buy point at 24.53. Broadly, shares of pharmaceutical companies rose 0.1%.Mizuho analyst Irina Koffler upgraded Valeant to a buy rating from neutral and raised her price target to 27 from 15. She noted, ""we acknowledge the turnaround.""""After a drug-by-drug review, we conclude that Valeant is growing its key brands and has stabilized losses from older products,"" she said in a report to clients. ""There is even potential pipeline upside.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseToday, Valeant's profile looks more Mylan's (MYL), Koffler said. About 70% of its sales consist of stable products that are either consumer-focused or are older drugs that have already gone generic.Further, ""there is actual growth potential from its pipeline, which contains multiple catalysts in 2018-20,"" she said. ""For this stock to work in the next year, we think Valeant simply needs to execute on its quarters and push through new product launches.""So far that's happening. In the first-quarter, Valeant stock jumped after the pharmaceutical company topped sales views and raised 2018 guidance. The firm will soon change its name to Bausch Health Companies, after its Bausch and Lomb segment.Valeant pledged to double its dermatology revenue over the next five years. Koffler doubts that promise will come to fruition. But she does see $1 billion in sales from Valeant's ""significant seven"" drugs as possible.Among the ""significant seven,"" Valeant lists psoriasis treatments called Siliq, Jemdel and Duobrii. It also has treatments for glaucoma, eye redness and opioid-related constipation.The firm expects sales to grow at a 4% to 6% compound annual growth rate from 2018 to 2021, and for adjusted earnings before interest, taxes, depreciation and amortization to grow 5% to 8%. Koffler sees the guidance as challenging.But other pharmaceutical companies have set similarly high, ""seemingly unattainable,"" growth targets, she said. Plus, there's minimal clinical downside for Valeant as ""there are minimal pipeline expectations, so if anything works, it is upside to the stock.""Upcoming, the Food and Drug Administration will consider approvals of three drugs — two psoriasis treatments and a drug to treat acne. It's also possible Valeant could unveil data from studies of medicines to treat acne.RELATED:Chart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityHow To Trade Stocks: Why Most Penny Stocks Fail To Make Investors RichStill The No. 1 Rule For Stock Investors: Always Cut Your Losses Short
"
4,MYL,"Investors didn't cut Mylan (MYL) any slack Thursday after the company announced that U.S. regulators will likely delay its generic version of blockbuster asthma inhaler Advair.On the stock market today, Mylan tumbled 5.2% to close at 39.51. Meanwhile, shares of generic pharmaceutical companies dipped 0.8%. GlaxoSmithKline (GSK), which developed asthma inhaler Advair, advanced 1.9% to 41.94.The Food and Drug Administration found ""minor deficiencies"" in Mylan's application for its generic Advair. It will likely issue a complete response letter, rejecting the application. The news isn't entirely surprising, Mizuho analyst Irina Koffler said.Koffler argued that the announcement is a ""cosmetic setback"" after Mylan gained approval for a biosimilar of Amgen's (AMGN) Neulasta. The drug is a bone marrow stimulant that generated north of $4.5 billion in 2017 sales.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""If your corporate strategy is trailblazing complex generics and high-value biosimilars, it's only natural to have a more difficult pathway,"" she said in a report. ""We say cut them some slack.""Koffler kept her buy rating and 51 price target on Mylan, and still models $71.5 million in 2018 sales of generic Advair. In 2020, she sees generic Advair sales hitting a peak at $365.3 million. Mylan kept its outlook for 2018 total sales of $11.75 billion to $13.25 billion.Mylan's application for generic Advair received a priority designation from the FDA. That means it could grab approval prior to the standard 90-day time period after Mylan responds to the minor deficiencies.""Though we don't currently know how long it will take the company to gather the information to compile the response, and what it will entail, we believe that risk associated with a lengthy delay is modest at this point,"" Koffler said.Glaxo's full-year guidance assumes that a competitor will bring generic Advair to market in mid-2018. In that scenario, it models about $998 million in U.S. sales of Advair for the year. Adjusted earnings per share is expected to be flat to down 3% on a constant-currency basis.Advair brought in about $4.17 billion in global sales in 2017. Of that, about $2.14 billion came from the U.S.RELATED:Chart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityHow To Tame A Volatile Swing Trade With A Half PositionLooking For The Next Nvidia? Start With This Simple Routine
"
5,MYL,"Stocks opened narrowly higher, then turned mixed Tuesday, as the major indexes struggled to extend their early June rally. Mylan (MYL), Twitter (TWTR), Apple (AAPL) and G-III Apparel Group (GIII) all posted significant early moves. But a downswing in global oil prices dragged on early action, despite economic data showing a sharp upturn in services sector activity.The Dow Jones industrial average quickly shed its opening gain and slipped into a slight decline. The S&P 500 wrestled at the breakeven point. The Nasdaq Comsposite added 0.2%, as Mylan and Discover Communications (DISCA) posted its strongest early moves.The Nasdaq, S&P 500 and the Dow are all jockeying to add a third day to the rally begun June 1. The Nasdaq pegged a new closing high Monday, after Friday's move above the 7,500 level. The benchmark opens Tuesday less than 0.5% below its March 13 record high.The S&P 500 on Monday moved above some short-term resistance near 2,742. It is 2% below its interim high set March 13, but still 4.5% below its January peak. The Dow is set to take another run at the 25,000 level, which it briefly cleared in late May. It remains 1.1% below that May 21 high mark, and 6.8% below its late-January record.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBrent crude led an early slip in oil prices, down 1.6% to just above $74 per barrel. The U.S. government requested an increase of 1 million barrels per day in oil supply from Saudi Arabia and ""some other OPEC producers,"" according to Bloomberg. The request followed a Twitter message from President Trump regarding OPEC policy and rising oil prices.Oil prices rose following the reinstatement of U.S. economic sanctions against Iran in May. Additional upward pressure has come from dwindling production out of Venezuela. But the price increases reversed as the Organization of the Petroleum Exporting Countries began discussing an end to its two-year production cap agreement with Russia.U.S. benchmark West Texas Intermediate traded down 0.5% early Tuesday, well below $65 a barrel. WTI prices have fallen in eight of the past nine sessions, and were 11% off their May 22 high.Apple set the early pace among Dow stocks, up 0.7% as the company basked in attention from its annual Worldwide Developers Conference. The stock pegged a new high on Monday, as the company unveiled, among other things, its next-generation mobile operating system. Shares are up 19% from a late-April low.Over the past 10 years, Apple stock has risen on average 4.1% in the one month leading up to WWDC. In the month after WWDC, Apple stock has fallen an average 1.9% in the last 10 years.Mylan easily led the S&P 500, up 6.3%. The company announced late Monday the Food and Drug Administration had approved Fulphila, a biosimilar to Amgen's (AMGN) Neulasta. The drug treats chemotherapy patients suffering from reduced white blood cell counts.Mylan shares have been declining since January. Amgen shares fell nearly 2% in Tuesday's early trade.Twitter popped 4.3% in early action. Standard & Poor's announced late Monday the stock would replace Monsanto (MON) on the S&P 500 list at the start of trade on Thursday. Netflix (NFLX) will replace Monsanto on the S&P 100 list. Germany's Bayer (BAYRY) agreed on May 29 to pay $64 billion to acquire St. Louis-based Monsanto.Twitter shares are extended, up nearly 16% since clearing a cup-with-handle base in late May.Health Equity (HQY) opened flat after reporting better-than-expected earnings and revenue late Monday. The custodian of health savings accounts ended Monday's session up 11% since breaking out from a flat base on May 4.G-III Apparel, manufacturer of Levi's, Guess and Kenneth Cole brands, spiked 10% in early action. The New York-based company scored a big first-quarter sales and earnings beat, and lifted second-quarter guidance above views. The stock is extended beyond buy range after clearing a cup base on May 30.HD Supply Holdings (HDS) advanced 4.4% after first-quarter earnings growth outpaced analyst expectations and revenue fell less than forecast. The move lifted shares above buy range, past a 40.62 buy point in a saucer base.Data from researcher Markit showed a sharp upturn in services sector activity in May, lifting the IHS Markit U.S. Services PMI to 56.8 for the month.  That was up from 54.6 in April, the index's largest increase since April 2015. Backlogs increased at their highest rate in more than three years. That prompted the strongest job creation since September 2015. Input cost and selling price inflation also continued however, as capacity issues intensified and raw material procurement became more difficult.the Institute of Supply Management at 10 a.m. ET. Also, the Labor Department releases its April Job Openings and Labor Turnover Survey at 10 a.m. ET.YOU MIGHT ALSO LIKE:These Four IBD 50 Stocks Are In Buy Range NowThe Big Picture: Bull Market Gains TractionHot Chinese Stocks, Software Firm In Buy Range: Action PlanAmazon-Resistant Retailer Expecting 120% Growth Nears Buy Zone
"
6,MYL,"U.S. stocks opened to brisk gains Thursday, following the European Central Bank's outline to potentially wind down its decade-long stimulus program by the end of the year. Stocks received an added boost from positive unemployment and May retail sales numbers.Stock futures and overseas markets had traded lower early, as the fallout from Wednesday's Fed announcement worked its way through global markets. Drugmaker Mylan (MYL) and software giant Oracle (ORCL) dragged on early trade. But IBD Leaderboard name Etsy (ETSY) bolted sharply higher, and IPOs Huya (HUYA) and Pivotal Software (PVTL) posted strong early advances.Thee Nasdaq Composite powered ahead 0.6%, aided by premarket gains from Comcast (CMCSA) and Dish Networks (DISH). Mylan posted the largest decline among both Nasdaq 100 and S&P 500 stocks.The Dow Jones industrial average and S&P 500 each jumped 0.3%. Nike (NKE) and Walt Disney (DIS) jumped to the top of the Dow. Royal Caribbean (RCL) and Comcast topped the S&P 500.Mylan dropped 3%, falling after a regulatory filing revealed the Food and Drug Administration had rejected the application for a Mylan generic asthma drug, based on GlaxoSmithKline's (GSK) blockbuster Advair. The filing said the FDA had found ""minor deficiencies"" in the drug. Mylan shares closed Wednesday up 19% from a May low, above key levels of support and climbing the right side of a five-month consolidation.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOracle also dragged on early action, down 4.2% after JPMorgan downgraded the stock to neutral, from overweight, and pared the price target to 53, from 55. The note cited a JPMorgan survey that pointed to a sharp decrease in Oracle's product spending. Oracle shares have been consolidating since March.Meanwhile, three recent IPOs looked ready to add to their recent run-ups.Etsy spiked 23% in early trade. The Brooklyn, N.Y. company  raising its full-year revenue outlook, based on an increase in transaction fees charged to sellers using the arts and crafts marketplace. Etsy said transaction fees would rise to 5%, up from 3.5%. It also said it would charge a $10-per-month access fee, and was preparing to roll out a premium service aimed at larger, better-established vendors.Etsy shares are extended after a mid-May rebound from support at their 10-week moving average. The stock ended Wednesday 8% below its record high, set just after its IPO in April 2015.China-based Huya swung up more than 2% in early trade. The streaming online gaming and entertainment platform has a 7% gain for the week through Wednesday. It is extended after breaking out from an IPO base in May, ending Wednesday 224% above its May IPO price.Pivotal Software, a San Francisco-based developer, vaulted 6.8% in early action. The stock spiked 33% on Wednesday, as analysts ratcheted up price targets following a strong first-quarter report late Tuesday. The gain put shares 43% above an IPO base buy point of 19.72, and 88% beyond its April IPO price.Other than Etsy, early indicators were not good for retailers, with Tailored Brands (TLRD) and Michael's Companies (MIK) taking steep dives on the heels of their first-quarter reports.Tailored Brands, owner of the Jos. A. Banks chain, stripped out a 15% premarket decline. The company reported a narrow beat on its first-quarter sales and earnings lines. But the range of second-quarter earnings guidance was low, relative to consensus views. Shares closed Wednesday up 28% from an April breakout, and extended above a rebound from 10-week support.Craft retailer Michael's also dived 15%. The Irving, Texas-based chain reported earnings above expectations and revenue in line with estimates in its first quarter. But same-store-sales missed analyst targets. The stock has been struggling to recover, within a deep, five-month correction.Global markets shifted lower following Wednesday's losses in U.S. trade. The People's Central Bank of China disappointed markets there, leaving a key interest rate unchanged. China's long-standing strategy has been to track increases and decreases in U.S. rates, maintaining the spread between the two countries' rates.Hong Kong's Hang Seng Index dropped 0.9%. In Japan, Tokyo's Nikkei 225 tumbled 1%.Markets in Europe reversed early losses and surged higher in afternoon trade, after the ECB announced it will wind down its bond purchases by December. The CAC-40 in Paris led, up 0.6%. Frankfurt's DAX posted a 0.3% gain. London's FTSE 100 added 0.2%.First-time unemployment claims continued their decline, slipping to 218,000 in the week ended June 9, according to the Labor Department. That was down from the prior week's 223,000 applications, and ran counter to consensus projections for an uptick to 225,000 claims.Retail sales jumped in May, with Commerce Department data showing sales growth accelerating to 0.8%, vs. April's 0.4% gain. Forecasts called for another 4% increase. Sales also rose 0.8% minus auto and gasoline, vs. consensus projections for a 0.4% gain.U.S. benchmark oil prices leaned higher as the global mood turned positive. West Texas Intermediate moved up 0.6% to trade above $67 per barrel. Oil prices steadied above $66 a barrel this week, despite a welter of supply-related news.Oil prices gained 0.4% higher Wednesday, following official data showing a larger-than-expected 4.1 million-barrel draw on inventories for the week ended June 8. On Tuesday, the Energy Information Administration estimated average U.S. oil production in 2018 at 10.8 million barrels per day, up about 14% from the prior year. Ministers of the Organization of Petroleum Exporting Countries plan to meet, along with partners including Russia, on June 22 to discuss production strategy.YOU ALSO MIGHT LIKE:The Big Picture: Will A Hawkish Fed Cut Market Rally Short?Breakout Watch: 97 Top-Rated Funds Own This No. 1-Ranked StockThis Chinese Leader's Recent Breakout Requires Patience, DisciplineIBD Stock Of The Day Ferrari Breaks Out Into Buy ZoneThis Top Dividend Stock Breaks Out, Yields 7.8%
"
7,MYL,"Mylan (MYL) surged to a nearly eight-week high Tuesday after the Food and Drug Administration approved its knockoff of Amgen's (AMGN) bone marrow stimulant Neulasta.On the stock market today, Mylan popped 3.8% to close at 39.98. Earlier, the stock rocketed as much as 8.1% to touch a high last seen in mid-April. Meanwhile, shares of Amgen dipped 2 to 181.73. Shares are forming a buy point at 192.72 out of a cup base.This is the first Neulasta biosimilar approved, but it likely won't be the last, Leerink analyst Geoffrey Porges said in a report to clients. Coherus Biosciences (CHRS) and Novartis (NVS) are also working on biologic copies of Neulasta. Coherus shares jumped 5.6% to 16.05. Novartis was off 1.1% to 74.90.He expects the approval to challenge near 20% of Amgen's top line. After the first U.S. approval in 2017 of a biosimilar of Neupogen — the short-acting version of Neulasta — Amgen's product revenue fell by 30% annually due to volume and price erosion, he said.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""A similar erosion pattern for such an important product would unlikely be offset by the company's growth product portfolio and the new launch of (migraine drug) Aimovig, and Amgen's top-line revenue would be at risk for a potential decline,"" he said.For Amgen, U.S. Neulasta sales were $3.93 billion in 2017, representing 17% of its total revenue. Porges says Mylan's Neulasta biosimilar, a drug called Fulphila that was codeveloped with privately held Biocon, shouldn't hurt Amgen's 2018 revenue outlook for $21.9 billion to $22.8 billion.Further, Amgen could work to push its Neulasta Onpro medical device, which automatically injects the drug into a patient's body, RBC analyst Kennen MacKay said in a report. In the first quarter, about 62% of Neulasta's $1 billion in U.S. sales came from Onpro.But MacKay cut his price target on Amgen by 1 to 183, and kept his sector perform rating. He called for weakness in shares and trimmed his U.S. 2018 sales expectations for Neulasta to $3.56 billion from $3.61 billion. The Street expects $3.81 billion.Next up, Coherus' Neulasta biosimilar will go before the FDA in November. Later, Novartis and its partner Apotex will have updates. A second U.S.-approved biosimilar of Neulasta would create increased competition and potential price headwinds, MacKay said.Mizuho analyst Irina Koffler sees Mylan generating $100 million in 2018 revenue from its Neulasta biosimilar. That will climb to $554 million in 2022, its peak year, she estimated in her report to clients.""Realistically, sales may outperform our expectations as Neulasta's profiled syringe currently generates sales of about $1.4 billion per year, and Mylan is thus far the only approved biosimilar, and may therefore fill the channel ahead of competition,"" she said.Leerink's Porges noted Amgen and Mylan are fighting a patent battle. Amgen claims Mylan's Neulasta biosimilar infringes of two of its patents for methods of purifying proteins used in biological products. A trial will likely begin in mid-2019.""We view these manufacturing patents as weak protection for Amgen, and we are not surprised to see Mylan launch at risk against them,"" he said. Mylan expects to launch Fulphila within a few weeks.RELATED:How Do You Spot A Major Market Top? Easy: Look For Heavy DistributionHow To Trade Stocks: Why Most Penny Stocks Fail To Make Investors RichSell And Take Profits Or Hold? Here Are Several Guidelines To Follow
"
8,MYL,"Biotech giant Celgene (CELG) could win big after U.S. patent officials shut down a challenge facing Novartis' (NVS) multiple sclerosis drug Gilenya, analysts said Thursday.On Wednesday, an appeals board of the U.S. Patent and Trademark Office upheld a patent protecting Novartis' Gilenya until December 2027. This extends Gilenya's exclusivity well past a prior August 2019 expiration date, RBC Capital Markets analyst Brian Abrahams said.While undoubtedly a win for Novartis, the decision also has implications for fellow multiple sclerosis drugmakers Celgene and Biogen (BIIB), he said in a report. Celgene recently suffered a delay for its multiple sclerosis drug, ozanimod.This gives Celgene more time to get approval for ozanimod — which is currently hamstrung by questions from the Food and Drug Administration — before a generic Gilenya comes out and begins to take share, he said.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""For Celgene, this should provide a better ozanimod launch runway especially after their (new drug application) filing delay, and give Biogen less medium-term price/share compression risk for its MS franchise, particularly for (its drug called) Tecfidera,"" he said.On the stock market today, Celgene jumped 2.7%, to close at 85.60. Novartis advanced 3.4%, ending the session at 78.94. Biogen rose 1%, to 347.66.Generic competition in multiple sclerosis is already underway. In October, Mylan (MYL) gained approval for a generic version of Teva Pharmaceutical's (TEVA) multiple sclerosis drug, Copaxone. In the first quarter, Teva said its U.S. sales of Copaxone declined 40% year over year.The same could happen for Novartis' Gilenya if generics arrive. Despite the patent appeals board decision, generic rivals will likely appeal, Evercore analyst Umer Raffat said. Gilenya could still lose patent protection at some point in 2022-24 depending on appeals.""In summary, ozanimod will no longer be launching vs. a generic Gilenya in 2019,"" he said in a report to clients. ""This gives ozanimod at least a three-year window to launch in a branded market and establish presence in MS.""RBC's Abrahams noted Celgene could benefit to the tune of $200 million in upside depending on the length of the delay for generic Gilenya.Ozanimod is meant to be a safer version of Gilenya. Both belong to a class of drugs called sphingosine 1-phosphate receptor modulator, or S1P modulators. Gilenya is tied to heart rate and liver issues. Patients must be monitored after their first dose.""The attribute neurologists care most about in a next-generation S1P therapy is the absence of first-dose monitoring,"" Piper Jaffray analyst Christopher Raymond said. ""They also rank an advantage on liver enzyme impact pretty far down the list of comparative advantages they're looking for in an S1P vs. Gilenya.""It's not clear whether ozanimod will have a similar requirement. But Celgene management indicates ""the going assumption is that ozanimod won't avoid it,"" Raymond said in his note to clients.""As we see it, unless ozanimod can avoid first-dose monitoring, Celgene faces an uphill battle in its efforts to differentiate the molecule,"" he said.RELATED:Chart-Reading Basics: How A Buy Point Marks A Time Of Real OpportunityHow Much Volume Should You Look For In A Stock?How To Trade Stocks: Why Most Penny Stocks Fail To Make Investors Rich
"
9,MYL,"Amgen (AMGN) and Allergan (AGN) were sidelined Friday after the Food and Drug Administration delayed their Herceptin biosimilar, giving Roche (RHHBY) blockbuster breast cancer drug Herceptin some breathing room.The No. 1 biotech company didn't identify the issue with its Herceptin biosimilar.""We will work closely with the FDA to bring this important medicine to patients in the U.S.,"" Amgen said in a prepared statement. ""We do not expect this to impact our U.S. launch plan.""The duo isn't the first to get snagged in seeking U.S. approval for a Herceptin biosimilar. Mylan (MYL) and partner Biocon grabbed approval for theirs in December, but that followed a similar delay at the FDA. Pfizer's (PFE) and Teva Pharmaceutical (TEVA)/Celltrion's copies have also been delayed in the U.S.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseApprovals seem to be moving along more smoothly in Europe. A European Medicines Agency committee has recommended approving the Amgen/Allergan biosimilars and Pfizer's Herceptin biosimilars. Samsung/Biogen and Teva/Celltrion already have their copies on the market in Europe.Herceptin is a major cash cow for Roche. In 2017, it brought in $7.01 billion in sales, just behind fellow cancer drug Rituxan/MabThera, which generated $7.39 billion. Of Herceptin's sales, $2.1 billion stemmed from Europe.Roche is working feverishly to push back against competition for Herceptin. Last year, Roche sued Dow Jones component Pfizer to block it from selling its Herceptin biosimilar in the U.S. Roche's Genentech unit said Pfizer's Herceptin biosimilar would infringe on 40 of its patents.Some of its patents on Herceptin will begin expiring in 2019, Bloomberg reported.On the stock market today, Roche stock rallied 2.1% to close at 27.38, after hitting a five-year closing low on Thursday. Despite the Herceptin biosimilar setback, Amgen stock advanced 2.2% to 183.57. Shares of partner Allergan climbed 2.8% to 155.Meanwhile, shares of pharmaceutical companies lifted 1%. Biotech stocks rose 1.1%.RELATED:Intuitive Surgical Breaks Out To Record After FDA Approves New RobotIBD Stock Of The Day: Chinese Internet Giant Powers Into Buy Zone This 99 Composite Rating Stock Skyrockets On Huge Earnings Growth Chart Basics: How A Buy Point Marks A Time Of Real OpportunityHow To Invest In Stocks For Free: New Apps For BeginnersLong-Term Retirement Investing Strategies With ETFs
"
