,ticker,content
0,NI,"Assurant (AIZ) saw a positive improvement to its Relative Strength (RS) Rating on Friday, rising from 66 to 72.X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.This proprietary rating measures market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the trailing 52 weeks compares to the rest of the market.History shows that the market's biggest winners often have an RS Rating of at least 80 in the early stages of their moves. See if Assurant can continue to rebound and clear that threshold.Looking For Winning Stocks? Try This Simple RoutineAssurant is trying to complete a consolidation with a 107.09 entry. See if it can clear the breakout price in heavy trade.While the company's bottom line growth dropped in the prior quarter from 300% to 14%, sales grew 6%, up from -4% in the prior report.Assurant holds the No. 1 rank among its peers in the Insurance-Diversified industry group. American National Insurance (ANAT) and NI Holdings (NODK) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,NI,"Assurant (AIZ) had its Relative Strength (RS) Rating upgraded from 68 to 71 Tuesday -- a welcome improvement, but still short of the 80 or higher score you prefer to see.X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the trailing 52 weeks holds up against all the other stocks in our database.Decades of market research reveals that the stocks that go on to make the biggest gains often have an RS Rating of at least 80 as they launch their largest climbs. See if Assurant can continue to rebound and clear that threshold.Looking For Winning Stocks? Try This Simple RoutineAssurant is trying to complete a consolidation with a 107.09 buy point. See if it can break out in volume at least 40% above average.Earnings growth declined in the most recent report from 300% to 14%. But revenue moved higher, from -4% to 6%. Keep an eye out for the company's next round of numbers on or around Aug. 1.The company holds the No. 1 rank among its peers in the Insurance-Diversified industry group. American National Insurance (ANAT) and NI Holdings (NODK) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,NI,"Exelon (EXC) saw a welcome improvement to its Relative Strength (RS) Rating on Wednesday, with an upgrade from 70 to 75. X IBD's proprietary rating identifies share price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks compares to all the other stocks in our database. Decades of market research reveals that the best stocks often have an RS Rating north of 80 as they launch their biggest runs. See if Exelon can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksExelon is now considered extended and out of buy range after clearing a 38.88 buy point in a first-stage flat base. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. While the company's top line growth fell last quarter from 10% to -3%, EPS grew -7%, up from -17% in the previous report. The company earns the No. 11 rank among its peers in the Utility-Diversified industry group. Fortis (FTS), Avangrid (AGR) and Nisource (NI) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,NI,"In a welcome move, Exelon (EXC) saw its Relative Strength Rating rise from 70 to 73 on Monday. X This proprietary rating tracks technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the last 52 weeks compares to other publicly traded companies. History shows that the stocks that go on to make the biggest gains typically have an 80 or higher RS Rating as they launch their largest price moves. See if Exelon can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereExelon has climbed more than 5% past a 38.88 entry in a first-stage flat base, meaning it's now out of a proper buy range. Look for the stock to create a new chance to pick up shares like a three-weeks tight or pullback to the 50-day or 10-week line. While revenue growth fell last quarter from 10% to -3%, earnings-per-share grew -7%, up from -17% in the prior report. The company earns the No. 15 rank among its peers in the Utility-Diversified industry group. Vectren (VVC), Avangrid (AGR) and Nisource (NI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,NI,"On Monday, Public Service Enterprise Group (PEG) earned an upgrade to its Relative Strength (RS) Rating, from 70 to 73. X IBD's unique RS Rating tracks technical performance by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. Decades of market research reveals that the best-performing stocks typically have an RS Rating north of 80 in the early stages of their moves. See if Public Service Enterprise Group can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksNow is not an ideal time to jump in since it isn't near a proper buy zone, but see if the stock is able to form a base and break out.Public Service Enterprise Group posted negative growth for both sales and earnings last quarter. Public Service Enterprise Group holds the No. 7 rank among its peers in the Utility-Diversified industry group. Vectren (VVC), Avangrid (AGR) and Nisource (NI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,NI,"On Thursday, Nisource (NI) earned a positive adjustment to its Relative Strength (RS) Rating, from 64 to 74. X This exclusive rating from Investor's Business Daily measures share price action with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the last 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the best stocks often have an 80 or higher RS Rating in the early stages of their moves. See if Nisource can continue to rebound and clear that threshold. Nisource broke out earlier, but has fallen back below the prior 26.66 entry from a saucer with handle. If a stock you're tracking breaks past a buy point then falls 7% or more below the original entry price, it's considered a failed base. It's best to wait for the stock to form a new pattern and breakout. Also keep in mind that the most recent pattern is a later-stage base, and those involve more risk. While sales growth fell last quarter from 11% to 10%, earnings-per-share grew 25%, up from 15% in the prior report. Nisource earns the No. 2 rank among its peers in the Utility-Diversified industry group. Fortis (FTS) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,NI,"On Wednesday, Nisource (NI) got an upgrade to its Relative Strength (RS) Rating, from 67 to 73. X IBD's proprietary RS Rating measures technical performance by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. History shows that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 in the early stages of their moves. See if Nisource can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksNisource is within a buying range after moving past a 27.39 entry in a flat base. The proper buying range is up to 5% above the initial entry. Once a stock moves above that range, it's best to hold off investing and wait for it to set up another buying opportunity.. The company showed 17% EPS growth last quarter, while sales growth came in at 6%. The company earns the No. 3 rank among its peers in the Utility-Diversified industry group. Fortis (FTS) is the No. 1-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,NI,"The Relative Strength (RS) Rating for Public Service Enterprise Group (PEG) headed into a new percentile Wednesday, as it got a lift from 70 to 73. X This unique rating identifies market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price performance over the trailing 52 weeks compares to the rest of the market. Decades of market research shows that the market's biggest winners tend to have an 80 or better RS Rating in the early stages of their moves. See if Public Service Enterprise Group can continue to show renewed price strength and clear that threshold. Looking For Winning Stocks? Try This Simple RoutinePublic Service Enterprise Group has climbed more than 5% past a 47.57 entry in a first-stage flat base, meaning it's now out of a proper buy range. Look for the stock to create a new chance to get in like a three-weeks tight or pullback to the 50-day or 10-week line. The company posted negative growth for both the top and bottom lines last quarter. Public Service Enterprise Group holds the No. 13 rank among its peers in the Utility-Diversified industry group. Fortis (FTS), Avangrid (AGR) and Nisource (NI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,NI,"Vectren (VVC) saw a welcome improvement to its Relative Strength (RS) Rating on Thursday, with an upgrade from 67 to 72. X IBD's unique RS Rating measures market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the best stocks typically have an RS Rating of above 80 as they begin their biggest price moves. See if Vectren can continue to rebound and hit that benchmark. Vectren is trying to complete a cup without handle with a 62.89 buy point. See if the stock can clear the breakout price in heavy trading. While sales growth fell last quarter from 16% to 7%, EPS grew 16%, up from 6% in the prior report. Look for the next report on or around Aug. 3.The company earns the No. 7 rank among its peers in the Utility-Diversified industry group. Fortis (FTS), Nisource (NI) and Chesapeake Utilities (CPK) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
9,NI,"In a welcome move, natural gas and electricity services provider Nisource (NI) saw its Relative Strength Rating rise from 70 to 74 on Tuesday.This proprietary rating measures market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database.Over 100 years of market history shows that the market's biggest winners tend to have an 80 or better RS Rating as they launch their biggest price moves. See if Nisource can continue to rebound and hit that benchmark.Nisource is trying to complete a saucer without handle with a 27.04 buy point. After edging lower Tuesday, the stock is currently 3% below the entry.While sales growth fell last quarter from 18% to 11%, the bottom line grew 15%, up from 6% in the prior report.Nisource holds the No. 14 rank among its peers in the Utility-Diversified industry group. DTE Energy (DTE), Black Hills (BKH) and Chesapeake Utilities (CPK) are among the top 5 highly rated stocks within the group.RELATED:Energy Stocks And Industry News: Oil, Gas, Solar, CoalIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
