,ticker,content
0,NOV,"On Friday, National Oilwell Varco (NOV) got a positive adjustment to its Relative Strength (RS) Rating, from 65 to 74. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.IBD's unique RS Rating measures market leadership by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the last 52 weeks compares to other publicly traded companies. Decades of market research shows that the market's biggest winners typically have an RS Rating north of 80 as they launch their largest price moves. See if National Oilwell Varco can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksWhile the stock is not near an ideal buy zone right now, see if it manages to form and break out from a proper chart pattern.The company saw both earnings and sales growth rise last quarter. Earnings-per-share increased from 0% to 73%. Revenue rose from 11% to 16%. The next quarterly results are expected on or around Apr. 26.National Oilwell Varco earns the No. 9 rank among its peers in the Oil & Gas-Machinery/Equipment industry group. Chart Industries (GTLS), ION Geophysical (IO) and  (WHD) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,NOV,"On Thursday, National Oilwell Varco (NOV) received an upgrade to its Relative Strength (RS) Rating, from 65 to 77. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.This proprietary rating identifies market leadership by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the trailing 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the top-performing stocks tend to have an RS Rating north of 80 in the early stages of their moves. See if National Oilwell Varco can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereNational Oilwell Varco is not currently near a potential buy zone. See if the stock goes on to form a promising consolidation that could launch a new move.Earnings grew 73% last quarter, up from 0% in the prior report. Revenue also increased, from 11% to 16%. The company is expected to report its latest numbers on or around Apr. 26.The company holds the No. 6 rank among its peers in the Oil & Gas-Machinery/Equipment industry group. ION Geophysical (IO),  (WHD) and Chart Industries (GTLS) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,NOV,"National Oilwell Varco (NOV) warned on its first-quarter revenue Monday, citing ""reduced progress on new offshore rig construction.""The oil and gas equipment provider now sees Q1 revenue of $1.8 billion. Analysts polled by Zacks are expecting $1.94 billion.""Following an unusually protracted 2018 budgeting cycle, we've seen certain customers defer deliveries for existing capital equipment orders into the second quarter and delay making new order commitments until late into the first quarter,"" said CEO Clay Williams in a release.The company, which will report Q1 results Thursday after the market closes, also said there were lower shipments of subsea production equipment.National Oilwell Varco shares tumbled 7.2% to close at 37.98 on the stock market today. Among other stocks with exposure to the offshore market, Transocean (RIG) rose 1.9%, Baker Hughes (BHGE) edged up 0.8%, and Diamond Offshore Drilling (DO) rallied 1%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBut Williams was optimistic about future orders in 2018.""With oil prices continuing to trend upward, and the U.S. rig count topping one thousand, we expect demand for NOV's critical products and services to resume growth as the year progresses,"" he said.Brent fell 1.1% to $71.75 per barrel. U.S. crude was down 1.3% to $66.55, after closing Friday at the highest levels since 2014 on tighter supplies and increased Mideast tensions.Executives from Italy's Eni (E) and Chevron (CVX) were bullish on offshore drilling at the CERAWeek energy conference in Houston last month.While there is a huge focus on cheap, unconventional onshore drilling, especially in the Permian Basin, deepwater areas may be the next accessible ""super-basin"" for producers.YOU MIGHT BE INTERESTED IN: Energy Stocks And Industry News: Oil, Gas, Solar, Coal
"
3,NOV,"The new highs tally appeared on track for a second day of strong results. On Friday, combined new highs on the NYSE and Nasdaq reached 237, the highest in more than two weeks.On Monday, a similar tally looked likely.Electronics parts maker Kemet (KEM) logged a 7% thrust, rising above a 26.43 buy point. As breakouts go, small cap Kemet carried some drawbacks.First, the cup-with-handle base corrected 50%. Deep bases have a climb that can wear a stock out by the time it reaches a correct buy point. Success is more likely when a breakout comes from a base 20% to 33% deep.Second, volume in the handle was high in two of the sessions. Generally, it's best if volume is low in a handle.Third, the stock showed an ugly gap down in the left side of the pattern. The 35% drop in heavy volume Nov. 2 came despite a strong quarter. The why for the drop wasn't clear, even to management.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFour days after the Nov. 2 plunge, CEO Per Loof said: ""Although we do not typically comment on fluctuations in the company's stock price, I can confirm that we are not aware of any company business-related reasons for the recent volatility in the price of the company's stock.""Even without determining the reason for the drop, the action remains a drawback.Personal care products and cosmetics provider Helen of Troy (HELE) rocketed to a new high Monday. The stock rose 14% in huge volume.An investor could've bought shares Friday when volume kicked in after Helen cleared a 99.55 buy point.Helen reported an earnings-per-share gain of 33%, its biggest in seven quarters. Revenue rose 9%.The consolidation was 21% deep, an acceptable decline in a base.Helen's stock is on the thin side. Through Monday's trade, the stock averages about 235,000 shares daily.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:ObamaCare Just Exploded: What It MeansThe IPO Marijuana StockWhy A Failed Breakout Isn't Always A FailureIBD Stock Of The Day
"
4,NOV,"Hindsight may be 20/20, but with some studying, your stockpicking foresight can get pretty good, too.Foreseeing the move by a stock with terrific fundamentals, a No. 1 ranking in its industry, and loads of fund sponsorship, before it happens is crucial. If such a stock breaks out with force, then you're more likely to grab shares at the proper buy point.Think of the ""buy point"" as the ground floor of a potential elevator-like advance to new highs. It's not enough to just buy the right stock. You have to buy the right stock in the right way at the right time.Those who read Investor's Corner regularly have a strong command of one of the most important patterns in growth investing: the cup with handle. The pattern allows you to be consistent in your buying. You're essentially entering a stock only when it's reached the point in which it can rise fast in a relatively short time frame.Human nature hasn't changed. Greed and fear still drive the market. So the cup with handle and other useful patterns of investor behavior will continue to pop up among IBD's wide span of features and screens designed to help you find and buy great stocks at the right time.Make a habit of going through the stocks presented in IBD 50, Big Cap 20, Stock Spotlight, Sector Leaders, IPO Leaders and Stocks Near A Buy Zone. Most of these can be accessed via Stock Lists on the home page at Investors.com. (See the Income Investor columns by clicking on ""Research"" on the main navigation bar on the home page.)Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAre you completely new to chart analysis, or want to bring your skills up a notch? Check out the real-time annotations done in Leaderboard, which debuted in July 2011.A buy point is a price level at which a stock is most likely to begin a significant advance. It also points to an area of the chart that offers the least amount of resistance to price progress.Where that point is depends on the type of base the stock has formed, whether a cup with handle, a cup without handle, a flat base or double bottom.This is the critical moment. Identifying the correct buy point can make all the difference between a successful investment and a losing trade. And before you buy, always check that the Market Pulse table, updated every day in The Big Picture column, shows the current outlook as ""Market in confirmed uptrend.""Let's look first at one of the easiest buy points to spot: one from a cup without handle.In this type of base, the stock declines as much as 30% to 33% from a recent 52-week or all-time high, then starts to recover in a process that takes at least six weeks to complete. Once the ascent begins, there are no significant pullbacks, or anything that might be considered a handle.The buy point on this pattern is easy: 10 cents above the peak in the left side of the pattern.The flat base isn't much different. When the stock recovers and is 10 cents above the base's prior highest point, that's when you jump in.As the stock approaches new highs — building the right side of the cup pattern — the stock suddenly pulls back moderately in price. This pullback is up to 15% in depth but can be much less. According to IBD research, most handles in the most successful stocks show a drop of no more than 8% to 12% from the handle's highest price.Also, a good handle will form within the upper half of the base. How can you tell? Sometimes you can see it visually. Maybe the handle began forming when the stock was just a few points below the cup's left-side high.When it's difficult to tell, what should you do?Use the midpoint test. Add the highest price and lowest price within the cup, then divide by 2. Do the same with the handle.If the handle's midpoint is higher than the base's midpoint, a breakout has a better chance of succeeding. The stock has already shown strong demand by climbing off its lows, plowing past prior price levels in which some shareholders had bought and immediately harbored paper losses. As a stock rebounds, these folks eagerly sell and get rid of the stock.Use the highest level in the handle area and add 10 cents to derive the buy point.Take Seacoast Banking (SBCF) as an example from 2016. After the Donald Trump presidential election win on Nov. 8, bank stocks took off. Florida-based Seacoast joined the bandwagon with a gusher of a move from Nov. 9 to 14, rising as much as 9% during that time frame and clearing an 18.05 handle buy point on a nine-week cup pattern.The midpoint of the cup was 16.83 (15.85 + 17.80 divided by 2). The handle's midpoint of 17.38 (16.82 + 17.95 divided by 2) was higher, so it passed. As seen in Seacoast's case, sometimes, the handle may begin forming slightly above the cup's left-side high.The double-bottom base is a bit different. The stock forms a cup pattern, but makes another correction before it reaches new highs. The second bottom usually is lower than the first.The pattern has a W-shape. The buy point is the middle intraday peak of the W-shape plus 10 cents. Keep in mind that a handle may also form, presenting an alternative entry.No matter what type of base it is, the stock should pass its buy point in heavy volume. That gives you the confidence big investors are buying as well.How much volume should you expect? Trading should swell at least 40% above the stock's 50-day average volume.If you're watching a stock during the trading session and aren't sure if volume is so strong, check the stock quotes at Investors.com. The volume percentage change is continually calculated.Nursing care facility operator VistaCare went public in December 2002 and by April 2003, it had formed a cup base with a high handle (1). The highest price in the handle was 19.Within the handle, the stock fell 11.6%, in range with the typical handle on a cup base during a bull market. Meanwhile, stocks were taking off and leading growth names were bursting out of bases after the market followed through on March 17, 2003, Day 4 of a new rally attempt. On that day, the Nasdaq soared 3.9% in higher turnover; the S&P 500 gushed 3.5% higher.VistaCare broke out on April 28, 2003, in heavy volume, then held above the 19.10 buy point two weeks later during a pullback that became a bullish reversal (2).On the breakout day, VistaCare showed decent ratings  on IBD Stock Checkup despite being such a young new public company: a 72 Composite, 80 EPS, 78 RS and A- for Accumulation/Distribution.Investors who bought at the correct buy point stood to more than double their money by year's end.(A version of this column was originally published in the April 16, 2010, edition of IBD. VistaCare was acquired by Odyssey HealthCare in March 2008. Also, please follow Saito-Chung on Twitter at @IBD_DChung for additional commentary on breakouts, top growth companies, and financial markets.)RELATED:Inside IBD 50: What To Do When Your Stock Has A Frightening Accumulation/Distribution GradeHow To Trade Smart: Invest Time In The Cup-With-Handle PatternHow To Read Charts Like A Pro, Part I: Focus On Daily Chart? Weekly? No, BothHow To Read Charts Like A Pro, Part II: Check The Time A Stock Spends Below The 10-Week Moving Average
"
5,NOV,"Chinese regulators on Thursday removed the last major roadblock to chipmaker Marvell Technology Group (MRVL) acquiring Cavium (CAVM).Marvell said China's State Administration for Market Regulation has approved the merger transaction, which is now expected to close in July. Marvell announced the $6 billion deal on Nov. 20. The merger remains subject to customary closing conditions.The deal will combine Marvell's portfolio of storage drive controllers, networking systems and wireless connectivity products with Cavium's portfolio of multicore processing, networking communications, storage connectivity and security products.Marvell shares jumped 8.2% to 21.77 on the stock market today. Cavium stock surged 9.8% to 87.22.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe combination of Marvell and Cavium will create a ""formidable powerhouse in networking,"" Cowen analyst Karl Ackerman said in a report Thursday. The deal will expand Marvell's presence in data centers by giving it high-end networking products, he said.Ackerman reiterated his outperform rating on Marvell stock with a price target of 29.Meanwhile, China has yet to approve Qualcomm's (QCOM) $44 billion purchase of NXP Semiconductors (NXPI). Qualcomm announced that acquisition in October 2016. The deal has received antitrust clearance from eight of the nine required government regulatory bodies around the world, with only China's Ministry of Commerce remaining.The Qualcomm-NXP deal has been held up by trade disputes between the U.S. and China, as well as Chinese concerns that the merger could harm domestic companies.The semiconductor sector has been performing poorly this month. The Philadelphia Semiconductor Index, known as SOX, tumbled below its 200-day moving average on Wednesday. Except for a few days two months ago, the chip index hasn't been below that level in two years.The SOX rebounded on Thursday, climbing 0.8% and ending the day above its 200-day line.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Intel Downgraded, Lam Research Upgraded, Nvidia Started At BuyNvidia Gets Price-Target Hike; Intel Downgraded On CEO TurmoilChip Stocks To Watch And Semiconductor Industry News
"
6,NOV,"In the cup with handle or double bottom, success of the breakout depends on the way a stock rises and falls within the base.A third pattern shows that a stock can choose to take neither path before its big move north.Rather than go on an uptrend or downtrend, the stock moves sideways for weeks or months. This action — or lack of it — becomes what's called the flat base.This pattern often forms after a stock breaks out of a cup or other base, gains ground for a few weeks, then stalls. Why? The market might not be ready to rally strongly, or is still weak.A flat base reflects unusual strength. Instead of bending lower, it holds steady in price. This action tells you the stock wants to run higher.When the market finally begins to rally, the stock explodes out of its crouch position.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseA flat base must be at least five weeks in length. It can last much longer than that. Within the base, the percentage decline from the stock's high to low usually ranges within 10% to 15%. When the stock drops within the base, institutional investors step in to shore up the stock. The stock doesn't fall much more because investors overall feel comfortable with the stock's current price.When should you buy? Wait until the stock rises 10 cents above the highest price in the flat base. Sometimes the price high is found on the left end of the base. In other cases, the high is in the middle of the base or on the right. Just add 10 cents to that price to find the pivot. Buy it as close as possible to that price point. Don't chase it if it's already more than 5% above the pivot.Oracle (ORCL), the database and e-commerce software giant, muscled out of a seven-month cup with handle on Sept. 3, 1999 (1). In five sessions, the stock rose 18% and hit new highs. A fine start.The market suffered choppy action. From Sept. 13 the Nasdaq tumbled 7% over the next two weeks, yet held up above its 50-day moving average. Two weeks later, it strode to a new high. But the next two weeks saw the Nasdaq fall 10%, and briefly below the 50-day.Oracle dug in its heels. Growth stocks tend to fall 1 1/2 to 2 1/2 times the correction in the major indexes. Not Oracle. The stock held up above 40 during most of its seven-week flat base (2). On an intraday basis, it was no more than 15% below its high.The high on the left side of the flat base was 46.94. Add a dime to get the buy point. Oracle briefly poked above the flat base's 47.04 buy point during the week ended Oct. 15, 1999, but stumbled. A week later, Oracle dropped more than 8% below the prime entry, ushering the golden rule of investing. Some breakouts turn out to be fakeouts.However, one day after the Nasdaq staged a follow-through day on Oct. 28, Oracle broke out for real. It rallied on heavy volume for seven straight sessions (3). A follow-though is a critical signal that the market has possibly bottomed and is ready for a significant turn higher.At the time, Oracle scored an excellent 95 Earnings Per Share Rating, as seen in IBD Stock Checkup, and an A for SMR (Sales + Margins + Return on equity). The stock's relative strength line, painted in blue in every IBD daily and weekly chart, shoved into new high ground. The enterprise software group was ranked third among 197 groups.Oracle gained 273% through its March 2000 peak.Here are three more good flat bases that formed in 2016 and 2017 and yielded strong breakouts:Align Technology (ALGN), breakout on Feb. 21, 2017: The nine-week flat base began on Dec. 19, 2016, when the invisible braces marketer peaked at 102.10. Total decline within the base: 13%. Heavy volume was largely absent as Align cleared the 102.20 buy point, yet check out the strong gain on Feb. 1 following quarterly results.Align gapped up 6% and turnover boomed 272% above average. That was a clear sign of strong institutional buying.You can see historical charts of Align and all other U.S. stocks by going to MarketSmith, IBD's advanced charting and stock screening service.Control4 (CTRL), breakout on July 12, 2017: Volume powered 305% above the 50-day moving average on breakout day. In small-cap stocks, volume often rockets double or triple average levels. Total decline within the base: 13.5%.Notice on a weekly chart how as the base formed, the 10-week moving average contained the stock's move.The 10-week line is drawn in red on both an IBD chart and in MarketSmith.Arista Networks (ANET), breakouts on Nov. 14, 2016, and on Feb. 17, 2017: In the first flat base, Arista took the minimum five weeks to complete the base, which sat on top of a much larger first-stage construction. The proper buy point was 87.72. Total decline within the base: 10%.In the second flat base, Arista vaulted out of the base in a breakaway gap past 103.10. On Feb. 17, the data center networking play opened at 111, 7.7% above the proper buy point. Given the huge opening move and strong fundamentals, it would have been perfectly acceptable to buy right at the open. Arista finished the session at 119.06. Turnover mushroomed to 5.9 million shares, 609% above average. Total decline within the six-week base: 15.2%.(A version of this column was originally published in the March 26, 2002, edition of IBD. Please follow Saito-Chung on Twitter at @IBD_DChung for additional stock market analysis.)Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:All About The Cup With HandleWhat Should A Double Bottom Base Look Like?How To Find Outstanding Stocks: Follow This Simple RoutineFinding The Proper Entry: Stocks Near A Buy ZoneWhat Is The Stock Market Doing Right Now? Will It Keep Rising? Read This Column Each Day
"
7,NOV,"The stock market held decent gains near midday Wednesday as fears of a trade war with China waned, at least for a day. Wall Street was comforted by news that President Trump's plan to crack down on Chinese investment in U.S. firms could be less harsh than initially thought.The Dow Jones industrial average led the way, rising 0.5%. Exxon Mobil (XOM) and Chevron (CVX) gained more than 1.5% as oil prices rose again. Trade war fears have weighed on the Dow in recent week as the index holds just above its 200-day moving average.The S&P 500 rallied 0.3% and the Nasdaq composite edged lower by 0.1%. The Russell 2000 eased 0.2%For the second straight session, Netflix (NFLX) was a top performer in the Nasdaq 100, rising 1%. The Leaderboard name has recovered nicely from Monday's sell-off. Tesla (TSLA) also did well in the Nasdaq 100, rising 1.5%. Shares reversed higher Tuesday in heavy volume after CEO Elon Musk took to Twitter with discussion about a Tesla pickup truck.In IPO news, Lovesac (LOVE) had a solid debut after pricing last night at 16 a share. Shares were recently trading around 21.50. Lovesac is a small company, with a market capitalization below $500 million, but sales growth has been accelerating in recent quarters. In its latest quarter, sales jumped 52% from the year-ago period to $26.8 billion. The company sells premium couches and beanbag chairs.Oil and gas stocks were in the driver's seat again Wednesday. After crossing the $70-a-barrel level Tuesday, U.S. crude oil futures were up 2% Wednesday. President Trump is asking allies to end Iran oil imports by Nov. 4.WildHorse Resource Development (WRD) jumped above its 50-day moving average, rising nearly 7%. The Houston-based oil and gas producer is a small-cap stock, but it's very liquid with an average daily volume of around 1.5 million shares. It also shows five straight quarters of triple-digit sales growth.In stock market results today, World Wrestling Entertainment (WWE) soared 6.5%. The company signed a lucrative TV deal with USA Network and Fox Sports for its two most popular wrestling shows. The highflier hasn't looked back since its May 17 gap up in price. Shares were strong that day amid speculation that a bidding war could erupt for ""SmackDown"" and ""Raw.""In merger news, Conagra Brands (CAG) lost 7% on news that it's acquiring Pinnacle Foods (PF) for $10.9 billion, including debt. The deal strengthens Conagra's presence in the frozen food and snacks market. As Conagra slumped, Pinnacle gave back 4%.Inside the IBD 50, Viper Energy Partners (VNOM) stayed in rally mode after reclaiming its 50-day moving average. Shares rose 3%. It's been consolidating gains for about 4-1/2 weeks.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT ALSO LIKE:After Threatening A China Trade War, Here's How Desperate Trump Is To Avoid OneMarijuana Stock Canopy Growth Q4 Loss Widens As Investment Soars     
"
8,NOV,"IPO stock SendGrid (SEND) looked to join its peers Dropbox (DBX) and Canada Goose (GOOS) with breakouts to new highs. Shares of SendGrid advanced over 6% Wednesday — but after two days of selling — the stock may be adding a handle to its choppy structure. Shares fell sharply Friday.X All three top stocks are members of the IPO Leaders list. The screen uses criteria to find ""up-and-coming stocks with strong fundamentals and technical traits."" Dropbox triggered a round-trip sell signal Friday, however.SendGrid provides a cloud-based email delivery platform to assist clients with their transactional and marketing emails.The stock is a member of the top-tier internet content industry group, which is ranked No. 10 out of 197 groups.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn the latest quarter, SendGrid's earnings doubled to 2 cents per share on revenue growth of 31% vs. the year-ago period. Meanwhile, analysts expect the company to grow earnings 38% in 2018 and another 45% in 2019.According to Stifel, ""SendGrid has produced a highly scalable, more profitable customer acquisition model."" An overwhelming majority of new customers sign up through its website. The analysts have a buy rating and a 32 price target on the stock.The IPO stock has been in a volatile uptrend since its Nov. 15 debut. In the week ended June 15, the stock rose over 8% on its way back above the 50-day moving average line. In the latest week, the stock was up about 10% before selling on Thursday and Friday erased practically all gains for the week. Despite that, the stock is attempting to put the finishing touches on the right side of a cup-shaped base.A potential handle may form soon, moving the buy point from 32.13 to 31.85 — a dime above this week's high price.The stock's relative strength line is lagging after the past two days of selling. Look for the RS line to improve if the stock is able to regain its lost luster. It should reach a new high on the stock's breakout day or shortly thereafter.RELATED:IPO Stock News And Analysis: Find Today's Top New IssuesRed Hat, Smart Global, Kroger Earnings; Stress Tests: Investing Action PlanTwo Hot IPOs Flash Sell Signals; China Plays Keep Tumbling
"
9,NOV,"Oil companies led the upside during a relatively mild rebound in stocks today. The big winner? WTI crude oil futures, soaring 3.3% to $70.39 a barrel on news that the U.S. is urging allies to end imports of Iranian oil by the Nov. 4 deadline.Among individual stocks, former Leaderboard name Marathon Oil (MRO), part of the integrated oil and gas industry group, gained more than 2% to 20.70 in slightly below average trade.The stock, which broke out of a pristine three-month cup with handle base at 18.76 on May 3, is getting buying support at its rising 50-day moving average. See the 50-day moving average on IBD's daily charts. They're painted in red.During confirmed market uptrends, a first or second rebound off the 50-day line offers a second timely opportunity to buy shares in a market leader. You can also use the 10-week moving average on a weekly chart to determine bullish rebounding action after a pause in the run.Buy as close as possible to the 50-day line during a strong rebound in price in heavy volume. In Marathon's case, the 50-day line is currently near 20.27.The Nasdaq composite, which got smothered by sellers on Monday and fell nearly 2.1%, ended Tuesday's session nearly 0.4% higher. The leading index had risen nearly 0.9% intraday before gains faded in afternoon trading.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe S&P 500 and the Dow Jones industrial average mustered gains of only 0.2% and 0.1%, respectively. Volume fell sharply on both exchanges.Small caps fared better.The S&P SmallCap 600 gained 0.7%, recouping less than half of Monday's 1.6% trashing. The Russell 2000 rebounded 0.6%.Marathon Oil, based in Houston, holds a mediocre 81 Composite Rating on IBD Stock Checkup. But the company is engineering a nifty corporate turnaround. After logging three years in a row of net losses, Marathon is targeting earnings of 80 cents a share this year.The stock's 13-week Accumulation/Distribution Rating of B- is bullish and indicates that institutional investors are on net accumulating shares.Some Chinese ADRs rebounded.Baozun (BZUN), a facilitator of e-commerce activity in China, rallied nearly 3% to 56.39 in light turnover, one day after it poked below its fast-ascending 50-day moving average.Read more about the leader within the software sector in the IBD Sector Leaders column.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Which Way Is The Stock Market Headed? Read This Column Every DayThe Latest Inside Investor's CornerHow To Make More Money In Stocks: Learn To Use This Chart-Reading Technique 
"
