,ticker,content
0,NRG,"On Monday, NRG Energy (NRG) reached an important technical milestone, with its Relative Strength (RS) Rating climbing into the 80-plus percentile with an improvement to 83, a rise from 79 the day before. X This proprietary rating tracks market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks matches up against the rest of the market. Over 100 years of market history shows that the stocks that go on to make the biggest gains often have an RS Rating north of 80 as they launch their biggest price moves.See How IBD Helps You Make More Money In StocksNRG Energy is working on a consolidation with a 29.88 entry. See if it can clear the breakout price in heavy trading. Earnings growth increased last quarter from 0% to 42%. But revenue gains fell from 20% to -11%. Keep an eye out for the company's next round of numbers on or around Mar. 1.The company holds the No. 2 rank among its peers in the Utility-Diversified industry group. Vectren (VVC) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,NRG,"When putting together your watch list, focus on stocks with an 80 or higher RS Rating. NRG Energy (NRG) just met that criteria with a new score of 82. X IBD's unique RS Rating tracks technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price performance over the last 52 weeks matches up against the rest of the market. History reveals that the stocks that go on to make the biggest gains typically have an RS Rating of over 80 as they launch their biggest climbs.Looking For Winning Stocks? Try This Simple RoutineNRG Energy is trying to complete a consolidation with a 29.88 buy point. See if it can clear the breakout price in heavy trading. Earnings growth picked up last quarter from 0% to 42%. But sales fell from 20% to -11%. Keep an eye out for the company's next round of numbers on or around Mar. 1.NRG Energy earns the No. 3 rank among its peers in the Utility-Diversified industry group. Vectren (VVC) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,NRG,"Russian hackers are attacking critical U.S. infrastructure, including the energy grid, nuclear power plants, and airports, according to U.S. government officials.XWater processing plants are among the other targets being repeatedly tested by rolling attacks. Last year, more than a dozen power plants in seven states were breached due to Russia's ongoing campaign of cyberattacks.Energy Secretary Rick Perry told the House Appropriations Subcommittee Thursday cyberattacks are ""literally happening hundreds of thousands of times a day. ... The warfare that goes on in the cyberspace is real, it's serious, and we must lead the world.""Such attacks were cited as being one of the reasons the Trump administration imposed sanctions on a series of Russian organizations and individuals Thursday. In a doomsday scenario, such attacks could leave millions without water and electricity.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseUtility giant Pacific Gas & Electric (PCG) was up 2.1% on the stock market today. Duke Energy (DUK) rose 1.1%, Sempra Energy (SRE) 0.7%, Edison International (EIX) 1.8% and Southern Co. (SO) 0.6%.An alert issued by the Department of Homeland Security and the FBI Thursday laid out in more detail what the Russians have been targeting, and how they are going about it.""Since at least March 2016, Russian government cyber actors ... targeted government entities and multiple U.S. critical infrastructure sectors, including the energy, nuclear, commercial facilities, water, aviation, and critical manufacturing sectors,"" the alert said.The techniques being employed include sending spear-phishing emails from compromised legitimate accounts, host-based exploitation and the targeting of industrial control system infrastructure.Russian operatives are also using the hacks for credentials gathering and open-source and network reconnaissance.While the alert did not disclose how successful the attacks were, it said hackers ""targeted small commercial facilities' networks where they staged malware, conducted spear phishing, and gained remote access into energy sector networks."" They also tried to hide their activities by creating new accounts on the staging targets to perform cleanup operations.While information theft was one of the goals, a key prize would have been gaining control of systems used by infrastructure. They could then launch attacks that could leave millions without water and power.An even more worrying prospect would be hackers gaining control of a nuclear power plant. A sudden shutdown can trigger safety systems designed to disperse excess heat and prevent a meltdown, though safety systems themselves may be vulnerable to attack. However, the operating systems used at such plants are usually decades-old legacy controls that cannot be exploited by hackers.The Department of Homeland Security previously said cyberattacks on critical infrastructure are ""one of the most serious national security challenges we must confront.""YOU MAY ALSO BE INTERESTED IN:As Trump Sanctions Putin's Russia, Will Dems Revert To Their Fallback Position — Appeasement? These Dividend-Paying Utility Stocks Sink As Wildfire Liability Looms Still Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain Stock Energy Stocks And Industry News
"
3,NRG,"In a welcome move, NRG Yield Cl C (NYLD) saw its Relative Strength Rating rise from 67 to 72 on Thursday. X IBD's unique rating tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. History shows that the top-performing stocks tend to have an RS Rating of over 80 in the early stages of their moves. See if NRG Yield Cl C can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksNRG Yield Cl C broke out earlier, but has fallen back below the prior 20.10 entry from a cup without handle. If a stock you're tracking clears a buy point then retreats 7% or more below the original entry price, it's considered a failed base. It's best to wait for the stock to form a new base and breakout. Also keep in mind that the most recent pattern is a later-stage base, and such bases are more prone to failure. Regarding top and bottom line numbers, the company has posted three quarters of accelerating earnings growth. Sales growth has been a different story, coming in at -3% last quarter. NRG Yield Cl C earns the No. 14 rank among its peers in the Energy-Alternative/Other industry group. Algonquin Power & Utility (AQN), Kenon  (KEN) and Ormat Technologies (ORA) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,NRG,"NRG Yield Cl C (NYLD) saw a welcome improvement to its Relative Strength (RS) Rating on Wednesday, rising from 64 to 71. X IBD's proprietary rating tracks share price performance with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Decades of market research shows that the best stocks typically have an RS Rating of above 80 in the early stages of their moves. See if NRG Yield Cl C can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksNRG Yield Cl C is trying to complete a cup without handle with a 20.10 buy point. See if it can break out in volume at least 40% above average. Regarding top and bottom line numbers, the company has posted three quarters of rising earnings growth. Sales gains have been less impressive, coming in at -3% last quarter. NRG Yield Cl C earns the No. 19 rank among its peers in the Energy-Alternative/Other industry group. Ormat Technologies (ORA), Algonquin Power & Utility (AQN) and TPI Composites (TPIC) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,NRG,"Stocks remained lower in afternoon trading Tuesday, as Coca-Cola's (KO) breakout to new highs reflected relative strength in consumer stocks.XThe Nasdaq composite tumbled 0.5% and the S&P 500 0.4%. Indexes bounced off early lows, but the selling resumed around 12.45 p.m. ET, leaving the Nasdaq near session lows.The Dow Jones industrial average was off 0.3% as General Electric (GE) continued its swoon, off 7%. Small caps faced new uncertainty after the Russell 2000 fell 0.6% and was not able to climb back above the 50-day moving average.Volume was tracking above the levels at the same time of day Monday.  Losers led winners by an 8-5 ratio across the board.Energy, telecom and metals stocks were some of the weakest in today's trading. Oil prices fell 2% to about $55 a barrel after a soft demand forecast from the International Energy Agency.In the IBD 50, Ichor Holdings (ICHR) was under stress. The stock slid right back below its 50-day moving average in heavy trading, one day after it seemed like it was finding support at that key level. An increase of more than 40% from buy points at 25.41 and 24.40 has nearly evaporated. The chip-equipment supplier's stock has been more volatile since it reported earnings Thursday.Hot IPO Roku (ROKU) reversed lower to a 5.5% loss in heavy trading. The stock had soared as much as 152% the past three days following the video-streaming device company's earnings.Consumer and defensive industry groups such as utilities and soft drinks were the best performing Tuesday.  Restaurants were up nearly 2% after Buffalo Wild Wings (BWLD) soared 25% on news that Roark Capital Group offered $2.3 billion to take the company private. Buffalo Wild Wings has been recovering from its lows in October but remains 16% below a 52-week high.In a sign of emerging strength in consumer plays, Dow component Coca-Cola broke out of a flat base, leaping past a 47.08 buy point in heavy volume.Wells Fargo upgraded the stock to outperform, and an analyst raised the possibility that Coke may enter the alcoholic-beverages market. Some details may be mentioned at Thursday's investor day, according to a CNBC report.Cantel Medical (CMD) jumped past its 99.93 buy point in a flat base, but volume was only about average. The maker of anti-infection and other medical products is making a presentation Wednesday at the Jefferies 2017 London Healthcare Conference.Pinnacle West Capital (PNW) broke out of a cup base, rising past a 91.02 buy point in flat volume. The holding company of electric utility Arizona Public Service is the latest in a handful of utility stocks that have broken out of bases in the past few weeks.The Dow utilities average was up 0.9%, leading the market.NRG Yield (NYLD), the alternative-energy and dividend-focused arm of NRG Energy (NRG), edged above a 20.10 buy point in light volume.RELATED:Buffalo Wild Wings Gets $2.3 Billion-Plus Buyout Bid From Roark Capital: WSJIchor Holdings Falls On In-Line Q3 Earnings Report
"
6,NRG,"The Relative Strength (RS) Rating for NRG Yield Cl C (NYLD) headed into a higher percentile Friday, as it got a lift from 64 to 73. X IBD's proprietary RS Rating measures market leadership by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. History shows that the stocks that go on to make the biggest gains tend to have an 80 or higher RS Rating as they begin their largest climbs. See if NRG Yield Cl C can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereWhile NRG Yield Cl C is not near a proper buy zone right now, see if it manages to form and break out from a proper consolidation.Earnings growth dropped last quarter from 0% to -10%, but sales rose from -7% to 0%. Keep an eye out for the company's next round of numbers on or around Nov. 4.NRG Yield Cl C holds the No. 16 rank among its peers in the Energy-Alternative/Other industry group. Algonquin Power & Utility (AQN), Ormat Technologies (ORA) and Nextera Energy Partners (NEP) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,NRG,"In a welcome move, NRG Yield Cl C (NYLD) saw its Relative Strength Rating improve from 70 to 74 on Monday. X This exclusive rating from Investor's Business Daily measures price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. History reveals that the best stocks tend to have an 80 or better RS Rating as they launch their largest price moves. See if NRG Yield Cl C can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereNRG Yield Cl C is now considered extended and out of buy range after clearing an 18.45 buy point in a first-stage flat base. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Earnings growth dropped in the most recent report from 0% to -10%. But revenue gains moved higher, from -7% to 0%. NRG Yield Cl C holds the No. 11 rank among its peers in the Energy-Alternative/Other industry group. Algonquin Power & Utility (AQN), Nextera Energy Partners (NEP) and Pattern Energy (PEGI) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,NRG,"On Monday, NRG Yield Cl C (NYLD) earned a positive adjustment to its Relative Strength (RS) Rating, from 69 to 73. X IBD's proprietary rating measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history shows that the market's biggest winners tend to have an 80 or higher RS Rating in the early stages of their moves. See if NRG Yield Cl C can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereWhile the stock is not near a proper buy point right now, see if it goes on to form and break out from a proper chart pattern.While EPS growth fell in the prior quarter from 0% to -10%, the top line grew 0%, up from -7% in the previous report. NRG Yield Cl C holds the No. 12 rank among its peers in the Energy-Alternative/Other industry group. Algonquin Power & Utility (AQN), Nextera Energy Partners (NEP) and Pattern Energy (PEGI) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
9,NRG,"The Relative Strength (RS) Rating for NRG Yield (NYLD) jumped into a higher percentile Wednesday, as it got a lift from 63 to 71.X This proprietary rating identifies market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database.History reveals that the market's biggest winners typically have an RS Rating north of 80 as they begin their biggest climbs. See if NRG can continue to rebound and clear that threshold.Now is not an ideal time to jump in since it isn't near a proper buy zone, but see if the stock goes on to form a chart pattern and break out.Earnings growth decreased in the most recent report from 0% to -10%. But sales moved higher, from -7% to 0%.The company holds the No. 16 rank among its peers in the Energy-Alternative/Other industry group. Algonquin Power & Utility (AQN), Nextera Energy Partners (NEP) and Pattern Energy (PEGI) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
