,ticker,content
0,NUE,"The Relative Strength (RS) Rating for Nucor (NUE) moved up into a new percentile Monday, as it got a lift from 68 to 72. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily measures price performance with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Decades of market research reveals that the stocks that go on to make the biggest gains typically have an RS Rating north of 80 as they begin their largest price moves. See if Nucor can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereNucor is trying to complete a consolidation with a 70.58 buy point. See if the stock can break out in heavy volume. Nucor showed 4% earnings growth last quarter. Sales rose 16%. The next quarterly numbers are expected on or around Jul. 20.Nucor holds the No. 1 rank among its peers in the Steel-Producers industry group. Steel Dynamics (STLD) and Tenaris (TS) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,NUE,"In a welcome move, Nucor (NUE) saw its Relative Strength Rating improve from 70 to 73 on Friday. X When you're researching the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique RS Rating measures market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks compares to the rest of the market. History shows that the market's biggest winners often have an RS Rating north of 80 as they begin their largest price moves. See if Nucor can continue to show renewed price strength and hit that benchmark. See How IBD Helps You Make More Money In StocksNucor is working on a consolidation with a 70.58 buy point. See if the stock can break out in heavy trade. Nucor showed 4% earnings growth in the latest quarterly report. Sales rose 16%. Nucor holds the No. 4 rank among its peers in the Steel-Producers industry group. Tenaris (TS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,NUE,"Nucor (NUE) had its Relative Strength (RS) Rating upgraded from 69 to 76 Friday -- a welcome improvement, but still short of the 80 or better score you prefer to see. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history shows that the best stocks often have an RS Rating north of 80 in the early stages of their moves. See if Nucor can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereNucor is working on a consolidation with a 70.58 entry. See if it can break out in heavy trading. Earnings grew 91% last quarter, up from -19% in the prior report. Revenue also increased, from 21% to 29%. Nucor holds the No. 4 rank among its peers in the Steel-Producers industry group. Tenaris (TS) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,NUE,"Nucor (NUE) had its Relative Strength (RS) Rating upgraded from 80 to 83 Thursday. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.IBD's proprietary rating tracks price performance with a 1 (worst) to 99 (best) score. The score shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the stocks that go on to make the biggest gains typically have an 80 or higher RS Rating in the early stages of their moves.See How IBD Helps You Make More Money In StocksNucor is building a consolidation with a 70.58 entry. See if the stock can break out in heavy trade. Earnings grew 91% last quarter, up from -19% in the prior report. Revenue also increased, from 21% to 29%. Nucor holds the No. 5 rank among its peers in the Steel-Producers industry group. Steel Dynamics (STLD) is the No. 1-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,NUE,"Nucor (NUE) had its Relative Strength (RS) Rating upgraded from 76 to 83 Friday. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's proprietary RS Rating identifies market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of other stocks on the major indexes. Over 100 years of market history reveals that the best-performing stocks often have an RS Rating north of 80 in the early stages of their moves.Looking For The Best Stocks To Buy And Watch? Start HereNucor is trying to complete a consolidation with a 70.58 buy point. See if the stock can clear the breakout price in heavy trading. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 91%, compared to -19% in the prior report. Revenue increased from 21% to 29%. Nucor earns the No. 5 rank among its peers in the Steel-Producers industry group. Arcelor Mittal (MT) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,NUE,"A new threat by President Trump to apply 10% tariffs on an additional $200 billion in Chinese imported goods put the U.S. stock market on a slicker path to a potential market correction on Tuesday. The Dow Jones industrial average and the NYSE composite battled to stay above their key 50-day moving averages.Volume rose on both main exchanges vs. Monday, according to early data readings. That implied unusually heavy institutional selling.The Dow industrial average and the NYSE composite slid 1.1% and 0.6% in stocks today, respectively, but both rebounded off their session lows. The Dow industrial average, finishing at 24,700, is now down about 0.1% since Jan. 1.Those losses, however, were not as frightening as the sell-offs among China mainland indexes. Hong Kong's Hang Seng benchmark dropped 2.8% overnight  and cut its long-term 200-day moving average for the first time since December 2016. The Shanghai composite skidded 3.8% lower, hitting lows not seen since June 2016.Meanwhile, Netflix (NFLX) and other high-octane growth stocks that are leading the digital transformation of the global economy continued to flex strength.Netflix, the eighth largest company on the Nasdaq exchange by market cap, jumped 3.7% to a new high of 404.98 in brisk volume, 84% above its 50-day average. The big move helped the Nasdaq composite cut its early 1.4% drubbing to less than a 0.3% decline by day's end.Netflix joined IBD Leaderboard on Dec. 6, 2016, as the stock was forming a base next to a much larger set of bases. Then the stock broke out past a correct entry point at 129.39 in early January 2017. The stock has since advanced 208% and is currently extended from a proper buy point.At 7725, the Nasdaq holds a 12% year-to-date gain. The Nasdaq 100 also hustled off its intraday low, slipping just 0.3%. Both the Nasdaq composite and the Nasdaq 100 are trading less than 1% below their all-time highs.The S&P 500 chopped its early decline to 0.4% as strength in defensive stocks, including utilities, offset weakness in automaker, steel, construction and farming machinery, chemical and coal stocks. Biotech, movie, drug store chain and auto parts firms also rallied.The small-cap S&P 600 outperformed, losing just 0.1%. At 1044, the index is up 11.5% since Jan. 1.Also within IBD Leaderboard, at least three top-shelf retailers seem to be feeling less of an impact on the escalating tit for tat between the world's two largest economies.Discount and variety store chain Five Below (FIVE), premium yogawear retailer Lululemon (LULU) and online marketplace Etsy (ETSY) are all holding up well since their excellent breakouts in recent months.All three Leaderboard names show strong double-digit earnings and sales growth in recent quarters. Etsy soared 28% last week on news that it's adding new services for sellers while also raising transaction fees.Etsy grew its top line by 19%, 21%, 24% and 25% vs. year-ago levels in the past four quarters. The Street expects Q2 revenue to jump 25% to $127.1 million and earnings to rise 150% to a nickel a share. The Brooklyn-based company has 119 million shares outstanding and a float of 116 million.The stock has rallied 103% since bolting out of an eight-week cup without handle at 21.96 on Feb. 21.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWhen searching for excellent stocks, be sure to check that a company meets the C in IBD's CAN SLIM seven-point investing paradigm. C stands for current earnings growth of 25% or more in the latest quarter. An acceleration in the rate of year-over-year growth? Even better. Institutional investors highly prize companies that are able to post bigger profit gains vs. recent quarters.Lululemon, a member of the IBD 50, still sees the majority of its revenue coming from North America. The Vancouver-based firm has posted EPS increases of 3%, 19%, 33% and 72% in the past four quarters. In other words, it's shown growth acceleration in the bottom line for three periods in a row.The Street sees earnings rising 26% to 49 cents a share in the July-ending fiscal second quarter.Financial payment, credit history and transactions-related firms are also holding up well. TransUnion (TRU), Visa (V) and Mastercard (MA) are keeping their solid long-term uptrends intact. The former, also in IBD Leaderboard, reversed from mild losses to gain 0.6%.Square (SQ), the innovator in point of sale technology and financial services for small and medium businesses, doesn't seem to be perturbed by Trump's aggressive tariff policy. The San Francisco-based company dropped 4% in the early going before shaving the loss to less than 0.4%.At 65.94, the stock is holding on to a 15% gain past a 57.29 entry in a nine-week cup with handle.That base also shows elements of a double bottom, one of the eight key chart patterns that growth investors can use to time their market buys during a confirmed uptrend in the stock market.Wall Street forecasts Square increasing its earnings by 70% to 46 cents a share in 2018, then doing it again to 78 cents in 2019.No doubt, commodities are being targeted by Chinese government officials with less than six months to go before critical midyear U.S. elections take place in November.Nucor (NUE), the largest U.S. steelmaker by market value, dropped as much as 4% and flirted with its rising 50-day moving average before rebounding some to end at 65.47.The Charlotte, N.C., firm has been locked in a trading range of 59 to 70 since January. Yet the stock is also building a new base and stands just 7% below the 70.48 peak.Analysts surveyed by Thomson Reuters see earnings vaulting 86% to $6.67 a share this year, then easing 7% to $6.18 in 2019. Sales growth has been powerful lately, rising 14%, 30%, 22%, 21%, 29% and 16% in the past six quarters.Tesla (TSLA) led the automakers down more than 4% as a group on a price-weighted basis. Autos finished worst among all 197 industry groups tracked by IBD each day.But Tesla, the electric vehicle pioneer, actually needed to catch its breath following strong gains the past three weeks.Shares closed down nearly 5% to 352.55 in heavy turnover. Watch to see if the 350 round number level offers a floor of support. Tesla also now has a nice air cushion above both its 50- and 200-day moving averages.For now, Tesla continues to work on a huge base that stretches all the way back to September 2017. In the week ended Sept. 15 that year, the stock broke out of an 11-week cup with handle at 370.10, but reversed sharply lower the next week. The negative action triggered the golden rule of investing — keep your losses small in every investment, preferably at 8% or less.In other financial markets, crude oil rallied amid some hopes that OPEC and Russia will agree to either no change in their production quotas or raise output only by a little. Investors will be watching the results of a Friday meeting closely.The yield on the benchmark U.S. Treasury 10-year bond fell 3 basis points to 2.89%. Yields fall when bond prices rise. The current yield is still well off the May 17 near-term peak of 3.11%.(Please follow Saito-Chung on Twitter at @IBD_DChung for more commentary on growth stocks, breakouts, follow-on buy points, sell signals, and financial markets.)RELATED:The Golden RuleWhen To Buy Stocks: First Read This Column Each Day, Confirm The OutlookBefore You Buy A Growth Stock Breaking Out, Check The Proper Buy ZoneIPO Leaders TodayWhich Stocks Are New In IBD 50, Big Cap 20, Sector Leaders? Check HereDo You Want To Beat The Market During Uptrends? Practice This Portfolio Technique
"
6,NUE,"Nucor (NUE) saw a welcome improvement to its Relative Strength (RS) Rating on Tuesday, rising from 78 to 84. X IBD's proprietary RS Rating measures market leadership by showing how a stock's price movement over the last 52 weeks measures up against that of other stocks on the major indexes. Over 100 years of market history shows that the market's biggest winners typically have an 80 or higher RS Rating in the early stages of their moves.Looking For Winning Stocks? Try This Simple RoutineWhile Nucor is not near an ideal buy zone right now, see if it is able to form and break out of a proper consolidation.Nucor saw both earnings and sales growth rise last quarter. Earnings-per-share increased from -19% to 91%. Revenue rose from 21% to 29%. Nucor earns the No. 3 rank among its peers in the Steel-Producers industry group. Arcelor Mittal (MT) is the top-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,NUE,"The Trump administration announced late Monday that it will extend steel and aluminum tariff exemptions for the European Union, Mexico, Canada and other allies for another month.Although the tariffs of 25% on steel and 10% on aluminum were justified on national security grounds, President Donald Trump seems to have realized that the real national security threat relates to advanced technologies, not industrial metals.Treasury Secretary Steven Mnuchin and other U.S. officials are heading to China this week for talks to avoid a trade war. But Beijing signaled that some things aren't open for discussion. China won't consider Trump's demand that Beijing offer a plan to shrink the trade deficit by $100 billion. Nor will it back off its Made in China 2025 agenda to achieve leadership in artificial intelligence, robotics and other cutting-edge technology, aided by $300 billion in funding from the Chinese government.Steel and aluminum shares such as U.S. Steel (X) and Alcoa (AA) initially surged as Trump signaled he opposed any exemptions to global tariffs of 25% for steel imports and 10% for aluminum. But shares reversed after Trump granted exemptions to countries responsible for more than half of imports.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSteelmaker Nucor (NUE), in announcing earnings on April 19 said that pricing had improved and predicted ""sustainable strength"" in steel markets. But Nucor management argued against the breadth of exemptions granted by Trump. ""We believe broad-based tariffs with few exceptions are needed to address the historic volume of unfairly traded imports and transshipping that is done to avoid trade duties,"" the company said in a statement.Aluminum stocks surged again the other week, but that was due to an unrelated Trump administration action. The Treasury Department slapped sanctions on United Company Rusal, the Russian aluminum giant. Earlier in April, the Treasury began implementing sanctions authorized by Congress last year to punish Russia for interfering in the 2016 election.Alcoa shares were the biggest beneficiary, but the gains didn't last long. Aluminum prices and Alcoa stock fell back after the Treasury Department said it won't enforce the sanctions for now.""The U.S. government is not targeting the hardworking people who depend on Rusal and its subsidiaries,"" Mnuchin said. ""Rusal has approached us to petition for delisting. Given the impact on our partners and allies, we are issuing a general license extending the maintenance and wind-down period while we consider Rusal's petition.""YOU MIGHT BE INTERESTED IN:The Big Squeeze: Why The Stock Market Bull Run Faces Its Biggest Threat In YearsS&P 500 Futures: 3 Reasons Why The Stock Market Rally Has Stalled; Apple Earnings DueHere's When General Electric May Start Seeing Some UpsideSee Which Stocks Just Got Added To And Cut From IBD's Top Lists
"
8,NUE,"In a welcome move, Nucor (NUE) saw its Relative Strength Rating improve from 63 to 71 on Monday. X This proprietary rating measures technical performance by showing how a stock's price movement over the last 52 weeks measures up against that of the other stocks in our database. Decades of market research reveals that the market's biggest winners typically have an RS Rating north of 80 in the early stages of their moves. See if Nucor can continue to show renewed price strength and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineNucor is not currently offering a proper buying opportunity. See if the stock goes on to form a base that could spark a new run.Nucor saw both earnings and sales growth rise last quarter. Earnings-per-share increased from -19% to 91%. Revenue rose from 21% to 29%. Nucor earns the No. 3 rank among its peers in the Steel-Producers industry group. Arcelor Mittal (MT) is the top-ranked stock within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
9,NUE,"Nucor (NUE) reported first-quarter earnings before the open on Thursday that topped analyst estimates.While Nucor management sees ""sustainable strength"" in steel markets, the steel maker took issue with the breadth of exemptions the Trump administration has granted from its 25% tariff on steel imports on national security grounds.""We believe broad-based tariffs with few exceptions are needed to address the historic volume of unfairly traded imports and transshipping that is done to avoid trade duties,"" the company said in a statement.Nucor's report came after rival Steel Dynamics (STLD) late exceeded Wall Street's lowered estimates for Q1 but provided vague, though optimistic comments about the outlook. Also on Wednesday, aluminum supplier Alcoa (AA) saw its shares hit a buy zone during the regular session, then plowed higher after offering blowout guidance for 2018.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseNucor earned $1,10 per share, down 1%, as revenue rose 15.6% to $5.57 billion. Wall Street analysts expected EPS of $1.07 on revenue of $5.44 billion.Shares of Nucor fell 0.5% on the stock market today, while Steel Dynamics lost 0.3%. Shares of Alcoa rose 1.35% to 60.20, just in a buy zone after hitting 62.35 intraday.Alcoa updated its full-year outlook for adjusted EBITDA excluding special items to a range of $3.5 billion to $3.7 billion. In January, the aluminum giant projected 2018 adjusted EBITDA of $2.6 billion to $2.8 billion.Alcoa vaulted 4% during the regular session to 59.40 in strong volume Wednesday, clearing a buy point at 57.60. When a leading stock hits a buy point, particularly when the market is in a confirmed uptrend, investors have the strongest likelihood of seeing near-term gains.Steel Dynamics had warned on Q1 earnings in mid-March but was upbeat about pricing momentum and the demand outlook. That announcement came before Trump granted further exemptions from the 25% tariff on steel imports announced last month.Aluminum and steel stocks have been volatile in the lead-up and aftermath of President Trump's decision to impose tariffs on national security grounds. He initially called for 25% tariffs on all steel imports and 10% on aluminum imports, but then exempted countries which supply much of U.S. metal imports.The surge in Alcoa comes from an unrelated Trump administration action, slapping sanctions on United Company Rusal, the Russian aluminum giant. Earlier this month, the Treasury Department began implementing sanctions authorized by Congress last year to punish Russia for interfering in the 2016 election.YOU MIGHT ALSO BE INTERESTED IN:The Big Picture: Stocks Extend Gains But Dow Lags; What's The Market's Next Stage?Alibaba And Wingstop Just Came On The IBD 50 Stock ScreenLooking For The Best Stocks To Buy And Watch? Start With This 3-Step RoutineStock Market Today: Track Market Trends And The Best Stocks To Watch
"
