,ticker,content
0,NWL,"Investors issued a blunt return to sender message to Stamps.com (STMP) on Friday, one day after the PC postage company delivered a mixed bag of results for its fourth quarter and gave an outlook for the year that fell below views.
"
1,NWL,"Stamps.com stock plummeted 11.5% in morning trading in the stock market today to near 34.20, a nine-month low. Stamps.com stock rose 67% in 2013 and hit a more than 13-year high of 49.40 in October, but it's been trending down since.
"
2,NWL,"Stamps.com is one of only three vendors approved by the U.S. Postal Service to sell postage over the Internet. The others are the more diversified Pitney Bowes (PBI) and Endicia, a unit of Newell Rubbermaid (NWL).
"
3,NWL,"For Q4, Stamps.com reported earnings per share minus items of 61 cents, up 30% from 47 cents in the year-earlier period. Analysts polled by Thomson Reuters had expected 54 cents.
"
4,NWL,"But revenue of $32.4 million, up 8%, missed analyst views of $34 million.
"
5,NWL,"In a report Friday, Tim Klasell, an analyst for Northland Capital Markets, noted that Stamp.com's subscriber growth in the quarter slowed as the company moves away form its less profitable PhotoStamps business.
"
6,NWL,"""The company is seeking subscribers with a higher lifetime value, which means moving away from PhotoStamps customers and customers acquired through enhanced promotional marketing activities,"" he wrote.
"
7,NWL,"For 2014, Stamps.com expects EPS ex items of $2.10 to $2.50, vs. $2.39 in 2013.
"
8,NWL,"Revenue is expected at $125 million to $140 million, ranging from a decline of 2.1% to growth of 9.5%.
"
9,NWL,"The outlook fell short of the $2.54 and $142.7 million expected by Klasell.
"
10,NWL,"Klasell said the outlook reflects uncertainty over how the economy will affect its primary customers.
"
11,NWL,"""Management noted core PC postage revenue is expected to increase 5% to 10% in 2014,"" he wrote. ""However, concern over the small and medium-sized business market and macro environment caused management to provide a range of similar size to 2009.""Investors issued a blunt return to sender message to Stamps.com (STMP) on Friday, one day after the PC postage company delivered a mixed bag of results for its fourth quarter and gave an outlook for the year that fell below views.Stamps.com stock plummeted 11.5% in morning trading in the stock market today to near 34.20, a nine-month low. Stamps.com stock rose 67% in 2013 and hit a more than 13-year high of 49.40 in October, but it's been trending down since.Stamps.com is one of only three vendors approved by the U.S. Postal Service to sell postage over the Internet. The others are the more diversified Pitney Bowes (PBI) and Endicia, a unit of Newell Rubbermaid (NWL).For Q4, Stamps.com reported earnings per share minus items of 61 cents, up 30% from 47 cents in the year-earlier period. Analysts polled by Thomson Reuters had expected 54 cents.But revenue of $32.4 million, up 8%, missed analyst views of $34 million.In a report Friday, Tim Klasell, an analyst for Northland Capital Markets, noted that Stamp.com's subscriber growth in the quarter slowed as the company moves away form its less profitable PhotoStamps business.""The company is seeking subscribers with a higher lifetime value, which means moving away from PhotoStamps customers and customers acquired through enhanced promotional marketing activities,"" he wrote.For 2014, Stamps.com expects EPS ex items of $2.10 to $2.50, vs. $2.39 in 2013.Revenue is expected at $125 million to $140 million, ranging from a decline of 2.1% to growth of 9.5%.The outlook fell short of the $2.54 and $142.7 million expected by Klasell.Klasell said the outlook reflects uncertainty over how the economy will affect its primary customers.""Management noted core PC postage revenue is expected to increase 5% to 10% in 2014,"" he wrote. ""However, concern over the small and medium-sized business market and macro environment caused management to provide a range of similar size to 2009.""
"
