,ticker,content
0,ORLY,"In a welcome move, Advance Auto Parts (AAP) saw its Relative Strength Rating improve from 69 to 73 on Monday. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.IBD's proprietary RS Rating tracks market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners often have an RS Rating north of 80 as they launch their biggest climbs. See if Advance Auto Parts can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksAdvance Auto Parts is building a consolidation with a 124.00 entry. See if the stock can break out in heavy volume. While earnings-per-share growth fell in the company's most recent quarterly report from -17% to -23%, the top line rose -2%, up from -3% in the prior report. The company earns the No. 6 rank among its peers in the Retail/Wholesale-Auto industry group. Copart (CPRT), LKQ (LKQ) and O'Reilly Automotive (ORLY) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,ORLY,"Stocks opened to narrow gains Wednesday as McDonald's (MCD) and Apple (AAPL) led the Dow and investors looked toward this afternoon's release of minutes from the Federal Reserve.X The Nasdaq Composite popped 0.5% at the starting bell as Apple jumped 0.8% and all four FANG stock tech leaders gained ground.The Dow Jones industrial average added 0.2%. The S&P 500 posted a 0.3% gain — Advance Auto Parts (AAP) spiked 9% to top the index, after reporting a big revenue and earnings beat in its fourth quarter. Other auto parts names also rallied, with AutoZone (AZO) rising more than 3% and O'Reilly Auto (ORLY) up more than 1%.In economic news, researcher Markit releases its preliminary composite purchasing managers index for February at 9:45 a.m. ET. January existing home sales are expected from the National Association of Realtors at 10 a.m. ET. At 2 p.m. ET, minutes from the Federal Open Market Committee's January meeting will be released. The notes will be scoured for signs as to whether the Fed may be considering upping its rate hike outlook to four increases for this year. There is also some speculation regarding a temporary increase of the inflation target, to more than 2%.The dollar was rising ahead of the Fed minutes, placing some pressure on commodities. U.S. benchmark oil traded down 0.7%, copper was down 0.5%.McDonald's jumped 1.1% to the head of the Dow in early trade. Walmart (WMT) added 0.2%% in early action, as Raymond James powered its price target on the stock to 110 from 113 after its massive 10% sell-off following its Q4 report on Tuesday. The loss erased all of the stock's gains for 2018, leaving shares at their lowest level since the company reported its third-quarter results on Nov. 16. Amazon.com (AMZN) rose 1.1% after MKM Partners hoisted the stock's price target to 1750, up from 1,350. On Tuesday, the stock ran against the market, rising 1.4% in firm trade. The move continued the stock's rebound from support at the 10-week moving average, pushing shares almost to the 20% profit-taking level, following a flat base breakout in January.  
"
2,ORLY,"Genuine Parts (GPC) saw a welcome improvement to its Relative Strength (RS) Rating on Thursday, rising from 70 to 76. X This unique rating measures technical performance by showing how a stock's price movement over the last 52 weeks compares to that of the other stocks in our database. Decades of market research shows that the market's biggest winners often have an RS Rating north of 80 in the early stages of their moves. See if Genuine Parts can continue to show renewed price strength and hit that benchmark. See How IBD Helps You Make More Money In StocksGenuine Parts has climbed more than 5% past a 98.73 entry in a first-stage flat base, meaning it's now out of a proper buy zone. Look for the stock to create a new buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. The company reported -6% EPS growth in the latest quarterly report. Revenue increased 4%. Look for the next report on or around Feb. 21.The company holds the No. 6 rank among its peers in the Retail/Wholesale-Auto industry group. Copart (CPRT), LKQ (LKQ) and O'Reilly Automotive (ORLY) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,ORLY,"Stocks staged a split open Thursday on a swarm of early earnings action from names including Ford (F), American Airlines Group (AAL) and Twitter (TWTR).XThe Dow Jones industrial average angled up 0.5% at the starting bell.  The S&P 500 futures added 0.3%.The Nasdaq Composite opened lower, then climbed into narrow gains as Celgene (CELG) gapped down to a 19% loss after its third-quarter report.The Dow was almost unanimously positive with DowDuPont (DWDP) seizing an early lead, up 1.7% after adjusting its third-quarter sales and earnings guidance. The move sent shares to a new high, extended beyond a buy range after clearing a flat base in mid-September.Apple (AAPL) punched up 0.8% and Alphabet (GOOGL) led the advancing FANG stocks, climbing 1% ahead of its third-quarter report, scheduled after today's close.Quarterly reports again drove much of the premaket action.American Airlines opened 4% higher on results that met or beat analysts expectations for its third quarter, despite the impact of hurricanes in Texas and Florida. The stock is just below a 53.84 buy point in a cup-with-handle base.Ford Motor rose more than 1% in early action. The Dearborn, Mich. automaker reported a solid beat with its third-quarter earnings and revenue, and management raised its full-year guidance to above analyst estimates. Ford shares are 16% off an August low, back above key levels of technical support as they work to reverse a three-year decline.Buffalo Wild Wings (BWLD) soared 16% after blowing past analysts third-quarter earnings views, while revenue came in just short of estimates. Management also boosted its full-year earnings guidance to well above consensus views. Buffalo Wild Wings shares have been trying to start up the right side of a deep, six-month consolidation.Twitter spun up a 13% gain at the open. A third-quarter earnings decline beat analysts targets. Revenue slipped in line with expectations, and guidance pointed to potential earnings growth in 2018. The stock has been fighting to hold support at its converged 10- and 40-week moving averages, and attempting to build the right side of a possible three-month base pattern.Earnings news had placed chip developers under some early pressure.Xilinx (XLNX) shed 2% at the start of trade. The San Jose, Calif., chip designer reported above par earnings and revenue in line with estimates for its fiscal second quarter, but third-quarter guidance was on the light side. Xilinx shares were extended at Wednesday's close, just above the buy range of a 66.58 cup-with-handle buy point.Mellanox Technologies (MLNX) dropped 5% as JP Morgan cut the stock's rating to neutral, from overweight. The chip designer reported late Wednesday its third-quarter earnings slipped less than expected, but its revenue decline missed estimates, and guidance was on the weak side of consensus views.Chip equipment maker Teradyne (TER) popped 3% after delivering solid third-quarter results and fourth-quarter guidance last Wednesday. The stock is extended above a 36.13 cup-with-handle buy point.Auto part chains O'Reilly Automotive (ORLY) stumbled 3% on weak fourth-quarter guidance.China-based stocks appeared set for another day of selling pressure, after suffering some heavy selling during Wednesday's session. Tal Education (TAL) swooned 17% lower in early trade, New Oriental Education & Technology (EDU) dived more than 6%. Baidu (BIDU) and Alibaba Group (BABA) each posted smaller declines/Houston-based utility Dynegy (DYN) popped 3% in opening trade, on news reports late Wednesday that the company has been discussing a possible combination with Vistra Energy (VST). Vistra shares climbed more than 1% higher in early trade.First-time unemployment claims edged up to 233,000 in the week ended Oct. 21, the Labor Department estimated. That was the first increase in four weeks, but less than the 235,000 claims anticipated by economists. The four-week moving average eased to 239,500, down from 248,250 in a fourth-straight decline.Pending home sales stats are expected from the National Association of Realtors at 10 a.m. ET.  Minneapolis Federal Reserve Bank President Neel Kashkari speaks at 10:30 a.m. ET.Europe's markets were important to the global picture Thursday. Stocks there added to their early gains after the European Central Bank voted to hold its target interest rates unchanged, and to only slowly decrease its asset-buying efforts. The CAC-40 in Paris led, up 0.8%, while Frankfurt's DAX jumped 0.6% and London's FTSE 100 held its 0.4% gain in afternoon trade.China's stock markets were mixed Thursday while, in Japan, Tokyo's Nikkei 225 rebounded 0.2% from Wednesday loss. Japan is expecting September consumer price data this evening.RELATED:The Big Picture: Distribution Grows, This Fear Gauge Rises Income Investor: Which Dow Dividend Play Just Halted A Long Earnings Decline?3 Rules For Buying Stocks Like Facebook During Earnings SeasonIBD Investor Research Tools Getting Started With IBD
"
4,ORLY,"Copart (CPRT) saw a welcome improvement to its Relative Strength (RS) Rating on Thursday, with an upgrade from 67 to 74. X This proprietary rating measures market leadership by showing how a stock's price action over the last 52 weeks measures up against that of the other stocks in our database. History shows that the best stocks tend to have an RS Rating of over 80 as they begin their largest price moves. See if Copart can continue to rebound and clear that threshold. The stock is trying to complete a flat base with a 32.27 buy point. See if the stock can break out in volume at least 40% higher than normal. The company posted 16% EPS growth in the latest quarterly report, while sales growth came in at 8%. The company holds the No. 1 rank among its peers in the Retail/Wholesale-Auto industry group. LKQ (LKQ) and O'Reilly Automotive (ORLY) are also among the group's highest-rated stocks.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,ORLY,"In a welcome move, Copart (CPRT) saw its Relative Strength Rating improve from 68 to 71 on Monday. X IBD's proprietary rating identifies price performance with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the market's biggest winners tend to have an RS Rating of above 80 in the early stages of their moves. See if Copart can continue to rebound and hit that benchmark. Copart is working on a flat base with a 32.27 entry. See if it can clear the breakout price in heavy volume. Copart posted 16% earnings growth last quarter, while sales growth came in at 8%. Copart earns the No. 1 rank among its peers in the Retail/Wholesale-Auto industry group. LKQ (LKQ) and O'Reilly Automotive (ORLY) are also among the group's highest-rated stocks.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,ORLY,"Stocks chalked up modest opening gains on Tuesday, aided by strong manufacturing and retail sales data, and despite a number of premarket sell-offs triggered by early earnings news.XThe Dow Jones industrial average added 0.2%, while the S&P 500 and Nasdaq Composite each notched 0.1% gains.Apple (AAPL) climbed 0.5%, still hanging in a buy range above a 156.75 buy point.  All four FANG names traded higher with Amazon.com (AMZN) rising highest, up 0.6% just after the open.Nike (NKE) dropped nearly 2%, easily the worst hit on the Dow as retail and apparel stocks took an early pounding.General Electric (GE) slid 0.4% after a securities filing showed Warren Buffett's Berkshire Hathaway (BRKA) had closed its long-standing position in the stock. GE shares traded 23% below a December high.Dow peer Home Depot (HD) fell 1.2% at the start of trade. Its second-quarter revenue and earnings narrowly topped consensus expectations and management lifted full-year earnings and revenue guidance to above analyst targets. The stock is trading below buy points at 159.32 and 160.96 in a three-month flat base.Snapchat parent Snap (SNAP) jumped 4% in early action. The March new issue is up 11% sicne Friday, and working on its first advance in seven weeks.On the downside, retailers were under clear pressure as Dick's Sporting Goods (DKS) crunched a 16% opening loss and Advanced Auto Parts (AAP) tanked 19% after weak earnings reports. Coach (COH), Crocs (CROX), Hibbett Sports (HIBB) and O'Reilly Automotive (ORLY) also posted heavy early declines.Among tech names, Photronics (PLAB) opened down 18% while Digital Ally (DGLY) dug a 10% hole — both on weak quarterly results.IBD 50 stock YY (YY) dropped 7% after announcing late Monday a proposed offering of 5.75 million shares. The stock remains in a profit-taking zone above a 61.62 flat base buy point.Manufacturing in the New York regions expanded significantly in August, lifting the New York Federal Reserve's Empire State Manufacturing Survey to 25.2 for the month, compared with a reading of 9.8 in July and marking its best performance in three years. New orders, shipments and labor conditions all showed marked improvement, the report said.Retail sales jumped 0.6% in July, the Commerce Department estimated, reversing June's 0.2% slip and clobbering expectations for a 0.3% rise. Sales minus autos rose 0.5%, also vs. a 0.2% decline in June and above forecasts for a 0.3% gain.Import edged up 0.1%, export prices strengthened 0.4% in July according to the Labor Department. The import price gain was in line with economist projections, while the export price increase easily outpaced expectations for a 0.2% gain.At 10 a.m. ET, the Commerce Department reports June business inventories estimates and the National Association of Home Builders delivers its August builders confidence index.Overseas, Asia's markets ended mixed: Tokyo's Nikkei 225 surged 1.1%, Hong Kong's Hang Seng Index shed 0.3%. Europe's markets gained strength in afternoon trade, with the FTSE 100 in London, up 0.5%, the CAC-40 in Paris jumping 0.7%, and Frankfurt's DAX ahead 0.5%.RELATED:The Big Picture: Bullish Session Led By These StocksAmazon Looms Over These 5 Retailers Reporting Earnings: Action PlanThese 2 Leaders Are Within Buy Range, While A Third Builds A BaseStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth Stocks  
"
7,ORLY,"The major market indexes opened higher after the Labor Department reported the U.S. economy gained 222,000 jobs in June, above the expected 170,000 gain. Average hour wages only grew 0.2%, vs. the expected 0.3% increase.XThe tech-heavy Nasdaq rallied 0.6%, but remained stuck under its 50-day moving average after a volatile week. Meanwhile, the S&P 500 and Dow Jones industrial average rose about 0.2% each, with the S&P 500 back above its 50-day line.Among the Dow industrials, Visa (V) paced the gainers with a 1% rise, while Apple (AAPL) followed up with a 0.9% gain. The payment processor has held up relatively well during the market's recent troubles as it hovers around its 50-day line. On the other hand, the iPhone maker remains stuck about 8% off its highs as it consolidates under its 50-day moving average.On the downside, General Electric (GE) fell 0.6%, continuing a downtrend that has sent shares to prices last seen in October 2015.Auto parts retailers saw a number of downgrades early Friday. Bank of America downgraded O'Reilly (ORLY), Advanced Auto Parts (AAP) and AutoZone (AZO). All three have fallen at least 10% this week, driven lower by O'Reilly's pessimistic Q2 same-stores sales metric.Homebuilders received a positive boost after LGI Homes (LGIH) reported its June closings reached a record level. LGI Homes jumped over 5% as it broke out of a lengthy cup-shaped base with a 40.57 buy point. D.R. Horton (DHI) reclaimed a 34.64 cup-with-handle entry, rising over 3%.Leading technology stocks looked to recover in the stock market today after Thursday's market sell-off.Tesla (TSLA) rebounded a bit after three days of sharp losses, rising over 1% in early trade. The electric automaker announced it was building the world's largest lithium-ion battery storage project in Australia. Shares were trading about 19% off their all-time highs and below the 50-day line.Action within the IBD 50, leading chip stocks were the day's top performers with Applied Materials (AMAT), Lam Research (LRCX) and Nvidia (NVDA) rising over 2% apiece.On the downside, regional bank East West Bancorp (EWBC) fell over 1.5%. The bank remains within the 5% buy range from a 57.34 base-on-base entry.RELATED:222,000 Jobs Added In June; Stock Futures RiseDow Jones industrial average And Dow Stocks: News And AnalysisThis Is Why Auto-Parts Retailers Plunged TodayS&P 500 Cracks As Tesla, GE Dive, FANGs Skid: Week In Review
"
8,ORLY,"Nike (NKE) was started as a top pick. Fellow Dow industrials component Exxon Mobil (XOM) was reinstated with an outperform rating while other energy stocks were downgraded Thursday.XRaymond James initiated coverage Nike with an outperform rating an 71 price target.
"
9,ORLY,"Analyst Cedric Lecasble said the stock is a ""top pick"" in the active lifestyle sector thanks to its popularity with millennials. China is also a ""huge opportunity"" for Nike and European rival Adidas (ADDYY) on the growing popularity of Western sports.Nike shares fell 0.7% to 57.16 on the stock market today. Nike has pulled back since spiking 11% on June 30 following strong earnings, closing just below a 59.10 buy point.RBC Capital Markets reinstated Exxon with an outperform rating and 95 price target.Chevron (CVX) was reinstated with an underperform rating and 100 price target.Bernstein downgraded ConocoPhillips (COP) to market perform and also downgraded Devon Energy (DVN) to market perform.Crude futures tumbled Wednesday, ending their longest winning streak in years, after Russia reportedly said it wouldn't make any further production cuts when OPEC and top non-OPEC members meeting in St. Petersburg later this month.Crude futures closed modestly higher Thursday after Energy Information Administration reported a bigger-than-expected drop in U.S. stockpiles but a strong gain in domestic production.Exxon shares fell 0.9% to 80.12. Chevron dipped 0.8% to 103.82. Conoco was off 1.9% at 43.32. Devon slid 2.9% to 30.20.
"
