,ticker,content
0,PFG,"The market started a short trading week with mixed results Monday. But leaders gave a better showing. Thanks in part to chip and software stocks, the Nasdaq mustered a 0.2% gain. The tech-heavy index rose as much as 0.4% and touched a fresh 14-year high. The Philadelphia semiconductor index rallied 1.1% to its best closing high since March 8, 2002.…
"
1,PFG,"Principal Financial (PFG) had its Relative Strength (RS) Rating upgraded from 70 to 73 Thursday -- a welcome improvement, but still short of the 80 or better score you look for. X This unique rating identifies technical performance by showing how a stock's price movement over the last 52 weeks compares to that of the other stocks in our database. History reveals that the stocks that go on to make the biggest gains often have an RS Rating north of 80 in the early stages of their moves. See if Principal Financial can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HerePrincipal Financial is still inside a buy range after climbing above a 72.33 buy point in a flat base. Once a stock moves 5% or higher beyond the original entry, it's considered out of a proper buy zone. While EPS growth dropped in the prior quarter from 14% to 11%, the top line grew 64%, up from 5% in the prior report. The company is expected to report its latest earnings and sales numbers on or around Jan. 30.Principal Financial holds the No. 1 rank among its peers in the Insurance-Diversified industry group. Manulife Financial (MFC) and ING (ING) are also among the group's highest-rated stocks.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,PFG,"On Wednesday, Principal Financial (PFG) received an upgrade to its Relative Strength (RS) Rating, from 67 to 71. X IBD's unique rating measures price action with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the best-performing stocks often have an RS Rating north of 80 in the early stages of their moves. See if Principal Financial can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksPrincipal Financial has climbed more than 5% past a 67.83 entry in a first-stage cup without handle, meaning it's now out of a proper buy range. Look for the stock to create a new chance to pick up shares like a three-weeks tight or pullback to the 50-day or 10-week line. While the company's bottom line growth declined in the company's most recent quarterly report from 14% to 11%, sales rose 64%, up from 5% in the previous report. The company earns the No. 1 rank among its peers in the Insurance-Diversified industry group. Manulife Financial (MFC) and Hartford Financial Services (HIG) are also among the group's highest-rated stocks.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,PFG,"In a welcome move, ING (ING) saw its Relative Strength Rating improve from 70 to 78 on Thursday. X IBD's proprietary RS Rating measures technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the last 52 weeks stacks up against all the other stocks in our database. History shows that the top-performing stocks often have an RS Rating north of 80 in the early stages of their moves. See if ING can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksING has moved more than 5% past a 19.11 entry in a first-stage flat base, meaning it's now out of a proper buy range. Look for the stock to offer a new chance to get in like a three-weeks tight or pullback to the 50-day or 10-week line. Top and bottom line growth moved higher last quarter. Earnings were up 8%, compared to 0% in the prior report. Revenue increased from 2% to 6%. Look for the next report on or around Feb. 2.ING holds the No. 3 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) is the top-ranked stock within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,PFG,"The Relative Strength (RS) Rating for ING (ING) moved into a new percentile Friday, as it got a lift from 68 to 71. X This exclusive rating from Investor's Business Daily identifies share price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the last 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the market's biggest winners often have an 80 or better RS Rating as they begin their largest runs. See if ING can continue to show renewed price strength and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereING is still inside a buying range after climbing above a 19.11 buy point in a flat base. Once a stock moves 5% or higher beyond the original entry, it's considered out of a proper buy zone. Earnings grew 8% last quarter, up from 0% in the prior report. Revenue also increased, from 2% to 6%. The next quarterly results are expected on or around Feb. 2.The company holds the No. 3 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) is the No. 1-ranked stock within the group.RELATED:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,PFG,"In a welcome move, ING (ING) saw its Relative Strength Rating rise from 69 to 73 on Monday. X IBD's proprietary rating tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the trailing 52 weeks holds up against all the other stocks in our database. Decades of market research shows that the best stocks tend to have an RS Rating of above 80 as they begin their biggest price moves. See if ING can continue to show renewed price strength and hit that benchmark. See How IBD Helps You Make More Money In StocksING is trying to complete a flat base with a 19.11 entry. See if it can clear the breakout price in volume at least 40% above average. Earnings grew 8% last quarter, up from 0% in the prior report. Revenue also increased, from 2% to 6%. The company holds the No. 3 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) is the No. 1-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,PFG,"IBD's Dividend Leaders screen is currently crowded with financial names. Banks, insurers and asset managers are six of 16 names on the list. In general, these sorts of stocks are seeing increased interest from investors, in part due to possible tax changes, but more so due to the Federal Reserve's intent to continue ratcheting interest rates higher over at least…
"
7,PFG,"The Relative Strength (RS) Rating for Hartford Financial Services (HIG) jumped into a higher percentile Thursday, as it got a lift from 65 to 71. X This proprietary rating measures market leadership by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the trailing 52 weeks matched up against all other stocks. Decades of market research shows that the market's biggest winners tend to have an RS Rating north of 80 in the early stages of their moves. See if Hartford Financial Services can continue to show renewed price strength and hit that benchmark. Looking For Winning Stocks? Try This Simple RoutineHartford Financial Services is trying to complete a cup with handle with a 57.09 buy point. See if it can clear the breakout price in heavy volume. Hartford Financial Services reported negative growth for both the top and bottom lines last quarter. Hartford Financial Services earns the No. 3 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) is the No. 1-ranked stock within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,PFG,"On Friday, Manulife Financial (MFC) hit an important technical milestone, with its Relative Strength (RS) Rating rising into the 80-plus percentile with an upgrade to 82, up from 73 the day before. X This proprietary rating measures market leadership by showing how a stock's price action over the last 52 weeks measures up against that of other stocks on the major indexes. History reveals that the market's biggest winners often have an RS Rating north of 80 as they begin their biggest price moves.See How IBD Helps You Make More Money In StocksManulife Financial is within a buy range after clearing a 20.94 entry in a flat base. Once a stock moves 5% or higher beyond the original entry, it's considered out of a proper buy zone. While EPS growth fell in the company's most recent performance report from 43% to 8%, revenue rose -20%, up from -38% in the previous report. Manulife Financial earns the No. 1 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) and ING (ING) are also among the group's highest-rated stocks.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
9,PFG,"Manulife Financial (MFC) had its Relative Strength (RS) Rating upgraded from 69 to 72 Friday -- a welcome improvement, but still shy of the 80 or better score you look for. X IBD's unique rating measures market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Decades of market research reveals that the top-performing stocks often have an 80 or better RS Rating in the early stages of their moves. See if Manulife Financial can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereManulife Financial broke out earlier, but has fallen back below the prior 20.94 entry from a flat base. If a stock you're watching breaks past a buy point then retreats 7% or more below the original entry price, it's considered a failed base. It's best to wait for the stock to form a new pattern and breakout. Also understand that the most recent pattern is a later-stage base, and such bases are more prone to failure. Earnings grew 43% last quarter, up from 20% in the prior report. Revenue also increased, from -133% to -38%. Look for the next report on or around Nov. 10.The company holds the No. 1 rank among its peers in the Insurance-Diversified industry group. Principal Financial (PFG) and ING (ING) are also among the group's highest-rated stocks.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
