,ticker,content
0,PVH,"PVH Corp. (PVH) shares gapped up as much as 7% Thursday after boosting its outlook on an otherwise bleak day for the overall market. The apparel maker, which owns Izod, Van Heusen and other brands, said late Wednesday it's selling its G.H. Bass & Co. shoe unit, which it acquired in 1987, to G-III Apparel Group (GIII) for about $50…
"
1,PVH,"Apparel designer Guess (GES) and PVH Corp. (PVH), the owner of Tommy Hilfiger and Calvin Klein, both fell after-hours following quarterly earnings, and the companies' full-year profit outlooks remained below analyst expectations.XEstimates: First-quarter earnings per share to jump 36% to $2.25, on revenue of $2.257 billion, a 14% gain, according to Zacks Investment Research.Results: EPS of $2.36; revenue rose 16% to $2.3 billion.PVH also raised its full-year EPS outlook to $9.05-$9.15, up from $9.00-$9.10 and below views for $9.14.Stock: Shares dipped 0.7% to 154.48 after-hours in the stock market today, grinding their way through a flat base with a 163.88 buy point. The stock has a Composite Rating of 90, out of a best-possible 99. Shares this month found support at their 50-day line.Piper Jaffray, in a recent survey of teen consumer trends, said Tommy Hilfiger and Calvin Klein were among the brands that ""made significant upward moves"" in popularity. Hilfiger, the survey said, remained popular among males. Popularity in Calvin Klein's handbags also held up, the survey said.PVH also stands to benefit from a rebound in tourism spending in the U.S., Credit Suisse said in a research note in April.Estimates: A net loss of 23 cents per share for the company's fiscal first quarter, compared to a net loss of 24 cents a year ago. Zacks forecasts sales climbing 11% to $511 million.Consensus Metrix forecasts North American retail same-store sales to rise 2.1%. In constant currency, same-store sales were expected to rise 1%.Results: An adjusted net loss of 23 cents per share. Revenue rose 15% to $521 Million. Revenue in constant currency increased 8%. Retail comp sales in the company's Americas segment rose 2% in U.S. dollars and 1% in constant currency.The company forecast full-year adjusted EPS of 88-99 cents, below analysts' estimates for 99 cents. For the second quarter, Guess forecast adjusted EPS of 27 to 30 cents, above expectations for 24 cents.Stock: Shares fell 2% to 23.83, but remain well extended above buying range after breaking out in March.Zacks analysts say Guess's push in the Europe and Asia is paying off, helping drive sales and profits. The company has shrunk its footprint in the U.S., where competitive price cuts from retailers continue to restrain sales. In March, Guess said the U.S. accounts for 31% of its global business, down from 38%.Zacks analysts also praise Guess' efforts to connect physical stores to digital shopping. Its e-commerce businesses in Europe and in China are growing.But the stock, whose value has more than doubled over the past year, is also getting expensive, they warn. Much of the company's run higher came after its fourth-quarter earnings, reported in March, topped expectations. Those results got a lift from the holidays. Black Friday is popular in Europe too, management noted.CEO Victor Herrero said he believed that 2018 marked ""the beginning of a turnaround"" for Guess. Co-founder Paul Marciano in February stepped back from his day-to-day responsibilities after an investigation was launched into sexual misconduct allegations against him by model Kate Upton and others.Shares of Guess crashed on Feb. 1. A day earlier, Upton said Marciano ""shouldn't be allowed to use his power in the industry to sexually and emotionally harass women.""YOU MIGHT BE INTERESTED IN:These 4 Apparel Stocks Look Fashionable As They Outperform MarketLululemon Leads These Five Retail Stocks That You Should Be WatchingStock Upgrades: Guess Shows Rising Relative Strength 
"
2,PVH,"DKNY parent G-III Apparel (GIII) reported a surprise first-quarter profit, sending the stock soaring early Tuesday.XEstimates: Per-share losses were expected to narrow to 4 cents from 18 cents last year. Revenue is seen rising 8% to $570 million, according to Zacks Investment Research. 
"
3,PVH,"Results: G-III earned 22 cents a share, with revenue up nearly 16% to $612 million.Outlook: G-III raised its full-year guidance, though much of that reflected its strong Q1 beat. It now sees EPS of $2.27-$2.37 on revenue of $2.97 billion. Analysts expected $2.05 EPS and sales of $2.938 billion.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseStock: Shares rose 10.8% to 47.53 on the stock market today after hitting 51.10 intraday. Michael Kors (KORS) popped 4.9%, PVH (PVH) gained 0.7% while Guess (GES) shot up 6%.Last week, Guess and PVH both fell following their quarterly reports earnings as the companies' full-year profit outlooks remained below analyst expectations. Also last week, Michael Kors beat fiscal Q4 views, and Ralph Lauren (RL) soared earlier in May on strong results.Back in March G-III Apparel joined the elite club of stocks with a Relative Strength Rating over 90, and it currently stands at 94. It also boasts an IBD Composite Rating of 90, putting it in the top 10% of stocks tracked. It is ranked sixth in the Apparel-Clothing Manufacturing Group.G-III owns brands including Donna Karan, DKNY, Andrew Marc, Marc New York and Jessica Howard. It also has fashion licenses for the Calvin Klein, Tommy Hilfiger, Karl Lagerfeld, Kenneth Cole, Cole Haan, Guess, Ivanka Trump, Jessica Simpson and Levi's brands.The firm, located in the center of New York City's Garment District, designs, manufactures and markets an extensive range of apparel, including outerwear, dresses, sportswear, beachwear, women's suits and women's performance wear. It also produces luggage and women's handbags.YOU MAY ALSO BE INTERESTED IN: Hot Chinese Stocks, Software Firm In Buy Range To Report: Investing Action PlanNew Option Strategy Limits Risk Around EarningsHow To Make Money In Stocks Using The CAN SLIM Investing System
"
4,PVH,"Apparel stocks continue to stand out and score big gains despite a shaky uptrend for the stock market. Five apparel retail stocks for your watch list are: Canada Goose (GOOS), VF Corp (VFC), PVH Corp (PVH), Lululemon Athletica (LULU) and Tapestry (TPR).Lululemon Athletica leads these five apparel makers and retailers with a highest-possible IBD Composite Rating of 99. Canada Goose is close behind with a 98, while PVH Corp earns a 96. VF Corp has a 94 Composite Rating and Coach parent Tapestry has a 91. The Composite Rating measures a stock based on a variety of fundamental and technical factors. The best stocks tend to have a 95 or better as they launch big moves.March 2017 IPO Canada Goose rose 1.4% to 37.08 on the stock market today. The potential buy point is 38.35. The outerwear retailer has nearly tripled 185% since going public. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseVF Corp., whose brands include Vans, Wrangler, Nautica and North Face, is climbing up the right side of a cup base. Shares ended Friday 4% below an 84.48 entry ahead of earnings on May 4. A big gap-down after VF Corp.'s last quarterly report has made for an irregular-shaped base.VF Corp. advanced 0.1% to 80.87 Monday.PVH Corp. remains in buy range after clearing a 158.06 buy point from a flat base in early April. Shares have been hovering around the 160 mark since the breakout. PVH has a relative strength line that's been trading sideways, but it's also trading near highs. The RS line measures a stock's price performance vs. the S&P 500.PVH fell 0.5% to 159.67.Since reporting earnings in late March, Lululemon shares have fallen only four out of 22 sessions. The Leaderboard member is now nearing the 100 price mark. Lululemon is well extended from its last buying opportunity, a bounce off the 50-day, but another pullback or tight trading action could provide another entry. Lululemon has a strong RS line at highs, further supporting the strong price action.Lululemon climbed 0.6% to 99.80.Tapestry, the company behind the Coach and Kate Spade brands, is well-extended as well.Tapestry fell 1.6% to 53.77 on Monday. But that's after the stock and the RS line hit new highs on Friday. The stock is well extended from a cup-with-handle base with a 45.90 buy point. When a stock becomes 20% to 25% extended past a buy point, that's usually a good time to take at least partial profits. And with earnings due on May 1, holding the stock requires a high level of conviction.YOU MIGHT ALSO BE INTERESTED IN:The Big Squeeze: Why The Stock Market's Bull Run Faces Its Biggest Threat In YearsFutures Rise Amid 3 Big Mergers; Apple Hits This Dubious MilestoneNike Upgrade Echoes This 'SNL' Athleisure Spoof; Under Armour JumpsLululemon A Member Of Leaderboard – Check Out Full List HereAmazon, These 5 IBD 50 Stocks Share This Winning Growth TraitDepartment Stores: Is Kohl's Leading A Great American Comeback?
"
5,PVH,"How can technology and oil stocks mix? One way: When high-quality companies from both sectors rise to new highs.ConocoPhillips (COP) and new IPO Dropbox (DBX) lead a still modest yet growing cadre of companies that burst to 52-week or all-time new highs Thursday. The latter is trying to break out of its first base; the former is trying to pad its gains after a successful breakout from an early-stage base.Dropbox, whose service allows users to access and edit files from multiple computers or internet-enabled devices, burst past a 34.47 buy point in a very narrow IPO base. That base began forming after the stock reversed sharply March 29. The IPO base formed over a period of just eight sessions, far fewer days than the typical successful IPO base.Analysts see the San Francisco-based firm earnings 2 cents a share in the first quarter. It lost 8 cents a share in Q1 and Q2 of 2017 and 4 cents in Q3 and 10 cents in Q4.Revenue jumped 33%, 33%, 30% and 28% vs. year-ago levels in the past four quarters.The company priced 36 million shares at 21 a share in late March.Oil and gas giant ConocoPhillips rose to as high as 63.88, extending gains from a 61.41 entry in a cup without handle to 4%. This means shares are still in buy range. Don't chase a stock more than 5% past the proper buy point.The cup without handle is most visible on a daily chart. But in looking at a weekly chart, it appears that a one-week handle also formed. That ushers in a slightly lower buy point of 61.27, 10 cents above the highest price during last week's action.An earlier Stock Market Today column covered Conoco's breakout in detail Wednesday.Elsewhere, apparel firms are gaining more steam.Business apparel, casual clothing and footwear giant PVH (PVH) moved further past a 158.06 buy point in an excellent flat base. On Thursday, shares reached as high as 162.62, up almost 3%.While volume is running roughly flat vs. the stock's 50-day average turnover, check out its daily chart. Since a March 29 bullish gap up in price, PVH had already registered five significant up days in heavy volume.Such action points to rising institutional demand.The reasons are clear. The owner of the Calvin Klein and Tommy Hilfiger apparel brands is showing a fresh streak of top and bottom line growth.Earnings fell vs. year-ago levels in the final two quarters of fiscal 2017, ended in January that year. Then PVH grew its earnings per share by 10%, 15%, 16% and 28% in the next four quarters. In the April-ending fiscal first quarter for this year, the Street sees profit accelerating 36% higher to $2.25 a share.Sales grew 4%, 7%, 5% and 19% in the past four quarters, and are seen rising 15% in the current period to $2.28 billion.Global sports apparel and shoe maker Adidas (ADDYY) rallied as much as 2% and hit as high as 129.81 in afternoon trading Thursday. Shares are now up 11% past a 116.94 buy point in a long saucer with handle. Analysts expect profit to jump 94% to $7.78 a share this year, which would be the highest in at least eight years.(Please follow Saito-Chung on Twitter at @IBD_DChung for more commentary on growth stocks, breakouts, and financial markets.)RELATED:All About The Saucer With HandleThe Latest Inside Investor's CornerHow To Properly Track The Stock Market Direction? Read This Column Each Day 
"
6,PVH,"PVH (PVH) saw its IBD SmartSelect Composite Rating jump to 96 Thursday, up from 94 the day before. X The new score indicates the company is now outperforming 96% of all stocks in terms of the most important fundamental and technical stock-picking criteria. PVH is currently extended beyond a proper buy zone after breaking out from a 130.85 buy point in a flat base. See How IBD Helps You Make More Money In StocksOne weak spot is the company's 75 EPS Rating, which tracks quarterly and annual earnings-per-share growth. Look for that to improve to 80 or better to show it's in the top 20% of all stocks. Its Accumulation/Distribution Rating of B shows moderate buying by institutional investors over the last 13 weeks. In Q3, the company posted 16% EPS growth. That means it's now generated three straight quarters of rising EPS growth. Sales growth fell to 5%, down from 7% in the previous quarter. PVH holds the No. 3 rank among its peers in the Apparel-Clothing Manufacturing industry group. Canada Goose (GOOS) is the top-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
7,PVH,"After Louis Vuitton owner LVMH Moet Hennessy (LVMUY) entered a new buy zone Wednesday, fellow apparel stock PVH (PVH) is trying to fashion a new breakout move of its own. X PVH, which owns leading clothing brands Calvin Klein, Tommy Hilfiger and Heritage Brands, ties leading 2017 IPO stock Canada Goose (GOOS) for the No. 1…
"
8,PVH,"Here's your Investing Action Plan for Wednesday: what you need to know as an investor for the day ahead. Amid a shortened trading week, cloud content management firm Box (BOX), analog tech company Analog Devices (ADI) and retail names Michael Kors (KORS), DSW (DSW), Guess (GES) and PVH (PVH) are scheduled to report earnings Wednesday. X…
"
9,PVH,"Teenagers' love for streetwear and the 1990s is only growing, and that means good news for a few apparel brands whose heydays happened before those high schoolers were even born.Lest sister-models Gigi and Bella Hadid haven't clued you in, Piper Jaffray's latest semiannual teens survey pegged both Tommy Hilfiger and Calvin Klein as brands that made ""significant upwards moves"" in their top 20 list, with Calvin Klein holding on to its No. 10 spot as the preferred handbag brand for average-income teens, and Tommy Hilfiger remaining popular among teen boys. (Gigi and Bella have endorsement deals with Tommy and Calvin, respectively.)This reads as good news for PVH (PVH), one of the biggest players in the apparel space, and the parent of both '90s sweethearts.Tommy Hilfiger alone makes up 44% of the company's sales. Together with fellow '90s staple Calvin Klein, the two brands account for over 80% of PVH's revenue and 90% of PVH's earnings before interest and taxes, according to the company's latest figures. PVH raked in $8.9 billion in reported revenue in fiscal 2017.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAnd as Bloomberg reports, Tommy Hilfiger has actively been courting younger shoppers through Hadid, social media and TommyNow, a ""see now, buy now"" offering that makes its latest runway designs available immediately.PVH currently has an exclusive partnership with Macy's (M) in men's sportswear. It's also joined forces in Canada with Hudson's Bay Company, the parent of Saks Fifth Avenue and Lord & Taylor. In North America, Tommy Hilfiger has licensed its womenswear wholesale business to G-III (GIII).PVH closed up 1.5% at 157.95 in the stock market today, nearly back above a 158.06 flat-base buy point. G-III advanced 1% to 38.96, flirting with retaking a 39.04 entry in a double-bottom base. Macy's climbed 0.5% to 29.30, as it works on a flat base with a 31.14 buy point.The Piper Jaffray survey also pointed to ""unprecedented"" momentum for VF (VFC) brand Vans. The shoe line ""continues to find traction across all demographic/socioeconomic groups and categories.""From the fall of 2016, Vans' share of upper-income teens' favor has grown to 16% — a new peak — from 9% and remains No. 2.VF Corp. stock rose 2.4% to 77.92, back above its 50-day line in a flat base.While retaining its monster lead, Nike (NKE) has lost turf over that time, slipping to 42% from 51%. But Vans is increasingly popular with teen girls, and Piper Jaffray notes that Vans ""appears to be taking mindshare from NKE's Converse brand in canvas.""Adidas (ADDYY), another purveyor of throwback footwear fashion, is sitting pretty in third place with gains of its own, now up to 14% from 6% just a year and a half ago.Nike stock fell 0.3%, but found support at its 50-day line in a flat base. Adidas climbed 1.8% to a new high.The nostalgia train isn't picking up everyone. Ralph Lauren (RL) lost its place in the survey's top 10 among upper-income teen boys, a first since Piper Jaffray started issuing the poll in 2002.And the '90s are eating into modern-day brands. In a separate survey, B. Riley FBR analysts found that Under Armour (UAA), a stock which halved its value in 2017, is waning in popularity, particularly with women and teens.Piper Jaffray, for its part, said Under Armour is being ""boxed out by resurgent Adidas and retro-category growth.""Perhaps the most striking example: once-popular athletic-sweats maker Champion, in the midst of its own '90s comeback, jumped from No. 44 to No. 10 among upper-income teen boys over the last half year. It managed to nab two votes from upper-income teen girls naming their favorite clothing brands.Under Armour, by contrast, received but one.Still, Under Armour stock rose 1.1%. Ralph Lauren climbed 2.3%.YOU MIGHT BE INTERESTED IN: Amazon's Growth In This Category Is Astounding — And AcceleratingNike Just Does It Again: This Is The 2nd Deal In A Month To Boost AIHow Private Labels Could Be Amazon, Target's Next Cash Cow
"
