,ticker,content
0,PXD,"In a welcome move, Pioneer Natural Resource (PXD) saw its Relative Strength Rating rise from 68 to 71 on Thursday. X IBD's proprietary RS Rating measures technical performance by using a 1 (worst) to 99 (best) score that shows how a stock's price performance over the trailing 52 weeks compares to the rest of the market. History shows that the top-performing stocks typically have an 80 or better RS Rating in the early stages of their moves. See if Pioneer Natural Resource can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HerePioneer Natural Resource is trying to complete a cup with handle with a 190.05 entry. See if the stock can clear the breakout price in heavy trade. Pioneer Natural Resource reported 149% earnings growth in its most recent report. Revenue gains came in at 48%. The company earns the No. 6 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Viper Energy Partners (VNOM), Diamondback Energy (FANG) and Ring Energy (REI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,PXD,"Pioneer Natural Resource (PXD) had its Relative Strength (RS) Rating upgraded from 68 to 80 Friday. X This unique rating identifies technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the last 52 weeks matches up against other publicly traded companies. Over 100 years of market history reveals that the top-performing stocks often have an RS Rating north of 80 as they begin their biggest runs.Looking For The Best Stocks To Buy And Watch? Start HerePioneer Natural Resource broke out earlier, but is now trading approximately 3% below the prior 187.64 entry from a cup with handle. If a stock you're tracking clears a buy point then falls 7% or more below the original entry price, it's considered a failed base. It's best to wait for the stock to form a new consolidation and breakout. Also understand that the most recent pattern is a later-stage base, and such bases are more prone to failure. Earnings growth increased last quarter from 0% to 269%, but revenue fell from 107% to 23%. Look for the next report on or around Feb. 7.Pioneer Natural Resource earns the No. 6 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Viper Energy Partners (VNOM), Diamondback Energy (FANG) and EOG Resources (EOG) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,PXD,"EOG Resources (EOG) weathered a massive oil price drop a few years ago thanks to smart investments across multiple basins, first-mover advantage and loads of data.Now, the shale exploration and production company is one of the top performers in its sector as oil prices rebound.Ninety percent of EOG's production comes from its U.S. shale operations. But EOG has spread its resources throughout the Bakken Shale basin in the north-central U.S. and southern Canada, as well as the Eagle Ford and Permian basins in the Texas and New Mexico area. That diversity has been one key to EOG's success.""They have attractive portions across multiple basins,"" said Brian Youngberg, analyst at Edward Jones. ""Some of the other premier players, like Pioneer Natural (PXD), are more focused geographically. But EOG has a handful of positions they got into early, at a low cost.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseEOG produced the equivalent of 609,000 barrels of oil a day last year on average for a total of 222 million barrels. It has an estimated 2.527 billion barrels of oil equivalent in proved reserves. EOG grew in both categories during 2017 after a downturn the previous two years.The company is part of IBD's Oil & Gas-U. S. Exploration and Production group, which also features top names like Diamondback Energy (FANG) and Parsley Energy (PE). The company has a 95 Composite Rating from IBD. That means it is outperforming 95% of all stocks in key fundamental and technical criteria.A recent IBD Stock of the Day, EOG is building a base on base with a 128.13 buy point.Managing data is key for tech companies in Silicon Valley to take advantage of trends. EOG brought the power of data to the shale fields, earning it the nickname the ""Apple of Oil"" by analysts.Dave Meats, a senior analyst at Morningstar, says EOG's larger size gives it access to more data than smaller players in the space. EOG has access to its own data on previously drilled wells. It also has data on wells drilled by other companies where it has a small stake.EOG used analytical data from thousands of wells. They find everything from the optimal length to drill during each fracking stage, to which rock type is more productive.""The company does have a technical edge,"" Meats said. ""Not so much (in that) it can do things other companies can't, but that it can lead the way in achieving technical benefits before some of its peers.""Last year, EOG said it had developed 20 mobile apps of its own over two years that allow workers to stay connected day and night. It also has collected data from 5,000 horizontal wells in almost every major unconventional play in the U.S.Further, proprietary data is helping the company cut costs. Meats said the company isn't reliant on expensive analytics packages from Schlumberger (SLB) and other service providers.On top of that, data helped EOG take advantage of being one of the first movers into newer, fringe areas in a potential shale play. It analyzed the success and failure of other wells in the area.""They were kind of early on the Eagle Ford and Bakken,"" Youngberg said. ""They just saw things years ago under the leadership they had and were able to build big positions.""With acreage in some of the most prolific basins in the U.S., the company's broad geographic offerings give it the ability to be more flexible with spending if issues arise.""Some companies are very nimble like EOG. They will move capital here or there a little bit if it makes sense to,"" Youngberg said.Companies that shifted their assets to exclusively focus on the Permian now see production backing up, bottlenecked by limited pipeline capacity that likely will remain constrained through 2019. But both Youngberg and Meats don't expect the Permian bottleneck to affect EOG.When times are tough, company management isn't afraid to make the tough call to put the brakes on spending, analysts say.""They pulled back spending more than others did at a time when oil prices fell back,"" Youngberg said. ""They are willing to go defense when they have to, when oil falls, then switch back into offense pretty quickly.""Unlike its peers, EOG reduced production during the downturn three years ago, when other companies tried to keep production flat or grow slightly.Over the past year, Wall Street's appetite for increases in production at all costs has slowed. Now investors are looking for companies to focus on returning cash to shareholders rather than drilling to keep production up.In its first-quarter report, the company reiterated its 2018 oil production growth target of 16%-20%. It also backed its forecast for a full-year exploration-and-development budget of $5.4 billion-$5.8 billion, after raising it by $1 billion the previous quarter.The company plans to increase its dividend growth rate. And it has small overseas operations in Canada, China, the U.K., Trinidad and Tobago. But EOG is unlikely to commit a lot of capital to any mergers or acquisitions. Instead, management is focused on boosting organic operations.EOG's second-quarter earnings are seen soaring 1,400% to $1.20 per share, up from eight cents per share in the year-ago quarter. Revenue is seen rising 45.8% to $3.79 billion.The company isn't immune to all headwinds, however. Meats says he's bearish on long-term oil prices despite supply constraints out of Libya, Venezuela and Iran currently boosting crude futures.He only expects a supply crunch in the short term and believes oil prices will stay around $55 per barrel in the long term.""EOG is a high-quality company with good asset quality,"" Meats said. ""But I think like every other shale company, the potential for lower oil prices weighs on validation.""Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT BE INTERESTED IN: Energy Stocks And Industry NewsWhy The Next Oil Bonanza Could Be Deep Under Water
"
3,PXD,"In a welcome move, Pioneer Natural Resource (PXD) saw its Relative Strength Rating rise from 70 to 74 on Thursday. X IBD's proprietary RS Rating identifies technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price performance over the last 52 weeks stacks up against all the other stocks in our database. Decades of market research shows that the market's biggest winners often have an 80 or better RS Rating as they launch their largest price moves. See if Pioneer Natural Resource can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HerePioneer Natural Resource is trading within a buy range after climbing above a 187.64 entry in a cup with handle. The proper buying range extends to 5% above the initial entry. Once a stock moves above that range, it's best to wait for it to set up another buying opportunity.. While revenue growth fell last quarter from 107% to 23%, EPS grew 269%, up from 0% in the previous report. The company is expected to report its latest performance numbers on or around Feb. 7.The company earns the No. 8 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Viper Energy Partners (VNOM), Diamondback Energy (FANG) and Unit (UNT) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,PXD,"When Occidental Petroleum (OXY) packed up its Los Angeles, Calif., headquarters and shipped out to Houston in 2014, few investors had heard of the Permian Basin. At the time, Occidental was the largest oil producer in Texas. It was the largest producer of natural gas in California.By 2017, the almost century-old company was the third-largest oil play in Texas. That put it just behind EOG Resources (EOG) and Pioneer Natural Resources (PXD). It is also among the largest holders of acreage and producers of oil in the Permian Basin. That is the west Texas redoubt that Bloomberg has said is on track to ""become the world's largest oil patch over the next decade.""Occidental shares slipped 2.4% in weak trade Monday, edging just below the stock's 50-day moving average. The move technically put the stock back into a buy range above a 78.18 buy point in a cup base. Investors probably don't want to enter a stock that high in the buy range. But a rebound off the 50-day line could produce a follow-on buying opportunity.Many Permian producers face a musical chairs-type shake out, as production outpaces the available capacity of pipelines to transport the oil to market. But Occidental owns its own gathering systems within the basin, the pipelines that take oil and gas from the wellhead to larger pipelines or to separation facilities.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAlso, Occidental has locked down contracts giving them capacity of 470,000 barrels per day out of the Permian, according to a CNBC interview with chief executive Vicki Hollub in May. At that time, that was roughly double the company's output within the basin, she said.In mid-June, capacity bottlenecks trimmed prices for oil coming out of the Permian to about $10 below West Texas Intermediate crude priced at Cushing, Okla., the transaction location for the WTI benchmark. The International Energy Agency believes take-away capacity from the Permian fields will ""become insufficient by midyear, with a deficit possibly reaching as much as 290,000 barrels a day during the first half of 2019.""In addition, Occidental is expanding the loading capacity of its Ingleside oil export terminal in Corpus Christi, Texas. It is adding loading arms and dredging the terminal to a depth of 66 feet, allowing it to load VLCC tankers — the largest class of oil tanker afloat — with oil headed for markets in Europe and Asia. Crude exports out of Corpus Christi are expected to reach 1 million barrels per day by 2020.In 2013, just before its move to Texas, Occidental began exiting locations in the Bakken shale of Montana and North Dakota. It spun off its operations in California, and divested four international operations. As a result, production decreased 40% — just as the global oil glut was swinging into gear. Earnings per share dropped by 98%, to 12 cents, in 2015, followed by a $1-per-share loss the following year.Earnings recovered to 89 cents per share last year. They are projected to rebound to $4.61 for 2018, with a 673% jump projected by the consensus estimate for the second quarter.Occidental operates in three segments: oil and gas, chemicals and midstream and marketing. In 2017, the oil and gas unit produced about 63% of revenue. Chemicals were another 35%. The oil unit generated 55% of total earnings. Chemicals were 41%.The strength of diversification was apparent in the segment numbers. For 2017, Occidental's operations outside the U.S. accounted for more than 100% of profit, because domestic operations and oil exploration efforts both lost money.An increasing number of analysts are questioning how much longer the Permian basin can continue to increase its total output, and at what point the Permian's localized glut might began to spread.Hollub said she expects additional pipeline capacity will be built, easing the take-away restrictions. More crucial, she told CNBC, are labor shortages plaguing the industry.She said companies attempting to ramp activity much above current levels are in for a struggle, and face rising costs.""We're really at the activity level we want to be,"" she said, pointing to Occidental's current output from the field. ""If you are a company that is not trying to ramp up significantly, you have a significant advantage.""Occidental has delivered uninterrupted quarterly dividends since 1975, with annual increases each year since 2002. The current annual rate is $3.08 per share, which yields about 3.7% on an annualized basis.RELATED: Dow Giant Triggers Sell Signal As China Trade War Boosts RivalIBD Stock Of The Day: This China Internet Gives Back All Its GainsPermian Oil Prices Dive As Gas Prices Rise, Boosting These RefinersTop Shale Oil Names See Profits Soar As Crude Passes $70Divergence In The Stock Market Is A Worrisome Sign
"
5,PXD,"On Tuesday, Pioneer Natural Resource (PXD) got an upgrade to its Relative Strength (RS) Rating, from 65 to 71. X IBD's proprietary RS Rating measures technical performance by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the last 52 weeks compares to other publicly traded companies. Over 100 years of market history reveals that the top-performing stocks typically have an RS Rating of above 80 in the early stages of their moves. See if Pioneer Natural Resource can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HerePioneer Natural Resource is building a cup with handle with a 187.64 buy point. See if it can clear the breakout price in heavy trading. Earnings growth rose last quarter from 0% to 269%. But revenue gains fell from 107% to 23%. The company is expected to report its latest results on or around Feb. 7.The company holds the No. 13 rank among its peers in the Oil&Gas-U.S. Exploration & Production industry group. Viper Energy Partners (VNOM), Diamondback Energy (FANG) and R S P Permian (RSPP) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Rising Relative Strength?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
6,PXD,"HOUSTON — Energy Secretary Rick Perry said Wednesday the conversation about the White House's proposed tariffs is ""ongoing"" and that he isn't sure President Trump has made up his mind ""with clarity"" on the matter.X The Trump administration's plan to slap tariffs on steel and aluminum imports has had a chilly reception from the energy industry and related sectors, as executives gather at CERAWeek 2018.On Tuesday, Pioneer Natural Resources (PXD) CEO Timothy Dove said the tariffs would have a ""negative impact"" on the shale exploration and production company's returns. On Monday, Plains All American Pipeline (PAA) CEO Greg Armstrong said the company has $1.5 billion in projects that use a lot of steel that could be impacted by the tariffs.And chemical giant DowDuPont (DWDP) told Bloomberg that it's considering a major investment in Canada or Argentina instead of the U.S. Gulf Coast because steel tariffs would make domestic construction more costly. Exxon Mobil (XOM), however, said Wednesday it plans to invest $20 billion in Gulf Coast refining projects.Perry, who touted the Trump administration's efforts to ease oil and gas regulations in his opening remarks, later told the press that he thinks the tariffs are an ongoing debate.""I'm not going to speak for the president today, but not sure he's made up his mind with clarity about where he wants to go with this,"" he said.Perry said Trump wants to send a signal to countries that use subsidies that hit U.S. manufacturing jobs, adding that he agrees with Trump that ""we need to be better negotiators, look for better deals for the United States.""DowDuPont shares slipped 1.5% on the stock market today and Exxon sank 3.2% amid a broad market sell-off. Pioneer Natural Resources fell 1%, and Plains All American dropped 2.4%.Use IBD's MarketSmith For Free Until March 11
"
7,PXD,"See stocks near a buy point, get chart pattern recognition and run custom screens. Start NowPerry also said he hasn't spoken with Gary Cohn, Trump's top economic advisor, about why Cohn decided Tuesday to resign.""Anyone who's worked with the White House for a year is getting a little burned out,"" he said, then added that he meant not just for this administration but any administration.YOU MIGHT BE INTERESTED IN: CERAWeek News And Energy Industry TrendsOPEC, Russia May Be Trapped By Flood Of Oil From U.S. Shale Producers
"
8,PXD,"HOUSTON —  Pioneer Natural Resources (PXD) CEO Timothy Dove said the success of the Permian Basin is a unique phenomenon that can't be replicated anywhere else.X Pioneer has been involved in the Barnett and Eagle Ford plays in Texas, but the Permian, with its 90,000 square miles and deep shale reservoirs, is ""demonstratively"" different from any other play in the U.S.While the industry debates whether U.S. shale's success can be exported to other potential shale plays around the world, like Argentina's Vaca Muerta formation, Dove thinks the success of the Permian and shale in general are distinctly American.""There are a lot of areas around the world that would love to have the opportunity to develop a shale basin but they don't have the infrastructure, land ownership opportunities, and service companies allowing them to do so,"" Dove said Tuesday at CERAWeek 2018, a top gathering of energy industry and policy leaders. ""We have the golden goose right before us.""Dove continued, saying the Permian is in the ""imagination of everyone in the oil business, including OPEC.""During a dinner meeting with OPEC and shale executives that he attended Monday night, Dove said OPEC believes shale has an important role to play in meeting new demand growth.But he also warned that President Trump's proposed tariffs on steel and aluminum imports would have a ""negative impact"" on Pioneer's returns.Pioneer shares closed down 1% at 169.96 on the stock market today.Use IBD's MarketSmith For Free Until March 11
"
9,PXD,"See stocks near a buy point, get chart pattern recognition and run custom screens. Start NowThe prolific Permian Basin has seen a swell of rigs in the past two years, jumping from 156 to 434, according to Baker Hughes (BHGE) data, and the basin accounts for a quarter of all the oil produced in the U.S., helping push total U.S. output to over 10 million barrels per day.And as technology continues to improve, companies in the Permian plan to expand their operations in the play, which the IEA estimates will double its production by 2023.XTO Energy President Sara Ortwein said the subsidiary of Exxon Mobil (XOM) plans to expand its rig count by 65% over several years in the Permian, tripling output from the play.But that doesn't mean exploration and production companies will drill in the Permian just to drill. Earlier Tuesday, ConocoPhillips (COP) CEO Ryan Lance said the company plans to take a measured approach in developing its Permian acreage.YOU MIGHT BE INTERESTED IN:ConocoPhillips: We 'Didn't Drill Our Brains Out' Like Shale Rivals DidCERAWeek News And Energy Industry TrendsRussia, OPEC Are In 'A New Type Of Family' As Alliance To ContinueEnergy Stocks And Industry News: Oil, Gas, Solar, CoalOPEC, Russia May Be Trapped By Flood Of Oil From U.S. Shale Producers
"
