,ticker,content
0,REG,"The country's leading funds the past three months continued to add medical and transportation stocks to their portfolios as the stock market continued to defy the economy's wall of worry. Purchases were made as the Nasdaq kicked off the summer with a gain of 3.9% in June while the S&P 500 rose 1.9%. Big drug firms Questcor Pharmaceuticals (QCOR), Shire[ticker…
"
1,REG,"Longtime readers of Investor's Business Daily (started in April 1984), IBD Weekly (which launched in May 2016) and Investors.com know that one of the keys to a rewarding breakout is volume, and lots of it.But in the current equities market, how much is really necessary?Try this yardstick. For large and megacap companies, expect volume to rise 40% to 50% above the 50-day average or higher on the breakout day. Did you grab shares in a small or mid-cap leader? If yes, don't act surprised if the share turnover doubles or triples the usual amount.As a stock gushes up in price and hits new highs, hearty volume is the ultimate indicator that mutual funds, hedge funds, banks, corporate finance departments, college endowments and the like are racing to grab as many as shares as possible. Their sustained buying powers a stock's path to new highs and marvelous gains.Yet today's Wall Street is not your grandfather and grandmother's Wall Street.As Regulation FD (""Fair Disclosure"") has created an environment in which many stocks tend to see big moves after, and not before, the reporting of quarterly results, IBD has noticed an increasing number of true market winners that don't see volume really pick up until days or weeks after surpassing the proper buy point in, say, a cup with handle or a flat base, another bullish chart pattern.Reg FD, enacted in August 2000 by the Securities & Exchange Commission, may not be the only reason for this recent phenomenon. Other factors may be in play. A stock may break out late in the afternoon. Turnover may be dull overall in the Nasdaq or on the Big Board. A stock may be moving right before or right after a three-day holiday weekend.Yet in this age of light-speed information, one can understand why even the biggest mutual funds, hedge funds and large advisory firms hesitate to move into a stock with serious size before earnings and fresh outlooks hit the wires.Take Apple (AAPL) as it rallied past a 118.12 buy point within a 12-week cup-with-handle pattern on Jan. 6, 2017. On those two days respectively, volume was flat and 7% higher than average. Yet the stock made a slow but steady ascent until it flew 6% higher on Feb. 1 in huge volume, 273% above average, following better-than-expected Q1 results the prior day.Apple has since rallied as much as 55% past the 118.12 proper entry point.When Nvidia (NVDA) initially moved past its cup-with-handle base with a 33.16 entry on March 16, 2016, (please see the accompanying weekly chart), turnover fell 6% below average. Two days later, volume picked up a decent 40% above typical levels as the stock rallied 3%.Notice how volume for the week grew sharply vs. the prior week (1). Demand among large fund managers intensified.Then the whales really jumped into the stock almost nine weeks later after the chip firm announced accelerating EPS and revenue growth. As Nvidia soared 15% to 40.98, volume ballooned 500% above average.Still, one should not ignore IBD's research on big winners in the dozens of past bull markets over the past century. A minimum 40% jump in breakout volume vs. the stock's 50-day moving average still boosts the odds of success. And among small or midcap stocks, it's quite normal to see turnover spike 100%, 200% or more above average on the breakout day.Breakouts also work much better in a solid market uptrend, less so in choppy conditions, and practically never in bear markets.When Microsoft (MSFT), which debuted on the Nasdaq on March 17, 1986, broke out of its initial four-month base on Oct. 17 the same year, volume surged 396% above average as shares crossed a 35.60 buy point. That day, 432,100 shares changed hands, vs. the 50-day average of 87,100.The market was near the end of a significant correction. And the king of operating-system software for the PC revolution went on to rally 345% until its Oct. 5, 1987, peak before Black Monday, on Oct. 19.(A version of this column was first published on Feb. 10, 2017. Go to MarketSmith via the home page of Investors.com to see a historical chart of Microsoft to learn the patterns that it and other great stock market winners traced en route to huge profits. Also, please follow Saito-Chung on Twitter at @IBD_DChung for more commentary on growth stocks, charts, breakouts and sell signals.)RELATED:IBD Founder Bill O'Neil Wins A New AwardThe Art Of Investing I: Master the Nuances, Details Of The Cup With HandleArt Of Investing II: Know The Precise Buy Point For Each Bullish PatternStocks Near A Buy ZoneHow To Find The Next Nvidia? Start With A Simple RoutineIBD Global Stock Leaders
"
2,REG,"Trading was halted in Longfin (LFIN) Friday after the Securities and Exchange Commission obtained a court order to freeze more than $27 million in purportedly illegal stock sales.XThe regulator is accusing the company's CEO and controlling shareholder Venkata Meenavalli of having more than 2 million unregistered shares issued to another director in the company. In addition, tens of thousands of restricted shares were also allegedly given to two other affiliates. Many are said to have been then illegally sold when the stock price rocketed after an announced cryptocurrency play.""We acted quickly to prevent more than $27 million in alleged illicit trading profits from being transferred out of the country,"" Robert Cohen, Chief of the SEC Enforcement Division's Cyber Unit, said in a press release. ""Preventing defendants from transferring this money offshore will ensure that these funds remain available as the case continues.""Longfin didn't immediately respond to a request for comment.Longfin shares had been up 47.3% at 28.19 on the stock market today before Nasdaq halted trading. Among other Bitcoin-related stocks, Riot Blockchain (RIOT) closed down 8%, Long Blockchain (LBCC) sank 6.8%, Overstock.com (OSTK) edged up 0.9%, Marathon Patent Group (MARA) fell 4.2% and Bitcoin Investment Trust (GBTC) also lost 4.2%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAccording to the filing, Amro Izzelden Altahawi, Dorababu Penumarthi, and Suresh Tammineedi illegally sold large blocks of their shares to the public when the firm's stock price rose following the announced acquisition of a purported cryptocurrency business last December. The stock shot up to 142 from 5 in its first three days of trading.Altahawi was corporate secretary and a director of Longfin, while Penumarthi and Tammineedi are accused of acting as nominees for CEO Meenavalli. Insiders usually have lockup periods ranging from 90 to 180 days before being allowed to sell their stock.The SEC has charged Longfin, CEO Meenavalli, Altahawi, Penumarthi, and Tammineedi with violating Section 5 of the Securities Act of 1933. The complaint seeks injunctive relief, disgorgement of ill-gotten gains, and penalties, among other relief.The stock exploded in December after the company announced that it acquired Ziddu.com, a blockchain technology provider that offers microfinance lending. Meridian Enterprises, which sold Ziddu, is a private Singapore company 95% owned by Longfin's CEO Meenavalli.Longfin's market capitalization exceeded $3 billion after its stock price rocketed, and the accused are said to have raked in more than $27 million in profits from the supposed scheme.The company's December initial offering had previously been touted as a successful example of the 'mini-IPO' rules known as Reg A+, which allow small businesses and startups to raise up to $50 million.YOU MAY ALSO BE INTERESTED IN:Under Siege, Steven Seagal Parts Ways With 'Bitcoiin'Still Bullish On Bitcoin? Read The Cautionary Tale Of This Blockchain Stock SEC Halts Trading In 3 Companies Over Crypto, Blockchain Claims The Coming Cryptocurrency Lobbying WarBitcoin And Cryptocurrency News And Trends
"
3,REG,"In a welcome move, Xenia Hotels & Resorts (XHR) saw its Relative Strength Rating improve from 68 to 72 on Wednesday. X This unique rating identifies market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price performance over the trailing 52 weeks stacks up against all the other stocks in our database. Over 100 years of market history reveals that the best stocks often have an 80 or higher RS Rating in the early stages of their moves. See if Xenia Hotels & Resorts can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksXenia Hotels & Resorts broke out earlier, but has fallen back below the prior 22.40 entry from a flat base. If a stock you're tracking clears a buy point then falls 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and entry price. Also understand that the latest consolidation is a later-stage base, and such bases are more prone to failure. While EPS growth decreased in the company's most recently reported quarter from -9% to -12%, sales rose -5%, up from -7% in the prior report. The company earns the No. 19 rank among its peers in the Finance-Property REITs industry group. CoreSite Realty (COR), Cubesmart (CUBE) and Regency Centers (REG) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,REG,"Five years ago last month, a Democratic President, a Democratic Senate, and a Republican House overwhelmingly agreed that the regulatory tax on capital was preventing small businesses from creating jobs. To address this, the JOBS Act was passed.The JOBS Act removed some of the regulatory tax by reducing or eliminating certain regulations for small business. The law established a category of companies with revenue under $1 billion known as emerging growth companies, or EGCs.EGCs are eligible for a streamlined IPO process and receive exemptions from certain rules once they become public. The JOBS Act also relaxed rules that apply to private securities offerings, and revived the long-dormant Regulation A market so issuers could pursue a ""quasi-public"" offering of stock.Unfortunately, due to the discretion that Congress gave to the SEC, many of these implementing regulations ended up being more complex than necessary. Consequently, the JOBS Act has not lived up to its full potential.While the JOBS Act led to a short-term spike in the IPO market, the U.S. still has less than half of the public companies that existed twenty years ago. While the cause of decline is unclear, what is clear is that the regulatory and market-structure environment remains inhospitable for small businesses.The SEC's disclosure regime has become increasingly costly to comply with, and trading rules under Regulation NMS (Reg NMS) do not work for small and microcap companies.  Not surprisingly, small companies choose to stay private or be acquired, rather than publicly access America's capital markets.The regulatory tax consists of the initial cost small businesses incur when taking a company public, the ongoing cost necessary to comply with regulations, and the quarterly cost of hiring extremely expensive experts to confirm a company's assumptions about its compliance program.The JOBS Act tried to reduce the regulatory tax on small businesses, but more can be done.Broadly speaking, we need a policy that will remove the power of decision-making from regulators and give it back to small-business owners and entrepreneurs. Only then can we create the right environment for entrepreneurs to take risks and create jobs.The current market structure for small-cap stocks is broken. To remedy this, we must recognize that one size does not fit all and treat EGC companies differently than mature companies.EGC issuers (current or future) should be able to opt out of having their securities classified as a Reg NMS Security. Reg NMS is a one-size-fits-all regulation that focuses on price and not on execution quality, and while it may be an efficient model for large-cap stocks that trade millions of shares a day, it is not appropriate for illiquid small caps with limited research coverage.It is time for policymakers to recognize that different tiers of equity market structure exist, that Reg NMS is not working for small-cap stocks, and that a viable trading option for these companies is badly needed.An EGC issuer should have the option to choose (1) the trading venue where it wants its stock to be listed, and (2) the appropriate tick-size increment for its listed stock. This choice would centralize liquidity for each EGC security on one trading venue and encourage venues to compete for EGC listings based on the incentives they provide to the EGC.Trading venues should be permitted to pay for market-maker programs in EGC securities. Broker-dealers who were compensated for market-making in EGC stocks would have an incentive to use those funds to expand research coverage of EGCs.Expanded research coverage, in turn, should stimulate investment by asset managers and others, including fiduciaries, who would have the information necessary to satisfy their due diligence obligations.We believe an increase in EGC investment by institutional investors, pension funds, mutual funds and asset managers should expand the available liquidity for EGC securities, improve execution quality and alleviate investors' fear that high transaction costs will devour their investment profits.High-frequency trading firms should also benefit from the opportunity to trade EGC securities in a deeper, centralized pool of liquidity. This would give EGCs the time they need to grow their businesses and graduate into the NMS system without harming liquidity or the flow of information to investors.During the EGC's IPO process, it should be allowed to meet with research analysts and investment bankers to discuss the valuation of the EGC and its industry peers.To facilitate a free-flowing discussion, pre-IPO valuation discussions should not be subject to Section 17 liability, although liability would remain for any misstatements in the offering documents.This is about investor protection. Analysts and bankers do not have the same agenda when they speak with a company about valuation. A research analysts' questions are focused on the future value of the company; bankers are focused on the current value of the company.Most important, an analysts' reputation and ability to continue to work in the industry rests on accuracy and independence. The Enron-like conflicts associated with keeping analyst ratings artificially high to preserve a steady flow of underwriting fees are not present with EGCs.EGC issuers should have the choice to opt out of the current quarterly SEC filing regime and only file an annual report supplemented by periodic material disclosures through 8-Ks, if that option appeals to their investors.EGC disclosure should be targeted and driven by the company and industry-specific information necessary for investors to make informed investment decisions. EGC issuers could provide information beyond the streamlined regulatory floor, but they wouldn't be liable to investors if they didn't.Together, these reforms will remove the regulatory tax on small-business capital, incentivize job creation and empower entrepreneurs — not federal or state government bureaucrats — to decide what is the highest, most efficient use of their company's capital.This is an American recipe for job creation that the president, members of Congress, and the SEC should pursue.
"
5,REG,"Last summer, at the first meeting of the Trump Leadership Council — an advisory group consisting of top CEOs from major companies — Donald Trump asked business leaders what their biggest problems were.I expected the answer to be America's anti-growth tax system. Almost all the CEOs did list the federal tax code as an albatross, but not the heaviest one. Instead, I was surprised to learn, most found the biggest restraint on growth to be federal red tape and regulation. Across all industries — manufacturers, energy firms, financial services, agriculture interests — federal rules were seen as mindless, inefficient, costly and incomprehensible.Trump is off to a speedy start in rolling back the rule-making industry in Washington. He has signed an executive order that mandates that any agency wanting to implement a new business regulation must at the same time repeal two existing regulations. This should reverse the tide of regulatory burdens. Yet there's so much more to be done. And Congress, not just the president, will have to play a lead role.Time out for a civics lesson: One of the mysteries of American government over the last half-century is why Congress has acceded so much lawmaking authority to what is now the fourth branch of government: federal agencies and interest groups. These agencies — the Securities and Exchange Commission, Federal Trade Commission, Food and Drug Administration and dozens more — have become fiefdoms that reign over private industries. They are effectively accountable to no one — and certainly not to Congress.But of course, Congress is supposed to make the laws — not unelected bureaucrats at the Environmental Protection Agency or the Commodity Futures Trading Commission. In the last decade or so, most of the big laws that affect private industry and consumers have been enacted by non-lawmakers.The excuse from Congress is that there are so many rules and regulations that the House and Senate can't possibly approve every one of them. Well, it's true that there are tens of thousand of these edicts. But isn't that the crux of the problem?A bigger problem is that agencies have become arrogant with power and desensitized to the impact of their litany of ""thou shalls"" and ""thou shall nots."" Martha Kent of the Occupational Safety and Health Administration once put the attitude of these bureaucrats succinctly: ""As long as I'm regulating, I'm happy."" She said she ""absolutely loves"" putting out ""a reg"" and that she was ""born to regulate."" This sounds like someone who is clueless about private industry.But who will stop these bureaucrats who are drunk with power?A new analysis by my colleague Jason Pye at FreedomWorks finds that under Barack Obama there were well over 500 new regulations with costs to the economy of more than $100 million each. That means these imposed a minimum of $50 billion of cost to the economy. How many of these were overturned by a mostly Republican Congress? Except for the roll back of some midnight regulations passed by Obama, the answer is exactly zero.The solution is a law that requires congressional approval before a regulation takes place. If I had my way, each and every new rule would only take effect after a vote of approval by the House and Senate. If they have to stay up until midnight to do it, so be it. That's what we pay these people for. At the very least, the Regulations in Need of Scrutiny Act (or the ""REINS Act"") would require congressional approval of any rule with a cost of $100 million to workers, employers or consumers.The CEOs on the Trump Leadership Council who called regulation the greatest threat to American prosperity weren't making this stuff up. A 2010 study by the Small Business Administration estimated regulations cost small businesses $1.75 trillion a year. That's more than the entire annual output of Pennsylvania and Ohio combined.This is a gigantic tax on the American economy — almost like a second income tax — sapping us of strength. The regulators enjoy doing it, and it will continue unabated unless Congress stops complaining about regulation and actually does something about it.RELATED:Donald Trump News & TweetsTrump's Plan To Cut Regulations Will Face A Surprising FoeFederal Regulations Now Cost Almost $1.9 Trillion, Study Finds
"
6,REG,"Eli Lilly (LLY) could benefit to the tune of $1.7 billion in 2025 on expanded Jardiance sales, Evercore analyst John Scotti said Friday after the U.S. Food and Drug Administration approved another indication for the diabetes drug.In the stock market today, Lilly stock jumped 2.6% to 67.71, following the FDA decision. But shares still are down 13% since Nov. 22, when Lilly announced its Alzheimer's drug solanezumab had failed to significantly improve on cognition.On Friday, the FDA approved Lilly's new drug application (NDA) for Jardiance to be used in reducing cardiovascular mortality in adults with type 2 diabetes mellitus. Cardiovascular death is 70% higher in adults with diabetes than adults without, according to the Centers for Disease Control and Prevention.Lilly co-developed Jardiance with Germany's Boehringer Ingelheim.IBD'S TAKE: As Eli Lilly stock tanked last week, Apple stock retook a buy point and FANG stocks surged ahead. Make sure to keep tabs on IBD's Week In Review for leading and lackluster stocks each week.Bottom line, the indication allows Lilly to promote Jardiance for its CV reduction qualities vs. having them buried in the data, Scotti wrote in a research report. But it's somewhat controversial. In June, an advisory committee voted 12-to-11 to allow Lilly to promote the CV side.""The narrow vote clearly reflects the committee's mixed feelings of whether EMPA-Reg CVOT (cardiovascular outcome trial) provided substantial evidence that the drug reduces CV mortality in the population studied,"" Scotti wrote.Regardless, the expanded indication for Jardiance bodes well for Lilly and the entire SGLT-2 class, Scotti says. SGLT-2s are proteins involved in glucose reabsorption in the kidneys. Inhibitors, like Jardiance, lead to a reduction in blood glucose.Lilly anticipates further indications, expected in 2017, to be catalysts for Jardiance sales, Scotti said.RELATED:
"
7,REG,"Eli Lilly Topples As Alzheimer's Darling Sola Fails; Biogen, Merck Down
"
8,REG,"Celgene, Kite, Spark Look To Sidestep Lilly Alzheimer's Flop
"
9,REG,"Regency Centers (REG) will merge with Equity One (EQY), the companies announced Monday night, creating the largest shopping center real estate investment trust by market cap.The pro forma equity market capitalization is $11.7 billion with a total market capitalization of $15.6 billion, the companies said in a statement. They expect the deal to close in Q1 2017.Equity One shareholders will get 0.45 share of new Regency Centers stock. That would be worth $31.44 as of Monday's close.Equity One rose 14.8% to 31.99 in late trading after climbing 2.2% to 27.87 on the stock market today. Regency was not active late. Shares closed up 1.8% to 69.86.Equity One, Regency shares have fallen in recent months as Treasury yields have risen from historic lows, making the REITs and other yield plays relatively less attractive. That includes REIT giants Simon Property Group (SPG), American Tower (AMT) and Public Storage (PSA).The merger will create a national portfolio of 429 properties encompassing more than 57 million square feet, including co-investment partnerships.
"
