,ticker,content
0,RJF,"The stock market closed near session highs, making some hefty gains as Nasdaq heavyweights Facebook (FB) and Alphabet (GOOGL) seemed to find a second wind.X The S&P 500 climbed 0.9%. Mining, steel and coal were the best-performing industry groups of the day, rallying as much as 4.5%. The Dow Jones industrial average added 0.7%. Small caps sprung back to life as the Russell 2000 leaped 1.4%. Volume fell, according to unconfirmed figures.The Nasdaq increased 1.4% also. Of importance to chart readers, the composite bounced after pulling back to its 50-day moving average. A few of the Nasdaq's top components made similarly positive moves at that key price indicator.Google parent Alphabet made a bullish price reversal, closing with a gain of 1.3% and slightly back above the 50-day moving average. That line has continued to trend higher despite Alphabet's sell-off two weeks ago. Facebook found support at the 50-day line much the same way the Nasdaq did. Microsoft (MSFT) reversed higher after a brief dip below its 50-day line.Financials continued the week's advance, and several high-rated stocks in the sector topped buy points. But in most cases, volume was insufficient to believe institutional investors were buying heavily.Raymond James Financial (RJF) broke out of a cup-with-handle base, clearing the 79.65 buy point. Volume rose 40% above average, a good indication of institutional buying. The financial services firm ramped up earnings 45%, 66% and 42% the past three quarters.Fair Isaac (FICO) rose above the 139.10 buy point of a base-on-base pattern. Shares closed above the entry, but volume was about just average. The consumer credit-rating agency has a mediocre EPS Rating, but its chart shows constructive action.Guaranty Bancorp (GBNK) moved past the 26.60 buy point of a cup with handle, but volume in this move was about half the stock's normal volume. Lazard (LAZ) tried to break out past the 47.19 buy point of a flat base, but closed below the entry. Volume was 27% below average, which only added to doubts about the breakout attempt.Only a dozen stocks fell in Stocks On The Move, an unusually low number. On that list, Gildan Activewear (GIL) broke a productive streak as it tumbled 2% in active trading. The stock is still 5% above its 29.34 buy point. The company announced late Tuesday the resignation of Patrik Frisk from its board to become chief operating officer at Under Armour.RELATED:JPMorgan, Bank Of America Lead Bank Rally Amid Strong Payout HopesGoldman: TrumpCare Is Toast, S&P 500 Falling To Here By Year's EndFacebook: 2 Billion Served And Counting As Milestone Reached 
"
1,RJF,"As big bank stocks like JPMorgan Chase (JPM), Bank of America (BAC) and Morgan Stanley (MS) show signs of a rebound, fellow financial sector stock Raymond James Financial (RJF) is also trying launch a new breakout. The brokerage, investment banking and asset management firm, which has over 2,700 offices, got an upgrade to its Relative Strength (RS) Rating Friday, with a jump from 68 to 73.History shows that the market's biggest winners typically have an 80 or higher RS Rating in the early stages of their moves. See if Raymond James Financial can continue to show renewed price strength and hit that benchmark.Raymond James Financial is building a flat base with an 82.02 entry. It got back above its 50-day line in heavy volume Thursday and was adding to those gains on Friday. See if it can break out in heavy trading.While earnings growth decreased in the company's most recently reported quarter from 66% to 42%, sales rose 19%, up from 18% in the previous report.The company earns the No. 8 rank among its peers in the Finance-Investment Banking/Brokers industry group. MarketAxess (MKTX), Houlihan Lokey (HLI) and Moelis & Company (MC) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,RJF,"XApparel retailer Urban Outfitters (URBN), communications company Frontier Communications (FTR) and solar-energy firm First Solar (FSLR) will be removed from the S&P 500 index as of March 20, S&P Dow Jones Indices said on Friday.The moves came after S&P Dow Jones Indices raised the S&P 500 index market-cap guidelines to $6.1 billion or more, up from $5.3 billion or more. That decision was effective Friday.Urban Outfitters, Frontier and First Solar will be replaced by chip company Advanced Micro Devices (AMD), Raymond James Financial (RJF) and REIT Alexandria Real Estate Equities (ARE).Urban Outfitters fell more than 1% in late trading on the stock market today, while Frontier edged lower and First Solar lost 2%.AMD, one of the hottest stocks over the past year as its chips benefit from booming new markets, rose more than 5% late after surging almost 7% during the past week. Raymond James and Alexandria Real Estate advanced about 1%.The S&P 500 additions and removals will take place before the market open on Monday, March 20.""Based on our review of the market's progress — the S&P 500 is up 5.5% since the start of the year and 19% over the last 12 months — the Index Committee has revised the market cap guidelines for the S&P 500, S&P MidCap 400 and S&P SmallCap 600,"" David Blitzer, managing director and chairman of the index committee, said in a statement.RELATED:Weekend Watch List: Best Stocks To Buy And TrackWhy The Charts Look Good For These Two Big Caps
"
3,RJF,"XSoftware giant Synopsys (SNPS) will be added to the S&P 500 Index before the market opens on Thursday, S&P Dow Jones Indices said today. It replaces Harman International (HAR), a company bought by Samsung on Friday that makes car audio systems and connected-car technology.The swap-out comes after S&P Dow Jones Indices on Friday said that Advanced Micro Devices (AMD), whose chips and graphics processors lifted its stock last year, investment firm Raymond James Financial (RJF) and real estate investment trust Alexandria Real Estate Equities (ARE) would be added to the S&P 500 on March 20.The decision to add those stocks was the result of higher minimum market-cap guidelines for the index that took hold Friday. The new guidelines call for a market cap of at least $6.1 billion, up from $5.3 billion.Those guidelines were raised following a 5.5% rise in the index year to date and a 19% jump over the past 12 months, and were intended to reflect the index's market-cap range, S&P Dow Jones Indices said  Friday.The addition of AMD, Raymond James and Alexandria Real Estate came at the expense of apparel retailer Urban Outfitters (URBN), communications outfit Frontier Communications (FTR) and solar-energy company First Solar (FSLR), which will all be removed from the S&P 500 on March 20.Shares of Synopsys, which has a Composite Rating of 97, were up 0.4% in late trading on the stock market today, after closing 0.4% higher at 72.09. The stock cleared a flat base in January and is up 56% over the past 12 months.AMD, meanwhile, finished up 2.7%. Urban Outfitters, which like many retailers has struggled with the rise of online shopping, fell 3.8%. Frontier fell 1.4% and First Solar rose 1.3%.RELATED:Why The Charts Look Good For These Two Big CapsThese 3 Defense Stocks Are Near Buy Points Ahead Of Trump Budget 
"
4,RJF,"The Dow Jones industrial average, S&P 500 index and Nasdaq composite will look to bounce back after snapping multi-week win streaks. All three indexes did enjoy slim gains on Thursday and Friday.But futures for the Dow Jones industrial average and S&P 500 index fell 0.2% vs. fair value as of early Monday morning in New York. Nasdaq 100 futures edged down less than 0.1%.Advanced Micro Devices[ticker symb=AMD] is likely to see further gains on Monday, while First Solar (FSLR) and Urban Outfitters (URBN) should fall as the S&P 500 index is reshuffled. Meanwhile, Tesla (TSLA) and U.S. Steel (X) will try to regain key support levels?Crude oil futures slipped to about $48 a barrel overnight.Last week U.S. crude oil futures prices crashed 9% to $43.49 amid booming U.S. production and stockpiles, pressuring Dow components Exxon Mobil (XOM) and Chevron (CVX) as well as a slew of other energy stocks. Meanwhile, Treasury yields tested recent peaks ahead of this week's Federal Reserve meeting, with policymakers expected to raise rates by a quarter-point on March 15.AMD, Raymond James Financial (RJF) and REIT Alexandria Real Estate Equities (ARE) will join the benchmark S&P 500 index before the open on March 20, S&P Dow Jones Indices said on Friday. Meanwhile, Urban Outfitters, First Solar and Frontier Communications (FTR) will be removed.AMD shares jumped 5% in late trade Friday following news of the S&P 500 changes. That follows last week's near-7% rebound as the chipmaker found support just above its 50-day line. AMD has surged 515% in the 12 months ended Friday.Raymond James Financial and Alexandria Real Estate showed more modest moves late Friday. Meanwhile, First Solar, Urban Outfitters and Frontier Communications retreated.Tesla and U.S. Steel fell every day last week, with both slipping below their 50-day lines.The 50-day moving average is technically important, because it's an area where mutual funds and other big institutions often step to support a stock and add to holdings. But it can also act as a ceiling.Tesla has pulled back since its mixed earnings report and CEO Elon Musk's admission that his company may raise fresh capital because he said Model 3 spending will push cash levels ""close to the edge."" Tesla also recently disclosed that it does not have a final Model 3 ""prototype B"" with factory parts, even as production is supposed to start in July and rapidly pick up steam.U.S. Steel and other steel makers such as Nucor (NUE) have been making moves above and below their 50-day for several weeks. Steel stocks soared after the election as investors saw the sector benefiting from President Trump's proposed tax cuts, infrastructure spending and trade protectionism. But it's unclear when or if such policies will be enacted.China's short-message social network Weibo (WB), which has fallen from highs following its latest earnings report in late February, also undercut its 50-day line last week.Japan's Nikkei index rose 0.2% Monday intraday, China's Shanghai composite advanced 0.6% while Hong Kong's Hang Seng jumped 1.25%.RELATED:These Three Companies Will Get Yanked From The S&P 500 IndexTesla Goes Into Reverse After Q4 Loss; Musk Says Cash 'Close To The Edge'What You Need To Know As An Investor This Week: Investing Action PlanU.S. Oil Rig Count Highest September 2015 As Crude Caps 9% Weekly Loss   
"
5,RJF,"Nuveen Large Cap Growth Opportunities Fund's (FIGWX) recent surge since the elections and since the Federal Reserve's December rate hike has given retirement-account and other investors reason to cheer.In the trailing three months going into Thursday, the $300 million fund's 10.45% gain topped 93% of its large-cap growth peers tracked by Morningstar Inc., all of which averaged an 8.66% advance. The broad market, measured by the S&P 500, gained 8.33%.For the Nuveen fund, that's way better than the mere 34% of direct rivals it outpaced in the past 12 months with a not-so-shabby 24.20% return.The difference between now and the earlier period? Within their overall investment approach, fund managers Harold Goldstein and David Chalupnik favored stocks likely to get an extra tailwind from the elections and from rising rates. Those had to be stocks that fit their basic approach, which is the pursuit of stocks they think will have faster earnings growth than the market expects.They paid for that by cutting stable and defensive consumer staples stocks by 7% in the fourth quarter and consumer discretionary stocks by 6%, the fund's fourth-quarter commentary notes.The managers pumped up their financials by 7%, mostly the day after the elections. They boosted technology by about 3% and energy by 2%.They began positions in Signature Bank (SBNY), SVB Financial (SIVB), Raymond James (RJF) and TD Ameritrade (AMTD).All of those newcomers have very strong Composite Ratings from IBD in the high 80s or 90s. The Composite Rating, which starts at 1 and runs to 99, combines IBD's five performance ratings. Stocks poised to move higher often have a Comp Rating of 95 or higher.In addition to a sterling 96 Comp Rating, SVB Financial is the No. 3-ranked bank in IBD's superregional industry group, thanks to growth metrics like four years in a row of earnings per share (EPS) growth and a 39.7% annual pretax margin.IBD'S TAKE: SVB Financial is ranked No. 3 in the No. 1-rated Banks-Super Regional group. See which superregional bank is No. 1, and how these financials stack up on easy-to-understand fundamental and technical data at IBD's Stock Checkup.The bank is headquartered in Silicon Valley, a hotbed of innovation. Its nonbanking businesses include asset management, private wealth management, brokerage and investment services, funds management, and business valuation services.Raymond James is No. 2 in IBD's Finance-Investment Bank-Bankers group. It is propelled by factors like its fourth-quarter 47% EPS growth and eight straight quarters of increasing ownership by mutual funds.In tech, the fund opened a position in Broadcom (AVGO), a chipmaking company whose EPS growth has accelerated for three quarters. On IBD's Leaderboard, the company makes analog and digital semiconductor systems for wireless communications and broadband communications.Goldstein and Chalupnik like the semiconductor space's economic sensitivity. And they like Broadcom's role among leaders of consolidation within its industry.In energy, the fund added new positions in Concho Resources (CXO) and Parsley Energy (PE), and added to its stake in Pioneer Natural Resources (PXD).""(We) added exposure to several growth-oriented exploration and production firms as a result of the generally improved outlook for oil pricing and supply,"" the managers wrote.In health care, the fund's overall weight stayed basically unchanged in the immediate postelection period. But the fund made individual stock moves.It started a stake in Incyte (INCY), which the managers call a fast-growing young biotech firm with an exciting pipeline of cancer-fighting treatments.To pay for Incyte, the fund used proceeds from the sale of two drugmakers, Allergan (AGN) and Bristol-Myers Squibb (BMY), which it had owned a long time.The managers think Allergan has grown so large that it can no longer grow much faster than its industry. They sold Bristol-Meyers because test results dimmed the outlook for a lung cancer therapy it was developing.The managers summarized their approach this way: ""The portfolio continues to be reasonably balanced from a sector standpoint as well as measured by other factors. The fund's largest overweight is in the area of companies with high growth potential that we believe can perform well somewhat independent of the economic cycle. We are always looking for exceptional growth companies that we believe have solid and/or improving fundamentals, a reasonable valuation and an approaching catalyst.""RELATED:Why This Victory Munder Fund Likes Semiconductor Gear Makers And Non-ObamaCare Health StocksWhere Mutual Fund Bigwigs Expect To See Stock Gains In 2017
"
6,RJF,"Now that President Trump has ordered a delay of the Labor Department's controversial new fiduciary rule, which industry groups potentially stand to gain the most?The rule, which is slated to take effect April 10, requires financial advisors and brokers to recommend investments in the best interests of clients instead of those merely suitable. That would force advisors and brokers to put clients' interest ahead of their own profit.Financial firms have been deeply concerned about the potential effects of the new rule since it was approved last year. They fear it will hike advisory costs, making it less affordable for lower-income clients. That's why the delay has sharply boosted major banks and investment brokers.As of Thursday, 10 financial-related industry groups made the top 20 of the 197 groups tracked by IBD. Life insurance, investment bankers and brokers, and money center banks have seen big recent gains.The life insurance group includes highly rated stocks such as Primerica (PRI), which bears a 98 Composite Rating but is extended from a 73.15 flat-base buy point. The Duluth, Ga.-based insurer is a Leaderboard member. Lincoln National (LNC), with a 91 Composite, is near the top of its buy range from a 69.69 flat-base entry. New issue Athene Holdings (ATH) (95) is extended from a 48.82 buy point of a flat base. Shares have rallied nearly 30% from a 40 offering price at the Dec. 9 debut.The investment bank group includes asset managers such as Raymond James Financial (RJF), Charles Schwab (SCHW) and Piper Jaffray (PJC). Raymond James is trading near all-time highs as shares ride the 50-day moving average higher. The St. Petersburg, Fla.-based company shares the top Composite Rating, 99, in the 30-stock group.The money center banks group, which includes Bank of America (BAC), Goldman Sachs (GS), JPMorgan Chase (JPM) and Morgan Stanley (MS),  jumped 3% Feb. 3 on the news of the delay. The group remains near highs, following a 24% rally from its close on Nov. 8, election day, to its Jan. 13 peak.All the above stocks (except Athene) have posted 28% or better gains since Trump was elected Nov. 8, amid views that he would loosen regulation in the financial market.IBD'S TAKE: Primerica and Lincoln National are among financial and insurance stocks enjoying a ""Trump Bump."" Find out who some others are in this recent Sector Leaders article.Morgan Stanley owns the top Composite, 98, in the group. Shares are far extended from a 32.47 cup-with-handle buy point first cleared in October. The stock triggered the 20% to 25% profit-taking rule in November and has been making new highs. Bank of America's 95 Composite is second best in the group. Shares of the Charlotte, N.C.-based banking giant have bounced off the 50-day line after consolidating sideways the past two months. They tripped the profit-taking rule in late November.Goldman Sachs (also 95), which entered the profit-taking zone in mid-November, also has found support at its 50-day moving average. It's now extended from a bounce off the line near 232.Proponents of Trump's delay action include the Investment Company Institute, the mutual fund industry's trade organization. ""ICI supports a delay in implementation of the current DOL fiduciary rule,"" ICI President and CEO Paul Schott Stevens said in a statement. ""The Administration should use this time to address flaws in the rule and pursue a harmonized standard across the retail and retirement marketplace, coordinating with the Securities and Exchange Commission to ensure investors' best interests are paramount.""The Financial Planning Coalition, a consumer advocacy group, issued a statement saying it ""strongly opposes"" Trump's delay: ""By issuing this memorandum, the President is directing the Department of Labor to produce an outcome that will likely lead to either a complete gutting of this thoroughly vetted consumer protection or lead to its outright demise. Either one is a bad outcome for American retirement savers.""RELATED:Trump Orders Delay Of Labor Department Fiduciary RuleJPMorgan, Charles Schwab, Goldman Jump On Trump's Regulatory Rollback
"
7,RJF,"The country's best-performing stock mutual funds in the past three months continued to stock up on banks, financials, and chips stocks in their latest reporting periods.Building issues, such as Thor Industries (THO), Eagle Materials (EXP), Apogee Enterprises (APOG) and Trex (TREX) have been performing well. Construction stocks may benefit from President Trump's plans to ramp up infrastructure projects and build a wall along the U.S.-Mexican border.A handful of chips stocks consistently show up on the new buys list, including Advanced Energy Industries (AEIS), Inphi (IPHI), Applied Materials (AMAT) and Nvidia (NVDA), which boasts an estimated $449 million invested by 46 top-notch funds. Internet stocks GrubHub (GRUB) and LogMeIn (LOGM) were also favorites among elite money managers.As the stock market continued to ride the waves of Trump rally in January, banks have been basking in the glory of rising rates. Forty-three leading funds added big bank Morgan Stanley (MS), investing an estimated $402 million. Investors also like regional banks, such as Citizens Financial Group (CFG), SVB Financial Group (SIVB) and  Zions Bancorp (ZION).Financial investment banks and brokers Evercore Partners (EVR), Raymond James Financial (RJF) and E-Trade Financial (ETFC) were solid performers.IBD noted 20 top-performing funds buying GrubHub, investing an estimated $27 million in their latest reporting periods. The $2.5 billion Alger Capital Appreciation Fund (ACAAX) owned a small stake in the firm.The online mobile food-ordering firm makes it easy for hungry diners to order food delivery from its mobile app. The Chicago-based company continues to add more restaurants to their offering, giving diners more options, thus driving growth.The company will announce fourth-quarter earnings on Feb. 8.Since hitting a 52-week high at the end of September, GrubHub has been working on the right side of a shallow consolidation. It's currently sitting just 7% off its high. Read more GrubHub on IBD Stock Analysis on page B8 and last week's New America on page A20.While banks were being bought by top funds overall, it's not unusual to see some profit-taking by the nation's top funds as well. JPMorgan Chase (JPM), Regions Financial (RF), US Bancorp (USB), M&T Bank (MTB) and SunTrust Banks (STI), which have hit recent 52-week highs, were among the latest sells by top-performing funds.RELATED:Top Tech Stock Caters To Hungry Diners, Investors
"
8,RJF,"The postelection stock market euphoria got a slight damper at the end of November as mutual fund investors realized global economies were still facing a lot of uncertainties, which could spur further volatility.The S&P 500 soared to its high of 2213.35 on Nov. 25. It then gave back a small portion of its gains to end the month up 3.4%. Friday's positive job-market report helped equities tick back up as unemployment came in at a surprise 4.6%, the lowest level in nine years. With that, a Fed rate hike in December is nearly a certainty.U.S. diversified equity mutual funds on average surged 5.19% in November, bringing their yearly return to 9.1%, according to Lipper Inc. By far, the winners were small-cap value funds, scoring an impressive 12.19% and boosting their 2016 gains to 22.47%. Their growth counterparts also did well, jumping 7.91% for a yearly gain of 9.18%.  Large-cap value funds rose 6.25%, while their growth counterparts only scored 0.72%. Equity income funds surged 4.13% in November and 11.49% year to date.Click Here To See A List Of Mutual Fund Six-Month LeadersBond mutual funds continued their downward slide with the 10-year Treasury yield surging 56 basis points and ending the month at 2.37%. Taxable fixed-income funds shed 1.68% on average, while municipal bond funds fell 3.37%.""Everything that we're analyzing — including taxes, trade, fiscal spending, deficits, interest rates, monetary policy, the dollar — all of these are very fluid situations,"" said Brian Flanagan, senior equity portfolio manager at Thrivent Asset Management and lead manager of the Thrivent Mid-Cap Stock Fund Class A (AASCX).Click Here To See A List Of Mutual Fund Category Performance On top of these, there were a number of conflicts present around the world before the election, he pointed out. Events such as Brexit, as well as the French and German elections, could rattle the markets even further. Just recently, European Central Bank's Mario Draghi warned of the risks to innovation, competition and productivity in the U.K. and to a lesser extend in Europe if the U.K. were to adopt a protectionist stance in the areas of trade, migration and foreign direct investment.That said, Bill Nygren — partner and portfolio manager at Harris Associates and manager of the Oakmark Select Fund (OAKLX), Oakmark Fund (OAKMX) and Oakmark Global Select Fund (OAKWX) — believes that equities represent the most attractive asset class: ""P/Es are very slightly higher than historical averages, but when you compare that to other choices like cash, that's yielding almost zero, or long-term bonds that are yielding only a couple percent, that small premium to historical averages seems like a good deal for equities relative to bonds or cash.""Nygren warns against loading up on high-dividend-paying names in the equity market that have been used as a substitute for low yields in fixed income. Those include the relatively stable businesses such as utilities, telecom and consumer packaged goods. He points out that these companies ""typically haven't traded at a premium to the market multiple and multiples on these stocks today are quite high. So . . . the business models that have a little more volatility, like the financial service companies, that have very low valuations relative to their historical valuations, are not only more attractive, but potentially safer investments than the overpriced low-risk businesses.""A name he likes in his $15 billion Oakmark Fund is Ally Financial (ALLY), one of the largest auto financing companies. He likes the fact that Ally is highly profitable, meets its capital requirements, and is expected to aggressively buy back shares. ""Like the other financials, one of the reasons Ally is priced cheaply is investors overweight the memory of the financial collapse in 2007-08.""Despite Oakmark Fund's value tilt, Google owner Alphabet (GOOGL) is its largest holding besides the financials. Not only does he expect Google to grow faster than an average company in the S&P 500, but Nygren believes you get YouTube, AI and autonomous driving businesses nearly for free.OAKMX is up 16.57% year to date through Dec. 1, comfortably outpacing the S&P 500 by over 7% and ranking first among 1,369 of its Morningstar peers.Thrivent's Flanagan finds that regional banks provide a lot of value. The $1.5 billion Thrivent Mid-Cap fund holds financial names such as Zions Bancorp (ZION), First Republic Bank (FRC), Raymond James Financial (RJF) and KeyCorp (KEY). Their stocks have all made strong runs higher this year.The fund's largest holding is NVIDIA (NVDA). ""Their core market was gaming, which continues to do incredibly well. And they've created a common platform across a number of industries where they can use their graphic-processing units to accelerate development,"" said Thrivent's Flanagan. Those markets include autonomous driving, artificial intelligence and data centers.The stock slipped from new highs in the past week amid a broad chip pullback.Thrivent Mid-Cap Stock Fund has surged 24.76% in 2016, impressively ahead of gains by its peers and the S&P 500 of 9.41 and 12.13%, respectively. The fund's average three- and five-year returns are also solid, at 13.09% and 16.25%.Jeremy Javidi, senior portfolio manager at Columbia Threadneedle Investments and co-manager of $612 million Columbia Small-Cap Value Fund I (CSMIX), has an overweight in financial services, accounting for more than 33% of the fund's assets.""We're very positively inclined to insurance stocks. They benefit as interest rates rise,"" said Javidi. He purchased American Equity Investment Life (AEL) in April. The stock had sold off in an overreaction to the unveiling of the Department of Labor fiduciary rule. ""Our longtime horizon has allowed us to pull the trigger fast when we saw the market misinterpret what the future outlook would be for a stock like AEL,"" he said.He also bought UMB Financial (UMBF) in December 2015 at $47. ""A little-known fact is they're actually the sixth-largest HSA depository in the country. Those HSA deposits have grown 40% each of the last three years,"" Javidi said.He believes utilities and REITs are no longer attractive. Instead, he looks at dividend growth rather than dividend yield. Other sectors he's constructive on are health care and energy. His microcap value fund is up 27.55% year to date.Craig Hodges, CEO and CIO at Hodges Capital and manager of $356 million Hodges Fund (HDPMX), picks industries and companies that have high barriers of entry, such as cement, steel, corrugated paper and even airlines. The midcap stock fund holds names such as United States Steel (X), U.S. Concrete (USCR), Matador Resources (MTDR), American Airlines (AAL), Adidas (ADDYY) and Duluth Holdings (DLTH). Hodges Fund has sprinted 38.79% this year and is the top fund among 630 funds in its Morningstar category.RELATED:New Buys Of Top Rated FundsLatest Sells Of Top Rate Funds 
"
9,RJF,"The spike in borrowing costs in response to President-elect Donald Trump's pro-growth agenda is causing some heartburn in America's housing industry. San Diego mortgage broker Shanne Sleder said a third of his clients, many of whom were already stretching budgets to buy homes in pricey Southern California, are having to reconsider what they can afford as rates soar.""With a number of the people we were in the middle of preapproving, as rates are going up, it's getting tighter and tighter qualifying them,"" Sleder said. He's urging them to lock in rates. ""In some cases, the higher rates are making it so they are not as comfortable with the payment.""With investors anticipating faster expansion and inflation from Trump's policies, the yield on the U.S. 10-year note — a bellwether of changes in mortgage rates — has jumped more than 35 basis points since the Nov. 8 presidential election, the biggest three-day increase since 2009. Home loans may be beginning to follow suit: The average rate for a 30-year fixed mortgage was 3.94%, up from 3.57% last week and the highest since January, Freddie Mac (FMCC) said in a statement Thursday. The average 15-year rate rose to 3.14% from 2.88%, the McLean, Va.-based mortgage-finance company said.A sustained surge in borrowing costs could further hinder first-time purchases at a time when rising values are already hurting affordability and pricing out buyers in many markets. What's more, the backup in rates would leave the economy wanting of a boost from residential construction that's failed to contribute to growth for two consecutive quarters.""It's not helpful at all for the housing market, and it also bears watching in terms of how bad it gets,"" said Scott Brown, chief economist at Raymond James Financial (RJF) in St. Petersburg, Fla. The housing rebound ""could be even more moderate than it has been.""Larry Seay, who retired in March as chief financial officer of builder Meritage Homes (MTH), said rising rates will also limit the ability of developers to raise prices, pinching margins. Buyers will look for smaller, cheaper homes and builders will probably look for opportunities to accommodate them, he said.""It's going to be incumbent on builders to manage cost better because they won't be able to pass on the cost increases with higher home prices,"" Seay said.While mortgage rates remain near historic lows, action in funding markets is reminiscent of the so-called ""taper tantrum"" in 2013. That's when yields surged after then-Federal Reserve Chairman Ben Bernanke said that the central bank would soon start slowing the pace of bond purchases.In August 2013, after mortgage rates climbed above 4.5%, sales of previously owned homes proceeded to fall nearly 8% by year-end. Existing-home purchases are tallied a month or two after a contract has been signed.An increase in mortgage rates may prove temporary, though, because ""we still have a backdrop of slow global growth, low inflation and an aging populace in most developed markets,"" said Greg McBride, chief financial analyst at financial services company Bankrate. ""Those are factors that brought about low rates and kept rates low.""The nation's housing market has been grinding higher, helped by sturdy employment gains, nascent wage growth and attractive borrowing costs. A potential next leg up was first-time buyers. Higher mortgage rates that are sustained, however, would mean less buyer traffic of that segment of the market.""First-time buyers look at the monthly total, at what they can afford, so if the mortgage is eaten up by a higher interest expense then there's less left over for price, for the principal,"" said Tom Simons, a senior economist at Jefferies. ""Buyers will be shopping in a lower price bracket, thus demand could shift a bit.""Home prices are currently rising about 5% on a year-over-year basis. That's kept an index of housing affordability hovering near the lowest level since the end of 2008, according to the National Association of Realtors.Many buyers ""are already stretching to begin with,"" said Sleder, the San Diego broker, who works at West Coast Mortgage. ""If it continues in this direction, it's going to push more and more people out of the market.""""Eventually, if rates go up to where people are not putting offers in any more, sellers are going to lower their market price,"" he said.MORE ABOUT THE HOUSING MARKET:Mortgages Slump While Homebuilder Confidence Climbs, Data ShowWhich Rebounded Higher After The Recession — Home Prices Or Stocks?A Flare-Up In Foreclosures 
"
