,ticker,content
0,RL,"The stock market slipped lower early Wednesday but was well off its morning lows amid continued China-trade worries and retail giant Target's (TGT) missed earnings. Meanwhile, investors digested a slew of other earnings releases among retailers, like Ralph Lauren (RL), which is breaking out today. (For updates on this story and other market coverage, visit Stock News Today.)XThe tech-heavy Nasdaq narrowed its loss to less than 0.1%, while the S&P 500 eased 0.2%. The Dow Jones industrial average was also down 0.2%.Among companies reporting earnings, Target floundered by 5% after missing its Q1 earnings targets early Wednesday. The stock is seeking support at its 50-day line, as it works on a flat base with a 78.80 buy point.Other retailers also reported earnings ahead of the trading session, including fashion brand Ralph Lauren, Urban Outfitters (URBN) and Tiffany (TIF).Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseRalph Lauren is once again breaking out above a cup with handle's 116.79 buy point — according to MarketSmith chart analysis — as the stock surged about 14%. The fashion company reported a surprise increase in fiscal-Q4 earnings. Shares are extended from the entry.Urban Outfitters rose over 1% after crushing the Street's Q1 estimates late Tuesday. Shares are well-extended from a 36.20 flat-base entry and above their 50-day line — a key support level.High-end jewelry seller Tiffany soared 16% on the company's better-than-expected Q1 results. The company also raised its full-year guidance and approved a $1 billion repurchase program. The stock tried to break out past a 104.46 cup-with-handle entry last week but was turned away ahead of the earnings announcement. Shares are now extended from the buy point, as the stock surges to new highs.After the close, NetApp (NTAP) will announce its fiscal-Q4 results. Analysts expect the company to earn $1.01 per share on revenueof $1.59 billion. The stock has been steadily moving upward since a cup-with-handle breakout above a 44.92 buy point last October. Shares are trading down 0.6% at the 50-day line.Among the top growth stocks, Five Below (FIVE) was one of the top-performing stocks, with a nearly 2% gain in early trade. Shares are trying to find support at their 50-day line. The stock is mildly above a 71.69 cup-with-handle entry. Five is also shaping a new flat base with a 78.38 entry.On the downside, Alibaba (BABA) slipped about 0.3%. The 200 price level remains a resistance area for the Chinese e-commerce giant. The stock is about 3% from a double bottom's 201.60 buy point.RELATED:Target, Ralph Lauren, Pottery Barn Parent, Tiffany Earnings: Investing Action PlanLeading Retail Stock Lululemon Headlines This Top Industry GroupDow Jones Industrial Average And Dow Stocks: News And AnalysisHouse OKs Easing Dodd-Frank Restrictions: These Bank Stocks Are Near Buy PointsRetail And E-Commerce News And Stocks To Watch
"
1,RL,"Here's your Investing Action Plan for Wednesday: what to expect from the trading day ahead. It's another big day for retail and consumer earnings, with big-box chain Target (TGT), fashion brand Ralph Lauren (RL), home furnishings titan Williams-Sonoma (WSM), and high-end jewelery giant Tiffany (TIF) due to report. On the tech side, cloud data specialist NetApp (NTAP) also reports. [ibd-display-video id=3209699…
"
2,RL,"""Back To The Future"" foresaw an era of video phone calls and personal drones. Now another prediction from the movie series could soon become part of daily life: smart clothing that can self-adjust to its wearer's needs.While an auto-drying jacket like Marty McFly's is some way off, smart clothes are already here. They can heat up, cool down, change color or even size themselves. In fact, the U.S. team at the Winter Olympics in South Korea wore self-heating jackets made by Ralph Lauren (RL).Companies ranging from Nike (NKE) and Under Armour (UAA) to Google parent Alphabet (GOOGL) and Microsoft (MSFT) are developing smart clothing technology. As apparel makers hunt for tech know-how and tech nerds look for some fashion sense, the clothing trend is stitching together unlikely partners — and could reshape the apparel industry.A partnership between Alphabet's Google and Levi Strauss could be a sign of things to come. They have brought to market the $350 Commuter X, a denim jacket that lets the user control a phone through the use of gestures alone.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe coming years will see a variety of ""really wacky partnerships"" between fashion companies and tech specialists, said International Data Corp. analyst Ramon Llamas.""The first time you saw Google and Levi's you probably said to yourself, 'How did this happen?' "" he said in an interview. ""But over time it came to make sense and was a natural fit.""In addition to self-adjusting clothes, smart clothing includes internet-connected clothing. Juniper Research estimated last month that connected clothing is the fastest-growing segment of the wearable technology sector.For now, smartwatches like the Apple (AAPL) watch and activity trackers like the Fitbit (FIT) dominate the overall wearables market. Juniper sees shipments of those devices hitting 137 million this year, with compound annual growth over the next two years projected at 31% for smartwatches and 6% for activity trackers.Meanwhile, Juniper sees 102% compound annual growth in connected clothing, estimating it will be a $1 billion industry in 2020 with 7 million shipments. Just two years later, they will more than quadruple to 30 million shipments.Smart clothes also differ from today's wearables in that they will have longer ranges and more accuracy. They also won't be limited to a small touch point at the wrist.Developers are trying to keep smart clothes practical too. Google and Levi's Commuter X jacket is machine washable and can go in a tumble dryer. But a ""snap tag"" that contains tiny electronics and a battery must first come off.Google is developing a system that weaves technology into the very fabric of clothing as part of its Project Jacquard. Project leader Ivan Poupyrev says Google isn't planning to make its own apparel and instead aims to ""empower existing apparel makers.""Loup Ventures managing partner Doug Clinton believes successful synergies between tech and apparel companies will be a key to success. That will help the smart clothes market be worth several billion dollars in the next few years, he estimates.""I think we are going to see a lot of partnerships like that, and that's what is going to push the market forward,"" he said. ""This combination of design and technology is a really important part of the story.""Perhaps the most famous example of self-adjusting smart clothing on the market is Nike's HyperAdapt shoes, which boast ""Back To The Future""-inspired self-tying laces. Stars such as tennis champion Serena Williams and soccer icon Cristiano Ronaldo promoted the first edition. Initially priced at $720, the highly coveted shoes are being sold on the secondhand market for more than $2,000 per pair.A second version is in the works that will offer upgraded technology at more accessible prices. Nike's vice president for design and special projects, Tinker Hatfield, says the HyperAdapt 2.0 will be a performance basketball sneaker.""We don't really know when it's going to hit the market or be in the NBA, but it will be there for sure,"" he said last September.Microsoft has also explored the technological applications. Researchers previously unveiled a prototype smart scarf that users can heat up using a smartphone app.South Korean electronics giant Samsung has a myriad of offerings, including a golf shirt that can warn wearers of the weather conditions and a solar-powered bag that can charge cellphones.Meanwhile, Under Armour has brought to market shoes that track a runner's data through GPS. Shoes from the Under Armour Hovr line start at $110 and go as high as $140. The company also sells ""athletic recovery sleepwear,"" pajamas that beam infrared radiation onto the wearer's body to boost recovery.And Ralph Lauren looks to use the Winter Olympics publicity as a springboard to launch new smart clothes with smaller battery packs and controls linked to a mobile app. They could arrive on the market as early as this winter.If Ralph Lauren's self-heating jacket is any indication, the new offerings will feature crisscrossing partnerships. The Olympic jacket's conductive ink came from DowDuPont (DWDP). Precision printing company Butler Technologies applied the ink. Apparel maker 99Degrees attached the heating system to the lining. Design and engineering firm Key Tech made the battery pack. Principled Design's ConnexI/O e-textile connector interface linked the battery to the jacket. And Better Team USA made the jackets.That approach can be seen in New York-based Loomia, which started four years ago and makes flexible circuitry that can emit heat and/or light, as well as sense and track data.It has worked with companies such as Google, Singapore-based circuit maker Flex (FLEX), British retailer TopShop and apparel maker VF Corp. A key part of Loomia's business plan is that it is not manufacturing individual pieces of clothing. Instead, it is providing products to commercial partners, such as apparel makers, on a mass scale.Designer Julianna Bass collaborated with Loomia to develop a color-changing textile used in two dresses for her Spring/Summer18 collection. They were showcased on the catwalk at New York Fashion Week.Loomia has also solved one of the great challenges for the technology: creating e-textiles that are machine washable. While the details are secret intellectual property, Loomia's breakthrough comes from the way its textile circuitry is patterned and the fact the fabric itself is a circuit. The custom insulation adds further protection.Over the next year, heated jackets and boots with Loomia's technology will be coming to market. The materials are also seen as being useful for furniture.""There was a three-year process finding the core technology in our lab, finding domestic partners who would be willing to try these processes to scale in the production of these textile circuits, and working through growing pains with our suppliers and manufacturers,"" Loomia CEO Janett Liriano said. ""Now we're at the point where we are getting to market and selling these textile circuits B2B (business-to-business) to brands to integrate into their products.""For mass adoption to occur, consumers will have to overcome a few anxieties. For one, battery-powered clothes, like phones, will carry the risk of exploding. But given the ubiquity of smartphones, wearables, and other personal gadgets, consumers have shown they can live with that risk.Also, smart clothing will not be cheap. Ralph Lauren's self-heating jackets first went on sale for $2,500 and were later auctioned on eBay for $6,000. But consider that wildly successful Canada Goose (GOOS) sells parkas that aren't self-adjusting or laced with circuitry for $1,000.Google's Poupyrev believes smart clothing technology trends make ""ubiquitous connectivity"" an attractive feature for consumers, who might see connected clothing as a practical investment. And Loup's Clinton thinks that a decade from now smart apparel products will be ""almost the standard.""""Over the next few years it will be more experimental, getting consumers comfortable with the idea of having smart apparel,"" Clinton said. ""There's always a bridge where you have to integrate the consumer into the new world. But I think once people see the benefits of the clothes, the demand for them will be pretty significant.""A spokeswoman for Julianna Bass said their color-changing clothes were well received at New York Fashion Week. Demand is expected to grow going forward.""Color-changing offers the ability to extend the life of a garment and allows more flexible identifications,"" said Carolyn Thomas, a spokeswoman for the fashion house.But even before smart clothes catch on with consumers, the path to mass adoption may begin with industry.In the next five years, sectors like health care, pro sports, the military and emergency services like firefighting will adopt intelligent clothes, predicts scientist Pekka Tuomaala. He leads the Smart Clothes 2.0 project at the VTT Technical Research Centre of Finland. The scientist adds that companies have signaled particular interest in self-heating features.""We human beings tend to be lazy,"" he said. ""If our clothing would be able to help us we would most likely use such products and services.""IDC's Llamas also sees heavy industry putting connected clothes to use. For example, supervisors will be able to track the heart rate of workers and know if a break is necessary.The military is another obvious candidate for such technology. British defense giant BAE Systems has developed an alternative use for e-textiles. Its Broadsword Spine is a power and data network built into clothes using conductive fabrics instead of wires and cables.The technology allows electronic devices to be plugged straight into a vest, jacket or belt. Custom-built connectors hook directly into power and data sources via a USB port. It saves an estimated 40% of weight, a major benefit for infantrymen already loaded down with gear.Circling back to the world of Marty McFly and Doc Brown, Clinton believes the future is bright for smart clothes. He says future inventors will use both the science and the fiction of the past to inspire smart clothing designs.""I think a lot of our movies in the past got the future pretty right. Even with 'Back To The Future,' Nike released self-tying sneakers so that became a reality,"" Clinton said. ""In lots of ways fiction and entertainment inspire entrepreneurs to create the products they think are really cool when they see movies as kids.""As the next generation thinks about what they can build on top of these products, innovation will just compound.""YOU MAY ALSO BE INTERESTED IN:Amazon Vs. Walmart: Locking Horns In A Battle For Retail's FutureFANG Stocks News & QuotesBest Growth Stocks To Buy And Watch: See Updates To IBD Stock Lists
"
3,RL,"Walgreens Boots Alliance (RL) announced a $10 billion stock buyback and raised its dividend as the drug store giant reported issued its first quarterly earnings as a Dow Jones industrial average component.XWalgreens earnings rose 15% to $1.53 a share as sales grew 14% to $34.33 billion. That topped analyst views for EPS of $1.47 and revenue of $33.6 billion, according to Zacks Investment Research. But U.S. pharmacy same-store sales fell. Other same-store sales slid 5.2%.Walgreens Boots Alliance raised the lower end of its guidance for fiscal year 2018 by 5 cents per share and now expects adjusted EPS of $5.90-$6.05. Analysts had expected $5.95.The company's board authorized a $10 billion stock buyback, a hefty sum given the $65.7 billion market cap at Wednesday's close. Walgreens also announced a 10% dividend hike to 44 cents a share per quarter.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseShares fell 1.1% in premarket trade on the stock market today. Rival CVS Health (CVS) stock was not yet active.Walgreens, which debuted on the Dow Jones industrial average Tuesday, has a poor IBD Composite Rating of 44.The choice to replace embattled industrial giant General Electric (GE) with suffering Walgreens stock confounded some investors.But S&P Dow Jones Indices, which helps determine the composition of the index, said its inclusion would make the Dow ""more representative of the consumer and health care sectors of the U.S. economy.""Walgreens tumbled Jan. 30 after Amazon.com (AMZN), Berkshire Hathaway (BRKB), and JPMorgan Chase (JPM) announced a healthcare partnership, which named Atul Gawande as CEO last week.The partnership potentially threatens Walgreens, which also manages prescription-drug plans and provides health care to store customers.As the industry consolidates, Walgreens has bought nearly 2,000 stores from Rite Aid and expanded group purchasing efforts with Express Scripts (ESRX). Meanwhile, CVS Health is buying insurer Aetna (AET) for $68 billion.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT BE INTERESTED IN:How To Invest In Stocks For Free: New Apps Aim For BeginnersLooking For The Best Stocks To Buy And Watch? Start Here 
"
4,RL,"Here's your Investing Action Plan for Wednesday: what you need to know as an investor for the day ahead. Amid a shortened trading week, cloud content management firm Box (BOX), analog tech company Analog Devices (ADI) and retail names Michael Kors (KORS), DSW (DSW), Guess (GES) and PVH (PVH) are scheduled to report earnings Wednesday. X…
"
5,RL,"Stocks were higher even as they moved in uncertain fashion as the market showed it's paying keen attention to trade talks with China.The Dow Jones industrial average added 1.2%, the S&P 500 0.7% and the Nasdaq composite 0.4%. Volume was lower compared with the same time Friday. Advancers led decliners by 12-to-5 on the NYSE and by a 7-5 ratio on the Nasdaq. (For updates on this story and other market coverage, check Stock Market Today.)Stocks opened sharply higher after U.S. Treasury Secretary Steven Mnuchin said the U.S. and China ""are putting the trade war on hold"" as the two sides continue talks. The Nasdaq climbed more than 1% on the news.But later in the day, stocks surrendered some gains. The drop followed news that top presidential economic advisor Larry Kudlow said the U.S. is not ruling out tariffs on China. The Nasdaq's gain was whittled down to 0.2% until the composite bounced back.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe S&P 500 and Dow made better bounces, as both traded near session highs. The Nasdaq lagged due to weakness in biotechs, enterprise software and other software stocks.Boeing (BA) gave the Dow its biggest push, as the aerospace giant added more than 3% and neared a new high. The stock is forming a cup-type base. On a daily chart, a small handle area with a 348.67 entry appeared and has been a successful entry so far, even if it's an alternative buy point.General Electric (GE) rarely is one of the best-performing Dow components, but it was the second-best advancer Monday. GE rose 2.5% to touch the highest level since Feb. 5. The company announced it is merging its GE Transportation unit with Wabtec (WAB), the rail equipment maker, in a deal valued at more than $11 billion. Wabtec shares rose 4% in huge volume.In fact, the transportation sector led the broad market Monday, mainly because of the GE-Wabtec deal and a good showing in trucking, logistics and airlines. Those industry groups were up 2%, 1.6% and 1.4%, respectively. The Dow transportation average rallied 1.4% to its highest since Feb. 2.Most stocks rising above buy points saw lackluster action, except a few.Twitter (TWTR) cleared the 33.88 buy point of a cup-with-handle base. Volume was weak and the relative strength line has not made a new high. Those factors hamper the breakout attempt.Ralph Lauren (RL) broke out of a cup-with-handle base as it topped a 116.79 buy point. Volume was 35% above average.AstraZeneca (AZN) edged past the 36.85 buy point in major volume. On Friday, the stock was volatile after AstraZeneca reported earnings and a sharp drop in sales of its Crestor cholesterol drug.RELATED:Merger Monday: Blackstone Wins LaSalle Hotel Battle; NextEra Energy, IHS Markit Clinch DealsBoeing Vs. Airbus: Who's Winning The Electric Aircraft Race?Delta, United, American Get This Good News From Top Discount Airline 
"
6,RL,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. After a rush of earnings from the biggest retail names, some of the most highly rated ones will take their turn, including Lululemon (LULU) and Ulta Beauty (ULTA). Similarly, elite albeit lesser-known tech stocks like Salesforce.com (CRM) and Workday (WDAY) also will…
"
7,RL,"The Dow Jones, S&P 500 and Nasdaq composite initially rallied on a China trade truce, but President Donald Trump signaled that he was not happy with current talks, then announced a probe into auto imports and pulled out of a planned North Korea summit. The major averages rose but stayed within a recent range. Big-box retailers such as Target (TGT), Kohl's (KSS), Best Buy (BBY) and J.C. Penney (JCP) tumbled on earnings reports, but several specialty chains such as Tiffany (TIF), Williams-Sonoma (WSM) and Foot Locker (FL) shined. Micron Technology (MU) soared on raised guidance and a big buyback. Hot data-storage stocks retreated amid earnings while software stocks were mixed. Crude oil retreated from multiyear highs while Treasury yields pulled back.For a second straight week, the Dow Jones, S&P 500 index and Nasdaq composite rallied on Monday but then pared gains. This time, the major averages rose for the week, with the Nasdaq up 1.1%, the S&P 500 0.3% and the Dow Jones 0.2%. Oil stocks retreated as crude oil tumbled below $70. Treasury yields sank, with the 10-year rate below 3%, amid a dovish Fed and safe-haven flows over Italy and other geopolitical issues. The House OK'd Dodd-Frank regulatory relief, but bank stocks reacted more to the falling yields. Some retailers were hot while others tumbled on earnings. Micron Technology surged.Micron Technology popped after the memory-chip maker announced a $10 billion stock-buyback program that will start in September, exceeding expectations, and played up long-term demand trends at its analyst day. Micron also increased earnings and revenue guidance for its fiscal third quarter, which ends May 31. Micron told analysts that it expects strong pricing for DRAM and flash memory devices to continue this year and long-term demand from artificial intelligence and autonomous driving.U.S. crude prices tumbled below $70 a barrel, falling 4.9% to $67.88 a barrel amid strong U.S. supplies and OPEC buzz. Most of the decline came Friday. OPEC could raise its oil production at its June meeting over supply worries from Iran and Venezuela, according to a Reuters report. Russian Oil Minister Alexander Novak said he would talk to OPEC about the possibility of a ""gradual output recovery."" The Energy Information Administration said U.S. stockpiles rose by 5.8 million barrels last week vs. the 1.7 million barrel decrease analysts expected. The EIA said domestic production edged up to 10.725 million barrels per day. Energy stocks pulled back with crude prices.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseKohl's reported first-quarter earnings that were much better expected. But the stock tumbled after the department store chain said a friends and family promotion pulled forward more sales into Q1 than expected, indicating weaker same-store sales in Q2. Meanwhile, shares of J.C. Penney fell as CEO Marvin Ellison bailed to become CEO of Lowe's (LOW).Shares sank as the big-box retailer missed some first-quarter estimates. E-commerce investments hit gross margins, while Target also blamed bad weather for hurting ""temperature-sensitive categories."" But the discounter cited momentum in other areas like home goods, food and beverages. Target also said that its traffic has ""accelerated"" in the second quarter.Jewelry giant Tiffany reported a 54% EPS gain on sales of $1 billion, sending shares blasting through a buy area. Meanwhile fashion apparel giant Ralph Lauren (RL) soared back above and beyond a buy zone as EPS unexpectedly rose. Williams-Sonoma leapt after the upscale housewares retailer beat on EPS and revenue.Several top-rated software stocks reported earnings last week with mixed results.Nutanix (NTNX) lost an adjusted 21 cents a share, missing fiscal Q3 estimates by a penny, and forecast a larger-than-expected loss for the July quarter. The ""hyperconvergence"" network has been shifting to a software business model from selling hardware appliances and has hiked investments as it pursues revenue growth. Shares fell 5.2% on Friday.Splunk (SPLK) lost 7 cents a share, topping views as revenue rose 37% to $311.6 million, beating estimates of $298 million. Billings of $288 million decelerated to 18% growth from 44% the previous quarter. Shares of the data analytics software maker fell 5.2% on Friday.Autodesk (ADSK) fell 4.4% after the maker of computer-aided design software reported adjusted Q1 earnings that topped views, with revenue that met expectations, while its July quarter earnings forecast missed estimates. Subscriber growth was below previous quarters. The company is shifting to a cloud computing-based subscription model from licensed software.Synopsys (SNPS) met fiscal Q2 EPS views while revenue edged past views. The maker of electronic design automation software forecast Q3 revenue significantly above the analyst consensus. Shares fell 1% for the week.Veeva Systems (VEEV) on Thursday reported adjusted income of 33 cents per share on $195.5 million in sales, rising a respective 43.5% and 22% vs. the year-earlier period. Both metrics topped the consensus for 30 cents and $189 million, respectively. Veeva guided slightly higher for the current quarter. Veeva closed down 0.2% on Friday.General Electric (GE) stock tanked after CEO John Flannery warned Wednesday that there will be no profit growth at its power business this year. Meanwhile the ailing Dow component will merge its GE Transportation unit with rail equipment giant Wabtec (WAB) in an $11.1 billion deal. GE shareholders will have a majority stake.Shares of Bilibili (BILI) jumped 11% Thursday after the Chinese online entertainment company doubled revenue with strong mobile growth and a sharp drop in net losses in its first earnings report since its late March IPO. Bilibili provides an online entertainment platform, including live video and mobile games. Chinese online classifieds service 58.com (WUBA) beat quarterly views, but shares fell 4.2% Thursday.Pure Storage (PSTG) received several price-target hikes after reporting strong earnings, but the stock tumbled 10% due to in-line guidance. The company makes solid-state storage arrays, using flash chips that offer big performance gains over storage systems using disk drives. Data storage giant NetApp (NTAP) also topped views but guided low. Shares recovered to close higher on Thursday, but still fell 2.8% for the week.Comcast (CMCSA) said it's close to trumping the $50 billion Disney (DIS) bid for the entertainment assets of 21st Century Fox (FOXA). Meanwhile, Fox will pay $1 billion for rights to World Wrestling Entertainment (WWE) TV show ""Smackdown,"" which had aired on the USA Network, owned by Comcast's NBCUniversal. NBCUniversal is expected to renew its rights to WWE's ""Raw."" WWE stock soared. Netflix (NFLX) passed Comcast's market cap and just eclipsed Disney's valuation.Bill Ackman's Pershing Square reportedly acquired a $1 billion stake in home improvement retailer Lowe's (LOW). Ackman is said to support incoming CEO Marvin Ellison, who announced this week that he is leaving J.C. Penney to head Lowe's. Ellison previously worked as a top Home Depot (HD) executive.T.J. Maxx parent TJX (TJX) grew profit 38% to $1.13 a share as revenue rose 12% to $8.69 billion, though guidance came in light. Off-price rival Ross Stores (ROST) also topped forecasts with 35% EPS growth to $1.11 and revenue gains of 9% to $3.59 billion. Same-store sales rose 3%, also beating. But it guided low for the current quarter. TJX stock rose to a record high during the week. Ross Stores fell sharply Friday.Urban Outfitters (URBN) beat Q1 earnings and sales beat analyst expectations. Same-store sales also beat estimates. Gap (GPS) reported Q1 EPS below analyst expectations, but sales beat. Still the retailer reported a steeper-than-expected drop in same-store sales at its namesake stores. Ugg boots maker Deckers Outdoor (DECK) reported Q4 results well above forecasts, but its guidance was mixed. Urban Outfitters was little changed for the week while Gap dived Friday while Deckers hit a record high.Canopy Growth (CGC) on Thursday became the first pure-play marijuana company to list on the New York Stock Exchange. The Canadian pot producer follows rival Cronos (CRON), which listed on the Nasdaq in February.Adobe Systems (ADBE) agreed to buy Magento Commerce for $1.68 billion from Permira Funds and Hillhouse Capital, giving it an e-commerce platform to take on Salesforce.com (CRM) in the enterprise market as well as Shopify (SHOP) for smaller customers.Foot Locker (FL) reported a surprise first-quarter earnings per share gain, the first rise in five quarters. Revenue and same-store sales also topped. Shares of the mall-based athletic shoe retailer, which largely sells Nike gear, soared 20% Friday. Hibbett Sports (HIBB) tumbled nearly 16% Friday as it missed on earnings, sales and comps.Best Buy gapped down on weak profit projections even as it crushed Q1 earnings estimates Thursday with a 37% per share gain.Hewlett-Packard Enterprise (HPE) reported fiscal Q2 earnings and revenue that edged views and forecast July-quarter profit slightly above analyst estimates. But shares swooned over worries about falling server sales, as companies shift to cloud computing, as well as U.S. market-share trends.Celgene (CELG) shares toppled to a four-year low Monday on news that its head of business development, George Golumbeski, quietly exited in mid-April. But the biotech's stock rallied to close slightly higher for the week.YOU MIGHT BE INTERESTED IN:How To Invest In The Stock Market: Start With A Simple RoutineStocks Near Buy Zone Ahead Of Earnings  
"
8,RL,"Teenagers' love for streetwear and the 1990s is only growing, and that means good news for a few apparel brands whose heydays happened before those high schoolers were even born.Lest sister-models Gigi and Bella Hadid haven't clued you in, Piper Jaffray's latest semiannual teens survey pegged both Tommy Hilfiger and Calvin Klein as brands that made ""significant upwards moves"" in their top 20 list, with Calvin Klein holding on to its No. 10 spot as the preferred handbag brand for average-income teens, and Tommy Hilfiger remaining popular among teen boys. (Gigi and Bella have endorsement deals with Tommy and Calvin, respectively.)This reads as good news for PVH (PVH), one of the biggest players in the apparel space, and the parent of both '90s sweethearts.Tommy Hilfiger alone makes up 44% of the company's sales. Together with fellow '90s staple Calvin Klein, the two brands account for over 80% of PVH's revenue and 90% of PVH's earnings before interest and taxes, according to the company's latest figures. PVH raked in $8.9 billion in reported revenue in fiscal 2017.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAnd as Bloomberg reports, Tommy Hilfiger has actively been courting younger shoppers through Hadid, social media and TommyNow, a ""see now, buy now"" offering that makes its latest runway designs available immediately.PVH currently has an exclusive partnership with Macy's (M) in men's sportswear. It's also joined forces in Canada with Hudson's Bay Company, the parent of Saks Fifth Avenue and Lord & Taylor. In North America, Tommy Hilfiger has licensed its womenswear wholesale business to G-III (GIII).PVH closed up 1.5% at 157.95 in the stock market today, nearly back above a 158.06 flat-base buy point. G-III advanced 1% to 38.96, flirting with retaking a 39.04 entry in a double-bottom base. Macy's climbed 0.5% to 29.30, as it works on a flat base with a 31.14 buy point.The Piper Jaffray survey also pointed to ""unprecedented"" momentum for VF (VFC) brand Vans. The shoe line ""continues to find traction across all demographic/socioeconomic groups and categories.""From the fall of 2016, Vans' share of upper-income teens' favor has grown to 16% — a new peak — from 9% and remains No. 2.VF Corp. stock rose 2.4% to 77.92, back above its 50-day line in a flat base.While retaining its monster lead, Nike (NKE) has lost turf over that time, slipping to 42% from 51%. But Vans is increasingly popular with teen girls, and Piper Jaffray notes that Vans ""appears to be taking mindshare from NKE's Converse brand in canvas.""Adidas (ADDYY), another purveyor of throwback footwear fashion, is sitting pretty in third place with gains of its own, now up to 14% from 6% just a year and a half ago.Nike stock fell 0.3%, but found support at its 50-day line in a flat base. Adidas climbed 1.8% to a new high.The nostalgia train isn't picking up everyone. Ralph Lauren (RL) lost its place in the survey's top 10 among upper-income teen boys, a first since Piper Jaffray started issuing the poll in 2002.And the '90s are eating into modern-day brands. In a separate survey, B. Riley FBR analysts found that Under Armour (UAA), a stock which halved its value in 2017, is waning in popularity, particularly with women and teens.Piper Jaffray, for its part, said Under Armour is being ""boxed out by resurgent Adidas and retro-category growth.""Perhaps the most striking example: once-popular athletic-sweats maker Champion, in the midst of its own '90s comeback, jumped from No. 44 to No. 10 among upper-income teen boys over the last half year. It managed to nab two votes from upper-income teen girls naming their favorite clothing brands.Under Armour, by contrast, received but one.Still, Under Armour stock rose 1.1%. Ralph Lauren climbed 2.3%.YOU MIGHT BE INTERESTED IN: Amazon's Growth In This Category Is Astounding — And AcceleratingNike Just Does It Again: This Is The 2nd Deal In A Month To Boost AIHow Private Labels Could Be Amazon, Target's Next Cash Cow
"
9,RL,"Since going public in March of last year, Canada Goose (GOOS) hasn't disappointed investors yet, beating on both the top and bottom lines each quarter. That trend continued with third-quarter results Thursday morning for the high-end coat maker.But shares are tumbling intraday, with one pro pointing to high expectations overshadowing a solid performance.X Estimates: Per-share earnings of 36 cents on $188 million in revenue, according to Zacks Investment Research.Results: Canada Goose reported revenue of $209.3 million with earnings per share of 46 cents. No guidance update was provided in the release.Stock: Shares tumbled 16.6% to 31.79 in the stock market today, after hitting a new intraday high of 38.25 on Wednesday.It wasn't immediately clear what was driving the stock lower. Analysts were looking for guidance, but Canada Goose said it will only do so on an annual basis, after the fiscal Q4 report.In trying to make sense of the plummet, Wells Fargo retail analyst Ike Boruchow noted that while the parka maker turned in another consecutive beat, with strong gross margins and continued growth potential, sales were softer than many bulls had hoped and there was ""expectation for a much more material beat, and hope for a raise.""""While results were very strong and fundamentals here remain extremely robust, they simply fell short of the extremely bullish view that most investors had coming into the print,"" he wrote.""That said, there is nothing that gives us pause on our fundamental stance on the name today, and actually today's pullback creates a healthy buying opportunity, in our view, for investors who feel they may have 'missed it' before.""The stock has been on a steady march higher since September, boasting a Relative Strength rating of 98, meaning it has outperformed 98% of all other publicly traded stocks.IBD'S TAKE: Read IBD's The Big Picture column each day to stay on top of the market direction, a key indicator that lets you know when you can be aggressive and when you should move to the sidelines.Fellow premium fashion name Michael Kors (KORS) topped earnings forecasts Wednesday. Tapestry (TPR) (parent to Coach and Kate Spade) beat views on Tuesday. Ralph Lauren (RL) disappointed on revenue last week.YOU MIGHT BE INTERESTED IN: These 2 Top Retail Stocks Are Hitting New Highs In Volatile MarketCheck Out These 5 Stocks In This Hot Industry GroupStocks Dive, But S&P 500 Earnings Beating Estimates By Most In YearsInvesting In IPO Stocks: Know The Risk With Snap, Future 'Unicorns'The Next New IPO Gems: Can You Find The Next Google, Facebook, Cisco Or Microsoft?
"
